actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M29.00S,2023-01-05T00:43:15.5Z,1,REGULAR,violation,kicked ball,[],1628973,,,1610612759,5,2,2023-01-05T00:43:30Z,160000,False,,,0,,J. Brunson kicked ball VIOLATION,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,,201639.0,,,,,,,,,,,,
17,PT10M24.00S,2023-01-05T00:43:35.9Z,1,REGULAR,3pt,Jump Shot,[],1630200,32.276609724047304,58.57843137254902,1610612759,5,2,2023-01-05T00:43:40Z,170000,False,-43.0,251.0,1,left,MISS T. Jones 25' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,25.45,Missed,,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2023-01-05T00:43:37.9Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612752,5,2,2023-01-05T00:43:40Z,180000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,,,,17.0,,1.0,1.0,0.0,,,,,,,,,
19,PT10M13.00S,2023-01-05T00:43:46.1Z,1,REGULAR,3pt,Jump Shot,[],1630193,77.7431011826544,88.48039215686273,1610612752,5,2,2023-01-05T00:43:52Z,190000,False,192.0,157.0,1,right,MISS I. Quickley 24' pullup 3PT,[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,24.81,Missed,,,,,,,,,,,,,,,,,,
20,PT10M11.00S,2023-01-05T00:43:48.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,5,2,2023-01-05T00:43:52Z,200000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,,,19.0,,1.0,1.0,0.0,,,,,,,,,
21,PT10M02.00S,2023-01-05T00:43:56.7Z,1,REGULAR,3pt,Jump Shot,[],1629641,3.235873850197109,96.81372549019608,1610612759,5,2,2023-01-05T00:44:02Z,210000,False,-234.0,-22.0,1,left,MISS R. Langford 3PT,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Left Corner 3,24+ Left,23.51,Missed,,,,,,,,,,,,,,,,,,
22,PT10M00.00S,2023-01-05T00:43:58.7Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,5,2,2023-01-05T00:44:02Z,220000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Left Corner 3,24+ Left,,,,,,,21.0,,1.0,1.0,0.0,,,,,,,,,
23,PT09M53.00S,2023-01-05T00:44:08.3Z,1,REGULAR,foul,personal,['2freethrow'],1631110,,,1610612752,5,2,2023-01-05T00:44:14Z,230000,False,,,0,,J. Sochan shooting personal FOUL (1 PF) (Grimes 2 FT),"[1631110, 1629656]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,1198.0,,,,1.0,0.0,Grimes,1629656.0,,,,,
25,PT09M53.00S,2023-01-05T00:44:41.1Z,1,REGULAR,freethrow,1 of 2,[],1629656,,,1610612752,6,2,2023-01-05T00:44:41Z,250000,False,,,0,,Q. Grimes Free Throw 1 of 2 (1 PTS),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
26,PT09M53.00S,2023-01-05T00:44:41.1Z,1,REGULAR,freethrow,2 of 2,[],1629656,,,1610612752,6,2,2023-01-05T00:44:57Z,260000,False,,,0,,MISS Q. Grimes Free Throw 2 of 2,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT09M51.00S,2023-01-05T00:44:43.1Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,6,2,2023-01-05T00:44:57Z,270000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,26.0,,1.0,1.0,0.0,,,,,,,,,
28,PT09M44.00S,2023-01-05T00:45:02.3Z,1,REGULAR,turnover,lost ball,[],1629640,,,1610612759,6,2,2023-01-05T00:52:50Z,280000,False,,,0,,K. Johnson lost ball TURNOVER (1 TO),"[1629640, 203944]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Randle,203944.0,,
29,PT09M44.00S,2023-01-05T00:45:02.3Z,1,REGULAR,steal,,[],203944,,,1610612752,6,2,2023-01-05T00:45:04Z,290000,False,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
30,PT09M33.00S,2023-01-05T00:45:12.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,86.81011826544021,43.38235294117647,1610612752,8,2,2023-01-05T00:45:17Z,300000,False,-33.0,71.0,1,right,J. Brunson 7' step back Jump Shot (4 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.88,Made,4.0,,,,,,,,,,,,,,,,,
31,PT09M11.00S,2023-01-05T00:45:36.4Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612759,8,2,2023-01-05T00:45:43Z,310000,False,,,0,,M. Robinson shooting personal FOUL (1 PF) (Johnson 2 FT),"[1629011, 1629640]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,1198.0,,,,1.0,0.0,Johnson,1629640.0,,,,,
33,PT09M11.00S,2023-01-05T00:46:02.9Z,1,REGULAR,freethrow,1 of 2,[],1629640,,,1610612759,8,2,2023-01-05T00:46:19Z,330000,False,,,0,,MISS K. Johnson Free Throw 1 of 2,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
34,PT09M11.00S,2023-01-05T00:46:02.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,8,2,2023-01-05T00:46:19Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,
35,PT09M11.00S,2023-01-05T00:46:02.9Z,1,REGULAR,freethrow,2 of 2,[],1629640,,,1610612759,8,2,2023-01-05T00:46:19Z,350000,False,,,0,,MISS K. Johnson Free Throw 2 of 2,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
36,PT09M09.00S,2023-01-05T00:46:04.9Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,8,2,2023-01-05T00:46:19Z,360000,False,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,35.0,,2.0,2.0,0.0,,,,,,,,,
37,PT09M01.00S,2023-01-05T00:46:25.8Z,1,REGULAR,2pt,Jump Shot,[],1628973,82.21090670170827,72.54901960784314,1610612752,10,2,2023-01-05T00:46:30Z,370000,False,113.0,115.0,1,right,J. Brunson 16' pullup Jump Shot (6 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right Center,16.08,Made,6.0,,,,,,,,,,,,,,,,,
38,PT08M58.00S,2023-01-05T00:46:34.2Z,1,REGULAR,timeout,full,['team'],0,,,1610612759,10,2,2023-01-05T00:46:34Z,380000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M46.00S,2023-01-05T00:49:46.7Z,1,REGULAR,foul,personal,['2freethrow'],1629656,,,1610612759,10,2,2023-01-05T00:49:56Z,390000,False,,,0,,Q. Grimes shooting personal FOUL (1 PF) (Johnson 2 FT),"[1629656, 1629640]",1610612752.0,NYK,shooting,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,201639.0,,,,1.0,0.0,Johnson,1629640.0,,,,,
41,PT08M46.00S,2023-01-05T00:50:06.2Z,1,REGULAR,freethrow,1 of 2,[],1629640,,,1610612759,10,3,2023-01-05T00:50:06Z,410000,False,,,0,,K. Johnson Free Throw 1 of 2 (1 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
42,PT08M46.00S,2023-01-05T00:50:19.6Z,1,REGULAR,freethrow,2 of 2,[],1629640,,,1610612759,10,4,2023-01-05T00:50:19Z,420000,False,,,0,,K. Johnson Free Throw 2 of 2 (2 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
43,PT08M39.00S,2023-01-05T00:50:27.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,78.26872536136662,39.705882352941174,1610612752,12,4,2023-01-05T00:50:32Z,430000,False,-51.0,152.0,1,right,J. Brunson 16' step back Jump Shot (8 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Center,16.03,Made,8.0,,,,,,,,,,,,,,,,,
44,PT08M21.00S,2023-01-05T00:50:45.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,32.40801576872536,39.21568627450981,1610612759,12,4,2023-01-05T00:50:50Z,440000,False,54.0,252.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Center,25.78,Missed,,,,,,,,,,,,,,,,,,
45,PT08M19.00S,2023-01-05T00:50:47.2Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,12,4,2023-01-05T00:50:50Z,450000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Center,,,,,,,44.0,,2.0,1.0,1.0,,,,,,,,,
46,PT08M16.00S,2023-01-05T00:50:52.9Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612759,12,4,2023-01-05T00:51:00Z,460000,False,,,0,,M. Robinson shooting personal FOUL (2 PF) (Johnson 2 FT),"[1629011, 1629640]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,1198.0,,,,2.0,0.0,Johnson,1629640.0,,,,,
49,PT08M16.00S,2023-01-05T00:51:06.6Z,1,REGULAR,substitution,out,[],1629011,,,1610612759,12,4,2023-01-05T00:51:25Z,475000,False,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M16.00S,2023-01-05T00:51:06.6Z,1,REGULAR,substitution,in,[],1628392,,,1610612759,12,4,2023-01-05T00:51:25Z,477500,False,,,0,,SUB in: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M16.00S,2023-01-05T00:51:20.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629640,,,1610612759,12,5,2023-01-05T00:51:20Z,480000,False,,,0,,K. Johnson Free Throw 1 of 2 (3 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
51,PT08M16.00S,2023-01-05T00:51:36.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629640,,,1610612759,12,6,2023-01-05T00:51:36Z,490000,False,,,0,,K. Johnson Free Throw 2 of 2 (4 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
52,PT07M59.00S,2023-01-05T00:51:55.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.77463863337714,44.36274509803921,1610612752,12,6,2023-01-05T00:52:02Z,500000,False,-28.0,6.0,1,right,MISS J. Brunson driving Layup,[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,2.88,Missed,,,,,,,,,,,,,,,,,,
53,PT07M57.00S,2023-01-05T00:51:57.0Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,12,6,2023-01-05T00:52:02Z,510000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,52.0,,1.0,0.0,1.0,,,,,,,,,
54,PT07M57.00S,2023-01-05T00:51:58.3Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628392,94.40999984741211,50.0,1610612752,14,6,2023-01-05T00:52:07Z,520000,False,0.0,0.0,1,right,I. Hartenstein putback DUNK (2 PTS),[1628392],1610612752.0,NYK,putback,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
55,PT07M42.00S,2023-01-05T00:52:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,7.440867279894875,43.872549019607845,1610612759,14,6,2023-01-05T00:52:18Z,530000,False,31.0,17.0,1,left,MISS T. Jones driving Layup,[1630200],1610612759.0,SAS,driving,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,3.52,Missed,,,,,,,,,,,,,,,,,,
56,PT07M40.00S,2023-01-05T00:52:13.3Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612759,14,6,2023-01-05T00:52:18Z,540000,False,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,,,,55.0,,1.0,0.0,1.0,,,,,,,,,
57,PT07M37.00S,2023-01-05T00:52:16.5Z,1,REGULAR,turnover,bad pass,[],1629641,,,1610612759,14,6,2023-01-05T00:52:22Z,550000,False,,,0,,R. Langford bad pass TURNOVER (1 TO),"[1629641, 1630193]",1610612759.0,SAS,,,,Langford,R. Langford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Quickley,1630193.0,,
58,PT07M37.00S,2023-01-05T00:52:16.5Z,1,REGULAR,steal,,[],1630193,,,1610612752,14,6,2023-01-05T00:52:18Z,560000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M34.00S,2023-01-05T00:52:19.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630193,94.56307490144546,49.01960784313725,1610612752,16,6,2023-01-05T00:52:26Z,570000,False,-5.0,-1.0,1,right,I. Quickley running DUNK (2 PTS),[1630193],1610612752.0,NYK,running,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,0.51,Made,2.0,,,,,,,,,,,,,,,,,
60,PT07M20.00S,2023-01-05T00:52:33.8Z,1,REGULAR,3pt,Jump Shot,[],1630200,28.07161629434954,78.67647058823529,1610612759,16,6,2023-01-05T00:52:38Z,580000,False,-143.0,211.0,1,left,MISS T. Jones 25' 3PT,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
61,PT07M18.00S,2023-01-05T00:52:35.8Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,16,6,2023-01-05T00:52:38Z,590000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,,,,,60.0,,3.0,1.0,2.0,,,,,,,,,
62,PT07M17.00S,2023-01-05T00:52:37.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1627751,6.783837056504599,47.549019607843135,1610612759,16,6,2023-01-05T00:52:44Z,600000,False,12.0,11.0,1,left,MISS J. Poeltl Hook,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.67,Missed,,,,,,,,,,,,,,,,,,
63,PT07M16.00S,2023-01-05T00:52:38.2Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612759,16,6,2023-01-05T00:52:44Z,610000,False,,,0,,R. Langford REBOUND (Off:2 Def:0),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,,,,62.0,,2.0,0.0,2.0,,,,,,,,,
64,PT07M14.00S,2023-01-05T00:52:42.4Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612759,16,6,2023-01-05T00:52:53Z,620000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Langford 2 FT),"[1628392, 1629641]",1610612752.0,NYK,shooting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,202053.0,,,,1.0,0.0,Langford,1629641.0,,,,,
81,PT07M14.00S,2023-01-05T00:52:49.8Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,16,6,2023-01-05T00:54:54Z,632500,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT07M14.00S,2023-01-05T00:52:49.8Z,1,REGULAR,substitution,in,[],1631103,,,1610612759,16,6,2023-01-05T00:54:54Z,633750,False,,,0,,SUB in: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M14.00S,2023-01-05T00:53:12.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629641,,,1610612759,16,7,2023-01-05T00:53:12Z,640000,False,,,0,,R. Langford Free Throw 1 of 2 (1 PTS),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
69,PT07M14.00S,2023-01-05T00:53:36.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629641,,,1610612759,16,8,2023-01-05T00:53:36Z,650000,False,,,0,,R. Langford Free Throw 2 of 2 (2 PTS),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
70,PT06M58.00S,2023-01-05T00:53:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,83.26215505913272,48.28431372549019,1610612752,16,8,2023-01-05T00:53:58Z,660000,False,-9.0,105.0,1,right,MISS I. Hartenstein 10' Jump Shot,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,10.52,Missed,,,,,,,,,,,,,,,,,,
71,PT06M56.00S,2023-01-05T00:53:55.4Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,16,8,2023-01-05T00:53:58Z,670000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,70.0,,1.0,1.0,0.0,,,,,,,,,
72,PT06M52.00S,2023-01-05T00:53:59.3Z,1,REGULAR,turnover,lost ball,[],1629640,,,1610612759,16,8,2023-01-05T00:54:02Z,680000,False,,,0,,K. Johnson lost ball TURNOVER (2 TO),"[1629640, 1628392]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,2.0,Hartenstein,1628392.0,,
73,PT06M52.00S,2023-01-05T00:53:59.3Z,1,REGULAR,steal,,[],1628392,,,1610612752,16,8,2023-01-05T00:54:00Z,690000,False,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
74,PT06M48.00S,2023-01-05T00:54:03.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630193,93.51182654402102,46.32352941176471,1610612752,16,8,2023-01-05T00:54:13Z,700000,False,-18.0,8.0,1,right,MISS I. Quickley driving Layup - blocked,"[1630193, 1627751]",1610612752.0,NYK,driving,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,2.03,Missed,,,,,,,,,,,,,,,,,Poeltl,1627751.0
75,PT06M48.00S,2023-01-05T00:54:03.9Z,1,REGULAR,block,,[],1627751,,,1610612752,16,8,2023-01-05T00:54:07Z,710000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
76,PT06M46.00S,2023-01-05T00:54:05.9Z,1,REGULAR,rebound,defensive,[],1631103,,,1610612759,16,8,2023-01-05T00:54:13Z,720000,False,,,0,,M. Branham REBOUND (Off:0 Def:1),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,,,,,74.0,,1.0,1.0,0.0,,,,,,,,,
77,PT06M36.00S,2023-01-05T00:54:16.5Z,1,REGULAR,3pt,Jump Shot,[],1629641,6.652431011826544,4.166666666666666,1610612759,16,11,2023-01-05T00:54:23Z,730000,False,229.0,10.0,1,left,R. Langford 3PT  (5 PTS) (J. Sochan 1 AST),"[1629641, 1631110]",1610612759.0,SAS,,,,Langford,R. Langford,,,,,Right Corner 3,24+ Right,22.94,Made,5.0,J. Sochan,1631110.0,1.0,,,,,,,,,,,,,,
79,PT06M24.00S,2023-01-05T00:54:32.3Z,1,REGULAR,foul,personal,[],1629641,,,1610612752,16,11,2023-01-05T00:55:08Z,750000,False,,,0,,R. Langford personal FOUL (1 PF),"[1629641, 1630193]",1610612759.0,SAS,,,,Langford,R. Langford,,,,,Above the Break 3,24+ Center,,,,,,,,201639.0,,,,1.0,0.0,Quickley,1630193.0,,,,,
