actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
17,PT10M50.00S,2022-11-26T00:43:24.2Z,1,REGULAR,block,,[],1629011,,,1610612757,0,0,2022-11-26T00:43:27Z,170000,False,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M48.00S,2022-11-26T00:43:26.2Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,0,0,2022-11-26T00:43:29Z,180000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M46.00S,2022-11-26T00:43:29.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629656,92.72339027595268,50.0,1610612752,2,0,2022-11-26T00:44:41Z,190000,False,0.0,16.0,1,right,Q. Grimes running reverse Layup (2 PTS) (J. Brunson 1 AST),"[1629656, 1628973]",1610612752.0,NYK,running reverse,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,,
21,PT10M36.00S,2022-11-26T00:43:37.6Z,1,REGULAR,3pt,Jump Shot,[],1628404,29.517082785808146,28.431372549019606,1610612757,2,0,2022-11-26T00:43:45Z,210000,False,108.0,225.0,1,left,MISS J. Hart 24' 3PT,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,24.95,Missed,,,,,,,,,,,,,,,,,,
22,PT10M34.00S,2022-11-26T00:43:39.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,2,0,2022-11-26T00:43:45Z,220000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT10M15.00S,2022-11-26T00:44:02.6Z,1,REGULAR,3pt,Jump Shot,[],1629628,96.00854139290408,94.11764705882352,1610612752,2,0,2022-11-26T00:44:10Z,240000,False,221.0,-15.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,22.11,Missed,,,,,,,,,,,,,,,,,,
25,PT10M14.00S,2022-11-26T00:44:03.6Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,2,0,2022-11-26T00:44:10Z,250000,False,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT10M13.00S,2022-11-26T00:44:06.9Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612752,2,0,2022-11-26T00:44:12Z,260000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Barrett 2 FT),"[203994, 1629628]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,,,,,,,,1.0,0.0,Barrett,1629628.0,,
28,PT10M13.00S,2022-11-26T00:44:25.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629628,,,1610612752,3,0,2022-11-26T00:44:25Z,280000,False,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
29,PT10M13.00S,2022-11-26T00:44:40.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629628,,,1610612752,4,0,2022-11-26T00:44:40Z,290000,False,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
30,PT09M58.00S,2022-11-26T00:44:58.4Z,1,REGULAR,3pt,Jump Shot,[],1629014,28.597240473061763,75.0,1610612757,4,0,2022-11-26T00:45:06Z,300000,False,-125.0,216.0,1,left,MISS A. Simons 24' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,24.98,Missed,,,,,,,,,,,,,,,,,,
31,PT09M56.00S,2022-11-26T00:45:00.4Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,4,0,2022-11-26T00:45:06Z,310000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Left Center,,,30.0,1.0,0.0,1.0,,,,,,,,,,,,,,
32,PT09M53.00S,2022-11-26T00:45:02.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629014,20.844283837056505,92.15686274509804,1610612757,4,0,2022-11-26T00:45:10Z,320000,False,-211.0,143.0,1,left,MISS A. Simons 25' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,25.5,Missed,,,,,,,,,,,,,,,,,,
33,PT09M52.00S,2022-11-26T00:45:03.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,4,0,2022-11-26T00:45:10Z,330000,False,,,0,,R. Barrett REBOUND (Off:1 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,,,
34,PT09M41.00S,2022-11-26T00:45:14.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,90.88370565045992,44.11764705882353,1610612752,4,0,2022-11-26T00:45:19Z,340000,False,-29.0,33.0,1,right,MISS J. Brunson driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
35,PT09M40.00S,2022-11-26T00:45:15.7Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,4,0,2022-11-26T00:45:15Z,350000,False,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,34.0,1.0,0.0,1.0,,,,,,,,,,,,,,
36,PT09M39.00S,2022-11-26T00:45:16.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,94.95729303547962,51.470588235294116,1610612752,4,0,2022-11-26T00:46:09Z,360000,False,7.0,-5.0,1,right,MISS M. Robinson putback Layup,[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,0.9,Missed,,,,,,,,,,,,,,,,,,
37,PT09M37.00S,2022-11-26T00:45:18.3Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,4,0,2022-11-26T00:45:22Z,370000,False,,,0,,J. Winslow REBOUND (Off:0 Def:1),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Restricted Area,0-8 Center,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT09M27.00S,2022-11-26T00:45:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,6.258212877792378,52.20588235294118,1610612757,4,2,2022-11-26T00:45:32Z,380000,False,-11.0,6.0,1,left,J. Grant driving Layup (2 PTS) (J. Nurkic 1 AST),"[203924, 203994]",1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,1.27,Made,,,,,,,,,2.0,J. Nurkic,203994.0,1.0,,,,,,
40,PT09M16.00S,2022-11-26T00:45:39.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,68.01905387647832,61.274509803921575,1610612752,7,2,2022-11-26T00:47:21Z,400000,False,56.0,248.0,1,right,J. Brunson 25' 3PT pullup (3 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,25.44,Made,,,,,,,,,3.0,,,,,,,,,
41,PT08M55.00S,2022-11-26T00:46:01.0Z,1,REGULAR,3pt,Jump Shot,[],1629014,30.56833114323259,68.62745098039215,1610612757,7,5,2022-11-26T00:46:05Z,410000,False,-93.0,235.0,1,left,A. Simons 25' 3PT pullup (3 PTS),[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,25.26,Made,,,,,,,,,3.0,,,,,,,,,
42,PT08M41.00S,2022-11-26T00:46:14.2Z,1,REGULAR,3pt,Jump Shot,[],1628973,68.54467805519053,68.13725490196079,1610612752,7,5,2022-11-26T00:47:55Z,420000,False,91.0,243.0,1,right,MISS J. Brunson 25' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.96,Missed,,,,,,,,,,,,,,,,,,
43,PT08M39.00S,2022-11-26T00:46:16.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,7,5,2022-11-26T00:46:20Z,430000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,,
44,PT08M29.00S,2022-11-26T00:46:26.7Z,1,REGULAR,2pt,Jump Shot,[],1626159,9.149145860709593,29.65686274509804,1610612757,7,7,2022-11-26T00:46:31Z,440000,False,102.0,34.0,1,left,J. Winslow 10' Jump Shot (2 PTS) (J. Nurkic 2 AST),"[1626159, 203994]",1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Mid-Range,8-16 Right,10.71,Made,,,,,,,,,2.0,J. Nurkic,203994.0,2.0,,,,,,
46,PT08M06.00S,2022-11-26T00:46:49.3Z,1,REGULAR,3pt,Jump Shot,[],1629656,74.98357424441524,85.29411764705883,1610612752,7,7,2022-11-26T00:46:55Z,460000,False,176.0,183.0,1,right,MISS Q. Grimes 25' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,25.4,Missed,,,,,,,,,,,,,,,,,,
47,PT08M04.00S,2022-11-26T00:46:51.3Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,7,7,2022-11-26T00:46:55Z,470000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M58.00S,2022-11-26T00:47:00.7Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612757,7,7,2022-11-26T00:47:10Z,480000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Grant 2 FT),"[1628973, 203924]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,200832.0,,,,,,,,1.0,0.0,Grant,203924.0,,
50,PT07M58.00S,2022-11-26T00:47:25.7Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,7,8,2022-11-26T00:47:25Z,500000,False,,,0,,J. Grant Free Throw 1 of 2 (3 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
51,PT07M58.00S,2022-11-26T00:47:41.5Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,7,9,2022-11-26T00:47:41Z,510000,False,,,0,,J. Grant Free Throw 2 of 2 (4 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
52,PT07M36.00S,2022-11-26T00:48:05.3Z,1,REGULAR,2pt,Jump Shot,[],1629628,72.61826544021025,39.705882352941174,1610612752,7,9,2022-11-26T00:48:13Z,520000,False,-51.0,205.0,1,right,MISS R. Barrett 21' step back Shot - blocked,"[1629628, 203924]",1610612752.0,NYK,step back,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Center,21.13,Missed,,,,,,,Grant,203924.0,,,,,,,,,,
62,PT07M36.00S,2022-11-26T00:48:05.3Z,1,REGULAR,block,,[],203924,,,1610612752,7,9,2022-11-26T00:50:43Z,525000,False,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
53,PT07M34.00S,2022-11-26T00:48:07.3Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,7,9,2022-11-26T00:48:13Z,530000,False,,,0,,J. Hart REBOUND (Off:0 Def:3),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Mid-Range,16-24 Center,,,52.0,3.0,3.0,0.0,,,,,,,,,,,,,,
54,PT07M28.00S,2022-11-26T00:48:13.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203994,32.802233902759525,41.17647058823529,1610612757,7,12,2022-11-26T00:50:13Z,540000,False,44.0,256.0,1,left,J. Nurkic 25' 3PT running (3 PTS) (J. Grant 1 AST),"[203994, 203924]",1610612757.0,POR,running,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Center,25.96,Made,,,,,,,,,3.0,J. Grant,203924.0,1.0,,,,,,
56,PT07M15.00S,2022-11-26T00:48:25.2Z,1,REGULAR,3pt,Jump Shot,[],203944,69.20170827858082,27.450980392156865,1610612752,7,12,2022-11-26T00:48:34Z,560000,False,-113.0,237.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,26.24,Missed,,,,,,,,,,,,,,,,,,
57,PT07M13.00S,2022-11-26T00:48:27.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,7,12,2022-11-26T00:48:34Z,570000,False,,,0,,J. Hart REBOUND (Off:0 Def:4),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,56.0,4.0,4.0,0.0,,,,,,,,,,,,,,
58,PT07M01.00S,2022-11-26T00:48:42.3Z,1,REGULAR,foul,personal,[],1629011,,,1610612757,7,12,2022-11-26T00:48:58Z,580000,False,,,0,,M. Robinson personal FOUL (1 PF),"[1629011, 203994]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2003.0,,,,,,,,1.0,0.0,Nurkic,203994.0,,
61,PT06M56.00S,2022-11-26T00:49:14.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,7,12,2022-11-26T00:49:16Z,610000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M46.00S,2022-11-26T00:52:17.0Z,1,REGULAR,3pt,Jump Shot,[],1626159,31.750985545335087,32.35294117647059,1610612757,7,12,2022-11-26T00:52:22Z,620000,False,88.0,246.0,1,left,MISS J. Winslow 26' 3PT,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Above the Break 3,24+ Right Center,26.13,Missed,,,,,,,,,,,,,,,,,,
64,PT06M44.00S,2022-11-26T00:52:20.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,7,12,2022-11-26T00:52:20Z,630000,False,,,0,,R. Barrett REBOUND (Off:1 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,63.0,3.0,2.0,1.0,,,,,,,,,,,,,,
65,PT06M37.00S,2022-11-26T00:52:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,93.24901445466492,49.26470588235294,1610612752,9,12,2022-11-26T00:52:33Z,640000,False,-4.0,11.0,1,right,M. Robinson Layup (2 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,1.16,Made,,,,,,,,,2.0,R. Barrett,1629628.0,1.0,,,,,,
67,PT06M20.00S,2022-11-26T00:52:43.6Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,9,12,2022-11-26T00:52:47Z,660000,False,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 203944]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,,,,,,,,,,,Randle,203944.0
68,PT06M20.00S,2022-11-26T00:52:43.6Z,1,REGULAR,steal,,[],203944,,,1610612752,9,12,2022-11-26T00:52:45Z,670000,False,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
69,PT06M07.00S,2022-11-26T00:53:00.1Z,1,REGULAR,foul,personal,[],203924,,,1610612752,9,12,2022-11-26T00:53:18Z,680000,False,,,0,,J. Grant personal FOUL (1 PF),"[203924, 203944]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,,,,,,,202056.0,,,,,,,,1.0,0.0,Randle,203944.0,,
71,PT05M59.00S,2022-11-26T00:53:27.0Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612752,9,12,2022-11-26T00:53:34Z,700000,False,,,0,,J. Hart shooting personal FOUL (1 PF) (Brunson 2 FT),"[1628404, 1628973]",1610612757.0,POR,shooting,,,Hart,J. Hart,,,,,Mid-Range,8-16 Right,,,,,,,200832.0,,,,,,,,1.0,0.0,Brunson,1628973.0,,
74,PT05M59.00S,2022-11-26T00:53:41.3Z,1,REGULAR,substitution,out,[],203924,,,1610612752,9,12,2022-11-26T00:54:17Z,715000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M59.00S,2022-11-26T00:53:41.3Z,1,REGULAR,substitution,in,[],1629642,,,1610612752,9,12,2022-11-26T00:54:17Z,717500,False,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M59.00S,2022-11-26T00:53:55.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628973,,,1610612752,10,12,2022-11-26T00:53:55Z,720000,False,,,0,,J. Brunson Free Throw 1 of 2 (4 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
76,PT05M59.00S,2022-11-26T00:54:34.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628973,,,1610612752,11,12,2022-11-26T00:54:34Z,730000,False,,,0,,J. Brunson Free Throw 2 of 2 (5 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,,
77,PT05M34.00S,2022-11-26T00:55:01.2Z,1,REGULAR,2pt,Jump Shot,[],1626159,22.158344283837057,81.61764705882352,1610612757,11,12,2022-11-26T00:55:28Z,740000,False,-158.0,156.0,1,left,MISS J. Winslow 22' pullup Shot,[1626159],1610612757.0,POR,pullup,,,Winslow,J. Winslow,,,,,Mid-Range,16-24 Left Center,22.2,Missed,,,,,,,,,,,,,,,,,,
78,PT05M32.00S,2022-11-26T00:55:03.2Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,11,12,2022-11-26T00:55:05Z,750000,False,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,,,77.0,2.0,2.0,0.0,,,,,,,,,,,,,,
79,PT05M20.00S,2022-11-26T00:55:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,87.59855453350855,37.99019607843137,1610612752,11,12,2022-11-26T00:56:10Z,760000,False,-60.0,64.0,1,right,MISS R. Barrett 8' driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Left,8.78,Missed,,,,,,,,,,,,,,,,,,
80,PT05M18.00S,2022-11-26T00:55:17.3Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,11,12,2022-11-26T00:55:20Z,770000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),8-16 Left,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,,,
81,PT05M07.00S,2022-11-26T00:55:28.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203994,6.521024967148489,50.0,1610612757,11,14,2022-11-26T00:55:31Z,780000,False,0.0,9.0,1,left,J. Nurkic DUNK (5 PTS) (J. Hart 1 AST),"[203994, 1628404]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,,,,,5.0,J. Hart,1628404.0,1.0,,,,,,
83,PT04M48.00S,2022-11-26T00:55:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,94.82588699080158,50.49019607843137,1610612752,13,14,2022-11-26T00:55:55Z,800000,False,2.0,-4.0,1,right,J. Randle driving Layup (2 PTS) (Q. Grimes 1 AST),"[203944, 1629656]",1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,0.46,Made,,,,,,,,,2.0,Q. Grimes,1629656.0,1.0,,,,,,
85,PT04M48.00S,2022-11-26T00:55:52.6Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612752,13,14,2022-11-26T00:56:04Z,820000,False,,,0,,J. Nurkic shooting personal FOUL (2 PF) (Randle 1 FT),"[203994, 203944]",1610612757.0,POR,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,200832.0,,,,,,,,2.0,0.0,Randle,203944.0,,
87,PT04M48.00S,2022-11-26T00:55:52.6Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,13,14,2022-11-26T00:56:11Z,840000,False,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M48.00S,2022-11-26T00:55:52.6Z,1,REGULAR,substitution,out,[],1628973,,,1610612752,13,14,2022-11-26T00:56:11Z,850000,False,,,0,,SUB out: J. Brunson,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,
