actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M32.00S,2022-12-25T17:10:22.8Z,1,REGULAR,2pt,Jump Shot,[],1628973,75.90341655716163,55.63725490196079,1610612752,5,2,2022-12-25T17:10:26Z,180000,False,28.0,174.0,1,right,MISS J. Brunson 17' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,17.63,Missed,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2022-12-25T17:10:24.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,5,2,2022-12-25T17:10:26Z,190000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Center,,,,,,,18.0,,,,,,1.0,1.0,0.0,,,,,
20,PT10M21.00S,2022-12-25T17:10:34.0Z,1,REGULAR,2pt,Jump Shot,[],203954,6.258212877792378,26.96078431372549,1610612755,5,2,2022-12-25T17:10:37Z,200000,False,115.0,6.0,1,left,MISS J. Embiid 11' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,11.54,Missed,,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2022-12-25T17:10:36.0Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,5,2,2022-12-25T17:10:37Z,210000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,,,,,,,20.0,,,,,,1.0,1.0,0.0,,,,,
22,PT10M11.00S,2022-12-25T17:10:44.7Z,1,REGULAR,3pt,Jump Shot,[],203944,67.23061760840999,46.81372549019608,1610612752,8,2,2022-12-25T17:10:49Z,220000,False,-16.0,256.0,1,right,J. Randle 25' 3PT pullup (6 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.6,Made,6.0,,,,,,,,,,,,,,,,,
23,PT09M59.00S,2022-12-25T17:10:58.7Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612755,8,2,2022-12-25T17:11:07Z,230000,False,,,0,,M. Robinson shooting personal FOUL (1 PF) (Harden 2 FT),"[1629011, 201935]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1148.0,1.0,0.0,Harden,201935.0,,,,,,,,
25,PT09M59.00S,2022-12-25T17:11:20.7Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,8,3,2022-12-25T17:11:20Z,250000,False,,,0,,J. Harden Free Throw 1 of 2 (3 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2022-12-25T17:11:37.9Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,8,4,2022-12-25T17:11:37Z,260000,False,,,0,,J. Harden Free Throw 2 of 2 (4 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
27,PT09M52.00S,2022-12-25T17:11:46.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629656,94.1688567674113,49.50980392156863,1610612752,10,4,2022-12-25T17:12:07Z,270000,False,-2.0,2.0,1,right,Q. Grimes cutting DUNK (2 PTS) (J. Brunson 2 AST),"[1629656, 1628973]",1610612752.0,NYK,cutting,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,0.34,Made,2.0,J. Brunson,1628973.0,2.0,,,,,,,,,,,,,,
29,PT09M32.00S,2022-12-25T17:12:16.9Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612755,10,4,2022-12-25T17:12:29Z,290000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628973, 203954]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,201245.0,1.0,0.0,Embiid,203954.0,,,,,,,,
31,PT09M32.00S,2022-12-25T17:12:38.6Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,10,4,2022-12-25T17:12:38Z,310000,False,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
32,PT09M32.00S,2022-12-25T17:12:38.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,10,4,2022-12-25T17:12:38Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,
33,PT09M32.00S,2022-12-25T17:12:38.6Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,10,4,2022-12-25T17:12:58Z,330000,False,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
34,PT09M29.00S,2022-12-25T17:12:41.6Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,10,4,2022-12-25T17:12:58Z,340000,False,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,33.0,,,,,,2.0,2.0,0.0,,,,,
35,PT09M24.00S,2022-12-25T17:13:03.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628973,84.57621550591328,42.64705882352941,1610612752,12,4,2022-12-25T17:13:07Z,350000,False,-37.0,92.0,1,right,J. Brunson 9' turnaround fadeaway Jump Shot (4 PTS),[1628973],1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,9.96,Made,4.0,,,,,,,,,,,,,,,,,
36,PT09M05.00S,2022-12-25T17:13:21.0Z,1,REGULAR,2pt,Jump Shot,[],203954,21.76412614980289,49.754901960784316,1610612755,12,6,2022-12-25T17:13:26Z,360000,False,1.0,152.0,1,left,J. Embiid 15' Jump Shot (2 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,15.21,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
38,PT08M50.00S,2022-12-25T17:13:35.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,90.3580814717477,54.41176470588235,1610612752,12,6,2022-12-25T17:13:41Z,380000,False,22.0,38.0,1,right,MISS J. Brunson driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,4.4,Missed,,,,,,,,,,,,,,,,,,
39,PT08M49.00S,2022-12-25T17:13:36.9Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,12,6,2022-12-25T17:13:41Z,390000,False,,,0,,M. Robinson REBOUND (Off:1 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,38.0,,,,,,3.0,2.0,1.0,,,,,
40,PT08M49.00S,2022-12-25T17:13:40.3Z,1,REGULAR,foul,personal,['2freethrow'],1629001,,,1610612752,12,6,2022-12-25T17:14:05Z,400000,False,,,0,,D. Melton shooting personal FOUL (1 PF) (Robinson 2 FT),"[1629001, 1629011]",1610612755.0,PHI,shooting,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,,,,201245.0,1.0,0.0,Robinson,1629011.0,,,,,,,,
42,PT08M49.00S,2022-12-25T17:14:08.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629011,,,1610612752,13,6,2022-12-25T17:14:08Z,420000,False,,,0,,M. Robinson Free Throw 1 of 2 (1 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
43,PT08M49.00S,2022-12-25T17:14:25.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629011,,,1610612752,14,6,2022-12-25T17:14:25Z,430000,False,,,0,,M. Robinson Free Throw 2 of 2 (2 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
44,PT08M33.00S,2022-12-25T17:14:43.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203954,11.12023653088042,41.66666666666667,1610612755,14,6,2022-12-25T17:14:48Z,440000,False,42.0,52.0,1,left,MISS J. Embiid 6' driving DUNK - blocked,"[203954, 1629011]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,6.67,Missed,,,,,,,,,,,,,,Robinson,1629011.0,,,
45,PT08M33.00S,2022-12-25T17:14:43.9Z,1,REGULAR,block,,[],1629011,,,1610612755,14,6,2022-12-25T17:14:47Z,450000,False,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT08M29.00S,2022-12-25T17:14:47.9Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,14,6,2022-12-25T17:17:45Z,460000,False,,,0,,M. Robinson REBOUND (Off:1 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,44.0,,,,,,4.0,3.0,1.0,,,,,
47,PT08M27.00S,2022-12-25T17:14:49.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629656,90.88370565045992,2.941176470588235,1610612752,14,6,2022-12-25T17:15:35Z,470000,False,-235.0,33.0,1,right,MISS Q. Grimes running 3PT,[1629656],1610612752.0,NYK,running,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,23.76,Missed,,,,,,,,,,,,,,,,,,
48,PT08M24.00S,2022-12-25T17:14:52.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,14,6,2022-12-25T17:15:35Z,480000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,,,,,47.0,,,,,,1.0,1.0,0.0,,,,,
49,PT08M17.00S,2022-12-25T17:14:59.1Z,1,REGULAR,3pt,Jump Shot,[],1629001,6.1268068331143235,4.901960784313726,1610612755,14,9,2022-12-25T17:15:01Z,490000,False,225.0,5.0,1,left,D. Melton 3PT  (3 PTS) (J. Harden 2 AST),"[1629001, 201935]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Right Corner 3,24+ Right,22.56,Made,3.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,
51,PT07M59.00S,2022-12-25T17:15:17.0Z,1,REGULAR,3pt,Jump Shot,[],203944,67.62483574244416,59.068627450980394,1610612752,14,9,2022-12-25T17:15:21Z,510000,False,45.0,252.0,1,right,MISS J. Randle 25' step back bank 3PT,[203944],1610612752.0,NYK,step back bank,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.58,Missed,,,,,,,,,,,,,,,,,,
52,PT07M56.00S,2022-12-25T17:15:20.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,14,9,2022-12-25T17:15:21Z,520000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,,,,,51.0,,,,,,2.0,2.0,0.0,,,,,
53,PT07M52.00S,2022-12-25T17:15:24.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,7.703679369250986,47.30392156862745,1610612755,14,11,2022-12-25T17:15:29Z,530000,False,13.0,20.0,1,left,T. Harris running finger roll Layup (2 PTS),[202699],1610612755.0,PHI,running finger roll,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.4,Made,2.0,,,,,,,,,,,,,,,,,
55,PT07M33.00S,2022-12-25T17:16:01.0Z,1,REGULAR,3pt,Jump Shot,[],1628973,80.3712220762155,91.17647058823529,1610612752,17,11,2022-12-25T17:16:05Z,550000,False,206.0,132.0,1,right,J. Brunson 24' 3PT step back (7 PTS) (M. Robinson 1 AST),"[1628973, 1629011]",1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,24.46,Made,7.0,M. Robinson,1629011.0,1.0,,,,,,,,,,,,,,
57,PT07M22.00S,2022-12-25T17:16:15.3Z,1,REGULAR,foul,personal,['3freethrow'],1629656,,,1610612755,17,11,2022-12-25T17:16:25Z,570000,False,,,0,,Q. Grimes shooting personal FOUL (1 PF) (Harden 3 FT),"[1629656, 201935]",1610612752.0,NYK,shooting,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,,,,,1626300.0,1.0,0.0,Harden,201935.0,,,,,,,,
59,PT07M22.00S,2022-12-25T17:16:43.5Z,1,REGULAR,freethrow,1 of 3,[],201935,,,1610612755,17,12,2022-12-25T17:17:20Z,590000,False,,,0,,J. Harden Free Throw 1 of 3 (5 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
60,PT07M22.00S,2022-12-25T17:16:43.5Z,1,REGULAR,freethrow,2 of 3,[],201935,,,1610612755,17,13,2022-12-25T17:17:20Z,600000,False,,,0,,J. Harden Free Throw 2 of 3 (6 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
61,PT07M22.00S,2022-12-25T17:16:43.5Z,1,REGULAR,freethrow,3 of 3,[],201935,,,1610612755,17,13,2022-12-25T17:17:20Z,610000,False,,,0,,MISS J. Harden Free Throw 3 of 3,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
62,PT07M20.00S,2022-12-25T17:16:45.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,17,13,2022-12-25T17:17:20Z,620000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,61.0,,,,,,1.0,1.0,0.0,,,,,
64,PT07M10.00S,2022-12-25T17:17:36.6Z,1,REGULAR,foul,personal,[],200782,,,1610612752,17,13,2022-12-25T17:17:42Z,640000,False,,,0,,P. Tucker personal FOUL (2 PF),"[200782, 1628973]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,16-24 Right Center,,,,,,,,1148.0,2.0,0.0,Brunson,1628973.0,,,,,,,,
66,PT07M03.00S,2022-12-25T17:17:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,86.81011826544021,49.26470588235294,1610612752,19,13,2022-12-25T17:17:58Z,660000,False,-4.0,71.0,1,right,R. Barrett 7' driving floating Jump Shot (2 PTS) (M. Robinson 2 AST),"[1629628, 1629011]",1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,7.16,Made,2.0,M. Robinson,1629011.0,2.0,,,,,,,,,,,,,,
67,PT06M49.00S,2022-12-25T17:18:05.7Z,1,REGULAR,turnover,lost ball,[],1629001,,,1610612755,19,13,2022-12-25T17:19:01Z,670000,False,,,0,,D. Melton lost ball TURNOVER (1 TO),"[1629001, 203944]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Randle,203944.0
68,PT06M49.00S,2022-12-25T17:18:05.7Z,1,REGULAR,steal,,[],203944,,,1610612752,19,13,2022-12-25T17:21:12Z,680000,False,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT06M49.00S,2022-12-25T17:18:12.9Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612752,19,13,2022-12-25T17:18:19Z,690000,False,,,0,,J. Embiid shooting personal FOUL (1 PF) (Barrett 2 FT),"[203954, 1629628]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,201245.0,1.0,0.0,Barrett,1629628.0,,,,,,,,
72,PT06M49.00S,2022-12-25T17:18:23.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,19,13,2022-12-25T17:18:23Z,710000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M49.00S,2022-12-25T17:18:23.2Z,1,REGULAR,substitution,out,[],200782,,,1610612752,19,13,2022-12-25T17:21:53Z,720000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M49.00S,2022-12-25T17:18:23.2Z,1,REGULAR,substitution,in,[],1627863,,,1610612752,19,13,2022-12-25T17:21:53Z,730000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M49.00S,2022-12-25T17:22:03.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629628,,,1610612752,19,13,2022-12-25T17:22:03Z,740000,False,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
76,PT06M49.00S,2022-12-25T17:22:03.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,19,13,2022-12-25T17:22:03Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,
77,PT06M49.00S,2022-12-25T17:22:16.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629628,,,1610612752,20,13,2022-12-25T17:22:16Z,760000,False,,,0,,R. Barrett Free Throw 2 of 2 (3 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
78,PT06M30.00S,2022-12-25T17:22:37.3Z,1,REGULAR,2pt,Jump Shot,[],203954,13.091327201051248,72.05882352941177,1610612755,20,13,2022-12-25T17:22:41Z,770000,False,-110.0,71.0,1,left,MISS J. Embiid 13' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,13.1,Missed,,,,,,,,,,,,,,,,,,
79,PT06M27.00S,2022-12-25T17:22:40.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,20,13,2022-12-25T17:22:41Z,780000,False,,,0,,M. Robinson REBOUND (Off:1 Def:4),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,8-16 Left,,,,,,,78.0,,,,,,5.0,4.0,1.0,,,,,
80,PT06M18.00S,2022-12-25T17:22:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,85.3646517739816,47.30392156862745,1610612752,20,13,2022-12-25T17:22:55Z,790000,False,-13.0,85.0,1,right,MISS R. Barrett 8' floating Shot,[1629628],1610612752.0,NYK,floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,8.62,Missed,,,,,,,,,,,,,,,,,,
81,PT06M16.00S,2022-12-25T17:22:51.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,20,13,2022-12-25T17:22:55Z,800000,False,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,80.0,,,,,,3.0,3.0,0.0,,,,,
82,PT05M55.00S,2022-12-25T17:23:12.0Z,1,REGULAR,3pt,Jump Shot,[],203954,32.013797634691194,35.049019607843135,1610612755,20,16,2022-12-25T17:23:15Z,810000,False,75.0,248.0,1,left,J. Embiid 25' 3PT  (5 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,25.94,Made,5.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,,
84,PT05M35.00S,2022-12-25T17:23:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629628,93.24901445466492,94.36274509803921,1610612752,23,16,2022-12-25T17:23:35Z,830000,False,222.0,11.0,1,right,R. Barrett 3PT  (6 PTS) (J. Brunson 3 AST),"[1629628, 1628973]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,22.21,Made,6.0,J. Brunson,1628973.0,3.0,,,,,,,,,,,,,,
86,PT05M16.00S,2022-12-25T17:23:50.5Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,23,16,2022-12-25T17:23:55Z,850000,False,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 1629656]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,1.0,Grimes,1629656.0
87,PT05M16.00S,2022-12-25T17:23:50.5Z,1,REGULAR,steal,,[],1629656,,,1610612752,23,16,2022-12-25T17:23:52Z,860000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
88,PT05M12.00S,2022-12-25T17:23:54.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628973,94.56307490144546,49.50980392156863,1610612752,25,16,2022-12-25T17:23:59Z,870000,False,-2.0,-1.0,1,right,J. Brunson running finger roll Layup (9 PTS) (Q. Grimes 2 AST),"[1628973, 1629656]",1610612752.0,NYK,running finger roll,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,0.29,Made,9.0,Q. Grimes,1629656.0,2.0,,,,,,,,,,,,,,
