actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
25,PT10M11.00S,2022-12-01T00:44:04.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,3,0,2022-12-01T00:44:07Z,250000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT10M05.00S,2022-12-01T00:44:10.1Z,1,REGULAR,2pt,Jump Shot,[],1629628,20.18725361366623,25.735294117647058,1610612752,5,0,2022-12-01T00:44:13Z,260000,False,121.0,137.0,1,left,R. Barrett 18' pullup Jump Shot (2 PTS),[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Right Center,18.32,Made,,,,,,,2.0,,,,,,,,,,,
27,PT09M48.00S,2022-12-01T00:44:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,94.1688567674113,50.49019607843137,1610612749,5,0,2022-12-01T00:44:31Z,270000,False,2.0,2.0,1,right,MISS G. Antetokounmpo alley-oop Layup,[203507],1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.34,Missed,,,,,,,,,,,,,,,,,,
28,PT09M46.00S,2022-12-01T00:44:29.2Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,5,0,2022-12-01T00:44:31Z,280000,False,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,
29,PT09M39.00S,2022-12-01T00:44:35.6Z,1,REGULAR,3pt,Jump Shot,[],1629656,4.418528252299605,96.56862745098039,1610612752,5,0,2022-12-01T00:44:41Z,290000,False,-233.0,-11.0,1,left,MISS Q. Grimes 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,23.31,Missed,,,,,,,,,,,,,,,,,,
30,PT09M37.00S,2022-12-01T00:44:37.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,0,2022-12-01T00:44:41Z,300000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Left Corner 3,24+ Left,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,
31,PT09M29.00S,2022-12-01T00:44:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,93.9060446780552,53.18627450980392,1610612749,5,2,2022-12-01T00:44:52Z,310000,False,16.0,5.0,1,right,G. Allen reverse Layup (2 PTS) (G. Antetokounmpo 1 AST),"[1628960, 203507]",1610612749.0,MIL,reverse,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,1.66,Made,,,,,,,2.0,,,,,,,G. Antetokounmpo,203507.0,1.0,,
33,PT09M16.00S,2022-12-01T00:44:58.5Z,1,REGULAR,2pt,Jump Shot,[],203944,21.23850197109067,47.549019607843135,1610612752,7,2,2022-12-01T00:46:29Z,330000,False,12.0,147.0,1,left,J. Randle 14' step back Jump Shot (5 PTS),[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,Mid-Range,8-16 Center,14.76,Made,,,,,,,5.0,,,,,,,,,,,
34,PT09M02.00S,2022-12-01T00:45:12.7Z,1,REGULAR,3pt,Jump Shot,[],203507,65.52233902759527,61.76470588235294,1610612749,7,2,2022-12-01T00:45:19Z,340000,False,59.0,272.0,1,right,MISS G. Antetokounmpo 27' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,27.79,Missed,,,,,,,,,,,,,,,,,,
35,PT09M00.00S,2022-12-01T00:45:14.7Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,7,2,2022-12-01T00:45:19Z,350000,False,,,0,,M. Robinson REBOUND (Off:0 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Center,,,,,34.0,3.0,3.0,0.0,,,,,,,,,,,,
36,PT08M50.00S,2022-12-01T00:45:25.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201565,10.726018396846255,53.67647058823529,1610612752,9,2,2022-12-01T00:45:30Z,360000,False,-18.0,48.0,1,left,D. Rose driving floating Jump Shot (2 PTS) (R. Barrett 1 AST),"[201565, 1629628]",1610612752.0,NYK,driving floating,,,Rose,D. Rose,,,,,In The Paint (Non-RA),0-8 Center,5.17,Made,,,,,,,2.0,,,,,,,R. Barrett,1629628.0,1.0,,
38,PT08M31.00S,2022-12-01T00:45:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,93.51182654402102,52.20588235294118,1610612749,9,4,2022-12-01T00:47:15Z,380000,False,11.0,8.0,1,right,G. Allen driving finger roll Layup (4 PTS),[1628960],1610612749.0,MIL,driving finger roll,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,,4.0,,,,,,,,,,,
39,PT08M17.00S,2022-12-01T00:45:57.3Z,1,REGULAR,2pt,Jump Shot,[],203944,22.158344283837057,51.9607843137255,1610612752,9,4,2022-12-01T00:46:08Z,390000,False,-10.0,156.0,1,left,MISS J. Randle 15' step back Shot,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,Mid-Range,8-16 Center,15.61,Missed,,,,,,,,,,,,,,,,,,
40,PT08M15.00S,2022-12-01T00:45:59.3Z,1,REGULAR,rebound,offensive,[],1629656,,,1610612752,9,4,2022-12-01T00:46:08Z,400000,False,,,0,,Q. Grimes REBOUND (Off:1 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Mid-Range,8-16 Center,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,,,
41,PT08M04.00S,2022-12-01T00:46:10.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201565,6.915243101182654,52.69607843137255,1610612752,9,4,2022-12-01T00:46:14Z,410000,False,-13.0,13.0,1,left,MISS D. Rose driving Layup - blocked,"[201565, 201572]",1610612752.0,NYK,driving,,,Rose,D. Rose,,,,,Restricted Area,0-8 Center,1.84,Missed,Lopez,201572.0,,,,,,,,,,,,,,,,
42,PT08M04.00S,2022-12-01T00:46:10.9Z,1,REGULAR,block,,[],201572,,,1610612752,9,4,2022-12-01T00:46:13Z,420000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M02.00S,2022-12-01T00:46:12.9Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,9,4,2022-12-01T00:46:14Z,430000,False,,,0,,G. Allen REBOUND (Off:0 Def:2),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,
44,PT07M53.00S,2022-12-01T00:46:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,94.82588699080158,47.30392156862745,1610612749,9,6,2022-12-01T00:46:24Z,440000,False,-13.0,-4.0,1,right,J. Holiday driving Layup (2 PTS) (G. Allen 1 AST),"[201950, 1628960]",1610612749.0,MIL,driving,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.41,Made,,,,,,,2.0,,,,,,,G. Allen,1628960.0,1.0,,
45,PT07M44.00S,2022-12-01T00:46:33.4Z,1,REGULAR,foul,personal,['2freethrow'],201950,,,1610612752,9,6,2022-12-01T00:46:41Z,450000,False,,,0,,J. Holiday shooting personal FOUL (2 PF) (Barrett 2 FT),"[201950, 1629628]",1610612749.0,MIL,shooting,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1627961.0,2.0,0.0,Barrett,1629628.0,,,,,,
48,PT07M44.00S,2022-12-01T00:46:45.8Z,1,REGULAR,substitution,out,[],201950,,,1610612752,9,6,2022-12-01T00:47:09Z,465000,False,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M44.00S,2022-12-01T00:46:45.8Z,1,REGULAR,substitution,in,[],1626171,,,1610612752,9,6,2022-12-01T00:47:09Z,467500,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M44.00S,2022-12-01T00:46:58.3Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,10,6,2022-12-01T00:46:58Z,470000,False,,,0,,R. Barrett Free Throw 1 of 2 (3 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
50,PT07M44.00S,2022-12-01T00:47:19.1Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,11,6,2022-12-01T00:47:19Z,480000,False,,,0,,R. Barrett Free Throw 2 of 2 (4 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
51,PT07M26.00S,2022-12-01T00:47:39.4Z,1,REGULAR,3pt,Jump Shot,[],201572,77.21747700394218,8.333333333333332,1610612749,11,6,2022-12-01T00:47:47Z,490000,False,-208.0,162.0,1,right,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,26.37,Missed,,,,,,,,,,,,,,,,,,
52,PT07M24.00S,2022-12-01T00:47:41.4Z,1,REGULAR,rebound,offensive,[],1628975,,,1610612749,11,6,2022-12-01T00:47:47Z,500000,False,,,0,,J. Carter REBOUND (Off:1 Def:0),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Left Center,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,
53,PT07M13.00S,2022-12-01T00:47:52.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,93.77463863337714,51.9607843137255,1610612749,11,8,2022-12-01T00:47:56Z,510000,False,10.0,6.0,1,right,B. Portis Layup (2 PTS) (G. Antetokounmpo 2 AST),"[1626171, 203507]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,2.0,,,,,,,G. Antetokounmpo,203507.0,2.0,,
55,PT06M51.00S,2022-12-01T00:48:13.6Z,1,REGULAR,3pt,Jump Shot,[],203944,10.85742444152431,95.58823529411765,1610612752,11,8,2022-12-01T00:48:18Z,530000,False,-228.0,50.0,1,left,MISS J. Randle 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,23.32,Missed,,,,,,,,,,,,,,,,,,
56,PT06M49.00S,2022-12-01T00:48:15.6Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,11,8,2022-12-01T00:48:18Z,540000,False,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Left Corner 3,24+ Left,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,
57,PT06M44.00S,2022-12-01T00:48:23.6Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612749,11,8,2022-12-01T00:48:36Z,550000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629628, 203507]",1610612752.0,NYK,shooting,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1628484.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
59,PT06M44.00S,2022-12-01T00:48:42.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,11,8,2022-12-01T00:48:42Z,570000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M44.00S,2022-12-01T00:48:42.1Z,1,REGULAR,substitution,out,[],201572,,,1610612749,11,8,2022-12-01T00:51:05Z,580000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M44.00S,2022-12-01T00:48:42.1Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,11,8,2022-12-01T00:51:05Z,590000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M44.00S,2022-12-01T00:51:34.5Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,11,9,2022-12-01T00:52:05Z,600000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
64,PT06M44.00S,2022-12-01T00:51:34.5Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,11,9,2022-12-01T00:52:05Z,610000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
65,PT06M42.00S,2022-12-01T00:51:36.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,11,9,2022-12-01T00:52:05Z,620000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,
66,PT06M31.00S,2022-12-01T00:52:15.5Z,1,REGULAR,foul,offensive,[],1629628,,,1610612752,11,9,2022-12-01T00:52:30Z,630000,False,,,0,,R. Barrett charge offensive FOUL (2 PF),"[1629628, 1628960]",1610612752.0,NYK,charge,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628484.0,2.0,0.0,Allen,1628960.0,,,,,,
68,PT06M31.00S,2022-12-01T00:52:15.5Z,1,REGULAR,turnover,offensive foul,[],1629628,,,1610612752,11,9,2022-12-01T00:52:15Z,650000,False,,,0,,R. Barrett offensive foul TURNOVER (1 TO),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628484.0,,,,,1.0,,,,,
69,PT06M22.00S,2022-12-01T00:52:36.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203507,67.88764783180025,39.21568627450981,1610612749,11,9,2022-12-01T00:52:47Z,660000,False,-54.0,249.0,1,right,MISS G. Antetokounmpo 25' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,25.52,Missed,,,,,,,,,,,,,,,,,,
70,PT06M20.00S,2022-12-01T00:52:38.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,11,9,2022-12-01T00:55:36Z,670000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,
71,PT06M14.00S,2022-12-01T00:52:46.9Z,1,REGULAR,turnover,traveling,[],203944,,,1610612752,11,9,2022-12-01T00:52:51Z,680000,False,,,0,,J. Randle traveling TURNOVER (1 TO),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1662.0,,,,,1.0,,,,,
72,PT06M06.00S,2022-12-01T00:53:08.8Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612749,11,9,2022-12-01T00:53:14Z,690000,False,,,0,,J. Randle shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[203944, 203507]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,,,,,1662.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
75,PT06M06.00S,2022-12-01T00:53:28.5Z,1,REGULAR,substitution,out,[],1629628,,,1610612749,11,9,2022-12-01T00:53:52Z,705000,False,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M06.00S,2022-12-01T00:53:28.5Z,1,REGULAR,substitution,in,[],1630193,,,1610612749,11,9,2022-12-01T00:53:52Z,707500,False,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M06.00S,2022-12-01T00:53:48.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203507,,,1610612749,11,10,2022-12-01T00:53:48Z,710000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
77,PT06M06.00S,2022-12-01T00:54:13.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203507,,,1610612749,11,11,2022-12-01T00:54:13Z,720000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
78,PT05M52.00S,2022-12-01T00:54:29.3Z,1,REGULAR,2pt,Jump Shot,[],201565,21.895532194480946,52.20588235294118,1610612752,11,11,2022-12-01T00:54:37Z,730000,False,-11.0,153.0,1,left,MISS D. Rose 15' pullup Shot,[201565],1610612752.0,NYK,pullup,,,Rose,D. Rose,,,,,Mid-Range,8-16 Center,15.37,Missed,,,,,,,,,,,,,,,,,,
79,PT05M50.00S,2022-12-01T00:54:31.3Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,11,11,2022-12-01T00:54:37Z,740000,False,,,0,,M. Robinson REBOUND (Off:1 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,8-16 Center,,,,,78.0,4.0,3.0,1.0,,,,,,,,,,,,
80,PT05M38.00S,2022-12-01T00:54:44.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201565,11.514454664914586,48.77450980392157,1610612752,13,11,2022-12-01T00:57:20Z,750000,False,6.0,56.0,1,left,D. Rose floating Jump Shot (4 PTS) (J. Randle 1 AST),"[201565, 203944]",1610612752.0,NYK,floating,,,Rose,D. Rose,,,,,In The Paint (Non-RA),0-8 Center,5.6,Made,,,,,,,4.0,,,,,,,J. Randle,203944.0,1.0,,
