actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
25,PT09M38.00S,2023-02-01T00:36:21.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,5.863994743758213,4.166666666666666,1610612752,3,4,2023-02-01T00:36:27Z,250000,False,229.0,3.0,1,left,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,22.92,Missed,,,,,,,,,,,,,,,,,,
26,PT09M36.00S,2023-02-01T00:36:23.8Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,3,4,2023-02-01T00:36:27Z,260000,False,,,0,,J. Sims REBOUND (Off:1 Def:1),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Right Corner 3,24+ Right,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,,
27,PT09M26.00S,2023-02-01T00:36:32.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,26.49474375821288,81.37254901960785,1610612752,3,4,2023-02-01T00:39:58Z,270000,False,-157.0,197.0,1,left,MISS J. Randle 25' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
28,PT09M24.00S,2023-02-01T00:36:34.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,3,4,2023-02-01T00:36:38Z,280000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,
29,PT09M20.00S,2023-02-01T00:36:39.2Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612747,3,4,2023-02-01T00:36:44Z,290000,False,,,0,,A. Davis bad pass TURNOVER (1 TO),"[203076, 1630579]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1.0,Sims,1630579.0,,,,
30,PT09M20.00S,2023-02-01T00:36:39.2Z,1,REGULAR,steal,,[],1630579,,,1610612752,3,4,2023-02-01T00:36:41Z,300000,False,,,0,,J. Sims STEAL (1 STL),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2023-02-01T00:37:01.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,6.915243101182654,64.2156862745098,1610612752,3,4,2023-02-01T00:40:39Z,320000,False,-71.0,13.0,1,left,MISS J. Brunson 7' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.22,Missed,,,,,,,,,,,,,,,,,,
33,PT09M13.00S,2023-02-01T00:37:03.1Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,3,4,2023-02-01T00:37:05Z,330000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT09M09.00S,2023-02-01T00:37:07.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629060,94.56307490144546,52.94117647058824,1610612747,3,6,2023-02-01T00:37:18Z,340000,False,15.0,-1.0,1,right,R. Hachimura running reverse Layup (4 PTS) (L. James 2 AST),"[1629060, 2544]",1610612747.0,LAL,running reverse,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.48,Made,4.0,L. James,2544.0,2.0,,,,,,,,,,,,,,
36,PT08M55.00S,2023-02-01T00:37:21.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,19.66162943495401,59.31372549019608,1610612752,3,6,2023-02-01T00:41:20Z,360000,False,-47.0,132.0,1,left,MISS J. Randle 14' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,14.03,Missed,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2023-02-01T00:37:23.2Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612747,3,6,2023-02-01T00:37:27Z,370000,False,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,
38,PT08M42.00S,2023-02-01T00:37:35.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,94.1688567674113,48.77450980392157,1610612747,3,8,2023-02-01T00:37:39Z,380000,False,-6.0,2.0,1,right,L. James cutting Layup (2 PTS) (A. Davis 1 AST),"[2544, 203076]",1610612747.0,LAL,cutting,,,James,L. James,,,,,Restricted Area,0-8 Center,0.65,Made,2.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,
40,PT08M42.00S,2023-02-01T00:37:37.9Z,1,REGULAR,foul,personal,['1freethrow'],1629628,,,1610612747,3,8,2023-02-01T00:37:43Z,400000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (James 1 FT),"[1629628, 2544]",1610612752.0,NYK,shooting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204059.0,1.0,0.0,,,,James,2544.0,,
42,PT08M42.00S,2023-02-01T00:38:06.0Z,1,REGULAR,freethrow,1 of 1,[],2544,,,1610612747,3,9,2023-02-01T00:38:06Z,420000,False,,,0,,L. James Free Throw 1 of 1 (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
43,PT08M38.00S,2023-02-01T00:38:15.7Z,1,REGULAR,foul,personal,[],203471,,,1610612752,3,9,2023-02-01T00:38:29Z,430000,False,,,0,,D. Schroder personal FOUL (1 PF),"[203471, 1628973]",1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204059.0,1.0,0.0,,,,Brunson,1628973.0,,
45,PT08M26.00S,2023-02-01T00:38:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,10.988830486202366,37.745098039215684,1610612752,3,9,2023-02-01T00:43:30Z,450000,False,61.0,51.0,1,left,MISS J. Randle 7' fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,7.96,Missed,,,,,,,,,,,,,,,,,,
46,PT08M24.00S,2023-02-01T00:38:54.5Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,3,9,2023-02-01T00:38:58Z,460000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,
47,PT08M14.00S,2023-02-01T00:39:05.7Z,1,REGULAR,turnover,out-of-bounds,[],203076,,,1610612747,3,9,2023-02-01T00:39:12Z,470000,False,,,0,,A. Davis lost ball out-of-bounds TURNOVER (2 TO),[203076],1610612747.0,LAL,lost ball,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204059.0,,,2.0,,,,,,
48,PT08M00.00S,2023-02-01T00:39:25.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,7.30946123521682,57.107843137254896,1610612752,5,9,2023-02-01T01:43:05Z,480000,False,-36.0,16.0,1,left,J. Brunson turnaround bank Jump Shot (4 PTS),[1628973],1610612752.0,NYK,turnaround bank,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,3.9,Made,4.0,,,,,,,,,,,,,,,,,
50,PT07M41.00S,2023-02-01T00:39:45.5Z,1,REGULAR,foul,personal,['2freethrow'],1630579,,,1610612747,5,9,2023-02-01T00:39:51Z,500000,False,,,0,,J. Sims shooting personal FOUL (1 PF) (Davis 2 FT),"[1630579, 203076]",1610612752.0,NYK,shooting,,,Sims,J. Sims,,,,,Mid-Range,16-24 Left,,,,,,,,,,,204059.0,1.0,0.0,,,,Davis,203076.0,,
52,PT07M41.00S,2023-02-01T00:40:15.4Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,5,9,2023-02-01T00:40:15Z,520000,False,,,0,,MISS A. Davis Free Throw 1 of 2,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
53,PT07M41.00S,2023-02-01T00:40:15.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,5,9,2023-02-01T00:40:15Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,
54,PT07M41.00S,2023-02-01T00:40:34.6Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,5,10,2023-02-01T00:40:34Z,540000,False,,,0,,A. Davis Free Throw 2 of 2 (3 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
55,PT07M26.00S,2023-02-01T00:40:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,6.389618922470433,53.18627450980392,1610612752,5,10,2023-02-01T00:40:55Z,550000,False,-16.0,8.0,1,left,MISS R. Barrett driving reverse Layup,[1629628],1610612752.0,NYK,driving reverse,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,1.76,Missed,,,,,,,,,,,,,,,,,,
56,PT07M24.00S,2023-02-01T00:40:51.8Z,1,REGULAR,rebound,defensive,[],203471,,,1610612747,5,10,2023-02-01T00:40:55Z,560000,False,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,
57,PT07M13.00S,2023-02-01T00:41:02.8Z,1,REGULAR,3pt,Jump Shot,[],2544,72.48685939553219,22.058823529411764,1610612747,5,10,2023-02-01T00:45:35Z,570000,False,-140.0,206.0,1,right,MISS L. James 24' step back 3PT,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,,
58,PT07M11.00S,2023-02-01T00:41:04.8Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,5,10,2023-02-01T00:41:08Z,580000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,
59,PT06M55.00S,2023-02-01T00:41:20.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,10.200394218134035,51.470588235294116,1610612752,5,10,2023-02-01T00:41:25Z,590000,False,-7.0,43.0,1,left,MISS R. Barrett fadeaway Shot,[1629628],1610612752.0,NYK,fadeaway,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,4.4,Missed,,,,,,,,,,,,,,,,,,
60,PT06M53.00S,2023-02-01T00:41:22.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,5,10,2023-02-01T00:41:25Z,600000,False,,,0,,L. James REBOUND (Off:0 Def:3),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,,59.0,3.0,3.0,0.0,,,,,,,,,,
61,PT06M39.00S,2023-02-01T00:41:36.6Z,1,REGULAR,2pt,Jump Shot,[],2544,93.24901445466492,24.264705882352942,1610612747,5,10,2023-02-01T00:46:11Z,610000,False,-129.0,11.0,1,right,MISS L. James 12' turnaround fadeaway Shot,[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,Mid-Range,8-16 Left,12.92,Missed,,,,,,,,,,,,,,,,,,
62,PT06M37.00S,2023-02-01T00:41:38.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,10,2023-02-01T00:41:43Z,620000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,
63,PT06M29.00S,2023-02-01T00:41:46.4Z,1,REGULAR,3pt,Jump Shot,[],1629656,28.203022339027594,23.774509803921568,1610612752,5,10,2023-02-01T00:41:53Z,630000,False,131.0,213.0,1,left,MISS Q. Grimes 24' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,24.98,Missed,,,,,,,,,,,,,,,,,,
64,PT06M27.00S,2023-02-01T00:41:48.4Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,5,10,2023-02-01T00:41:53Z,640000,False,,,0,,L. James REBOUND (Off:0 Def:4),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,63.0,4.0,4.0,0.0,,,,,,,,,,
65,PT06M19.00S,2023-02-01T00:41:56.6Z,1,REGULAR,3pt,Jump Shot,[],203076,67.23061760840999,41.17647058823529,1610612747,5,10,2023-02-01T00:42:00Z,650000,False,-44.0,256.0,1,right,MISS A. Davis 25' 3PT,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,25.93,Missed,,,,,,,,,,,,,,,,,,
66,PT06M17.00S,2023-02-01T00:41:58.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,10,2023-02-01T00:42:00Z,660000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,
67,PT06M07.00S,2023-02-01T00:42:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,16.113666228646515,36.27450980392157,1610612752,5,10,2023-02-01T00:42:19Z,670000,False,69.0,99.0,1,left,MISS J. Brunson 12' turnaround Shot,[1628973],1610612752.0,NYK,turnaround,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Right,12.04,Missed,,,,,,,,,,,,,,,,,,
68,PT06M05.00S,2023-02-01T00:42:10.5Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,5,10,2023-02-01T00:42:19Z,680000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,
69,PT06M01.00S,2023-02-01T00:42:27.4Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612747,5,10,2023-02-01T00:42:32Z,690000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Hachimura 2 FT),"[1628973, 1629060]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,1.0,0.0,,,,Hachimura,1629060.0,,
71,PT06M01.00S,2023-02-01T00:42:43.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,5,10,2023-02-01T00:42:43Z,710000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M01.00S,2023-02-01T00:42:43.2Z,1,REGULAR,substitution,out,[],203076,,,1610612747,5,10,2023-02-01T00:45:47Z,720000,False,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M01.00S,2023-02-01T00:42:43.2Z,1,REGULAR,substitution,out,[],1628972,,,1610612747,5,10,2023-02-01T00:45:47Z,730000,False,,,0,,SUB out: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M01.00S,2023-02-01T00:42:43.2Z,1,REGULAR,substitution,in,[],1628418,,,1610612747,5,10,2023-02-01T00:45:47Z,740000,False,,,0,,SUB in: T. Bryant,[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M01.00S,2023-02-01T00:42:43.2Z,1,REGULAR,substitution,in,[],201566,,,1610612747,5,10,2023-02-01T00:45:47Z,750000,False,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M01.00S,2023-02-01T00:46:00.7Z,1,REGULAR,freethrow,1 of 2,[],1629060,,,1610612747,5,10,2023-02-01T00:46:00Z,760000,False,,,0,,MISS R. Hachimura Free Throw 1 of 2,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
77,PT06M01.00S,2023-02-01T00:46:00.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,5,10,2023-02-01T00:46:00Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,
78,PT06M01.00S,2023-02-01T00:46:13.7Z,1,REGULAR,freethrow,2 of 2,[],1629060,,,1610612747,5,11,2023-02-01T00:46:13Z,780000,False,,,0,,R. Hachimura Free Throw 2 of 2 (5 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
79,PT05M42.00S,2023-02-01T00:46:37.6Z,1,REGULAR,turnover,traveling,[],1628973,,,1610612752,5,11,2023-02-01T00:46:43Z,790000,False,,,0,,J. Brunson traveling TURNOVER (1 TO),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,204059.0,,,1.0,,,,,,
80,PT05M30.00S,2023-02-01T00:47:02.0Z,1,REGULAR,foul,personal,[],1629628,,,1610612747,5,11,2023-02-01T00:47:13Z,800000,False,,,0,,R. Barrett personal FOUL (2 PF),"[1629628, 201566]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627963.0,2.0,0.0,,,,Westbrook,201566.0,,
82,PT05M30.00S,2023-02-01T00:47:02.1Z,1,REGULAR,substitution,out,[],1629628,,,1610612747,5,11,2023-02-01T00:47:24Z,820000,False,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M30.00S,2023-02-01T00:47:02.1Z,1,REGULAR,substitution,in,[],1630193,,,1610612747,5,11,2023-02-01T00:47:24Z,830000,False,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M20.00S,2023-02-01T00:47:48.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203471,93.77463863337714,95.58823529411765,1610612747,5,11,2023-02-01T00:47:54Z,840000,False,228.0,6.0,1,right,MISS D. Schroder 3PT,[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,Right Corner 3,24+ Right,22.8,Missed,,,,,,,,,,,,,,,,,,
