actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
16,PT10M49.00S,2022-10-24T23:43:04.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630532,4.418528252299605,95.83333333333334,1610612753,0,3,2022-10-24T23:43:08Z,160000,-229.0,-11.0,1,left,F. Wagner 3PT  (3 PTS) (C. Anthony 1 AST),"[1630532, 1630175]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,22.95,Made,,,,,,,,,3.0,C. Anthony,1630175.0,1.0,,,,,,
18,PT10M38.00S,2022-10-24T23:43:17.9Z,1,REGULAR,foul,personal,[],1631094,,,1610612752,0,3,2022-10-24T23:43:23Z,180000,,,0,,P. Banchero personal FOUL (1 PF),"[1631094, 1629011]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,202049.0,,,,,,,,1.0,0.0,Robinson,1629011.0,,
20,PT10M25.00S,2022-10-24T23:43:49.5Z,1,REGULAR,3pt,Jump Shot,[],203095,72.7496714848883,22.54901960784314,1610612752,0,3,2022-10-24T23:44:54Z,200000,-137.0,204.0,1,right,MISS E. Fournier 24' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,Above the Break 3,24+ Left Center,24.57,Missed,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2022-10-24T23:43:53.5Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,0,3,2022-10-25T00:05:07Z,210000,,,0,,J. Randle REBOUND (Off:1 Def:0),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,PT10M16.00S,2022-10-24T23:44:01.1Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612752,0,3,2022-10-24T23:44:06Z,220000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Randle 2 FT),"[1628976, 203944]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1162.0,,,,,,,,1.0,0.0,Randle,203944.0,,
24,PT10M16.00S,2022-10-24T23:44:29.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203944,,,1610612752,0,3,2022-10-24T23:44:29Z,240000,,,0,,MISS J. Randle Free Throw 1 of 2,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT10M16.00S,2022-10-24T23:44:29.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,0,3,2022-10-24T23:44:29Z,250000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,
26,PT10M16.00S,2022-10-24T23:44:45.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203944,,,1610612752,1,3,2022-10-24T23:44:45Z,260000,,,0,,J. Randle Free Throw 2 of 2 (1 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
27,PT10M05.00S,2022-10-24T23:45:01.7Z,1,REGULAR,foul,personal,[],1628973,,,1610612753,1,3,2022-10-24T23:45:09Z,270000,,,0,,J. Brunson personal FOUL (1 PF),"[1628973, 1630532]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right Center,,,,,,,202035.0,,,,,,,,1.0,0.0,Wagner,1630532.0,,
29,PT09M53.00S,2022-10-24T23:45:29.4Z,1,REGULAR,2pt,Jump Shot,[],1631094,22.815374507227332,26.715686274509803,1610612753,1,5,2022-10-24T23:46:43Z,290000,116.0,162.0,1,left,P. Banchero 19' pullup Jump Shot (2 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,19.95,Made,,,,,,,,,2.0,,,,,,,,,
30,PT09M31.00S,2022-10-24T23:45:53.4Z,1,REGULAR,foul,personal,['2freethrow'],1630532,,,1610612752,1,5,2022-10-24T23:46:06Z,300000,,,0,,F. Wagner shooting personal FOUL (1 PF) (Barrett 2 FT),"[1630532, 1629628]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,202035.0,,,,,,,,1.0,0.0,Barrett,1629628.0,,
32,PT09M31.00S,2022-10-24T23:46:11.2Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,2,5,2022-10-24T23:46:11Z,320000,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
33,PT09M31.00S,2022-10-24T23:46:22.3Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,3,5,2022-10-24T23:46:22Z,330000,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
34,PT09M21.00S,2022-10-24T23:46:34.6Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,3,5,2022-10-24T23:46:40Z,340000,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 1628973]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,,,,Brunson,1628973.0
35,PT09M21.00S,2022-10-24T23:46:34.6Z,1,REGULAR,steal,,[],1628973,,,1610612752,3,5,2022-10-24T23:46:36Z,350000,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M17.00S,2022-10-24T23:46:38.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629628,94.95729303547962,96.07843137254902,1610612752,3,5,2022-10-24T23:46:51Z,360000,230.0,-5.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,23.05,Missed,,,,,,,,,,,,,,,,,,
37,PT09M15.00S,2022-10-24T23:46:40.7Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,3,5,2022-10-24T23:46:51Z,370000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Right Corner 3,24+ Right,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,,,
38,PT09M12.00S,2022-10-24T23:46:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629011,93.64323258869908,48.03921568627451,1610612752,5,5,2022-10-24T23:48:00Z,380000,-10.0,7.0,1,right,M. Robinson putback Layup (2 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,,,,,2.0,,,,,,,,,
39,PT08M59.00S,2022-10-24T23:47:01.2Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612753,5,5,2022-10-24T23:47:10Z,390000,,,0,,J. Brunson shooting personal FOUL (2 PF) (Carter Jr. 2 FT),"[1628973, 1628976]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,202035.0,,,,,,,,2.0,0.0,Carter Jr.,1628976.0,,
41,PT08M59.00S,2022-10-24T23:47:27.4Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,5,6,2022-10-24T23:47:47Z,410000,,,0,,W. Carter Jr. Free Throw 1 of 2 (1 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
42,PT08M59.00S,2022-10-24T23:47:27.4Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,5,6,2022-10-24T23:47:47Z,420000,,,0,,MISS W. Carter Jr. Free Throw 2 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
43,PT08M57.00S,2022-10-24T23:47:29.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,6,2022-10-24T23:47:47Z,430000,,,0,,J. Randle REBOUND (Off:1 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,
44,PT08M47.00S,2022-10-24T23:47:54.9Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,5,6,2022-10-24T23:47:58Z,440000,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 1630175]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,,,,,,Anthony,1630175.0
45,PT08M47.00S,2022-10-24T23:47:54.9Z,1,REGULAR,steal,,[],1630175,,,1610612753,5,6,2022-10-24T23:47:57Z,450000,,,0,,C. Anthony STEAL (1 STL),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
46,PT08M42.00S,2022-10-24T23:47:59.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631094,5.732588699080158,51.470588235294116,1610612753,5,8,2022-10-24T23:48:04Z,460000,-7.0,1.0,1,left,P. Banchero alley-oop DUNK (4 PTS) (C. Anthony 2 AST),"[1631094, 1630175]",1610612753.0,ORL,alley-oop,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.75,Made,,,,,,,,,4.0,C. Anthony,1630175.0,2.0,,,,,,
48,PT08M24.00S,2022-10-24T23:48:17.7Z,1,REGULAR,3pt,Jump Shot,[],203944,67.88764783180025,41.17647058823529,1610612752,5,8,2022-10-24T23:48:24Z,480000,-44.0,249.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.33,Missed,,,,,,,,,,,,,,,,,,
49,PT08M22.00S,2022-10-24T23:48:19.7Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,5,8,2022-10-24T23:48:24Z,490000,,,0,,J. Randle REBOUND (Off:2 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,48.0,3.0,1.0,2.0,,,,,,,,,,,,,,
50,PT08M21.00S,2022-10-24T23:48:23.3Z,1,REGULAR,foul,personal,['2freethrow'],1631094,,,1610612752,5,8,2022-10-24T23:48:33Z,500000,,,0,,P. Banchero shooting personal FOUL (2 PF) (Robinson 2 FT),"[1631094, 1629011]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,202035.0,,,,,,,,2.0,0.0,Robinson,1629011.0,,
52,PT08M21.00S,2022-10-24T23:48:53.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629011,,,1610612752,6,8,2022-10-24T23:49:21Z,520000,,,0,,M. Robinson Free Throw 1 of 2 (3 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
53,PT08M21.00S,2022-10-24T23:48:53.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629011,,,1610612752,6,8,2022-10-24T23:49:21Z,530000,,,0,,MISS M. Robinson Free Throw 2 of 2,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT08M19.00S,2022-10-24T23:48:55.8Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,6,8,2022-10-24T23:49:21Z,540000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT08M13.00S,2022-10-24T23:49:25.8Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612753,6,8,2022-10-24T23:49:32Z,550000,,,0,,J. Randle shooting personal FOUL (1 PF) (Banchero 2 FT),"[203944, 1631094]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,,,,,,,1162.0,,,,,,,,1.0,0.0,Banchero,1631094.0,,
57,PT08M13.00S,2022-10-24T23:49:57.3Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,6,9,2022-10-24T23:49:57Z,570000,,,0,,P. Banchero Free Throw 1 of 2 (5 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,,
58,PT08M13.00S,2022-10-24T23:50:17.8Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,6,10,2022-10-24T23:50:17Z,580000,,,0,,P. Banchero Free Throw 2 of 2 (6 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,6.0,,,,,,,,,
59,PT08M05.00S,2022-10-24T23:50:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,83.919185282523,36.029411764705884,1610612752,8,10,2022-10-24T23:50:32Z,590000,-70.0,99.0,1,right,J. Brunson 12' driving floating Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Left,12.09,Made,,,,,,,,,2.0,,,,,,,,,
60,PT07M52.00S,2022-10-24T23:50:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,7.440867279894875,47.794117647058826,1610612753,8,10,2022-10-24T23:50:48Z,600000,11.0,17.0,1,left,MISS C. Anthony driving Layup - blocked,"[1630175, 1629011]",1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,2.06,Missed,,,,,,,Robinson,1629011.0,,,,,,,,,,
73,PT07M52.00S,2022-10-24T23:50:40.2Z,1,REGULAR,block,,[],1629011,,,1610612753,8,10,2022-10-24T23:53:56Z,605000,,,0,,M. Robinson BLOCK (2 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
61,PT07M50.00S,2022-10-24T23:50:42.2Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,8,10,2022-10-24T23:50:48Z,610000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,60.0,1.0,0.0,1.0,,,,,,,,,,,,,,
62,PT07M50.00S,2022-10-24T23:50:45.6Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628976,5.590000152587891,50.0,1610612753,8,12,2022-10-24T23:50:54Z,620000,0.0,0.0,1,left,W. Carter Jr. putback DUNK (3 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,3.0,,,,,,,,,
63,PT07M33.00S,2022-10-24T23:50:58.4Z,1,REGULAR,3pt,Jump Shot,[],1629628,67.36202365308804,49.50980392156863,1610612752,8,12,2022-10-24T23:51:05Z,630000,-2.0,254.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,25.43,Missed,,,,,,,,,,,,,,,,,,
64,PT07M31.00S,2022-10-24T23:51:00.4Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,8,12,2022-10-24T23:51:05Z,640000,,,0,,J. Randle REBOUND (Off:3 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,63.0,4.0,1.0,3.0,,,,,,,,,,,,,,
65,PT07M28.00S,2022-10-24T23:51:04.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203944,94.43166885676742,47.794117647058826,1610612752,10,12,2022-10-24T23:51:12Z,650000,-11.0,0.0,1,right,J. Randle driving finger roll Layup (3 PTS),[203944],1610612752.0,NYK,driving finger roll,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,1.1,Made,,,,,,,,,3.0,,,,,,,,,
66,PT07M11.00S,2022-10-24T23:51:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.601182654402102,50.245098039215684,1610612753,10,14,2022-10-24T23:51:28Z,660000,-1.0,0.0,1,left,F. Wagner driving reverse Layup (5 PTS),[1630532],1610612753.0,ORL,driving reverse,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.12,Made,,,,,,,,,5.0,,,,,,,,,
67,PT07M00.00S,2022-10-24T23:52:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,94.43166885676742,41.42156862745098,1610612752,10,14,2022-10-24T23:55:25Z,670000,-43.0,0.0,1,right,MISS J. Brunson driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,,,,,,,,,,,,,,
68,PT06M58.00S,2022-10-24T23:52:07.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,10,14,2022-10-24T23:52:15Z,680000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,67.0,,,,,,,,,,,,,,,,,
70,PT06M58.00S,2022-10-24T23:52:15.9Z,1,REGULAR,foul,personal,[],1629011,,,1610612753,10,14,2022-10-24T23:52:26Z,700000,,,0,,M. Robinson loose ball personal FOUL (1 PF),"[1629011, 1631094]",1610612752.0,NYK,loose ball,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202049.0,,,,,,,,1.0,0.0,Banchero,1631094.0,,
72,PT06M58.00S,2022-10-24T23:52:33.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,10,14,2022-10-24T23:52:33Z,720000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M58.00S,2022-10-24T23:52:33.2Z,1,REGULAR,substitution,out,[],1631094,,,1610612753,10,14,2022-10-24T23:54:38Z,730000,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M58.00S,2022-10-24T23:52:33.2Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,10,14,2022-10-24T23:54:38Z,740000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M58.00S,2022-10-24T23:52:33.2Z,1,REGULAR,substitution,in,[],1628964,,,1610612753,10,14,2022-10-24T23:54:38Z,750000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M58.00S,2022-10-24T23:52:33.2Z,1,REGULAR,substitution,in,[],1631216,,,1610612753,10,14,2022-10-24T23:54:38Z,760000,,,0,,SUB in: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M34.00S,2022-10-24T23:55:05.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,10,14,2022-10-24T23:55:11Z,770000,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,1162.0,,,,,,,,,,,,,
79,PT06M20.00S,2022-10-24T23:55:33.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203944,89.43823915900131,47.549019607843135,1610612752,12,14,2022-10-24T23:55:40Z,780000,-12.0,47.0,1,right,J. Randle driving floating Jump Shot (5 PTS) (J. Brunson 1 AST),"[203944, 1628973]",1610612752.0,NYK,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,4.84,Made,,,,,,,,,5.0,J. Brunson,1628973.0,1.0,,,,,,
81,PT06M02.00S,2022-10-24T23:55:51.3Z,1,REGULAR,3pt,Jump Shot,[],1630175,23.078186596583443,7.598039215686274,1610612753,12,14,2022-10-24T23:55:55Z,800000,212.0,164.0,1,left,MISS C. Anthony 26' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Right Center,26.83,Missed,,,,,,,,,,,,,,,,,,
82,PT06M01.00S,2022-10-24T23:55:52.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,12,14,2022-10-24T23:55:55Z,810000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,
83,PT05M55.00S,2022-10-24T23:55:59.4Z,1,REGULAR,3pt,Jump Shot,[],1628973,74.98357424441524,16.176470588235293,1610612752,15,14,2022-10-24T23:56:03Z,820000,-169.0,183.0,1,right,J. Brunson 24' 3PT  (5 PTS) (E. Fournier 1 AST),"[1628973, 203095]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,24.89,Made,,,,,,,,,5.0,E. Fournier,203095.0,1.0,,,,,,
85,PT05M39.00S,2022-10-24T23:56:14.3Z,1,REGULAR,3pt,Jump Shot,[],1628976,32.013797634691194,50.0,1610612753,15,14,2022-10-24T23:56:20Z,840000,0.0,248.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,24.84,Missed,,,,,,,,,,,,,,,,,,
86,PT05M37.00S,2022-10-24T23:56:16.3Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,15,14,2022-10-24T23:56:20Z,850000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,
