actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
16,PT10M52.00S,2022-11-14T01:12:01.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,3,2022-11-14T01:12:17Z,160000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M44.00S,2022-11-14T01:12:30.4Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612741,0,3,2022-11-14T01:12:37Z,170000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (DeRozan 2 FT),"[203932, 201942]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1628159.0,1.0,0.0,DeRozan,201942.0,,,,,
19,PT10M44.00S,2022-11-14T01:12:50.3Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,0,3,2022-11-14T01:12:50Z,190000,False,,,0,,MISS D. DeRozan Free Throw 1 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
20,PT10M44.00S,2022-11-14T01:12:50.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,0,3,2022-11-14T01:12:50Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,
21,PT10M44.00S,2022-11-14T01:12:50.3Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,0,3,2022-11-14T01:13:11Z,210000,False,,,0,,MISS D. DeRozan Free Throw 2 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
22,PT10M40.00S,2022-11-14T01:12:54.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,3,2022-11-14T01:13:11Z,220000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT10M25.00S,2022-11-14T01:13:25.1Z,1,REGULAR,2pt,Jump Shot,[],1627750,73.66951379763469,33.82352941176471,1610612743,0,3,2022-11-14T01:13:31Z,230000,False,-81.0,195.0,1,right,MISS J. Murray 21' pullup Shot,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left Center,,,,21.11,Missed,,,,,,,,,,,,,,,
24,PT10M20.00S,2022-11-14T01:13:30.1Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,3,2022-11-14T01:13:31Z,240000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Left Center,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
25,PT10M17.00S,2022-11-14T01:13:33.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630245,21.369908015768726,10.049019607843137,1610612741,0,3,2022-11-14T01:14:20Z,250000,False,200.0,148.0,1,left,MISS A. Dosunmu 24' running 3PT,[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,,24.89,Missed,,,,,,,,,,,,,,,
26,PT10M14.00S,2022-11-14T01:13:36.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,3,2022-11-14T01:13:38Z,260000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT10M06.00S,2022-11-14T01:13:44.0Z,1,REGULAR,turnover,lost ball,[],203932,,,1610612743,0,3,2022-11-14T01:13:49Z,270000,False,,,0,,A. Gordon lost ball TURNOVER (1 TO),"[203932, 1630245]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.0,Dosunmu,1630245.0,,,,,,,,,,,,,,,,,
28,PT10M06.00S,2022-11-14T01:13:44.0Z,1,REGULAR,steal,,[],1630245,,,1610612741,0,3,2022-11-14T01:13:45Z,280000,False,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT10M01.00S,2022-11-14T01:13:48.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630245,5.995400788436268,52.450980392156865,1610612741,2,3,2022-11-14T01:13:54Z,290000,False,-12.0,4.0,1,left,A. Dosunmu running Layup (2 PTS),[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,1.29,Made,2.0,,,,,,,,,,,,,,
30,PT09M37.00S,2022-11-14T01:14:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,93.9060446780552,46.568627450980394,1610612743,2,5,2022-11-14T01:14:16Z,300000,False,-17.0,5.0,1,right,K. Caldwell-Pope driving Layup (2 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,driving,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,1.79,Made,2.0,,,,,,,,,,N. Jokic,203999.0,1.0,,
31,PT09M20.00S,2022-11-14T01:14:30.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,12.959921156373195,41.42156862745098,1610612741,4,5,2022-11-14T01:14:35Z,310000,False,43.0,69.0,1,left,N. Vucevic 8' turnaround Hook (2 PTS),[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,,8.15,Made,2.0,,,,,,,,,,,,,,
32,PT09M09.00S,2022-11-14T01:14:40.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,64.20827858081472,44.6078431372549,1610612743,4,8,2022-11-14T01:14:45Z,320000,False,-27.0,284.0,1,right,M. Porter Jr. 28' 3PT  (5 PTS) (N. Jokic 2 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,28.52,Made,5.0,,,,,,,,,,N. Jokic,203999.0,2.0,,
34,PT08M58.00S,2022-11-14T01:14:52.1Z,1,REGULAR,3pt,Jump Shot,[],1630172,22.158344283837057,12.009803921568627,1610612741,4,8,2022-11-14T01:14:56Z,340000,False,190.0,156.0,1,left,MISS P. Williams 24' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,,24.57,Missed,,,,,,,,,,,,,,,
35,PT08M55.00S,2022-11-14T01:14:55.1Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,4,8,2022-11-14T01:14:56Z,350000,False,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,
36,PT08M47.00S,2022-11-14T01:15:03.0Z,1,REGULAR,3pt,Jump Shot,[],203484,74.98357424441524,85.5392156862745,1610612743,4,8,2022-11-14T01:15:09Z,360000,False,178.0,183.0,1,right,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,,25.49,Missed,,,,,,,,,,,,,,,
37,PT08M45.00S,2022-11-14T01:15:05.0Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,4,8,2022-11-14T01:15:09Z,370000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,
38,PT08M38.00S,2022-11-14T01:15:11.6Z,1,REGULAR,3pt,Jump Shot,[],202696,33.065045992115635,46.07843137254902,1610612741,4,8,2022-11-14T01:15:16Z,380000,False,20.0,258.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,,25.9,Missed,,,,,,,,,,,,,,,
39,PT08M36.00S,2022-11-14T01:15:13.6Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,4,8,2022-11-14T01:15:16Z,390000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,
40,PT08M20.00S,2022-11-14T01:15:30.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,91.5407358738502,57.84313725490197,1610612743,4,8,2022-11-14T01:15:33Z,400000,False,39.0,27.0,1,right,MISS A. Gordon pullup Shot - blocked,"[203932, 1630172]",1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,4.76,Missed,,,,,,,,,,,,,,Williams,1630172.0
41,PT08M20.00S,2022-11-14T01:15:30.0Z,1,REGULAR,block,,[],1630172,,,1610612743,4,8,2022-11-14T01:15:32Z,410000,False,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M17.00S,2022-11-14T01:15:33.0Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,4,8,2022-11-14T01:15:33Z,420000,False,,,0,,J. Murray REBOUND (Off:1 Def:0),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,40.0,1.0,0.0,1.0,,,,,,,,,,
43,PT08M12.00S,2022-11-14T01:15:38.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627750,88.78120893561103,32.1078431372549,1610612743,4,8,2022-11-14T01:15:43Z,430000,False,-89.0,53.0,1,right,MISS J. Murray 10' fadeaway Shot,[1627750],1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,Mid-Range,8-16 Left,,,,10.4,Missed,,,,,,,,,,,,,,,
44,PT08M10.00S,2022-11-14T01:15:40.4Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,4,8,2022-11-14T01:15:40Z,440000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Left,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,
45,PT07M58.00S,2022-11-14T01:15:51.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202696,5.469776609724048,49.754901960784316,1610612741,6,8,2022-11-14T01:15:56Z,450000,False,1.0,-1.0,1,left,N. Vucevic DUNK (4 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,0.16,Made,4.0,,,,,,,,,,A. Dosunmu,1630245.0,1.0,,
47,PT07M43.00S,2022-11-14T01:16:06.4Z,1,REGULAR,3pt,Jump Shot,[],1629008,93.9060446780552,96.56862745098039,1610612743,6,11,2022-11-14T01:16:11Z,470000,False,233.0,5.0,1,right,M. Porter Jr. 3PT  (8 PTS) (N. Jokic 3 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,23.28,Made,8.0,,,,,,,,,,N. Jokic,203999.0,3.0,,
49,PT07M23.00S,2022-11-14T01:16:26.6Z,1,REGULAR,3pt,Jump Shot,[],1630172,12.040078843626807,94.85294117647058,1610612741,9,11,2022-11-14T01:16:31Z,490000,False,-224.0,61.0,1,left,P. Williams 3PT  (3 PTS) (D. DeRozan 1 AST),"[1630172, 201942]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Left Corner 3,24+ Left,,,,23.24,Made,3.0,,,,,,,,,,D. DeRozan,201942.0,1.0,,
51,PT06M55.00S,2022-11-14T01:16:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.77463863337714,51.225490196078425,1610612743,9,13,2022-11-14T01:16:59Z,510000,False,6.0,6.0,1,right,N. Jokic driving Layup (2 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,0.86,Made,2.0,,,,,,,,,,A. Gordon,203932.0,1.0,,
53,PT06M47.00S,2022-11-14T01:17:05.3Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612741,9,13,2022-11-14T01:20:23Z,530000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (LaVine 2 FT),"[1629008, 203897]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2534.0,1.0,0.0,LaVine,203897.0,,,,,
55,PT06M47.00S,2022-11-14T01:17:14.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,9,13,2022-11-14T01:17:14Z,550000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M47.00S,2022-11-14T01:20:24.5Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,9,13,2022-11-14T01:20:24Z,560000,False,,,0,,MISS Z. LaVine Free Throw 1 of 2,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
58,PT06M47.00S,2022-11-14T01:20:24.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,9,13,2022-11-14T01:20:24Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,
59,PT06M47.00S,2022-11-14T01:20:36.6Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,10,13,2022-11-14T01:20:36Z,580000,False,,,0,,Z. LaVine Free Throw 2 of 2 (1 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
60,PT06M23.00S,2022-11-14T01:21:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,93.51182654402102,47.05882352941176,1610612743,10,15,2022-11-14T01:21:10Z,590000,False,-15.0,8.0,1,right,J. Murray driving Layup (2 PTS) (N. Jokic 4 AST),"[1627750, 203999]",1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,1.7,Made,2.0,,,,,,,,,,N. Jokic,203999.0,4.0,,
61,PT06M20.00S,2022-11-14T01:21:08.8Z,1,REGULAR,turnover,out-of-bounds,[],202696,,,1610612741,10,15,2022-11-14T01:21:16Z,600000,False,,,0,,N. Vucevic bad pass out-of-bounds TURNOVER (2 TO),[202696],1610612741.0,CHI,bad pass,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,2.0,,,,,,,,,,1628159.0,,,,,,,,,
62,PT06M17.00S,2022-11-14T01:21:33.0Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612743,10,15,2022-11-14T01:21:44Z,610000,False,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1630245, 1629008]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2534.0,1.0,0.0,Porter Jr.,1629008.0,,,,,
64,PT06M17.00S,2022-11-14T01:21:55.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629008,,,1610612743,10,16,2022-11-14T01:21:56Z,630000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (9 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,
66,PT06M17.00S,2022-11-14T01:22:07.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629008,,,1610612743,10,17,2022-11-14T01:22:07Z,650000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (10 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,
68,PT06M00.00S,2022-11-14T01:22:24.2Z,1,REGULAR,2pt,Jump Shot,[],202696,4.944152431011826,74.01960784313727,1610612741,10,17,2022-11-14T01:22:30Z,660000,False,-120.0,-6.0,1,left,MISS N. Vucevic 12' turnaround Shot,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,,,,12.02,Missed,,,,,,,,,,,,,,,
69,PT05M59.00S,2022-11-14T01:22:26.2Z,1,REGULAR,rebound,offensive,[],1630172,,,1610612741,10,17,2022-11-14T01:22:26Z,670000,False,,,0,,P. Williams REBOUND (Off:1 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Left,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,,,
70,PT05M57.00S,2022-11-14T01:22:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630172,7.178055190538765,50.0,1610612741,12,17,2022-11-14T01:22:34Z,680000,False,0.0,15.0,1,left,P. Williams putback Layup (5 PTS),[1630172],1610612741.0,CHI,putback,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,1.5,Made,5.0,,,,,,,,,,,,,,
71,PT05M41.00S,2022-11-14T01:22:46.3Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612743,12,17,2022-11-14T01:23:12Z,690000,False,,,0,,D. DeRozan shooting personal FOUL (2 PF) (Caldwell-Pope 2 FT),"[201942, 203484]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2005.0,2.0,0.0,Caldwell-Pope,203484.0,,,,,
73,PT05M41.00S,2022-11-14T01:23:16.1Z,1,REGULAR,freethrow,1 of 2,[],203484,,,1610612743,12,18,2022-11-14T01:23:16Z,710000,False,,,0,,K. Caldwell-Pope Free Throw 1 of 2 (3 PTS),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
74,PT05M41.00S,2022-11-14T01:23:17.0Z,1,REGULAR,substitution,out,[],203897,,,1610612743,12,18,2022-11-14T01:23:31Z,720000,False,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M41.00S,2022-11-14T01:23:17.0Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,12,18,2022-11-14T01:23:31Z,730000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M41.00S,2022-11-14T01:23:17.0Z,1,REGULAR,substitution,in,[],1629750,,,1610612743,12,18,2022-11-14T01:23:31Z,740000,False,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M41.00S,2022-11-14T01:23:17.0Z,1,REGULAR,substitution,in,[],1628971,,,1610612743,12,18,2022-11-14T01:23:31Z,750000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M41.00S,2022-11-14T01:23:16.1Z,1,REGULAR,freethrow,2 of 2,[],203484,,,1610612743,12,18,2022-11-14T01:23:36Z,760000,False,,,0,,MISS K. Caldwell-Pope Free Throw 2 of 2,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
79,PT05M38.00S,2022-11-14T01:23:19.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,12,18,2022-11-14T01:23:36Z,770000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,
80,PT05M21.00S,2022-11-14T01:23:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,5.995400788436268,53.67647058823529,1610612741,12,18,2022-11-14T01:24:09Z,780000,False,-18.0,4.0,1,left,MISS J. Green driving Layup,[1629750],1610612741.0,CHI,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,1.88,Missed,,,,,,,,,,,,,,,
81,PT05M18.00S,2022-11-14T01:23:55.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,12,18,2022-11-14T01:24:09Z,790000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,,
82,PT05M13.00S,2022-11-14T01:24:07.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,12,18,2022-11-14T01:24:07Z,800000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M13.00S,2022-11-14T01:26:51.9Z,1,REGULAR,substitution,out,[],1630172,,,1610612743,12,18,2022-11-14T01:27:00Z,810000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M13.00S,2022-11-14T01:26:51.9Z,1,REGULAR,substitution,in,[],1627936,,,1610612743,12,18,2022-11-14T01:27:00Z,820000,False,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
