actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
48,PT08M09.00S,2023-03-05T20:49:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203897,15.062417871222076,42.64705882352941,1610612741,14,5,2023-03-05T20:49:53Z,480000,False,37.0,89.0,1,left,MISS Z. LaVine 9' turnaround fadeaway Shot,[203897],1610612741.0,CHI,turnaround fadeaway,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),8-16 Center,,,,9.64,Missed,,,,,,,,,,,,,,,
49,PT08M07.00S,2023-03-05T20:49:52.0Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612754,14,5,2023-03-05T20:49:53Z,490000,False,,,0,,J. Nwora REBOUND (Off:0 Def:2),[1629670],1610612754.0,IND,,,,Nwora,J. Nwora,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,
50,PT07M52.00S,2023-03-05T20:50:07.4Z,1,REGULAR,3pt,Jump Shot,[],1627741,68.80749014454665,25.0,1610612754,14,5,2023-03-05T20:50:12Z,500000,False,-125.0,241.0,1,right,MISS B. Hield 27' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,27.12,Missed,,,,,,,,,,,,,,,
51,PT07M48.00S,2023-03-05T20:50:11.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,14,5,2023-03-05T20:50:12Z,510000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,
52,PT07M43.00S,2023-03-05T20:50:15.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203897,18.084756898817346,27.696078431372552,1610612741,14,5,2023-03-05T20:52:13Z,520000,False,112.0,117.0,1,left,MISS Z. LaVine 16' running pullup Shot,[203897],1610612741.0,CHI,running pullup,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right Center,,,,16.2,Missed,,,,,,,,,,,,,,,
53,PT07M40.00S,2023-03-05T20:50:18.0Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,14,5,2023-03-05T20:50:22Z,530000,False,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,16-24 Right Center,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,
54,PT07M34.00S,2023-03-05T20:50:24.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,65.52233902759527,21.813725490196077,1610612754,14,8,2023-03-05T20:52:34Z,540000,False,-141.0,272.0,1,right,T. Haliburton 30' 3PT step back (3 PTS),[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,30.6,Made,,,,,,,,3.0,,,,,,,
55,PT07M17.00S,2023-03-05T20:50:44.2Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612741,14,8,2023-03-05T20:50:49Z,550000,False,,,0,,D. DeRozan bad pass out-of-bounds TURNOVER (1 TO),[201942],1610612741.0,CHI,bad pass,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,1146.0,,,,,,,,
56,PT07M10.00S,2023-03-05T20:50:53.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630169,94.1688567674113,49.50980392156863,1610612754,14,10,2023-03-05T20:50:57Z,560000,False,-2.0,2.0,1,right,T. Haliburton driving finger roll Layup (5 PTS),[1630169],1610612754.0,IND,driving finger roll,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,0.34,Made,,,,,,,,5.0,,,,,,,
57,PT07M10.00S,2023-03-05T20:50:58.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,14,10,2023-03-05T20:50:58Z,570000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M54.00S,2023-03-05T20:54:11.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,9.937582128777924,55.392156862745104,1610612741,16,10,2023-03-05T20:54:15Z,580000,False,-27.0,41.0,1,left,N. Vucevic turnaround Hook (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,4.9,Made,,,,,,,,2.0,,,,,D. DeRozan,201942.0,1.0
60,PT06M36.00S,2023-03-05T20:54:30.1Z,1,REGULAR,3pt,Jump Shot,[],1629614,69.33311432325887,70.58823529411765,1610612754,16,10,2023-03-05T20:54:40Z,600000,False,103.0,236.0,1,right,MISS A. Nembhard 25' 3PT,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,25.73,Missed,,,,,,,,,,,,,,,
61,PT06M35.00S,2023-03-05T20:54:31.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,16,10,2023-03-05T20:54:40Z,610000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,60.0,,,,,,,,,,,,
63,PT06M24.00S,2023-03-05T20:54:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,5.338370565045992,49.50980392156863,1610612741,18,10,2023-03-05T20:54:58Z,630000,False,2.0,-2.0,1,left,P. Beverley driving finger roll Layup (2 PTS),[201976],1610612741.0,CHI,driving finger roll,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,0.34,Made,,,,,,,,2.0,,,,,,,
64,PT06M03.00S,2023-03-05T20:55:08.8Z,1,REGULAR,2pt,Jump Shot,[],1627741,95.74572930354796,11.27450980392157,1610612754,18,10,2023-03-05T20:55:14Z,640000,False,-194.0,-13.0,1,right,MISS B. Hield 19' pullup Shot,[1627741],1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,Mid-Range,16-24 Left,,,,19.4,Missed,,,,,,,,,,,,,,,
65,PT06M00.00S,2023-03-05T20:55:11.8Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,18,10,2023-03-05T20:55:14Z,650000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,
66,PT05M44.00S,2023-03-05T20:55:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,8.672798948751643,48.939185049019606,1610612741,20,10,2023-03-05T20:55:53Z,660000,False,5.0,29.0,1,left,N. Vucevic driving Layup (4 PTS),[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,2.95,Made,,,,,,,,4.0,,,,,,,
67,PT05M32.00S,2023-03-05T20:55:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630169,71.82982917214193,79.41176470588235,1610612754,20,13,2023-03-05T20:56:06Z,670000,False,147.0,212.0,1,right,T. Haliburton 25' 3PT pullup (8 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,25.83,Made,,,,,,,,8.0,,,,,,,
68,PT05M16.00S,2023-03-05T20:55:56.4Z,1,REGULAR,turnover,lost ball,[],201942,,,1610612741,20,13,2023-03-05T20:56:04Z,680000,False,,,0,,D. DeRozan lost ball TURNOVER (2 TO),"[201942, 1630169]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Right Center,2.0,Haliburton,1630169.0,,,,,,,,,,,,,,,,,
69,PT05M16.00S,2023-03-05T20:55:56.4Z,1,REGULAR,steal,,[],1630169,,,1610612754,20,13,2023-03-05T21:01:01Z,690000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
70,PT05M12.00S,2023-03-05T20:56:00.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630169,93.77463863337714,50.0,1610612754,20,15,2023-03-05T20:56:16Z,700000,False,0.0,6.0,1,right,T. Haliburton running DUNK (10 PTS) (J. Nwora 1 AST),"[1630169, 1629670]",1610612754.0,IND,running,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,0.6,Made,,,,,,,,10.0,,,,,J. Nwora,1629670.0,1.0
158,PT05M02.00S,2023-03-05T20:56:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,7.178055190538765,49.50980392156863,1610612741,20,15,2023-03-05T21:05:19Z,715000,False,2.0,15.0,1,left,MISS Z. LaVine driving Layup - blocked,"[203897, 1629614]",1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,1.52,Missed,Nembhard,1629614.0,,,,,,,,,,,,,
159,PT05M02.00S,2023-03-05T20:56:11.5Z,1,REGULAR,block,,[],1629614,,,1610612741,20,15,2023-03-05T21:05:19Z,717500,False,,,0,,A. Nembhard BLOCK (1 BLK),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
160,PT05M00.00S,2023-03-05T20:56:13.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,20,15,2023-03-05T21:05:35Z,718750,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,158.0,,,,,,,,,,,,
72,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,out,[],201942,,,1610612754,20,15,2023-03-05T21:05:19Z,720000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,out,[],1627936,,,1610612754,20,15,2023-03-05T21:05:19Z,730000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,20,15,2023-03-05T21:05:19Z,740000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,out,[],1629670,,,1610612754,20,15,2023-03-05T21:05:19Z,760000,False,,,0,,SUB out: J. Nwora,[1629670],1610612754.0,IND,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,in,[],1629632,,,1610612754,20,15,2023-03-05T21:05:19Z,770000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,in,[],1630172,,,1610612754,20,15,2023-03-05T21:05:19Z,780000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,in,[],1630537,,,1610612754,20,15,2023-03-05T21:05:19Z,790000,False,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,in,[],1631097,,,1610612754,20,15,2023-03-05T21:05:19Z,800000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,in,[],1630543,,,1610612754,20,15,2023-03-05T21:05:19Z,810000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M00.00S,2023-03-05T20:56:22.8Z,1,REGULAR,substitution,out,[],1627741,,,1610612754,20,15,2023-03-05T21:05:19Z,815000,False,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
