actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
19,PT10M20.00S,2022-11-03T00:12:36.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630245,,,1610612741,5,2,2022-11-03T00:12:36Z,190000,,,0,,A. Dosunmu Free Throw 1 of 2 (1 PTS),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
20,PT10M20.00S,2022-11-03T00:12:54.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630245,,,1610612741,6,2,2022-11-03T00:12:54Z,200000,,,0,,A. Dosunmu Free Throw 2 of 2 (2 PTS),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
21,PT10M05.00S,2022-11-03T00:13:12.4Z,1,REGULAR,turnover,bad pass,[],1629023,,,1610612766,6,2,2022-11-03T00:13:18Z,210000,,,0,,P. Washington bad pass TURNOVER (1 TO),"[1629023, 201942]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left,,1.0,,,,,,,,,,,,,,,,,DeRozan,201942.0
22,PT10M05.00S,2022-11-03T00:13:12.4Z,1,REGULAR,steal,,[],201942,,,1610612741,6,2,2022-11-03T00:13:14Z,220000,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
23,PT09M57.00S,2022-11-03T00:13:19.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203897,4.681340341655716,81.61764705882352,1610612741,6,2,2022-11-03T00:14:07Z,230000,-158.0,-8.0,1,left,MISS Z. LaVine 15' pullup Shot,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Left,,,15.83,Missed,,,,,,,,,,,,,,,,
24,PT09M53.00S,2022-11-03T00:13:23.6Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,6,2,2022-11-03T00:13:26Z,240000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Mid-Range,8-16 Left,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
25,PT09M42.00S,2022-11-03T00:13:35.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,94.1688567674113,46.07843137254902,1610612766,6,2,2022-11-03T00:13:44Z,250000,-20.0,2.0,1,right,MISS M. Plumlee DUNK - blocked,"[203486, 201942]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,1.97,Missed,,,,,DeRozan,201942.0,,,,,,,,,,
26,PT09M42.00S,2022-11-03T00:13:35.0Z,1,REGULAR,block,,[],201942,,,1610612766,6,2,2022-11-03T00:13:37Z,260000,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M39.00S,2022-11-03T00:13:38.0Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,6,2,2022-11-03T00:13:44Z,270000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,25.0,2.0,1.0,1.0,,,,,,
28,PT09M37.00S,2022-11-03T00:13:40.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202330,68.9388961892247,73.0392156862745,1610612766,6,2,2022-11-03T00:13:50Z,280000,115.0,239.0,1,right,MISS G. Hayward 26' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Right Center,,,26.58,Missed,,,,,,,,,,,,,,,,
29,PT09M37.00S,2022-11-03T00:13:40.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,6,2,2022-11-03T00:13:50Z,290000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,
30,PT09M26.00S,2022-11-03T00:13:51.7Z,1,REGULAR,2pt,Jump Shot,[],201942,25.312089356110377,22.058823529411764,1610612741,6,2,2022-11-03T00:18:33Z,300000,140.0,185.0,1,left,MISS D. DeRozan 23' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,,,23.21,Missed,,,,,,,,,,,,,,,,
31,PT09M20.00S,2022-11-03T00:13:57.7Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,6,2,2022-11-03T00:14:00Z,310000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,30.0,3.0,2.0,1.0,,,,,,
32,PT09M16.00S,2022-11-03T00:14:00.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629023,92.85479632063075,50.73529411764706,1610612766,6,4,2022-11-03T01:12:35Z,320000,4.0,15.0,1,right,P. Washington running Layup (2 PTS) (D. Smith Jr. 1 AST),"[1629023, 1628372]",1610612766.0,CHA,running,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,1.52,Made,2.0,D. Smith Jr.,1628372.0,1.0,,,,,,,,,,,,
37,PT09M02.00S,2022-11-03T00:14:22.4Z,1,REGULAR,2pt,Jump Shot,[],202696,18.2161629434954,70.83333333333334,1610612741,8,4,2022-11-03T00:23:31Z,370000,-104.0,119.0,1,left,N. Vucevic 15' Jump Shot (2 PTS) (Z. LaVine 2 AST),"[202696, 203897]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,,,15.79,Made,2.0,Z. LaVine,203897.0,2.0,,,,,,,,,,,,
39,PT08M51.00S,2022-11-03T00:14:26.9Z,1,REGULAR,3pt,Jump Shot,[],1626162,95.3515111695138,97.05882352941177,1610612766,8,4,2022-11-03T00:38:09Z,390000,235.0,-9.0,1,right,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,,,23.55,Missed,,,,,,,,,,,,,,,,
40,PT08M51.00S,2022-11-03T00:14:26.9Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,8,4,2022-11-03T00:26:20Z,400000,,,0,,P. Williams REBOUND (Off:0 Def:2),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,
41,PT08M42.00S,2022-11-03T00:14:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,9.017739816031538,48.529411764705884,1610612741,10,4,2022-11-03T00:20:37Z,410000,7.0,32.0,1,left,N. Vucevic floating Jump Shot (4 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,3.31,Made,4.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,
43,PT08M18.00S,2022-11-03T00:14:59.7Z,1,REGULAR,2pt,Jump Shot,[],202330,74.98357424441524,74.26470588235294,1610612766,10,4,2022-11-03T00:21:20Z,430000,121.0,183.0,1,right,MISS G. Hayward 21' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Right Center,,,21.93,Missed,,,,,,,,,,,,,,,,
44,PT08M14.00S,2022-11-03T00:15:03.7Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,10,4,2022-11-03T00:15:07Z,440000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,
45,PT08M01.00S,2022-11-03T00:15:16.0Z,1,REGULAR,2pt,Jump Shot,[],203897,26.49474375821288,50.245098039215684,1610612741,10,4,2022-11-03T00:15:20Z,450000,-1.0,197.0,1,left,MISS Z. LaVine 19' pullup Shot,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Center,,,19.66,Missed,,,,,,,,,,,,,,,,
46,PT07M59.00S,2022-11-03T00:15:18.0Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,10,4,2022-11-03T00:15:20Z,460000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,
47,PT07M42.00S,2022-11-03T00:15:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,92.59198423127464,50.245098039215684,1610612766,10,4,2022-11-03T00:15:39Z,470000,1.0,17.0,1,right,MISS P. Washington driving Layup,[1629023],1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,1.71,Missed,,,,,,,,,,,,,,,,
49,PT07M39.00S,2022-11-03T00:15:38.3Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,10,4,2022-11-03T00:15:39Z,490000,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,
50,PT07M36.00S,2022-11-03T00:15:40.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630245,6.652431011826544,49.754901960784316,1610612741,10,4,2022-11-03T00:15:48Z,500000,1.0,10.0,1,left,MISS A. Dosunmu running Layup,[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,1.01,Missed,,,,,,,,,,,,,,,,
51,PT07M35.00S,2022-11-03T00:15:41.8Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,10,4,2022-11-03T00:15:48Z,510000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,
52,PT07M19.00S,2022-11-03T00:15:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,92.59198423127464,52.69607843137255,1610612766,10,4,2022-11-03T00:16:05Z,520000,13.0,17.0,1,right,MISS G. Hayward driving finger roll Layup,[202330],1610612766.0,CHA,driving finger roll,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,2.18,Missed,,,,,,,,,,,,,,,,
53,PT07M16.00S,2022-11-03T00:16:00.7Z,1,REGULAR,rebound,offensive,[],202330,,,1610612766,10,4,2022-11-03T00:16:00Z,530000,,,0,,G. Hayward REBOUND (Off:1 Def:0),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,,,,,,,,,52.0,1.0,0.0,1.0,,,,,,
54,PT07M16.00S,2022-11-03T00:16:00.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202330,94.40999984741211,50.0,1610612766,10,6,2022-11-03T00:16:00Z,540000,0.0,0.0,1,right,G. Hayward tip Layup (2 PTS),[202330],1610612766.0,CHA,tip,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Left,,,0.0,Made,2.0,,,,,,,,,,,,,,,
55,PT07M01.00S,2022-11-03T00:16:16.0Z,1,REGULAR,3pt,Jump Shot,[],202696,32.013797634691194,44.6078431372549,1610612741,10,6,2022-11-03T00:16:20Z,550000,27.0,248.0,1,left,MISS N. Vucevic 24' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,24.99,Missed,,,,,,,,,,,,,,,,
56,PT06M59.00S,2022-11-03T00:16:18.0Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,10,6,2022-11-03T00:16:20Z,560000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,
57,PT06M54.00S,2022-11-03T00:16:25.6Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612766,10,6,2022-11-03T00:17:17Z,570000,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Oubre Jr. 2 FT),"[1630245, 1626162]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,101283.0,,,,,,,,,,,,,,1.0,0.0,Oubre Jr.,1626162.0,,
59,PT06M54.00S,2022-11-03T00:16:35.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,10,6,2022-11-03T00:16:35Z,590000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M54.00S,2022-11-03T00:19:26.6Z,1,REGULAR,substitution,out,[],1630172,,,1610612766,10,6,2022-11-03T00:19:29Z,600000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M54.00S,2022-11-03T00:19:26.6Z,1,REGULAR,substitution,in,[],1629750,,,1610612766,10,6,2022-11-03T00:19:29Z,610000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M54.00S,2022-11-03T00:19:48.6Z,1,REGULAR,freethrow,1 of 2,[],1626162,,,1610612766,10,6,2022-11-03T00:19:48Z,620000,,,0,,MISS K. Oubre Jr. Free Throw 1 of 2,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
63,PT06M54.00S,2022-11-03T00:19:48.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,10,6,2022-11-03T00:19:48Z,630000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,
64,PT06M54.00S,2022-11-03T00:19:59.4Z,1,REGULAR,freethrow,2 of 2,[],1626162,,,1610612766,10,7,2022-11-03T00:19:59Z,640000,,,0,,K. Oubre Jr. Free Throw 2 of 2 (3 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
65,PT06M39.00S,2022-11-03T00:20:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,5.732588699080158,49.754901960784316,1610612741,12,7,2022-11-03T00:24:20Z,650000,1.0,1.0,1,left,J. Green cutting Layup (2 PTS) (D. DeRozan 2 AST),"[1629750, 201942]",1610612741.0,CHI,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,0.18,Made,2.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,
67,PT06M16.00S,2022-11-03T00:20:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,92.59198423127464,52.94117647058824,1610612766,12,7,2022-11-03T00:20:51Z,670000,15.0,17.0,1,right,MISS G. Hayward Layup - blocked,"[202330, 1629750]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Restricted Area,0-8 Center,,,2.25,Missed,,,,,Green,1629750.0,,,,,,,,,,
68,PT06M16.00S,2022-11-03T00:20:38.0Z,1,REGULAR,block,,[],1629750,,,1610612766,12,7,2022-11-03T00:20:41Z,680000,,,0,,J. Green BLOCK (1 BLK),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2022-11-03T00:20:38.0Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,12,7,2022-11-03T00:20:51Z,690000,,,0,,M. Plumlee REBOUND (Off:2 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,67.0,4.0,2.0,2.0,,,,,,
70,PT06M16.00S,2022-11-03T00:20:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,93.11760840998686,51.71568627450981,1610612766,12,9,2022-11-03T00:25:10Z,700000,9.0,12.0,1,right,M. Plumlee putback Layup (2 PTS),[203486],1610612766.0,CHA,putback,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,1.49,Made,2.0,,,,,,,,,,,,,,,
71,PT06M16.00S,2022-11-03T00:20:47.5Z,1,REGULAR,foul,personal,['1freethrow'],1630245,,,1610612766,12,9,2022-11-03T00:21:12Z,710000,,,0,,A. Dosunmu shooting personal FOUL (2 PF) (Plumlee 1 FT),"[1630245, 203486]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1146.0,,,,,,,,,,,,,,2.0,0.0,Plumlee,203486.0,,
73,PT06M16.00S,2022-11-03T00:20:54.6Z,1,REGULAR,substitution,out,[],203897,,,1610612766,12,9,2022-11-03T00:20:59Z,730000,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M16.00S,2022-11-03T00:20:54.6Z,1,REGULAR,substitution,in,[],1627936,,,1610612766,12,9,2022-11-03T00:20:59Z,740000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M16.00S,2022-11-03T00:21:13.0Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203486,,,1610612766,12,10,2022-11-03T00:21:13Z,750000,,,0,,M. Plumlee Free Throw 1 of 1 (3 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
76,PT06M03.00S,2022-11-03T00:21:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,5.732588699080158,52.94117647058824,1610612741,12,10,2022-11-03T00:21:31Z,760000,-15.0,1.0,1,left,MISS N. Vucevic driving Layup,[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,1.48,Missed,,,,,,,,,,,,,,,,
77,PT06M00.00S,2022-11-03T00:21:29.7Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,12,10,2022-11-03T00:21:31Z,770000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:2),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,
78,PT05M57.00S,2022-11-03T00:21:32.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1626162,92.9862023653088,50.98039215686274,1610612766,12,12,2022-11-03T00:21:38Z,780000,5.0,13.0,1,right,K. Oubre Jr. running DUNK (5 PTS) (D. Smith Jr. 2 AST),"[1626162, 1628372]",1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,1.43,Made,5.0,D. Smith Jr.,1628372.0,2.0,,,,,,,,,,,,
80,PT05M52.00S,2022-11-03T00:21:40.9Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612741,12,12,2022-11-03T00:21:55Z,800000,,,0,,D. DeRozan lost ball out-of-bounds TURNOVER (1 TO),[201942],1610612741.0,CHI,lost ball,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,1146.0,1.0,,,,,,,,,,,,,,,,,,
81,PT05M52.00S,2022-11-03T00:21:45.6Z,1,REGULAR,substitution,out,[],1626162,,,1610612766,12,12,2022-11-03T00:21:58Z,810000,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M52.00S,2022-11-03T00:21:45.6Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,12,12,2022-11-03T00:21:58Z,820000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M52.00S,2022-11-03T00:21:45.6Z,1,REGULAR,substitution,in,[],1630547,,,1610612766,12,12,2022-11-03T00:21:58Z,830000,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M52.00S,2022-11-03T00:21:45.6Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,12,12,2022-11-03T00:21:58Z,840000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M36.00S,2022-11-03T00:22:10.9Z,1,REGULAR,turnover,out-of-bounds,[],203486,,,1610612766,12,12,2022-11-03T00:22:19Z,850000,,,0,,M. Plumlee bad pass out-of-bounds TURNOVER (1 TO),[203486],1610612766.0,CHA,bad pass,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Left,1627524.0,1.0,,,,,,,,,,,,,,,,,,
86,PT05M27.00S,2022-11-03T00:22:27.1Z,1,REGULAR,foul,personal,['2freethrow'],1630547,,,1610612741,12,12,2022-11-03T00:23:10Z,860000,,,0,,J. Bouknight shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1630547, 201942]",1610612766.0,CHA,shooting,,,Bouknight,J. Bouknight,,,,,Mid-Range,8-16 Center,1627524.0,,,,,,,,,,,,,,1.0,0.0,DeRozan,201942.0,,
