actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
23,PT10M07.00S,2023-01-01T00:13:07.2Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,6,8,2023-01-01T00:13:12Z,230000,False,,,0,,Z. LaVine bad pass TURNOVER (1 TO),"[203897, 1628386]",1610612741.0,CHI,,,,,,,Above the Break 3,16-24 Right Center,,,,LaVine,Z. LaVine,,,,,,,,1.0,Allen,1628386.0,,,,,,,,
24,PT10M07.00S,2023-01-01T00:13:07.2Z,1,REGULAR,steal,,[],1628386,,,1610612739,6,8,2023-01-01T00:13:09Z,240000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,,,,Above the Break 3,16-24 Right Center,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2023-01-01T00:13:12.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630205,93.24901445466492,49.01960784313725,1610612739,6,10,2023-01-01T00:15:54Z,250000,False,-5.0,11.0,1,right,L. Stevens running Layup (2 PTS) (J. Allen 2 AST),"[1630205, 1628386]",1610612739.0,CLE,running,,,,,,Restricted Area,0-8 Center,1.2,Made,2.0,Stevens,L. Stevens,,,,,J. Allen,1628386.0,2.0,,,,,,,,,,,
27,PT09M46.00S,2023-01-01T00:13:27.0Z,1,REGULAR,2pt,Jump Shot,[],203897,25.837713534822605,63.725490196078425,1610612741,8,10,2023-01-01T00:13:33Z,270000,False,-69.0,190.0,1,left,Z. LaVine 20' pullup Jump Shot (2 PTS),[203897],1610612741.0,CHI,pullup,,,,,,Mid-Range,16-24 Left Center,20.24,Made,2.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
28,PT09M32.00S,2023-01-01T00:13:40.9Z,1,REGULAR,3pt,Jump Shot,[],201567,64.99671484888306,47.30392156862745,1610612739,8,10,2023-01-01T00:13:47Z,280000,False,-13.0,277.0,1,right,MISS K. Love 27' 3PT,[201567],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Center,27.68,Missed,,Love,K. Love,,,,,,,,,,,,,,,,,,
29,PT09M27.00S,2023-01-01T00:13:45.9Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,8,10,2023-01-01T00:13:47Z,290000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,,DeRozan,D. DeRozan,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M24.00S,2023-01-01T00:13:48.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203897,5.732588699080158,51.470588235294116,1610612741,10,10,2023-01-01T00:16:29Z,300000,False,-7.0,1.0,1,left,Z. LaVine running Layup (4 PTS),[203897],1610612741.0,CHI,running,,,,,,Restricted Area,0-8 Center,0.75,Made,4.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
31,PT09M08.00S,2023-01-01T00:14:06.3Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612739,10,10,2023-01-01T00:17:35Z,310000,False,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 202696]",1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Center,,,,LeVert,C. LeVert,,,,,,,,1.0,Vucevic,202696.0,,,,,,,,
32,PT09M08.00S,2023-01-01T00:14:06.3Z,1,REGULAR,steal,,[],202696,,,1610612741,10,10,2023-01-01T00:14:14Z,320000,False,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,
33,PT08M46.00S,2023-01-01T00:14:28.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202696,3.3672798948751645,77.94117647058823,1610612741,10,10,2023-01-01T00:14:33Z,330000,False,-140.0,-21.0,1,left,MISS N. Vucevic 14' turnaround fadeaway Shot,[202696],1610612741.0,CHI,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,14.12,Missed,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,
34,PT08M43.00S,2023-01-01T00:14:31.0Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,10,10,2023-01-01T00:14:33Z,340000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,,,,Mid-Range,8-16 Left,,,,Love,K. Love,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT08M28.00S,2023-01-01T00:14:46.0Z,1,REGULAR,2pt,Jump Shot,[],1630205,84.05059132720105,33.57843137254902,1610612739,10,10,2023-01-01T00:14:51Z,350000,False,-82.0,97.0,1,right,MISS L. Stevens 12' turnaround fadeaway Shot,[1630205],1610612739.0,CLE,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,12.74,Missed,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,
36,PT08M24.00S,2023-01-01T00:14:50.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,10,2023-01-01T00:14:51Z,360000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,,,,Mid-Range,8-16 Left,,,,Vucevic,N. Vucevic,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M23.00S,2023-01-01T00:14:53.2Z,1,REGULAR,foul,personal,[],1628378,,,1610612741,10,10,2023-01-01T00:15:04Z,370000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 1630245]",1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,,Mitchell,D. Mitchell,,,,,,,,,,,202037.0,1.0,0.0,Dosunmu,1630245.0,,,
39,PT08M16.00S,2023-01-01T00:15:25.6Z,1,REGULAR,turnover,bad pass,[],1630172,,,1610612741,10,10,2023-01-01T00:15:28Z,390000,False,,,0,,P. Williams bad pass TURNOVER (1 TO),"[1630172, 1628378]",1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Williams,P. Williams,,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,
40,PT08M16.00S,2023-01-01T00:15:25.6Z,1,REGULAR,steal,,[],1628378,,,1610612739,10,10,2023-01-01T00:15:27Z,400000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
41,PT08M13.00S,2023-01-01T00:15:31.4Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612739,10,10,2023-01-01T00:15:53Z,410000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (LeVert 2 FT),"[201942, 1627747]",1610612741.0,CHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,DeRozan,D. DeRozan,,,,,,,,,,,201638.0,1.0,0.0,LeVert,1627747.0,,,
43,PT08M13.00S,2023-01-01T00:15:59.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627747,,,1610612739,10,10,2023-01-01T00:16:18Z,430000,False,,,0,,MISS C. LeVert Free Throw 1 of 2,[1627747],1610612739.0,CLE,,,,,,,,,,Missed,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,
44,PT08M13.00S,2023-01-01T00:15:59.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612739,10,10,2023-01-01T00:16:18Z,440000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,
45,PT08M13.00S,2023-01-01T00:15:59.2Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1627747,,,1610612739,10,10,2023-01-01T00:16:18Z,450000,False,,,0,,MISS C. LeVert Free Throw 2 of 2,[1627747],1610612739.0,CLE,,,,,,,,,,Missed,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,
46,PT08M10.00S,2023-01-01T00:16:02.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,10,2023-01-01T00:16:18Z,460000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,,,,,,,,,Vucevic,N. Vucevic,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT07M57.00S,2023-01-01T00:16:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,5.995400788436268,50.245098039215684,1610612741,12,10,2023-01-01T00:16:48Z,470000,False,-1.0,4.0,1,left,D. DeRozan driving Layup (2 PTS),[201942],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,0.41,Made,2.0,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,
48,PT07M42.00S,2023-01-01T00:16:44.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,64.86530880420499,40.931372549019606,1610612739,12,10,2023-01-01T00:19:25Z,480000,False,-45.0,278.0,1,right,MISS D. Mitchell 28' 3PT,[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Center,28.15,Missed,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
49,PT07M42.00S,2023-01-01T00:16:44.6Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,12,10,2023-01-01T00:16:50Z,490000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,,LaVine,Z. LaVine,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M23.00S,2023-01-01T00:17:22.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,17.296320630749015,58.08823529411765,1610612741,12,10,2023-01-01T00:17:26Z,510000,False,-40.0,110.0,1,left,MISS D. DeRozan 11' turnaround fadeaway Shot,[201942],1610612741.0,CHI,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,11.73,Missed,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,
52,PT07M21.00S,2023-01-01T00:17:24.6Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,12,10,2023-01-01T00:17:26Z,520000,False,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Love,K. Love,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT07M07.00S,2023-01-01T00:17:38.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,93.77463863337714,50.98039215686274,1610612739,12,12,2023-01-01T00:17:45Z,530000,False,5.0,6.0,1,right,J. Allen driving DUNK (2 PTS),[1628386],1610612739.0,CLE,driving,,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,Allen,J. Allen,,,,,,,,,,,,,,,,,,
54,PT06M55.00S,2023-01-01T00:17:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.1268068331143235,50.98039215686274,1610612741,14,12,2023-01-01T00:21:35Z,540000,False,-5.0,5.0,1,left,A. Dosunmu cutting finger roll Layup (2 PTS) (D. DeRozan 1 AST),"[1630245, 201942]",1610612741.0,CHI,cutting finger roll,,,,,,Restricted Area,0-8 Center,0.71,Made,2.0,Dosunmu,A. Dosunmu,,,,,D. DeRozan,201942.0,1.0,,,,,,,,,,,
56,PT06M43.00S,2023-01-01T00:18:01.7Z,1,REGULAR,2pt,Jump Shot,[],1627747,83.26215505913272,67.8921568627451,1610612739,14,14,2023-01-01T00:18:07Z,560000,False,89.0,105.0,1,right,C. LeVert 13' turnaround Jump Shot (4 PTS) (D. Mitchell 1 AST),"[1627747, 1628378]",1610612739.0,CLE,turnaround,,,,,,Mid-Range,8-16 Right,13.78,Made,4.0,LeVert,C. LeVert,,,,,D. Mitchell,1628378.0,1.0,,,,,,,,,,,
58,PT06M31.00S,2023-01-01T00:18:14.5Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612741,14,14,2023-01-01T00:18:19Z,580000,False,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 1628378]",1610612741.0,CHI,,,,,,,Mid-Range,8-16 Left,,,,DeRozan,D. DeRozan,,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,
59,PT06M31.00S,2023-01-01T00:18:14.5Z,1,REGULAR,steal,,[],1628378,,,1610612739,14,14,2023-01-01T00:18:16Z,590000,False,,,0,,D. Mitchell STEAL (2 STL),[1628378],1610612739.0,CLE,,,,,,,Mid-Range,8-16 Left,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
60,PT06M26.00S,2023-01-01T00:18:20.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628378,93.64323258869908,49.754901960784316,1610612739,14,16,2023-01-01T00:22:07Z,600000,False,-1.0,7.0,1,right,D. Mitchell running Layup (2 PTS) (C. LeVert 2 AST),"[1628378, 1627747]",1610612739.0,CLE,running,,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,Mitchell,D. Mitchell,,,,,C. LeVert,1627747.0,2.0,,,,,,,,,,,
62,PT06M26.00S,2023-01-01T00:18:26.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,14,16,2023-01-01T00:18:26Z,620000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M26.00S,2023-01-01T00:21:00.2Z,1,REGULAR,substitution,out,[],1627747,,,1610612741,14,16,2023-01-01T00:21:14Z,630000,False,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,,,,,,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,
64,PT06M26.00S,2023-01-01T00:21:00.2Z,1,REGULAR,substitution,in,[],1626224,,,1610612741,14,16,2023-01-01T00:21:14Z,640000,False,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,,,,,,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,
65,PT06M13.00S,2023-01-01T00:21:32.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,6.389618922470433,50.245098039215684,1610612741,14,16,2023-01-01T00:21:37Z,650000,False,-1.0,8.0,1,left,MISS Z. LaVine driving finger roll Layup,[203897],1610612741.0,CHI,driving finger roll,,,,,,Restricted Area,0-8 Center,0.77,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
66,PT06M11.00S,2023-01-01T00:21:34.9Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,14,16,2023-01-01T00:21:37Z,660000,False,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,,Stevens,L. Stevens,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,
67,PT06M06.00S,2023-01-01T00:21:39.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628378,92.85479632063075,49.26470588235294,1610612739,14,18,2023-01-01T00:23:05Z,670000,False,-4.0,15.0,1,right,D. Mitchell running DUNK (4 PTS),[1628378],1610612739.0,CLE,running,,,,,,Restricted Area,0-8 Center,1.52,Made,4.0,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
68,PT05M43.00S,2023-01-01T00:22:02.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,12.565703022339028,58.82352941176471,1610612741,16,18,2023-01-01T00:22:06Z,680000,False,-44.0,66.0,1,left,A. Dosunmu 7' driving floating Jump Shot (4 PTS),[1630245],1610612741.0,CHI,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.9,Made,4.0,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,
69,PT05M36.00S,2023-01-01T00:22:11.8Z,1,REGULAR,foul,personal,[],1630245,,,1610612739,16,18,2023-01-01T00:22:41Z,690000,False,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1628378]",1610612741.0,CHI,,,,,,,Mid-Range,16-24 Center,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,200834.0,1.0,0.0,Mitchell,1628378.0,,,
71,PT05M36.00S,2023-01-01T00:22:17.2Z,1,REGULAR,substitution,out,[],201942,,,1610612739,16,18,2023-01-01T00:22:26Z,710000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,
72,PT05M36.00S,2023-01-01T00:22:17.2Z,1,REGULAR,substitution,out,[],1630205,,,1610612739,16,18,2023-01-01T00:22:26Z,720000,False,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,,,,,,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,
73,PT05M36.00S,2023-01-01T00:22:17.2Z,1,REGULAR,substitution,in,[],1629632,,,1610612739,16,18,2023-01-01T00:22:26Z,730000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,,
74,PT05M36.00S,2023-01-01T00:22:17.2Z,1,REGULAR,substitution,in,[],1630171,,,1610612739,16,18,2023-01-01T00:22:26Z,740000,False,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,,,,,,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,
76,PT05M17.00S,2023-01-01T00:23:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,93.51182654402102,50.0,1610612739,16,20,2023-01-01T00:23:20Z,760000,False,0.0,8.0,1,right,D. Mitchell driving finger roll Layup (6 PTS),[1628378],1610612739.0,CLE,driving finger roll,,,,,,Restricted Area,0-8 Center,0.85,Made,6.0,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
77,PT05M05.00S,2023-01-01T00:23:28.3Z,1,REGULAR,3pt,Jump Shot,[],203897,29.38567674113009,21.813725490196077,1610612741,16,20,2023-01-01T00:23:38Z,770000,False,141.0,224.0,1,left,MISS Z. LaVine 26' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,,,,Above the Break 3,24+ Right Center,26.44,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
78,PT05M01.00S,2023-01-01T00:23:32.6Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,16,20,2023-01-01T00:23:32Z,780000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,,,,Vucevic,N. Vucevic,77.0,3.0,2.0,1.0,,,,,,,,,,,,,,
79,PT04M59.00S,2023-01-01T00:23:35.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203897,5.863994743758213,51.71568627450981,1610612741,16,20,2023-01-01T00:23:40Z,790000,False,-9.0,3.0,1,left,MISS Z. LaVine driving Layup,[203897],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,0.9,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,
80,PT04M56.00S,2023-01-01T00:23:38.3Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,16,20,2023-01-01T00:23:40Z,800000,False,,,0,,K. Love REBOUND (Off:0 Def:3),[201567],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,,Love,K. Love,79.0,3.0,3.0,0.0,,,,,,,,,,,,,,
81,PT04M53.00S,2023-01-01T00:23:43.3Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612739,16,20,2023-01-01T00:23:53Z,810000,False,,,0,,N. Vucevic shooting personal FOUL (1 PF) (Mitchell 2 FT),"[202696, 1628378]",1610612741.0,CHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Vucevic,N. Vucevic,,,,,,,,,,,201638.0,1.0,0.0,Mitchell,1628378.0,,,
83,PT04M53.00S,2023-01-01T00:24:12.5Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,16,21,2023-01-01T00:24:12Z,830000,False,,,0,,D. Mitchell Free Throw 1 of 2 (7 PTS),[1628378],1610612739.0,CLE,,,,,,,,,,Made,7.0,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
84,PT04M53.00S,2023-01-01T00:24:13.4Z,1,REGULAR,substitution,out,[],1630172,,,1610612739,16,21,2023-01-01T00:24:26Z,840000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,,,,,,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,
85,PT04M53.00S,2023-01-01T00:24:13.4Z,1,REGULAR,substitution,out,[],201567,,,1610612739,16,21,2023-01-01T00:24:26Z,850000,False,,,0,,SUB out: K. Love,[201567],1610612739.0,CLE,,,,,,,,,,,,Love,K. Love,,,,,,,,,,,,,,,,,,
86,PT04M53.00S,2023-01-01T00:24:13.4Z,1,REGULAR,substitution,in,[],1629750,,,1610612739,16,21,2023-01-01T00:24:26Z,860000,False,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
87,PT04M53.00S,2023-01-01T00:24:13.4Z,1,REGULAR,substitution,in,[],1629603,,,1610612739,16,21,2023-01-01T00:24:26Z,870000,False,,,0,,SUB in: M. Diakite,[1629603],1610612739.0,CLE,,,,,,,,,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,
88,PT04M53.00S,2023-01-01T00:24:44.9Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,16,22,2023-01-01T00:24:44Z,880000,False,,,0,,D. Mitchell Free Throw 2 of 2 (8 PTS),[1628378],1610612739.0,CLE,,,,,,,,,,Made,8.0,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,
