actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M15.00S,2022-10-23T00:15:53.5Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,5,2,2022-10-23T00:16:01Z,170000,,,0,,E. Mobley bad pass out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,bad pass,,,Mobley,E. Mobley,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,1628480.0,1.0,,,,,,
18,PT10M05.00S,2022-10-23T00:16:13.5Z,1,REGULAR,turnover,out-of-bounds,[],1630172,,,1610612741,5,2,2022-10-23T00:16:20Z,180000,,,0,,P. Williams lost ball out-of-bounds TURNOVER (1 TO),[1630172],1610612741.0,CHI,lost ball,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,1628953.0,1.0,,,,,,
19,PT09M40.00S,2022-10-23T00:16:45.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630596,94.1688567674113,74.26470588235294,1610612739,5,2,2022-10-23T00:16:52Z,190000,121.0,2.0,1,right,MISS E. Mobley 12' turnaround fadeaway Shot,[1630596],1610612739.0,CLE,turnaround fadeaway,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,12.13,Missed,,,,,,,,,,,,,,,,,,
20,PT09M37.00S,2022-10-23T00:16:48.0Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,5,2,2022-10-23T00:16:52Z,200000,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Right,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
21,PT09M20.00S,2022-10-23T00:17:05.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,11.645860709592641,49.26470588235294,1610612741,5,2,2022-10-23T00:17:10Z,210000,4.0,57.0,1,left,MISS N. Vucevic turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,5.71,Missed,,,,,,,,,,,,,,,,,,
22,PT09M18.00S,2022-10-23T00:17:07.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,5,2,2022-10-23T00:17:10Z,220000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT09M05.00S,2022-10-23T00:17:20.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,88.78120893561103,47.794117647058826,1610612739,5,2,2022-10-23T00:17:25Z,230000,-11.0,53.0,1,right,MISS E. Mobley turnaround Hook,[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,5.41,Missed,,,,,,,,,,,,,,,,,,
24,PT09M03.00S,2022-10-23T00:17:22.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,5,2,2022-10-23T00:17:26Z,240000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,
25,PT08M56.00S,2022-10-23T00:17:29.0Z,1,REGULAR,2pt,Jump Shot,[],201942,3.892904073587385,78.18627450980392,1610612741,7,2,2022-10-23T00:17:34Z,250000,-141.0,-16.0,1,left,D. DeRozan 14' turnaround fadeaway Jump Shot (2 PTS) (Z. LaVine 2 AST),"[201942, 203897]",1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,14.18,Made,,,,,,,2.0,Z. LaVine,203897.0,2.0,,,,,,,,
27,PT08M32.00S,2022-10-23T00:17:53.8Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612739,7,2,2022-10-23T00:18:08Z,270000,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 1630172]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Williams,1630172.0,,,,
28,PT08M32.00S,2022-10-23T00:17:53.8Z,1,REGULAR,steal,,[],1630172,,,1610612741,7,2,2022-10-23T00:20:25Z,280000,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT08M30.00S,2022-10-23T00:18:07.8Z,1,REGULAR,foul,personal,['1freethrow'],1628378,,,1610612741,7,2,2022-10-23T00:18:24Z,290000,,,0,,D. Mitchell transition take personal FOUL (1 PF) (Dosunmu 1 FT),"[1628378, 1630245]",1610612739.0,CLE,transition take,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1628480.0,,,,1.0,0.0,Dosunmu,1630245.0
31,PT08M30.00S,2022-10-23T00:18:29.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],201942,,,1610612741,8,2,2022-10-23T00:18:29Z,310000,,,0,,D. DeRozan transition take Free Throw 1 of 1 (3 PTS),[201942],1610612741.0,CHI,transition take,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
33,PT08M15.00S,2022-10-23T00:19:40.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202696,12.434296977660972,56.127450980392155,1610612741,10,2,2022-10-23T00:19:45Z,330000,-31.0,64.0,1,left,N. Vucevic 7' turnaround Hook (4 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,7.13,Made,,,,,,,4.0,A. Dosunmu,1630245.0,1.0,,,,,,,,
35,PT08M00.00S,2022-10-23T00:19:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,93.77463863337714,47.30392156862745,1610612739,10,4,2022-10-23T00:20:02Z,350000,-13.0,6.0,1,right,E. Mobley alley-oop Layup (4 PTS) (J. Allen 1 AST),"[1630596, 1628386]",1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,1.48,Made,,,,,,,4.0,J. Allen,1628386.0,1.0,,,,,,,,
37,PT08M00.00S,2022-10-23T00:20:00.3Z,1,REGULAR,foul,personal,['1freethrow'],1630172,,,1610612739,10,4,2022-10-23T00:20:13Z,370000,,,0,,P. Williams shooting personal FOUL (1 PF) (Mobley 1 FT),"[1630172, 1630596]",1610612741.0,CHI,shooting,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628480.0,,,,1.0,0.0,Mobley,1630596.0
39,PT08M00.00S,2022-10-23T00:20:19.5Z,1,REGULAR,freethrow,1 of 1,[],1630596,,,1610612739,10,5,2022-10-23T00:20:19Z,390000,,,0,,E. Mobley Free Throw 1 of 1 (5 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
40,PT07M41.00S,2022-10-23T00:20:40.1Z,1,REGULAR,2pt,Jump Shot,[],203897,23.603810775295663,52.94117647058824,1610612741,12,5,2022-10-23T00:20:44Z,400000,-15.0,169.0,1,left,Z. LaVine 17' step back Jump Shot (5 PTS),[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Center,17.0,Made,,,,,,,5.0,,,,,,,,,,,
41,PT07M31.00S,2022-10-23T00:20:51.4Z,1,REGULAR,turnover,out-of-bounds,[],1630171,,,1610612739,12,5,2022-10-23T00:20:58Z,410000,,,0,,I. Okoro bad pass out-of-bounds TURNOVER (1 TO),[1630171],1610612739.0,CLE,bad pass,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,202058.0,1.0,,,,,,
42,PT07M31.00S,2022-10-23T00:20:58.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,12,5,2022-10-23T00:33:49Z,420000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M31.00S,2022-10-23T00:23:57.6Z,1,REGULAR,substitution,out,[],1630171,,,1610612741,12,5,2022-10-23T00:24:12Z,430000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M31.00S,2022-10-23T00:23:57.6Z,1,REGULAR,substitution,in,[],1626224,,,1610612741,12,5,2022-10-23T00:24:12Z,440000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M14.00S,2022-10-23T00:24:30.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630245,20.97568988173456,90.19607843137256,1610612741,12,5,2022-10-23T00:24:37Z,450000,-201.0,145.0,1,left,MISS A. Dosunmu 24' 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,24.77,Missed,,,,,,,,,,,,,,,,,,
46,PT07M10.00S,2022-10-23T00:24:34.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,12,5,2022-10-23T00:24:37Z,460000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,
47,PT07M05.00S,2022-10-23T00:24:40.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628378,74.85216819973719,37.745098039215684,1610612739,12,7,2022-10-23T00:24:50Z,470000,-61.0,184.0,1,right,D. Mitchell 19' pullup Jump Shot (2 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,19.38,Made,,,,,,,2.0,,,,,,,,,,,
49,PT06M38.00S,2022-10-23T00:25:23.3Z,1,REGULAR,3pt,Jump Shot,[],1630245,27.94021024967148,80.3921568627451,1610612741,12,7,2022-10-23T00:25:29Z,490000,-152.0,210.0,1,left,MISS A. Dosunmu 25' 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,,,,,,,,,,,,,,,,,
50,PT06M36.00S,2022-10-23T00:25:25.3Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,12,7,2022-10-23T00:25:29Z,500000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,
51,PT06M32.00S,2022-10-23T00:25:29.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,69.99014454664915,75.0,1610612739,12,10,2022-10-23T00:25:34Z,510000,125.0,230.0,1,right,D. Mitchell 26' 3PT pullup (5 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,26.14,Made,,,,,,,5.0,,,,,,,,,,,
52,PT06M16.00S,2022-10-23T00:25:45.2Z,1,REGULAR,2pt,Jump Shot,[],201942,21.632720105124836,56.372549019607845,1610612741,12,10,2022-10-23T00:25:49Z,520000,-32.0,151.0,1,left,MISS D. DeRozan 15' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Center,15.41,Missed,,,,,,,,,,,,,,,,,,
53,PT06M14.00S,2022-10-23T00:25:47.4Z,1,REGULAR,rebound,offensive,[],1630172,,,1610612741,12,10,2022-10-23T00:25:47Z,530000,,,0,,P. Williams REBOUND (Off:1 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Center,,,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,
54,PT06M12.00S,2022-10-23T00:25:49.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630172,3.7614980289093296,15.441176470588236,1610612741,14,10,2022-10-23T00:26:57Z,540000,173.0,-17.0,1,left,P. Williams 17' pullup Jump Shot (2 PTS),[1630172],1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right,17.36,Made,,,,,,,2.0,,,,,,,,,,,
55,PT05M52.00S,2022-10-23T00:26:08.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,79.97700394218134,34.31372549019608,1610612739,14,12,2022-10-23T00:26:13Z,550000,-78.0,136.0,1,right,D. Mitchell 15' pullup Jump Shot (7 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,15.67,Made,,,,,,,7.0,,,,,,,,,,,
56,PT05M36.00S,2022-10-23T00:26:24.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,6.652431011826544,64.95098039215686,1610612741,16,12,2022-10-23T00:26:28Z,560000,-75.0,10.0,1,left,N. Vucevic 7' turnaround Hook (6 PTS) (Z. LaVine 3 AST),"[202696, 203897]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,7.55,Made,,,,,,,6.0,Z. LaVine,203897.0,3.0,,,,,,,,
58,PT05M26.00S,2022-10-23T00:26:38.5Z,1,REGULAR,foul,personal,[],1630245,,,1610612739,16,12,2022-10-23T00:26:47Z,580000,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1628378]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1628480.0,,,,1.0,0.0,Mitchell,1628378.0
60,PT05M26.00S,2022-10-23T00:26:45.5Z,1,REGULAR,substitution,out,[],1630172,,,1610612739,16,12,2022-10-23T00:27:00Z,600000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M26.00S,2022-10-23T00:26:45.5Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,16,12,2022-10-23T00:27:00Z,610000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M26.00S,2022-10-23T00:26:45.5Z,1,REGULAR,substitution,in,[],1629750,,,1610612739,16,12,2022-10-23T00:27:00Z,620000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M26.00S,2022-10-23T00:26:45.5Z,1,REGULAR,substitution,in,[],201567,,,1610612739,16,12,2022-10-23T00:27:00Z,630000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M15.00S,2022-10-23T00:27:20.2Z,1,REGULAR,2pt,Jump Shot,[],1626224,76.42904073587385,56.127450980392155,1610612739,16,12,2022-10-23T00:27:23Z,640000,31.0,169.0,1,right,MISS C. Osman 17' pullup Shot,[1626224],1610612739.0,CLE,pullup,,,Osman,C. Osman,,,,,Mid-Range,16-24 Center,17.18,Missed,,,,,,,,,,,,,,,,,,
65,PT05M13.00S,2022-10-23T00:27:22.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,16,12,2022-10-23T00:27:23Z,650000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Center,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,
66,PT05M06.00S,2022-10-23T00:27:30.1Z,1,REGULAR,2pt,Jump Shot,[],201942,5.206964520367937,68.87254901960785,1610612741,16,12,2022-10-23T00:27:39Z,660000,-94.0,-4.0,1,left,MISS D. DeRozan 9' turnaround Shot,[201942],1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,9.45,Missed,,,,,,,,,,,,,,,,,,
67,PT05M03.00S,2022-10-23T00:27:33.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,16,12,2022-10-23T00:27:39Z,670000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,Mid-Range,8-16 Left,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,
68,PT04M59.00S,2022-10-23T00:27:37.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201567,69.46452036793693,72.79411764705883,1610612739,16,15,2022-10-23T00:27:45Z,680000,114.0,235.0,1,right,K. Love 26' 3PT  (3 PTS) (C. LeVert 1 AST),"[201567, 1627747]",1610612739.0,CLE,,,,Love,K. Love,,,,,Above the Break 3,24+ Right Center,26.07,Made,,,,,,,3.0,C. LeVert,1627747.0,1.0,,,,,,,,
70,PT04M45.00S,2022-10-23T00:27:50.5Z,1,REGULAR,3pt,Jump Shot,[],203897,32.013797634691194,45.588235294117645,1610612741,16,15,2022-10-23T00:27:57Z,700000,22.0,248.0,1,left,MISS Z. LaVine 24' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,24.94,Missed,,,,,,,,,,,,,,,,,,
71,PT04M41.00S,2022-10-23T00:27:54.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,16,15,2022-10-23T00:27:57Z,710000,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Center,,,,,70.0,3.0,2.0,1.0,,,,,,,,,,,,
72,PT04M35.00S,2022-10-23T00:28:02.8Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612739,16,15,2022-10-23T00:28:24Z,720000,,,0,,N. Vucevic shooting personal FOUL (1 PF) (Mitchell 2 FT),"[202696, 1628378]",1610612741.0,CHI,shooting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628953.0,,,,1.0,0.0,Mitchell,1628378.0
74,PT04M35.00S,2022-10-23T00:28:35.8Z,1,REGULAR,freethrow,1 of 2,[],1628378,,,1610612739,16,16,2022-10-23T00:28:35Z,740000,,,0,,D. Mitchell Free Throw 1 of 2 (8 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
75,PT04M35.00S,2022-10-23T00:28:38.3Z,1,REGULAR,substitution,out,[],1630245,,,1610612739,16,16,2022-10-23T00:28:41Z,750000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M35.00S,2022-10-23T00:28:38.3Z,1,REGULAR,substitution,in,[],1629632,,,1610612739,16,16,2022-10-23T00:28:41Z,760000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M35.00S,2022-10-23T00:28:59.0Z,1,REGULAR,freethrow,2 of 2,[],1628378,,,1610612739,16,17,2022-10-23T00:28:59Z,770000,,,0,,D. Mitchell Free Throw 2 of 2 (9 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,,,9.0,,,,,,,,,,,
78,PT04M21.00S,2022-10-23T00:29:17.0Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612741,16,17,2022-10-23T00:29:23Z,780000,,,0,,J. Allen shooting personal FOUL (1 PF) (LaVine 2 FT),"[1628386, 203897]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628953.0,,,,1.0,0.0,LaVine,203897.0
80,PT04M21.00S,2022-10-23T00:29:52.7Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,16,17,2022-10-23T00:29:52Z,800000,,,0,,MISS Z. LaVine Free Throw 1 of 2,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
81,PT04M21.00S,2022-10-23T00:29:52.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,16,17,2022-10-23T00:29:52Z,810000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,
82,PT04M21.00S,2022-10-23T00:29:54.9Z,1,REGULAR,substitution,out,[],1628386,,,1610612741,16,17,2022-10-23T00:30:16Z,820000,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M21.00S,2022-10-23T00:29:54.9Z,1,REGULAR,substitution,out,[],1628378,,,1610612741,16,17,2022-10-23T00:30:16Z,830000,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M21.00S,2022-10-23T00:29:54.9Z,1,REGULAR,substitution,in,[],203526,,,1610612741,16,17,2022-10-23T00:30:16Z,840000,,,0,,SUB in: R. Neto,[203526],1610612739.0,CLE,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M21.00S,2022-10-23T00:29:54.9Z,1,REGULAR,substitution,in,[],201577,,,1610612741,16,17,2022-10-23T00:30:16Z,850000,,,0,,SUB in: R. Lopez,[201577],1610612739.0,CLE,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M21.00S,2022-10-23T00:30:17.4Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,17,17,2022-10-23T00:30:17Z,860000,,,0,,Z. LaVine Free Throw 2 of 2 (6 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
