actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
20,PT10M06.00S,2022-10-25T00:13:02.1Z,1,REGULAR,2pt,Jump Shot,[],1630245,25.443495400788436,28.431372549019606,1610612741,0,6,2022-10-25T00:13:07Z,190000,108.0,187.0,1,left,MISS A. Dosunmu 21' pullup Shot,[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Right Center,21.56,Missed,,,,,,,,,,,,,,,,,,
21,PT10M04.00S,2022-10-25T00:13:04.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,6,2022-10-25T00:13:04Z,200000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,
22,PT09M56.00S,2022-10-25T00:13:12.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,79.188567674113,91.17647058823529,1610612738,0,9,2022-10-25T00:15:21Z,210000,206.0,143.0,1,right,J. Brown 25' 3PT  (5 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.07,Made,5.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
24,PT09M55.00S,2022-10-25T00:13:18.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,0,9,2022-10-25T00:13:18Z,230000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M32.00S,2022-10-25T00:16:34.1Z,1,REGULAR,2pt,Jump Shot,[],202696,4.418528252299605,78.18627450980392,1610612741,0,9,2022-10-25T00:16:40Z,240000,-141.0,-11.0,1,left,MISS N. Vucevic 14' turnaround fadeaway Shot,[202696],1610612741.0,CHI,turnaround fadeaway,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,14.13,Missed,,,,,,,,,,,,,,,,,,
26,PT09M30.00S,2022-10-25T00:16:36.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,9,2022-10-25T00:16:40Z,250000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,,,,25.0,3.0,3.0,0.0,,,,,,,,,,
27,PT09M20.00S,2022-10-25T00:16:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.5407358738502,50.245098039215684,1610612738,0,9,2022-10-25T00:16:53Z,260000,1.0,27.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
29,PT09M15.00S,2022-10-25T00:16:51.5Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,9,2022-10-25T00:16:53Z,280000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M11.00S,2022-10-25T00:17:00.8Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612741,0,9,2022-10-25T00:17:21Z,290000,,,0,,D. DeRozan lost ball out-of-bounds TURNOVER (1 TO),[201942],1610612741.0,CHI,lost ball,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1830.0,1.0,,,,,,,,
31,PT08M55.00S,2022-10-25T00:17:29.8Z,1,REGULAR,foul,personal,[],1630172,,,1610612738,0,9,2022-10-25T00:18:01Z,300000,,,0,,P. Williams personal FOUL (1 PF),"[1630172, 1627759]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,203054.0,,1.0,0.0,Brown,1627759.0,,,,
33,PT08M45.00S,2022-10-25T00:17:57.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,67.09921156373193,69.85294117647058,1610612738,0,12,2022-10-25T00:18:07Z,320000,99.0,257.0,1,right,A. Horford 27' 3PT  (3 PTS) (D. White 4 AST),"[201143, 1628401]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,27.53,Made,3.0,D. White,1628401.0,4.0,,,,,,,,,,,,,,
35,PT08M35.00S,2022-10-25T00:18:11.4Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612741,0,12,2022-10-25T00:18:25Z,340000,,,0,,A. Horford shooting personal FOUL (1 PF) (LaVine 2 FT),"[201143, 203897]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1830.0,,1.0,0.0,LaVine,203897.0,,,,
37,PT08M35.00S,2022-10-25T00:18:36.2Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,1,12,2022-10-25T00:18:36Z,360000,,,0,,Z. LaVine Free Throw 1 of 2 (1 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
38,PT08M35.00S,2022-10-25T00:18:59.7Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,2,12,2022-10-25T00:18:59Z,370000,,,0,,Z. LaVine Free Throw 2 of 2 (2 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
39,PT08M20.00S,2022-10-25T00:19:17.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,86.15308804204993,77.94117647058823,1610612738,2,12,2022-10-25T00:19:35Z,380000,140.0,78.0,1,right,MISS J. Tatum 15' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right,15.99,Missed,,,,,,,,,,,,,,,,,,
40,PT08M18.00S,2022-10-25T00:19:19.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,12,2022-10-25T00:19:35Z,390000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,
41,PT08M05.00S,2022-10-25T00:19:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,14.273981603153747,44.85294117647059,1610612741,2,12,2022-10-25T00:19:39Z,400000,26.0,82.0,1,left,MISS P. Williams 8' turnaround Shot,[1630172],1610612741.0,CHI,turnaround,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Center,8.56,Missed,,,,,,,,,,,,,,,,,,
42,PT08M04.00S,2022-10-25T00:19:33.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,12,2022-10-25T00:19:39Z,410000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,
43,PT07M57.00S,2022-10-25T00:19:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.9862023653088,38.72549019607843,1610612738,2,12,2022-10-25T01:15:15Z,420000,-56.0,13.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 1630172]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.8,Missed,,,,,,,,,,,,,,,Williams,1630172.0,,
44,PT07M57.00S,2022-10-25T00:19:41.1Z,1,REGULAR,block,,[],1630172,,,1610612738,2,12,2022-10-25T00:19:43Z,430000,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT07M54.00S,2022-10-25T00:19:44.1Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,2,12,2022-10-25T00:31:43Z,440000,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,
46,PT07M47.00S,2022-10-25T00:19:50.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,12.697109067017081,41.42156862745098,1610612741,2,12,2022-10-25T01:13:00Z,450000,43.0,67.0,1,left,MISS D. DeRozan 7' driving floating Shot,[201942],1610612741.0,CHI,driving floating,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,7.95,Missed,,,,,,,,,,,,,,,,,,
47,PT07M44.00S,2022-10-25T00:19:53.9Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,2,12,2022-10-25T00:19:57Z,460000,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,46.0,2.0,1.0,1.0,,,,,,,,,,
48,PT07M44.00S,2022-10-25T00:19:54.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,5.590000152587891,50.0,1610612741,4,12,2022-10-25T00:25:32Z,470000,0.0,0.0,1,left,N. Vucevic putback Layup (2 PTS),[202696],1610612741.0,CHI,putback,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
49,PT07M33.00S,2022-10-25T00:20:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.11760840998686,51.9607843137255,1610612738,4,14,2022-10-25T00:26:17Z,480000,10.0,12.0,1,right,J. Tatum cutting Layup (6 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.56,Made,6.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
51,PT07M14.00S,2022-10-25T00:20:23.0Z,1,REGULAR,2pt,Jump Shot,[],201942,7.966491458607096,9.313725490196079,1610612741,6,14,2022-10-25T00:22:09Z,500000,203.0,22.0,1,left,D. DeRozan 20' Jump Shot (2 PTS) (Z. LaVine 1 AST),"[201942, 203897]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right,20.46,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
53,PT06M59.00S,2022-10-25T00:20:38.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,69.33311432325887,73.2843137254902,1610612738,6,17,2022-10-25T00:22:16Z,520000,116.0,236.0,1,right,D. White 26' 3PT  (3 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,26.3,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
55,PT06M45.00S,2022-10-25T00:20:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,6.258212877792378,50.49019607843137,1610612741,6,17,2022-10-25T00:22:41Z,540000,-2.0,6.0,1,left,MISS Z. LaVine driving Layup,[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,0.68,Missed,,,,,,,,,,,,,,,,,,
56,PT06M42.00S,2022-10-25T00:20:55.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,17,2022-10-25T00:20:55Z,550000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,
57,PT06M38.00S,2022-10-25T00:20:59.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,72.48685939553219,79.65686274509804,1610612738,6,20,2022-10-25T00:27:10Z,560000,148.0,206.0,1,right,A. Horford 25' 3PT running (6 PTS) (J. Tatum 2 AST),"[201143, 1628369]",1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,25.39,Made,6.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,
59,PT06M19.00S,2022-10-25T00:21:18.7Z,1,REGULAR,3pt,Jump Shot,[],1630172,28.203022339027594,21.568627450980394,1610612741,6,20,2022-10-25T00:22:45Z,580000,142.0,213.0,1,left,MISS P. Williams 25' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,,
60,PT06M16.00S,2022-10-25T00:21:21.7Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,6,20,2022-10-25T00:22:45Z,590000,,,0,,N. Vucevic REBOUND (Off:2 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,59.0,3.0,1.0,2.0,,,,,,,,,,
61,PT06M15.00S,2022-10-25T00:21:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,7.178055190538765,50.0,1610612741,6,20,2022-10-25T00:27:38Z,600000,0.0,15.0,1,left,MISS N. Vucevic putback Layup,[202696],1610612741.0,CHI,putback,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,1.5,Missed,,,,,,,,,,,,,,,,,,
62,PT06M15.00S,2022-10-25T00:21:24.3Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,6,20,2022-10-25T00:22:52Z,610000,,,0,,N. Vucevic REBOUND (Off:3 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,61.0,4.0,1.0,3.0,,,,,,,,,,
63,PT06M15.00S,2022-10-25T00:21:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,5.590000152587891,50.0,1610612741,6,20,2022-10-25T00:21:28Z,620000,0.0,0.0,1,left,MISS N. Vucevic tip Layup,[202696],1610612741.0,CHI,tip,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
64,PT06M15.00S,2022-10-25T00:21:38.3Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,6,20,2022-10-25T00:21:38Z,630000,,,0,,N. Vucevic REBOUND (Off:4 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,,,,,,,63.0,5.0,1.0,4.0,,,,,,,,,,
66,PT06M15.00S,2022-10-25T00:21:39.7Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612741,6,20,2022-10-25T00:31:24Z,650000,,,0,,D. White shooting personal FOUL (1 PF) (Vucevic 2 FT),"[1628401, 202696]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627541.0,,1.0,0.0,Vucevic,202696.0,,,,
68,PT06M15.00S,2022-10-25T00:21:56.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202696,,,1610612741,7,20,2022-10-25T00:22:21Z,670000,,,0,,N. Vucevic Free Throw 1 of 2 (3 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
88,PT06M15.00S,2022-10-25T00:22:36.2Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,7,20,2022-10-25T00:26:07Z,675000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M15.00S,2022-10-25T00:22:36.2Z,1,REGULAR,substitution,in,[],1629750,,,1610612741,7,20,2022-10-25T00:26:07Z,677500,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M15.00S,2022-10-25T00:21:56.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202696,,,1610612741,7,20,2022-10-25T00:22:32Z,680000,,,0,,MISS N. Vucevic Free Throw 2 of 2,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
71,PT06M15.00S,2022-10-25T00:21:56.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,7,20,2022-10-25T00:22:32Z,690000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,
72,PT05M53.00S,2022-10-25T00:22:40.7Z,1,REGULAR,foul,personal,['3freethrow'],1630245,,,1610612738,7,20,2022-10-25T00:22:57Z,700000,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Tatum 3 FT),"[1630245, 1628369]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1830.0,,1.0,0.0,Tatum,1628369.0,,,,
74,PT05M53.00S,2022-10-25T00:23:11.7Z,1,REGULAR,freethrow,1 of 3,[],1628369,,,1610612738,7,21,2022-10-25T00:23:11Z,720000,,,0,,J. Tatum Free Throw 1 of 3 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
90,PT05M53.00S,2022-10-25T00:23:39.0Z,1,REGULAR,substitution,out,[],203897,,,1610612738,7,21,2022-10-25T00:27:19Z,725000,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M53.00S,2022-10-25T00:23:39.0Z,1,REGULAR,substitution,in,[],1629632,,,1610612738,7,21,2022-10-25T00:27:19Z,727500,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M53.00S,2022-10-25T00:23:29.2Z,1,REGULAR,freethrow,2 of 3,[],1628369,,,1610612738,7,22,2022-10-25T00:23:29Z,730000,,,0,,J. Tatum Free Throw 2 of 3 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
76,PT05M53.00S,2022-10-25T00:23:46.3Z,1,REGULAR,freethrow,3 of 3,[],1628369,,,1610612738,7,23,2022-10-25T00:23:46Z,740000,,,0,,J. Tatum Free Throw 3 of 3 (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
77,PT05M34.00S,2022-10-25T00:24:06.3Z,1,REGULAR,3pt,Jump Shot,[],1630245,29.6484888304862,69.36274509803921,1610612741,10,23,2022-10-25T00:25:02Z,750000,-97.0,226.0,1,left,A. Dosunmu 24' 3PT  (3 PTS) (N. Vucevic 1 AST),"[1630245, 202696]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,24.6,Made,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
79,PT05M23.00S,2022-10-25T00:24:18.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,73.01248357424441,18.38235294117647,1610612738,10,26,2022-10-25T00:25:07Z,770000,-158.0,201.0,1,right,J. Brown 25' 3PT  (8 PTS) (J. Tatum 3 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.59,Made,8.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,
81,PT05M08.00S,2022-10-25T00:24:32.6Z,1,REGULAR,2pt,Jump Shot,[],201942,23.73521681997372,67.15686274509804,1610612741,12,26,2022-10-25T00:33:54Z,790000,-86.0,171.0,1,left,D. DeRozan 19' pullup Jump Shot (4 PTS) (N. Vucevic 2 AST),"[201942, 202696]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,19.1,Made,4.0,N. Vucevic,202696.0,2.0,,,,,,,,,,,,,,
83,PT04M49.00S,2022-10-25T00:24:51.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.69842312746385,73.2843137254902,1610612738,12,29,2022-10-25T00:25:15Z,810000,116.0,214.0,1,right,J. Tatum 24' 3PT  (12 PTS) (M. Smart 3 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,24.32,Made,12.0,M. Smart,203935.0,3.0,,,,,,,,,,,,,,
85,PT04M26.00S,2022-10-25T00:25:14.3Z,1,REGULAR,2pt,Jump Shot,[],201942,26.888961892247043,30.637254901960787,1610612741,14,29,2022-10-25T00:25:40Z,830000,97.0,200.0,1,left,D. DeRozan 22' Jump Shot (6 PTS) (C. White 1 AST),"[201942, 1629632]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,22.25,Made,6.0,C. White,1629632.0,1.0,,,,,,,,,,,,,,
87,PT04M10.00S,2022-10-25T00:25:42.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,72.22404730617609,21.568627450980394,1610612738,14,32,2022-10-25T00:34:46Z,850000,-142.0,209.0,1,right,J. Tatum 25' 3PT step back (15 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.25,Made,15.0,,,,,,,,,,,,,,,,,
