actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
28,PT09M23.00S,2023-02-25T01:16:16.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,9,0,2023-02-25T01:16:18Z,280000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Right Corner 3,24+ Right,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,
29,PT09M05.00S,2023-02-25T01:16:33.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,12.040078843626807,47.549019607843135,1610612741,11,0,2023-02-25T01:16:38Z,290000,False,12.0,61.0,1,left,N. Vucevic 6' turnaround Hook (4 PTS),[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,6.19,Made,,,,,4.0,,,,,,,,,,
30,PT08M52.00S,2023-02-25T01:16:47.1Z,1,REGULAR,3pt,Jump Shot,[],1627827,95.48291721419186,96.56862745098039,1610612751,11,0,2023-02-25T01:16:57Z,300000,False,233.0,-10.0,1,right,MISS D. Finney-Smith 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,,,,23.3,Missed,,,,,,,,,,,,,,,
31,PT08M48.00S,2023-02-25T01:16:51.1Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,11,0,2023-02-25T01:16:57Z,310000,False,,,0,,P. Beverley REBOUND (Off:0 Def:2),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Right Corner 3,24+ Right,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,
32,PT08M41.00S,2023-02-25T01:16:58.3Z,1,REGULAR,2pt,Jump Shot,[],201942,27.94021024967148,55.14705882352941,1610612741,11,0,2023-02-25T01:17:18Z,320000,False,-26.0,210.0,1,left,MISS D. DeRozan 21' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,,,,21.17,Missed,,,,,,,,,,,,,,,
33,PT08M39.00S,2023-02-25T01:17:00.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,11,0,2023-02-25T01:17:03Z,330000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Center,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,
34,PT08M33.00S,2023-02-25T01:17:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,92.85479632063075,47.30392156862745,1610612751,11,0,2023-02-25T01:17:11Z,340000,False,-13.0,15.0,1,right,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,2.0,Missed,,,,,,,,,,,,,,,
35,PT08M31.00S,2023-02-25T01:17:08.5Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,11,0,2023-02-25T01:17:11Z,350000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,
36,PT08M20.00S,2023-02-25T01:17:19.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,7.703679369250986,40.931372549019606,1610612741,11,0,2023-02-25T01:17:23Z,360000,False,45.0,20.0,1,left,MISS N. Vucevic Hook,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,4.95,Missed,,,,,,,,,,,,,,,
37,PT08M18.00S,2023-02-25T01:17:21.6Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,11,0,2023-02-25T01:17:23Z,370000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT08M10.00S,2023-02-25T01:17:28.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,94.43166885676742,50.245098039215684,1610612751,11,2,2023-02-25T01:17:33Z,380000,False,1.0,0.0,1,right,N. Claxton alley-oop DUNK (2 PTS) (S. Dinwiddie 1 AST),"[1629651, 203915]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,0.12,Made,,,,,2.0,,S. Dinwiddie,203915.0,1.0,,,,,,
40,PT07M55.00S,2023-02-25T01:17:43.9Z,1,REGULAR,3pt,Jump Shot,[],203897,31.09395532194481,64.70588235294117,1610612741,14,2,2023-02-25T01:17:47Z,400000,False,-74.0,240.0,1,left,Z. LaVine 25' 3PT pullup (5 PTS),[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,,,,25.08,Made,,,,,5.0,,,,,,,,,,
41,PT07M35.00S,2023-02-25T01:18:04.0Z,1,REGULAR,3pt,Jump Shot,[],203915,77.21747700394218,11.029411764705882,1610612751,14,2,2023-02-25T01:18:09Z,410000,False,-195.0,162.0,1,right,MISS S. Dinwiddie 25' pullup 3PT,[203915],1610612751.0,BKN,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,,25.32,Missed,,,,,,,,,,,,,,,
42,PT07M33.00S,2023-02-25T01:18:06.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,14,2,2023-02-25T01:18:09Z,420000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,,,
43,PT07M20.00S,2023-02-25T01:18:19.8Z,1,REGULAR,3pt,Jump Shot,[],201976,5.995400788436268,94.6078431372549,1610612741,14,2,2023-02-25T01:18:23Z,430000,False,-223.0,4.0,1,left,MISS P. Beverley 3PT,[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,,,,22.3,Missed,,,,,,,,,,,,,,,
44,PT07M17.00S,2023-02-25T01:18:22.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,14,2,2023-02-25T01:18:23Z,440000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,
45,PT07M09.00S,2023-02-25T01:18:32.8Z,1,REGULAR,violation,kicked ball,[],201942,,,1610612751,14,2,2023-02-25T01:18:37Z,450000,False,,,0,,D. DeRozan kicked ball VIOLATION,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,2003.0,,,,,,,,,
46,PT07M05.00S,2023-02-25T01:18:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629661,71.96123521681997,18.872549019607842,1610612751,14,5,2023-02-25T01:18:56Z,460000,False,-156.0,211.0,1,right,C. Johnson 26' 3PT  (3 PTS) (N. Claxton 1 AST),"[1629661, 1629651]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,26.22,Made,,,,,3.0,,N. Claxton,1629651.0,1.0,,,,,,
48,PT07M04.00S,2023-02-25T01:18:57.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,14,5,2023-02-25T01:18:58Z,480000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M53.00S,2023-02-25T01:22:00.6Z,1,REGULAR,3pt,Jump Shot,[],203897,32.013797634691194,64.4607843137255,1610612741,17,5,2023-02-25T01:22:28Z,490000,False,-72.0,248.0,1,left,Z. LaVine 25' 3PT  (8 PTS) (D. DeRozan 2 AST),"[203897, 201942]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,,,,25.87,Made,,,,,8.0,,D. DeRozan,201942.0,2.0,,,,,,
51,PT06M33.00S,2023-02-25T01:22:19.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,66.04796320630749,27.941176470588236,1610612751,17,8,2023-02-25T01:22:26Z,510000,False,-110.0,267.0,1,right,C. Johnson 28' 3PT  (6 PTS) (S. Dinwiddie 2 AST),"[1629661, 203915]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,28.85,Made,,,,,6.0,,S. Dinwiddie,203915.0,2.0,,,,,,
53,PT06M22.00S,2023-02-25T01:22:38.7Z,1,REGULAR,foul,personal,[],1628969,,,1610612741,17,8,2023-02-25T01:22:44Z,530000,False,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 203897]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1193.0,,,,1.0,0.0,LaVine,203897.0,,
55,PT06M08.00S,2023-02-25T01:23:17.2Z,1,REGULAR,turnover,traveling,[],201942,,,1610612741,17,8,2023-02-25T01:23:28Z,550000,False,,,0,,D. DeRozan traveling TURNOVER (1 TO),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Right,1.0,,,,,,,,,,1193.0,,,,,,,,,
56,PT05M50.00S,2023-02-25T01:23:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203915,94.1688567674113,49.50980392156863,1610612751,17,8,2023-02-25T01:24:11Z,560000,False,-2.0,2.0,1,right,MISS S. Dinwiddie driving Layup - blocked,"[203915, 202696]",1610612751.0,BKN,driving,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,0.34,Missed,,,,,,,,,,,,,,Vucevic,202696.0
57,PT05M50.00S,2023-02-25T01:23:54.8Z,1,REGULAR,block,,[],202696,,,1610612751,17,8,2023-02-25T01:23:57Z,570000,False,,,0,,N. Vucevic BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT05M50.00S,2023-02-25T01:23:54.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,17,8,2023-02-25T01:24:11Z,580000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,56.0,,,,,,,,,,,,,,
60,PT05M50.00S,2023-02-25T01:23:59.9Z,1,REGULAR,substitution,out,[],201942,,,1610612751,17,8,2023-02-25T01:24:07Z,600000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M50.00S,2023-02-25T01:23:59.9Z,1,REGULAR,substitution,out,[],1627936,,,1610612751,17,8,2023-02-25T01:24:07Z,610000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M50.00S,2023-02-25T01:23:59.9Z,1,REGULAR,substitution,in,[],1629632,,,1610612751,17,8,2023-02-25T01:24:07Z,620000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M50.00S,2023-02-25T01:23:59.9Z,1,REGULAR,substitution,in,[],1630172,,,1610612751,17,8,2023-02-25T01:24:07Z,630000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M48.00S,2023-02-25T01:24:17.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629661,72.22404730617609,79.65686274509804,1610612751,17,8,2023-02-25T01:25:05Z,640000,False,148.0,209.0,1,right,MISS C. Johnson 25' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,25.59,Missed,,,,,,,,,,,,,,,
65,PT05M43.00S,2023-02-25T01:24:22.1Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,17,8,2023-02-25T01:24:23Z,650000,False,,,0,,P. Beverley REBOUND (Off:0 Def:3),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,,,,,,64.0,3.0,3.0,0.0,,,,,,,,,,,
66,PT05M39.00S,2023-02-25T01:24:28.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,8.541392904073588,43.02236519607843,1610612741,19,8,2023-02-25T01:31:55Z,660000,False,35.0,28.0,1,left,P. Beverley driving floating bank Jump Shot (2 PTS),[201976],1610612741.0,CHI,driving floating bank,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,,,,4.46,Made,,,,,2.0,,,,,,,,,,
67,PT05M39.00S,2023-02-25T01:24:31.6Z,1,REGULAR,foul,personal,['1freethrow'],1628969,,,1610612741,19,8,2023-02-25T01:24:37Z,670000,False,,,0,,M. Bridges shooting personal FOUL (2 PF) (Beverley 1 FT),"[1628969, 201976]",1610612751.0,BKN,shooting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202901.0,,,,2.0,0.0,Beverley,201976.0,,
69,PT05M39.00S,2023-02-25T01:24:41.7Z,1,REGULAR,substitution,out,[],1629661,,,1610612741,19,8,2023-02-25T01:24:52Z,690000,False,,,0,,SUB out: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M39.00S,2023-02-25T01:24:41.7Z,1,REGULAR,substitution,in,[],1630560,,,1610612741,19,8,2023-02-25T01:24:52Z,700000,False,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M39.00S,2023-02-25T01:25:05.1Z,1,REGULAR,freethrow,1 of 1,[],201976,,,1610612741,19,8,2023-02-25T01:25:23Z,710000,False,,,0,,MISS P. Beverley Free Throw 1 of 1,[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
72,PT05M36.00S,2023-02-25T01:25:08.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,19,8,2023-02-25T01:25:23Z,720000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,
73,PT05M22.00S,2023-02-25T01:25:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,94.03745072273325,51.9607843137255,1610612751,19,10,2023-02-25T01:25:28Z,730000,False,10.0,4.0,1,right,M. Bridges driving finger roll Layup (2 PTS) (N. Claxton 2 AST),"[1628969, 1629651]",1610612751.0,BKN,driving finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,1.04,Made,,,,,2.0,,N. Claxton,1629651.0,2.0,,,,,,
75,PT05M05.00S,2023-02-25T01:25:38.0Z,1,REGULAR,2pt,Jump Shot,[],203897,29.25427069645204,36.029411764705884,1610612741,19,10,2023-02-25T01:25:43Z,750000,False,70.0,222.0,1,left,MISS Z. LaVine 23' pullup Shot,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Center,,,,23.32,Missed,,,,,,,,,,,,,,,
76,PT05M03.00S,2023-02-25T01:25:40.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,19,10,2023-02-25T01:25:43Z,760000,False,,,0,,N. Claxton REBOUND (Off:0 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Center,,,,,,75.0,3.0,3.0,0.0,,,,,,,,,,,
77,PT04M44.00S,2023-02-25T01:25:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,93.9060446780552,51.470588235294116,1610612751,19,10,2023-02-25T01:26:02Z,770000,False,7.0,5.0,1,right,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,0.88,Missed,,,,,,,,,,,,,,,
78,PT04M41.00S,2023-02-25T01:26:01.8Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612751,19,10,2023-02-25T01:26:01Z,780000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,77.0,2.0,1.0,1.0,,,,,,,,,,,
79,PT04M41.00S,2023-02-25T01:26:01.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627827,94.40999984741211,50.0,1610612751,19,12,2023-02-25T01:26:01Z,790000,False,0.0,0.0,1,right,D. Finney-Smith tip Layup (2 PTS),[1627827],1610612751.0,BKN,tip,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,,2.0,,,,,,,,,,
80,PT04M25.00S,2023-02-25T01:26:19.1Z,1,REGULAR,3pt,Jump Shot,[],1630172,28.728646517739815,77.69607843137256,1610612741,22,12,2023-02-25T01:26:30Z,800000,False,-138.0,218.0,1,left,P. Williams 25' 3PT  (3 PTS),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,25.79,Made,,,,,3.0,,,,,,,,,,
81,PT04M07.00S,2023-02-25T01:26:39.0Z,1,REGULAR,foul,personal,['2freethrow'],1629632,,,1610612751,22,12,2023-02-25T01:26:56Z,810000,False,,,0,,C. White shooting personal FOUL (1 PF) (Bridges 2 FT),"[1629632, 1628969]",1610612741.0,CHI,shooting,,,White,C. White,,,,,Mid-Range,16-24 Center,,,,,,,,,,,2003.0,,,,1.0,0.0,Bridges,1628969.0,,
83,PT04M07.00S,2023-02-25T01:27:17.1Z,1,REGULAR,freethrow,1 of 2,[],1628969,,,1610612751,22,13,2023-02-25T01:27:17Z,830000,False,,,0,,M. Bridges Free Throw 1 of 2 (3 PTS),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
