actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
20,PT10M17.00S,2022-10-27T00:12:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,92.9862023653088,49.26470588235294,1610612754,5,5,2022-10-27T00:12:09Z,200000,-4.0,13.0,1,right,MISS B. Hield driving Layup,[1627741],1610612754.0,IND,driving,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,1.39,Missed,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2022-10-27T00:12:06.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,5,5,2022-10-27T00:12:09Z,210000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,
22,PT10M10.00S,2022-10-27T00:12:12.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203897,5.075558475689881,95.09803921568627,1610612741,8,5,2022-10-27T00:12:24Z,220000,-225.0,-5.0,1,left,Z. LaVine 3PT  (3 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Left Corner 3,24+ Left,22.56,Made,3.0,,,,,,,,,,,,,,,,,
24,PT09M55.00S,2022-10-27T00:12:26.5Z,1,REGULAR,3pt,Jump Shot,[],1630169,70.25295663600527,18.38235294117647,1610612754,8,8,2022-10-27T00:12:31Z,240000,-158.0,227.0,1,right,T. Haliburton 27' 3PT  (3 PTS) (A. Nesmith 1 AST),"[1630169, 1630174]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,27.67,Made,3.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,,,,,
26,PT09M38.00S,2022-10-27T00:12:43.7Z,1,REGULAR,3pt,Jump Shot,[],202696,6.652431011826544,96.56862745098039,1610612741,11,8,2022-10-27T00:12:48Z,260000,-233.0,10.0,1,left,N. Vucevic 3PT  (5 PTS) (P. Williams 1 AST),"[202696, 1630172]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Left Corner 3,24+ Left,23.3,Made,5.0,P. Williams,1630172.0,1.0,,,,,,,,,,,,,,
28,PT09M22.00S,2022-10-27T00:13:00.3Z,1,REGULAR,2pt,Jump Shot,[],1626167,74.72076215505913,49.01960784313725,1610612754,11,8,2022-10-27T00:13:06Z,280000,-5.0,185.0,1,right,MISS M. Turner 18' Jump Shot,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Center,18.52,Missed,,,,,,,,,,,,,,,,,,
29,PT09M19.00S,2022-10-27T00:13:03.3Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,11,8,2022-10-27T00:13:06Z,290000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M01.00S,2022-10-27T00:13:20.8Z,1,REGULAR,3pt,Jump Shot,[],203897,29.25427069645204,19.362745098039216,1610612741,14,8,2022-10-27T00:13:25Z,300000,153.0,222.0,1,left,Z. LaVine 27' 3PT pullup (6 PTS) (D. DeRozan 1 AST),"[203897, 201942]",1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,27.01,Made,6.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
32,PT08M48.00S,2022-10-27T00:13:34.1Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,14,8,2022-10-27T00:13:38Z,320000,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1630172]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,Williams,1630172.0,,,,,,,
33,PT08M48.00S,2022-10-27T00:13:34.1Z,1,REGULAR,steal,,[],1630172,,,1610612741,14,8,2022-10-27T00:13:35Z,330000,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
34,PT08M45.00S,2022-10-27T00:13:37.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630172,6.389618922470433,48.28431372549019,1610612741,16,8,2022-10-27T00:16:01Z,340000,9.0,8.0,1,left,P. Williams running Layup (5 PTS),[1630172],1610612741.0,CHI,running,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,1.15,Made,5.0,,,,,,,,,,,,,,,,,
35,PT08M44.00S,2022-10-27T00:13:41.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,16,8,2022-10-27T00:13:41Z,350000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M34.00S,2022-10-27T00:16:48.6Z,1,REGULAR,violation,kicked ball,[],201942,,,1610612754,16,8,2022-10-27T00:17:02Z,360000,,,0,,D. DeRozan kicked ball VIOLATION,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,202056.0,,,,,,
37,PT08M27.00S,2022-10-27T00:17:06.5Z,1,REGULAR,3pt,Jump Shot,[],1627741,95.3515111695138,98.77450980392157,1610612754,16,11,2022-10-27T00:17:11Z,370000,244.0,-9.0,1,right,B. Hield 24' 3PT  (6 PTS) (T. Haliburton 2 AST),"[1627741, 1630169]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Right Corner 3,24+ Right,24.41,Made,6.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,
39,PT08M05.00S,2022-10-27T00:17:37.7Z,1,REGULAR,foul,technical,['1freethrow'],1630188,,,1610612741,16,11,2022-10-27T00:17:46Z,390000,,,0,,J. Smith defensive-3-second technical FOUL (1 Tech),[1630188],1610612754.0,IND,defensive-3-second,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,1151.0,0.0,1.0,,,,
40,PT08M05.00S,2022-10-27T00:17:56.9Z,1,REGULAR,freethrow,1 of 1,[],203897,,,1610612741,17,11,2022-10-27T00:17:56Z,400000,,,0,,Z. LaVine technical Free Throw 1 of 1 (7 PTS),[203897],1610612741.0,CHI,technical,,,LaVine,Z. LaVine,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
41,PT07M59.00S,2022-10-27T00:18:13.8Z,1,REGULAR,2pt,Jump Shot,[],202696,25.706307490144546,37.00980392156863,1610612741,17,11,2022-10-27T00:18:21Z,410000,65.0,189.0,1,left,MISS N. Vucevic 20' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right Center,20.0,Missed,,,,,,,,,,,,,,,,,,
42,PT07M55.00S,2022-10-27T00:18:17.8Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,17,11,2022-10-27T00:18:21Z,420000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Right Center,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,
43,PT07M41.00S,2022-10-27T00:18:30.6Z,1,REGULAR,3pt,Jump Shot,[],1627741,69.46452036793693,72.05882352941177,1610612754,17,11,2022-10-27T00:19:27Z,430000,110.0,235.0,1,right,MISS B. Hield 25' pullup 3PT,[1627741],1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
44,PT07M39.00S,2022-10-27T00:18:32.6Z,1,REGULAR,rebound,offensive,[],1627741,,,1610612754,17,11,2022-10-27T00:18:35Z,440000,,,0,,B. Hield REBOUND (Off:1 Def:0),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,
45,PT07M31.00S,2022-10-27T00:18:41.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,88.38699080157687,1.9607843137254901,1610612754,17,11,2022-10-27T00:20:11Z,450000,-240.0,57.0,1,right,MISS B. Hield 24' pullup 3PT,[1627741],1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,Left Corner 3,24+ Left,24.68,Missed,,,,,,,,,,,,,,,,,,
46,PT07M25.00S,2022-10-27T00:18:47.6Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,17,11,2022-10-27T00:18:57Z,460000,,,0,,M. Turner REBOUND (Off:1 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Left Corner 3,24+ Left,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,
47,PT07M22.00S,2022-10-27T00:18:49.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630174,73.9323258869908,86.51960784313727,1610612754,17,11,2022-10-27T00:19:00Z,470000,183.0,193.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,26.53,Missed,,,,,,,,,,,,,,,,,,
48,PT07M20.00S,2022-10-27T00:18:52.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,17,11,2022-10-27T00:18:52Z,480000,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,,
49,PT07M10.00S,2022-10-27T00:19:02.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,5.601182654402102,52.450980392156865,1610612741,19,11,2022-10-27T00:21:04Z,490000,-12.0,0.0,1,left,N. Vucevic reverse Layup (7 PTS) (A. Dosunmu 3 AST),"[202696, 1630245]",1610612741.0,CHI,reverse,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,1.23,Made,7.0,A. Dosunmu,1630245.0,3.0,,,,,,,,,,,,,,
51,PT06M53.00S,2022-10-27T00:19:25.7Z,1,REGULAR,foul,offensive,[],1626167,,,1610612754,19,11,2022-10-27T00:19:32Z,510000,,,0,,M. Turner charge offensive FOUL (1 PF),"[1626167, 1630172]",1610612754.0,IND,charge,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1151.0,1.0,0.0,Williams,1630172.0,,
53,PT06M53.00S,2022-10-27T00:19:25.7Z,1,REGULAR,turnover,offensive foul,[],1626167,,,1610612754,19,11,2022-10-27T00:19:25Z,530000,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,1151.0,,,,,,
54,PT06M53.00S,2022-10-27T00:19:32.6Z,1,REGULAR,substitution,out,[],1630174,,,1610612741,19,11,2022-10-27T00:19:41Z,540000,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M53.00S,2022-10-27T00:19:32.6Z,1,REGULAR,substitution,out,[],1626167,,,1610612741,19,11,2022-10-27T00:19:41Z,550000,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M53.00S,2022-10-27T00:19:32.6Z,1,REGULAR,substitution,in,[],1630543,,,1610612741,19,11,2022-10-27T00:19:41Z,560000,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M53.00S,2022-10-27T00:19:32.6Z,1,REGULAR,substitution,in,[],1631097,,,1610612741,19,11,2022-10-27T00:19:41Z,570000,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M38.00S,2022-10-27T00:20:06.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202696,26.49474375821288,82.59803921568627,1610612741,19,11,2022-10-27T00:20:10Z,580000,-163.0,197.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
59,PT06M37.00S,2022-10-27T00:20:07.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,19,11,2022-10-27T00:20:10Z,590000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,
60,PT06M31.00S,2022-10-27T00:20:17.7Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612754,19,11,2022-10-27T00:20:41Z,600000,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Haliburton 2 FT),"[1630245, 1630169]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1151.0,1.0,0.0,Haliburton,1630169.0,,
62,PT06M31.00S,2022-10-27T00:20:43.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630169,,,1610612754,19,12,2022-10-27T00:20:43Z,620000,,,0,,T. Haliburton Free Throw 1 of 2 (4 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
63,PT06M31.00S,2022-10-27T00:20:44.0Z,1,REGULAR,substitution,out,[],203897,,,1610612754,19,12,2022-10-27T00:20:49Z,630000,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M31.00S,2022-10-27T00:20:44.0Z,1,REGULAR,substitution,out,[],1630172,,,1610612754,19,12,2022-10-27T00:20:49Z,640000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M31.00S,2022-10-27T00:20:44.0Z,1,REGULAR,substitution,in,[],1629632,,,1610612754,19,12,2022-10-27T00:20:49Z,650000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M31.00S,2022-10-27T00:20:44.0Z,1,REGULAR,substitution,in,[],1629750,,,1610612754,19,12,2022-10-27T00:20:49Z,660000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M31.00S,2022-10-27T00:20:59.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630169,,,1610612754,19,13,2022-10-27T00:20:59Z,670000,,,0,,T. Haliburton Free Throw 2 of 2 (5 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
68,PT06M21.00S,2022-10-27T00:21:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,6.783837056504599,49.26470588235294,1610612741,21,13,2022-10-27T00:21:15Z,680000,4.0,11.0,1,left,N. Vucevic cutting Layup (9 PTS) (D. DeRozan 2 AST),"[202696, 201942]",1610612741.0,CHI,cutting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,1.19,Made,9.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,,
70,PT06M10.00S,2022-10-27T00:21:22.0Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,21,13,2022-10-27T00:21:25Z,700000,,,0,,T. Haliburton bad pass TURNOVER (2 TO),"[1630169, 1629632]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Left,,,,,,,,,,,2.0,White,1629632.0,,,,,,,
71,PT06M10.00S,2022-10-27T00:21:22.0Z,1,REGULAR,steal,,[],1629632,,,1610612741,21,13,2022-10-27T00:21:23Z,710000,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
72,PT06M05.00S,2022-10-27T00:21:26.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629632,26.888961892247043,80.88235294117648,1610612741,21,13,2022-10-27T00:21:34Z,720000,-154.0,200.0,1,left,MISS C. White 25' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,25.29,Missed,,,,,,,,,,,,,,,,,,
73,PT05M59.00S,2022-10-27T00:21:32.9Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,21,13,2022-10-27T00:21:34Z,730000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,72.0,1.0,0.0,1.0,,,,,,,,,,
74,PT05M59.00S,2022-10-27T00:21:32.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629750,5.590000152587891,50.0,1610612741,23,13,2022-10-27T00:21:32Z,740000,0.0,0.0,1,left,J. Green putback Layup (2 PTS),[1629750],1610612741.0,CHI,putback,,,Green,J. Green,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
75,PT05M37.00S,2022-10-27T00:21:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,93.64323258869908,49.754901960784316,1610612754,23,13,2022-10-27T00:22:02Z,750000,-1.0,7.0,1,right,MISS B. Mathurin driving Layup,[1631097],1610612754.0,IND,driving,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,0.74,Missed,,,,,,,,,,,,,,,,,,
76,PT05M35.00S,2022-10-27T00:21:57.8Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,23,13,2022-10-27T00:22:02Z,760000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,
77,PT05M27.00S,2022-10-27T00:22:05.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,3.7614980289093296,95.58823529411765,1610612741,26,13,2022-10-27T00:22:11Z,770000,-228.0,-17.0,1,left,C. White 3PT  (3 PTS) (N. Vucevic 1 AST),"[1629632, 202696]",1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,22.85,Made,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
79,PT05M16.00S,2022-10-27T00:22:19.9Z,1,REGULAR,foul,personal,[],1629632,,,1610612754,26,13,2022-10-27T00:22:32Z,790000,,,0,,C. White personal FOUL (1 PF),"[1629632, 1627741]",1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1151.0,1.0,0.0,Hield,1627741.0,,
81,PT05M07.00S,2022-10-27T00:22:54.3Z,1,REGULAR,3pt,Jump Shot,[],1630169,69.20170827858082,73.2843137254902,1610612754,26,13,2022-10-27T00:22:59Z,810000,116.0,237.0,1,right,MISS T. Haliburton 26' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,26.4,Missed,,,,,,,,,,,,,,,,,,
82,PT05M03.00S,2022-10-27T00:22:58.3Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,26,13,2022-10-27T00:22:59Z,820000,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,
83,PT04M47.00S,2022-10-27T00:23:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.389618922470433,52.450980392156865,1610612741,28,13,2022-10-27T00:23:25Z,830000,-12.0,8.0,1,left,A. Dosunmu driving Layup (2 PTS) (J. Green 1 AST),"[1630245, 1629750]",1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.45,Made,2.0,J. Green,1629750.0,1.0,,,,,,,,,,,,,,
85,PT04M47.00S,2022-10-27T00:23:19.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,28,13,2022-10-27T00:23:19Z,850000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M47.00S,2022-10-27T00:26:01.0Z,1,REGULAR,substitution,out,[],1627741,,,1610612754,28,13,2022-10-27T00:26:07Z,860000,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M47.00S,2022-10-27T00:26:01.0Z,1,REGULAR,substitution,out,[],1630188,,,1610612754,28,13,2022-10-27T00:26:07Z,870000,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M47.00S,2022-10-27T00:26:01.0Z,1,REGULAR,substitution,in,[],1630537,,,1610612754,28,13,2022-10-27T00:26:07Z,880000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M47.00S,2022-10-27T00:26:01.0Z,1,REGULAR,substitution,in,[],1629614,,,1610612754,28,13,2022-10-27T00:26:07Z,890000,,,0,,SUB in: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
