actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
48,PT08M48.00S,2024-10-26T02:18:09.7Z,1,REGULAR,3pt,Jump Shot,[],1630166,20.05584756898817,90.44117647058823,1610612757,8,4,2024-10-26T02:18:13Z,470000,False,-202.0,136.0,1,left,MISS D. Avdija 24' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,24.37,Missed,,,,,,,,,,,,,,,,,,
49,PT08M45.00S,2024-10-26T02:18:12.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,8,4,2024-10-26T02:18:13Z,480000,False,,,0,,B. Ingram REBOUND (Off:1 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,48.0,,,,,2.0,1.0,1.0,,,,,,,,,,
50,PT08M38.00S,2024-10-26T02:18:18.9Z,1,REGULAR,3pt,Jump Shot,[],1630529,85.75886990801577,2.696078431372549,1610612740,8,4,2024-10-26T02:18:22Z,490000,False,-237.0,81.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,25.01,Missed,,,,,,,,,,,,,,,,,,
51,PT08M36.00S,2024-10-26T02:18:20.9Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,8,4,2024-10-26T02:18:22Z,500000,False,,,0,,J. Grant REBOUND (Off:0 Def:2),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,,,50.0,,,,,2.0,2.0,0.0,,,,,,,,,,
52,PT08M32.00S,2024-10-26T02:18:27.7Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612757,8,4,2024-10-26T02:18:34Z,510000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Grant 2 FT),"[1629627, 203924]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627519.0,1.0,0.0,Grant,203924.0,,,
54,PT08M32.00S,2024-10-26T02:19:01.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203924,,,1610612757,9,4,2024-10-26T02:19:23Z,530000,False,,,0,,J. Grant Free Throw 1 of 2 (9 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,9.0,,,,,,,,,,,,,,,,
55,PT08M32.00S,2024-10-26T02:19:01.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203924,,,1610612757,10,4,2024-10-26T02:19:23Z,540000,False,,,0,,J. Grant Free Throw 2 of 2 (10 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,10.0,,,,,,,,,,,,,,,,
56,PT08M10.00S,2024-10-26T02:19:38.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,92.32917214191852,56.86274509803921,1610612740,10,4,2024-10-26T02:19:42Z,550000,False,34.0,20.0,1,right,MISS B. Ingram turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,3.95,Missed,,,,,,,,,,,,,,,,,,
57,PT08M09.00S,2024-10-26T02:19:39.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,10,4,2024-10-26T02:19:42Z,560000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,56.0,,,,,2.0,2.0,0.0,,,,,,,,,,
58,PT08M02.00S,2024-10-26T02:19:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,8.886333771353483,43.13725490196079,1610612757,10,4,2024-10-26T02:20:23Z,570000,False,34.0,31.0,1,left,MISS D. Ayton driving floating bank Shot - blocked,"[1629028, 1627742]",1610612757.0,POR,driving floating bank,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,Ingram,1627742.0,,,,,,,,
