actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
21,PT10M05.00S,2025-03-22T02:15:44.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631128,10.33180026281209,52.20588235294118,1610612743,3,8,2025-03-22T02:15:51Z,210000,False,-11.0,45.0,1,left,C. Braun cutting Layup (2 PTS) (R. Westbrook 1 AST),"[1631128, 201566]",1610612743.0,DEN,cutting,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,4.59,Made,2.0,,,,,,,,,R. Westbrook,201566.0,1.0,,,,,,
23,PT09M56.00S,2025-03-22T02:15:53.2Z,1,REGULAR,3pt,Jump Shot,[],1630166,67.88764783180025,62.99019607843137,1610612757,6,8,2025-03-22T02:15:57Z,230000,False,65.0,249.0,1,right,D. Avdija 25' 3PT pullup (3 PTS) (S. Henderson 1 AST),"[1630166, 1630703]",1610612757.0,POR,pullup,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,25.77,Made,3.0,,,,,,,,,S. Henderson,1630703.0,1.0,,,,,,
24,PT09M32.00S,2025-03-22T02:16:19.1Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612743,6,8,2025-03-22T02:16:28Z,240000,False,,,0,,D. Avdija shooting personal FOUL (1 PF) (Gordon 2 FT),"[1630166, 203932]",1610612757.0,POR,shooting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,202007.0,1.0,0.0,Gordon,203932.0,,,,,,,,,
27,PT09M32.00S,2025-03-22T02:16:51.1Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,6,9,2025-03-22T02:17:08Z,260000,False,,,0,,A. Gordon Free Throw 1 of 2 (5 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
28,PT09M32.00S,2025-03-22T02:16:51.1Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,6,9,2025-03-22T02:17:08Z,270000,False,,,0,,MISS A. Gordon Free Throw 2 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT09M30.00S,2025-03-22T02:16:53.1Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,6,9,2025-03-22T02:17:08Z,280000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,
30,PT09M21.00S,2025-03-22T02:17:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,91.27792378449409,57.59803921568627,1610612757,6,9,2025-03-22T02:17:19Z,290000,False,38.0,29.0,1,right,MISS S. Sharpe driving Layup,[1631101],1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,4.81,Missed,,,,,,,,,,,,,,,,,,
31,PT09M20.00S,2025-03-22T02:17:16.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,9,2025-03-22T02:17:19Z,300000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,
32,PT09M08.00S,2025-03-22T02:17:30.0Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612743,6,9,2025-03-22T02:17:39Z,310000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Gordon 2 FT),"[1641739, 203932]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,1627534.0,1.0,0.0,Gordon,203932.0,,,,,,,,,
34,PT09M08.00S,2025-03-22T02:17:49.9Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,6,10,2025-03-22T02:17:49Z,330000,False,,,0,,A. Gordon Free Throw 1 of 2 (6 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
35,PT09M08.00S,2025-03-22T02:18:01.6Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,6,11,2025-03-22T02:18:01Z,340000,False,,,0,,A. Gordon Free Throw 2 of 2 (7 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
36,PT08M53.00S,2025-03-22T02:18:18.2Z,1,REGULAR,3pt,Jump Shot,[],1631200,72.48685939553219,81.37254901960785,1610612757,6,11,2025-03-22T02:18:22Z,350000,False,157.0,206.0,1,right,MISS K. Murray 25' 3PT,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,25.9,Missed,,,,,,,,,,,,,,,,,,
37,PT08M50.00S,2025-03-22T02:18:21.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,11,2025-03-22T02:18:22Z,360000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,36.0,2.0,2.0,0.0,,
38,PT08M46.00S,2025-03-22T02:18:25.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201566,7.440867279894875,48.28431372549019,1610612743,6,13,2025-03-22T02:18:31Z,370000,False,9.0,17.0,1,left,R. Westbrook running Layup (4 PTS) (M. Porter Jr. 1 AST),"[201566, 1629008]",1610612743.0,DEN,running,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,1.94,Made,4.0,,,,,,,,,M. Porter Jr.,1629008.0,1.0,,,,,,
40,PT08M37.00S,2025-03-22T02:18:34.4Z,1,REGULAR,3pt,Jump Shot,[],1641739,91.5407358738502,3.1862745098039214,1610612757,6,13,2025-03-22T02:19:35Z,390000,False,-234.0,27.0,1,right,MISS T. Camara pullup 3PT,[1641739],1610612757.0,POR,pullup,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,23.57,Missed,,,,,,,,,,,,,,,,,,
41,PT08M33.00S,2025-03-22T02:18:37.9Z,1,REGULAR,rebound,offensive,[],1631200,,,1610612757,6,13,2025-03-22T02:18:37Z,400000,False,,,0,,K. Murray REBOUND (Off:1 Def:0),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,40.0,1.0,0.0,1.0,,
42,PT08M31.00S,2025-03-22T02:18:39.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631101,69.72733245729303,13.970588235294118,1610612757,6,13,2025-03-22T02:18:46Z,410000,False,-180.0,232.0,1,right,MISS S. Sharpe 29' 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,29.38,Missed,,,,,,,,,,,,,,,,,,
43,PT08M27.00S,2025-03-22T02:18:43.6Z,1,REGULAR,rebound,offensive,[],1631200,,,1610612757,6,13,2025-03-22T02:18:46Z,420000,False,,,0,,K. Murray REBOUND (Off:2 Def:0),[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,42.0,2.0,0.0,2.0,,
44,PT08M27.00S,2025-03-22T02:18:44.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631200,94.40999984741211,50.0,1610612757,6,13,2025-03-22T02:18:44Z,430000,False,0.0,0.0,1,right,MISS K. Murray tip Layup,[1631200],1610612757.0,POR,tip,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
45,PT08M26.00S,2025-03-22T02:18:45.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,13,2025-03-22T02:18:45Z,440000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,44.0,3.0,3.0,0.0,,
46,PT08M12.00S,2025-03-22T02:18:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,8.229303547963205,48.03921568627451,1610612743,6,15,2025-03-22T02:19:05Z,450000,False,10.0,25.0,1,left,C. Braun cutting Layup (4 PTS) (R. Westbrook 2 AST),"[1631128, 201566]",1610612743.0,DEN,cutting,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,2.68,Made,4.0,,,,,,,,,R. Westbrook,201566.0,2.0,,,,,,
48,PT08M12.00S,2025-03-22T02:19:03.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,6,15,2025-03-22T02:19:03Z,470000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M12.00S,2025-03-22T02:21:30.0Z,1,REGULAR,substitution,out,[],1631200,,,1610612757,6,15,2025-03-22T02:21:40Z,480000,False,,,0,,SUB out: K. Murray,[1631200],1610612757.0,POR,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M12.00S,2025-03-22T02:21:30.0Z,1,REGULAR,substitution,in,[],1641871,,,1610612757,6,15,2025-03-22T02:21:40Z,490000,False,,,0,,SUB in: D. Reath,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M02.00S,2025-03-22T02:22:12.4Z,1,REGULAR,3pt,Jump Shot,[],1630703,70.38436268068331,77.20588235294117,1610612757,9,15,2025-03-22T02:22:17Z,500000,False,136.0,226.0,1,right,S. Henderson 26' 3PT step back (6 PTS) (D. Reath 1 AST),"[1630703, 1641871]",1610612757.0,POR,step back,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,26.37,Made,6.0,,,,,,,,,D. Reath,1641871.0,1.0,,,,,,
52,PT07M39.00S,2025-03-22T02:22:35.6Z,1,REGULAR,2pt,Jump Shot,[],1627750,17.559132720105126,77.45098039215686,1610612743,9,17,2025-03-22T02:22:39Z,510000,False,-137.0,113.0,1,left,J. Murray 17' Jump Shot (2 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left Center,17.76,Made,2.0,,,,,,,,,,,,,,,,,
53,PT07M29.00S,2025-03-22T02:22:45.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630703,84.83902759526939,58.333333333333336,1610612757,9,17,2025-03-22T02:25:03Z,520000,False,42.0,90.0,1,right,MISS S. Henderson 9' driving floating Shot,[1630703],1610612757.0,POR,driving floating,,,Henderson,S. Henderson,,,,,In The Paint (Non-RA),8-16 Center,9.92,Missed,,,,,,,,,,,,,,,,,,
54,PT07M27.00S,2025-03-22T02:22:47.1Z,1,REGULAR,rebound,offensive,[],1631101,,,1610612757,9,17,2025-03-22T02:22:47Z,530000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,53.0,2.0,1.0,1.0,,
55,PT07M24.00S,2025-03-22T02:22:50.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631101,85.23324572930355,3.9215686274509802,1610612757,9,17,2025-03-22T02:25:57Z,540000,False,-230.0,86.0,1,right,MISS S. Sharpe 24' step back 3PT,[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,24.6,Missed,,,,,,,,,,,,,,,,,,
56,PT07M22.00S,2025-03-22T02:22:52.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,9,17,2025-03-22T02:23:01Z,550000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:4),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,55.0,4.0,4.0,0.0,,
57,PT07M22.00S,2025-03-22T02:22:56.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630703,,,1610612743,9,17,2025-03-22T02:23:03Z,560000,False,,,0,,S. Henderson personal FOUL (2 PF) (Porter Jr. 2 FT),"[1630703, 1629008]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Mid-Range,8-16 Center,,,,,,,202007.0,2.0,0.0,Porter Jr.,1629008.0,,,,,,,,,
60,PT07M22.00S,2025-03-22T02:23:29.6Z,1,REGULAR,freethrow,1 of 2,[],1629008,,,1610612743,9,18,2025-03-22T02:23:29Z,580000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (1 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
61,PT07M22.00S,2025-03-22T02:23:44.0Z,1,REGULAR,freethrow,2 of 2,[],1629008,,,1610612743,9,19,2025-03-22T02:23:44Z,590000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (2 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
62,PT07M04.00S,2025-03-22T02:24:02.8Z,1,REGULAR,3pt,Jump Shot,[],1630166,79.31997371879106,90.68627450980392,1610612757,9,19,2025-03-22T02:24:07Z,600000,False,203.0,142.0,1,right,MISS D. Avdija 24' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,24.8,Missed,,,,,,,,,,,,,,,,,,
63,PT07M00.00S,2025-03-22T02:24:06.8Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,9,19,2025-03-22T02:24:07Z,610000,False,,,0,,T. Camara REBOUND (Off:1 Def:0),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,62.0,1.0,0.0,1.0,,
64,PT06M52.00S,2025-03-22T02:24:14.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641739,90.88370565045992,3.1862745098039214,1610612757,12,19,2025-03-22T02:24:18Z,620000,False,-234.0,33.0,1,right,T. Camara 3PT  (3 PTS) (S. Henderson 2 AST),"[1641739, 1630703]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,23.64,Made,3.0,,,,,,,,,S. Henderson,1630703.0,2.0,,,,,,
66,PT06M25.00S,2025-03-22T02:24:44.8Z,1,REGULAR,foul,offensive,[],1629008,,,1610612743,12,19,2025-03-22T02:24:55Z,640000,False,,,0,,M. Porter Jr. charge offensive FOUL (1 PF),"[1629008, 1641739]",1610612743.0,DEN,charge,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202058.0,1.0,0.0,Camara,1641739.0,,,,,,,,,
68,PT06M25.00S,2025-03-22T02:24:44.8Z,1,REGULAR,turnover,offensive foul,[],1629008,,,1610612743,12,19,2025-03-22T02:24:44Z,660000,False,,,0,,M. Porter Jr. offensive foul TURNOVER (1 TO),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,,,202058.0,,,,,,,,,,,,,
69,PT06M13.00S,2025-03-22T02:25:10.5Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612757,12,19,2025-03-22T02:25:21Z,670000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Avdija 2 FT),"[203932, 1630166]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1627534.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,
71,PT06M13.00S,2025-03-22T02:25:34.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630166,,,1610612757,13,19,2025-03-22T02:26:06Z,690000,False,,,0,,D. Avdija Free Throw 1 of 2 (4 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
72,PT06M13.00S,2025-03-22T02:25:34.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630166,,,1610612757,13,19,2025-03-22T02:26:06Z,700000,False,,,0,,MISS D. Avdija Free Throw 2 of 2,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT06M13.00S,2025-03-22T02:25:34.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,13,19,2025-03-22T02:26:06Z,710000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,
75,PT06M13.00S,2025-03-22T02:25:59.9Z,1,REGULAR,foul,personal,[],1631128,,,1610612757,13,19,2025-03-22T02:26:05Z,730000,False,,,0,,C. Braun loose ball personal FOUL (1 PF),"[1631128, 1641871]",1610612743.0,DEN,loose ball,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202007.0,1.0,0.0,Reath,1641871.0,,,,,,,,,
77,PT06M05.00S,2025-03-22T02:26:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630166,91.14651773981603,52.94117647058824,1610612757,15,19,2025-03-22T02:29:01Z,750000,False,15.0,31.0,1,right,D. Avdija driving Layup (6 PTS) (T. Camara 2 AST),"[1630166, 1641739]",1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.4,Made,6.0,,,,,,,,,T. Camara,1641739.0,2.0,,,,,,
78,PT05M55.00S,2025-03-22T02:26:25.0Z,1,REGULAR,3pt,Jump Shot,[],1629008,8.886333771353483,96.56862745098039,1610612743,15,19,2025-03-22T02:26:29Z,760000,False,-233.0,31.0,1,left,MISS M. Porter Jr. step back 3PT,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,23.49,Missed,,,,,,,,,,,,,,,,,,
79,PT05M52.00S,2025-03-22T02:26:28.0Z,1,REGULAR,rebound,defensive,[],1641871,,,1610612757,15,19,2025-03-22T02:26:29Z,770000,False,,,0,,D. Reath REBOUND (Off:0 Def:1),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,
80,PT05M49.00S,2025-03-22T02:26:32.2Z,1,REGULAR,foul,personal,['2freethrow'],1627750,,,1610612757,15,19,2025-03-22T02:26:42Z,780000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Camara 2 FT),"[1627750, 1641739]",1610612743.0,DEN,shooting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,1627534.0,1.0,0.0,Camara,1641739.0,,,,,,,,,
82,PT05M49.00S,2025-03-22T02:26:57.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641739,,,1610612757,16,19,2025-03-22T02:26:57Z,800000,False,,,0,,T. Camara Free Throw 1 of 2 (4 PTS),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
83,PT05M49.00S,2025-03-22T02:27:01.8Z,1,REGULAR,substitution,out,[],1629008,,,1610612757,16,19,2025-03-22T02:27:15Z,810000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M49.00S,2025-03-22T02:27:01.8Z,1,REGULAR,substitution,in,[],1631212,,,1610612757,16,19,2025-03-22T02:27:15Z,820000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M49.00S,2025-03-22T02:26:57.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641739,,,1610612757,16,19,2025-03-22T02:27:37Z,830000,False,,,0,,MISS T. Camara Free Throw 2 of 2,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
86,PT05M45.00S,2025-03-22T02:27:01.6Z,1,REGULAR,rebound,offensive,[],1630703,,,1610612757,16,19,2025-03-22T02:27:37Z,840000,False,,,0,,S. Henderson REBOUND (Off:1 Def:0),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,85.0,1.0,0.0,1.0,,
87,PT05M39.00S,2025-03-22T02:27:41.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630703,87.59855453350855,94.11764705882352,1610612757,19,19,2025-03-22T02:27:46Z,850000,False,221.0,64.0,1,right,S. Henderson 3PT step back (9 PTS) (T. Camara 3 AST),"[1630703, 1641739]",1610612757.0,POR,step back,,,Henderson,S. Henderson,,,,,Right Corner 3,24+ Right,22.97,Made,9.0,,,,,,,,,T. Camara,1641739.0,3.0,,,,,,
89,PT05M39.00S,2025-03-22T02:27:47.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,19,19,2025-03-22T02:27:47Z,870000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
