actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT11M30.00S,2025-02-21T03:12:48.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612757,0,0,2025-02-21T03:12:48Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,
17,PT11M30.00S,2025-02-21T03:13:03.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629014,,,1610612757,1,0,2025-02-21T03:13:03Z,170000,False,,,0,,A. Simons Free Throw 2 of 2 (1 PTS),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
18,PT11M07.00S,2025-02-21T03:13:29.9Z,1,REGULAR,foul,personal,['2freethrow'],1642270,,,1610612747,1,0,2025-02-21T03:13:36Z,180000,False,,,0,,D. Clingan shooting personal FOUL (1 PF) (James 2 FT),"[1642270, 2544]",1610612757.0,POR,shooting,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,,,,,202053.0,1.0,0.0,James,2544.0,,,,,,,
20,PT11M07.00S,2025-02-21T03:13:56.3Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,1,1,2025-02-21T03:13:56Z,200000,False,,,0,,L. James Free Throw 1 of 2 (1 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
21,PT11M07.00S,2025-02-21T03:14:10.3Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,1,2,2025-02-21T03:14:10Z,210000,False,,,0,,L. James Free Throw 2 of 2 (2 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
22,PT10M53.00S,2025-02-21T03:14:25.5Z,1,REGULAR,turnover,bad pass,[],1642270,,,1610612757,1,2,2025-02-21T03:14:28Z,220000,False,,,0,,D. Clingan bad pass TURNOVER (1 TO),"[1642270, 1627827]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,1.0,Finney-Smith,1627827.0,,,
23,PT10M53.00S,2025-02-21T03:14:25.5Z,1,REGULAR,steal,,[],1627827,,,1610612747,1,2,2025-02-21T03:14:27Z,230000,False,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
24,PT10M48.00S,2025-02-21T03:14:30.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629060,5.338370565045992,53.18627450980392,1610612747,1,2,2025-02-21T03:14:35Z,240000,False,-16.0,-2.0,1,left,MISS R. Hachimura running Layup,[1629060],1610612747.0,LAL,running,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,,,,,,,,
25,PT10M46.00S,2025-02-21T03:14:32.4Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,1,2,2025-02-21T03:14:32Z,250000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT10M45.00S,2025-02-21T03:14:41.5Z,1,REGULAR,turnover,bad pass,[],1641739,,,1610612757,1,2,2025-02-21T03:18:59Z,260000,False,,,0,,T. Camara bad pass TURNOVER (1 TO),"[1641739, 2544]",1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,1.0,James,2544.0,,,
27,PT10M45.00S,2025-02-21T03:14:41.5Z,1,REGULAR,steal,,[],2544,,,1610612747,1,2,2025-02-21T03:14:43Z,270000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
29,PT10M44.00S,2025-02-21T03:14:47.3Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,1,2,2025-02-21T03:19:07Z,290000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1641739]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,1.0,Camara,1641739.0,,,
30,PT10M44.00S,2025-02-21T03:14:47.3Z,1,REGULAR,steal,,[],1641739,,,1610612757,1,2,2025-02-21T03:19:25Z,300000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
31,PT10M39.00S,2025-02-21T03:14:50.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629014,75.90341655716163,84.31372549019608,1610612757,1,2,2025-02-21T03:19:52Z,310000,False,172.0,174.0,1,right,MISS A. Simons 24' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,24.44,Missed,,,,,,,,,,,,,,,,,,
32,PT10M35.00S,2025-02-21T03:14:54.0Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,1,2,2025-02-21T03:22:01Z,320000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,
82,PT10M35.00S,2025-02-21T03:14:51.1Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,1,2,2025-02-21T03:22:28Z,325000,False,,,0,,L. James bad pass TURNOVER (2 TO),"[2544, 1642270]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,2.0,Clingan,1642270.0,,,
83,PT10M35.00S,2025-02-21T03:14:51.1Z,1,REGULAR,steal,,[],1642270,,,1610612757,1,2,2025-02-21T03:26:56Z,327500,False,,,0,,D. Clingan STEAL (1 STL),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
33,PT10M30.00S,2025-02-21T03:14:52.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630166,76.82325886990802,10.784313725490197,1610612757,1,2,2025-02-21T03:22:22Z,330000,False,-196.0,165.0,1,right,MISS D. Avdija 25' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,25.65,Missed,,,,,,,,,,,,,,,,,,
34,PT10M28.00S,2025-02-21T03:14:54.3Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,1,2,2025-02-21T03:26:20Z,340000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Left Center,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
35,PT10M16.00S,2025-02-21T03:15:03.6Z,1,REGULAR,3pt,Jump Shot,[],2544,24.26084099868594,84.31372549019608,1610612747,1,2,2025-02-21T03:22:54Z,350000,False,-172.0,176.0,1,left,MISS L. James 24' step back 3PT,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,Above the Break 3,24+ Left Center,24.55,Missed,,,,,,,,,,,,,,,,,,
36,PT10M14.00S,2025-02-21T03:15:05.6Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,1,2,2025-02-21T03:39:04Z,360000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT10M10.00S,2025-02-21T03:15:12.7Z,1,REGULAR,turnover,out-of-bounds,[],203924,,,1610612757,1,2,2025-02-21T03:15:28Z,370000,False,,,0,,J. Grant bad pass out-of-bounds TURNOVER (1 TO),[203924],1610612757.0,POR,bad pass,,,Grant,J. Grant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,1.0,,,,,
38,PT09M51.00S,2025-02-21T03:15:36.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630559,31.225361366622867,21.07843137254902,1610612747,1,2,2025-02-21T03:15:41Z,380000,False,145.0,241.0,1,left,MISS A. Reaves 28' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,28.11,Missed,,,,,,,,,,,,,,,,,,
39,PT09M46.00S,2025-02-21T03:15:41.5Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612747,1,2,2025-02-21T03:15:41Z,390000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,
40,PT09M45.00S,2025-02-21T03:15:42.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629060,31.882391590013142,26.225490196078432,1610612747,1,2,2025-02-21T03:15:45Z,400000,False,119.0,247.0,1,left,MISS R. Hachimura 27' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,27.43,Missed,,,,,,,,,,,,,,,,,,
41,PT09M43.00S,2025-02-21T03:15:44.3Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,1,2,2025-02-21T03:15:45Z,410000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,
42,PT09M36.00S,2025-02-21T03:15:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,90.3580814717477,49.50980392156863,1610612757,1,2,2025-02-21T03:15:55Z,420000,False,-2.0,38.0,1,right,MISS D. Avdija cutting Layup - blocked,"[1630166, 1629060]",1610612757.0,POR,cutting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.82,Missed,Hachimura,1629060.0,,,,,,,,,,,,,,,,
43,PT09M36.00S,2025-02-21T03:15:51.4Z,1,REGULAR,block,,[],1629060,,,1610612757,1,2,2025-02-21T03:15:53Z,430000,False,,,0,,R. Hachimura BLOCK (1 BLK),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT09M33.00S,2025-02-21T03:15:54.4Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612747,1,2,2025-02-21T03:29:44Z,440000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,
45,PT09M24.00S,2025-02-21T03:16:02.7Z,1,REGULAR,3pt,Jump Shot,[],2544,32.276609724047304,72.79411764705883,1610612747,1,2,2025-02-21T03:16:14Z,450000,False,-114.0,251.0,1,left,MISS L. James 27' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,27.56,Missed,,,,,,,,,,,,,,,,,,
46,PT09M23.00S,2025-02-21T03:16:03.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,1,2,2025-02-21T03:16:14Z,460000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,45.0,,,,,,,,,,,,,,,
48,PT09M13.00S,2025-02-21T03:16:28.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642270,89.56964520367937,49.01960784313725,1610612757,3,2,2025-02-21T03:16:31Z,480000,False,-5.0,46.0,1,right,D. Clingan Hook (2 PTS),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,4.58,Made,,,,,,,,,,,,2.0,,,,,,
49,PT08M57.00S,2025-02-21T03:16:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,7.703679369250986,45.83333333333333,1610612747,3,2,2025-02-21T03:16:48Z,490000,False,21.0,20.0,1,left,MISS J. Hayes cutting Layup,[1629637],1610612747.0,LAL,cutting,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,2.88,Missed,,,,,,,,,,,,,,,,,,
50,PT08M55.00S,2025-02-21T03:16:46.6Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,3,2,2025-02-21T03:16:48Z,500000,False,,,0,,D. Clingan REBOUND (Off:0 Def:2),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,
51,PT08M48.00S,2025-02-21T03:16:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,91.93495400788436,50.49019607843137,1610612757,3,2,2025-02-21T03:16:56Z,510000,False,2.0,23.0,1,right,MISS D. Avdija driving Layup,[1630166],1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
52,PT08M47.00S,2025-02-21T03:16:53.5Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,3,2,2025-02-21T03:16:56Z,520000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,
53,PT08M45.00S,2025-02-21T03:16:58.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630559,6.1268068331143235,46.568627450980394,1610612747,3,4,2025-02-21T03:17:05Z,530000,False,17.0,5.0,1,left,A. Reaves running Layup (2 PTS) (L. James 1 AST),"[1630559, 2544]",1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,1.79,Made,,,,,,,,,,,,2.0,,,,L. James,2544.0,1.0
55,PT08M45.00S,2025-02-21T03:17:01.5Z,1,REGULAR,foul,personal,['1freethrow'],1641739,,,1610612747,3,4,2025-02-21T03:17:13Z,550000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Reaves 1 FT),"[1641739, 1630559]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,2882.0,1.0,0.0,Reaves,1630559.0,,,,,,,
58,PT08M45.00S,2025-02-21T03:18:13.2Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630559,,,1610612747,3,5,2025-02-21T03:18:13Z,580000,False,,,0,,A. Reaves Free Throw 1 of 1 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
59,PT08M34.00S,2025-02-21T03:18:27.2Z,1,REGULAR,3pt,Jump Shot,[],1641739,85.49605781865965,3.9215686274509802,1610612757,6,5,2025-02-21T03:18:35Z,590000,False,-230.0,84.0,1,right,T. Camara 24' 3PT  (3 PTS) (A. Simons 1 AST),"[1641739, 1629014]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,24.52,Made,,,,,,,,,,,,3.0,,,,A. Simons,1629014.0,1.0
61,PT08M20.00S,2025-02-21T03:18:41.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,6.1268068331143235,50.73529411764706,1610612747,6,7,2025-02-21T03:18:47Z,610000,False,-4.0,5.0,1,left,J. Hayes alley-oop DUNK (2 PTS) (L. James 2 AST),"[1629637, 2544]",1610612747.0,LAL,alley-oop,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,,,,,,,,2.0,,,,L. James,2544.0,2.0
63,PT08M06.00S,2025-02-21T03:18:55.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630166,94.82588699080158,50.0,1610612757,8,7,2025-02-21T03:18:58Z,630000,False,0.0,-4.0,1,right,D. Avdija driving DUNK (2 PTS) (A. Simons 2 AST),"[1630166, 1629014]",1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,,,,,,,,2.0,,,,A. Simons,1629014.0,2.0
65,PT07M54.00S,2025-02-21T03:19:07.2Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,8,7,2025-02-21T03:19:11Z,650000,False,,,0,,L. James bad pass TURNOVER (3 TO),"[2544, 203924]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,3.0,Grant,203924.0,,,
66,PT07M54.00S,2025-02-21T03:19:07.2Z,1,REGULAR,steal,,[],203924,,,1610612757,8,7,2025-02-21T03:19:09Z,660000,False,,,0,,J. Grant STEAL (1 STL),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
67,PT07M36.00S,2025-02-21T03:19:24.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203924,93.38042049934296,57.35294117647059,1610612757,8,7,2025-02-21T03:19:37Z,670000,False,37.0,10.0,1,right,MISS J. Grant driving Layup,[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,3.81,Missed,,,,,,,,,,,,,,,,,,
68,PT07M34.00S,2025-02-21T03:19:26.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,8,7,2025-02-21T03:19:26Z,680000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,
69,PT07M30.00S,2025-02-21T03:19:30.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,4.812746386333772,53.18627450980392,1610612747,8,9,2025-02-21T03:19:44Z,690000,False,-16.0,-7.0,1,left,L. James running Layup (4 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,1.75,Made,,,,,,,,,,,,4.0,,,,,,
70,PT07M20.00S,2025-02-21T03:19:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1629060,,,1610612757,8,9,2025-02-21T03:19:57Z,700000,False,,,0,,R. Hachimura shooting personal FOUL (1 PF) (Grant 2 FT),"[1629060, 203924]",1610612747.0,LAL,shooting,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,,,,,,,,,202035.0,1.0,0.0,Grant,203924.0,,,,,,,
72,PT07M20.00S,2025-02-21T03:20:10.6Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,8,9,2025-02-21T03:20:41Z,720000,False,,,0,,MISS J. Grant Free Throw 1 of 2,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT07M20.00S,2025-02-21T03:20:10.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,8,9,2025-02-21T03:20:41Z,730000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,
74,PT07M20.00S,2025-02-21T03:20:11.2Z,1,REGULAR,substitution,out,[],1629014,,,1610612757,8,9,2025-02-21T03:20:15Z,740000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M20.00S,2025-02-21T03:20:11.2Z,1,REGULAR,substitution,in,[],1630703,,,1610612757,8,9,2025-02-21T03:20:15Z,750000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT07M20.00S,2025-02-21T03:20:10.6Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,8,9,2025-02-21T03:20:41Z,760000,False,,,0,,MISS J. Grant Free Throw 2 of 2,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
77,PT07M17.00S,2025-02-21T03:20:13.6Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,8,9,2025-02-21T03:20:41Z,770000,False,,,0,,J. Hayes REBOUND (Off:0 Def:2),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,,,
78,PT06M55.00S,2025-02-21T03:21:06.5Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612747,8,9,2025-02-21T03:21:16Z,780000,False,,,0,,T. Camara shooting personal FOUL (2 PF) (Reaves 2 FT),"[1641739, 1630559]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,2882.0,2.0,0.0,Reaves,1630559.0,,,,,,,
80,PT06M55.00S,2025-02-21T03:21:21.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,8,9,2025-02-21T03:21:21Z,800000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M55.00S,2025-02-21T03:22:52.8Z,1,REGULAR,substitution,out,[],1642270,,,1610612747,8,9,2025-02-21T03:24:03Z,820000,False,,,0,,SUB out: D. Clingan,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M55.00S,2025-02-21T03:22:52.8Z,1,REGULAR,substitution,out,[],1641739,,,1610612747,8,9,2025-02-21T03:24:03Z,830000,False,,,0,,SUB out: T. Camara,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M55.00S,2025-02-21T03:22:52.8Z,1,REGULAR,substitution,in,[],1631101,,,1610612747,8,9,2025-02-21T03:24:03Z,840000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M55.00S,2025-02-21T03:22:52.8Z,1,REGULAR,substitution,in,[],1629057,,,1610612747,8,9,2025-02-21T03:24:03Z,850000,False,,,0,,SUB in: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
