actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
38,PT08M52.00S,2025-02-05T03:17:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,6.258212877792378,50.0,1610612757,11,5,2025-02-05T03:17:38Z,380000,False,0.0,6.0,1,left,J. Grant driving Layup (4 PTS),[203924],1610612757.0,POR,driving,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,0.63,Made,4.0,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2025-02-05T03:17:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,90.75229960578186,52.450980392156865,1610612754,11,7,2025-02-05T03:17:45Z,390000,False,12.0,34.0,1,right,P. Siakam driving Layup (4 PTS) (T. Haliburton 2 AST),"[1627783, 1630169]",1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,3.65,Made,4.0,,,,,,,,,,,,,T. Haliburton,1630169.0,2.0,,
41,PT08M26.00S,2025-02-05T03:18:15.2Z,1,REGULAR,3pt,Jump Shot,[],203924,29.122864651773984,85.29411764705883,1610612757,14,7,2025-02-05T03:18:19Z,410000,False,-176.0,221.0,1,left,J. Grant 28' 3PT  (7 PTS) (A. Simons 1 AST),"[203924, 1629014]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,28.31,Made,7.0,,,,,,,,,,,,,A. Simons,1629014.0,1.0,,
43,PT08M11.00S,2025-02-05T03:18:32.4Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612754,14,7,2025-02-05T03:18:46Z,430000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1629028, 1631097]",1610612757.0,POR,shooting,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,1628159.0,,,,,,,,1.0,0.0,Mathurin,1631097.0,,,,,
45,PT08M11.00S,2025-02-05T03:19:05.6Z,1,REGULAR,freethrow,1 of 2,[],1631097,,,1610612754,14,7,2025-02-05T03:19:05Z,450000,False,,,0,,MISS B. Mathurin Free Throw 1 of 2,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
46,PT08M11.00S,2025-02-05T03:19:05.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,14,7,2025-02-05T03:19:05Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,
47,PT08M11.00S,2025-02-05T03:19:30.2Z,1,REGULAR,freethrow,2 of 2,[],1631097,,,1610612754,14,8,2025-02-05T03:19:30Z,470000,False,,,0,,B. Mathurin Free Throw 2 of 2 (1 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
48,PT07M53.00S,2025-02-05T03:19:50.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,14.011169513797633,42.8921568627451,1610612757,14,8,2025-02-05T03:19:55Z,480000,False,36.0,79.0,1,left,MISS J. Grant 8' turnaround fadeaway Shot,[203924],1610612757.0,POR,turnaround fadeaway,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Center,8.68,Missed,,,,,,,,,,,,,,,,,,
49,PT07M51.00S,2025-02-05T03:19:52.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,14,8,2025-02-05T03:19:55Z,490000,False,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,48.0,2.0,1.0,1.0,,,,,,,,,,,
50,PT07M39.00S,2025-02-05T03:20:04.2Z,1,REGULAR,3pt,Jump Shot,[],1626167,65.65374507227332,49.26470588235294,1610612754,14,8,2025-02-05T03:20:12Z,500000,False,-4.0,270.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,27.04,Missed,,,,,,,,,,,,,,,,,,
51,PT07M36.00S,2025-02-05T03:20:07.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,14,8,2025-02-05T03:20:08Z,510000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,
52,PT07M29.00S,2025-02-05T03:20:14.1Z,1,REGULAR,3pt,Jump Shot,[],1630166,31.488173455978973,69.36274509803921,1610612757,14,8,2025-02-05T03:21:48Z,520000,False,-97.0,243.0,1,left,MISS D. Avdija 26' step back 3PT,[1630166],1610612757.0,POR,step back,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
53,PT07M26.00S,2025-02-05T03:20:17.1Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,14,8,2025-02-05T03:20:19Z,530000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,
55,PT07M21.00S,2025-02-05T03:20:22.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627783,88.12417871222075,53.18627450980392,1610612754,14,8,2025-02-05T03:22:14Z,540000,False,16.0,59.0,1,right,MISS P. Siakam 6' driving floating bank Shot,[1627783],1610612754.0,IND,driving floating bank,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,6.12,Missed,,,,,,,,,,,,,,,,,,
56,PT07M18.00S,2025-02-05T03:20:25.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,14,8,2025-02-05T03:20:28Z,550000,False,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,55.0,3.0,3.0,0.0,,,,,,,,,,,
57,PT07M09.00S,2025-02-05T03:20:34.6Z,1,REGULAR,3pt,Jump Shot,[],203924,6.258212877792378,95.83333333333334,1610612757,14,8,2025-02-05T03:20:38Z,560000,False,-229.0,6.0,1,left,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Left Corner 3,24+ Left,22.93,Missed,,,,,,,,,,,,,,,,,,
58,PT07M05.00S,2025-02-05T03:20:38.6Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,14,8,2025-02-05T03:20:38Z,570000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Left Corner 3,24+ Left,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,
59,PT07M02.00S,2025-02-05T03:20:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629614,92.46057818659659,51.9607843137255,1610612754,14,8,2025-02-05T03:20:46Z,580000,False,10.0,18.0,1,right,MISS A. Nembhard running Layup - blocked,"[1629614, 1641739]",1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.08,Missed,,,,,,,,,,,,,,,,,Camara,1641739.0
60,PT07M02.00S,2025-02-05T03:20:40.9Z,1,REGULAR,block,,[],1641739,,,1610612754,14,8,2025-02-05T03:20:42Z,590000,False,,,0,,T. Camara BLOCK (1 BLK),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
61,PT07M00.00S,2025-02-05T03:20:42.9Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,14,8,2025-02-05T03:21:00Z,600000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,59.0,1.0,0.0,1.0,,,,,,,,,,,
62,PT06M56.00S,2025-02-05T03:20:47.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631097,83.39356110381078,87.25490196078431,1610612754,14,10,2025-02-05T03:23:34Z,610000,False,186.0,104.0,1,right,B. Mathurin 21' step back Jump Shot (3 PTS) (T. Haliburton 3 AST),"[1631097, 1630169]",1610612754.0,IND,step back,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Right,21.32,Made,3.0,,,,,,,,,,,,,T. Haliburton,1630169.0,3.0,,
64,PT06M33.00S,2025-02-05T03:21:11.1Z,1,REGULAR,3pt,Jump Shot,[],1630166,22.946780551905388,11.76470588235294,1610612757,14,10,2025-02-05T03:21:19Z,630000,False,191.0,163.0,1,left,MISS D. Avdija 25' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,25.14,Missed,,,,,,,,,,,,,,,,,,
65,PT06M26.00S,2025-02-05T03:21:18.1Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,14,10,2025-02-05T03:21:19Z,640000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:2),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,
66,PT06M22.00S,2025-02-05T03:21:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,93.38042049934296,50.245098039215684,1610612754,14,12,2025-02-05T03:21:27Z,650000,False,1.0,10.0,1,right,P. Siakam running Layup (6 PTS) (T. Haliburton 4 AST),"[1627783, 1630169]",1610612754.0,IND,running,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,0.98,Made,6.0,,,,,,,,,,,,,T. Haliburton,1630169.0,4.0,,
68,PT06M22.00S,2025-02-05T03:21:25.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,14,12,2025-02-05T03:21:25Z,670000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M22.00S,2025-02-05T03:22:01.8Z,1,REGULAR,substitution,out,[],1629028,,,1610612757,14,12,2025-02-05T03:24:13Z,680000,False,,,0,,SUB out: D. Ayton,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M22.00S,2025-02-05T03:22:01.8Z,1,REGULAR,substitution,out,[],1630166,,,1610612757,14,12,2025-02-05T03:24:13Z,690000,False,,,0,,SUB out: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M22.00S,2025-02-05T03:22:01.8Z,1,REGULAR,substitution,out,[],1629014,,,1610612757,14,12,2025-02-05T03:24:13Z,700000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2025-02-05T03:22:01.8Z,1,REGULAR,substitution,in,[],1629057,,,1610612757,14,12,2025-02-05T03:24:13Z,710000,False,,,0,,SUB in: R. Williams III,[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M22.00S,2025-02-05T03:22:01.8Z,1,REGULAR,substitution,in,[],1631101,,,1610612757,14,12,2025-02-05T03:24:13Z,720000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M22.00S,2025-02-05T03:22:01.8Z,1,REGULAR,substitution,in,[],1630703,,,1610612757,14,12,2025-02-05T03:24:13Z,730000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M06.00S,2025-02-05T03:24:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630703,7.30946123521682,45.83333333333333,1610612757,16,12,2025-02-05T03:24:43Z,740000,False,21.0,16.0,1,left,S. Henderson cutting finger roll Layup (2 PTS) (R. Williams III 1 AST),"[1630703, 1629057]",1610612757.0,POR,cutting finger roll,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,2.64,Made,2.0,,,,,,,,,,,,,R. Williams III,1629057.0,1.0,,
77,PT05M42.00S,2025-02-05T03:25:01.6Z,1,REGULAR,3pt,Jump Shot,[],1631097,66.96780551905388,48.529411764705884,1610612754,16,15,2025-02-05T03:25:06Z,760000,False,-7.0,258.0,1,right,B. Mathurin 25' 3PT pullup (6 PTS),[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,25.81,Made,6.0,,,,,,,,,,,,,,,,,
78,PT05M22.00S,2025-02-05T03:25:26.4Z,1,REGULAR,turnover,out-of-bounds,[],1630703,,,1610612757,16,15,2025-02-05T03:25:30Z,770000,False,,,0,,S. Henderson bad pass out-of-bounds TURNOVER (1 TO),[1630703],1610612757.0,POR,bad pass,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,,1628159.0,1.0,,,,,,,,,,,,,,,
79,PT05M22.00S,2025-02-05T03:25:28.5Z,1,REGULAR,substitution,out,[],1631097,,,1610612754,16,15,2025-02-05T03:25:36Z,780000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M22.00S,2025-02-05T03:25:28.5Z,1,REGULAR,substitution,out,[],1627783,,,1610612754,16,15,2025-02-05T03:25:36Z,790000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M22.00S,2025-02-05T03:25:28.5Z,1,REGULAR,substitution,in,[],1630167,,,1610612754,16,15,2025-02-05T03:25:36Z,800000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M22.00S,2025-02-05T03:25:28.5Z,1,REGULAR,substitution,in,[],1630174,,,1610612754,16,15,2025-02-05T03:25:36Z,810000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M08.00S,2025-02-05T03:25:53.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630169,66.5735873850197,28.676470588235293,1610612754,16,15,2025-02-05T03:25:59Z,820000,False,-107.0,262.0,1,right,MISS T. Haliburton 28' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,28.26,Missed,,,,,,,,,,,,,,,,,,
84,PT05M03.00S,2025-02-05T03:25:58.6Z,1,REGULAR,rebound,defensive,[],1630703,,,1610612757,16,15,2025-02-05T03:25:59Z,830000,False,,,0,,S. Henderson REBOUND (Off:0 Def:1),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Left Center,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,
