actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
15,PT10M46.00S,2025-01-31T03:13:38.0Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,4,2025-01-31T03:13:40Z,150000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M30.00S,2025-01-31T03:13:54.0Z,1,REGULAR,2pt,Jump Shot,[],1630532,11.383048620236531,33.57843137254902,1610612753,0,6,2025-01-31T03:14:00Z,160000,False,82.0,55.0,1,left,F. Wagner 9' floating Jump Shot (2 PTS) (G. Bitadze 1 AST),"[1630532, 1629048]",1610612753.0,ORL,floating,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,9.85,Made,2.0,,,,,,,G. Bitadze,1629048.0,1.0,,,,,,,,
17,PT10M07.00S,2025-01-31T03:14:20.6Z,1,REGULAR,turnover,lost ball,[],1641739,,,1610612757,0,6,2025-01-31T03:14:34Z,170000,False,,,0,,T. Camara lost ball TURNOVER (1 TO),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,,,,,,,
18,PT10M07.00S,2025-01-31T03:14:22.5Z,1,REGULAR,foul,personal,[],1641739,,,1610612753,0,6,2025-01-31T03:14:26Z,180000,False,,,0,,T. Camara loose ball personal FOUL (1 PF),"[1641739, 1631094]",1610612757.0,POR,loose ball,,,Camara,T. Camara,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,203593.0,1.0,0.0,Banchero,1631094.0,,
20,PT09M45.00S,2025-01-31T03:14:53.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631094,6.652431011826544,53.431372549019606,1610612753,0,6,2025-01-31T03:14:57Z,200000,False,-17.0,10.0,1,left,MISS P. Banchero Layup,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,,,,
21,PT09M45.00S,2025-01-31T03:14:54.3Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,0,6,2025-01-31T03:14:54Z,210000,False,,,0,,P. Banchero REBOUND (Off:1 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,
22,PT09M43.00S,2025-01-31T03:14:56.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631094,7.30946123521682,46.32352941176471,1610612753,0,6,2025-01-31T03:15:01Z,220000,False,18.0,16.0,1,left,MISS P. Banchero Layup,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
23,PT09M41.00S,2025-01-31T03:14:58.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,0,6,2025-01-31T03:15:01Z,230000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M36.00S,2025-01-31T03:15:06.6Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612757,0,6,2025-01-31T03:15:13Z,240000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Ayton 2 FT),"[1629048, 1629028]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,203593.0,1.0,0.0,Ayton,1629028.0,,
26,PT09M36.00S,2025-01-31T03:15:37.3Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612757,0,6,2025-01-31T03:16:04Z,260000,False,,,0,,MISS D. Ayton Free Throw 1 of 2,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT09M36.00S,2025-01-31T03:15:37.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,0,6,2025-01-31T03:16:04Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,
28,PT09M36.00S,2025-01-31T03:15:37.3Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612757,0,6,2025-01-31T03:16:04Z,280000,False,,,0,,MISS D. Ayton Free Throw 2 of 2,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT09M33.00S,2025-01-31T03:15:40.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,6,2025-01-31T03:26:52Z,290000,False,,,0,,P. Banchero REBOUND (Off:1 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,28.0,3.0,2.0,1.0,,,,,,,,,,,
30,PT09M25.00S,2025-01-31T03:16:10.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631094,6.1268068331143235,50.0,1610612753,0,8,2025-01-31T03:16:15Z,300000,False,0.0,5.0,1,left,P. Banchero cutting DUNK (4 PTS) (F. Wagner 1 AST),"[1631094, 1630532]",1610612753.0,ORL,cutting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.51,Made,4.0,,,,,,,F. Wagner,1630532.0,1.0,,,,,,,,
32,PT09M24.00S,2025-01-31T03:16:15.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,0,8,2025-01-31T03:16:15Z,320000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M06.00S,2025-01-31T03:19:56.2Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612757,0,8,2025-01-31T03:22:44Z,330000,False,,,0,,Jump Ball G. Bitadze vs. D. Ayton: Tip to K. Caldwell-Pope,"[203484, 1629048, 1629028]",1610612753.0,ORL,heldball,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Bitadze,1629048.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
37,PT09M03.00S,2025-01-31T03:19:56.2Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612757,0,8,2025-01-31T03:19:56Z,360000,False,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 1629048]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,1.0,,,,,,Bitadze,1629048.0
38,PT09M03.00S,2025-01-31T03:19:56.2Z,1,REGULAR,steal,,[],1629048,,,1610612753,0,8,2025-01-31T03:19:56Z,370000,False,,,0,,G. Bitadze STEAL (1 STL),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M51.00S,2025-01-31T03:20:08.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203484,28.203022339027594,50.49019607843137,1610612753,0,10,2025-01-31T03:20:13Z,380000,False,-2.0,213.0,1,left,K. Caldwell-Pope 21' pullup Jump Shot (2 PTS) (G. Bitadze 2 AST),"[203484, 1629048]",1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,21.26,Made,2.0,,,,,,,G. Bitadze,1629048.0,2.0,,,,,,,,
41,PT08M34.00S,2025-01-31T03:20:25.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641739,94.82588699080158,42.64705882352941,1610612757,2,10,2025-01-31T03:20:31Z,400000,False,-37.0,-4.0,1,right,T. Camara driving bank Hook (2 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,driving bank,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,3.7,Made,2.0,,,,,,,D. Avdija,1630166.0,1.0,,,,,,,,
43,PT08M23.00S,2025-01-31T03:20:40.4Z,1,REGULAR,foul,personal,[],1630703,,,1610612753,2,10,2025-01-31T03:20:44Z,420000,False,,,0,,S. Henderson personal FOUL (1 PF),"[1630703, 203484]",1610612757.0,POR,,,,Henderson,S. Henderson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,203593.0,1.0,0.0,Caldwell-Pope,203484.0,,
45,PT08M14.00S,2025-01-31T03:21:10.6Z,1,REGULAR,turnover,traveling,[],1629048,,,1610612753,2,10,2025-01-31T03:25:56Z,440000,False,,,0,,G. Bitadze traveling TURNOVER (1 TO),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,203593.0,,,,,,
46,PT08M00.00S,2025-01-31T03:21:34.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629028,77.7431011826544,49.26470588235294,1610612757,4,10,2025-01-31T03:21:38Z,450000,False,-4.0,157.0,1,right,D. Ayton 15' Jump Shot (2 PTS) (A. Simons 1 AST),"[1629028, 1629014]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,15.67,Made,2.0,,,,,,,A. Simons,1629014.0,1.0,,,,,,,,
48,PT07M47.00S,2025-01-31T03:21:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203484,12.171484888304862,37.254901960784316,1610612753,4,12,2025-01-31T03:21:54Z,470000,False,64.0,62.0,1,left,K. Caldwell-Pope 8' driving floating bank Jump Shot (4 PTS),[203484],1610612753.0,ORL,driving floating bank,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Right,8.88,Made,4.0,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2025-01-31T03:21:58.2Z,1,REGULAR,foul,personal,[],203484,,,1610612757,4,12,2025-01-31T03:22:06Z,480000,False,,,0,,K. Caldwell-Pope personal FOUL (1 PF),"[203484, 1630703]",1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1627526.0,1.0,0.0,Henderson,1630703.0,,
51,PT07M39.00S,2025-01-31T03:22:14.9Z,1,REGULAR,substitution,out,[],1630166,,,1610612757,4,12,2025-01-31T03:22:24Z,500000,False,,,0,,SUB out: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M39.00S,2025-01-31T03:22:14.9Z,1,REGULAR,substitution,out,[],1629014,,,1610612757,4,12,2025-01-31T03:22:24Z,510000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M39.00S,2025-01-31T03:22:14.9Z,1,REGULAR,substitution,in,[],1630625,,,1610612757,4,12,2025-01-31T03:22:24Z,520000,False,,,0,,SUB in: D. Banton,[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M39.00S,2025-01-31T03:22:14.9Z,1,REGULAR,substitution,in,[],1631101,,,1610612757,4,12,2025-01-31T03:22:24Z,530000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M32.00S,2025-01-31T03:22:42.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,95.0886990801577,49.754901960784316,1610612757,6,12,2025-01-31T03:27:21Z,540000,False,-1.0,-6.0,1,right,D. Ayton cutting DUNK (4 PTS) (S. Henderson 1 AST),"[1629028, 1630703]",1610612757.0,POR,cutting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.64,Made,4.0,,,,,,,S. Henderson,1630703.0,1.0,,,,,,,,
57,PT07M10.00S,2025-01-31T03:23:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,11.251642575558476,55.14705882352941,1610612753,6,14,2025-01-31T03:23:13Z,560000,False,-26.0,53.0,1,left,F. Wagner driving floating Jump Shot (4 PTS),[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,5.92,Made,4.0,,,,,,,,,,,,,,,,,
58,PT06M58.00S,2025-01-31T03:23:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630703,94.56307490144546,47.794117647058826,1610612757,6,14,2025-01-31T03:23:22Z,570000,False,-11.0,-1.0,1,right,MISS S. Henderson driving Layup,[1630703],1610612757.0,POR,driving,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,1.11,Missed,,,,,,,,,,,,,,,,,,
59,PT06M55.00S,2025-01-31T03:23:19.9Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,6,14,2025-01-31T03:23:22Z,580000,False,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,,
60,PT06M55.00S,2025-01-31T03:23:19.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629028,94.40999984741211,50.0,1610612757,8,14,2025-01-31T03:23:19Z,590000,False,0.0,0.0,1,right,D. Ayton tip DUNK (6 PTS),[1629028],1610612757.0,POR,tip,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,0.0,Made,6.0,,,,,,,,,,,,,,,,,
61,PT06M40.00S,2025-01-31T03:23:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,5.601182654402102,50.0,1610612753,8,16,2025-01-31T03:23:39Z,600000,False,0.0,0.0,1,left,F. Wagner cutting Layup (6 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,cutting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.02,Made,6.0,,,,,,,P. Banchero,1631094.0,1.0,,,,,,,,
63,PT06M26.00S,2025-01-31T03:23:47.7Z,1,REGULAR,3pt,Jump Shot,[],1630703,67.36202365308804,50.0,1610612757,8,16,2025-01-31T03:23:51Z,620000,False,0.0,254.0,1,right,MISS S. Henderson 25' pullup 3PT,[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Center,25.43,Missed,,,,,,,,,,,,,,,,,,
64,PT06M25.00S,2025-01-31T03:23:48.7Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,8,16,2025-01-31T03:23:51Z,630000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Center,,,,,,63.0,2.0,1.0,1.0,,,,,,,,,,,
65,PT06M12.00S,2025-01-31T03:24:02.3Z,1,REGULAR,2pt,Jump Shot,[],1641710,21.895532194480946,32.35294117647059,1610612753,8,16,2025-01-31T03:24:06Z,640000,False,88.0,153.0,1,left,MISS A. Black 17' pullup Shot,[1641710],1610612753.0,ORL,pullup,,,Black,A. Black,,,,,Mid-Range,16-24 Right Center,17.69,Missed,,,,,,,,,,,,,,,,,,
66,PT06M10.00S,2025-01-31T03:24:04.3Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,8,16,2025-01-31T03:24:06Z,650000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,
67,PT06M02.00S,2025-01-31T03:24:12.3Z,1,REGULAR,3pt,Jump Shot,[],1631101,65.78515111695138,31.61764705882353,1610612757,11,16,2025-01-31T03:24:17Z,660000,False,-92.0,269.0,1,right,S. Sharpe 28' 3PT step back (3 PTS),[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,28.44,Made,3.0,,,,,,,,,,,,,,,,,
68,PT05M32.00S,2025-01-31T03:24:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,5.995400788436268,49.754901960784316,1610612753,11,18,2025-01-31T03:37:18Z,670000,False,1.0,4.0,1,left,P. Banchero driving Layup (6 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.41,Made,6.0,,,,,,,,,,,,,,,,,
69,PT05M17.00S,2025-01-31T03:24:56.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,81.553876478318,44.6078431372549,1610612757,13,18,2025-01-31T03:25:05Z,680000,False,-27.0,121.0,1,right,D. Ayton 12' turnaround fadeaway Jump Shot (8 PTS) (S. Henderson 2 AST),"[1629028, 1630703]",1610612757.0,POR,turnaround fadeaway,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,12.39,Made,8.0,,,,,,,S. Henderson,1630703.0,2.0,,,,,,,,
71,PT04M58.00S,2025-01-31T03:25:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,10.33180026281209,58.57843137254902,1610612753,13,18,2025-01-31T03:25:20Z,700000,False,-43.0,45.0,1,left,MISS F. Wagner 6' driving finger roll Layup,[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,,,,,,,,,,,,,,
73,PT04M55.00S,2025-01-31T03:25:19.7Z,1,REGULAR,rebound,defensive,[],1630625,,,1610612757,13,18,2025-01-31T03:25:20Z,720000,False,,,0,,D. Banton REBOUND (Off:0 Def:1),[1630625],1610612757.0,POR,,,,Banton,D. Banton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,
74,PT04M52.00S,2025-01-31T03:25:22.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630625,94.30026281208936,51.225490196078425,1610612757,15,18,2025-01-31T03:25:29Z,730000,False,6.0,1.0,1,right,D. Banton running Layup (2 PTS),[1630625],1610612757.0,POR,running,,,Banton,D. Banton,,,,,Restricted Area,0-8 Center,0.62,Made,2.0,,,,,,,,,,,,,,,,,
75,PT04M52.00S,2025-01-31T03:25:27.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,15,18,2025-01-31T03:25:27Z,740000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M52.00S,2025-01-31T03:26:41.0Z,1,REGULAR,substitution,out,[],1641710,,,1610612753,15,18,2025-01-31T03:28:09Z,750000,False,,,0,,SUB out: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M52.00S,2025-01-31T03:26:41.0Z,1,REGULAR,substitution,out,[],203484,,,1610612753,15,18,2025-01-31T03:28:09Z,760000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M52.00S,2025-01-31T03:26:41.0Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,15,18,2025-01-31T03:28:09Z,770000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M52.00S,2025-01-31T03:26:41.0Z,1,REGULAR,substitution,out,[],1629048,,,1610612753,15,18,2025-01-31T03:28:09Z,780000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M52.00S,2025-01-31T03:26:41.0Z,1,REGULAR,substitution,in,[],203914,,,1610612753,15,18,2025-01-31T03:28:09Z,790000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M52.00S,2025-01-31T03:26:41.0Z,1,REGULAR,substitution,in,[],1630175,,,1610612753,15,18,2025-01-31T03:28:09Z,800000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M52.00S,2025-01-31T03:26:41.0Z,1,REGULAR,substitution,in,[],1628976,,,1610612753,15,18,2025-01-31T03:28:09Z,810000,False,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M52.00S,2025-01-31T03:26:41.0Z,1,REGULAR,substitution,in,[],1641783,,,1610612753,15,18,2025-01-31T03:28:09Z,820000,False,,,0,,SUB in: T. da Silva,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M31.00S,2025-01-31T03:28:41.0Z,1,REGULAR,foul,personal,['2freethrow'],1630703,,,1610612753,15,18,2025-01-31T03:28:48Z,830000,False,,,0,,S. Henderson shooting personal FOUL (2 PF) (Carter Jr. 2 FT),"[1630703, 1628976]",1610612757.0,POR,shooting,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,200834.0,2.0,0.0,Carter Jr.,1628976.0,,
86,PT04M31.00S,2025-01-31T03:29:27.6Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,15,19,2025-01-31T03:29:27Z,850000,False,,,0,,W. Carter Jr. Free Throw 1 of 2 (1 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
87,PT04M31.00S,2025-01-31T03:29:46.8Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,15,20,2025-01-31T03:29:46Z,860000,False,,,0,,W. Carter Jr. Free Throw 2 of 2 (2 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
