actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,descriptor,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,value
54,PT06M30.00S,2021-11-18T03:22:54.2Z,1,REGULAR,substitution,in,[],203493,,,1610612742,7,8,2021-11-18T03:23:24Z,530000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M18.00S,2021-11-18T03:23:46.0Z,1,REGULAR,3pt,Jump Shot,[],203501,69.85873850197109,73.2843137254902,1610612742,7,11,2021-11-18T03:23:54Z,540000,116.0,231.0,1,right,T. Hardaway Jr. 25' 3PT  (3 PTS) (K. Porzingis 1 AST),"[203501, 204001]",1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,25.85,Made,,,,,,3.0,K. Porzingis,204001.0,1.0,,,,,,,,,,,,,,,,
57,PT05M51.00S,2021-11-18T03:24:13.1Z,1,REGULAR,3pt,Jump Shot,[],101108,32.53942181340342,63.48039215686274,1610612756,7,11,2021-11-18T03:24:17Z,560000,-67.0,253.0,1,left,MISS C. Paul 26' 3PT,[101108],1610612756.0,PHX,,Paul,C. Paul,26.22,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M48.00S,2021-11-18T03:24:16.1Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,7,11,2021-11-18T03:24:17Z,570000,,,0,,D. Ayton REBOUND (Off:2 Def:2),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,,,57.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
59,PT05M47.00S,2021-11-18T03:24:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,7.703679369250986,50.49019607843137,1610612756,9,11,2021-11-18T03:24:27Z,580000,-2.0,20.0,1,left,D. Ayton tip Layup (4 PTS),[1629028],1610612756.0,PHX,,Ayton,D. Ayton,2.01,Made,,,,,tip,4.0,,,,,,,,,,,,,,,,,,,
60,PT05M31.00S,2021-11-18T03:24:33.8Z,1,REGULAR,3pt,Jump Shot,[],203501,71.43561103810775,24.509803921568626,1610612742,9,14,2021-11-18T03:24:37Z,590000,-127.0,216.0,1,right,T. Hardaway Jr. 25' 3PT  (6 PTS),[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,25.08,Made,,,,,,6.0,,,,,,,,,,,,,,,,,,,
61,PT05M15.00S,2021-11-18T03:24:49.4Z,1,REGULAR,2pt,Jump Shot,[],1626164,27.283180026281208,44.36274509803921,1610612756,11,14,2021-11-18T03:24:56Z,600000,28.0,204.0,1,left,D. Booker 20' pullup Jump Shot (7 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,,Booker,D. Booker,20.59,Made,,,,,pullup,7.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,,,
63,PT04M59.00S,2021-11-18T03:25:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,83.919185282523,54.65686274509803,1610612742,11,14,2021-11-18T03:25:12Z,620000,23.0,99.0,1,right,MISS J. Brunson 10' pullup Shot,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,10.14,Missed,,,,,pullup,,,,,,,,,,,,,,,,,,,,
64,PT04M56.00S,2021-11-18T03:25:08.6Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,11,14,2021-11-18T03:25:12Z,630000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,Paul,C. Paul,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
65,PT04M53.00S,2021-11-18T03:25:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,7.30946123521682,54.166666666666664,1610612756,13,14,2021-11-18T03:25:27Z,640000,-21.0,16.0,1,left,D. Booker Layup (9 PTS),[1626164],1610612756.0,PHX,,Booker,D. Booker,2.64,Made,,,,,,9.0,,,,,,,,,,,,,,,,,,,
67,PT04M53.00S,2021-11-18T03:25:19.3Z,1,REGULAR,foul,personal,['1freethrow'],203501,,,1610612756,13,14,2021-11-18T03:26:08Z,660000,,,0,,T. Hardaway Jr. shooting personal FOUL (1 PF) (Booker 1 FT),"[203501, 1626164]",1610612742.0,DAL,202027.0,Hardaway Jr.,T. Hardaway Jr.,,,,,,,shooting,,,,,,,,,,1.0,0.0,Booker,1626164.0,,,,,,,
69,PT04M53.00S,2021-11-18T03:25:28.4Z,1,REGULAR,substitution,out,[],204001,,,1610612756,13,14,2021-11-18T03:26:12Z,680000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT04M53.00S,2021-11-18T03:25:28.4Z,1,REGULAR,substitution,out,[],1628973,,,1610612756,13,14,2021-11-18T03:26:12Z,690000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M53.00S,2021-11-18T03:25:28.4Z,1,REGULAR,substitution,in,[],1626161,,,1610612756,13,14,2021-11-18T03:26:12Z,700000,,,0,,SUB in: W. Cauley-Stein,[1626161],1610612742.0,DAL,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M53.00S,2021-11-18T03:25:28.4Z,1,REGULAR,substitution,in,[],1628373,,,1610612756,13,14,2021-11-18T03:26:12Z,710000,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M53.00S,2021-11-18T03:25:50.0Z,1,REGULAR,substitution,out,[],101108,,,1610612756,13,14,2021-11-18T03:26:12Z,720000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M53.00S,2021-11-18T03:25:50.0Z,1,REGULAR,substitution,out,[],203109,,,1610612756,13,14,2021-11-18T03:26:12Z,730000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M53.00S,2021-11-18T03:25:50.0Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,13,14,2021-11-18T03:26:12Z,740000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M53.00S,2021-11-18T03:25:50.0Z,1,REGULAR,substitution,in,[],1629661,,,1610612756,13,14,2021-11-18T03:26:12Z,750000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M53.00S,2021-11-18T03:26:10.4Z,1,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,13,14,2021-11-18T03:26:14Z,760000,,,0,,MISS D. Booker Free Throw 1 of 1,[1626164],1610612756.0,PHX,,Booker,D. Booker,,Missed,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M51.00S,2021-11-18T03:26:12.4Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,13,14,2021-11-18T03:36:05Z,770000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,Finney-Smith,D. Finney-Smith,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
85,PT04M41.00S,2021-11-18T03:26:16.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,92.72339027595268,44.85294117647059,1610612742,13,14,2021-11-18T03:34:26Z,789375,-26.0,16.0,1,right,MISS T. Hardaway Jr. pullup Shot,[203501],1610612742.0,DAL,,Hardaway Jr.,T. Hardaway Jr.,3.02,Missed,,,,,pullup,,,,,,,,,,,,,,,,,,,,
86,PT04M39.00S,2021-11-18T03:26:18.8Z,1,REGULAR,rebound,offensive,[],203493,,,1610612742,13,14,2021-11-18T03:34:26Z,789687,,,0,,R. Bullock REBOUND (Off:1 Def:0),[203493],1610612742.0,DAL,,Bullock,R. Bullock,,,85.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
90,PT04M37.00S,2021-11-18T03:26:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203493,93.64323258869908,49.754901960784316,1610612742,13,14,2021-11-18T03:34:05Z,789843,-1.0,7.0,1,right,MISS R. Bullock tip Layup,[203493],1610612742.0,DAL,,Bullock,R. Bullock,0.74,Missed,,,,,tip,,,,,,,,,,,,,,,,,,,,
91,PT04M36.00S,2021-11-18T03:26:21.0Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,13,14,2021-11-18T03:34:05Z,789921,,,0,,D. Booker REBOUND (Off:0 Def:3),[1626164],1610612756.0,PHX,,Booker,D. Booker,,,90.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
80,PT04M16.00S,2021-11-18T03:26:23.3Z,1,REGULAR,foul,offensive,[],1629028,,,1610612756,13,14,2021-11-18T03:31:03Z,790000,,,0,,D. Ayton charge offensive FOUL (1 PF),"[1629028, 203501]",1610612756.0,PHX,1198.0,Ayton,D. Ayton,,,,,,,charge,,,,,,,,,,1.0,0.0,Hardaway Jr.,203501.0,,,,,,,
