actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
22,PT10M10.00S,2022-03-05T03:18:13.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,11.777266754270697,45.83333333333333,1610612752,0,4,2022-03-05T03:18:17Z,220000,21.0,58.0,1,left,M. Robinson 6' putback Layup (2 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,,,,6.18,Made,2.0,,,,,,,,,,,,,,,
23,PT10M00.00S,2022-03-05T03:18:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,83.13074901445466,51.470588235294116,1610612756,2,4,2022-03-05T03:18:27Z,230000,7.0,106.0,1,right,C. Payne 10' driving floating Jump Shot (2 PTS),[1626166],1610612756.0,PHX,driving floating,,,Payne,C. Payne,,,,,,,,10.64,Made,2.0,,,,,,,,,,,,,,,
24,PT09M44.00S,2022-03-05T03:18:39.2Z,1,REGULAR,3pt,Jump Shot,[],1629628,26.757555847568987,20.833333333333336,1610612752,2,4,2022-03-05T03:18:46Z,240000,146.0,199.0,1,left,MISS R. Barrett 24' pullup 3PT,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,,,,24.67,Missed,,,,,,,,,,,,,,,,
25,PT09M44.00S,2022-03-05T03:18:39.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,2,4,2022-03-05T03:18:46Z,250000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,
26,PT09M44.00S,2022-03-05T03:18:47.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,2,4,2022-03-05T03:18:47Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M31.00S,2022-03-05T03:19:05.0Z,1,REGULAR,3pt,Jump Shot,[],1628969,76.82325886990802,87.5,1610612756,5,4,2022-03-05T03:19:09Z,270000,188.0,165.0,1,right,M. Bridges 25' 3PT  (3 PTS) (L. Shamet 1 AST),"[1628969, 1629013]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,25.0,Made,3.0,,,,,,,,,,L. Shamet,1629013.0,1.0,,,
29,PT09M14.00S,2022-03-05T03:19:21.4Z,1,REGULAR,2pt,Jump Shot,[],203944,11.251642575558476,65.93137254901961,1610612752,5,6,2022-03-05T03:19:23Z,290000,-80.0,53.0,1,left,J. Randle 9' turnaround Jump Shot (4 PTS) (E. Fournier 1 AST),"[203944, 203095]",1610612752.0,NYK,turnaround,,,Randle,J. Randle,,,,,,,,9.59,Made,4.0,,,,,,,,,,E. Fournier,203095.0,1.0,,,
30,PT09M00.00S,2022-03-05T03:19:36.1Z,1,REGULAR,2pt,Jump Shot,[],1628969,77.08607095926413,50.73529411764706,1610612756,5,6,2022-03-05T03:20:20Z,300000,4.0,163.0,1,right,MISS M. Bridges 16' Jump Shot,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,16.29,Missed,,,,,,,,,,,,,,,,
31,PT08M56.00S,2022-03-05T03:19:40.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,6,2022-03-05T03:20:25Z,310000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,
32,PT08M53.00S,2022-03-05T03:19:44.2Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612752,5,6,2022-03-05T03:19:55Z,320000,,,0,,D. Ayton shooting personal FOUL (1 PF) (Randle 2 FT),"[1629028, 203944]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,,,,,,,2714.0,1.0,0.0,Randle,203944.0,,,,,,,,,,
35,PT08M53.00S,2022-03-05T03:20:16.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203944,,,1610612752,5,7,2022-03-05T03:20:16Z,340000,,,0,,J. Randle Free Throw 1 of 2 (5 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
36,PT08M53.00S,2022-03-05T03:20:34.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203944,,,1610612752,5,8,2022-03-05T03:20:34Z,350000,,,0,,J. Randle Free Throw 2 of 2 (6 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
37,PT08M42.00S,2022-03-05T03:20:47.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,84.97043363994744,95.34313725490196,1610612756,8,8,2022-03-05T03:20:50Z,360000,227.0,89.0,1,right,M. Bridges 24' 3PT  (6 PTS) (C. Payne 1 AST),"[1628969, 1626166]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,24.35,Made,6.0,,,,,,,,,,C. Payne,1626166.0,1.0,,,
39,PT08M27.00S,2022-03-05T03:21:02.8Z,1,REGULAR,2pt,Jump Shot,[],203944,22.552562417871222,69.6078431372549,1610612752,8,8,2022-03-05T03:21:06Z,380000,-98.0,159.0,1,left,MISS J. Randle 18' Jump Shot,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,18.72,Missed,,,,,,,,,,,,,,,,
40,PT08M25.00S,2022-03-05T03:21:04.8Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,8,8,2022-03-05T03:21:06Z,390000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,
41,PT08M15.00S,2022-03-05T03:21:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,92.46057818659659,55.63725490196079,1610612756,10,8,2022-03-05T03:21:19Z,400000,28.0,18.0,1,right,M. Bridges cutting Layup (8 PTS) (C. Payne 2 AST),"[1628969, 1626166]",1610612756.0,PHX,cutting,,,Bridges,M. Bridges,,,,,,,,3.37,Made,8.0,,,,,,,,,,C. Payne,1626166.0,2.0,,,
43,PT08M05.00S,2022-03-05T03:21:24.8Z,1,REGULAR,3pt,Jump Shot,[],202692,21.76412614980289,90.44117647058823,1610612752,10,8,2022-03-05T03:21:27Z,420000,-202.0,152.0,1,left,MISS A. Burks 25' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,25.3,Missed,,,,,,,,,,,,,,,,
44,PT08M03.00S,2022-03-05T03:21:26.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,10,8,2022-03-05T03:21:27Z,430000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,
45,PT07M55.00S,2022-03-05T03:21:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626166,92.32917214191852,57.107843137254896,1610612756,10,8,2022-03-05T03:21:37Z,440000,36.0,20.0,1,right,MISS C. Payne driving bank Shot,[1626166],1610612756.0,PHX,driving bank,,,Payne,C. Payne,,,,,,,,4.06,Missed,,,,,,,,,,,,,,,,
46,PT07M53.00S,2022-03-05T03:21:36.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,10,8,2022-03-05T03:21:37Z,450000,,,0,,M. Robinson REBOUND (Off:2 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,45.0,4.0,2.0,2.0,,,,,,
47,PT07M46.00S,2022-03-05T03:21:43.7Z,1,REGULAR,2pt,Jump Shot,[],203095,13.61695137976347,68.62745098039215,1610612752,10,8,2022-03-05T03:21:47Z,460000,-93.0,75.0,1,left,MISS E. Fournier 11' driving bank Shot,[203095],1610612752.0,NYK,driving bank,,,Fournier,E. Fournier,,,,,,,,11.99,Missed,,,,,,,,,,,,,,,,
48,PT07M45.00S,2022-03-05T03:21:46.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,10,8,2022-03-05T03:21:46Z,470000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,
49,PT07M45.00S,2022-03-05T03:21:47.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,10,8,2022-03-05T03:21:47Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M37.00S,2022-03-05T03:22:07.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203944,15.588042049934298,34.80392156862745,1610612752,10,8,2022-03-05T03:22:11Z,490000,76.0,94.0,1,left,MISS J. Randle 12' bank Shot,[203944],1610612752.0,NYK,bank,,,Randle,J. Randle,,,,,,,,12.09,Missed,,,,,,,,,,,,,,,,
51,PT07M35.00S,2022-03-05T03:22:09.0Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612756,10,8,2022-03-05T03:22:11Z,500000,,,0,,L. Shamet REBOUND (Off:0 Def:2),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,
52,PT07M22.00S,2022-03-05T03:22:21.7Z,1,REGULAR,2pt,Jump Shot,[],1629028,87.07293035479631,73.77450980392157,1610612756,10,8,2022-03-05T03:22:24Z,510000,119.0,69.0,1,right,MISS D. Ayton 13' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,13.75,Missed,,,,,,,,,,,,,,,,
53,PT07M21.00S,2022-03-05T03:22:22.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,10,8,2022-03-05T03:22:24Z,520000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,
54,PT07M17.00S,2022-03-05T03:22:32.2Z,1,REGULAR,foul,personal,[],1629013,,,1610612752,10,8,2022-03-05T03:22:36Z,530000,,,0,,L. Shamet personal FOUL (1 PF),"[1629013, 203944]",1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,203592.0,1.0,0.0,Randle,203944.0,,,,,,,,,,
56,PT07M05.00S,2022-03-05T03:23:05.7Z,1,REGULAR,foul,personal,['2freethrow'],203109,,,1610612752,10,8,2022-03-05T03:23:19Z,550000,,,0,,J. Crowder shooting personal FOUL (1 PF) (Randle 2 FT),"[203109, 203944]",1610612756.0,PHX,shooting,,,Crowder,J. Crowder,,,,,,,,,,,2714.0,1.0,0.0,Randle,203944.0,,,,,,,,,,
58,PT07M05.00S,2022-03-05T03:23:28.1Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,10,9,2022-03-05T03:23:28Z,570000,,,0,,J. Randle Free Throw 1 of 2 (7 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
59,PT07M05.00S,2022-03-05T03:23:47.0Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,10,10,2022-03-05T03:23:47Z,580000,,,0,,J. Randle Free Throw 2 of 2 (8 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
60,PT06M48.00S,2022-03-05T03:24:05.4Z,1,REGULAR,2pt,Jump Shot,[],1629028,78.66294349540078,49.754901960784316,1610612756,12,10,2022-03-05T03:24:08Z,590000,-1.0,148.0,1,right,D. Ayton 14' Jump Shot (2 PTS) (C. Payne 3 AST),"[1629028, 1626166]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,14.81,Made,2.0,,,,,,,,,,C. Payne,1626166.0,3.0,,,
62,PT06M42.00S,2022-03-05T03:24:13.1Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,12,10,2022-03-05T03:24:19Z,610000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (1 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,1.0,,,,,,204058.0,,,,,,,,,,,,,,
63,PT06M42.00S,2022-03-05T03:24:18.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,12,10,2022-03-05T03:24:18Z,620000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M24.00S,2022-03-05T03:27:52.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,93.77463863337714,95.34313725490196,1610612756,15,10,2022-03-05T03:27:55Z,630000,227.0,6.0,1,right,M. Bridges 3PT  (11 PTS) (C. Payne 4 AST),"[1628969, 1626166]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,22.68,Made,11.0,,,,,,,,,,C. Payne,1626166.0,4.0,,,
66,PT06M07.00S,2022-03-05T03:28:08.6Z,1,REGULAR,3pt,Jump Shot,[],203095,28.991458607095925,71.32352941176471,1610612752,15,10,2022-03-05T03:28:11Z,650000,-107.0,220.0,1,left,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,24.45,Missed,,,,,,,,,,,,,,,,
67,PT06M06.00S,2022-03-05T03:28:09.6Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,15,10,2022-03-05T03:28:11Z,660000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,,,,,
68,PT05M53.00S,2022-03-05T03:28:23.4Z,1,REGULAR,2pt,Jump Shot,[],1628969,82.21090670170827,68.87254901960785,1610612756,15,10,2022-03-05T03:28:26Z,670000,94.0,115.0,1,right,MISS M. Bridges 14' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,,,,14.86,Missed,,,,,,,,,,,,,,,,
69,PT05M50.00S,2022-03-05T03:28:26.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,15,10,2022-03-05T03:28:26Z,680000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,68.0,3.0,3.0,0.0,,,,,,
70,PT05M43.00S,2022-03-05T03:28:33.0Z,1,REGULAR,2pt,Jump Shot,[],203944,9.149145860709593,21.07843137254902,1610612752,15,12,2022-03-05T03:28:38Z,690000,145.0,34.0,1,left,J. Randle 14' step back Jump Shot (10 PTS),[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,,,,14.84,Made,10.0,,,,,,,,,,,,,,,
71,PT05M30.00S,2022-03-05T03:28:46.1Z,1,REGULAR,3pt,Jump Shot,[],1629028,67.49342969776609,58.82352941176471,1610612756,15,12,2022-03-05T03:28:52Z,700000,44.0,253.0,1,right,MISS D. Ayton 25' 3PT,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,25.69,Missed,,,,,,,,,,,,,,,,
72,PT05M26.00S,2022-03-05T03:28:50.1Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,15,12,2022-03-05T03:28:52Z,710000,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,71.0,2.0,1.0,1.0,,,,,,
73,PT05M23.00S,2022-03-05T03:28:53.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626166,95.0886990801577,96.56862745098039,1610612756,15,12,2022-03-05T03:28:55Z,720000,233.0,-6.0,1,right,MISS C. Payne 3PT,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,23.29,Missed,,,,,,,,,,,,,,,,
74,PT05M22.00S,2022-03-05T03:28:54.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,15,12,2022-03-05T03:28:55Z,730000,,,0,,J. Randle REBOUND (Off:0 Def:4),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,73.0,4.0,4.0,0.0,,,,,,
75,PT05M12.00S,2022-03-05T03:29:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,9.806176084099869,52.69607843137255,1610612752,15,12,2022-03-05T03:29:08Z,740000,-13.0,40.0,1,left,MISS R. Barrett driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,,,,4.19,Missed,,,,,,,,,,,,,,,,
76,PT05M09.00S,2022-03-05T03:29:07.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,15,12,2022-03-05T03:29:08Z,750000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,
77,PT05M06.00S,2022-03-05T03:29:10.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203109,92.19776609724047,49.754901960784316,1610612756,17,12,2022-03-05T03:29:14Z,760000,-1.0,21.0,1,right,J. Crowder running Layup (2 PTS) (C. Payne 5 AST),"[203109, 1626166]",1610612756.0,PHX,running,,,Crowder,J. Crowder,,,,,,,,2.08,Made,2.0,,,,,,,,,,C. Payne,1626166.0,5.0,,,
79,PT05M01.00S,2022-03-05T03:29:18.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,17,12,2022-03-05T03:29:18Z,780000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M01.00S,2022-03-05T03:31:43.0Z,1,REGULAR,substitution,out,[],1626166,,,1610612752,17,12,2022-03-05T03:32:02Z,790000,,,0,,SUB out: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M01.00S,2022-03-05T03:31:43.0Z,1,REGULAR,substitution,out,[],1629013,,,1610612752,17,12,2022-03-05T03:32:02Z,800000,,,0,,SUB out: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M01.00S,2022-03-05T03:31:43.0Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,17,12,2022-03-05T03:32:02Z,810000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M01.00S,2022-03-05T03:31:43.0Z,1,REGULAR,substitution,in,[],1628988,,,1610612752,17,12,2022-03-05T03:32:02Z,820000,,,0,,SUB in: A. Holiday,[1628988],1610612756.0,PHX,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M01.00S,2022-03-05T03:31:43.0Z,1,REGULAR,substitution,in,[],1629661,,,1610612752,17,12,2022-03-05T03:32:02Z,830000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M01.00S,2022-03-05T03:31:43.0Z,1,REGULAR,substitution,in,[],1630193,,,1610612752,17,12,2022-03-05T03:32:02Z,840000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M51.00S,2022-03-05T03:32:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,15.193823915900131,43.872549019607845,1610612752,17,14,2022-03-05T03:32:50Z,850000,31.0,90.0,1,left,E. Fournier 9' driving floating Jump Shot (2 PTS) (I. Quickley 1 AST),"[203095, 1630193]",1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,,,,9.53,Made,2.0,,,,,,,,,,I. Quickley,1630193.0,1.0,,,
88,PT04M36.00S,2022-03-05T03:33:00.8Z,1,REGULAR,3pt,Jump Shot,[],203109,67.09921156373193,56.372549019607845,1610612756,20,14,2022-03-05T03:33:03Z,870000,32.0,257.0,1,right,J. Crowder 25' 3PT  (5 PTS) (A. Holiday 1 AST),"[203109, 1628988]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,25.88,Made,5.0,,,,,,,,,,A. Holiday,1628988.0,1.0,,,
