actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
43,PT08M59.00S,2022-01-29T02:16:10.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,11.383048620236531,50.0,1610612750,10,7,2022-01-29T02:16:14Z,410000,0.0,55.0,1,left,MISS J. Vanderbilt putback Layup,[1629020],1610612750.0,MIN,putback,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,Missed,,5.45,,,,,,,,,,,,,
44,PT08M56.00S,2022-01-29T02:16:13.7Z,1,REGULAR,rebound,defensive,[],202687,,,1610612756,10,7,2022-01-29T02:16:14Z,420000,,,0,,B. Biyombo REBOUND (Off:1 Def:1),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,43.0,2.0,1.0,1.0,,,,,,
45,PT08M52.00S,2022-01-29T02:16:17.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,70.00041064388962,26.447610294117652,1610612756,10,7,2022-01-29T04:29:06Z,430000,-118.0,229.0,1,right,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,Missed,,25.8,,,,,,,,,,,,,
46,PT08M48.00S,2022-01-29T02:16:21.5Z,1,REGULAR,rebound,offensive,[],101108,,,1610612756,10,7,2022-01-29T02:23:09Z,440000,,,0,,C. Paul REBOUND (Off:1 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,45.0,2.0,1.0,1.0,,,,,,
47,PT08M36.00S,2022-01-29T02:16:32.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,92.46057818659659,96.07843137254902,1610612756,13,7,2022-01-29T02:16:36Z,450000,230.0,18.0,1,right,M. Bridges 3PT  (9 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,Made,9.0,23.11,D. Booker,1626164.0,1.0,,,,,,,,,,
49,PT08M20.00S,2022-01-29T02:16:49.3Z,1,REGULAR,3pt,Jump Shot,[],1630162,33.327858081471746,68.87254901960785,1610612750,13,10,2022-01-29T02:16:52Z,470000,-94.0,261.0,1,left,A. Edwards 27' 3PT  (5 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,Made,5.0,27.74,K. Towns,1626157.0,1.0,,,,,,,,,,
51,PT08M00.00S,2022-01-29T02:17:08.9Z,1,REGULAR,2pt,Jump Shot,[],1626164,90.22667542706965,78.92156862745098,1610612756,15,10,2022-01-29T02:17:17Z,490000,145.0,39.0,1,right,D. Booker 14' step back Jump Shot (5 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,,,,,,Made,5.0,14.99,C. Paul,101108.0,2.0,,,,,,,,,,
53,PT07M48.00S,2022-01-29T02:17:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629669,13.485545335085414,48.529411764705884,1610612750,15,10,2022-01-29T02:17:26Z,510000,7.0,74.0,1,left,MISS J. Nowell 7' driving floating Shot,[1629669],1610612750.0,MIN,driving floating,,,Nowell,J. Nowell,,,,,,,,,,Missed,,7.47,,,,,,,,,,,,,
54,PT07M47.00S,2022-01-29T02:17:23.2Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,15,10,2022-01-29T02:17:23Z,520000,,,0,,J. Vanderbilt REBOUND (Off:2 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,53.0,4.0,2.0,2.0,,,,,,
55,PT07M39.00S,2022-01-29T02:17:32.3Z,1,REGULAR,2pt,Hook,['2ndchance'],1626157,5.863994743758213,31.61764705882353,1610612750,15,12,2022-01-29T02:17:36Z,530000,92.0,3.0,1,left,K. Towns 9' turnaround Hook (2 PTS),[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,,,,,,Made,2.0,9.19,,,,,,,,,,,,,
56,PT07M39.00S,2022-01-29T02:17:36.0Z,1,REGULAR,foul,personal,['1freethrow'],202687,,,1610612750,15,12,2022-01-29T02:17:56Z,540000,,,0,,B. Biyombo personal FOUL (1 PF) (Towns 1 FT),"[202687, 1626157]",1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,203591.0,1.0,0.0,Towns,1626157.0,,,,,,,,,,,,,,,,
58,PT07M39.00S,2022-01-29T02:17:53.5Z,1,REGULAR,substitution,out,[],1629669,,,1610612750,15,12,2022-01-29T02:17:56Z,560000,,,0,,SUB out: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M39.00S,2022-01-29T02:17:53.5Z,1,REGULAR,substitution,in,[],1627736,,,1610612750,15,12,2022-01-29T02:17:56Z,570000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M39.00S,2022-01-29T02:18:07.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1626157,,,1610612750,15,13,2022-01-29T02:18:07Z,580000,,,0,,K. Towns Free Throw 1 of 1 (3 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
61,PT07M27.00S,2022-01-29T02:18:21.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202687,88.51839684625493,51.225490196078425,1610612756,17,13,2022-01-29T02:18:25Z,590000,6.0,55.0,1,right,B. Biyombo cutting DUNK (3 PTS) (C. Paul 3 AST),"[202687, 101108]",1610612756.0,PHX,cutting,,,Biyombo,B. Biyombo,,,,,,,,,,Made,3.0,5.57,C. Paul,101108.0,3.0,,,,,,,,,,
63,PT07M11.00S,2022-01-29T02:18:36.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,33.459264126149804,67.64705882352942,1610612750,17,16,2022-01-29T02:18:40Z,610000,-88.0,262.0,1,left,A. Edwards 27' 3PT pullup (8 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,,,Made,8.0,27.64,,,,,,,,,,,,,
64,PT06M57.00S,2022-01-29T02:18:50.4Z,1,REGULAR,2pt,Jump Shot,[],1629661,81.42247043363994,25.98039215686275,1610612756,19,16,2022-01-29T02:18:55Z,620000,-120.0,122.0,1,right,C. Johnson 17' step back Jump Shot (2 PTS) (C. Paul 4 AST),"[1629661, 101108]",1610612756.0,PHX,step back,,,Johnson,C. Johnson,,,,,,,,,,Made,2.0,17.13,C. Paul,101108.0,4.0,,,,,,,,,,
66,PT06M36.00S,2022-01-29T02:19:11.2Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,19,16,2022-01-29T02:19:13Z,640000,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1629661]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,1.0,Johnson,1629661.0,,,
67,PT06M36.00S,2022-01-29T02:19:11.2Z,1,REGULAR,steal,,[],1629661,,,1610612756,19,16,2022-01-29T02:19:12Z,650000,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M32.00S,2022-01-29T02:19:15.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,89.17542706964521,52.69607843137255,1610612756,21,16,2022-01-29T02:19:19Z,660000,13.0,49.0,1,right,M. Bridges running Layup (11 PTS) (C. Johnson 1 AST),"[1628969, 1629661]",1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,,,,,,Made,11.0,5.11,C. Johnson,1629661.0,1.0,,,,,,,,,,
70,PT06M15.00S,2022-01-29T02:19:32.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,9.280551905387648,60.78431372549019,1610612750,21,18,2022-01-29T02:24:24Z,680000,-54.0,35.0,1,left,K. Towns 6' driving Layup (5 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,,,,,,Made,5.0,6.41,,,,,,,,,,,,,
71,PT06M08.00S,2022-01-29T02:19:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,89.56964520367937,54.166666666666664,1610612756,23,18,2022-01-29T02:19:50Z,690000,21.0,46.0,1,right,D. Booker Layup (7 PTS) (C. Paul 5 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,Made,7.0,5.0,C. Paul,101108.0,5.0,,,,,,,,,,
73,PT05M53.00S,2022-01-29T02:19:54.7Z,1,REGULAR,2pt,Jump Shot,[],1630162,5.469776609724048,69.85294117647058,1610612750,23,18,2022-01-29T02:19:59Z,710000,-99.0,-1.0,1,left,MISS A. Edwards 9' driving floating bank Shot,[1630162],1610612750.0,MIN,driving floating bank,,,Edwards,A. Edwards,,,,,,,,,,Missed,,9.93,,,,,,,,,,,,,
74,PT05M51.00S,2022-01-29T02:19:56.7Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,23,18,2022-01-29T02:19:59Z,720000,,,0,,C. Paul REBOUND (Off:1 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,73.0,3.0,2.0,1.0,,,,,,
75,PT05M48.00S,2022-01-29T02:20:00.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626164,90.88370565045992,60.049019607843135,1610612756,25,18,2022-01-29T02:21:31Z,730000,50.0,33.0,1,right,D. Booker 6' running Layup (9 PTS) (C. Paul 6 AST),"[1626164, 101108]",1610612756.0,PHX,running,,,Booker,D. Booker,,,,,,,,,,Made,9.0,6.02,C. Paul,101108.0,6.0,,,,,,,,,,
77,PT05M48.00S,2022-01-29T02:20:12.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,25,18,2022-01-29T02:20:12Z,750000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M48.00S,2022-01-29T02:22:36.0Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,25,18,2022-01-29T02:23:03Z,760000,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M48.00S,2022-01-29T02:22:36.0Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,25,18,2022-01-29T02:23:03Z,770000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M48.00S,2022-01-29T02:22:36.0Z,1,REGULAR,substitution,in,[],1629006,,,1610612750,25,18,2022-01-29T02:23:03Z,780000,,,0,,SUB in: J. Okogie,[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M48.00S,2022-01-29T02:22:36.0Z,1,REGULAR,substitution,in,[],1627752,,,1610612750,25,18,2022-01-29T02:23:03Z,790000,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M41.00S,2022-01-29T02:23:14.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612750,25,18,2022-01-29T02:23:18Z,800000,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,202027.0,,,,,,,,,,,,,,,,,,,,
83,PT05M30.00S,2022-01-29T02:23:26.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,12.171484888304862,46.07843137254902,1610612750,25,20,2022-01-29T02:23:30Z,810000,20.0,62.0,1,left,K. Towns 6' Hook (7 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Made,7.0,6.49,,,,,,,,,,,,,
84,PT05M01.00S,2022-01-29T02:23:55.1Z,1,REGULAR,2pt,Jump Shot,[],1626164,85.3646517739816,77.69607843137256,1610612756,25,20,2022-01-29T02:23:59Z,820000,138.0,85.0,1,right,MISS D. Booker 16' turnaround Shot,[1626164],1610612756.0,PHX,turnaround,,,Booker,D. Booker,,,,,,,,,,Missed,,16.26,,,,,,,,,,,,,
85,PT04M59.00S,2022-01-29T02:23:57.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,25,20,2022-01-29T02:23:59Z,830000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,
86,PT04M59.00S,2022-01-29T02:24:01.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,25,20,2022-01-29T02:24:01Z,840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M59.00S,2022-01-29T02:24:03.3Z,1,REGULAR,substitution,out,[],1630162,,,1610612750,25,20,2022-01-29T02:24:07Z,850000,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M59.00S,2022-01-29T02:24:03.3Z,1,REGULAR,substitution,in,[],1629162,,,1610612750,25,20,2022-01-29T02:24:07Z,860000,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M43.00S,2022-01-29T02:24:35.7Z,1,REGULAR,2pt,Jump Shot,[],1626157,12.565703022339028,80.88235294117648,1610612750,25,20,2022-01-29T02:24:38Z,870000,-154.0,66.0,1,left,MISS K. Towns 16' Jump Shot,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,Missed,,16.78,,,,,,,,,,,,,
90,PT04M41.00S,2022-01-29T02:24:37.7Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,25,20,2022-01-29T02:24:38Z,880000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,89.0,2.0,2.0,0.0,,,,,,
