actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
16,PT10M29.00S,2021-11-07T02:12:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,9.543363994743759,47.05882352941176,1610612737,0,3,2021-11-07T02:12:57Z,160000,15.0,37.0,1,left,MISS C. Capela Layup - blocked,"[203991, 1628969]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,4.0,Missed,,,,,,,Bridges,1628969.0,,,,,,,,,,,
27,PT10M29.00S,2021-11-07T02:12:41.6Z,1,REGULAR,block,,[],1628969,,,1610612737,0,3,2021-11-07T02:19:44Z,165000,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2021-11-07T02:12:41.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,0,3,2021-11-07T02:13:09Z,170000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
18,PT10M29.00S,2021-11-07T02:12:51.5Z,1,REGULAR,foul,personal,[],203991,,,1610612756,0,3,2021-11-07T02:13:06Z,180000,,,0,,C. Capela loose ball personal FOUL (1 PF),"[203991, 1628969]",1610612737.0,ATL,loose ball,,,Capela,C. Capela,,,,,,,,,,,1627519.0,,,,1.0,0.0,Bridges,1628969.0,,,,,,,
21,PT10M19.00S,2021-11-07T02:13:09.9Z,1,REGULAR,3pt,Jump Shot,[],1626164,65.25952693823915,53.431372549019606,1610612756,0,3,2021-11-07T02:13:17Z,210000,17.0,274.0,1,right,MISS D. Booker 27' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,27.46,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M17.00S,2021-11-07T02:13:12.6Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,0,3,2021-11-07T02:13:12Z,220000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M10.00S,2021-11-07T02:13:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203991,10.5946123521682,49.26470588235294,1610612737,0,3,2021-11-07T02:13:27Z,230000,4.0,47.0,1,left,MISS C. Capela driving floating Shot,[203991],1610612737.0,ATL,driving floating,,,Capela,C. Capela,,,,,4.72,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2021-11-07T02:13:23.3Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,0,3,2021-11-07T02:21:19Z,240000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT10M01.00S,2021-11-07T02:13:27.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1626164,91.93495400788436,39.705882352941174,1610612756,2,3,2021-11-07T02:17:43Z,250000,-51.0,23.0,1,right,D. Booker running pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,5.65,Made,,,,,,2.0,,,,,,,,,,,,,
26,PT09M53.00S,2021-11-07T02:13:38.7Z,1,REGULAR,foul,personal,[],203109,,,1610612737,2,3,2021-11-07T02:13:52Z,260000,,,0,,J. Crowder personal FOUL (1 PF),"[203109, 1629027]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,1627519.0,,,,1.0,0.0,Young,1629027.0,,,,,,,
29,PT09M53.00S,2021-11-07T02:14:03.9Z,1,REGULAR,substitution,out,[],201580,,,1610612737,2,3,2021-11-07T02:14:21Z,280000,,,0,,SUB out: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M53.00S,2021-11-07T02:14:03.9Z,1,REGULAR,substitution,in,[],1626163,,,1610612737,2,3,2021-11-07T02:14:21Z,290000,,,0,,SUB in: F. Kaminsky,[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M47.00S,2021-11-07T02:14:27.6Z,1,REGULAR,foul,personal,['2freethrow'],203109,,,1610612737,2,3,2021-11-07T02:14:41Z,300000,,,0,,J. Crowder shooting personal FOUL (2 PF) (Collins 2 FT),"[203109, 1628381]",1610612756.0,PHX,shooting,,,Crowder,J. Crowder,,,,,,,,,,,202026.0,,,,2.0,0.0,Collins,1628381.0,,,,,,,
33,PT09M47.00S,2021-11-07T02:14:50.7Z,1,REGULAR,freethrow,1 of 2,[],1628381,,,1610612737,2,4,2021-11-07T02:14:50Z,320000,,,0,,J. Collins Free Throw 1 of 2 (1 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,Made,,,,,,1.0,,,,,,,,,,,,,
34,PT09M47.00S,2021-11-07T02:15:05.0Z,1,REGULAR,freethrow,2 of 2,[],1628381,,,1610612737,2,5,2021-11-07T02:15:05Z,330000,,,0,,J. Collins Free Throw 2 of 2 (2 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,Made,,,,,,2.0,,,,,,,,,,,,,
35,PT09M37.00S,2021-11-07T02:15:18.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,92.85479632063075,0.9803921568627451,1610612756,5,5,2021-11-07T02:15:23Z,340000,-245.0,15.0,1,right,D. Booker 24' 3PT  (5 PTS) (F. Kaminsky 1 AST),"[1626164, 1626163]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,24.55,Made,,,,,,5.0,,,,,,,F. Kaminsky,1626163.0,1.0,,,,
37,PT09M21.00S,2021-11-07T02:15:35.0Z,1,REGULAR,2pt,Jump Shot,[],1629027,14.14257555847569,30.88235294117647,1610612737,5,7,2021-11-07T02:15:39Z,360000,96.0,80.0,1,left,T. Young 12' driving floating Jump Shot (5 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,12.49,Made,,,,,,5.0,,,,,,,,,,,,,
38,PT08M57.00S,2021-11-07T02:15:58.5Z,1,REGULAR,3pt,Jump Shot,[],1626163,70.38436268068331,20.34313725490196,1610612756,8,7,2021-11-07T02:16:06Z,370000,-148.0,226.0,1,right,F. Kaminsky 27' 3PT  (3 PTS) (D. Booker 1 AST),"[1626163, 1626164]",1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,27.02,Made,,,,,,3.0,,,,,,,D. Booker,1626164.0,1.0,,,,
40,PT08M50.00S,2021-11-07T02:16:05.5Z,1,REGULAR,3pt,Jump Shot,[],203992,27.677398160315374,83.82352941176471,1610612737,8,7,2021-11-07T02:16:17Z,390000,-169.0,208.0,1,left,MISS B. Bogdanovic 26' running 3PT,[203992],1610612737.0,ATL,running,,,Bogdanovic,B. Bogdanovic,,,,,26.78,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M46.00S,2021-11-07T02:16:09.5Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,8,7,2021-11-07T02:16:10Z,400000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
42,PT08M38.00S,2021-11-07T02:16:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,93.77463863337714,50.73529411764706,1610612756,10,7,2021-11-07T03:10:40Z,410000,4.0,6.0,1,right,M. Bridges reverse Layup (2 PTS) (F. Kaminsky 2 AST),"[1628969, 1626163]",1610612756.0,PHX,reverse,,,Bridges,M. Bridges,,,,,0.7,Made,,,,,,2.0,,,,,,,F. Kaminsky,1626163.0,2.0,,,,
44,PT08M25.00S,2021-11-07T02:16:30.8Z,1,REGULAR,3pt,Jump Shot,[],1629631,4.944152431011826,97.30392156862744,1610612737,10,7,2021-11-07T02:16:36Z,430000,-237.0,-6.0,1,left,MISS D. Hunter 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,23.66,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M22.00S,2021-11-07T02:16:33.8Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,10,7,2021-11-07T02:16:36Z,440000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
46,PT08M11.00S,2021-11-07T02:16:45.0Z,1,REGULAR,3pt,Jump Shot,[],203109,74.45795006570303,13.23529411764706,1610612756,13,7,2021-11-07T02:16:49Z,450000,-184.0,188.0,1,right,J. Crowder 26' 3PT  (3 PTS) (M. Bridges 1 AST),"[203109, 1628969]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,26.26,Made,,,,,,3.0,,,,,,,M. Bridges,1628969.0,1.0,,,,
48,PT08M08.00S,2021-11-07T02:16:52.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,13,7,2021-11-07T02:16:52Z,470000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M56.00S,2021-11-07T02:20:06.2Z,1,REGULAR,2pt,Jump Shot,[],203992,4.5499342969776615,89.4607843137255,1610612737,13,9,2021-11-07T02:20:13Z,480000,-197.0,-10.0,1,left,B. Bogdanovic 19' Jump Shot (2 PTS) (C. Capela 1 AST),"[203992, 203991]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,19.75,Made,,,,,,2.0,,,,,,,C. Capela,203991.0,1.0,,,,
53,PT07M41.00S,2021-11-07T02:20:20.0Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,13,9,2021-11-07T02:27:45Z,500000,,,0,,D. Booker bad pass out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,,,,,,,202026.0,,,,,,,,,,,1.0,,,
54,PT07M23.00S,2021-11-07T02:20:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629027,6.258212877792378,46.81372549019608,1610612737,13,9,2021-11-07T02:20:52Z,510000,16.0,6.0,1,left,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,1.71,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M20.00S,2021-11-07T02:20:48.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,13,9,2021-11-07T02:20:52Z,520000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
56,PT07M16.00S,2021-11-07T02:20:51.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203109,70.77858081471747,17.15686274509804,1610612756,13,9,2021-11-07T02:20:58Z,530000,-164.0,222.0,1,right,MISS J. Crowder 27' 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,27.63,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M13.00S,2021-11-07T02:20:54.9Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,13,9,2021-11-07T02:20:58Z,540000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
58,PT07M03.00S,2021-11-07T02:21:07.2Z,1,REGULAR,turnover,out-of-bounds,[],203992,,,1610612737,13,9,2021-11-07T02:21:18Z,550000,,,0,,B. Bogdanovic bad pass out-of-bounds TURNOVER (1 TO),[203992],1610612737.0,ATL,bad pass,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,202041.0,,,,,,,,,,,1.0,,,
59,PT06M56.00S,2021-11-07T02:21:20.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,94.43166885676742,96.32352941176471,1610612756,13,9,2021-11-07T02:21:23Z,560000,232.0,0.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,23.16,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M53.00S,2021-11-07T02:21:23.0Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,13,9,2021-11-07T02:21:23Z,570000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
61,PT06M32.00S,2021-11-07T02:21:43.8Z,1,REGULAR,turnover,bad pass,[],203992,,,1610612737,13,9,2021-11-07T02:21:47Z,580000,,,0,,B. Bogdanovic bad pass TURNOVER (2 TO),"[203992, 1626164]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,2.0,Booker,1626164.0,
62,PT06M32.00S,2021-11-07T02:21:43.8Z,1,REGULAR,steal,,[],1626164,,,1610612756,13,9,2021-11-07T02:21:45Z,590000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M16.00S,2021-11-07T02:21:59.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,94.82588699080158,78.18627450980392,1610612756,15,9,2021-11-07T02:22:03Z,600000,141.0,-4.0,1,right,D. Booker 14' pullup Jump Shot (7 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,14.1,Made,,,,,,7.0,,,,,,,,,,,,,
64,PT05M58.00S,2021-11-07T02:22:17.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203992,13.222733245729303,63.48039215686274,1610612737,15,11,2021-11-07T02:22:22Z,610000,-67.0,72.0,1,left,B. Bogdanovic 9' fadeaway Jump Shot (4 PTS),[203992],1610612737.0,ATL,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,9.85,Made,,,,,,4.0,,,,,,,,,,,,,
65,PT05M44.00S,2021-11-07T02:22:31.2Z,1,REGULAR,3pt,Jump Shot,[],1628969,70.77858081471747,77.94117647058823,1610612756,15,11,2021-11-07T02:22:38Z,620000,140.0,222.0,1,right,MISS M. Bridges 26' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
66,PT05M41.00S,2021-11-07T02:22:34.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,15,11,2021-11-07T02:22:38Z,630000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
67,PT05M34.00S,2021-11-07T02:22:42.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,6.389618922470433,48.529411764705884,1610612737,15,13,2021-11-07T02:23:02Z,640000,7.0,8.0,1,left,J. Collins alley-oop DUNK (4 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,alley-oop,,,Collins,J. Collins,,,,,1.06,Made,,,,,,4.0,,,,,,,T. Young,1629027.0,1.0,,,,
69,PT05M17.00S,2021-11-07T02:22:58.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,80.50262812089356,43.627450980392155,1610612756,15,13,2021-11-07T02:23:04Z,660000,-32.0,131.0,1,right,MISS C. Paul 13' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,13.46,Missed,,,,,,,,,,,,,,,,,,,
70,PT05M17.00S,2021-11-07T02:22:58.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,13,2021-11-07T02:23:04Z,670000,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,69.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
71,PT05M09.00S,2021-11-07T02:23:07.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,17.0335085413929,49.26470588235294,1610612737,15,13,2021-11-07T02:29:53Z,680000,4.0,108.0,1,left,MISS T. Young 10' floating Shot,[1629027],1610612737.0,ATL,floating,,,Young,T. Young,,,,,10.77,Missed,,,,,,,,,,,,,,,,,,,
72,PT05M06.00S,2021-11-07T02:23:09.8Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,15,13,2021-11-07T02:23:09Z,690000,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,71.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
156,PT05M06.00S,2021-11-07T02:23:09.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,6.750985545335084,52.205882352941174,1610612737,15,13,2021-11-07T02:34:09Z,695000,-11.0,11.0,1,left,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,1.56,Missed,,,,,,,,,,,,,,,,,,,
157,PT05M06.00S,2021-11-07T02:23:09.2Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,15,13,2021-11-07T02:34:09Z,697500,,,0,,C. Capela REBOUND (Off:2 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,156.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
73,PT05M04.00S,2021-11-07T02:23:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,8.886333771353483,44.85294117647059,1610612737,15,13,2021-11-07T02:34:09Z,700000,26.0,31.0,1,left,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,4.03,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M04.00S,2021-11-07T02:23:11.4Z,1,REGULAR,rebound,defensive,[],1626163,,,1610612756,15,13,2021-11-07T02:23:19Z,710000,,,0,,F. Kaminsky REBOUND (Off:0 Def:1),[1626163],1610612756.0,PHX,,,,Kaminsky,F. Kaminsky,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
75,PT04M50.00S,2021-11-07T02:23:25.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,86.15308804204993,59.55882352941176,1610612756,15,13,2021-11-07T02:23:40Z,720000,48.0,78.0,1,right,MISS D. Booker 9' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,9.12,Missed,,,,,,,,,,,,,,,,,,,
76,PT04M48.00S,2021-11-07T02:23:27.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,13,2021-11-07T02:23:40Z,730000,,,0,,C. Capela REBOUND (Off:2 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,75.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
77,PT04M43.00S,2021-11-07T02:23:36.6Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,15,13,2021-11-07T02:26:13Z,740000,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,,,,,,,202026.0,,,,,,,,,,,1.0,,,
78,PT04M43.00S,2021-11-07T02:23:43.2Z,1,REGULAR,substitution,out,[],101108,,,1610612756,15,13,2021-11-07T02:24:09Z,750000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M43.00S,2021-11-07T02:23:43.2Z,1,REGULAR,substitution,out,[],203109,,,1610612756,15,13,2021-11-07T02:24:09Z,760000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M43.00S,2021-11-07T02:23:43.2Z,1,REGULAR,substitution,out,[],203992,,,1610612756,15,13,2021-11-07T02:24:09Z,770000,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M43.00S,2021-11-07T02:23:43.2Z,1,REGULAR,substitution,out,[],203991,,,1610612756,15,13,2021-11-07T02:24:09Z,780000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M43.00S,2021-11-07T02:23:43.2Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,15,13,2021-11-07T02:24:09Z,790000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M43.00S,2021-11-07T02:23:43.2Z,1,REGULAR,substitution,in,[],1629661,,,1610612756,15,13,2021-11-07T02:24:09Z,800000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M43.00S,2021-11-07T02:23:43.2Z,1,REGULAR,substitution,in,[],1628989,,,1610612756,15,13,2021-11-07T02:24:09Z,810000,,,0,,SUB in: K. Huerter,[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M43.00S,2021-11-07T02:23:43.2Z,1,REGULAR,substitution,in,[],201568,,,1610612756,15,13,2021-11-07T02:24:09Z,820000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M30.00S,2021-11-07T02:24:24.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626163,90.62089356110381,53.18627450980392,1610612756,17,13,2021-11-07T02:24:35Z,830000,16.0,36.0,1,right,F. Kaminsky driving Layup (5 PTS),[1626163],1610612756.0,PHX,driving,,,Kaminsky,F. Kaminsky,,,,,3.91,Made,,,,,,5.0,,,,,,,,,,,,,
87,PT04M17.00S,2021-11-07T02:24:37.0Z,1,REGULAR,2pt,Jump Shot,[],1629631,21.50131406044678,69.85294117647058,1610612737,17,13,2021-11-07T02:24:42Z,840000,-99.0,150.0,1,left,MISS D. Hunter 17' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,17.96,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M13.00S,2021-11-07T02:24:40.6Z,1,REGULAR,rebound,offensive,[],1628989,,,1610612737,17,13,2021-11-07T02:24:40Z,850000,,,0,,K. Huerter REBOUND (Off:1 Def:0),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,87.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
