actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
17,PT10M36.00S,2022-04-06T02:43:28.0Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,2,4,2022-04-06T02:43:28Z,170000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M22.00S,2022-04-06T02:43:45.0Z,1,REGULAR,foul,personal,[],1626164,,,1610612747,2,4,2022-04-06T02:43:49Z,180000,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 2730]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,2714.0,1.0,0.0,Howard,2730.0,,,,,,,,,,
20,PT10M18.00S,2022-04-06T02:44:15.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,7.440867279894875,52.20588235294118,1610612747,2,6,2022-04-06T02:44:17Z,200000,-11.0,17.0,1,left,A. Davis alley-oop DUNK (4 PTS) (M. Monk 1 AST),"[203076, 1628370]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,2.06,Made,4.0,M. Monk,1628370.0,1.0,,,,,,,,,,,,,,,
22,PT10M02.00S,2022-04-06T02:44:30.8Z,1,REGULAR,2pt,Jump Shot,[],101108,86.41590013140605,71.07843137254902,1610612756,2,6,2022-04-06T02:44:33Z,220000,105.0,75.0,1,right,MISS C. Paul 12' Jump Shot,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,12.95,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M01.00S,2022-04-06T02:44:31.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,2,6,2022-04-06T02:44:33Z,230000,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,
24,PT09M56.00S,2022-04-06T02:44:36.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202340,25.18068331143233,17.15686274509804,1610612747,2,9,2022-04-06T02:44:41Z,240000,164.0,184.0,1,left,A. Bradley 24' 3PT running pullup (3 PTS) (A. Davis 1 AST),"[202340, 203076]",1610612747.0,LAL,running pullup,,,Bradley,A. Bradley,,,,,24.68,Made,3.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,,
26,PT09M39.00S,2022-04-06T02:45:01.0Z,1,REGULAR,foul,personal,[],202340,,,1610612756,2,9,2022-04-06T02:45:14Z,260000,,,0,,A. Bradley personal FOUL (1 PF),"[202340, 1626164]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,204058.0,1.0,0.0,Booker,1626164.0,,,,,,,,,,
28,PT09M28.00S,2022-04-06T02:45:24.7Z,1,REGULAR,2pt,Jump Shot,[],1628969,86.02168199737189,32.84313725490196,1610612756,2,9,2022-04-06T02:45:31Z,280000,-86.0,79.0,1,right,MISS M. Bridges 11' step back Shot,[1628969],1610612756.0,PHX,step back,,,Bridges,M. Bridges,,,,,11.66,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M26.00S,2022-04-06T02:45:26.7Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,2,9,2022-04-06T02:45:28Z,290000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,
30,PT09M17.00S,2022-04-06T02:45:35.7Z,1,REGULAR,turnover,lost ball,[],203076,,,1610612747,2,9,2022-04-06T02:45:40Z,300000,,,0,,A. Davis lost ball TURNOVER (1 TO),"[203076, 203109]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,1.0,Crowder,203109.0,,,
31,PT09M17.00S,2022-04-06T02:45:35.7Z,1,REGULAR,steal,,[],203109,,,1610612756,2,9,2022-04-06T02:45:37Z,310000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M14.00S,2022-04-06T02:45:41.4Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612756,2,9,2022-04-06T02:45:52Z,320000,,,0,,M. Monk shooting personal FOUL (1 PF) (Booker 2 FT),"[1628370, 1626164]",1610612747.0,LAL,shooting,,,Monk,M. Monk,,,,,,,,,,,2002.0,1.0,0.0,Booker,1626164.0,,,,,,,,,,
34,PT09M14.00S,2022-04-06T02:46:07.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1626164,,,1610612756,3,9,2022-04-06T02:46:07Z,340000,,,0,,D. Booker Free Throw 1 of 2 (1 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
35,PT09M14.00S,2022-04-06T02:46:18.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1626164,,,1610612756,4,9,2022-04-06T02:46:18Z,350000,,,0,,D. Booker Free Throw 2 of 2 (2 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
36,PT09M01.00S,2022-04-06T02:46:32.3Z,1,REGULAR,3pt,Jump Shot,[],1628370,26.231931668856767,82.84313725490196,1610612747,4,12,2022-04-06T02:46:35Z,360000,-164.0,194.0,1,left,M. Monk 25' 3PT pullup (3 PTS),[1628370],1610612747.0,LAL,pullup,,,Monk,M. Monk,,,,,25.42,Made,3.0,,,,,,,,,,,,,,,,,,
37,PT08M48.00S,2022-04-06T02:46:45.0Z,1,REGULAR,2pt,Jump Shot,[],203109,76.42904073587385,62.5,1610612756,4,12,2022-04-06T02:46:48Z,370000,62.0,169.0,1,right,MISS J. Crowder 18' pullup Shot,[203109],1610612756.0,PHX,pullup,,,Crowder,J. Crowder,,,,,18.03,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M47.00S,2022-04-06T02:46:46.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,4,12,2022-04-06T02:46:48Z,380000,,,0,,A. Davis REBOUND (Off:0 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,37.0,3.0,3.0,0.0,,,,,,
39,PT08M41.00S,2022-04-06T02:46:52.5Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612747,4,12,2022-04-06T02:46:56Z,390000,,,0,,A. Davis bad pass TURNOVER (2 TO),"[203076, 101108]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,2.0,Paul,101108.0,,,
40,PT08M41.00S,2022-04-06T02:46:52.5Z,1,REGULAR,steal,,[],101108,,,1610612756,4,12,2022-04-06T02:46:54Z,400000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M40.00S,2022-04-06T02:46:57.1Z,1,REGULAR,foul,personal,[],1628370,,,1610612756,4,12,2022-04-06T02:47:17Z,410000,,,0,,M. Monk take personal FOUL (2 PF),"[1628370, 101108]",1610612747.0,LAL,take,,,Monk,M. Monk,,,,,,,,,,,204058.0,2.0,0.0,Paul,101108.0,,,,,,,,,,
43,PT08M30.00S,2022-04-06T02:47:21.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,78.40013140604468,48.77450980392157,1610612756,6,12,2022-04-06T02:47:24Z,430000,-6.0,151.0,1,right,D. Booker 15' pullup Jump Shot (4 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,15.06,Made,4.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,,
45,PT08M15.00S,2022-04-06T02:47:36.0Z,1,REGULAR,3pt,Jump Shot,[],202340,24.129434954007884,86.76470588235294,1610612747,6,12,2022-04-06T02:47:39Z,450000,-184.0,174.0,1,left,MISS A. Bradley 25' 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M13.00S,2022-04-06T02:47:38.0Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,6,12,2022-04-06T02:47:39Z,460000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,
47,PT08M06.00S,2022-04-06T02:47:49.9Z,1,REGULAR,foul,offensive,[],1626164,,,1610612756,6,12,2022-04-06T02:47:55Z,470000,,,0,,D. Booker offensive FOUL (2 PF),"[1626164, 202340]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,2714.0,2.0,0.0,Bradley,202340.0,,,,,,,,,,
49,PT08M06.00S,2022-04-06T02:47:49.9Z,1,REGULAR,turnover,offensive foul,[],1626164,,,1610612756,6,12,2022-04-06T02:47:49Z,490000,,,0,,D. Booker offensive foul TURNOVER (1 TO),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,2714.0,,,,,,,,,1.0,,,,,
50,PT07M54.00S,2022-04-06T02:48:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201566,7.30946123521682,54.41176470588235,1610612747,6,12,2022-04-06T02:48:21Z,500000,-22.0,16.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.74,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M52.00S,2022-04-06T02:48:19.5Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,6,12,2022-04-06T02:48:21Z,510000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,
52,PT07M46.00S,2022-04-06T02:48:24.9Z,1,REGULAR,2pt,Jump Shot,[],101108,82.34231274638634,66.91176470588235,1610612756,8,12,2022-04-06T02:49:11Z,520000,85.0,113.0,1,right,C. Paul 14' pullup Jump Shot (2 PTS),[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,14.16,Made,2.0,,,,,,,,,,,,,,,,,,
53,PT07M34.00S,2022-04-06T02:48:37.0Z,1,REGULAR,3pt,Jump Shot,[],201566,31.488173455978973,46.07843137254902,1610612747,8,15,2022-04-06T02:48:41Z,530000,20.0,243.0,1,left,R. Westbrook 24' 3PT  (3 PTS) (M. Monk 2 AST),"[201566, 1628370]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,24.43,Made,3.0,M. Monk,1628370.0,2.0,,,,,,,,,,,,,,,
55,PT07M21.00S,2022-04-06T02:48:58.2Z,1,REGULAR,2pt,Jump Shot,[],101108,85.62746386333771,69.11764705882352,1610612756,8,15,2022-04-06T02:49:01Z,550000,96.0,83.0,1,right,MISS C. Paul 12' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,12.63,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M20.00S,2022-04-06T02:49:00.2Z,1,REGULAR,rebound,offensive,[],101108,,,1610612756,8,15,2022-04-06T02:49:00Z,560000,,,0,,C. Paul REBOUND (Off:1 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,
57,PT07M17.00S,2022-04-06T02:49:02.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",101108,94.30026281208936,50.49019607843137,1610612756,10,15,2022-04-06T02:49:06Z,570000,2.0,1.0,1,right,C. Paul driving Layup (4 PTS),[101108],1610612756.0,PHX,driving,,,Paul,C. Paul,,,,,0.27,Made,4.0,,,,,,,,,,,,,,,,,,
58,PT07M04.00S,2022-04-06T02:49:15.1Z,1,REGULAR,3pt,Jump Shot,[],1628370,29.6484888304862,24.509803921568626,1610612747,10,15,2022-04-06T02:50:08Z,580000,127.0,226.0,1,left,MISS M. Monk 25' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,25.97,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M03.00S,2022-04-06T02:49:16.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,10,15,2022-04-06T02:49:18Z,590000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,
60,PT06M58.00S,2022-04-06T02:49:25.8Z,1,REGULAR,foul,personal,[],1628370,,,1610612756,10,15,2022-04-06T02:49:42Z,600000,,,0,,M. Monk personal FOUL (3 PF),"[1628370, 1626164]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,2714.0,3.0,0.0,Booker,1626164.0,,,,,,,,,,
62,PT06M58.00S,2022-04-06T02:49:33.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,10,15,2022-04-06T02:49:33Z,620000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2022-04-06T02:52:00.8Z,1,REGULAR,substitution,out,[],1628370,,,1610612756,10,15,2022-04-06T02:52:18Z,630000,,,0,,SUB out: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M58.00S,2022-04-06T02:52:00.8Z,1,REGULAR,substitution,in,[],1630559,,,1610612756,10,15,2022-04-06T02:52:18Z,640000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M53.00S,2022-04-06T02:52:54.9Z,1,REGULAR,instantreplay,request,[],0,,,1610612756,10,15,2022-04-06T02:54:54Z,670000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,2714.0,,,,,,,,,,,,Off-Ball - Foul Occurred Before FGM,,
68,PT06M53.00S,2022-04-06T02:54:13.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202340,,,1610612756,10,15,2022-04-06T02:54:37Z,680000,,,0,,A. Bradley personal FOUL (2 PF) (Ayton 2 FT),"[202340, 1629028]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,204058.0,2.0,0.0,Ayton,1629028.0,,,,,,,,,,
70,PT06M53.00S,2022-04-06T02:54:32.1Z,1,REGULAR,freethrow,1 of 2,[],1629028,,,1610612756,11,15,2022-04-06T02:54:32Z,700000,,,0,,D. Ayton Free Throw 1 of 2 (3 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
71,PT06M53.00S,2022-04-06T02:54:46.3Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612756,12,15,2022-04-06T02:54:46Z,710000,,,0,,D. Ayton Free Throw 2 of 2 (4 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
72,PT06M34.00S,2022-04-06T02:55:05.7Z,1,REGULAR,3pt,Jump Shot,[],203076,25.969119579500656,15.931372549019606,1610612747,12,15,2022-04-06T02:55:11Z,720000,170.0,192.0,1,left,MISS A. Davis 25' 3PT,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,25.63,Missed,,,,,,,,,,,,,,,,,,,
73,PT06M31.00S,2022-04-06T02:55:08.7Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,12,15,2022-04-06T02:55:11Z,730000,,,0,,D. Howard REBOUND (Off:1 Def:0),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,72.0,1.0,0.0,1.0,,,,,,
74,PT06M31.00S,2022-04-06T02:55:10.3Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612747,12,15,2022-04-06T02:55:27Z,740000,,,0,,D. Ayton shooting personal FOUL (1 PF) (Howard 2 FT),"[1629028, 2730]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,,,,,,,2714.0,1.0,0.0,Howard,2730.0,,,,,,,,,,
76,PT06M31.00S,2022-04-06T02:55:43.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],2730,,,1610612747,12,16,2022-04-06T02:55:43Z,760000,,,0,,D. Howard Free Throw 1 of 2 (3 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
77,PT06M31.00S,2022-04-06T02:56:03.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],2730,,,1610612747,12,17,2022-04-06T02:56:03Z,770000,,,0,,D. Howard Free Throw 2 of 2 (4 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
78,PT06M17.00S,2022-04-06T02:56:18.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,83.78777923784494,39.46078431372549,1610612756,14,17,2022-04-06T02:56:22Z,780000,-53.0,100.0,1,right,D. Ayton 11' Hook (6 PTS) (J. Crowder 1 AST),"[1629028, 203109]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,11.29,Made,6.0,J. Crowder,203109.0,1.0,,,,,,,,,,,,,,,
80,PT06M05.00S,2022-04-06T02:56:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,13.091327201051248,59.068627450980394,1610612747,14,17,2022-04-06T02:56:37Z,800000,-45.0,71.0,1,left,MISS R. Westbrook 8' driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,8.39,Missed,,,,,,,,,,,,,,,,,,,
81,PT06M00.00S,2022-04-06T02:56:36.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,14,17,2022-04-06T02:56:37Z,810000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,80.0,2.0,2.0,0.0,,,,,,
82,PT05M55.00S,2022-04-06T02:56:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,93.51182654402102,51.470588235294116,1610612756,14,17,2022-04-06T02:56:45Z,820000,7.0,8.0,1,right,MISS D. Booker driving Layup,[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,1.13,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M54.00S,2022-04-06T02:56:41.5Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,14,17,2022-04-06T02:56:45Z,830000,,,0,,D. Howard REBOUND (Off:1 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,82.0,2.0,1.0,1.0,,,,,,
84,PT05M50.00S,2022-04-06T02:56:48.4Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,14,17,2022-04-06T02:56:56Z,840000,,,0,,R. Westbrook lost ball out-of-bounds TURNOVER (1 TO),[201566],1610612747.0,LAL,lost ball,,,Westbrook,R. Westbrook,,,,,,,,,,,204058.0,,,,,,,,,1.0,,,,,
85,PT05M50.00S,2022-04-06T02:56:56.1Z,1,REGULAR,substitution,out,[],201566,,,1610612756,14,17,2022-04-06T02:57:05Z,850000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M50.00S,2022-04-06T02:56:56.1Z,1,REGULAR,substitution,out,[],202340,,,1610612756,14,17,2022-04-06T02:57:05Z,860000,,,0,,SUB out: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M50.00S,2022-04-06T02:56:56.1Z,1,REGULAR,substitution,in,[],201571,,,1610612756,14,17,2022-04-06T02:57:05Z,870000,,,0,,SUB in: D. Augustin,[201571],1610612747.0,LAL,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M50.00S,2022-04-06T02:56:56.1Z,1,REGULAR,substitution,in,[],1626169,,,1610612756,14,17,2022-04-06T02:57:05Z,880000,,,0,,SUB in: S. Johnson,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M41.00S,2022-04-06T02:57:29.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,78.71222076215506,6.395526960784313,1610612756,14,17,2022-04-06T02:57:39Z,890000,-218.0,148.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,,
90,PT05M38.00S,2022-04-06T02:57:32.4Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,14,17,2022-04-06T02:57:33Z,900000,,,0,,D. Howard REBOUND (Off:1 Def:2),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,89.0,3.0,2.0,1.0,,,,,,
91,PT05M31.00S,2022-04-06T02:57:39.1Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,14,17,2022-04-06T02:57:44Z,910000,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 203109]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,1.0,Crowder,203109.0,,,
92,PT05M31.00S,2022-04-06T02:57:39.1Z,1,REGULAR,steal,,[],203109,,,1610612756,14,17,2022-04-06T02:58:10Z,920000,,,0,,J. Crowder STEAL (2 STL),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M27.00S,2022-04-06T02:57:43.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626164,95.6143232588699,49.26470588235294,1610612756,16,17,2022-04-06T02:57:47Z,930000,-4.0,-11.0,1,right,D. Booker running alley-oop DUNK (6 PTS) (J. Crowder 2 AST),"[1626164, 203109]",1610612756.0,PHX,running alley-oop,,,Booker,D. Booker,,,,,1.19,Made,6.0,J. Crowder,203109.0,2.0,,,,,,,,,,,,,,,
95,PT05M27.00S,2022-04-06T02:57:52.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,16,17,2022-04-06T02:57:52Z,950000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
