actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M07.00S,2022-01-25T02:12:56.9Z,1,REGULAR,rebound,offensive,[],201580,,,1610612756,7,0,2022-01-25T02:17:10Z,170000,,,0,,J. McGee REBOUND (Off:1 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,16.0,2.0,1.0,1.0,,,,,,,,,
36,PT10M03.00S,2022-01-25T02:13:00.5Z,1,REGULAR,turnover,bad pass,[],201580,,,1610612756,7,0,2022-01-25T02:16:48Z,175000,,,0,,J. McGee bad pass TURNOVER (1 TO),"[201580, 1627863]",1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,1.0,House Jr.,1627863.0,,,,,,
37,PT10M03.00S,2022-01-25T02:13:00.5Z,1,REGULAR,steal,,[],1627863,,,1610612762,7,0,2022-01-25T02:16:48Z,177500,,,0,,D. House Jr. STEAL (1 STL),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,
18,PT09M58.00S,2022-01-25T02:13:05.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630235,90.88370565045992,50.245098039215684,1610612762,7,2,2022-01-25T02:17:25Z,180000,1.0,33.0,1,right,T. Forrest running Layup (2 PTS) (J. Clarkson 1 AST),"[1630235, 203903]",1610612762.0,UTA,running,,,Forrest,T. Forrest,,,,,3.32,Made,2.0,J. Clarkson,203903.0,1.0,,,,,,,,,,,,,,
20,PT09M37.00S,2022-01-25T02:13:16.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,22.158344283837057,93.38235294117648,1610612756,7,2,2022-01-25T02:13:23Z,200000,-217.0,156.0,1,left,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,26.71,Missed,,,,,,,,,,,,,,,,,,
21,PT09M37.00S,2022-01-25T02:13:16.7Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,7,2,2022-01-25T02:13:23Z,210000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,
22,PT09M24.00S,2022-01-25T02:13:31.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629661,32.670827858081466,29.411764705882355,1610612756,7,2,2022-01-25T02:19:06Z,220000,103.0,255.0,1,left,MISS C. Johnson 27' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,27.46,Missed,,,,,,,,,,,,,,,,,,
23,PT09M23.00S,2022-01-25T02:13:32.9Z,1,REGULAR,rebound,offensive,[],201580,,,1610612756,7,2,2022-01-25T02:19:06Z,230000,,,0,,J. McGee REBOUND (Off:2 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,22.0,3.0,1.0,2.0,,,,,,,,,
24,PT09M22.00S,2022-01-25T02:13:39.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201580,7.6215505913272015,49.83915441176471,1610612756,7,2,2022-01-25T02:18:29Z,240000,1.0,19.0,1,left,MISS J. McGee tip Layup,[201580],1610612756.0,PHX,tip,,,McGee,J. McGee,,,,,1.91,Missed,,,,,,,,,,,,,,,,,,
25,PT09M20.00S,2022-01-25T02:13:41.3Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,7,2,2022-01-25T02:18:29Z,250000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,
26,PT09M02.00S,2022-01-25T02:13:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203903,93.51182654402102,48.529411764705884,1610612762,7,4,2022-01-25T02:14:02Z,260000,-7.0,8.0,1,right,J. Clarkson finger roll Layup (2 PTS),[203903],1610612762.0,UTA,finger roll,,,Clarkson,J. Clarkson,,,,,1.13,Made,2.0,,,,,,,,,,,,,,,,,
27,PT08M51.00S,2022-01-25T02:14:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,6.389618922470433,45.34313725490196,1610612756,9,4,2022-01-25T02:14:13Z,270000,23.0,8.0,1,left,D. Booker driving bank Jump Shot (2 PTS) (C. Paul 3 AST),"[1626164, 101108]",1610612756.0,PHX,driving bank,,,Booker,D. Booker,,,,,2.45,Made,2.0,C. Paul,101108.0,3.0,,,,,,,,,,,,,,
29,PT08M42.00S,2022-01-25T02:14:12.5Z,1,REGULAR,turnover,bad pass,[],203903,,,1610612762,9,4,2022-01-25T02:14:19Z,290000,,,0,,J. Clarkson bad pass TURNOVER (1 TO),"[203903, 1626164]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,1.0,Booker,1626164.0,,,,,,
30,PT08M42.00S,2022-01-25T02:14:12.5Z,1,REGULAR,steal,,[],1626164,,,1610612756,9,4,2022-01-25T02:14:14Z,300000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M36.00S,2022-01-25T02:14:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,7.046649145860711,48.03921568627451,1610612756,9,4,2022-01-25T02:15:07Z,310000,10.0,14.0,1,left,MISS M. Bridges running Layup - blocked,"[1628969, 1627863]",1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,1.68,Missed,,,,,,,,,,,,,House Jr.,1627863.0,,,,
32,PT08M36.00S,2022-01-25T02:14:18.4Z,1,REGULAR,block,,[],1627863,,,1610612756,9,4,2022-01-25T02:14:21Z,320000,,,0,,D. House Jr. BLOCK (1 BLK),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,
33,PT08M34.00S,2022-01-25T02:14:20.4Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,9,4,2022-01-25T02:14:29Z,330000,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,
34,PT08M34.00S,2022-01-25T02:14:25.6Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1626164,15.850854139290407,22.794117647058822,1610612756,11,4,2022-01-25T02:14:32Z,340000,136.0,96.0,1,left,D. Booker 16' Jump Shot (4 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,16.68,Made,4.0,,,,,,,,,,,,,,,,,
35,PT08M34.00S,2022-01-25T02:14:32.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,11,4,2022-01-25T02:14:32Z,350000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M18.00S,2022-01-25T02:17:29.2Z,1,REGULAR,3pt,Jump Shot,[],1630235,93.9060446780552,2.2058823529411766,1610612762,11,7,2022-01-25T02:17:38Z,360000,-239.0,5.0,1,right,T. Forrest 3PT  (5 PTS) (J. Clarkson 2 AST),"[1630235, 203903]",1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,23.9,Made,5.0,J. Clarkson,203903.0,2.0,,,,,,,,,,,,,,
40,PT08M05.00S,2022-01-25T02:17:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,7.5722733245729295,51.9607843137255,1610612756,13,7,2022-01-25T02:17:48Z,380000,-10.0,19.0,1,left,D. Booker cutting Layup (6 PTS) (C. Paul 4 AST),"[1626164, 101108]",1610612756.0,PHX,cutting,,,Booker,D. Booker,,,,,2.11,Made,6.0,C. Paul,101108.0,4.0,,,,,,,,,,,,,,
42,PT07M51.00S,2022-01-25T02:17:55.2Z,1,REGULAR,3pt,Jump Shot,[],200752,90.62089356110381,96.07843137254902,1610612762,13,7,2022-01-25T02:18:00Z,400000,230.0,36.0,1,right,MISS R. Gay 3PT,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,23.31,Missed,,,,,,,,,,,,,,,,,,
43,PT07M49.00S,2022-01-25T02:17:57.2Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,13,7,2022-01-25T02:18:00Z,410000,,,0,,D. Booker REBOUND (Off:1 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,
44,PT07M44.00S,2022-01-25T02:18:03.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,19.530223390275953,94.11764705882352,1610612756,16,7,2022-01-25T02:18:10Z,420000,-221.0,131.0,1,left,C. Johnson 25' 3PT running (6 PTS) (D. Booker 1 AST),"[1629661, 1626164]",1610612756.0,PHX,running,,,Johnson,C. Johnson,,,,,25.66,Made,6.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,
46,PT07M20.00S,2022-01-25T02:18:27.4Z,1,REGULAR,3pt,Jump Shot,[],200752,73.9323258869908,84.80392156862744,1610612762,16,7,2022-01-25T02:21:56Z,440000,174.0,193.0,1,right,MISS R. Gay 25' pullup 3PT,[200752],1610612762.0,UTA,pullup,,,Gay,R. Gay,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,
47,PT07M19.00S,2022-01-25T02:18:28.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,16,7,2022-01-25T02:18:37Z,450000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,
48,PT07M19.00S,2022-01-25T02:18:34.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,16,7,2022-01-25T02:18:34Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M03.00S,2022-01-25T02:18:56.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,16,7,2022-01-25T02:18:56Z,470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M03.00S,2022-01-25T02:18:58.3Z,1,REGULAR,substitution,out,[],202355,,,1610612756,16,7,2022-01-25T02:19:01Z,480000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M03.00S,2022-01-25T02:18:58.3Z,1,REGULAR,substitution,in,[],1628962,,,1610612756,16,7,2022-01-25T02:19:01Z,490000,,,0,,SUB in: U. Azubuike,[1628962],1610612762.0,UTA,,,,Azubuike,U. Azubuike,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M57.00S,2022-01-25T02:19:17.9Z,1,REGULAR,2pt,Jump Shot,[],1626164,22.158344283837057,49.26470588235294,1610612756,16,7,2022-01-25T02:19:28Z,500000,4.0,156.0,1,left,MISS D. Booker 15' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,15.58,Missed,,,,,,,,,,,,,,,,,,
53,PT06M56.00S,2022-01-25T02:19:18.9Z,1,REGULAR,rebound,offensive,[],201580,,,1610612756,16,7,2022-01-25T02:19:28Z,510000,,,0,,J. McGee REBOUND (Off:3 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,52.0,4.0,1.0,3.0,,,,,,,,,
54,PT06M55.00S,2022-01-25T02:19:24.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201580,6.1268068331143235,49.26470588235294,1610612756,18,7,2022-01-25T02:19:35Z,520000,4.0,5.0,1,left,J. McGee tip Layup (2 PTS),[201580],1610612756.0,PHX,tip,,,McGee,J. McGee,,,,,0.63,Made,2.0,,,,,,,,,,,,,,,,,
55,PT06M38.00S,2022-01-25T02:19:52.2Z,1,REGULAR,turnover,lost ball,[],203903,,,1610612762,18,7,2022-01-25T02:20:05Z,530000,,,0,,J. Clarkson lost ball TURNOVER (2 TO),"[203903, 1629661]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,2.0,Johnson,1629661.0,,,,,,
56,PT06M38.00S,2022-01-25T02:19:52.2Z,1,REGULAR,steal,,[],1629661,,,1610612756,18,7,2022-01-25T02:24:17Z,540000,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M33.00S,2022-01-25T02:20:00.6Z,1,REGULAR,foul,personal,[],203903,,,1610612756,18,7,2022-01-25T02:22:06Z,550000,,,0,,J. Clarkson take personal FOUL (1 PF),"[203903, 1629661]",1610612762.0,UTA,take,,,Clarkson,J. Clarkson,,,,,,,,,,,1155.0,,,,,,,,,,1.0,0.0,Johnson,1629661.0
59,PT06M23.00S,2022-01-25T02:20:09.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628969,25.837713534822605,32.1078431372549,1610612756,18,7,2022-01-25T02:49:09Z,570000,89.0,190.0,1,left,MISS M. Bridges 21' Jump Shot,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,21.04,Missed,,,,,,,,,,,,,,,,,,
60,PT06M20.00S,2022-01-25T02:20:12.9Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,18,7,2022-01-25T02:49:09Z,580000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,
61,PT06M10.00S,2022-01-25T02:20:25.0Z,1,REGULAR,foul,personal,[],101108,,,1610612762,18,7,2022-01-25T02:20:29Z,590000,,,0,,C. Paul personal FOUL (1 PF),"[101108, 1630235]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,201640.0,,,,,,,,,,1.0,0.0,Forrest,1630235.0
63,PT05M58.00S,2022-01-25T02:20:55.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628962,87.72996057818659,49.01960784313725,1610612762,18,7,2022-01-25T02:21:01Z,610000,-5.0,63.0,1,right,MISS U. Azubuike 6' Hook,[1628962],1610612762.0,UTA,,,,Azubuike,U. Azubuike,,,,,6.3,Missed,,,,,,,,,,,,,,,,,,
64,PT05M55.00S,2022-01-25T02:20:58.4Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,18,7,2022-01-25T02:21:01Z,620000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,
65,PT05M55.00S,2022-01-25T02:21:00.1Z,1,REGULAR,turnover,out-of-bounds,[],101108,,,1610612756,18,7,2022-01-25T02:21:17Z,630000,,,0,,C. Paul bad pass out-of-bounds TURNOVER (1 TO),[101108],1610612756.0,PHX,bad pass,,,Paul,C. Paul,,,,,,,,,,,201640.0,,,,,1.0,,,,,,,,
66,PT05M37.00S,2022-01-25T02:21:27.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203903,67.49342969776609,69.11764705882352,1610612762,18,7,2022-01-25T02:21:33Z,640000,96.0,253.0,1,right,MISS J. Clarkson 27' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,
67,PT05M33.00S,2022-01-25T02:21:31.7Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,18,7,2022-01-25T02:21:33Z,650000,,,0,,J. McGee REBOUND (Off:3 Def:2),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,66.0,5.0,2.0,3.0,,,,,,,,,
68,PT05M24.00S,2022-01-25T02:21:40.4Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,18,7,2022-01-25T02:22:00Z,660000,,,0,,C. Paul bad pass TURNOVER (2 TO),"[101108, 1630235]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,2.0,Forrest,1630235.0,,,,,,
69,PT05M24.00S,2022-01-25T02:21:40.4Z,1,REGULAR,steal,,[],1630235,,,1610612762,18,7,2022-01-25T02:21:42Z,670000,,,0,,T. Forrest STEAL (1 STL),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M19.00S,2022-01-25T02:21:44.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630235,92.59198423127464,47.05882352941176,1610612762,18,9,2022-01-25T02:26:02Z,680000,-15.0,17.0,1,right,T. Forrest running Layup (7 PTS),[1630235],1610612762.0,UTA,running,,,Forrest,T. Forrest,,,,,2.25,Made,7.0,,,,,,,,,,,,,,,,,
71,PT04M56.00S,2022-01-25T02:22:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,18.610381077529567,54.65686274509803,1610612756,20,9,2022-01-25T02:22:12Z,690000,-23.0,122.0,1,left,D. Booker 12' Jump Shot (8 PTS) (C. Paul 5 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,12.46,Made,8.0,C. Paul,101108.0,5.0,,,,,,,,,,,,,,
73,PT04M36.00S,2022-01-25T02:22:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627863,87.72996057818659,43.872549019607845,1610612762,20,9,2022-01-25T02:22:34Z,710000,-31.0,63.0,1,right,MISS D. House Jr. 6' Jump Shot - blocked,"[1627863, 201580]",1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,6.99,Missed,,,,,,,,,,,,,McGee,201580.0,,,,
74,PT04M36.00S,2022-01-25T02:22:27.7Z,1,REGULAR,block,,[],201580,,,1610612762,20,9,2022-01-25T02:22:31Z,720000,,,0,,J. McGee BLOCK (1 BLK),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M32.00S,2022-01-25T02:22:31.7Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,20,9,2022-01-25T02:27:09Z,730000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,
76,PT04M31.00S,2022-01-25T02:22:33.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,26.888961892247043,15.196078431372548,1610612756,20,9,2022-01-25T02:22:42Z,740000,174.0,200.0,1,left,MISS D. Booker 26' running pullup 3PT,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,26.53,Missed,,,,,,,,,,,,,,,,,,
77,PT04M28.00S,2022-01-25T02:22:36.5Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,20,9,2022-01-25T02:22:42Z,750000,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,
78,PT04M21.00S,2022-01-25T02:22:43.7Z,1,REGULAR,foul,personal,[],1628969,,,1610612762,20,9,2022-01-25T02:28:42Z,760000,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 203903]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,1627964.0,,,,,,,,,,1.0,0.0,Clarkson,203903.0
107,PT04M21.00S,2022-01-25T02:23:04.7Z,1,REGULAR,substitution,out,[],201580,,,1610612762,20,9,2022-01-25T02:25:10Z,775000,,,0,,SUB out: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M21.00S,2022-01-25T02:23:04.7Z,1,REGULAR,substitution,out,[],1628962,,,1610612762,20,9,2022-01-25T02:25:10Z,778750,,,0,,SUB out: U. Azubuike,[1628962],1610612762.0,UTA,,,,Azubuike,U. Azubuike,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M21.00S,2022-01-25T02:23:04.7Z,1,REGULAR,substitution,in,[],202687,,,1610612762,20,9,2022-01-25T02:25:10Z,779375,,,0,,SUB in: B. Biyombo,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M21.00S,2022-01-25T02:23:04.7Z,1,REGULAR,substitution,in,[],203901,,,1610612762,20,9,2022-01-25T02:25:10Z,779687,,,0,,SUB in: E. Payton,[203901],1610612756.0,PHX,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M21.00S,2022-01-25T02:23:04.7Z,1,REGULAR,substitution,in,[],1629672,,,1610612762,20,9,2022-01-25T02:25:10Z,779843,,,0,,SUB in: E. Paschall,[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,,,,,,,,,,,,,,,,,,,
145,PT04M21.00S,2022-01-25T02:23:04.7Z,1,REGULAR,substitution,out,[],101108,,,1610612762,20,9,2022-01-25T02:32:43Z,779960,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M13.00S,2022-01-25T02:23:25.8Z,1,REGULAR,3pt,Jump Shot,[],1629672,66.17936925098554,41.17647058823529,1610612762,20,12,2022-01-25T02:31:01Z,780000,-44.0,265.0,1,right,E. Paschall 26' 3PT  (3 PTS),[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,26.9,Made,3.0,,,,,,,,,,,,,,,,,
82,PT03M54.00S,2022-01-25T02:23:36.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,29.38567674113009,22.058823529411764,1610612756,20,12,2022-01-25T02:23:45Z,800000,140.0,224.0,1,left,MISS M. Bridges 26' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,
83,PT03M54.00S,2022-01-25T02:23:36.6Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612762,20,12,2022-01-25T02:23:45Z,810000,,,0,,D. House Jr. REBOUND (Off:0 Def:1),[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,
