actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
38,PT08M45.00S,2021-10-21T02:21:05.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203115,6.1268068331143235,50.73529411764706,1610612743,6,9,2021-10-21T02:21:09Z,380000,-4.0,5.0,1,left,W. Barton cutting DUNK (4 PTS) (A. Gordon 2 AST),"[203115, 203932]",1610612743.0,DEN,cutting,,,Barton,W. Barton,,,,,0.63,Made,4.0,A. Gordon,203932.0,2.0,,,,,,,,,,,,,,
40,PT08M30.00S,2021-10-21T02:21:19.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,94.69448094612353,50.0,1610612756,8,9,2021-10-21T02:21:33Z,400000,0.0,-3.0,1,right,D. Ayton cutting DUNK (6 PTS) (D. Booker 2 AST),"[1629028, 1626164]",1610612756.0,PHX,cutting,,,Ayton,D. Ayton,,,,,0.26,Made,6.0,D. Booker,1626164.0,2.0,,,,,,,,,,,,,,
42,PT08M08.00S,2021-10-21T02:21:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,5.732588699080158,50.98039215686274,1610612743,8,11,2021-10-21T02:21:47Z,420000,-5.0,1.0,1,left,N. Jokic reverse Layup (4 PTS),[203999],1610612743.0,DEN,reverse,,,Jokic,N. Jokic,,,,,0.51,Made,4.0,,,,,,,,,,,,,,,,,
43,PT08M01.00S,2021-10-21T02:21:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,93.38042049934296,48.28431372549019,1610612756,10,11,2021-10-21T02:21:58Z,430000,-9.0,10.0,1,right,M. Bridges cutting Layup (2 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,cutting,,,Bridges,M. Bridges,,,,,1.3,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
45,PT07M42.00S,2021-10-21T02:22:07.5Z,1,REGULAR,2pt,Jump Shot,[],1628420,23.603810775295663,73.77450980392157,1610612743,10,11,2021-10-21T02:22:10Z,450000,-119.0,169.0,1,left,MISS M. Morris 20' pullup Shot,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,20.7,Missed,,,,,,,,,,,,,,,,,,
46,PT07M39.00S,2021-10-21T02:22:10.5Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,10,11,2021-10-21T02:22:10Z,460000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,
47,PT07M28.00S,2021-10-21T02:22:24.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,91.93495400788436,44.11764705882353,1610612756,10,11,2021-10-21T02:25:36Z,462500,-29.0,23.0,1,right,MISS M. Bridges driving bank Shot,[1628969],1610612756.0,PHX,driving bank,,,Bridges,M. Bridges,,,,,3.75,Missed,,,,,,,,,,,,,,,,,,
48,PT07M27.00S,2021-10-21T02:22:25.6Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,10,11,2021-10-21T02:25:36Z,463750,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,47.0,1.0,0.0,1.0,,,,,,,
49,PT07M27.00S,2021-10-21T02:22:32.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628969,94.40999984741211,50.0,1610612756,10,11,2021-10-21T02:25:36Z,465000,0.0,0.0,1,right,MISS M. Bridges tip Layup,[1628969],1610612756.0,PHX,tip,,,Bridges,M. Bridges,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
50,PT07M26.00S,2021-10-21T02:22:33.1Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,10,11,2021-10-21T02:24:55Z,467500,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,49.0,2.0,1.0,1.0,,,,,,,
51,PT07M26.00S,2021-10-21T02:22:34.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629028,94.40999984741211,50.0,1610612756,12,11,2021-10-21T02:25:51Z,510000,0.0,0.0,1,right,D. Ayton tip Layup (8 PTS),[1629028],1610612756.0,PHX,tip,,,Ayton,D. Ayton,,,,,0.0,Made,8.0,,,,,,,,,,,,,,,,,
53,PT07M01.00S,2021-10-21T02:22:48.7Z,1,REGULAR,3pt,Jump Shot,[],203115,25.312089356110377,13.480392156862745,1610612743,12,11,2021-10-21T02:22:52Z,530000,183.0,185.0,1,left,MISS W. Barton 26' 3PT,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,
54,PT07M01.00S,2021-10-21T02:22:48.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,12,11,2021-10-21T02:22:52Z,540000,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,53.0,3.0,2.0,1.0,,,,,,,
55,PT06M51.00S,2021-10-21T02:22:58.1Z,1,REGULAR,3pt,Jump Shot,[],1629028,68.54467805519053,64.4607843137255,1610612756,12,11,2021-10-21T02:23:00Z,550000,72.0,243.0,1,right,MISS D. Ayton 25' 3PT,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,
56,PT06M49.00S,2021-10-21T02:23:00.1Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,12,11,2021-10-21T02:23:00Z,560000,,,0,,M. Morris REBOUND (Off:0 Def:2),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,
57,PT06M40.00S,2021-10-21T02:23:11.9Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,12,11,2021-10-21T02:23:18Z,570000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (2 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,,,,,,,2.0,,,,,,,1201.0,,,,,,
58,PT06M40.00S,2021-10-21T02:23:19.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,12,11,2021-10-21T02:23:19Z,580000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M31.00S,2021-10-21T02:27:11.2Z,1,REGULAR,turnover,bad pass,[],1629028,,,1610612756,12,11,2021-10-21T02:27:14Z,590000,,,0,,D. Ayton bad pass TURNOVER (1 TO),"[1629028, 1629008]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,1.0,Porter Jr.,1629008.0,,,,,,,,,,,
60,PT06M31.00S,2021-10-21T02:27:11.2Z,1,REGULAR,steal,,[],1629008,,,1610612743,12,11,2021-10-21T02:27:12Z,600000,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M24.00S,2021-10-21T02:27:19.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203932,6.652431011826544,52.94117647058824,1610612743,12,13,2021-10-21T02:27:22Z,610000,-15.0,10.0,1,left,A. Gordon driving bank Jump Shot (3 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,driving bank,,,Gordon,A. Gordon,,,,,1.78,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
63,PT06M01.00S,2021-10-21T02:27:41.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,87.07293035479631,95.58823529411765,1610612756,12,13,2021-10-21T02:27:45Z,630000,228.0,69.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,23.81,Missed,,,,,,,,,,,,,,,,,,
64,PT05M59.00S,2021-10-21T02:27:43.9Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,12,13,2021-10-21T02:27:45Z,640000,,,0,,D. Ayton REBOUND (Off:2 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,63.0,4.0,2.0,2.0,,,,,,,
65,PT05M57.00S,2021-10-21T02:27:46.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626164,64.60249671484888,45.83333333333333,1610612756,15,13,2021-10-21T02:27:49Z,650000,-21.0,280.0,1,right,D. Booker 28' 3PT  (3 PTS) (D. Ayton 1 AST),"[1626164, 1629028]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,28.1,Made,3.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,,,,
67,PT05M35.00S,2021-10-21T02:28:07.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,9.674770039421814,62.254901960784316,1610612743,15,15,2021-10-21T02:28:10Z,670000,-61.0,38.0,1,left,N. Jokic 7' Hook (6 PTS) (W. Barton 1 AST),"[203999, 203115]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,7.23,Made,6.0,W. Barton,203115.0,1.0,,,,,,,,,,,,,,
69,PT05M21.00S,2021-10-21T02:28:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,82.9993429697766,49.26470588235294,1610612756,15,15,2021-10-21T02:28:24Z,690000,-4.0,107.0,1,right,MISS D. Ayton 10' driving bank Shot,[1629028],1610612756.0,PHX,driving bank,,,Ayton,D. Ayton,,,,,10.74,Missed,,,,,,,,,,,,,,,,,,
70,PT05M19.00S,2021-10-21T02:28:23.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,15,15,2021-10-21T02:28:23Z,700000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,
71,PT05M15.00S,2021-10-21T02:28:27.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628420,7.703679369250986,95.58823529411765,1610612743,15,15,2021-10-21T02:28:34Z,710000,-228.0,20.0,1,left,MISS M. Morris running 3PT,[1628420],1610612743.0,DEN,running,,,Morris,M. Morris,,,,,22.88,Missed,,,,,,,,,,,,,,,,,,
72,PT05M13.00S,2021-10-21T02:28:29.5Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612743,15,15,2021-10-21T02:28:34Z,720000,,,0,,M. Porter Jr. REBOUND (Off:1 Def:0),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,71.0,1.0,0.0,1.0,,,,,,,
73,PT05M09.00S,2021-10-21T02:28:34.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203999,12.171484888304862,48.529411764705884,1610612743,15,17,2021-10-21T02:31:00Z,730000,7.0,62.0,1,left,N. Jokic 6' Hook (8 PTS) (M. Porter Jr. 2 AST),"[203999, 1629008]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,6.23,Made,8.0,M. Porter Jr.,1629008.0,2.0,,,,,,,,,,,,,,
75,PT04M47.00S,2021-10-21T02:28:55.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,81.8166885676741,25.49019607843137,1610612756,15,17,2021-10-21T02:46:41Z,740000,-123.0,118.0,1,right,MISS D. Booker 17' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,17.04,Missed,,,,,,,,,,,,,,,,,,
76,PT04M45.00S,2021-10-21T02:28:57.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,15,17,2021-10-21T02:29:05Z,750000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,
77,PT04M39.00S,2021-10-21T02:29:04.4Z,1,REGULAR,3pt,Jump Shot,[],203999,32.013797634691194,42.40196078431372,1610612743,15,17,2021-10-21T02:29:13Z,760000,38.0,248.0,1,left,MISS N. Jokic 25' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,25.13,Missed,,,,,,,,,,,,,,,,,,
78,PT04M39.00S,2021-10-21T02:29:04.4Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,15,17,2021-10-21T02:29:13Z,770000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,,
80,PT04M21.00S,2021-10-21T02:29:21.7Z,1,REGULAR,3pt,Jump Shot,[],203109,67.23061760840999,53.92156862745098,1610612756,15,17,2021-10-21T02:46:51Z,780000,20.0,256.0,1,right,MISS J. Crowder 25' pullup 3PT,[203109],1610612756.0,PHX,pullup,,,Crowder,J. Crowder,,,,,25.63,Missed,,,,,,,,,,,,,,,,,,
81,PT04M21.00S,2021-10-21T02:29:21.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,15,17,2021-10-21T02:29:26Z,790000,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,80.0,2.0,1.0,1.0,,,,,,,
82,PT04M14.00S,2021-10-21T02:29:28.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203932,7.5722733245729295,3.431372549019608,1610612743,15,20,2021-10-21T02:29:35Z,800000,233.0,19.0,1,left,A. Gordon 3PT  (6 PTS) (M. Porter Jr. 3 AST),"[203932, 1629008]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,23.35,Made,6.0,M. Porter Jr.,1629008.0,3.0,,,,,,,,,,,,,,
84,PT04M12.00S,2021-10-21T02:29:36.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,15,20,2021-10-21T02:29:36Z,820000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M12.00S,2021-10-21T02:31:51.9Z,1,REGULAR,substitution,out,[],1629028,,,1610612756,15,20,2021-10-21T02:32:50Z,830000,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M12.00S,2021-10-21T02:31:51.9Z,1,REGULAR,substitution,out,[],203109,,,1610612756,15,20,2021-10-21T02:32:50Z,840000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M12.00S,2021-10-21T02:31:51.9Z,1,REGULAR,substitution,out,[],101108,,,1610612756,15,20,2021-10-21T02:32:50Z,850000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M12.00S,2021-10-21T02:31:51.9Z,1,REGULAR,substitution,out,[],203115,,,1610612756,15,20,2021-10-21T02:32:50Z,860000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M12.00S,2021-10-21T02:31:51.9Z,1,REGULAR,substitution,out,[],1628420,,,1610612756,15,20,2021-10-21T02:32:50Z,870000,,,0,,SUB out: M. Morris,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M12.00S,2021-10-21T02:31:51.9Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,15,20,2021-10-21T02:32:50Z,880000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M12.00S,2021-10-21T02:31:51.9Z,1,REGULAR,substitution,in,[],201580,,,1610612756,15,20,2021-10-21T02:32:50Z,890000,,,0,,SUB in: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M12.00S,2021-10-21T02:31:51.9Z,1,REGULAR,substitution,in,[],1629661,,,1610612756,15,20,2021-10-21T02:32:50Z,900000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
