actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
22,PT09M38.00S,2021-11-20T03:19:15.6Z,1,REGULAR,2pt,Jump Shot,[],204001,11.908672798948752,71.07843137254902,1610612742,5,6,2021-11-20T03:19:19Z,220000,-105.0,59.0,1,left,MISS K. Porzingis 12' Jump Shot,[204001],1610612742.0,DAL,,,,,,,Porzingis,K. Porzingis,12.1,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M36.00S,2021-11-20T03:19:17.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,5,6,2021-11-20T03:19:19Z,230000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,,,,Bridges,M. Bridges,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT09M20.00S,2021-11-20T03:19:33.7Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612756,5,6,2021-11-20T03:19:38Z,240000,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 1628973]",1610612756.0,PHX,,,,,,,Bridges,M. Bridges,,,,,,,,,,,1.0,Brunson,1628973.0,,,,,,,,
25,PT09M20.00S,2021-11-20T03:19:33.7Z,1,REGULAR,steal,,[],1628973,,,1610612742,5,6,2021-11-20T03:19:39Z,250000,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612742.0,DAL,,,,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,
26,PT09M15.00S,2021-11-20T03:19:41.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628973,7.178055190538765,48.28431372549019,1610612742,5,8,2021-11-20T03:19:53Z,260000,9.0,15.0,1,left,J. Brunson running Layup (4 PTS),[1628973],1610612742.0,DAL,running,,,,,,Brunson,J. Brunson,1.73,Made,,,,,4.0,,,,,,,,,,,,,,
27,PT09M06.00S,2021-11-20T03:19:50.0Z,1,REGULAR,foul,personal,[],203501,,,1610612756,5,8,2021-11-20T03:19:56Z,270000,,,0,,T. Hardaway Jr. personal FOUL (1 PF),"[203501, 101108]",1610612742.0,DAL,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,201246.0,1.0,0.0,Paul,101108.0,,,
29,PT09M02.00S,2021-11-20T03:20:11.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,74.06373193166885,84.31372549019608,1610612756,5,8,2021-11-20T03:20:17Z,290000,172.0,191.0,1,right,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,,,,Booker,D. Booker,25.7,Missed,,,,,,,,,,,,,,,,,,,
30,PT08M58.00S,2021-11-20T03:20:15.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,5,8,2021-11-20T03:20:17Z,300000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612742.0,DAL,,,,,,,Porzingis,K. Porzingis,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT08M48.00S,2021-11-20T03:20:25.4Z,1,REGULAR,3pt,Jump Shot,[],204001,34.510512483574246,61.274509803921575,1610612742,5,11,2021-11-20T03:20:32Z,310000,-56.0,272.0,1,left,K. Porzingis 27' 3PT  (5 PTS) (J. Brunson 2 AST),"[204001, 1628973]",1610612742.0,DAL,,,,,,,Porzingis,K. Porzingis,27.77,Made,,,,,5.0,J. Brunson,1628973.0,2.0,,,,,,,,,,,
33,PT08M37.00S,2021-11-20T03:20:37.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,86.15308804204993,48.03921568627451,1610612756,7,11,2021-11-20T03:20:41Z,330000,-10.0,78.0,1,right,D. Booker 7' driving floating Jump Shot (2 PTS),[1626164],1610612756.0,PHX,driving floating,,,,,,Booker,D. Booker,7.83,Made,,,,,2.0,,,,,,,,,,,,,,
34,PT08M24.00S,2021-11-20T03:20:50.9Z,1,REGULAR,3pt,Jump Shot,[],203501,23.603810775295663,6.862745098039216,1610612742,7,11,2021-11-20T03:20:54Z,340000,216.0,169.0,1,left,MISS T. Hardaway Jr. 27' 3PT,[203501],1610612742.0,DAL,,,,,,,Hardaway Jr.,T. Hardaway Jr.,27.43,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M20.00S,2021-11-20T03:20:54.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,7,11,2021-11-20T03:20:54Z,350000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,,,,Ayton,D. Ayton,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
36,PT08M14.00S,2021-11-20T03:21:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,88.64980289093299,62.5,1610612756,9,11,2021-11-20T03:21:12Z,360000,62.0,54.0,1,right,C. Paul 8' fadeaway Jump Shot (2 PTS),[101108],1610612756.0,PHX,fadeaway,,,,,,Paul,C. Paul,8.27,Made,,,,,2.0,,,,,,,,,,,,,,
38,PT07M58.00S,2021-11-20T03:21:19.1Z,1,REGULAR,foul,personal,[],1626164,,,1610612742,9,11,2021-11-20T03:21:28Z,370000,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 1628973]",1610612756.0,PHX,,,,,,,Booker,D. Booker,,,,,,,,,,,,,,201246.0,1.0,0.0,Brunson,1628973.0,,,
40,PT07M49.00S,2021-11-20T03:21:47.0Z,1,REGULAR,2pt,Jump Shot,[],1628973,22.28975032851511,75.49019607843137,1610612742,9,11,2021-11-20T03:21:52Z,390000,-127.0,157.0,1,left,MISS J. Brunson 20' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,,,,Brunson,J. Brunson,20.23,Missed,,,,,,,,,,,,,,,,,,,
41,PT07M45.00S,2021-11-20T03:21:51.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,9,11,2021-11-20T03:21:52Z,400000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,,,,Bridges,M. Bridges,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
42,PT07M34.00S,2021-11-20T03:22:01.3Z,1,REGULAR,3pt,Jump Shot,[],203109,78.40013140604468,87.74509803921569,1610612756,9,11,2021-11-20T03:22:05Z,410000,189.0,151.0,1,right,MISS J. Crowder 24' 3PT,[203109],1610612756.0,PHX,,,,,,,Crowder,J. Crowder,24.14,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M30.00S,2021-11-20T03:22:05.3Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,9,11,2021-11-20T03:22:05Z,420000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,,,,Powell,D. Powell,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT07M26.00S,2021-11-20T03:22:10.0Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612742,9,11,2021-11-20T03:22:15Z,430000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 203109]",1610612742.0,DAL,,,,,,,Brunson,J. Brunson,,,,,,,,,,,1.0,Crowder,203109.0,,,,,,,,
45,PT07M26.00S,2021-11-20T03:22:10.0Z,1,REGULAR,steal,,[],203109,,,1610612756,9,11,2021-11-20T03:22:15Z,440000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,
46,PT07M24.00S,2021-11-20T03:22:16.3Z,1,REGULAR,foul,personal,[],1628973,,,1610612756,9,11,2021-11-20T03:23:03Z,450000,,,0,,J. Brunson personal FOUL (1 PF),"[1628973, 1628969]",1610612742.0,DAL,,,,,,,Brunson,J. Brunson,,,,,,,,,,,,,,201246.0,1.0,0.0,Bridges,1628969.0,,,
48,PT07M13.00S,2021-11-20T03:22:46.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629028,91.93495400788436,49.26470588235294,1610612756,11,11,2021-11-20T03:22:50Z,470000,-4.0,23.0,1,right,D. Ayton cutting DUNK (2 PTS) (C. Paul 2 AST),"[1629028, 101108]",1610612756.0,PHX,cutting,,,,,,Ayton,D. Ayton,2.36,Made,,,,,2.0,C. Paul,101108.0,2.0,,,,,,,,,,,
50,PT06M55.00S,2021-11-20T03:23:04.2Z,1,REGULAR,3pt,Jump Shot,[],204001,26.231931668856767,8.57843137254902,1610612742,11,14,2021-11-20T03:23:08Z,490000,207.0,194.0,1,left,K. Porzingis 28' 3PT  (8 PTS) (J. Brunson 3 AST),"[204001, 1628973]",1610612742.0,DAL,,,,,,,Porzingis,K. Porzingis,28.38,Made,,,,,8.0,J. Brunson,1628973.0,3.0,,,,,,,,,,,
52,PT06M46.00S,2021-11-20T03:23:13.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,92.19776609724047,50.73529411764706,1610612756,13,14,2021-11-20T03:23:18Z,510000,4.0,21.0,1,right,M. Bridges cutting finger roll Layup (7 PTS) (C. Paul 3 AST),"[1628969, 101108]",1610612756.0,PHX,cutting finger roll,,,,,,Bridges,M. Bridges,2.11,Made,,,,,7.0,C. Paul,101108.0,3.0,,,,,,,,,,,
54,PT06M37.00S,2021-11-20T03:23:23.2Z,1,REGULAR,3pt,Jump Shot,[],204001,30.56833114323259,73.0392156862745,1610612742,13,14,2021-11-20T03:23:27Z,530000,-115.0,235.0,1,left,MISS K. Porzingis 26' 3PT,[204001],1610612742.0,DAL,,,,,,,Porzingis,K. Porzingis,26.15,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M34.00S,2021-11-20T03:23:26.2Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,13,14,2021-11-20T03:23:27Z,540000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,,,,Paul,C. Paul,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
56,PT06M18.00S,2021-11-20T03:23:41.3Z,1,REGULAR,3pt,Jump Shot,[],1628969,89.70105124835742,96.32352941176471,1610612756,16,14,2021-11-20T03:23:44Z,550000,232.0,44.0,1,right,M. Bridges 3PT  (10 PTS) (D. Ayton 1 AST),"[1628969, 1629028]",1610612756.0,PHX,,,,,,,Bridges,M. Bridges,23.58,Made,,,,,10.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,
58,PT06M18.00S,2021-11-20T03:23:47.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,16,14,2021-11-20T03:23:47Z,570000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M18.00S,2021-11-20T03:25:05.5Z,1,REGULAR,substitution,out,[],204001,,,1610612742,16,14,2021-11-20T03:26:32Z,580000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,
60,PT06M18.00S,2021-11-20T03:25:05.5Z,1,REGULAR,substitution,out,[],1628973,,,1610612742,16,14,2021-11-20T03:26:32Z,590000,,,0,,SUB out: J. Brunson,[1628973],1610612742.0,DAL,,,,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,
61,PT06M18.00S,2021-11-20T03:25:05.5Z,1,REGULAR,substitution,in,[],203493,,,1610612742,16,14,2021-11-20T03:26:32Z,600000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,
62,PT06M18.00S,2021-11-20T03:25:05.5Z,1,REGULAR,substitution,in,[],1628373,,,1610612742,16,14,2021-11-20T03:26:32Z,610000,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,,,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,
63,PT06M04.00S,2021-11-20T03:27:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627827,9.674770039421814,47.05882352941176,1610612742,16,14,2021-11-20T03:28:13Z,620000,15.0,38.0,1,left,MISS D. Finney-Smith cutting Layup,[1627827],1610612742.0,DAL,cutting,,,,,,Finney-Smith,D. Finney-Smith,4.11,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M01.00S,2021-11-20T03:27:27.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,16,14,2021-11-20T03:27:29Z,630000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,,,,Ayton,D. Ayton,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
65,PT05M51.00S,2021-11-20T03:27:37.6Z,1,REGULAR,3pt,Jump Shot,[],101108,94.69448094612353,0.0,1610612756,16,14,2021-11-20T03:27:42Z,640000,-250.0,-3.0,1,right,MISS C. Paul 25' 3PT,[101108],1610612756.0,PHX,,,,,,,Paul,C. Paul,25.0,Missed,,,,,,,,,,,,,,,,,,,
66,PT05M47.00S,2021-11-20T03:27:41.6Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,16,14,2021-11-20T03:27:42Z,650000,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,,,,Bullock,R. Bullock,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
67,PT05M37.00S,2021-11-20T03:27:50.9Z,1,REGULAR,3pt,Jump Shot,[],1627827,9.674770039421814,1.2254901960784315,1610612742,16,14,2021-11-20T03:27:54Z,660000,244.0,38.0,1,left,MISS D. Finney-Smith 24' 3PT,[1627827],1610612742.0,DAL,,,,,,,Finney-Smith,D. Finney-Smith,24.69,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M35.00S,2021-11-20T03:27:52.9Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,16,14,2021-11-20T03:27:54Z,670000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,,,,Crowder,J. Crowder,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
69,PT05M23.00S,2021-11-20T03:28:05.6Z,1,REGULAR,2pt,Jump Shot,[],1626164,86.5473061760841,15.441176470588236,1610612756,18,14,2021-11-20T03:29:15Z,680000,-173.0,74.0,1,right,D. Booker 18' step back Jump Shot (4 PTS),[1626164],1610612756.0,PHX,step back,,,,,,Booker,D. Booker,18.8,Made,,,,,4.0,,,,,,,,,,,,,,
70,PT05M07.00S,2021-11-20T03:28:24.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,18,14,2021-11-20T03:28:24Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M07.00S,2021-11-20T03:28:27.0Z,1,REGULAR,substitution,out,[],101108,,,1610612742,18,14,2021-11-20T03:28:37Z,700000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,
72,PT05M07.00S,2021-11-20T03:28:27.0Z,1,REGULAR,substitution,out,[],203109,,,1610612742,18,14,2021-11-20T03:28:37Z,710000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,,,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,
73,PT05M07.00S,2021-11-20T03:28:27.0Z,1,REGULAR,substitution,out,[],203939,,,1610612742,18,14,2021-11-20T03:28:37Z,720000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,
74,PT05M07.00S,2021-11-20T03:28:27.0Z,1,REGULAR,substitution,in,[],1629661,,,1610612742,18,14,2021-11-20T03:28:37Z,730000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,
75,PT05M07.00S,2021-11-20T03:28:27.0Z,1,REGULAR,substitution,in,[],1626166,,,1610612742,18,14,2021-11-20T03:28:37Z,740000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,
76,PT05M07.00S,2021-11-20T03:28:27.0Z,1,REGULAR,substitution,in,[],1626161,,,1610612742,18,14,2021-11-20T03:28:37Z,750000,,,0,,SUB in: W. Cauley-Stein,[1626161],1610612742.0,DAL,,,,,,,Cauley-Stein,W. Cauley-Stein,,,,,,,,,,,,,,,,,,,,,
89,PT05M07.00S,2021-11-20T03:28:27.0Z,1,REGULAR,substitution,out,[],1628969,,,1610612742,18,14,2021-11-20T03:30:11Z,760000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,
90,PT05M07.00S,2021-11-20T03:28:27.0Z,1,REGULAR,substitution,in,[],1629013,,,1610612742,18,14,2021-11-20T03:30:11Z,765000,,,0,,SUB in: L. Shamet,[1629013],1610612756.0,PHX,,,,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,
78,PT05M03.00S,2021-11-20T03:28:55.6Z,1,REGULAR,2pt,Jump Shot,[],203501,7.30946123521682,78.67647058823529,1610612742,18,14,2021-11-20T03:28:59Z,770000,-143.0,16.0,1,left,MISS T. Hardaway Jr. 14' Jump Shot,[203501],1610612742.0,DAL,,,,,,,Hardaway Jr.,T. Hardaway Jr.,14.43,Missed,,,,,,,,,,,,,,,,,,,
79,PT05M00.00S,2021-11-20T03:28:58.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,18,14,2021-11-20T03:28:59Z,780000,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,,,,Ayton,D. Ayton,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
80,PT04M42.00S,2021-11-20T03:29:16.0Z,1,REGULAR,3pt,Jump Shot,[],1629661,89.96386333771353,97.79411764705883,1610612756,18,14,2021-11-20T03:29:19Z,790000,239.0,42.0,1,right,MISS C. Johnson 24' 3PT,[1629661],1610612756.0,PHX,,,,,,,Johnson,C. Johnson,24.26,Missed,,,,,,,,,,,,,,,,,,,
81,PT04M38.00S,2021-11-20T03:29:20.0Z,1,REGULAR,rebound,defensive,[],1628373,,,1610612742,18,14,2021-11-20T03:29:19Z,800000,,,0,,F. Ntilikina REBOUND (Off:0 Def:1),[1628373],1610612742.0,DAL,,,,,,,Ntilikina,F. Ntilikina,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
82,PT04M33.00S,2021-11-20T03:29:24.7Z,1,REGULAR,3pt,Jump Shot,[],1627827,31.750985545335087,61.51960784313726,1610612742,18,17,2021-11-20T03:29:29Z,810000,-58.0,246.0,1,left,D. Finney-Smith 25' 3PT  (3 PTS) (W. Cauley-Stein 1 AST),"[1627827, 1626161]",1610612742.0,DAL,,,,,,,Finney-Smith,D. Finney-Smith,25.27,Made,,,,,3.0,W. Cauley-Stein,1626161.0,1.0,,,,,,,,,,,
84,PT04M19.00S,2021-11-20T03:29:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626166,94.1688567674113,48.529411764705884,1610612756,18,17,2021-11-20T03:29:42Z,830000,-7.0,2.0,1,right,MISS C. Payne driving Layup,[1626166],1610612756.0,PHX,driving,,,,,,Payne,C. Payne,0.77,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M17.00S,2021-11-20T03:29:40.8Z,1,REGULAR,rebound,defensive,[],1626161,,,1610612742,18,17,2021-11-20T03:29:42Z,840000,,,0,,W. Cauley-Stein REBOUND (Off:0 Def:1),[1626161],1610612742.0,DAL,,,,,,,Cauley-Stein,W. Cauley-Stein,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
86,PT04M12.00S,2021-11-20T03:29:46.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203501,8.623521681997373,46.568627450980394,1610612742,18,17,2021-11-20T03:29:52Z,850000,17.0,29.0,1,left,MISS T. Hardaway Jr. driving Layup,[203501],1610612742.0,DAL,driving,,,,,,Hardaway Jr.,T. Hardaway Jr.,3.34,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M09.00S,2021-11-20T03:29:49.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,18,17,2021-11-20T03:29:52Z,860000,,,0,,D. Ayton REBOUND (Off:0 Def:4),[1629028],1610612756.0,PHX,,,,,,,Ayton,D. Ayton,,,86.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
88,PT03M59.00S,2021-11-20T03:30:02.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,18,17,2021-11-20T03:30:02Z,870000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M59.00S,2021-11-20T03:30:14.6Z,1,REGULAR,substitution,out,[],1629028,,,1610612756,18,17,2021-11-20T03:30:19Z,880000,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,,,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,
92,PT03M59.00S,2021-11-20T03:30:14.6Z,1,REGULAR,substitution,in,[],201580,,,1610612756,18,17,2021-11-20T03:30:19Z,890000,,,0,,SUB in: J. McGee,[201580],1610612756.0,PHX,,,,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,
97,PT03M59.00S,2021-11-20T03:30:34.6Z,1,REGULAR,turnover,backcourt,[],201580,,,1610612756,18,17,2021-11-20T03:31:11Z,900000,,,0,,J. McGee backcourt TURNOVER (1 TO),[201580],1610612756.0,PHX,,,,,,,McGee,J. McGee,,,,,,,,,,,1.0,,,1662.0,,,,,,,
