actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
19,PT10M46.00S,2021-12-20T01:12:42.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,6,3,2021-12-20T01:12:42Z,190000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,
20,PT10M46.00S,2021-12-20T01:12:53.8Z,1,REGULAR,freethrow,2 of 2,[],1629028,,,1610612756,7,3,2021-12-20T01:12:53Z,200000,,,0,,D. Ayton Free Throw 2 of 2 (1 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
21,PT10M24.00S,2021-12-20T01:13:17.5Z,1,REGULAR,3pt,Jump Shot,[],1626179,12.302890932982917,97.30392156862744,1610612766,7,3,2021-12-20T01:13:47Z,210000,-237.0,63.0,1,left,MISS T. Rozier 24' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,24.48,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M21.00S,2021-12-20T01:13:20.5Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,7,3,2021-12-20T01:13:21Z,220000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,21.0,1.0,0.0,1.0,,,,,,,,,
23,PT10M18.00S,2021-12-20T01:13:23.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,8.754927726675426,2.696078431372549,1610612766,7,3,2021-12-20T01:13:28Z,230000,237.0,30.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,23.84,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M14.00S,2021-12-20T01:13:27.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,7,3,2021-12-20T01:13:28Z,240000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M01.00S,2021-12-20T01:13:40.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,82.47371879106439,76.9607843137255,1610612756,7,3,2021-12-20T01:13:44Z,250000,135.0,112.0,1,right,MISS D. Booker 17' Jump Shot,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,17.54,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M58.00S,2021-12-20T01:13:43.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,7,3,2021-12-20T01:13:44Z,260000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,
27,PT09M48.00S,2021-12-20T01:13:52.5Z,1,REGULAR,3pt,Jump Shot,[],1630163,5.732588699080158,95.34313725490196,1610612766,7,3,2021-12-20T01:13:56Z,270000,-227.0,1.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M47.00S,2021-12-20T01:13:53.5Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,7,3,2021-12-20T01:13:56Z,280000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,
29,PT09M47.00S,2021-12-20T01:13:57.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,7,3,2021-12-20T01:13:57Z,290000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M39.00S,2021-12-20T01:14:08.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,88.25558475689881,2.941176470588235,1610612756,7,3,2021-12-20T01:14:12Z,300000,-235.0,58.0,1,right,MISS D. Booker 24' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,24.23,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M37.00S,2021-12-20T01:14:10.6Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,7,3,2021-12-20T01:14:12Z,310000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,30.0,3.0,2.0,1.0,,,,,,,,,
32,PT09M30.00S,2021-12-20T01:14:17.7Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,7,3,2021-12-20T01:14:20Z,320000,,,0,,L. Ball bad pass TURNOVER (2 TO),"[1630163, 1626164]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,2.0,,,,,,,,,Booker,1626164.0,,,
33,PT09M30.00S,2021-12-20T01:14:17.7Z,1,REGULAR,steal,,[],1626164,,,1610612756,7,3,2021-12-20T01:14:19Z,330000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M24.00S,2021-12-20T01:14:26.2Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612756,7,3,2021-12-20T01:14:34Z,340000,,,0,,L. Ball shooting personal FOUL (1 PF) (Ayton 2 FT),"[1630163, 1629028]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,,,,,,,1662.0,,,,,,1.0,0.0,Ayton,1629028.0,,,,,
36,PT09M24.00S,2021-12-20T01:14:55.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629028,,,1610612756,8,3,2021-12-20T01:14:55Z,360000,,,0,,D. Ayton Free Throw 1 of 2 (2 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
37,PT09M24.00S,2021-12-20T01:15:09.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629028,,,1610612756,9,3,2021-12-20T01:15:09Z,370000,,,0,,D. Ayton Free Throw 2 of 2 (3 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
38,PT09M03.00S,2021-12-20T01:15:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,12.565703022339028,55.88235294117647,1610612766,9,3,2021-12-20T01:15:37Z,380000,-29.0,66.0,1,left,MISS M. Bridges 7' driving Layup - blocked,"[1628970, 203109]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,7.19,Missed,,,,,,,,,,,,,,,,,Crowder,203109.0,
39,PT09M03.00S,2021-12-20T01:15:34.1Z,1,REGULAR,block,,[],203109,,,1610612766,9,3,2021-12-20T01:16:37Z,390000,,,0,,J. Crowder BLOCK (1 BLK),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M03.00S,2021-12-20T01:15:34.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,9,3,2021-12-20T01:15:37Z,400000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,
54,PT09M03.00S,2021-12-20T01:15:42.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,9,3,2021-12-20T01:17:16Z,405000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M01.00S,2021-12-20T01:15:50.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202330,7.30946123521682,79.41176470588235,1610612766,9,3,2021-12-20T01:15:54Z,410000,-147.0,16.0,1,left,MISS G. Hayward 14' fadeaway Shot,[202330],1610612766.0,CHA,fadeaway,,,Hayward,G. Hayward,,,,,14.8,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M59.00S,2021-12-20T01:15:52.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,9,3,2021-12-20T01:15:54Z,420000,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,41.0,3.0,3.0,0.0,,,,,,,,,
43,PT08M44.00S,2021-12-20T01:16:07.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,66.70499342969777,41.42156862745098,1610612756,9,3,2021-12-20T01:16:11Z,430000,-43.0,260.0,1,right,MISS M. Bridges 26' 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,26.4,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M41.00S,2021-12-20T01:16:10.6Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,9,3,2021-12-20T01:16:11Z,440000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,
45,PT08M35.00S,2021-12-20T01:16:16.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,16.90210249671485,5.637254901960785,1610612766,9,3,2021-12-20T01:17:18Z,450000,222.0,106.0,1,left,MISS L. Ball 24' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M33.00S,2021-12-20T01:16:18.6Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,9,3,2021-12-20T01:16:21Z,460000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,
47,PT08M27.00S,2021-12-20T01:16:24.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203109,89.43823915900131,55.392156862745104,1610612756,11,3,2021-12-20T01:16:28Z,470000,27.0,47.0,1,right,J. Crowder running Layup (5 PTS) (M. Bridges 2 AST),"[203109, 1628969]",1610612756.0,PHX,running,,,Crowder,J. Crowder,,,,,5.4,Made,5.0,M. Bridges,1628969.0,2.0,,,,,,,,,,,,,,,
49,PT08M15.00S,2021-12-20T01:16:36.1Z,1,REGULAR,3pt,Jump Shot,[],202330,27.283180026281208,81.61764705882352,1610612766,11,3,2021-12-20T01:16:41Z,490000,-158.0,204.0,1,left,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M13.00S,2021-12-20T01:16:38.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,11,3,2021-12-20T01:16:41Z,500000,,,0,,D. Ayton REBOUND (Off:0 Def:4),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,49.0,4.0,4.0,0.0,,,,,,,,,
51,PT08M00.00S,2021-12-20T01:16:51.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,81.553876478318,20.098039215686274,1610612756,11,3,2021-12-20T01:16:54Z,510000,-150.0,121.0,1,right,MISS D. Booker 19' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,19.23,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M58.00S,2021-12-20T01:16:53.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,11,3,2021-12-20T01:16:54Z,520000,,,0,,M. Plumlee REBOUND (Off:1 Def:3),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,51.0,4.0,3.0,1.0,,,,,,,,,
53,PT07M52.00S,2021-12-20T01:17:04.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,11,3,2021-12-20T01:17:04Z,530000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M52.00S,2021-12-20T01:19:27.5Z,1,REGULAR,substitution,out,[],203486,,,1610612766,11,3,2021-12-20T01:19:45Z,540000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M52.00S,2021-12-20T01:19:27.5Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,11,3,2021-12-20T01:19:45Z,550000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M47.00S,2021-12-20T01:20:08.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,8.492115637319317,53.18627450980392,1610612766,11,5,2021-12-20T01:20:11Z,560000,-16.0,27.0,1,left,M. Bridges cutting DUNK (2 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,cutting,,,Bridges,M. Bridges,,,,,3.16,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,,
59,PT07M24.00S,2021-12-20T01:20:30.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,84.57621550591328,55.88235294117647,1610612756,13,5,2021-12-20T01:21:14Z,580000,29.0,92.0,1,right,M. Bridges 9' floating Jump Shot (5 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,floating,,,Bridges,M. Bridges,,,,,9.71,Made,5.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,,
61,PT07M12.00S,2021-12-20T01:20:42.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,32.802233902759525,46.568627450980394,1610612766,13,5,2021-12-20T01:20:46Z,600000,17.0,256.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.64,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M10.00S,2021-12-20T01:20:44.0Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,13,5,2021-12-20T01:20:46Z,610000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,
63,PT07M06.00S,2021-12-20T01:20:49.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,75.90341655716163,87.5,1610612756,16,5,2021-12-20T01:20:52Z,620000,188.0,174.0,1,right,M. Bridges 25' 3PT running (8 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,25.58,Made,8.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,,
65,PT06M48.00S,2021-12-20T01:21:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,14.668199737187912,51.9607843137255,1610612766,16,7,2021-12-20T01:21:09Z,640000,-10.0,85.0,1,left,T. Rozier 8' driving floating Jump Shot (2 PTS) (G. Hayward 1 AST),"[1626179, 202330]",1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,8.6,Made,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,,
67,PT06M35.00S,2021-12-20T01:21:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,90.62089356110381,48.529411764705884,1610612756,18,7,2021-12-20T01:21:28Z,660000,-7.0,36.0,1,right,D. Ayton Layup (5 PTS) (C. Paul 2 AST),"[1629028, 101108]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,3.65,Made,5.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,,
69,PT06M29.00S,2021-12-20T01:21:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,11.383048620236531,49.754901960784316,1610612766,18,7,2021-12-20T01:21:32Z,680000,1.0,55.0,1,left,MISS T. Rozier driving Layup - blocked,"[1626179, 1629028]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,5.45,Missed,,,,,,,,,,,,,,,,,Ayton,1629028.0,
70,PT06M29.00S,2021-12-20T01:21:26.5Z,1,REGULAR,block,,[],1629028,,,1610612766,18,7,2021-12-20T01:21:29Z,690000,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M29.00S,2021-12-20T01:21:26.5Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,18,7,2021-12-20T01:21:32Z,700000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,
72,PT06M21.00S,2021-12-20T01:21:34.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626164,92.06636005256242,57.35294117647059,1610612756,20,7,2021-12-20T01:21:37Z,710000,37.0,22.0,1,right,D. Booker running Layup (2 PTS),[1626164],1610612756.0,PHX,running,,,Booker,D. Booker,,,,,4.29,Made,2.0,,,,,,,,,,,,,,,,,,
73,PT06M06.00S,2021-12-20T01:21:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,7.966491458607096,48.28431372549019,1610612766,20,9,2021-12-20T01:21:52Z,720000,9.0,22.0,1,left,G. Hayward cutting Layup (5 PTS) (P. Washington 1 AST),"[202330, 1629023]",1610612766.0,CHA,cutting,,,Hayward,G. Hayward,,,,,2.4,Made,5.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,,
75,PT05M53.00S,2021-12-20T01:22:01.7Z,1,REGULAR,2pt,Jump Shot,[],101108,85.62746386333771,67.8921568627451,1610612756,20,9,2021-12-20T01:25:47Z,740000,89.0,83.0,1,right,MISS C. Paul 12' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,12.18,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M51.00S,2021-12-20T01:22:03.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,20,9,2021-12-20T01:22:04Z,750000,,,0,,L. Ball REBOUND (Off:1 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,75.0,2.0,1.0,1.0,,,,,,,,,
77,PT05M50.00S,2021-12-20T01:22:08.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202330,7.835085413929041,42.64705882352941,1610612766,20,9,2021-12-20T01:23:44Z,760000,37.0,21.0,1,left,MISS G. Hayward running Layup,[202330],1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,4.24,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M49.00S,2021-12-20T01:22:09.2Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,20,9,2021-12-20T01:23:44Z,770000,,,0,,L. Ball REBOUND (Off:2 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,77.0,3.0,1.0,2.0,,,,,,,,,
88,PT05M48.00S,2021-12-20T01:22:09.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630163,7.884362680683312,48.79748774509804,1610612766,20,9,2021-12-20T01:24:00Z,775000,6.0,22.0,1,left,MISS L. Ball tip Layup,[1630163],1610612766.0,CHA,tip,,,Ball,L. Ball,,,,,2.24,Missed,,,,,,,,,,,,,,,,,,,
89,PT05M47.00S,2021-12-20T01:22:10.5Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,20,9,2021-12-20T01:24:23Z,777500,,,0,,L. Ball REBOUND (Off:3 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,88.0,4.0,1.0,3.0,,,,,,,,,
79,PT05M47.00S,2021-12-20T01:22:10.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630163,8.229303547963205,54.90196078431373,1610612766,20,9,2021-12-20T01:24:11Z,780000,-25.0,25.0,1,left,MISS L. Ball putback Layup,[1630163],1610612766.0,CHA,putback,,,Ball,L. Ball,,,,,3.49,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M45.00S,2021-12-20T01:22:12.9Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,20,9,2021-12-20T01:24:11Z,790000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,
81,PT05M42.00S,2021-12-20T01:22:19.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629028,91.27792378449409,52.94117647058824,1610612756,22,9,2021-12-20T01:27:40Z,800000,15.0,29.0,1,right,D. Ayton running DUNK (7 PTS) (C. Paul 3 AST),"[1629028, 101108]",1610612756.0,PHX,running,,,Ayton,D. Ayton,,,,,3.3,Made,7.0,C. Paul,101108.0,3.0,,,,,,,,,,,,,,,
83,PT05M26.00S,2021-12-20T01:22:29.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,23.603810775295663,12.5,1610612766,22,9,2021-12-20T01:22:33Z,820000,188.0,169.0,1,left,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M23.00S,2021-12-20T01:22:32.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,22,9,2021-12-20T01:22:33Z,830000,,,0,,D. Ayton REBOUND (Off:0 Def:5),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,83.0,5.0,5.0,0.0,,,,,,,,,
85,PT05M14.00S,2021-12-20T01:22:41.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626164,92.59198423127464,56.61764705882353,1610612756,24,9,2021-12-20T01:23:08Z,840000,33.0,17.0,1,right,D. Booker cutting DUNK (4 PTS) (C. Paul 4 AST),"[1626164, 101108]",1610612756.0,PHX,cutting,,,Booker,D. Booker,,,,,3.73,Made,4.0,C. Paul,101108.0,4.0,,,,,,,,,,,,,,,
87,PT05M14.00S,2021-12-20T01:22:47.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,24,9,2021-12-20T01:22:47Z,860000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M14.00S,2021-12-20T01:24:57.1Z,1,REGULAR,substitution,out,[],101108,,,1610612766,24,9,2021-12-20T01:25:24Z,870000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
