actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
54,PT07M30.00S,2022-02-16T03:09:19.0Z,1,REGULAR,3pt,Jump Shot,[],201587,73.53810775295663,18.38235294117647,1610612746,7,13,2022-02-16T03:09:22Z,530000,-158.0,196.0,1,right,MISS N. Batum 25' 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,
55,PT07M28.00S,2022-02-16T03:09:21.0Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,7,13,2022-02-16T03:09:22Z,540000,,,0,,J. Crowder REBOUND (Off:1 Def:1),[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,,
56,PT07M26.00S,2022-02-16T03:09:26.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",1626164,5.601182654402102,50.0,1610612756,9,13,2022-02-16T03:09:38Z,550000,0.0,0.0,1,left,D. Booker running Layup (4 PTS) (C. Paul 3 AST),"[1626164, 101108]",1610612756.0,PHX,running,,,Booker,D. Booker,,,,,0.02,Made,,,,,,,4.0,C. Paul,101108.0,3.0,,,,,,,,
58,PT07M26.00S,2022-02-16T03:09:30.0Z,1,REGULAR,violation,defensive goaltending,[],201587,,,1610612756,9,13,2022-02-16T03:09:40Z,570000,,,0,,N. Batum defensive goaltending VIOLATION,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,2003.0,,,,,,,,,,,,,
75,PT07M10.00S,2022-02-16T03:09:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,89.17542706964521,47.05882352941176,1610612746,9,13,2022-02-16T03:14:32Z,575000,-15.0,49.0,1,right,MISS R. Jackson driving floating Shot,[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,5.14,Missed,,,,,,,,,,,,,,,,,,
76,PT07M09.00S,2022-02-16T03:09:44.0Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,9,13,2022-02-16T03:14:32Z,577500,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,75.0,3.0,2.0,1.0,,,,,,,,,,,,,,
59,PT07M09.00S,2022-02-16T03:09:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,88.78120893561103,53.92156862745098,1610612746,9,15,2022-02-16T03:13:12Z,580000,20.0,53.0,1,right,I. Zubac tip Layup (7 PTS),[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,5.65,Made,,,,,,,7.0,,,,,,,,,,,
61,PT06M46.00S,2022-02-16T03:10:18.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,7.5722733245729295,95.09803921568627,1610612756,9,15,2022-02-16T03:10:23Z,600000,-225.0,19.0,1,left,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,22.63,Missed,,,,,,,,,,,,,,,,,,
62,PT06M45.00S,2022-02-16T03:10:19.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,9,15,2022-02-16T03:10:23Z,610000,,,0,,I. Zubac REBOUND (Off:1 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,61.0,4.0,3.0,1.0,,,,,,,,,,,,,,
63,PT06M32.00S,2022-02-16T03:10:33.2Z,1,REGULAR,turnover,bad pass,[],1629599,,,1610612746,9,15,2022-02-16T03:10:37Z,620000,,,0,,A. Coffey bad pass TURNOVER (1 TO),"[1629599, 101108]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,1.0,,,,,,,,,,,Paul,101108.0
