actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
22,PT10M26.00S,2023-01-05T01:12:57.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,5,1,2023-01-05T01:12:58Z,220000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,20.0,,,1.0,1.0,0.0,,,,,,
23,PT10M22.00S,2023-01-05T01:12:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630578,9.411957950065702,55.392156862745104,1610612745,5,1,2023-01-05T01:14:53Z,230000,False,-27.0,36.0,1,left,MISS A. Sengun running Layup,[1630578],1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,4.5,Missed,,,,,,,,,,,,,,,,,,
24,PT10M20.00S,2023-01-05T01:13:01.8Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,5,1,2023-01-05T01:15:41Z,240000,False,,,0,,A. Sengun REBOUND (Off:1 Def:0),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,23.0,,,1.0,0.0,1.0,,,,,,
41,PT10M20.00S,2023-01-05T01:13:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630578,6.964520367936925,48.20772058823529,1610612745,5,1,2023-01-05T01:15:33Z,245000,False,9.0,13.0,1,left,MISS A. Sengun tip Layup,[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.58,Missed,,,,,,,,,,,,,,,,,,
42,PT10M20.00S,2023-01-05T01:13:04.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,1,2023-01-05T01:15:33Z,247500,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,41.0,,,1.0,1.0,0.0,,,,,,
25,PT10M17.00S,2023-01-05T01:13:08.7Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612740,5,1,2023-01-05T01:14:38Z,250000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Marshall 2 FT),"[1630578, 1630230]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,1626301.0,1.0,0.0,Marshall,1630230.0,,,,,,,,,,,,
27,PT10M17.00S,2023-01-05T01:13:32.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630230,,,1610612740,6,1,2023-01-05T01:14:34Z,270000,False,,,0,,N. Marshall Free Throw 1 of 2 (1 PTS),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
28,PT10M17.00S,2023-01-05T01:13:32.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630230,,,1610612740,7,1,2023-01-05T01:14:34Z,280000,False,,,0,,N. Marshall Free Throw 2 of 2 (2 PTS),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
29,PT10M05.00S,2023-01-05T01:14:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,19.530223390275953,50.98039215686274,1610612745,7,1,2023-01-05T01:14:31Z,290000,False,-5.0,131.0,1,left,MISS K. Porter Jr. 13' Jump Shot,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.12,Missed,,,,,,,,,,,,,,,,,,
30,PT10M01.00S,2023-01-05T01:14:05.5Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,7,1,2023-01-05T01:14:05Z,300000,False,,,0,,H. Jones REBOUND (Off:1 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,29.0,,,3.0,2.0,1.0,,,,,,
31,PT09M58.00S,2023-01-05T01:14:09.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630230,94.03745072273325,46.568627450980394,1610612740,9,1,2023-01-05T01:16:51Z,310000,False,-17.0,4.0,1,right,N. Marshall running Layup (4 PTS),[1630230],1610612740.0,NOP,running,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,1.76,Made,4.0,,,,,,,,,,,,,,,,,
32,PT09M46.00S,2023-01-05T01:14:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,8.229303547963205,51.225490196078425,1610612745,9,3,2023-01-05T01:17:31Z,320000,False,-6.0,25.0,1,left,E. Gordon driving Layup (2 PTS) (J. Green 1 AST),"[201569, 1630224]",1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,2.56,Made,2.0,,,,,,,,,,,,J. Green,1630224.0,1.0,,,
33,PT09M38.00S,2023-01-05T01:14:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,93.51182654402102,55.14705882352941,1610612740,11,3,2023-01-05T01:17:46Z,330000,False,26.0,8.0,1,right,C. McCollum driving floating bank Jump Shot (7 PTS),[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,2.71,Made,7.0,,,,,,,,,,,,,,,,,
34,PT09M13.00S,2023-01-05T01:14:53.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,13.485545335085414,52.450980392156865,1610612745,11,3,2023-01-05T01:15:01Z,340000,False,-12.0,74.0,1,left,MISS A. Sengun 7' Hook - blocked,"[1630578, 202685]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,7.53,Missed,,,,,,,,Valanciunas,202685.0,,,,,,,,,
36,PT09M13.00S,2023-01-05T01:14:53.0Z,1,REGULAR,block,,[],202685,,,1610612745,11,3,2023-01-05T01:14:55Z,350000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT09M13.00S,2023-01-05T01:14:53.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,11,3,2023-01-05T01:15:01Z,360000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,34.0,,,,,,,,,,,
39,PT08M48.00S,2023-01-05T01:15:28.6Z,1,REGULAR,2pt,Jump Shot,[],202685,80.23981603153744,65.93137254901961,1610612740,11,3,2023-01-05T01:18:29Z,380000,False,80.0,133.0,1,right,MISS J. Valanciunas 15' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,15.52,Missed,,,,,,,,,,,,,,,,,,
40,PT08M45.00S,2023-01-05T01:15:31.6Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,11,3,2023-01-05T01:18:29Z,390000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,39.0,,,1.0,1.0,0.0,,,,,,
43,PT08M29.00S,2023-01-05T01:15:48.5Z,1,REGULAR,3pt,Jump Shot,[],1631095,33.065045992115635,35.294117647058826,1610612745,11,6,2023-01-05T01:15:56Z,400000,False,74.0,258.0,1,left,J. Smith Jr. 26' 3PT  (4 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,26.86,Made,4.0,,,,,,,,,,,,,,,,,
44,PT08M09.00S,2023-01-05T01:16:07.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,66.55305519053877,71.59160539215686,1610612740,14,6,2023-01-05T01:16:17Z,410000,False,108.0,262.0,1,right,T. Murphy III 28' 3PT  (3 PTS) (C. McCollum 1 AST),"[1630530, 203468]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,28.33,Made,3.0,,,,,,,,,,,,C. McCollum,203468.0,1.0,,,
46,PT07M54.00S,2023-01-05T01:16:22.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,14.273981603153747,50.73529411764706,1610612745,14,6,2023-01-05T01:16:28Z,430000,False,-4.0,82.0,1,left,MISS A. Sengun 8' driving Layup - blocked,"[1630578, 203468]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,8.18,Missed,,,,,,,,McCollum,203468.0,,,,,,,,,
47,PT07M54.00S,2023-01-05T01:16:22.1Z,1,REGULAR,block,,[],203468,,,1610612745,14,6,2023-01-05T01:16:25Z,440000,False,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
48,PT07M51.00S,2023-01-05T01:16:25.1Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,14,6,2023-01-05T01:16:28Z,450000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,46.0,,,1.0,1.0,0.0,,,,,,
49,PT07M49.00S,2023-01-05T01:16:28.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630530,92.19776609724047,48.77450980392157,1610612740,16,6,2023-01-05T01:16:35Z,460000,False,-6.0,21.0,1,right,T. Murphy III running DUNK (5 PTS) (N. Marshall 1 AST),"[1630530, 1630230]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,2.17,Made,5.0,,,,,,,,,,,,N. Marshall,1630230.0,1.0,,,
51,PT07M48.00S,2023-01-05T01:16:41.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,16,6,2023-01-05T01:16:41Z,480000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M29.00S,2023-01-05T01:19:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,18.74178712220762,58.08823529411765,1610612745,16,8,2023-01-05T01:20:01Z,490000,False,-40.0,124.0,1,left,K. Porter Jr. 13' Jump Shot (2 PTS) (A. Sengun 1 AST),"[1629645, 1630578]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.01,Made,2.0,,,,,,,,,,,,A. Sengun,1630578.0,1.0,,,
54,PT07M08.00S,2023-01-05T01:19:59.8Z,1,REGULAR,turnover,bad pass,[],1630230,,,1610612740,16,8,2023-01-05T01:20:03Z,510000,False,,,0,,N. Marshall bad pass TURNOVER (1 TO),"[1630230, 1630578]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Sengun,1630578.0
55,PT07M08.00S,2023-01-05T01:19:59.8Z,1,REGULAR,steal,,[],1630578,,,1610612745,16,8,2023-01-05T01:20:01Z,520000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
56,PT07M02.00S,2023-01-05T01:20:05.7Z,1,REGULAR,turnover,bad pass,[],1631095,,,1610612745,16,8,2023-01-05T01:21:51Z,530000,False,,,0,,J. Smith Jr. bad pass TURNOVER (1 TO),"[1631095, 1630529]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0
57,PT07M02.00S,2023-01-05T01:20:05.7Z,1,REGULAR,steal,,[],1630529,,,1610612740,16,8,2023-01-05T01:20:47Z,540000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
58,PT06M56.00S,2023-01-05T01:20:16.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630530,74.77003942181341,88.7484681372549,1610612740,16,8,2023-01-05T01:22:17Z,550000,False,194.0,185.0,1,right,MISS T. Murphy III 26' running 3PT,[1630530],1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,26.76,Missed,,,,,,,,,,,,,,,,,,
59,PT06M56.00S,2023-01-05T01:20:16.9Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,16,8,2023-01-05T01:20:25Z,560000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,,,58.0,,,2.0,1.0,1.0,,,,,,
60,PT06M56.00S,2023-01-05T01:20:22.2Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612740,16,8,2023-01-05T01:20:35Z,570000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[1631095, 202685]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,2003.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,
62,PT06M56.00S,2023-01-05T01:20:48.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",202685,,,1610612740,17,8,2023-01-05T01:20:48Z,590000,False,,,0,,J. Valanciunas Free Throw 1 of 2 (1 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
63,PT06M56.00S,2023-01-05T01:20:51.2Z,1,REGULAR,substitution,out,[],1630230,,,1610612740,17,8,2023-01-05T01:20:55Z,600000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M56.00S,2023-01-05T01:20:51.2Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,17,8,2023-01-05T01:20:55Z,610000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M56.00S,2023-01-05T01:20:48.4Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",202685,,,1610612740,18,8,2023-01-05T01:22:05Z,620000,False,,,0,,J. Valanciunas Free Throw 2 of 2 (2 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
66,PT06M47.00S,2023-01-05T01:21:23.0Z,1,REGULAR,foul,personal,[],1630631,,,1610612745,18,8,2023-01-05T01:21:34Z,630000,False,,,0,,J. Alvarado personal FOUL (1 PF),"[1630631, 1630578]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,1626300.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,,,,
68,PT06M37.00S,2023-01-05T01:21:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,18.478975032851512,39.950980392156865,1610612745,18,8,2023-01-05T01:21:53Z,650000,False,50.0,121.0,1,left,MISS J. Green 13' turnaround fadeaway Shot,[1630224],1610612745.0,HOU,turnaround fadeaway,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,13.12,Missed,,,,,,,,,,,,,,,,,,
69,PT06M32.00S,2023-01-05T01:21:47.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,18,8,2023-01-05T01:21:49Z,660000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,68.0,,,3.0,2.0,1.0,,,,,,
70,PT06M23.00S,2023-01-05T01:21:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,88.64980289093299,56.127450980392155,1610612740,18,8,2023-01-05T01:22:01Z,670000,False,31.0,54.0,1,right,MISS J. Valanciunas 6' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,6.22,Missed,,,,,,,,,,,,,,,,,,
71,PT06M20.00S,2023-01-05T01:21:58.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,18,8,2023-01-05T01:22:01Z,680000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,70.0,,,2.0,2.0,0.0,,,,,,
73,PT06M14.00S,2023-01-05T01:22:32.8Z,1,REGULAR,foul,technical,['1freethrow'],1630530,,,1610612745,18,8,2023-01-05T01:22:46Z,700000,False,,,0,,T. Murphy III defensive-3-second technical FOUL (1 Tech),[1630530],1610612740.0,NOP,defensive-3-second,,,Murphy III,T. Murphy III,,,,,,,,,,2003.0,1.0,1.0,,,,,,,,,,,,,,
74,PT06M14.00S,2023-01-05T01:22:47.1Z,1,REGULAR,freethrow,1 of 1,[],201569,,,1610612745,18,9,2023-01-05T01:22:47Z,710000,False,,,0,,E. Gordon technical Free Throw 1 of 1 (3 PTS),[201569],1610612745.0,HOU,technical,,,Gordon,E. Gordon,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
75,PT06M04.00S,2023-01-05T01:22:55.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,33.459264126149804,53.18627450980392,1610612745,18,9,2023-01-05T01:23:05Z,720000,False,-16.0,262.0,1,left,MISS J. Green 26' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,26.25,Missed,,,,,,,,,,,,,,,,,,
76,PT06M00.00S,2023-01-05T01:22:59.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,18,9,2023-01-05T01:23:05Z,730000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,75.0,,,,,,,,,,,
77,PT06M00.00S,2023-01-05T01:23:05.9Z,1,REGULAR,foul,personal,[],1629645,,,1610612740,18,9,2023-01-05T01:23:29Z,740000,False,,,0,,K. Porter Jr. personal FOUL (1 PF),"[1629645, 202685]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,1626301.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,
79,PT05M48.00S,2023-01-05T01:23:28.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,76.03482260183968,9.803921568627452,1610612740,21,9,2023-01-05T01:23:32Z,760000,False,-201.0,173.0,1,right,T. Murphy III 26' 3PT  (8 PTS) (J. Alvarado 1 AST),"[1630530, 1630631]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,26.51,Made,8.0,,,,,,,,,,,,J. Alvarado,1630631.0,1.0,,,
81,PT05M30.00S,2023-01-05T01:23:46.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,9.280551905387648,51.225490196078425,1610612745,21,11,2023-01-05T01:23:51Z,780000,False,-6.0,35.0,1,left,A. Sengun cutting DUNK (2 PTS) (K. Porter Jr. 1 AST),"[1630578, 1629645]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.52,Made,2.0,,,,,,,,,,,,K. Porter Jr.,1629645.0,1.0,,,
83,PT05M20.00S,2023-01-05T01:23:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.46057818659659,53.431372549019606,1610612740,23,11,2023-01-05T01:24:09Z,800000,False,17.0,18.0,1,right,J. Valanciunas cutting Layup (4 PTS) (T. Murphy III 1 AST),"[202685, 1630530]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.52,Made,4.0,,,,,,,,,,,,T. Murphy III,1630530.0,1.0,,,
