actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M55.00S,2023-03-09T00:47:32.3Z,1,REGULAR,3pt,Jump Shot,[],1630530,73.9323258869908,86.76470588235294,1610612740,0,0,2023-03-09T00:47:38Z,170000,False,184.0,193.0,1,right,MISS T. Murphy III 26' 3PT,[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Murphy III,T. Murphy III,,,26.62,Missed,,,,,,,,,,,,,
18,PT10M53.00S,2023-03-09T00:47:34.3Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,0,0,2023-03-09T00:47:38Z,180000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Jones,H. Jones,,,,,17.0,1.0,0.0,1.0,,,,,,,,,
19,PT10M53.00S,2023-03-09T00:47:40.4Z,1,REGULAR,foul,personal,[],202681,,,1610612740,0,0,2023-03-09T00:48:02Z,190000,False,,,0,,K. Irving personal FOUL (1 PF),"[202681, 1630529]",1610612742.0,DAL,,,,,,,Mid-Range,8-16 Right,1628953.0,1.0,0.0,Irving,K. Irving,Jones,1630529.0,,,,,,,,,,,,,,,
21,PT10M47.00S,2023-03-09T00:48:04.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627742,72.48685939553219,48.77450980392157,1610612740,2,0,2023-03-09T00:48:53Z,210000,False,-6.0,206.0,1,right,B. Ingram 20' Jump Shot (2 PTS) (C. McCollum 1 AST),"[1627742, 203468]",1610612740.0,NOP,,,,,,,Mid-Range,16-24 Center,,,,Ingram,B. Ingram,,,20.62,Made,,,,,2.0,C. McCollum,203468.0,1.0,,,,,
23,PT10M36.00S,2023-03-09T00:48:16.4Z,1,REGULAR,2pt,Jump Shot,[],202681,3.630091984231275,31.61764705882353,1610612742,2,0,2023-03-09T00:48:20Z,230000,False,92.0,-18.0,1,left,MISS K. Irving 9' pullup Shot,[202681],1610612742.0,DAL,pullup,,,,,,Mid-Range,8-16 Right,,,,Irving,K. Irving,,,9.37,Missed,,,,,,,,,,,,,
24,PT10M32.00S,2023-03-09T00:48:20.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,0,2023-03-09T00:48:20Z,240000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,,,,Mid-Range,8-16 Right,,,,Valanciunas,J. Valanciunas,,,,,23.0,2.0,2.0,0.0,,,,,,,,,
25,PT10M25.00S,2023-03-09T00:48:26.7Z,1,REGULAR,turnover,lost ball,[],202685,,,1610612740,2,0,2023-03-09T00:48:30Z,250000,False,,,0,,J. Valanciunas lost ball TURNOVER (1 TO),"[202685, 1629029]",1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,1.0,Doncic,1629029.0,,
26,PT10M25.00S,2023-03-09T00:48:26.7Z,1,REGULAR,steal,,[],1629029,,,1610612742,2,0,2023-03-09T00:48:28Z,260000,False,,,0,,L. Doncic STEAL (1 STL),[1629029],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,
27,PT10M20.00S,2023-03-09T00:48:35.5Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612742,2,0,2023-03-09T00:48:46Z,270000,False,,,0,,J. Valanciunas shooting personal FOUL (2 PF) (Doncic 2 FT),"[202685, 1629029]",1610612740.0,NOP,shooting,,,,,,Mid-Range,8-16 Center,1627541.0,2.0,0.0,Valanciunas,J. Valanciunas,Doncic,1629029.0,,,,,,,,,,,,,,,
29,PT10M20.00S,2023-03-09T00:49:03.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629029,,,1610612742,2,1,2023-03-09T00:49:03Z,290000,False,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,,,,,,,,,Doncic,L. Doncic,,,,Made,,,,,1.0,,,,,,,,
30,PT10M20.00S,2023-03-09T00:49:09.2Z,1,REGULAR,substitution,out,[],202685,,,1610612742,2,1,2023-03-09T00:49:18Z,300000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,,,,,,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,
31,PT10M20.00S,2023-03-09T00:49:09.2Z,1,REGULAR,substitution,in,[],1626195,,,1610612742,2,1,2023-03-09T00:49:18Z,310000,False,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,,,,,,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,
32,PT10M20.00S,2023-03-09T00:49:30.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629029,,,1610612742,2,2,2023-03-09T00:49:30Z,320000,False,,,0,,L. Doncic Free Throw 2 of 2 (2 PTS),[1629029],1610612742.0,DAL,,,,,,,,,,,,Doncic,L. Doncic,,,,Made,,,,,2.0,,,,,,,,
33,PT09M55.00S,2023-03-09T00:49:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,91.80354796320631,37.745098039215684,1610612740,2,2,2023-03-09T00:50:02Z,330000,False,-61.0,25.0,1,right,MISS W. Hernangomez 6' driving Layup,[1626195],1610612740.0,NOP,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,,Hernangomez,W. Hernangomez,,,6.6,Missed,,,,,,,,,,,,,
34,PT09M50.00S,2023-03-09T00:50:00.6Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,2,2,2023-03-09T00:50:00Z,340000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Irving,K. Irving,,,,,33.0,1.0,1.0,0.0,,,,,,,,,
35,PT09M45.00S,2023-03-09T00:50:06.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630182,5.995400788436268,2.450980392156863,1610612742,2,5,2023-03-09T00:51:14Z,350000,False,238.0,4.0,1,left,J. Green 3PT running (3 PTS) (T. Hardaway Jr. 1 AST),"[1630182, 203501]",1610612742.0,DAL,running,,,,,,Right Corner 3,24+ Right,,,,Green,J. Green,,,23.77,Made,,,,,3.0,T. Hardaway Jr.,203501.0,1.0,,,,,
37,PT09M33.00S,2023-03-09T00:50:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,83.13074901445466,56.372549019607845,1610612740,4,5,2023-03-09T00:50:24Z,370000,False,32.0,106.0,1,right,B. Ingram 11' turnaround fadeaway Jump Shot (4 PTS),[1627742],1610612740.0,NOP,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,,,,Ingram,B. Ingram,,,11.08,Made,,,,,4.0,,,,,,,,
38,PT09M13.00S,2023-03-09T00:50:37.9Z,1,REGULAR,3pt,Jump Shot,[],203501,9.280551905387648,4.901960784313726,1610612742,4,8,2023-03-09T00:51:50Z,380000,False,225.0,35.0,1,left,T. Hardaway Jr. 3PT pullup (3 PTS) (L. Doncic 1 AST),"[203501, 1629029]",1610612742.0,DAL,pullup,,,,,,Right Corner 3,24+ Right,,,,Hardaway Jr.,T. Hardaway Jr.,,,22.82,Made,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,
40,PT09M02.00S,2023-03-09T00:50:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,94.56307490144546,51.71568627450981,1610612740,4,8,2023-03-09T00:50:59Z,400000,False,9.0,-1.0,1,right,MISS W. Hernangomez cutting Layup,[1626195],1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,,,,Hernangomez,W. Hernangomez,,,0.87,Missed,,,,,,,,,,,,,
41,PT09M00.00S,2023-03-09T00:50:50.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,4,8,2023-03-09T00:50:59Z,410000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,,,Doncic,L. Doncic,,,,,40.0,1.0,1.0,0.0,,,,,,,,,
42,PT08M52.00S,2023-03-09T00:50:59.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,10.33180026281209,48.28431372549019,1610612742,4,10,2023-03-09T00:52:43Z,420000,False,9.0,45.0,1,left,L. Doncic driving floating Jump Shot (4 PTS),[1629029],1610612742.0,DAL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Doncic,L. Doncic,,,4.54,Made,,,,,4.0,,,,,,,,
43,PT08M26.00S,2023-03-09T00:51:24.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626195,93.64323258869908,48.529411764705884,1610612740,6,10,2023-03-09T00:51:52Z,430000,False,-7.0,7.0,1,right,W. Hernangomez cutting DUNK (2 PTS) (C. McCollum 2 AST),"[1626195, 203468]",1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,,,,Hernangomez,W. Hernangomez,,,1.04,Made,,,,,2.0,C. McCollum,203468.0,2.0,,,,,
45,PT08M08.00S,2023-03-09T00:51:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,6.258212877792378,44.36274509803921,1610612742,6,12,2023-03-09T00:51:55Z,450000,False,28.0,6.0,1,left,D. Powell cutting Layup (2 PTS) (L. Doncic 2 AST),"[203939, 1629029]",1610612742.0,DAL,cutting,,,,,,Restricted Area,0-8 Center,,,,Powell,D. Powell,,,2.89,Made,,,,,2.0,L. Doncic,1629029.0,2.0,,,,,
47,PT07M56.00S,2023-03-09T00:51:59.8Z,1,REGULAR,foul,offensive,[],1626195,,,1610612740,6,12,2023-03-09T00:52:45Z,470000,False,,,0,,W. Hernangomez off-the-ball offensive FOUL (1 PF),"[1626195, 1630182]",1610612740.0,NOP,off-the-ball,,,,,,Mid-Range,16-24 Right Center,1162.0,1.0,0.0,Hernangomez,W. Hernangomez,Green,1630182.0,,,,,,,,,,,,,,,
49,PT07M56.00S,2023-03-09T00:51:59.8Z,1,REGULAR,turnover,offensive foul,[],1626195,,,1610612740,6,12,2023-03-09T00:51:59Z,490000,False,,,0,,W. Hernangomez offensive foul TURNOVER (1 TO),[1626195],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Right Center,1162.0,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,1.0,,,,
50,PT07M40.00S,2023-03-09T00:52:33.5Z,1,REGULAR,foul,personal,[],1626195,,,1610612742,6,12,2023-03-09T00:53:19Z,500000,False,,,0,,W. Hernangomez personal FOUL (2 PF),"[1626195, 203939]",1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,1162.0,2.0,0.0,Hernangomez,W. Hernangomez,Powell,203939.0,,,,,,,,,,,,,,,
52,PT07M33.00S,2023-03-09T00:52:55.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203939,6.1268068331143235,49.01960784313725,1610612742,6,14,2023-03-09T00:55:30Z,520000,False,5.0,5.0,1,left,D. Powell alley-oop DUNK (4 PTS) (L. Doncic 3 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,,,,Restricted Area,0-8 Center,,,,Powell,D. Powell,,,0.71,Made,,,,,4.0,L. Doncic,1629029.0,3.0,,,,,
54,PT07M33.00S,2023-03-09T00:53:00.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,6,14,2023-03-09T00:53:00Z,540000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M23.00S,2023-03-09T00:56:31.4Z,1,REGULAR,turnover,lost ball,[],203468,,,1610612740,6,14,2023-03-09T00:56:53Z,550000,False,,,0,,C. McCollum lost ball TURNOVER (1 TO),"[203468, 203501]",1610612740.0,NOP,,,,,,,Mid-Range,16-24 Center,,,,McCollum,C. McCollum,,,,,,,,,,,,,1.0,Hardaway Jr.,203501.0,,
56,PT07M23.00S,2023-03-09T00:56:31.4Z,1,REGULAR,steal,,[],203501,,,1610612742,6,14,2023-03-09T00:56:33Z,560000,False,,,0,,T. Hardaway Jr. STEAL (1 STL),[203501],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Center,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,
57,PT07M19.00S,2023-03-09T00:56:36.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203501,30.56833114323259,29.411764705882355,1610612742,6,14,2023-03-09T00:57:55Z,570000,False,103.0,235.0,1,left,MISS T. Hardaway Jr. 25' running pullup 3PT - blocked,"[203501, 1630529]",1610612742.0,DAL,running pullup,,,,,,Above the Break 3,24+ Right Center,,,,Hardaway Jr.,T. Hardaway Jr.,,,25.64,Missed,,,,,,,,,,,,Jones,1630529.0
58,PT07M19.00S,2023-03-09T00:56:36.1Z,1,REGULAR,block,,[],1630529,,,1610612742,6,14,2023-03-09T00:56:40Z,580000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,
59,PT07M15.00S,2023-03-09T00:56:40.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,6,14,2023-03-09T00:56:56Z,590000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,57.0,,,,,,,,,,,,
61,PT07M02.00S,2023-03-09T00:56:59.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630530,93.9060446780552,49.50980392156863,1610612740,8,14,2023-03-09T00:57:08Z,610000,False,-2.0,5.0,1,right,T. Murphy III driving DUNK (2 PTS) (B. Ingram 1 AST),"[1630530, 1627742]",1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,,,,Murphy III,T. Murphy III,,,0.54,Made,,,,,2.0,B. Ingram,1627742.0,1.0,,,,,
63,PT06M42.00S,2023-03-09T00:57:19.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,5.732588699080158,45.588235294117645,1610612742,8,16,2023-03-09T00:57:26Z,630000,False,22.0,1.0,1,left,D. Powell alley-oop Layup (6 PTS) (L. Doncic 4 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,,,,Restricted Area,0-8 Center,,,,Powell,D. Powell,,,2.21,Made,,,,,6.0,L. Doncic,1629029.0,4.0,,,,,
65,PT06M34.00S,2023-03-09T00:57:27.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,87.07293035479631,49.01960784313725,1610612740,10,16,2023-03-09T00:59:33Z,650000,False,-5.0,69.0,1,right,C. McCollum 6' driving floating Jump Shot (2 PTS),[203468],1610612740.0,NOP,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,McCollum,C. McCollum,,,6.92,Made,,,,,2.0,,,,,,,,
66,PT06M17.00S,2023-03-09T00:57:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,8.886333771353483,50.245098039215684,1610612742,10,16,2023-03-09T00:58:03Z,660000,False,-1.0,31.0,1,left,MISS D. Powell cutting Layup - blocked,"[203939, 1630530]",1610612742.0,DAL,cutting,,,,,,Restricted Area,0-8 Center,,,,Powell,D. Powell,,,3.1,Missed,,,,,,,,,,,,Murphy III,1630530.0
67,PT06M17.00S,2023-03-09T00:57:44.3Z,1,REGULAR,block,,[],1630530,,,1610612742,10,16,2023-03-09T00:57:47Z,670000,False,,,0,,T. Murphy III BLOCK (1 BLK),[1630530],1610612740.0,NOP,,,,,,,Restricted Area,0-8 Center,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,
68,PT06M17.00S,2023-03-09T00:57:44.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,10,16,2023-03-09T01:21:34Z,680000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,66.0,,,,,,,,,,,,
69,PT06M17.00S,2023-03-09T00:58:03.2Z,1,REGULAR,turnover,offensive-kicked-ball,[],203939,,,1610612742,10,16,2023-03-09T00:58:19Z,690000,False,,,0,,D. Powell offensive-kicked-ball TURNOVER (1 TO),[203939],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Right,,,,Powell,D. Powell,,,,,,,,,,,,,1.0,,,,
70,PT06M06.00S,2023-03-09T00:58:17.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,78.26872536136662,50.49019607843137,1610612740,12,16,2023-03-09T00:58:22Z,700000,False,2.0,152.0,1,right,B. Ingram 15' pullup Jump Shot (6 PTS) (W. Hernangomez 1 AST),"[1627742, 1626195]",1610612740.0,NOP,pullup,,,,,,Mid-Range,8-16 Center,,,,Ingram,B. Ingram,,,15.18,Made,,,,,6.0,W. Hernangomez,1626195.0,1.0,,,,,
72,PT05M51.00S,2023-03-09T00:58:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,5.075558475689881,46.568627450980394,1610612742,12,18,2023-03-09T00:58:37Z,720000,False,17.0,-5.0,1,left,D. Powell cutting Layup (8 PTS) (K. Irving 1 AST),"[203939, 202681]",1610612742.0,DAL,cutting,,,,,,Restricted Area,0-8 Center,,,,Powell,D. Powell,,,1.79,Made,,,,,8.0,K. Irving,202681.0,1.0,,,,,
74,PT05M32.00S,2023-03-09T00:58:51.7Z,1,REGULAR,3pt,Jump Shot,[],1630529,72.35545335085413,80.88235294117648,1610612740,12,18,2023-03-09T00:58:56Z,740000,False,154.0,207.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Jones,H. Jones,,,25.86,Missed,,,,,,,,,,,,,
75,PT05M28.00S,2023-03-09T00:58:55.7Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,12,18,2023-03-09T00:58:56Z,750000,False,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,,,,Powell,D. Powell,,,,,74.0,2.0,2.0,0.0,,,,,,,,,
76,PT05M25.00S,2023-03-09T00:59:09.0Z,1,REGULAR,foul,offensive,[],1630182,,,1610612742,12,18,2023-03-09T00:59:20Z,760000,False,,,0,,J. Green offensive FOUL (1 PF),"[1630182, 1630529]",1610612742.0,DAL,,,,,,,Mid-Range,16-24 Left,1627541.0,1.0,0.0,Green,J. Green,Jones,1630529.0,,,,,,,,,,,,,,,
78,PT05M25.00S,2023-03-09T00:59:09.0Z,1,REGULAR,turnover,offensive foul,[],1630182,,,1610612742,12,18,2023-03-09T00:59:09Z,780000,False,,,0,,J. Green offensive foul TURNOVER (1 TO),[1630182],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Left,1627541.0,,,Green,J. Green,,,,,,,,,,,,,1.0,,,,
79,PT05M25.00S,2023-03-09T00:59:16.0Z,1,REGULAR,substitution,out,[],202681,,,1610612740,12,18,2023-03-09T00:59:35Z,790000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,,,,,,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,
80,PT05M25.00S,2023-03-09T00:59:16.0Z,1,REGULAR,substitution,out,[],203939,,,1610612740,12,18,2023-03-09T00:59:35Z,800000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,
81,PT05M25.00S,2023-03-09T00:59:16.0Z,1,REGULAR,substitution,out,[],203501,,,1610612740,12,18,2023-03-09T00:59:35Z,810000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,
82,PT05M25.00S,2023-03-09T00:59:16.0Z,1,REGULAR,substitution,in,[],1628373,,,1610612740,12,18,2023-03-09T00:59:35Z,820000,False,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,,,,,,,,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,
83,PT05M25.00S,2023-03-09T00:59:16.0Z,1,REGULAR,substitution,in,[],202693,,,1610612740,12,18,2023-03-09T00:59:35Z,830000,False,,,0,,SUB in: M. Morris,[202693],1610612742.0,DAL,,,,,,,,,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,
84,PT05M25.00S,2023-03-09T00:59:16.0Z,1,REGULAR,substitution,in,[],203200,,,1610612740,12,18,2023-03-09T00:59:35Z,840000,False,,,0,,SUB in: J. Holiday,[203200],1610612742.0,DAL,,,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
85,PT05M16.00S,2023-03-09T00:59:39.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,69.33311432325887,72.30392156862744,1610612740,12,18,2023-03-09T01:03:16Z,850000,False,112.0,236.0,1,right,MISS C. McCollum 26' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Right Center,,,,McCollum,C. McCollum,,,26.08,Missed,,,,,,,,,,,,,
86,PT05M11.00S,2023-03-09T00:59:44.0Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,12,18,2023-03-09T00:59:44Z,860000,False,,,0,,H. Jones REBOUND (Off:2 Def:0),[1630529],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Jones,H. Jones,,,,,85.0,2.0,0.0,2.0,,,,,,,,,
87,PT05M09.00S,2023-03-09T00:59:44.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630529,93.24901445466492,51.470588235294116,1610612740,14,18,2023-03-09T00:59:48Z,870000,False,7.0,11.0,1,right,H. Jones putback Layup (2 PTS),[1630529],1610612740.0,NOP,putback,,,,,,Restricted Area,0-8 Center,,,,Jones,H. Jones,,,1.33,Made,,,,,2.0,,,,,,,,
88,PT04M52.00S,2023-03-09T01:00:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,13.61695137976347,44.85294117647059,1610612742,14,20,2023-03-09T01:00:09Z,880000,False,26.0,75.0,1,left,L. Doncic 7' driving floating Jump Shot (6 PTS),[1629029],1610612742.0,DAL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Doncic,L. Doncic,,,7.98,Made,,,,,6.0,,,,,,,,
