actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
15,PT10M55.00S,2022-12-29T01:11:53.0Z,1,REGULAR,steal,,[],1626156,,,1610612750,0,0,2022-12-29T01:11:57Z,150000,False,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2022-12-29T01:12:09.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,69.46452036793693,24.754901960784316,1610612750,0,3,2022-12-29T01:12:33Z,160000,False,-126.0,235.0,1,right,A. Edwards 26' 3PT pullup (3 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,26.63,Made,,,,,,,,,3.0,,,,,,,,,
18,PT10M12.00S,2022-12-29T01:12:35.8Z,1,REGULAR,turnover,lost ball,[],202685,,,1610612740,0,3,2022-12-29T01:12:40Z,180000,False,,,0,,J. Valanciunas lost ball TURNOVER (1 TO),"[202685, 1630162]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Edwards,1630162.0,,,,,,,,,,
19,PT10M12.00S,2022-12-29T01:12:35.8Z,1,REGULAR,steal,,[],1630162,,,1610612750,0,3,2022-12-29T01:12:37Z,190000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M07.00S,2022-12-29T01:12:41.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,93.51182654402102,3.6764705882352944,1610612750,0,3,2022-12-29T01:14:08Z,200000,False,-232.0,8.0,1,right,MISS D. Russell 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Left Corner 3,24+ Left,23.18,Missed,,,,,,,,,,,,,,,,,,
21,PT10M04.00S,2022-12-29T01:12:44.3Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,0,3,2022-12-29T01:12:49Z,210000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,PT10M04.00S,2022-12-29T01:12:48.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630183,94.40999984741211,50.0,1610612750,0,5,2022-12-29T01:12:48Z,220000,False,0.0,0.0,1,right,J. McDaniels tip Layup (2 PTS),[1630183],1610612750.0,MIN,tip,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,2.0,,,,,,,,,
23,PT10M04.00S,2022-12-29T01:12:52.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,0,5,2022-12-29T01:12:52Z,230000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M00.00S,2022-12-29T01:15:42.8Z,1,REGULAR,foul,personal,[],1630162,,,1610612740,0,5,2022-12-29T01:15:51Z,240000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1630230]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,,1627961.0,,,,,1.0,0.0,Marshall,1630230.0,,,,,
26,PT09M50.00S,2022-12-29T01:16:02.9Z,1,REGULAR,3pt,Jump Shot,[],203468,25.706307490144546,83.33333333333334,1610612740,0,5,2022-12-29T01:16:10Z,260000,False,-167.0,189.0,1,left,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.21,Missed,,,,,,,,,,,,,,,,,,
27,PT09M47.00S,2022-12-29T01:16:05.9Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,5,2022-12-29T01:16:05Z,270000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,
28,PT09M44.00S,2022-12-29T01:16:09.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630530,31.35676741130092,22.794117647058822,1610612740,3,5,2022-12-29T01:16:14Z,280000,False,136.0,242.0,1,left,T. Murphy III 27' 3PT  (3 PTS) (J. Valanciunas 1 AST),"[1630530, 202685]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,27.79,Made,,,,,,,,,3.0,,,,,J. Valanciunas,202685.0,1.0,,
30,PT09M20.00S,2022-12-29T01:16:32.8Z,1,REGULAR,3pt,Jump Shot,[],1630162,71.96123521681997,20.833333333333336,1610612750,3,5,2022-12-29T01:16:37Z,300000,False,-146.0,211.0,1,right,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
31,PT09M17.00S,2022-12-29T01:16:35.8Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,3,5,2022-12-29T01:16:37Z,310000,False,,,0,,N. Marshall REBOUND (Off:0 Def:2),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT09M04.00S,2022-12-29T01:16:50.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,6.389618922470433,54.65686274509803,1610612740,3,5,2022-12-29T01:17:02Z,320000,False,-23.0,8.0,1,left,MISS J. Valanciunas driving Layup,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2022-12-29T01:16:50.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,3,5,2022-12-29T01:17:02Z,340000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,32.0,,,,,,,,,,,,,,,,,
36,PT08M56.00S,2022-12-29T01:17:17.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202685,29.517082785808146,69.6078431372549,1610612740,3,5,2022-12-29T01:17:25Z,360000,False,-98.0,225.0,1,left,MISS J. Valanciunas 24' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,24.54,Missed,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2022-12-29T01:17:20.0Z,1,REGULAR,rebound,defensive,[],203085,,,1610612750,3,5,2022-12-29T01:17:25Z,370000,False,,,0,,A. Rivers REBOUND (Off:0 Def:1),[203085],1610612750.0,MIN,,,,Rivers,A. Rivers,,,,,Above the Break 3,24+ Left Center,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M38.00S,2022-12-29T01:17:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,91.40932982917214,35.78431372549019,1610612750,3,5,2022-12-29T01:17:39Z,380000,False,-71.0,28.0,1,right,MISS A. Edwards 7' driving floating bank Shot,[1630162],1610612750.0,MIN,driving floating bank,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,7.65,Missed,,,,,,,,,,,,,,,,,,
39,PT08M36.00S,2022-12-29T01:17:35.6Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,3,5,2022-12-29T01:17:39Z,390000,False,,,0,,A. Edwards REBOUND (Off:1 Def:0),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,38.0,1.0,0.0,1.0,,,,,,,,,,,,,,
40,PT08M28.00S,2022-12-29T01:17:46.7Z,1,REGULAR,foul,personal,['2freethrow'],1630230,,,1610612750,3,5,2022-12-29T01:17:52Z,400000,False,,,0,,N. Marshall shooting personal FOUL (1 PF) (Gobert 2 FT),"[1630230, 203497]",1610612740.0,NOP,shooting,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,1627961.0,,,,,1.0,0.0,Gobert,203497.0,,,,,
42,PT08M28.00S,2022-12-29T01:18:12.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203497,,,1610612750,3,6,2022-12-29T01:18:12Z,420000,False,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
43,PT08M28.00S,2022-12-29T01:18:29.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203497,,,1610612750,3,7,2022-12-29T01:18:29Z,430000,False,,,0,,R. Gobert Free Throw 2 of 2 (2 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
44,PT08M14.00S,2022-12-29T01:18:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,6.389618922470433,57.107843137254896,1610612740,5,7,2022-12-29T01:18:49Z,440000,False,-36.0,8.0,1,left,Z. Williamson driving Layup (2 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,3.63,Made,,,,,,,,,2.0,,,,,,,,,
45,PT08M05.00S,2022-12-29T01:18:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203085,87.72996057818659,53.18627450980392,1610612750,5,7,2022-12-29T01:18:57Z,450000,False,16.0,63.0,1,right,MISS A. Rivers 6' driving Layup,[203085],1610612750.0,MIN,driving,,,Rivers,A. Rivers,,,,,In The Paint (Non-RA),0-8 Center,6.48,Missed,,,,,,,,,,,,,,,,,,
46,PT08M04.00S,2022-12-29T01:18:55.2Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,5,7,2022-12-29T01:18:57Z,460000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M53.00S,2022-12-29T01:19:06.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630530,4.944152431011826,51.71568627450981,1610612740,5,7,2022-12-29T01:19:11Z,470000,False,-9.0,-6.0,1,left,MISS T. Murphy III cutting DUNK - blocked,"[1630530, 203497]",1610612740.0,NOP,cutting,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,1.05,Missed,,,,,,,,,,,,,,,,,Gobert,203497.0
48,PT07M53.00S,2022-12-29T01:19:06.6Z,1,REGULAR,block,,[],203497,,,1610612740,5,7,2022-12-29T01:19:09Z,480000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
49,PT07M53.00S,2022-12-29T01:19:06.6Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,5,7,2022-12-29T01:19:11Z,490000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,47.0,3.0,1.0,2.0,,,,,,,,,,,,,,
50,PT07M53.00S,2022-12-29T01:19:11.9Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612740,5,7,2022-12-29T01:19:24Z,500000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[203497, 202685]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,201246.0,,,,,1.0,0.0,Valanciunas,202685.0,,,,,
52,PT07M53.00S,2022-12-29T01:19:39.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202685,,,1610612740,6,7,2022-12-29T01:19:39Z,520000,False,,,0,,J. Valanciunas Free Throw 1 of 2 (1 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
53,PT07M53.00S,2022-12-29T01:19:58.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202685,,,1610612740,7,7,2022-12-29T01:19:58Z,530000,False,,,0,,J. Valanciunas Free Throw 2 of 2 (2 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
54,PT07M40.00S,2022-12-29T01:20:12.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,92.46057818659659,50.0,1610612750,7,9,2022-12-29T01:20:16Z,540000,False,0.0,18.0,1,right,R. Gobert cutting DUNK (4 PTS) (D. Russell 1 AST),"[203497, 1626156]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,,,4.0,,,,,D. Russell,1626156.0,1.0,,
56,PT07M25.00S,2022-12-29T01:20:26.6Z,1,REGULAR,3pt,Jump Shot,[],1630530,5.732588699080158,2.941176470588235,1610612740,10,9,2022-12-29T01:20:30Z,560000,False,235.0,1.0,1,left,T. Murphy III 3PT  (6 PTS) (Z. Williamson 1 AST),"[1630530, 1629627]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,23.53,Made,,,,,,,,,6.0,,,,,Z. Williamson,1629627.0,1.0,,
58,PT07M06.00S,2022-12-29T01:20:46.2Z,1,REGULAR,2pt,Jump Shot,[],1626156,78.13731931668858,55.63725490196079,1610612750,10,9,2022-12-29T01:20:55Z,580000,False,28.0,153.0,1,right,MISS D. Russell 15' fadeaway Shot,[1626156],1610612750.0,MIN,fadeaway,,,Russell,D. Russell,,,,,Mid-Range,8-16 Center,15.56,Missed,,,,,,,,,,,,,,,,,,
59,PT07M03.00S,2022-12-29T01:20:49.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,10,9,2022-12-29T01:20:55Z,590000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Center,,,58.0,4.0,2.0,2.0,,,,,,,,,,,,,,
60,PT06M54.00S,2022-12-29T01:20:58.1Z,1,REGULAR,2pt,Jump Shot,[],202685,19.267411300919843,74.50980392156863,1610612740,12,9,2022-12-29T01:21:02Z,600000,False,-123.0,129.0,1,left,J. Valanciunas 17' Jump Shot (4 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Left Center,17.76,Made,,,,,,,,,4.0,,,,,C. McCollum,203468.0,1.0,,
62,PT06M39.00S,2022-12-29T01:21:20.6Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612750,12,9,2022-12-29T01:21:27Z,620000,False,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Edwards 2 FT),"[202685, 1630162]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,203591.0,,,,,1.0,0.0,Edwards,1630162.0,,,,,
64,PT06M39.00S,2022-12-29T01:21:41.3Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,12,9,2022-12-29T01:21:41Z,640000,False,,,0,,MISS A. Edwards Free Throw 1 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
65,PT06M39.00S,2022-12-29T01:21:41.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,12,9,2022-12-29T01:21:41Z,650000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,
66,PT06M39.00S,2022-12-29T01:21:44.4Z,1,REGULAR,substitution,out,[],1629627,,,1610612750,12,9,2022-12-29T01:21:49Z,660000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M39.00S,2022-12-29T01:21:44.4Z,1,REGULAR,substitution,in,[],1626204,,,1610612750,12,9,2022-12-29T01:21:49Z,670000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M39.00S,2022-12-29T01:21:58.9Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,12,10,2022-12-29T01:21:58Z,680000,False,,,0,,A. Edwards Free Throw 2 of 2 (4 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
69,PT06M29.00S,2022-12-29T01:22:11.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630230,5.601182654402102,49.50980392156863,1610612740,14,10,2022-12-29T01:23:15Z,690000,False,2.0,0.0,1,left,N. Marshall driving DUNK (2 PTS) (T. Murphy III 1 AST),"[1630230, 1630530]",1610612740.0,NOP,driving,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,0.25,Made,,,,,,,,,2.0,,,,,T. Murphy III,1630530.0,1.0,,
71,PT06M05.00S,2022-12-29T01:22:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,93.24901445466492,45.588235294117645,1610612750,14,12,2022-12-29T01:22:38Z,710000,False,-22.0,11.0,1,right,J. McDaniels driving Layup (4 PTS) (A. Rivers 1 AST),"[1630183, 203085]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.47,Made,,,,,,,,,4.0,,,,,A. Rivers,203085.0,1.0,,
74,PT05M58.00S,2022-12-29T01:22:47.1Z,1,REGULAR,substitution,out,[],203497,,,1610612740,14,12,2022-12-29T01:22:52Z,740000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M58.00S,2022-12-29T01:22:47.1Z,1,REGULAR,substitution,in,[],1629675,,,1610612740,14,12,2022-12-29T01:22:52Z,750000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M58.00S,2022-12-29T01:22:57.3Z,1,REGULAR,substitution,out,[],1630183,,,1610612740,14,12,2022-12-29T01:23:06Z,760000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M58.00S,2022-12-29T01:22:57.3Z,1,REGULAR,substitution,in,[],1629669,,,1610612740,14,12,2022-12-29T01:23:06Z,770000,False,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M51.00S,2022-12-29T01:23:19.6Z,1,REGULAR,2pt,Jump Shot,[],203468,19.398817345597898,31.372549019607842,1610612740,14,12,2022-12-29T01:23:28Z,780000,False,93.0,130.0,1,left,MISS C. McCollum 15' turnaround Shot,[203468],1610612740.0,NOP,turnaround,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,15.97,Missed,,,,,,,,,,,,,,,,,,
79,PT05M46.00S,2022-12-29T01:23:24.6Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,14,12,2022-12-29T01:23:28Z,790000,False,,,0,,A. Edwards REBOUND (Off:1 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,,,78.0,2.0,1.0,1.0,,,,,,,,,,,,,,
80,PT05M43.00S,2022-12-29T01:23:30.0Z,1,REGULAR,turnover,traveling,[],1630162,,,1610612750,14,12,2022-12-29T01:23:39Z,800000,False,,,0,,A. Edwards traveling TURNOVER (1 TO),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627961.0,1.0,,,,,,,,,,,,
81,PT05M43.00S,2022-12-29T01:23:45.6Z,1,REGULAR,substitution,out,[],1630530,,,1610612740,14,12,2022-12-29T01:23:48Z,810000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M43.00S,2022-12-29T01:23:45.6Z,1,REGULAR,substitution,in,[],1630700,,,1610612740,14,12,2022-12-29T01:23:48Z,820000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M29.00S,2022-12-29T01:24:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202685,5.601182654402102,52.69607843137255,1610612740,16,12,2022-12-29T01:24:08Z,830000,False,-13.0,0.0,1,left,J. Valanciunas cutting Layup (6 PTS) (D. Daniels 1 AST),"[202685, 1630700]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,,,,6.0,,,,,D. Daniels,1630700.0,1.0,,
85,PT05M15.00S,2022-12-29T01:24:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,94.30026281208936,52.20588235294118,1610612750,16,14,2022-12-29T01:24:22Z,850000,False,11.0,1.0,1,right,N. Reid driving Layup (2 PTS) (D. Russell 2 AST),"[1629675, 1626156]",1610612750.0,MIN,driving,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,1.11,Made,,,,,,,,,2.0,,,,,D. Russell,1626156.0,2.0,,
87,PT05M01.00S,2022-12-29T01:24:32.3Z,1,REGULAR,2pt,Jump Shot,[],1630230,22.815374507227332,56.61764705882353,1610612740,16,14,2022-12-29T01:24:38Z,870000,False,-33.0,162.0,1,left,MISS N. Marshall 16' pullup Shot,[1630230],1610612740.0,NOP,pullup,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Center,16.53,Missed,,,,,,,,,,,,,,,,,,
