actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
30,PT09M36.00S,2022-10-25T23:36:37.8Z,1,REGULAR,foul,personal,['1freethrow'],203915,,,1610612740,10,6,2022-10-25T23:36:55Z,300000,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Marshall 1 FT),"[203915, 1630230]",1610612742.0,DAL,shooting,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Left Center,,,,2003.0,1.0,0.0,Marshall,1630230.0,,,,,,,,,,,,
33,PT09M36.00S,2022-10-25T23:37:06.6Z,1,REGULAR,freethrow,1 of 1,[],1630230,,,1610612740,11,6,2022-10-25T23:37:06Z,320000,,,0,,N. Marshall Free Throw 1 of 1 (4 PTS),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
35,PT09M26.00S,2022-10-25T23:37:36.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201580,5.469776609724048,49.50980392156863,1610612742,11,8,2022-10-25T23:37:44Z,340000,2.0,-1.0,1,left,J. McGee alley-oop DUNK (4 PTS) (L. Doncic 1 AST),"[201580, 1629029]",1610612742.0,DAL,alley-oop,,,McGee,J. McGee,,,,,Restricted Area,0-8 Center,0.27,Made,4.0,,,,,,,,,,L. Doncic,1629029.0,1.0,,,,,
37,PT09M07.00S,2022-10-25T23:37:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,93.11760840998686,52.20588235294118,1610612740,13,8,2022-10-25T23:38:01Z,360000,11.0,12.0,1,right,J. Alvarado driving finger roll Layup (7 PTS),[1630631],1610612740.0,NOP,driving finger roll,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,1.64,Made,7.0,,,,,,,,,,,,,,,,,
38,PT08M55.00S,2022-10-25T23:38:06.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.85348226018397,31.127450980392158,1610612742,13,8,2022-10-25T23:38:14Z,370000,94.0,266.0,1,left,MISS L. Doncic 28' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,28.2,Missed,,,,,,,,,,,,,,,,,,
39,PT08M53.00S,2022-10-25T23:38:08.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,13,8,2022-10-25T23:38:14Z,380000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,38.0,,,,,,,,,,,
41,PT08M34.00S,2022-10-25T23:38:38.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,93.64323258869908,49.50980392156863,1610612740,15,8,2022-10-25T23:38:47Z,400000,-2.0,7.0,1,right,J. Valanciunas driving DUNK (4 PTS),[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,0.77,Made,4.0,,,,,,,,,,,,,,,,,
43,PT08M19.00S,2022-10-25T23:38:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,5.338370565045992,41.17647058823529,1610612742,15,8,2022-10-25T23:39:04Z,420000,44.0,-2.0,1,left,MISS S. Dinwiddie Layup,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,4.42,Missed,,,,,,,,,,,,,,,,,,
44,PT08M16.00S,2022-10-25T23:38:55.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,15,8,2022-10-25T23:38:55Z,430000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,
45,PT08M02.00S,2022-10-25T23:39:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,94.03745072273325,46.568627450980394,1610612740,17,8,2022-10-25T23:39:14Z,440000,-17.0,4.0,1,right,T. Murphy III driving Layup (2 PTS) (C. McCollum 4 AST),"[1630530, 203468]",1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,,,,,,,,,,C. McCollum,203468.0,4.0,,,,,
47,PT07M47.00S,2022-10-25T23:39:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,5.469776609724048,53.67647058823529,1610612742,17,8,2022-10-25T23:39:32Z,460000,-18.0,-1.0,1,left,MISS L. Doncic driving Layup,[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,,,
48,PT07M45.00S,2022-10-25T23:39:26.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,17,8,2022-10-25T23:39:32Z,470000,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,
49,PT07M41.00S,2022-10-25T23:39:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630631,91.67214191852825,48.529411764705884,1610612740,19,8,2022-10-25T23:39:35Z,480000,-7.0,26.0,1,right,J. Alvarado running finger roll Layup (9 PTS) (J. Valanciunas 1 AST),"[1630631, 202685]",1610612740.0,NOP,running finger roll,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,2.68,Made,9.0,,,,,,,,,,J. Valanciunas,202685.0,1.0,,,,,
50,PT07M28.00S,2022-10-25T23:39:43.0Z,1,REGULAR,2pt,Jump Shot,[],203915,20.71287779237845,68.62745098039215,1610612742,19,8,2022-10-25T23:44:37Z,490000,-93.0,142.0,1,left,MISS S. Dinwiddie 17' pullup Shot,[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Left Center,17.0,Missed,,,,,,,,,,,,,,,,,,
51,PT07M24.00S,2022-10-25T23:39:47.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,19,8,2022-10-25T23:39:53Z,500000,,,0,,J. Valanciunas REBOUND (Off:0 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Left Center,,,,,,,,,50.0,4.0,4.0,0.0,,,,,,,,
52,PT07M17.00S,2022-10-25T23:39:55.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,89.17542706964521,50.0,1610612740,21,8,2022-10-25T23:45:22Z,510000,0.0,49.0,1,right,J. Valanciunas Hook (6 PTS) (N. Marshall 1 AST),"[202685, 1630230]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,4.93,Made,6.0,,,,,,,,,,N. Marshall,1630230.0,1.0,,,,,
54,PT07M17.00S,2022-10-25T23:40:03.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,21,8,2022-10-25T23:40:03Z,530000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M17.00S,2022-10-25T23:42:39.5Z,1,REGULAR,substitution,out,[],201580,,,1610612742,21,8,2022-10-25T23:42:51Z,540000,,,0,,SUB out: J. McGee,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M17.00S,2022-10-25T23:42:39.5Z,1,REGULAR,substitution,in,[],1626174,,,1610612742,21,8,2022-10-25T23:42:51Z,550000,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M03.00S,2022-10-25T23:43:31.1Z,1,REGULAR,3pt,Jump Shot,[],203915,7.30946123521682,96.56862745098039,1610612742,21,11,2022-10-25T23:43:35Z,560000,-233.0,16.0,1,left,S. Dinwiddie 3PT  (3 PTS) (L. Doncic 2 AST),"[203915, 1629029]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Left Corner 3,24+ Left,23.34,Made,3.0,,,,,,,,,,L. Doncic,1629029.0,2.0,,,,,
59,PT06M44.00S,2022-10-25T23:43:50.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,69.85873850197109,75.73529411764706,1610612740,24,11,2022-10-25T23:43:54Z,580000,129.0,231.0,1,right,T. Murphy III 26' 3PT  (5 PTS) (C. McCollum 5 AST),"[1630530, 203468]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,26.43,Made,5.0,,,,,,,,,,C. McCollum,203468.0,5.0,,,,,
61,PT06M23.00S,2022-10-25T23:44:11.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,22.28975032851511,90.68627450980392,1610612742,24,11,2022-10-25T23:44:23Z,600000,-203.0,157.0,1,left,MISS L. Doncic 25' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,25.69,Missed,,,,,,,,,,,,,,,,,,
62,PT06M21.00S,2022-10-25T23:44:13.5Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612742,24,11,2022-10-25T23:44:23Z,610000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,,,61.0,1.0,0.0,1.0,,,,,,,,
64,PT06M15.00S,2022-10-25T23:44:35.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1627827,5.601182654402102,49.50980392156863,1610612742,24,13,2022-10-25T23:44:42Z,630000,2.0,0.0,1,left,D. Finney-Smith alley-oop DUNK (2 PTS) (R. Bullock 2 AST),"[1627827, 203493]",1610612742.0,DAL,alley-oop,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,0.25,Made,2.0,,,,,,,,,,R. Bullock,203493.0,2.0,,,,,
66,PT06M01.00S,2022-10-25T23:44:48.9Z,1,REGULAR,3pt,Jump Shot,[],203468,76.69185282522996,9.803921568627452,1610612740,24,13,2022-10-25T23:44:54Z,650000,-201.0,167.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.11,Missed,,,,,,,,,,,,,,,,,,
67,PT05M59.00S,2022-10-25T23:44:50.9Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,24,13,2022-10-25T23:44:54Z,660000,,,0,,D. Finney-Smith REBOUND (Off:1 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,,,,,,,,,66.0,2.0,1.0,1.0,,,,,,,,
68,PT05M53.00S,2022-10-25T23:45:04.5Z,1,REGULAR,foul,personal,[],1630530,,,1610612742,24,13,2022-10-25T23:45:12Z,670000,,,0,,T. Murphy III personal FOUL (1 PF),"[1630530, 1626174]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Center,,,,101283.0,1.0,0.0,Wood,1626174.0,,,,,,,,,,,,
70,PT05M37.00S,2022-10-25T23:45:29.5Z,1,REGULAR,3pt,Jump Shot,[],203493,7.30946123521682,96.32352941176471,1610612742,24,13,2022-10-25T23:45:37Z,690000,-232.0,16.0,1,left,MISS R. Bullock 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Left Corner 3,24+ Left,23.22,Missed,,,,,,,,,,,,,,,,,,
71,PT05M33.00S,2022-10-25T23:45:32.2Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,24,13,2022-10-25T23:45:32Z,700000,,,0,,T. Murphy III REBOUND (Off:0 Def:2),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,
72,PT05M19.00S,2022-10-25T23:45:50.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,86.81011826544021,45.588235294117645,1610612740,26,13,2022-10-25T23:45:57Z,710000,-22.0,71.0,1,right,J. Valanciunas 7' turnaround Hook (8 PTS) (C. McCollum 6 AST),"[202685, 203468]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,7.48,Made,8.0,,,,,,,,,,C. McCollum,203468.0,6.0,,,,,
74,PT05M19.00S,2022-10-25T23:45:53.4Z,1,REGULAR,foul,personal,['1freethrow'],1626174,,,1610612740,26,13,2022-10-25T23:46:01Z,730000,,,0,,C. Wood shooting personal FOUL (1 PF) (Valanciunas 1 FT),"[1626174, 202685]",1610612742.0,DAL,shooting,,,Wood,C. Wood,,,,,In The Paint (Non-RA),8-16 Center,,,,101283.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,
76,PT05M19.00S,2022-10-25T23:46:06.8Z,1,REGULAR,substitution,out,[],203915,,,1610612740,26,13,2022-10-25T23:48:37Z,750000,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M19.00S,2022-10-25T23:46:06.8Z,1,REGULAR,substitution,in,[],1628467,,,1610612740,26,13,2022-10-25T23:48:37Z,760000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M19.00S,2022-10-25T23:46:30.8Z,1,REGULAR,freethrow,1 of 1,[],202685,,,1610612740,27,13,2022-10-25T23:46:30Z,770000,,,0,,J. Valanciunas Free Throw 1 of 1 (9 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
79,PT05M02.00S,2022-10-25T23:46:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,13.61695137976347,37.99019607843137,1610612742,27,15,2022-10-25T23:46:57Z,780000,60.0,75.0,1,left,L. Doncic 9' driving floating Jump Shot (6 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Right,9.64,Made,6.0,,,,,,,,,,,,,,,,,
80,PT04M50.00S,2022-10-25T23:47:00.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,92.06636005256242,62.99019607843137,1610612740,29,15,2022-10-25T23:48:37Z,790000,65.0,22.0,1,right,C. McCollum 6' driving floating bank Jump Shot (2 PTS),[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,6.87,Made,2.0,,,,,,,,,,,,,,,,,
81,PT04M35.00S,2022-10-25T23:47:18.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,15.982260183968464,36.27450980392157,1610612742,29,17,2022-10-25T23:47:29Z,800000,69.0,98.0,1,left,L. Doncic 11' turnaround Jump Shot (8 PTS),[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Right,11.94,Made,8.0,,,,,,,,,,,,,,,,,
82,PT04M35.00S,2022-10-25T23:47:21.6Z,1,REGULAR,foul,personal,['1freethrow'],1630230,,,1610612742,29,17,2022-10-25T23:47:57Z,810000,,,0,,N. Marshall shooting personal FOUL (1 PF) (Doncic 1 FT),"[1630230, 1629029]",1610612740.0,NOP,shooting,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Right,,,,2003.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,
84,PT04M35.00S,2022-10-25T23:47:30.2Z,1,REGULAR,substitution,out,[],1630230,,,1610612742,29,17,2022-10-25T23:48:37Z,830000,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M35.00S,2022-10-25T23:47:30.2Z,1,REGULAR,substitution,out,[],1630631,,,1610612742,29,17,2022-10-25T23:48:37Z,840000,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M35.00S,2022-10-25T23:47:30.2Z,1,REGULAR,substitution,out,[],202685,,,1610612742,29,17,2022-10-25T23:48:37Z,850000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M35.00S,2022-10-25T23:47:30.2Z,1,REGULAR,substitution,in,[],1626204,,,1610612742,29,17,2022-10-25T23:48:37Z,860000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M35.00S,2022-10-25T23:47:30.2Z,1,REGULAR,substitution,in,[],1628984,,,1610612742,29,17,2022-10-25T23:48:37Z,870000,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M35.00S,2022-10-25T23:47:30.2Z,1,REGULAR,substitution,in,[],1630700,,,1610612742,29,17,2022-10-25T23:48:37Z,880000,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M35.00S,2022-10-25T23:48:02.6Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,29,18,2022-10-25T23:48:02Z,890000,,,0,,L. Doncic Free Throw 1 of 1 (9 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
