actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
26,PT09M17.00S,2022-11-29T01:13:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630197,89.30683311432325,45.83333333333333,1610612760,4,5,2022-11-29T01:15:43Z,260000,False,-21.0,48.0,1,right,MISS A. Pokusevski driving floating Shot,[1630197],1610612760.0,OKC,driving floating,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.23,Missed,,,,,,,,,,
27,PT09M12.00S,2022-11-29T01:13:22.6Z,1,REGULAR,rebound,offensive,[],1630197,,,1610612760,4,5,2022-11-29T01:15:43Z,270000,False,,,0,,A. Pokusevski REBOUND (Off:1 Def:0),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,
28,PT09M12.00S,2022-11-29T01:13:22.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630197,88.51839684625493,48.77450980392157,1610612760,4,5,2022-11-29T01:13:35Z,280000,False,-6.0,55.0,1,right,MISS A. Pokusevski putback Layup,[1630197],1610612760.0,OKC,putback,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.57,Missed,,,,,,,,,,
29,PT09M09.00S,2022-11-29T01:13:25.5Z,1,REGULAR,rebound,offensive,[],1630197,,,1610612760,4,5,2022-11-29T01:13:25Z,290000,False,,,0,,A. Pokusevski REBOUND (Off:2 Def:0),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,28.0,2.0,0.0,2.0,,,,,,
30,PT09M09.00S,2022-11-29T01:13:25.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630197,94.40999984741211,50.0,1610612760,4,7,2022-11-29T01:13:25Z,300000,False,0.0,0.0,1,right,A. Pokusevski tip Layup (5 PTS),[1630197],1610612760.0,OKC,tip,,,Pokusevski,A. Pokusevski,,,,,Mid-Range,8-16 Left,,,,,,,,,0.0,Made,,,,,5.0,,,,,
31,PT08M59.00S,2022-11-29T01:13:35.9Z,1,REGULAR,turnover,bad pass,[],1629627,,,1610612740,4,7,2022-11-29T01:13:47Z,310000,False,,,0,,Z. Williamson bad pass TURNOVER (1 TO),"[1629627, 1629652]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,,,,,1.0,Dort,1629652.0,,,,,,,,,,,,
32,PT08M59.00S,2022-11-29T01:13:35.9Z,1,REGULAR,steal,,[],1629652,,,1610612760,4,7,2022-11-29T01:13:37Z,320000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
33,PT08M54.00S,2022-11-29T01:13:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630581,90.3580814717477,49.26470588235294,1610612760,4,9,2022-11-29T01:13:59Z,330000,False,-4.0,38.0,1,right,J. Giddey driving Layup (4 PTS),[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,3.83,Made,,,,,4.0,,,,,
34,PT08M54.00S,2022-11-29T01:13:56.2Z,1,REGULAR,foul,personal,['1freethrow'],1629627,,,1610612760,4,9,2022-11-29T01:14:10Z,340000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Giddey 1 FT),"[1629627, 1630581]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,202058.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,,,,,,
36,PT08M54.00S,2022-11-29T01:14:14.2Z,1,REGULAR,foul,technical,['1freethrow'],1629627,,,1610612760,4,9,2022-11-29T01:14:21Z,360000,False,,,0,,Z. Williamson technical FOUL (1 Tech),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,202058.0,1.0,1.0,,,,,,,,,,,,,,,,,
37,PT08M54.00S,2022-11-29T01:14:22.7Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,4,10,2022-11-29T01:14:22Z,370000,False,,,0,,S. Gilgeous-Alexander technical Free Throw 1 of 1 (1 PTS),[1628983],1610612760.0,OKC,technical,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,Made,,,,,1.0,,,,,
38,PT08M54.00S,2022-11-29T01:14:38.4Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1630581,,,1610612760,4,11,2022-11-29T01:14:38Z,380000,False,,,0,,J. Giddey Free Throw 1 of 1 (5 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,Made,,,,,5.0,,,,,
39,PT08M46.00S,2022-11-29T01:14:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,8.886333771353483,46.07843137254902,1610612740,6,11,2022-11-29T01:14:53Z,390000,False,20.0,31.0,1,left,J. Alvarado driving Layup (2 PTS),[1630631],1610612740.0,NOP,driving,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,,,,,,,,,3.67,Made,,,,,2.0,,,,,
40,PT08M39.00S,2022-11-29T01:14:55.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630526,95.0886990801577,96.56862745098039,1610612760,6,14,2022-11-29T01:15:00Z,400000,False,233.0,-6.0,1,right,J. Robinson-Earl 3PT  (3 PTS) (J. Giddey 1 AST),"[1630526, 1630581]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Right Corner 3,24+ Right,,,,,,,,,23.29,Made,,,,,3.0,J. Giddey,1630581.0,1.0,,
42,PT08M25.00S,2022-11-29T01:15:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,8.623521681997373,49.01960784313725,1610612740,8,14,2022-11-29T01:15:14Z,420000,False,5.0,29.0,1,left,Z. Williamson cutting Layup (4 PTS),[1629627],1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,2.9,Made,,,,,4.0,,,,,
43,PT08M16.00S,2022-11-29T01:15:17.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630526,91.80354796320631,49.754901960784316,1610612760,8,16,2022-11-29T01:15:35Z,430000,False,-1.0,25.0,1,right,J. Robinson-Earl driving Layup (5 PTS) (L. Dort 2 AST),"[1630526, 1629652]",1610612760.0,OKC,driving,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,,,,,2.45,Made,,,,,5.0,L. Dort,1629652.0,2.0,,
46,PT07M56.00S,2022-11-29T01:15:48.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,8.360709592641262,51.470588235294116,1610612740,10,16,2022-11-29T01:15:52Z,460000,False,-7.0,26.0,1,left,J. Valanciunas Hook (2 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,2.71,Made,,,,,2.0,H. Jones,1630529.0,1.0,,
48,PT07M47.00S,2022-11-29T01:15:57.6Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,10,16,2022-11-29T01:16:06Z,480000,False,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (2 TO),"[1628983, 1630530]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Center,,,,,,2.0,Murphy III,1630530.0,,,,,,,,,,,,
49,PT07M47.00S,2022-11-29T01:15:57.6Z,1,REGULAR,steal,,[],1630530,,,1610612740,10,16,2022-11-29T01:15:59Z,490000,False,,,0,,T. Murphy III STEAL (2 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M41.00S,2022-11-29T01:16:02.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,6.783837056504599,49.754901960784316,1610612740,10,16,2022-11-29T01:16:11Z,500000,False,1.0,11.0,1,left,MISS H. Jones alley-oop DUNK,[1630529],1610612740.0,NOP,alley-oop,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,1.14,Missed,,,,,,,,,,
51,PT07M37.00S,2022-11-29T01:16:07.0Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,10,16,2022-11-29T01:16:07Z,510000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,50.0,1.0,0.0,1.0,,,,,,
52,PT07M37.00S,2022-11-29T01:16:07.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630530,5.590000152587891,50.0,1610612740,12,16,2022-11-29T01:26:17Z,520000,False,0.0,0.0,1,left,T. Murphy III tip DUNK (2 PTS),[1630530],1610612740.0,NOP,tip,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,,0.0,Made,,,,,2.0,,,,,
53,PT07M29.00S,2022-11-29T01:16:15.5Z,1,REGULAR,3pt,Jump Shot,[],1630526,95.87713534822602,4.411764705882353,1610612760,12,16,2022-11-29T01:16:19Z,530000,False,-228.0,-14.0,1,right,MISS J. Robinson-Earl 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Left Corner 3,24+ Left,,,,,,,,,22.83,Missed,,,,,,,,,,
54,PT07M25.00S,2022-11-29T01:16:19.5Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,12,16,2022-11-29T01:16:19Z,540000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,
55,PT07M02.00S,2022-11-29T01:16:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,15.982260183968464,40.19607843137255,1610612740,12,16,2022-11-29T01:16:56Z,550000,False,49.0,98.0,1,left,MISS Z. Williamson 10' driving floating Shot,[1629627],1610612740.0,NOP,driving floating,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,10.93,Missed,,,,,,,,,,
56,PT07M00.00S,2022-11-29T01:16:44.0Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,12,16,2022-11-29T01:16:56Z,560000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,55.0,1.0,0.0,1.0,,,,,,
57,PT07M00.00S,2022-11-29T01:16:47.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,5.590000152587891,50.0,1610612740,12,16,2022-11-29T01:16:47Z,570000,False,0.0,0.0,1,left,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,,,,,,,,,0.0,Missed,,,,,,,,,,
58,PT07M00.00S,2022-11-29T01:16:48.5Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,12,16,2022-11-29T01:16:48Z,580000,False,,,0,,J. Valanciunas REBOUND (Off:2 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,,,,,,,,,,,57.0,2.0,0.0,2.0,,,,,,
59,PT07M00.00S,2022-11-29T01:16:56.7Z,1,REGULAR,foul,offensive,[],202685,,,1610612740,12,16,2022-11-29T01:17:17Z,590000,False,,,0,,J. Valanciunas charge offensive FOUL (2 PF),"[202685, 1629652]",1610612740.0,NOP,charge,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,202901.0,2.0,0.0,Dort,1629652.0,,,,,,,,,,,,,,,
61,PT07M00.00S,2022-11-29T01:16:56.7Z,1,REGULAR,turnover,offensive foul,[],202685,,,1610612740,12,16,2022-11-29T01:16:56Z,610000,False,,,0,,J. Valanciunas offensive foul TURNOVER (2 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,202901.0,,,,,2.0,,,,,,,,,,,,,,
62,PT06M52.00S,2022-11-29T01:17:32.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,12,16,2022-11-29T01:17:32Z,620000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M52.00S,2022-11-29T01:19:47.0Z,1,REGULAR,substitution,out,[],202685,,,1610612760,12,16,2022-11-29T01:20:15Z,630000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M52.00S,2022-11-29T01:19:47.0Z,1,REGULAR,substitution,in,[],1626195,,,1610612760,12,16,2022-11-29T01:20:15Z,640000,False,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M45.00S,2022-11-29T01:20:34.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,69.07030223390277,22.794117647058822,1610612760,12,16,2022-11-29T01:20:39Z,650000,False,-136.0,238.0,1,right,MISS L. Dort 27' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,,,,27.43,Missed,,,,,,,,,,
66,PT06M40.00S,2022-11-29T01:20:39.7Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,12,16,2022-11-29T01:20:39Z,660000,False,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,
67,PT06M35.00S,2022-11-29T01:20:43.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630529,28.07161629434954,78.18627450980392,1610612740,15,16,2022-11-29T01:20:51Z,670000,False,-141.0,211.0,1,left,H. Jones 25' 3PT  (5 PTS) (J. Alvarado 2 AST),"[1630529, 1630631]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.41,Made,,,,,5.0,J. Alvarado,1630631.0,2.0,,
69,PT06M21.00S,2022-11-29T01:20:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,91.80354796320631,59.068627450980394,1610612760,15,16,2022-11-29T01:21:03Z,690000,False,45.0,25.0,1,right,MISS J. Giddey cutting Layup - blocked,"[1630581, 1630530]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.15,Missed,,,,,,,,,Murphy III,1630530.0
70,PT06M21.00S,2022-11-29T01:20:57.9Z,1,REGULAR,block,,[],1630530,,,1610612760,15,16,2022-11-29T01:21:00Z,700000,False,,,0,,T. Murphy III BLOCK (1 BLK),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT06M18.00S,2022-11-29T01:21:00.9Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,15,16,2022-11-29T01:21:03Z,710000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,
72,PT06M14.00S,2022-11-29T01:21:05.4Z,1,REGULAR,3pt,Jump Shot,[],1630631,30.699737187910642,68.13725490196079,1610612740,18,16,2022-11-29T01:21:25Z,720000,False,-91.0,236.0,1,left,J. Alvarado 25' 3PT  (5 PTS) (Z. Williamson 1 AST),"[1630631, 1629627]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.29,Made,,,,,5.0,Z. Williamson,1629627.0,1.0,,
74,PT05M52.00S,2022-11-29T01:21:27.2Z,1,REGULAR,2pt,Jump Shot,[],1630581,94.82588699080158,72.30392156862744,1610612760,18,18,2022-11-29T01:21:43Z,740000,False,112.0,-4.0,1,right,J. Giddey 11' pullup Jump Shot (7 PTS) (J. Robinson-Earl 1 AST),"[1630581, 1630526]",1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,,,,,,,,,11.16,Made,,,,,7.0,J. Robinson-Earl,1630526.0,1.0,,
76,PT05M32.00S,2022-11-29T01:21:46.2Z,1,REGULAR,3pt,Jump Shot,[],1630631,32.802233902759525,47.30392156862745,1610612740,18,18,2022-11-29T01:21:53Z,760000,False,13.0,256.0,1,left,MISS J. Alvarado 25' 3PT,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Center,,,,,,,,,25.62,Missed,,,,,,,,,,
77,PT05M28.00S,2022-11-29T01:21:50.2Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,18,18,2022-11-29T01:22:57Z,770000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,76.0,2.0,1.0,1.0,,,,,,
78,PT05M25.00S,2022-11-29T01:21:53.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630530,28.203022339027594,18.38235294117647,1610612740,18,18,2022-11-29T01:22:10Z,780000,False,158.0,213.0,1,left,MISS T. Murphy III 26' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,,,,26.49,Missed,,,,,,,,,,
79,PT05M23.00S,2022-11-29T01:21:55.3Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,18,18,2022-11-29T01:22:10Z,790000,False,,,0,,T. Murphy III REBOUND (Off:2 Def:0),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,78.0,2.0,0.0,2.0,,,,,,
