actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
19,PT10M27.00S,2026-02-25T01:14:02.6Z,1,REGULAR,foul,personal,['2freethrow'],1630163,,,1610612741,3,2,2026-02-25T01:14:12Z,190000,False,,,0,,L. Ball shooting personal FOUL (1 PF) (Okoro 2 FT),"[1630163, 1630171]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201639.0,1.0,0.0,Okoro,1630171.0,,,,,
21,PT10M27.00S,2026-02-25T01:14:26.3Z,1,REGULAR,freethrow,1 of 2,[],1630171,,,1610612741,4,2,2026-02-25T01:14:26Z,210000,False,,,0,,I. Okoro Free Throw 1 of 2 (1 PTS),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
22,PT10M27.00S,2026-02-25T01:14:40.2Z,1,REGULAR,freethrow,2 of 2,[],1630171,,,1610612741,5,2,2026-02-25T01:14:40Z,220000,False,,,0,,I. Okoro Free Throw 2 of 2 (2 PTS),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
23,PT10M12.00S,2026-02-25T01:14:56.5Z,1,REGULAR,3pt,Jump Shot,[],1630163,33.98488830486202,57.59803921568627,1610612766,5,2,2026-02-25T01:16:03Z,230000,False,-38.0,267.0,1,left,MISS L. Ball 26' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,26.97,Missed,,,,,,,,,,,,,,,,,,
24,PT10M11.00S,2026-02-25T01:14:57.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,5,2,2026-02-25T01:15:03Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,23.0,,,,,,,,,,
25,PT10M11.00S,2026-02-25T01:15:04.1Z,1,REGULAR,foul,personal,[],1627824,,,1610612766,5,2,2026-02-25T01:15:27Z,250000,False,,,0,,G. Yabusele loose ball personal FOUL (1 PF),"[1627824, 1631217]",1610612741.0,CHI,loose ball,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201639.0,1.0,0.0,Diabaté,1631217.0,,,,,
27,PT09M59.00S,2026-02-25T01:15:29.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641706,33.327858081471746,55.63725490196079,1610612766,5,5,2026-02-25T01:15:35Z,270000,False,-28.0,261.0,1,left,B. Miller 26' 3PT pullup (5 PTS),[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,26.23,Made,5.0,,,,,,,,,,,,,,,,,
28,PT09M46.00S,2026-02-25T01:15:41.4Z,1,REGULAR,3pt,Jump Shot,[],1627824,66.5735873850197,53.67647058823529,1610612741,8,5,2026-02-25T01:15:45Z,280000,False,18.0,262.0,1,right,G. Yabusele 26' 3PT  (3 PTS) (P. Williams 1 AST),"[1627824, 1630172]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Center,26.23,Made,3.0,P. Williams,1630172.0,1.0,,,,,,,,,,,,,,
30,PT09M32.00S,2026-02-25T01:15:56.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,11.563731931668856,49.41023284313725,1610612766,8,5,2026-02-25T01:16:00Z,300000,False,3.0,56.0,1,left,MISS M. Bridges driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,5.63,Missed,,,,,,,,,,,,,,,,,,
31,PT09M29.00S,2026-02-25T01:15:59.0Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,8,5,2026-02-25T01:16:00Z,310000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,30.0,,,,,,1.0,0.0,1.0,,
32,PT09M29.00S,2026-02-25T01:15:59.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628970,5.590000152587891,50.0,1610612766,8,7,2026-02-25T01:16:04Z,320000,False,0.0,0.0,1,left,M. Bridges putback Layup (2 PTS),[1628970],1610612766.0,CHA,putback,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
33,PT09M19.00S,2026-02-25T01:16:09.2Z,1,REGULAR,3pt,Jump Shot,[],1641824,95.48291721419186,97.30392156862744,1610612741,8,7,2026-02-25T01:16:14Z,330000,False,237.0,-10.0,1,right,MISS M. Buzelis 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Right Corner 3,24+ Right,23.67,Missed,,,,,,,,,,,,,,,,,,
34,PT09M16.00S,2026-02-25T01:16:12.2Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,8,7,2026-02-25T01:16:14Z,340000,False,,,0,,M. Diabaté REBOUND (Off:0 Def:1),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Right Corner 3,24+ Right,,,,,,,,,,33.0,,,,,,1.0,1.0,0.0,,
35,PT09M12.00S,2026-02-25T01:16:16.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642851,23.078186596583443,12.009803921568627,1610612766,8,7,2026-02-25T01:17:37Z,350000,False,190.0,164.0,1,left,MISS K. Knueppel 25' running 3PT,[1642851],1610612766.0,CHA,running,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Right Center,25.13,Missed,,,,,,,,,,,,,,,,,,
36,PT09M08.00S,2026-02-25T01:16:20.2Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,8,7,2026-02-25T01:17:37Z,360000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:1),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,35.0,,,,,,2.0,1.0,1.0,,
37,PT08M57.00S,2026-02-25T01:16:31.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641706,16.507884362680684,57.59803921568627,1610612766,8,7,2026-02-25T01:18:09Z,370000,False,-38.0,103.0,1,left,MISS B. Miller 10' Jump Shot,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,10.95,Missed,,,,,,,,,,,,,,,,,,
38,PT08M53.00S,2026-02-25T01:16:35.2Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,8,7,2026-02-25T01:16:35Z,380000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,37.0,,,,,,1.0,1.0,0.0,,
39,PT08M40.00S,2026-02-25T01:16:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,85.54533508541394,58.111213235294116,1610612741,8,7,2026-02-25T01:16:55Z,390000,False,41.0,83.0,1,right,MISS J. Giddey 9' floating Shot,[1630581],1610612741.0,CHI,floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,9.28,Missed,,,,,,,,,,,,,,,,,,
40,PT08M37.00S,2026-02-25T01:16:51.9Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,8,7,2026-02-25T01:16:55Z,400000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:2),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,39.0,,,,,,3.0,2.0,1.0,,
41,PT08M21.00S,2026-02-25T01:17:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,31.882391590013142,62.254901960784316,1610612766,8,7,2026-02-25T01:19:00Z,410000,False,-61.0,247.0,1,left,MISS L. Ball 25' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,25.47,Missed,,,,,,,,,,,,,,,,,,
42,PT08M18.00S,2026-02-25T01:17:10.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,8,7,2026-02-25T01:17:12Z,420000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,,,,,41.0,,,,,,1.0,1.0,0.0,,
43,PT08M11.00S,2026-02-25T01:17:17.4Z,1,REGULAR,3pt,Jump Shot,[],1630172,96.92838370565046,98.52941176470588,1610612741,8,7,2026-02-25T01:17:22Z,430000,False,243.0,-24.0,1,right,MISS P. Williams 24' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,24.37,Missed,,,,,,,,,,,,,,,,,,
44,PT08M09.00S,2026-02-25T01:17:19.4Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,8,7,2026-02-25T01:17:22Z,440000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:3),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Right Corner 3,24+ Right,,,,,,,,,,43.0,,,,,,4.0,3.0,1.0,,
45,PT08M02.00S,2026-02-25T01:17:26.4Z,1,REGULAR,turnover,bad pass,[],1641706,,,1610612766,8,7,2026-02-25T01:17:31Z,450000,False,,,0,,B. Miller bad pass TURNOVER (1 TO),"[1641706, 1641824]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Buzelis,1641824.0,,,,,,,,,,,
46,PT08M02.00S,2026-02-25T01:17:26.4Z,1,REGULAR,steal,,[],1641824,,,1610612741,8,7,2026-02-25T01:17:28Z,460000,False,,,0,,M. Buzelis STEAL (1 STL),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
48,PT07M52.00S,2026-02-25T01:17:56.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641824,91.59001314060447,3.4543504901960786,1610612741,11,7,2026-02-25T01:18:04Z,480000,False,-233.0,27.0,1,right,M. Buzelis 3PT  (3 PTS) (I. Okoro 1 AST),"[1641824, 1630171]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Left Corner 3,24+ Left,23.42,Made,3.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,,,,
50,PT07M49.00S,2026-02-25T01:18:04.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,11,7,2026-02-25T01:18:04Z,500000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M37.00S,2026-02-25T01:21:29.9Z,1,REGULAR,turnover,bad pass,[],1641706,,,1610612766,11,7,2026-02-25T01:21:35Z,510000,False,,,0,,B. Miller bad pass TURNOVER (2 TO),"[1641706, 1627824]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,,,,2.0,Yabusele,1627824.0,,,,,,,,,,,
52,PT07M37.00S,2026-02-25T01:21:29.9Z,1,REGULAR,steal,,[],1627824,,,1610612741,11,7,2026-02-25T01:21:31Z,520000,False,,,0,,G. Yabusele STEAL (1 STL),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
53,PT07M35.00S,2026-02-25T01:21:32.9Z,1,REGULAR,turnover,lost ball,[],1627824,,,1610612741,11,7,2026-02-25T01:21:36Z,530000,False,,,0,,G. Yabusele lost ball TURNOVER (1 TO),"[1627824, 1631217]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Diabaté,1631217.0,,,,,,,,,,,
54,PT07M35.00S,2026-02-25T01:21:32.9Z,1,REGULAR,steal,,[],1631217,,,1610612766,11,7,2026-02-25T01:21:34Z,540000,False,,,0,,M. Diabaté STEAL (1 STL),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M25.00S,2026-02-25T01:21:42.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,29.25427069645204,81.12745098039215,1610612766,11,7,2026-02-25T01:21:48Z,550000,False,-156.0,222.0,1,left,MISS L. Ball 27' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,27.15,Missed,,,,,,,,,,,,,,,,,,
56,PT07M21.00S,2026-02-25T01:21:46.6Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,11,7,2026-02-25T01:21:48Z,560000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,55.0,,,,,,1.0,1.0,0.0,,
57,PT07M11.00S,2026-02-25T01:22:23.9Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612741,11,7,2026-02-25T01:22:23Z,570000,False,,,0,,Jump Ball P. Williams vs. K. Knueppel: Tip to J. Giddey,"[1630581, 1630172, 1642851]",1610612741.0,CHI,heldball,J. Giddey,1630581.0,Giddey,J. Giddey,Williams,1630172.0,Knueppel,1642851.0,,,,,,,,,,,,,,,,,,,,,,
60,PT07M09.00S,2026-02-25T01:22:25.8Z,1,REGULAR,3pt,Jump Shot,[],1630581,69.07030223390277,28.431372549019606,1610612741,11,7,2026-02-25T01:22:31Z,600000,False,-108.0,238.0,1,right,MISS J. Giddey 26' 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,26.15,Missed,,,,,,,,,,,,,,,,,,
61,PT07M07.00S,2026-02-25T01:22:27.8Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,11,7,2026-02-25T01:22:31Z,610000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,60.0,,,,,,1.0,1.0,0.0,,
62,PT06M54.00S,2026-02-25T01:22:41.5Z,1,REGULAR,turnover,lost ball,[],1630163,,,1610612766,11,7,2026-02-25T01:22:45Z,620000,False,,,0,,L. Ball lost ball TURNOVER (2 TO),"[1630163, 1630581]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,2.0,Giddey,1630581.0,,,,,,,,,,,
63,PT06M54.00S,2026-02-25T01:22:41.5Z,1,REGULAR,steal,,[],1630581,,,1610612741,11,7,2026-02-25T01:22:43Z,630000,False,,,0,,J. Giddey STEAL (2 STL),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
64,PT06M51.00S,2026-02-25T01:22:44.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630581,93.38042049934296,50.245098039215684,1610612741,13,7,2026-02-25T01:22:51Z,640000,False,1.0,10.0,1,right,J. Giddey running finger roll Layup (2 PTS),[1630581],1610612741.0,CHI,running finger roll,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,0.98,Made,2.0,,,,,,,,,,,,,,,,,
65,PT06M32.00S,2026-02-25T01:23:03.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,12.483574244415244,96.83670343137256,1610612766,13,10,2026-02-25T01:23:11Z,650000,False,-234.0,65.0,1,left,M. Bridges 24' 3PT  (5 PTS) (L. Ball 2 AST),"[1628970, 1630163]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,24.3,Made,5.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,,
67,PT06M22.00S,2026-02-25T01:23:13.3Z,1,REGULAR,3pt,Jump Shot,[],1627824,72.7496714848883,18.38235294117647,1610612741,13,10,2026-02-25T01:23:19Z,670000,False,-158.0,204.0,1,right,MISS G. Yabusele 25' 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,25.79,Missed,,,,,,,,,,,,,,,,,,
68,PT06M19.00S,2026-02-25T01:23:16.3Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,13,10,2026-02-25T01:23:19Z,680000,False,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,67.0,,,,,,2.0,1.0,1.0,,
69,PT06M12.00S,2026-02-25T01:23:23.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,29.911300919842315,75.98039215686273,1610612766,13,13,2026-02-25T01:23:28Z,690000,False,-130.0,229.0,1,left,L. Ball 26' 3PT  (3 PTS) (M. Diabaté 1 AST),"[1630163, 1631217]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,26.3,Made,3.0,M. Diabaté,1631217.0,1.0,,,,,,,,,,,,,,
71,PT05M51.00S,2026-02-25T01:23:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641824,83.26215505913272,44.85294117647059,1610612741,13,13,2026-02-25T01:23:48Z,710000,False,-26.0,105.0,1,right,MISS M. Buzelis 10' turnaround fadeaway Shot,[1641824],1610612741.0,CHI,turnaround fadeaway,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),8-16 Center,10.79,Missed,,,,,,,,,,,,,,,,,,
72,PT05M49.00S,2026-02-25T01:23:45.7Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,13,13,2026-02-25T01:23:48Z,720000,False,,,0,,M. Bridges REBOUND (Off:1 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,71.0,,,,,,3.0,2.0,1.0,,
73,PT05M41.00S,2026-02-25T01:23:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,5.732588699080158,48.28431372549019,1610612766,13,15,2026-02-25T01:23:57Z,730000,False,9.0,1.0,1,left,L. Ball driving finger roll Layup (5 PTS),[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,0.87,Made,5.0,,,,,,,,,,,,,,,,,
74,PT05M30.00S,2026-02-25T01:24:07.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,81.99737187910644,52.045036764705884,1610612741,15,15,2026-02-25T01:24:30Z,740000,False,10.0,117.0,1,right,J. Giddey 11' driving floating Jump Shot (4 PTS),[1630581],1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,11.71,Made,4.0,,,,,,,,,,,,,,,,,
75,PT05M30.00S,2026-02-25T01:24:09.9Z,1,REGULAR,foul,personal,['1freethrow'],1630163,,,1610612741,15,15,2026-02-25T01:24:46Z,750000,False,,,0,,L. Ball shooting personal FOUL (2 PF) (Giddey 1 FT),"[1630163, 1630581]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1626300.0,2.0,0.0,Giddey,1630581.0,,,,,
77,PT05M30.00S,2026-02-25T01:24:18.2Z,1,REGULAR,substitution,out,[],1628970,,,1610612741,15,15,2026-02-25T01:24:45Z,770000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M30.00S,2026-02-25T01:24:18.2Z,1,REGULAR,substitution,out,[],1641706,,,1610612741,15,15,2026-02-25T01:24:45Z,780000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M30.00S,2026-02-25T01:24:18.2Z,1,REGULAR,substitution,out,[],1630163,,,1610612741,15,15,2026-02-25T01:24:45Z,790000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M30.00S,2026-02-25T01:24:18.2Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,15,15,2026-02-25T01:24:45Z,800000,False,,,0,,SUB in: C. White,[1629632],1610612766.0,CHA,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M30.00S,2026-02-25T01:24:18.2Z,1,REGULAR,substitution,in,[],1630182,,,1610612741,15,15,2026-02-25T01:24:45Z,810000,False,,,0,,SUB in: J. Green,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M30.00S,2026-02-25T01:24:18.2Z,1,REGULAR,substitution,in,[],1629684,,,1610612741,15,15,2026-02-25T01:24:45Z,820000,False,,,0,,SUB in: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M30.00S,2026-02-25T01:24:18.2Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,15,15,2026-02-25T01:24:56Z,825000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M30.00S,2026-02-25T01:24:18.2Z,1,REGULAR,substitution,in,[],1642265,,,1610612741,15,15,2026-02-25T01:24:56Z,827500,False,,,0,,SUB in: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M30.00S,2026-02-25T01:24:47.4Z,1,REGULAR,freethrow,1 of 1,[],1630581,,,1610612741,16,15,2026-02-25T01:24:47Z,830000,False,,,0,,J. Giddey Free Throw 1 of 1 (5 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
