actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
33,PT09M26.00S,2026-01-01T00:15:55.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630200,13.091327201051248,97.05882352941177,1610612741,12,4,2026-01-01T00:15:58Z,330000,False,-235.0,71.0,1,left,T. Jones 24' 3PT  (3 PTS) (N. Vučević 2 AST),"[1630200, 202696]",1610612741.0,CHI,,,,Jones,T. Jones,,,,,,Left Corner 3,24+ Left,24.57,Made,3.0,N. Vučević,202696.0,2.0,,,,,,,,,,,,,
35,PT09M11.00S,2026-01-01T00:16:11.5Z,1,REGULAR,turnover,out-of-bounds,[],1642847,,,1610612740,12,4,2026-01-01T00:16:55Z,350000,False,,,0,,J. Fears bad pass out-of-bounds TURNOVER (1 TO),[1642847],1610612740.0,NOP,bad pass,,,Fears,J. Fears,,,,,202026.0,Left Corner 3,24+ Left,,,,,,,,,,,,,1.0,,,,,,
36,PT08M53.00S,2026-01-01T00:16:32.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202696,12.171484888304862,51.9607843137255,1610612741,14,4,2026-01-01T00:16:38Z,360000,False,-10.0,62.0,1,left,N. Vučević 6' turnaround Hook (2 PTS),[202696],1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,,In The Paint (Non-RA),0-8 Center,6.27,Made,2.0,,,,,,,,,,,,,,,,
37,PT08M41.00S,2026-01-01T00:16:44.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629627,90.75229960578186,51.9607843137255,1610612740,14,4,2026-01-01T00:18:23Z,370000,False,10.0,34.0,1,right,MISS Z. Williamson driving Hook,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,,,,,,,,
38,PT08M41.00S,2026-01-01T00:16:46.8Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,14,4,2026-01-01T00:16:46Z,380000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,,,,,,,37.0,1.0,0.0,1.0,,,,,,,,,
39,PT08M41.00S,2026-01-01T00:16:46.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,94.40999984741211,50.0,1610612740,14,4,2026-01-01T00:16:46Z,390000,False,0.0,0.0,1,right,MISS Z. Williamson tip Layup,[1629627],1610612740.0,NOP,tip,,,Williamson,Z. Williamson,,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,
40,PT08M41.00S,2026-01-01T00:16:47.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,14,4,2026-01-01T00:16:47Z,400000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,39.0,,,,,,,,,,,,
42,PT08M36.00S,2026-01-01T00:17:04.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630530,69.46452036793693,67.15686274509804,1610612740,14,7,2026-01-01T00:19:12Z,420000,False,86.0,235.0,1,right,T. Murphy III 24' 3PT pullup (3 PTS) (D. Queen 2 AST),"[1630530, 1642852]",1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,,Above the Break 3,24+ Right Center,24.97,Made,3.0,D. Queen,1642852.0,2.0,,,,,,,,,,,,,
44,PT08M24.00S,2026-01-01T00:17:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,6.652431011826544,49.01960784313725,1610612741,16,7,2026-01-01T00:17:20Z,440000,False,5.0,10.0,1,left,M. Buzelis driving Layup (4 PTS),[1641824],1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,,Restricted Area,0-8 Center,1.11,Made,4.0,,,,,,,,,,,,,,,,
45,PT08M08.00S,2026-01-01T00:17:31.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,85.62746386333771,50.73529411764706,1610612740,16,9,2026-01-01T00:20:07Z,450000,False,4.0,83.0,1,right,S. Bey 8' driving floating Jump Shot (2 PTS) (T. Murphy III 1 AST),"[1630180, 1630530]",1610612740.0,NOP,driving floating,,,Bey,S. Bey,,,,,,In The Paint (Non-RA),8-16 Center,8.27,Made,2.0,T. Murphy III,1630530.0,1.0,,,,,,,,,,,,,
47,PT08M03.00S,2026-01-01T00:17:40.6Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612741,16,9,2026-01-01T00:17:48Z,470000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Okoro 2 FT),"[1629627, 1630171]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,1628485.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Okoro,1630171.0
49,PT08M03.00S,2026-01-01T00:18:06.0Z,1,REGULAR,freethrow,1 of 2,[],1630171,,,1610612741,17,9,2026-01-01T00:18:06Z,490000,False,,,0,,I. Okoro Free Throw 1 of 2 (3 PTS),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
50,PT08M03.00S,2026-01-01T00:18:06.6Z,1,REGULAR,substitution,out,[],1642852,,,1610612741,17,9,2026-01-01T00:18:16Z,500000,False,,,0,,SUB out: D. Queen,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M03.00S,2026-01-01T00:18:06.6Z,1,REGULAR,substitution,in,[],1642274,,,1610612741,17,9,2026-01-01T00:18:16Z,510000,False,,,0,,SUB in: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M03.00S,2026-01-01T00:18:20.0Z,1,REGULAR,substitution,out,[],202696,,,1610612741,17,9,2026-01-01T00:18:29Z,520000,False,,,0,,SUB out: N. Vučević,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M03.00S,2026-01-01T00:18:20.0Z,1,REGULAR,substitution,out,[],1630200,,,1610612741,17,9,2026-01-01T00:18:29Z,530000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M03.00S,2026-01-01T00:18:20.0Z,1,REGULAR,substitution,in,[],1628989,,,1610612741,17,9,2026-01-01T00:18:29Z,540000,False,,,0,,SUB in: K. Huerter,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M03.00S,2026-01-01T00:18:20.0Z,1,REGULAR,substitution,in,[],1630245,,,1610612741,17,9,2026-01-01T00:18:29Z,550000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M03.00S,2026-01-01T00:18:32.8Z,1,REGULAR,freethrow,2 of 2,[],1630171,,,1610612741,18,9,2026-01-01T00:18:32Z,560000,False,,,0,,I. Okoro Free Throw 2 of 2 (4 PTS),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
57,PT07M52.00S,2026-01-01T00:18:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.59198423127464,47.549019607843135,1610612740,18,9,2026-01-01T00:18:50Z,570000,False,-12.0,17.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,,,,,,,,
58,PT07M49.00S,2026-01-01T00:18:48.3Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,18,9,2026-01-01T00:18:48Z,580000,False,,,0,,Z. Williamson REBOUND (Off:2 Def:0),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,,,,,,,57.0,2.0,0.0,2.0,,,,,,,,,
59,PT07M49.00S,2026-01-01T00:18:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,94.40999984741211,50.0,1610612740,18,11,2026-01-01T00:18:48Z,590000,False,0.0,0.0,1,right,Z. Williamson putback Layup (6 PTS),[1629627],1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,,Mid-Range,8-16 Left,0.0,Made,6.0,,,,,,,,,,,,,,,,
60,PT07M33.00S,2026-01-01T00:19:03.9Z,1,REGULAR,turnover,bad pass,[],1630188,,,1610612741,18,11,2026-01-01T00:19:07Z,600000,False,,,0,,J. Smith bad pass TURNOVER (1 TO),"[1630188, 1642274]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Missi,1642274.0,,,,
61,PT07M33.00S,2026-01-01T00:19:03.9Z,1,REGULAR,steal,,[],1642274,,,1610612740,18,11,2026-01-01T00:19:05Z,610000,False,,,0,,Y. Missi STEAL (1 STL),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
62,PT07M24.00S,2026-01-01T00:19:12.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630180,68.9388961892247,32.59803921568628,1610612740,18,11,2026-01-01T00:19:20Z,620000,False,-87.0,239.0,1,right,MISS S. Bey 25' 3PT,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,Above the Break 3,24+ Left Center,25.48,Missed,,,,,,,,,,,,,,,,,
63,PT07M19.00S,2026-01-01T00:19:17.8Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,18,11,2026-01-01T00:19:20Z,630000,False,,,0,,M. Buzelis REBOUND (Off:1 Def:2),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,Above the Break 3,24+ Left Center,,,,,,,62.0,3.0,2.0,1.0,,,,,,,,,
64,PT07M06.00S,2026-01-01T00:19:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,7.178055190538765,48.28431372549019,1610612741,18,11,2026-01-01T00:21:48Z,640000,False,9.0,15.0,1,left,MISS M. Buzelis cutting Layup,[1641824],1610612741.0,CHI,cutting,,,Buzelis,M. Buzelis,,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,,,,,,
65,PT07M04.00S,2026-01-01T00:19:33.1Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,18,11,2026-01-01T00:19:36Z,650000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,Restricted Area,0-8 Center,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,
66,PT07M02.00S,2026-01-01T00:19:35.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,68.15045992115637,17.647058823529413,1610612740,18,11,2026-01-01T00:19:41Z,660000,False,-162.0,247.0,1,right,MISS T. Murphy III 29' running 3PT,[1630530],1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,,Above the Break 3,24+ Left Center,29.52,Missed,,,,,,,,,,,,,,,,,
67,PT06M58.00S,2026-01-01T00:19:39.1Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,18,11,2026-01-01T00:19:41Z,670000,False,,,0,,I. Okoro REBOUND (Off:0 Def:2),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,Above the Break 3,24+ Left Center,,,,,,,66.0,2.0,2.0,0.0,,,,,,,,,
68,PT06M47.00S,2026-01-01T00:19:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,6.783837056504599,48.28431372549019,1610612741,20,11,2026-01-01T00:19:55Z,680000,False,9.0,11.0,1,left,I. Okoro cutting finger roll Layup (6 PTS) (K. Huerter 1 AST),"[1630171, 1628989]",1610612741.0,CHI,cutting finger roll,,,Okoro,I. Okoro,,,,,,Restricted Area,0-8 Center,1.42,Made,6.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,,
70,PT06M33.00S,2026-01-01T00:20:03.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642274,86.5473061760841,50.49019607843137,1610612740,20,11,2026-01-01T00:23:12Z,700000,False,2.0,74.0,1,right,MISS Y. Missi 7' driving floating Shot,[1642274],1610612740.0,NOP,driving floating,,,Missi,Y. Missi,,,,,,In The Paint (Non-RA),0-8 Center,7.4,Missed,,,,,,,,,,,,,,,,,
71,PT06M30.00S,2026-01-01T00:20:06.4Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612740,20,11,2026-01-01T00:23:12Z,710000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,70.0,1.0,0.0,1.0,,,,,,,,,
72,PT06M29.00S,2026-01-01T00:20:09.8Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612740,20,11,2026-01-01T00:20:19Z,720000,False,,,0,,K. Huerter shooting personal FOUL (1 PF) (Bey 2 FT),"[1628989, 1630180]",1610612741.0,CHI,shooting,,,Huerter,K. Huerter,,,,,202026.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Bey,1630180.0
74,PT06M29.00S,2026-01-01T00:20:47.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630180,,,1610612740,20,12,2026-01-01T00:20:47Z,740000,False,,,0,,S. Bey Free Throw 1 of 2 (3 PTS),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
75,PT06M29.00S,2026-01-01T00:20:47.7Z,1,REGULAR,substitution,out,[],1642847,,,1610612740,20,12,2026-01-01T00:21:02Z,750000,False,,,0,,SUB out: J. Fears,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M29.00S,2026-01-01T00:20:47.7Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,20,12,2026-01-01T00:21:02Z,760000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M29.00S,2026-01-01T00:20:47.7Z,1,REGULAR,substitution,in,[],1629673,,,1610612740,20,12,2026-01-01T00:21:02Z,770000,False,,,0,,SUB in: J. Poole,[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M29.00S,2026-01-01T00:20:47.7Z,1,REGULAR,substitution,in,[],1626172,,,1610612740,20,12,2026-01-01T00:21:02Z,780000,False,,,0,,SUB in: K. Looney,[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M29.00S,2026-01-01T00:21:05.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630180,,,1610612740,20,13,2026-01-01T00:21:05Z,790000,False,,,0,,S. Bey Free Throw 2 of 2 (4 PTS),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
80,PT06M15.00S,2026-01-01T00:21:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,6.652431011826544,50.73529411764706,1610612741,22,13,2026-01-01T00:24:40Z,800000,False,-4.0,10.0,1,left,J. Smith cutting Layup (7 PTS) (A. Dosunmu 1 AST),"[1630188, 1630245]",1610612741.0,CHI,cutting,,,Smith,J. Smith,,,,,,Restricted Area,0-8 Center,1.07,Made,7.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,
82,PT05M56.00S,2026-01-01T00:21:40.8Z,1,REGULAR,turnover,bad pass,[],1630530,,,1610612740,22,13,2026-01-01T00:21:51Z,820000,False,,,0,,T. Murphy III bad pass TURNOVER (2 TO),"[1630530, 1630171]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2.0,Okoro,1630171.0,,,,
83,PT05M56.00S,2026-01-01T00:21:40.8Z,1,REGULAR,steal,,[],1630171,,,1610612741,22,13,2026-01-01T00:21:44Z,830000,False,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
