actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
18,PT10M55.00S,2025-11-23T01:11:51.1Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,2,4,2025-11-23T01:11:53Z,180000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,0-8 Center,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
19,PT10M48.00S,2025-11-23T01:11:58.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,9.280551905387648,5.392156862745098,1610612741,5,4,2025-11-23T01:12:03Z,190000,False,223.0,35.0,1,left,C. White 3PT  (3 PTS) (J. Giddey 1 AST),"[1629632, 1630581]",1610612741.0,CHI,,,,White,C. White,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,22.57,J. Giddey,1630581.0,1.0,,,,,,,,,
21,PT10M29.00S,2025-11-23T01:12:16.6Z,1,REGULAR,3pt,Jump Shot,[],1642259,70.12155059132719,72.79411764705883,1610612764,5,7,2025-11-23T01:12:21Z,210000,False,114.0,228.0,1,right,A. Sarr 25' 3PT  (5 PTS) (K. George 1 AST),"[1642259, 1642273]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,,,,,,Made,5.0,25.53,K. George,1642273.0,1.0,,,,,,,,,
23,PT10M21.00S,2025-11-23T01:12:24.9Z,1,REGULAR,3pt,Jump Shot,[],202696,10.85742444152431,95.34313725490196,1610612741,5,7,2025-11-23T01:12:30Z,230000,False,-227.0,50.0,1,left,MISS N. Vučević 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.21,,,,,,,,,,,,
24,PT10M18.00S,2025-11-23T01:12:27.9Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,5,7,2025-11-23T01:12:30Z,240000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,
25,PT10M15.00S,2025-11-23T01:12:34.9Z,1,REGULAR,foul,personal,['2freethrow'],1629632,,,1610612764,5,7,2025-11-23T01:12:45Z,250000,False,,,0,,C. White shooting personal FOUL (1 PF) (Coulibaly 2 FT),"[1629632, 1641731]",1610612741.0,CHI,shooting,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Left,1626300.0,1.0,0.0,Coulibaly,1641731.0,,,,,,,,,,,,,,,
27,PT10M15.00S,2025-11-23T01:13:00.2Z,1,REGULAR,freethrow,1 of 2,[],1641731,,,1610612764,5,8,2025-11-23T01:13:00Z,270000,False,,,0,,B. Coulibaly Free Throw 1 of 2 (1 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
28,PT10M15.00S,2025-11-23T01:13:14.2Z,1,REGULAR,freethrow,2 of 2,[],1641731,,,1610612764,5,9,2025-11-23T01:13:14Z,280000,False,,,0,,B. Coulibaly Free Throw 2 of 2 (2 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
30,PT10M02.00S,2025-11-23T01:13:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.389618922470433,50.245098039215684,1610612741,5,9,2025-11-23T01:13:33Z,300000,False,-1.0,8.0,1,left,MISS A. Dosunmu cutting Layup,[1630245],1610612741.0,CHI,cutting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,Missed,,0.77,,,,,,,,,,,,
31,PT09M59.00S,2025-11-23T01:13:31.3Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,5,9,2025-11-23T01:13:31Z,310000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,
32,PT09M57.00S,2025-11-23T01:13:33.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,69.72733245729303,71.32352941176471,1610612764,5,12,2025-11-23T01:15:54Z,320000,False,107.0,232.0,1,right,C. McCollum 25' 3PT running pullup (3 PTS) (A. Sarr 1 AST),"[203468, 1642259]",1610612764.0,WAS,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,25.54,A. Sarr,1642259.0,1.0,,,,,,,,,
33,PT09M39.00S,2025-11-23T01:13:51.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,9.149145860709593,35.049019607843135,1610612741,7,12,2025-11-23T01:13:54Z,330000,False,75.0,34.0,1,left,N. Vučević 8' turnaround Hook (2 PTS),[202696],1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Made,2.0,8.2,,,,,,,,,,,,
34,PT09M32.00S,2025-11-23T01:13:57.8Z,1,REGULAR,2pt,Jump Shot,[],203468,81.68528252299606,29.901960784313726,1610612764,7,14,2025-11-23T01:14:03Z,340000,False,-100.0,120.0,1,right,C. McCollum 15' pullup Jump Shot (5 PTS),[203468],1610612764.0,WAS,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,,,,,,Made,5.0,15.63,,,,,,,,,,,,
36,PT09M19.00S,2025-11-23T01:14:14.6Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612741,7,14,2025-11-23T01:14:25Z,350000,False,,,0,,J. Giddey bad pass out-of-bounds TURNOVER (1 TO),[1630581],1610612741.0,CHI,bad pass,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,1628487.0,,,,,,,,,,,,,,,1.0,,,,
37,PT09M07.00S,2025-11-23T01:14:29.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642259,89.96386333771353,56.372549019607845,1610612764,7,14,2025-11-23T01:14:32Z,360000,False,32.0,42.0,1,right,MISS A. Sarr driving Layup,[1642259],1610612764.0,WAS,driving,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.26,,,,,,,,,,,,
38,PT09M05.00S,2025-11-23T01:14:31.1Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,7,14,2025-11-23T01:14:31Z,370000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,
39,PT09M03.00S,2025-11-23T01:14:33.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629632,29.911300919842315,70.83333333333334,1610612741,7,14,2025-11-23T01:14:43Z,380000,False,-104.0,229.0,1,left,MISS C. White 25' running 3PT,[1629632],1610612741.0,CHI,running,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.13,,,,,,,,,,,,
40,PT09M00.00S,2025-11-23T01:14:36.6Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,7,14,2025-11-23T01:14:43Z,390000,False,,,0,,K. George REBOUND (Off:0 Def:3),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,39.0,3.0,3.0,0.0,,,,,
42,PT08M47.00S,2025-11-23T01:15:08.0Z,1,REGULAR,3pt,Jump Shot,[],1642259,71.30420499342969,22.54901960784314,1610612764,7,14,2025-11-23T01:15:11Z,410000,False,-137.0,217.0,1,right,MISS A. Sarr 25' 3PT,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.7,,,,,,,,,,,,
43,PT08M44.00S,2025-11-23T01:15:11.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,7,14,2025-11-23T01:15:11Z,420000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,
44,PT08M33.00S,2025-11-23T01:15:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,6.915243101182654,52.20588235294118,1610612741,7,14,2025-11-23T01:15:26Z,430000,False,-11.0,13.0,1,left,MISS J. Giddey driving floating Shot,[1630581],1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.67,,,,,,,,,,,,
45,PT08M28.00S,2025-11-23T01:15:26.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,7,14,2025-11-23T01:15:26Z,440000,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,44.0,1.0,0.0,1.0,,,,,
46,PT08M28.00S,2025-11-23T01:15:26.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,5.590000152587891,50.0,1610612741,7,14,2025-11-23T01:15:31Z,450000,False,0.0,0.0,1,left,MISS N. Vučević tip Layup,[202696],1610612741.0,CHI,tip,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,Missed,,0.0,,,,,,,,,,,,
47,PT08M28.00S,2025-11-23T01:15:26.2Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,7,14,2025-11-23T01:15:31Z,460000,False,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,46.0,2.0,1.0,1.0,,,,,
48,PT08M27.00S,2025-11-23T01:15:30.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641824,11.777266754270697,57.59803921568627,1610612741,9,14,2025-11-23T01:16:38Z,470000,False,-38.0,58.0,1,left,M. Buzelis 6' driving floating Jump Shot (4 PTS) (J. Giddey 2 AST),"[1641824, 1630581]",1610612741.0,CHI,driving floating,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,4.0,6.95,J. Giddey,1630581.0,2.0,,,,,,,,,
50,PT08M27.00S,2025-11-23T01:15:36.1Z,1,REGULAR,foul,personal,['1freethrow'],1630557,,,1610612741,9,14,2025-11-23T01:15:41Z,490000,False,,,0,,C. Kispert shooting personal FOUL (1 PF) (Buzelis 1 FT),"[1630557, 1641824]",1610612764.0,WAS,shooting,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,202053.0,1.0,0.0,Buzelis,1641824.0,,,,,,,,,,,,,,,
52,PT08M27.00S,2025-11-23T01:16:00.5Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1641824,,,1610612741,9,14,2025-11-23T01:16:04Z,510000,False,,,0,,MISS M. Buzelis Free Throw 1 of 1,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
53,PT08M21.00S,2025-11-23T01:16:06.5Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,9,14,2025-11-23T01:16:04Z,520000,False,,,0,,N. Vučević REBOUND (Off:2 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,52.0,2.0,0.0,2.0,,,,,
54,PT08M21.00S,2025-11-23T01:16:02.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,5.590000152587891,50.0,1610612741,9,14,2025-11-23T01:16:02Z,530000,False,0.0,0.0,1,left,MISS N. Vučević tip Layup,[202696],1610612741.0,CHI,tip,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Left,,,,,,Missed,,0.0,,,,,,,,,,,,
55,PT08M20.00S,2025-11-23T01:16:03.7Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,9,14,2025-11-23T01:16:03Z,540000,False,,,0,,N. Vučević REBOUND (Off:3 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,54.0,3.0,0.0,3.0,,,,,
56,PT08M20.00S,2025-11-23T01:16:03.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,5.590000152587891,50.0,1610612741,11,14,2025-11-23T01:16:03Z,550000,False,0.0,0.0,1,left,N. Vučević tip Layup (4 PTS),[202696],1610612741.0,CHI,tip,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Left,,,,,,Made,4.0,0.0,,,,,,,,,,,,
57,PT08M14.00S,2025-11-23T01:16:12.5Z,1,REGULAR,turnover,out-of-bounds,[],1630557,,,1610612764,11,14,2025-11-23T01:16:18Z,560000,False,,,0,,C. Kispert step out-of-bounds TURNOVER (1 TO),[1630557],1610612764.0,WAS,step,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,1626300.0,,,,,,,,,,,,,,,1.0,,,,
58,PT08M00.00S,2025-11-23T01:16:39.2Z,1,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612741,11,14,2025-11-23T01:16:49Z,570000,False,,,0,,B. Coulibaly shooting personal FOUL (1 PF) (White 2 FT),"[1641731, 1629632]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,1628487.0,1.0,0.0,White,1629632.0,,,,,,,,,,,,,,,
60,PT08M00.00S,2025-11-23T01:17:02.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629632,,,1610612741,12,14,2025-11-23T01:17:02Z,590000,False,,,0,,C. White Free Throw 1 of 2 (4 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
61,PT08M00.00S,2025-11-23T01:17:12.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629632,,,1610612741,13,14,2025-11-23T01:17:12Z,600000,False,,,0,,C. White Free Throw 2 of 2 (5 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
62,PT07M44.00S,2025-11-23T01:17:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,93.38042049934296,51.470588235294116,1610612764,13,16,2025-11-23T01:17:35Z,610000,False,7.0,10.0,1,right,C. Kispert driving Layup (2 PTS) (C. McCollum 1 AST),"[1630557, 203468]",1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.22,C. McCollum,203468.0,1.0,,,,,,,,,
64,PT07M44.00S,2025-11-23T01:17:33.5Z,1,REGULAR,foul,personal,['1freethrow'],1630581,,,1610612764,13,16,2025-11-23T01:17:58Z,630000,False,,,0,,J. Giddey shooting personal FOUL (1 PF) (Kispert 1 FT),"[1630581, 1630557]",1610612741.0,CHI,shooting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,202053.0,1.0,0.0,Kispert,1630557.0,,,,,,,,,,,,,,,
66,PT07M44.00S,2025-11-23T01:17:39.9Z,1,REGULAR,substitution,out,[],1629632,,,1610612764,13,16,2025-11-23T01:18:31Z,650000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M44.00S,2025-11-23T01:17:39.9Z,1,REGULAR,substitution,in,[],1628989,,,1610612764,13,16,2025-11-23T01:18:31Z,660000,False,,,0,,SUB in: K. Huerter,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M44.00S,2025-11-23T01:17:59.5Z,1,REGULAR,freethrow,1 of 1,[],1630557,,,1610612764,13,17,2025-11-23T01:17:59Z,670000,False,,,0,,C. Kispert Free Throw 1 of 1 (3 PTS),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
69,PT07M29.00S,2025-11-23T01:18:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,17.0335085413929,39.21568627450981,1610612741,15,17,2025-11-23T01:18:52Z,680000,False,54.0,108.0,1,left,K. Huerter 12' driving floating Jump Shot (2 PTS),[1628989],1610612741.0,CHI,driving floating,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,12.03,,,,,,,,,,,,
70,PT07M16.00S,2025-11-23T01:18:28.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,91.80354796320631,51.9607843137255,1610612764,15,17,2025-11-23T01:18:32Z,690000,False,10.0,25.0,1,right,MISS C. McCollum driving Layup - blocked,"[203468, 1641824]",1610612764.0,WAS,driving,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.64,,,,,,,,,Buzelis,1641824.0,,
71,PT07M16.00S,2025-11-23T01:18:28.4Z,1,REGULAR,block,,[],1641824,,,1610612764,15,17,2025-11-23T01:18:30Z,700000,False,,,0,,M. Buzelis BLOCK (1 BLK),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
72,PT07M13.00S,2025-11-23T01:18:31.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,15,17,2025-11-23T01:18:32Z,710000,False,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,70.0,3.0,2.0,1.0,,,,,
73,PT07M08.00S,2025-11-23T01:18:35.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641824,6.652431011826544,48.28431372549019,1610612741,15,17,2025-11-23T01:20:57Z,720000,False,9.0,10.0,1,left,MISS M. Buzelis running reverse Layup,[1641824],1610612741.0,CHI,running reverse,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,Missed,,1.32,,,,,,,,,,,,
75,PT07M02.00S,2025-11-23T01:18:41.6Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,15,17,2025-11-23T01:18:42Z,740000,False,,,0,,N. Vučević REBOUND (Off:4 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,73.0,4.0,0.0,4.0,,,,,
76,PT07M02.00S,2025-11-23T01:18:41.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,5.590000152587891,50.0,1610612741,17,17,2025-11-23T01:18:41Z,750000,False,0.0,0.0,1,left,N. Vučević tip Layup (6 PTS),[202696],1610612741.0,CHI,tip,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Left,,,,,,Made,6.0,0.0,,,,,,,,,,,,
77,PT06M45.00S,2025-11-23T01:18:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630557,94.43166885676742,53.18627450980392,1610612764,17,19,2025-11-23T01:19:03Z,760000,False,16.0,0.0,1,right,C. Kispert driving Layup (5 PTS) (A. Sarr 2 AST),"[1630557, 1642259]",1610612764.0,WAS,driving,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,,,,,,Made,5.0,1.59,A. Sarr,1642259.0,2.0,,,,,,,,,
79,PT06M31.00S,2025-11-23T01:19:17.2Z,1,REGULAR,violation,kicked ball,[],203468,,,1610612741,17,19,2025-11-23T01:19:20Z,780000,False,,,0,,C. McCollum kicked ball VIOLATION,[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,1628487.0,,,,,,,,,,,,,,,,,,,
80,PT06M31.00S,2025-11-23T01:19:22.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,17,19,2025-11-23T01:19:22Z,790000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M31.00S,2025-11-23T01:22:15.6Z,1,REGULAR,substitution,out,[],1642273,,,1610612741,17,19,2025-11-23T01:22:31Z,800000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M31.00S,2025-11-23T01:22:15.6Z,1,REGULAR,substitution,in,[],1630551,,,1610612741,17,19,2025-11-23T01:22:31Z,810000,False,,,0,,SUB in: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M19.00S,2025-11-23T01:22:39.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.258212877792378,50.73529411764706,1610612741,19,19,2025-11-23T01:22:45Z,820000,False,-4.0,6.0,1,left,A. Dosunmu driving Layup (2 PTS),[1630245],1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,0.73,,,,,,,,,,,,
84,PT05M58.00S,2025-11-23T01:23:01.3Z,1,REGULAR,2pt,Jump Shot,[],203468,72.45195466491458,34.81924019607843,1610612764,19,19,2025-11-23T01:24:48Z,830000,False,-76.0,206.0,1,right,MISS C. McCollum 22' step back Shot,[203468],1610612764.0,WAS,step back,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,22.0,,,,,,,,,,,,
85,PT05M56.00S,2025-11-23T01:23:03.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,19,19,2025-11-23T01:23:07Z,840000,False,,,0,,J. Giddey REBOUND (Off:1 Def:3),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,84.0,4.0,3.0,1.0,,,,,
