actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M35.00S,2026-01-21T01:12:13.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,5,2026-01-21T02:41:16Z,160000,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Vučević,N. Vučević,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT10M32.00S,2026-01-21T01:12:16.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641824,94.1688567674113,50.98039215686274,1610612741,0,5,2026-01-21T02:42:27Z,162500,False,5.0,2.0,1,right,MISS M. Buzelis driving finger roll Layup,[1641824],1610612741.0,CHI,driving finger roll,,,,,,Restricted Area,0-8 Center,0.54,Missed,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2026-01-21T01:12:17.7Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,5,2026-01-21T02:42:27Z,163750,False,,,0,,N. Vučević REBOUND (Off:2 Def:0),[202696],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Vučević,N. Vučević,18.0,2.0,0.0,2.0,,,,,,,,,,,,,,
20,PT10M31.00S,2026-01-21T01:12:19.6Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",202696,94.40999984741211,50.0,1610612741,0,5,2026-01-21T02:42:34Z,165000,False,0.0,0.0,1,right,MISS N. Vučević tip DUNK,[202696],1610612741.0,CHI,tip,,,,,,Restricted Area,0-8 Center,0.0,Missed,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2026-01-21T01:12:19.6Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,0,5,2026-01-21T02:42:34Z,167500,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Dunn,K. Dunn,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M20.00S,2026-01-21T01:12:25.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628381,4.944152431011826,3.1862745098039214,1610612746,0,8,2026-01-21T01:12:35Z,210000,False,234.0,-6.0,1,left,J. Collins 3PT running (6 PTS) (K. Dunn 2 AST),"[1628381, 1627739]",1610612746.0,LAC,running,,,,,,Right Corner 3,24+ Right,23.42,Made,Collins,J. Collins,,,,,6.0,,,K. Dunn,1627739.0,2.0,,,,,,,,
24,PT10M08.00S,2026-01-21T01:12:37.0Z,1,REGULAR,3pt,Jump Shot,[],1630188,70.64717477003943,24.019607843137255,1610612741,3,8,2026-01-21T01:12:41Z,230000,False,-130.0,223.0,1,right,J. Smith 25' 3PT  (3 PTS) (M. Buzelis 1 AST),"[1630188, 1641824]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,25.84,Made,Smith,J. Smith,,,,,3.0,,,M. Buzelis,1641824.0,1.0,,,,,,,,
26,PT09M51.00S,2026-01-21T01:12:54.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,6.783837056504599,54.90196078431373,1610612746,3,8,2026-01-21T01:17:31Z,250000,False,-25.0,11.0,1,left,MISS I. Zubac turnaround bank Hook,[1627826],1610612746.0,LAC,turnaround bank,,,,,,Restricted Area,0-8 Center,2.7,Missed,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2026-01-21T01:12:56.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,3,8,2026-01-21T01:12:58Z,260000,False,,,0,,N. Vučević REBOUND (Off:2 Def:1),[202696],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Vučević,N. Vučević,26.0,3.0,1.0,2.0,,,,,,,,,,,,,,
28,PT09M40.00S,2026-01-21T01:13:06.1Z,1,REGULAR,2pt,Jump Shot,[],202696,93.77463863337714,81.86274509803921,1610612741,3,8,2026-01-21T01:13:09Z,270000,False,159.0,6.0,1,right,MISS N. Vučević 15' turnaround Shot,[202696],1610612741.0,CHI,turnaround,,,,,,Mid-Range,8-16 Right,15.94,Missed,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,
29,PT09M38.00S,2026-01-21T01:13:08.1Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,3,8,2026-01-21T01:13:09Z,280000,False,,,0,,K. Dunn REBOUND (Off:0 Def:2),[1627739],1610612746.0,LAC,,,,,,,Mid-Range,8-16 Right,,,Dunn,K. Dunn,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M27.00S,2026-01-21T01:13:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,8.360709592641262,59.31372549019608,1610612746,3,10,2026-01-21T01:18:11Z,290000,False,-47.0,26.0,1,left,J. Harden driving Layup (4 PTS),[201935],1610612746.0,LAC,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.34,Made,Harden,J. Harden,,,,,4.0,,,,,,,,,,,,,
31,PT09M21.00S,2026-01-21T01:13:24.5Z,1,REGULAR,3pt,Jump Shot,[],1629632,70.90998685939553,74.50980392156863,1610612741,6,10,2026-01-21T01:18:44Z,300000,False,123.0,221.0,1,right,C. White 25' 3PT pullup (3 PTS),[1629632],1610612741.0,CHI,pullup,,,,,,Above the Break 3,24+ Right Center,25.26,Made,White,C. White,,,,,3.0,,,,,,,,,,,,,
32,PT09M03.00S,2026-01-21T01:13:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,18.74178712220762,55.392156862745104,1610612746,6,10,2026-01-21T01:19:07Z,310000,False,-27.0,124.0,1,left,MISS I. Zubac 12' floating Shot,[1627826],1610612746.0,LAC,floating,,,,,,In The Paint (Non-RA),8-16 Center,12.66,Missed,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,
33,PT09M01.00S,2026-01-21T01:13:44.1Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,6,10,2026-01-21T01:13:47Z,320000,False,,,0,,J. Smith REBOUND (Off:1 Def:1),[1630188],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,Smith,J. Smith,32.0,2.0,1.0,1.0,,,,,,,,,,,,,,
34,PT08M46.00S,2026-01-21T01:14:00.1Z,1,REGULAR,3pt,Jump Shot,[],1641824,69.59592641261499,24.509803921568626,1610612741,9,10,2026-01-21T01:14:03Z,330000,False,-127.0,233.0,1,right,M. Buzelis 26' 3PT  (3 PTS) (N. Vučević 1 AST),"[1641824, 202696]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,26.59,Made,Buzelis,M. Buzelis,,,,,3.0,,,N. Vučević,202696.0,1.0,,,,,,,,
36,PT08M20.00S,2026-01-21T01:14:25.5Z,1,REGULAR,3pt,Jump Shot,[],201935,24.129434954007884,85.5392156862745,1610612746,9,10,2026-01-21T01:19:40Z,350000,False,-178.0,174.0,1,left,MISS J. Harden 24' step back 3PT,[201935],1610612746.0,LAC,step back,,,,,,Above the Break 3,24+ Left Center,24.89,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,
37,PT08M16.00S,2026-01-21T01:14:29.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,9,10,2026-01-21T01:14:30Z,360000,False,,,0,,N. Vučević REBOUND (Off:2 Def:2),[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,Vučević,N. Vučević,36.0,4.0,2.0,2.0,,,,,,,,,,,,,,
38,PT08M12.00S,2026-01-21T01:14:34.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629632,94.1688567674113,54.90196078431373,1610612741,11,10,2026-01-21T01:14:40Z,370000,False,25.0,2.0,1,right,C. White running Layup (5 PTS),[1629632],1610612741.0,CHI,running,,,,,,Restricted Area,0-8 Center,2.46,Made,White,C. White,,,,,5.0,,,,,,,,,,,,,
39,PT08M03.00S,2026-01-21T01:14:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,6.1268068331143235,48.529411764705884,1610612746,11,12,2026-01-21T01:20:20Z,380000,False,7.0,5.0,1,left,J. Collins cutting Layup (8 PTS) (K. Dunn 3 AST),"[1628381, 1627739]",1610612746.0,LAC,cutting,,,,,,Restricted Area,0-8 Center,0.9,Made,Collins,J. Collins,,,,,8.0,,,K. Dunn,1627739.0,3.0,,,,,,,,
41,PT07M46.00S,2026-01-21T01:14:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,94.03745072273325,54.41176470588235,1610612741,11,12,2026-01-21T01:15:09Z,400000,False,22.0,4.0,1,right,MISS J. Smith driving reverse Layup,[1630188],1610612741.0,CHI,driving reverse,,,,,,Restricted Area,0-8 Center,2.24,Missed,Smith,J. Smith,,,,,,,,,,,,,,,,,,
42,PT07M44.00S,2026-01-21T01:15:01.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,11,12,2026-01-21T01:15:09Z,410000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Harden,J. Harden,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT07M37.00S,2026-01-21T01:15:08.6Z,1,REGULAR,3pt,Jump Shot,[],201935,33.196452036793694,44.11764705882353,1610612746,11,12,2026-01-21T01:21:10Z,420000,False,29.0,260.0,1,left,MISS J. Harden 26' step back 3PT,[201935],1610612746.0,LAC,step back,,,,,,Above the Break 3,24+ Center,26.12,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,
44,PT07M34.00S,2026-01-21T01:15:11.6Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,11,12,2026-01-21T01:15:13Z,430000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,Buzelis,M. Buzelis,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT07M30.00S,2026-01-21T01:15:18.3Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612741,11,12,2026-01-21T01:15:30Z,440000,False,,,0,,J. Collins shooting personal FOUL (1 PF) (Buzelis 2 FT),"[1628381, 1641824]",1610612746.0,LAC,shooting,,,,,,Restricted Area,0-8 Center,,,Collins,J. Collins,,,,,,1628480.0,,,,,1.0,0.0,Buzelis,1641824.0,,,,
47,PT07M30.00S,2026-01-21T01:15:48.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641824,,,1610612741,11,12,2026-01-21T01:21:35Z,460000,False,,,0,,MISS M. Buzelis Free Throw 1 of 2,[1641824],1610612741.0,CHI,,,,,,,,,,Missed,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
48,PT07M30.00S,2026-01-21T01:15:48.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,11,12,2026-01-21T01:21:35Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,
49,PT07M30.00S,2026-01-21T01:15:49.7Z,1,REGULAR,substitution,out,[],1630188,,,1610612741,11,12,2026-01-21T01:15:55Z,480000,False,,,0,,SUB out: J. Smith,[1630188],1610612741.0,CHI,,,,,,,,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,
50,PT07M30.00S,2026-01-21T01:15:49.7Z,1,REGULAR,substitution,in,[],1628989,,,1610612741,11,12,2026-01-21T01:15:55Z,490000,False,,,0,,SUB in: K. Huerter,[1628989],1610612741.0,CHI,,,,,,,,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
51,PT07M30.00S,2026-01-21T01:15:48.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641824,,,1610612741,12,12,2026-01-21T01:21:35Z,500000,False,,,0,,M. Buzelis Free Throw 2 of 2 (4 PTS),[1641824],1610612741.0,CHI,,,,,,,,,,Made,Buzelis,M. Buzelis,,,,,4.0,,,,,,,,,,,,,
52,PT07M13.00S,2026-01-21T01:16:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,6.1268068331143235,50.245098039215684,1610612746,12,14,2026-01-21T01:22:19Z,510000,False,-1.0,5.0,1,left,I. Zubac cutting Layup (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,cutting,,,,,,Restricted Area,0-8 Center,0.52,Made,Zubac,I. Zubac,,,,,2.0,,,J. Harden,201935.0,1.0,,,,,,,,
54,PT07M05.00S,2026-01-21T01:16:36.2Z,1,REGULAR,3pt,Jump Shot,[],202696,67.36202365308804,31.127450980392158,1610612741,12,14,2026-01-21T01:16:41Z,530000,False,-94.0,254.0,1,right,MISS N. Vučević 27' 3PT,[202696],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,27.13,Missed,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,
55,PT07M01.00S,2026-01-21T01:16:40.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,12,14,2026-01-21T01:16:41Z,540000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,,,Harden,J. Harden,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT06M51.00S,2026-01-21T01:16:52.2Z,1,REGULAR,turnover,out-of-bounds,[],201935,,,1610612746,12,14,2026-01-21T01:17:06Z,550000,False,,,0,,J. Harden lost ball out-of-bounds TURNOVER (1 TO),[201935],1610612746.0,LAC,lost ball,,,,,,Mid-Range,8-16 Right,,,Harden,J. Harden,,,,,,1830.0,1.0,,,,,,,,,,,
57,PT06M51.00S,2026-01-21T01:16:56.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,12,14,2026-01-21T01:16:56Z,560000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M39.00S,2026-01-21T01:20:09.0Z,1,REGULAR,turnover,out-of-bounds,[],1630171,,,1610612741,12,14,2026-01-21T01:20:17Z,570000,False,,,0,,I. Okoro bad pass out-of-bounds TURNOVER (1 TO),[1630171],1610612741.0,CHI,bad pass,,,,,,In The Paint (Non-RA),0-8 Center,,,Okoro,I. Okoro,,,,,,201638.0,1.0,,,,,,,,,,,
59,PT06M18.00S,2026-01-21T01:20:38.0Z,1,REGULAR,turnover,out-of-bounds,[],201935,,,1610612746,12,14,2026-01-21T01:20:44Z,580000,False,,,0,,J. Harden lost ball out-of-bounds TURNOVER (2 TO),[201935],1610612746.0,LAC,lost ball,,,,,,In The Paint (Non-RA),8-16 Center,,,Harden,J. Harden,,,,,,1628480.0,2.0,,,,,,,,,,,
60,PT06M05.00S,2026-01-21T01:20:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630171,94.82588699080158,4.6568627450980395,1610612741,12,14,2026-01-21T01:21:04Z,590000,False,-227.0,-4.0,1,right,MISS I. Okoro 3PT,[1630171],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,22.67,Missed,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,
61,PT06M03.00S,2026-01-21T01:20:58.9Z,1,REGULAR,rebound,defensive,[],1642920,,,1610612746,12,14,2026-01-21T01:21:04Z,600000,False,,,0,,K. Sanders REBOUND (Off:0 Def:1),[1642920],1610612746.0,LAC,,,,,,,Left Corner 3,24+ Left,,,Sanders,K. Sanders,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT05M52.00S,2026-01-21T01:21:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627739,5.601182654402102,51.71568627450981,1610612746,12,16,2026-01-21T01:21:15Z,610000,False,-9.0,0.0,1,left,K. Dunn driving Layup (2 PTS) (K. Sanders 1 AST),"[1627739, 1642920]",1610612746.0,LAC,driving,,,,,,Restricted Area,0-8 Center,0.86,Made,Dunn,K. Dunn,,,,,2.0,,,K. Sanders,1642920.0,1.0,,,,,,,,
64,PT05M40.00S,2026-01-21T01:21:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,93.51182654402102,54.166666666666664,1610612741,12,16,2026-01-21T01:24:10Z,630000,False,21.0,8.0,1,right,MISS C. White driving Layup,[1629632],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,2.25,Missed,White,C. White,,,,,,,,,,,,,,,,,,
65,PT05M38.00S,2026-01-21T01:21:26.7Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,12,16,2026-01-21T01:21:53Z,640000,False,,,0,,N. Vučević REBOUND (Off:3 Def:2),[202696],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,Vučević,N. Vučević,64.0,5.0,2.0,3.0,,,,,,,,,,,,,,
66,PT05M38.00S,2026-01-21T01:21:27.8Z,1,REGULAR,foul,personal,['2freethrow'],1642920,,,1610612741,12,16,2026-01-21T01:21:34Z,650000,False,,,0,,K. Sanders shooting personal FOUL (1 PF) (Vučević 2 FT),"[1642920, 202696]",1610612746.0,LAC,shooting,,,,,,Restricted Area,0-8 Center,,,Sanders,K. Sanders,,,,,,201638.0,,,,,1.0,0.0,Vučević,202696.0,,,,
68,PT05M38.00S,2026-01-21T01:22:03.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202696,,,1610612741,13,16,2026-01-21T01:22:03Z,670000,False,,,0,,N. Vučević Free Throw 1 of 2 (1 PTS),[202696],1610612741.0,CHI,,,,,,,,,,Made,Vučević,N. Vučević,,,,,1.0,,,,,,,,,,,,,
69,PT05M38.00S,2026-01-21T01:22:05.0Z,1,REGULAR,substitution,out,[],1630171,,,1610612741,13,16,2026-01-21T01:22:31Z,680000,False,,,0,,SUB out: I. Okoro,[1630171],1610612741.0,CHI,,,,,,,,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,
70,PT05M38.00S,2026-01-21T01:22:05.0Z,1,REGULAR,substitution,out,[],1628381,,,1610612741,13,16,2026-01-21T01:22:31Z,690000,False,,,0,,SUB out: J. Collins,[1628381],1610612746.0,LAC,,,,,,,,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,
71,PT05M38.00S,2026-01-21T01:22:05.0Z,1,REGULAR,substitution,out,[],1627826,,,1610612741,13,16,2026-01-21T01:22:31Z,700000,False,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,,,,,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,
72,PT05M38.00S,2026-01-21T01:22:05.0Z,1,REGULAR,substitution,in,[],1630245,,,1610612741,13,16,2026-01-21T01:22:31Z,710000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,
73,PT05M38.00S,2026-01-21T01:22:05.0Z,1,REGULAR,substitution,in,[],201572,,,1610612741,13,16,2026-01-21T01:22:31Z,720000,False,,,0,,SUB in: B. Lopez,[201572],1610612746.0,LAC,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,
74,PT05M38.00S,2026-01-21T01:22:05.0Z,1,REGULAR,substitution,in,[],201587,,,1610612741,13,16,2026-01-21T01:22:31Z,730000,False,,,0,,SUB in: N. Batum,[201587],1610612746.0,LAC,,,,,,,,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,
75,PT05M38.00S,2026-01-21T01:22:32.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202696,,,1610612741,14,16,2026-01-21T01:22:32Z,740000,False,,,0,,N. Vučević Free Throw 2 of 2 (2 PTS),[202696],1610612741.0,CHI,,,,,,,,,,Made,Vučević,N. Vučević,,,,,2.0,,,,,,,,,,,,,
76,PT05M20.00S,2026-01-21T01:22:48.1Z,1,REGULAR,3pt,Jump Shot,[],1642920,25.969119579500656,82.84313725490196,1610612746,14,16,2026-01-21T01:22:53Z,750000,False,-164.0,192.0,1,left,MISS K. Sanders 25' 3PT,[1642920],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,25.23,Missed,Sanders,K. Sanders,,,,,,,,,,,,,,,,,,
77,PT05M15.00S,2026-01-21T01:22:53.1Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612741,14,16,2026-01-21T01:22:53Z,760000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,Huerter,K. Huerter,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
79,PT05M04.00S,2026-01-21T01:23:08.6Z,1,REGULAR,substitution,out,[],1629632,,,1610612741,14,16,2026-01-21T01:23:15Z,780000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,,
80,PT05M04.00S,2026-01-21T01:23:08.6Z,1,REGULAR,substitution,in,[],1630200,,,1610612741,14,16,2026-01-21T01:23:15Z,790000,False,,,0,,SUB in: T. Jones,[1630200],1610612741.0,CHI,,,,,,,,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,
81,PT04M56.00S,2026-01-21T01:23:29.2Z,1,REGULAR,3pt,Jump Shot,[],1641824,70.77858081471747,25.98039215686275,1610612741,14,16,2026-01-21T01:23:33Z,800000,False,-120.0,222.0,1,right,MISS M. Buzelis 25' 3PT,[1641824],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,25.26,Missed,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
82,PT04M52.00S,2026-01-21T01:23:33.2Z,1,REGULAR,rebound,offensive,[],1630200,,,1610612741,14,16,2026-01-21T01:23:33Z,810000,False,,,0,,T. Jones REBOUND (Off:1 Def:0),[1630200],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,Jones,T. Jones,81.0,1.0,0.0,1.0,,,,,,,,,,,,,,
83,PT04M50.00S,2026-01-21T01:23:34.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628989,79.05716162943496,93.13725490196079,1610612741,14,16,2026-01-21T01:23:39Z,820000,False,216.0,144.0,1,right,MISS K. Huerter 25' 3PT,[1628989],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,25.96,Missed,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
