actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
45,PT07M57.00S,2026-02-20T01:18:02.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,6.1268068331143235,48.03921568627451,1610612761,2,6,2026-02-20T01:18:07Z,450000,False,10.0,5.0,1,left,MISS B. Ingram running Layup - blocked,"[1627742, 1630581]",1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,1.1,Missed,,,,,,,,,,Giddey,1630581.0,,,,
46,PT07M57.00S,2026-02-20T01:18:02.5Z,1,REGULAR,block,,[],1630581,,,1610612761,2,6,2026-02-20T01:30:51Z,460000,False,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT07M57.00S,2026-02-20T01:18:02.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,2,6,2026-02-20T01:18:07Z,470000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,45.0,,,,,,,,,,,,,
49,PT07M57.00S,2026-02-20T01:18:09.9Z,1,REGULAR,substitution,out,[],1630188,,,1610612741,2,6,2026-02-20T01:18:14Z,490000,False,,,0,,SUB out: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M57.00S,2026-02-20T01:18:09.9Z,1,REGULAR,substitution,in,[],1630208,,,1610612741,2,6,2026-02-20T01:18:14Z,500000,False,,,0,,SUB in: N. Richards,[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M45.00S,2026-02-20T01:18:40.2Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612741,2,6,2026-02-20T01:18:44Z,510000,False,,,0,,J. Giddey lost ball TURNOVER (1 TO),"[1630581, 1627742]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Center,1.0,Ingram,1627742.0,,,,,,,,,,,,,,,,,
52,PT07M45.00S,2026-02-20T01:18:40.2Z,1,REGULAR,steal,,[],1627742,,,1610612761,2,6,2026-02-20T01:18:42Z,520000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
53,PT07M41.00S,2026-02-20T01:18:44.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629628,5.338370565045992,50.73529411764706,1610612761,2,8,2026-02-20T01:18:51Z,530000,False,-4.0,-2.0,1,left,R. Barrett running DUNK (2 PTS) (B. Ingram 1 AST),"[1629628, 1627742]",1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,0.44,Made,2.0,,,,,,B. Ingram,1627742.0,1.0,,,,,,
55,PT07M28.00S,2026-02-20T01:18:59.0Z,1,REGULAR,turnover,out-of-bounds,[],1630208,,,1610612741,2,8,2026-02-20T01:19:05Z,550000,False,,,0,,N. Richards lost ball out-of-bounds TURNOVER (1 TO),[1630208],1610612741.0,CHI,lost ball,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,204058.0,,,,,,,,,
56,PT07M18.00S,2026-02-20T01:19:26.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642867,5.338370565045992,50.245098039215684,1610612761,2,10,2026-02-20T01:19:32Z,560000,False,-1.0,-2.0,1,left,C. Murray-Boyles alley-oop Layup (2 PTS) (R. Barrett 1 AST),"[1642867, 1629628]",1610612761.0,TOR,alley-oop,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,,,,0.26,Made,2.0,,,,,,R. Barrett,1629628.0,1.0,,,,,,
58,PT07M18.00S,2026-02-20T01:19:32.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,2,10,2026-02-20T01:19:32Z,580000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M18.00S,2026-02-20T01:22:13.5Z,1,REGULAR,substitution,out,[],1630581,,,1610612741,2,10,2026-02-20T01:22:33Z,590000,False,,,0,,SUB out: J. Giddey,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M18.00S,2026-02-20T01:22:13.5Z,1,REGULAR,substitution,out,[],1630567,,,1610612741,2,10,2026-02-20T01:22:33Z,600000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M18.00S,2026-02-20T01:22:13.5Z,1,REGULAR,substitution,in,[],1630200,,,1610612741,2,10,2026-02-20T01:22:33Z,610000,False,,,0,,SUB in: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M18.00S,2026-02-20T01:22:13.5Z,1,REGULAR,substitution,in,[],1630572,,,1610612741,2,10,2026-02-20T01:22:33Z,620000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M04.00S,2026-02-20T01:22:47.7Z,1,REGULAR,foul,personal,[],1630572,,,1610612741,2,10,2026-02-20T01:22:53Z,630000,False,,,0,,S. Mamukelashvili personal FOUL (1 PF),"[1630572, 1630200]",1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1628168.0,,,,,,1.0,0.0,Jones,1630200.0
65,PT06M53.00S,2026-02-20T01:23:17.0Z,1,REGULAR,3pt,Jump Shot,[],1630171,92.9862023653088,97.54901960784314,1610612741,5,10,2026-02-20T01:23:20Z,650000,False,238.0,13.0,1,right,I. Okoro 3PT  (3 PTS) (T. Jones 1 AST),"[1630171, 1630200]",1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,23.81,Made,3.0,,,,,,T. Jones,1630200.0,1.0,,,,,,
67,PT06M29.00S,2026-02-20T01:23:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,10.463206307490145,51.9607843137255,1610612761,5,10,2026-02-20T01:23:44Z,670000,False,-10.0,46.0,1,left,MISS R. Barrett driving floating Shot,[1629628],1610612761.0,TOR,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,4.69,Missed,,,,,,,,,,,,,,,
68,PT06M27.00S,2026-02-20T01:23:41.5Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,5,10,2026-02-20T01:23:41Z,680000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,
69,PT06M21.00S,2026-02-20T01:23:56.3Z,1,REGULAR,foul,personal,[],1630572,,,1610612741,5,10,2026-02-20T01:24:10Z,690000,False,,,0,,S. Mamukelashvili personal FOUL (2 PF),"[1630572, 1630208]",1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,204058.0,,,,,,2.0,0.0,Richards,1630208.0
71,PT06M21.00S,2026-02-20T01:24:19.3Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612741,5,10,2026-02-20T01:31:10Z,710000,False,,,0,,R. Barrett flagrant-type-1 personal FOUL (1 PF) (Richards 2 FT),"[1629628, 1630208]",1610612761.0,TOR,flagrant-type-1,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,200834.0,,,,,,1.0,0.0,Richards,1630208.0
77,PT06M21.00S,2026-02-20T01:28:53.1Z,1,REGULAR,foul,technical,['1freethrow'],1630208,,,1610612741,5,10,2026-02-20T01:32:33Z,750000,False,,,0,,N. Richards technical FOUL (1 Tech),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,200834.0,,,,,,0.0,1.0,,
78,PT06M21.00S,2026-02-20T01:29:03.2Z,1,REGULAR,freethrow,1 of 1,[],1627742,,,1610612741,5,11,2026-02-20T01:29:03Z,760000,False,,,0,,B. Ingram technical Free Throw 1 of 1 (5 PTS),[1627742],1610612761.0,TOR,technical,,,Ingram,B. Ingram,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
79,PT06M21.00S,2026-02-20T01:29:21.9Z,1,REGULAR,freethrow,1 of 2,[],1629014,,,1610612741,6,11,2026-02-20T01:31:30Z,770000,False,,,0,,A. Simons flagrant Free Throw 1 of 2 (3 PTS),[1629014],1610612741.0,CHI,flagrant,,,Simons,A. Simons,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
80,PT06M21.00S,2026-02-20T01:29:21.9Z,1,REGULAR,freethrow,2 of 2,[],1629014,,,1610612741,7,11,2026-02-20T01:31:30Z,780000,False,,,0,,A. Simons flagrant Free Throw 2 of 2 (4 PTS),[1629014],1610612741.0,CHI,flagrant,,,Simons,A. Simons,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
81,PT06M05.00S,2026-02-20T01:29:51.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.59198423127464,49.26470588235294,1610612741,9,11,2026-02-20T01:29:55Z,790000,False,-4.0,17.0,1,right,I. Okoro driving Layup (5 PTS),[1630171],1610612741.0,CHI,driving,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,1.75,Made,5.0,,,,,,,,,,,,,,
83,PT05M55.00S,2026-02-20T01:30:01.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,5.338370565045992,49.01960784313725,1610612761,9,13,2026-02-20T01:35:36Z,810000,False,5.0,-2.0,1,left,B. Ingram driving floating Jump Shot (7 PTS),[1627742],1610612761.0,TOR,driving floating,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,0.54,Made,7.0,,,,,,,,,,,,,,
84,PT05M40.00S,2026-02-20T01:30:16.3Z,1,REGULAR,3pt,Jump Shot,[],1641824,69.46452036793693,28.921568627450984,1610612741,9,13,2026-02-20T01:30:20Z,820000,False,-105.0,235.0,1,right,MISS M. Buzelis 25' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,,,,25.71,Missed,,,,,,,,,,,,,,,
85,PT05M40.00S,2026-02-20T01:30:18.4Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612741,9,13,2026-02-20T01:30:18Z,830000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,,,,,84.0,1.0,0.0,1.0,,,,,,,,,,
86,PT05M40.00S,2026-02-20T01:30:32.1Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612741,9,13,2026-02-20T01:30:39Z,840000,False,,,0,,R. Barrett shooting personal FOUL (2 PF) (Richards 2 FT),"[1629628, 1630208]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200834.0,,,,,,2.0,0.0,Richards,1630208.0
88,PT05M40.00S,2026-02-20T01:30:48.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630208,,,1610612741,10,13,2026-02-20T01:30:48Z,860000,False,,,0,,N. Richards Free Throw 1 of 2 (1 PTS),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
89,PT05M40.00S,2026-02-20T01:30:52.8Z,1,REGULAR,substitution,out,[],1630193,,,1610612741,10,13,2026-02-20T01:31:09Z,870000,False,,,0,,SUB out: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
