actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
30,PT09M10.00S,2026-04-05T19:44:03.5Z,1,REGULAR,3pt,Jump Shot,[],1626164,68.15045992115637,33.57843137254902,1610612756,2,2,2026-04-05T19:44:07Z,300000,False,-82.0,247.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,,,26.02,Missed,,,,,,,,,,,,,,
31,PT09M07.00S,2026-04-05T19:44:05.6Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612741,2,2,2026-04-05T19:44:05Z,310000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,
32,PT09M04.00S,2026-04-05T19:44:11.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631159,6.258212877792378,50.245098039215684,1610612741,4,2,2026-04-05T19:46:23Z,320000,False,-1.0,6.0,1,left,L. Miller running Layup (2 PTS) (T. Jones 1 AST),"[1631159, 1630200]",1610612741.0,CHI,running,,,Miller,L. Miller,,,,,Restricted Area,0-8 Center,,,,,0.64,Made,,,,,,,,,2.0,T. Jones,1630200.0,1.0,,
34,PT09M04.00S,2026-04-05T19:44:14.8Z,1,REGULAR,foul,personal,['1freethrow'],1626164,,,1610612741,4,2,2026-04-05T19:44:29Z,340000,False,,,0,,D. Booker shooting personal FOUL (1 PF) (Miller 1 FT),"[1626164, 1631159]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,2882.0,,,,,,,1.0,0.0,Miller,1631159.0,,,,,,
36,PT09M04.00S,2026-04-05T19:44:34.0Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1631159,,,1610612741,5,2,2026-04-05T19:44:34Z,360000,False,,,0,,L. Miller Free Throw 1 of 1 (3 PTS),[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,,,,,,,,Made,,,,,,,,,3.0,,,,,
37,PT08M50.00S,2026-04-05T19:44:51.0Z,1,REGULAR,3pt,Jump Shot,[],1630692,68.54467805519053,63.23529411764706,1610612756,5,5,2026-04-05T19:45:00Z,370000,False,66.0,243.0,1,right,J. Goodwin 25' 3PT  (3 PTS) (D. Booker 1 AST),"[1630692, 1626164]",1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Center,,,,,25.2,Made,,,,,,,,,3.0,D. Booker,1626164.0,1.0,,
39,PT08M34.00S,2026-04-05T19:45:05.9Z,1,REGULAR,3pt,Jump Shot,[],1627824,26.49474375821288,18.137254901960784,1610612741,5,5,2026-04-05T19:45:10Z,390000,False,159.0,197.0,1,left,MISS G. Yabusele 25' 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,,,25.3,Missed,,,,,,,,,,,,,,
40,PT08M31.00S,2026-04-05T19:45:08.9Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612756,5,5,2026-04-05T19:45:10Z,400000,False,,,0,,J. Goodwin REBOUND (Off:0 Def:3),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Right Center,,,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,
41,PT08M29.00S,2026-04-05T19:45:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631109,93.77463863337714,51.71568627450981,1610612756,5,7,2026-04-05T19:45:20Z,410000,False,9.0,6.0,1,right,M. Williams running Layup (2 PTS) (J. Goodwin 1 AST),"[1631109, 1630692]",1610612756.0,PHX,running,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,1.05,Made,,,,,,,,,2.0,J. Goodwin,1630692.0,1.0,,
43,PT08M19.00S,2026-04-05T19:45:20.9Z,1,REGULAR,3pt,Jump Shot,[],1631159,6.783837056504599,3.431372549019608,1610612741,8,7,2026-04-05T19:45:25Z,430000,False,233.0,11.0,1,left,L. Miller 3PT  (6 PTS) (T. Jones 2 AST),"[1631159, 1630200]",1610612741.0,CHI,,,,Miller,L. Miller,,,,,Right Corner 3,24+ Right,,,,,23.31,Made,,,,,,,,,6.0,T. Jones,1630200.0,2.0,,
45,PT08M07.00S,2026-04-05T19:45:33.9Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612756,8,7,2026-04-05T19:45:40Z,450000,False,,,0,,J. Green lost ball TURNOVER (3 TO),"[1630224, 1629012]",1610612756.0,PHX,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,3.0,Sexton,1629012.0,,,,,,,,,,,,,,,,,
46,PT08M07.00S,2026-04-05T19:45:33.9Z,1,REGULAR,steal,,[],1629012,,,1610612741,8,7,2026-04-05T19:45:35Z,460000,False,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
47,PT08M04.00S,2026-04-05T19:45:37.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631159,5.995400788436268,51.71568627450981,1610612741,10,7,2026-04-05T19:45:48Z,470000,False,-9.0,4.0,1,left,L. Miller running DUNK (8 PTS) (T. Jones 3 AST),"[1631159, 1630200]",1610612741.0,CHI,running,,,Miller,L. Miller,,,,,Restricted Area,0-8 Center,,,,,0.94,Made,,,,,,,,,8.0,T. Jones,1630200.0,3.0,,
49,PT08M04.00S,2026-04-05T19:45:42.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,10,7,2026-04-05T19:45:42Z,490000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M04.00S,2026-04-05T19:48:46.8Z,1,REGULAR,substitution,out,[],1630200,,,1610612756,10,7,2026-04-05T19:48:50Z,500000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M04.00S,2026-04-05T19:48:46.8Z,1,REGULAR,substitution,in,[],1642265,,,1610612756,10,7,2026-04-05T19:48:50Z,510000,False,,,0,,SUB in: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M52.00S,2026-04-05T19:48:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,92.9862023653088,48.03921568627451,1610612756,10,9,2026-04-05T19:49:04Z,520000,False,-10.0,13.0,1,right,J. Green driving Layup (2 PTS) (M. Williams 1 AST),"[1630224, 1631109]",1610612756.0,PHX,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,1.66,Made,,,,,,,,,2.0,M. Williams,1631109.0,1.0,,
55,PT07M37.00S,2026-04-05T19:49:12.8Z,1,REGULAR,2pt,Jump Shot,[],1629012,6.258212877792378,85.5392156862745,1610612741,10,9,2026-04-05T19:51:08Z,530000,False,-178.0,6.0,1,left,MISS C. Sexton 17' Jump Shot,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Left,,,,,17.78,Missed,,,,,,,,,,,,,,
56,PT07M35.00S,2026-04-05T19:49:14.8Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612741,10,9,2026-04-05T19:50:50Z,540000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Left Corner 3,24+ Left,,,,,,,55.0,1.0,0.0,1.0,,,,,,,,,,
57,PT07M35.00S,2026-04-05T19:49:17.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630171,5.590000152587891,50.0,1610612741,12,9,2026-04-05T19:51:02Z,550000,False,0.0,0.0,1,left,I. Okoro tip Layup (2 PTS),[1630171],1610612741.0,CHI,tip,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,0.0,Made,,,,,,,,,2.0,,,,,
59,PT07M20.00S,2026-04-05T19:49:29.4Z,1,REGULAR,3pt,Jump Shot,[],1628415,67.62483574244416,66.91176470588235,1610612756,12,9,2026-04-05T19:51:27Z,560000,False,85.0,252.0,1,right,MISS D. Brooks 26' pullup 3PT,[1628415],1610612756.0,PHX,pullup,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,26.56,Missed,,,,,,,,,,,,,,
60,PT07M18.00S,2026-04-05T19:49:31.4Z,1,REGULAR,rebound,defensive,[],1642265,,,1610612741,12,9,2026-04-05T19:49:32Z,570000,False,,,0,,R. Dillingham REBOUND (Off:0 Def:1),[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,Above the Break 3,24+ Right Center,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,
61,PT07M11.00S,2026-04-05T19:49:38.3Z,1,REGULAR,3pt,Jump Shot,[],1629012,26.49474375821288,14.460784313725492,1610612741,15,9,2026-04-05T19:49:42Z,580000,False,178.0,197.0,1,left,C. Sexton 26' 3PT  (3 PTS) (I. Okoro 1 AST),"[1629012, 1630171]",1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,,,,,26.5,Made,,,,,,,,,3.0,I. Okoro,1630171.0,1.0,,
63,PT06M58.00S,2026-04-05T19:49:51.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,69.85873850197109,30.88235294117647,1610612756,15,9,2026-04-05T19:50:01Z,600000,False,-96.0,231.0,1,right,MISS J. Green 24' pullup 3PT,[1630224],1610612756.0,PHX,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,24.98,Missed,,,,,,,,,,,,,,
64,PT06M56.00S,2026-04-05T19:49:53.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,15,9,2026-04-05T19:50:01Z,610000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,63.0,,,,,,,,,,,,,
66,PT06M56.00S,2026-04-05T19:50:00.8Z,1,REGULAR,substitution,out,[],1630692,,,1610612741,15,9,2026-04-05T19:50:06Z,630000,False,,,0,,SUB out: J. Goodwin,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M56.00S,2026-04-05T19:50:00.8Z,1,REGULAR,substitution,in,[],1628960,,,1610612741,15,9,2026-04-05T19:50:06Z,640000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2026-04-05T19:50:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,5.863994743758213,52.20588235294118,1610612741,15,9,2026-04-05T19:50:31Z,650000,False,-11.0,3.0,1,left,MISS G. Yabusele driving Layup,[1627824],1610612741.0,CHI,driving,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,1.13,Missed,,,,,,,,,,,,,,
69,PT06M40.00S,2026-04-05T19:50:28.3Z,1,REGULAR,rebound,offensive,[],1627824,,,1610612741,15,9,2026-04-05T19:50:28Z,660000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,,,
70,PT06M35.00S,2026-04-05T19:50:40.0Z,1,REGULAR,turnover,out-of-bounds,[],1629012,,,1610612741,15,9,2026-04-05T19:50:48Z,670000,False,,,0,,C. Sexton lost ball out-of-bounds TURNOVER (1 TO),[1629012],1610612741.0,CHI,lost ball,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,1.0,,,101283.0,,,,,,,,,,,,,,,,
71,PT06M24.00S,2026-04-05T19:50:53.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,66.96780551905388,44.85294117647059,1610612756,15,12,2026-04-05T19:50:59Z,680000,False,-26.0,258.0,1,right,J. Green 25' 3PT  (5 PTS) (D. Booker 2 AST),"[1630224, 1626164]",1610612756.0,PHX,,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,,,25.93,Made,,,,,,,,,5.0,D. Booker,1626164.0,2.0,,
73,PT06M11.00S,2026-04-05T19:51:06.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,5.863994743758213,49.01960784313725,1610612741,17,12,2026-04-05T19:53:26Z,700000,False,5.0,3.0,1,left,I. Okoro cutting Layup (4 PTS) (R. Dillingham 1 AST),"[1630171, 1642265]",1610612741.0,CHI,cutting,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,0.55,Made,,,,,,,,,4.0,R. Dillingham,1642265.0,1.0,,
75,PT05M54.00S,2026-04-05T19:51:22.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,80.50262812089356,68.13725490196079,1610612756,17,12,2026-04-05T19:51:30Z,720000,False,91.0,131.0,1,right,MISS J. Green 15' fadeaway Shot,[1630224],1610612756.0,PHX,fadeaway,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,15.92,Missed,,,,,,,,,,,,,,
76,PT05M52.00S,2026-04-05T19:51:24.7Z,1,REGULAR,rebound,defensive,[],1642265,,,1610612741,17,12,2026-04-05T19:51:30Z,730000,False,,,0,,R. Dillingham REBOUND (Off:0 Def:2),[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,Mid-Range,8-16 Right,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,
77,PT05M48.00S,2026-04-05T19:51:31.4Z,1,REGULAR,foul,personal,[],1628960,,,1610612741,17,12,2026-04-05T19:51:38Z,740000,False,,,0,,G. Allen personal FOUL (1 PF),"[1628960, 1642265]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,,,,2882.0,,,,,,,1.0,0.0,Dillingham,1642265.0,,,,,,
79,PT05M48.00S,2026-04-05T19:51:43.9Z,1,REGULAR,substitution,out,[],1627824,,,1610612741,17,12,2026-04-05T19:51:47Z,760000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M48.00S,2026-04-05T19:51:43.9Z,1,REGULAR,substitution,in,[],1642950,,,1610612741,17,12,2026-04-05T19:51:47Z,770000,False,,,0,,SUB in: L. Olbrich,[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M36.00S,2026-04-05T19:52:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642265,6.915243101182654,50.73529411764706,1610612741,19,12,2026-04-05T19:52:10Z,780000,False,-4.0,13.0,1,left,R. Dillingham driving Layup (2 PTS),[1642265],1610612741.0,CHI,driving,,,Dillingham,R. Dillingham,,,,,Restricted Area,0-8 Center,,,,,1.3,Made,,,,,,,,,2.0,,,,,
82,PT05M20.00S,2026-04-05T19:52:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626164,92.59198423127464,50.245098039215684,1610612756,19,12,2026-04-05T19:54:49Z,790000,False,1.0,17.0,1,right,MISS D. Booker finger roll Layup,[1626164],1610612756.0,PHX,finger roll,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,,1.71,Missed,,,,,,,,,,,,,,
83,PT05M16.00S,2026-04-05T19:52:24.4Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,19,12,2026-04-05T19:52:28Z,800000,False,,,0,,M. Williams REBOUND (Off:2 Def:0),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,82.0,2.0,0.0,2.0,,,,,,,,,,
84,PT05M16.00S,2026-04-05T19:52:24.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631109,94.40999984741211,50.0,1610612756,19,14,2026-04-05T19:56:54Z,810000,False,0.0,0.0,1,right,M. Williams tip Layup (4 PTS),[1631109],1610612756.0,PHX,tip,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,0.0,Made,,,,,,,,,4.0,,,,,
