actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M07.00S,2025-12-04T01:11:20.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1629008,94.40999984741211,50.0,1610612751,0,2,2025-12-04T01:13:22Z,150000,False,0.0,0.0,1,right,M. Porter Jr. tip Layup (2 PTS),[1629008],1610612751.0,BKN,tip,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,2.0,,,,,,,,,,
16,PT10M54.00S,2025-12-04T01:11:28.7Z,1,REGULAR,turnover,out-of-bounds,[],202696,,,1610612741,0,2,2025-12-04T01:11:34Z,160000,False,,,0,,N. Vučević bad pass out-of-bounds TURNOVER (1 TO),[202696],1610612741.0,CHI,bad pass,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,,,,,1.0,,,,1201.0,,,,,,,,,
17,PT10M34.00S,2025-12-04T01:11:55.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641730,90.3580814717477,43.627450980392155,1610612751,0,2,2025-12-04T01:12:09Z,170000,False,-32.0,38.0,1,right,MISS N. Clowney driving floating bank Shot,[1641730],1610612751.0,BKN,driving floating bank,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,4.97,Missed,,,,,,,,,,,,,,,,,,
18,PT10M32.00S,2025-12-04T01:11:57.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,2,2025-12-04T01:12:09Z,180000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M23.00S,2025-12-04T01:12:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,6.521024967148489,47.05882352941176,1610612741,0,2,2025-12-04T01:12:12Z,190000,False,15.0,9.0,1,left,MISS M. Buzelis driving Layup,[1641824],1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,1.71,Missed,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2025-12-04T01:12:06.3Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,2,2025-12-04T01:12:12Z,200000,False,,,0,,N. Vučević REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,19.0,2.0,1.0,1.0,,,,,,,,,,,,,,
36,PT10M21.00S,2025-12-04T01:12:08.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,6.915243101182654,49.26470588235294,1610612741,0,2,2025-12-04T01:13:55Z,205000,False,4.0,13.0,1,left,MISS N. Vučević tip Layup - blocked,"[202696, 1629651]",1610612741.0,CHI,tip,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,1.3,Missed,,,,,,,,,,Claxton,1629651.0,,,,,,,
79,PT10M21.00S,2025-12-04T01:12:08.4Z,1,REGULAR,block,,[],1629651,,,1610612741,0,2,2025-12-04T01:19:56Z,206250,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT10M21.00S,2025-12-04T01:12:08.4Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,2,2025-12-04T01:13:55Z,207500,False,,,0,,N. Vučević REBOUND (Off:2 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,36.0,3.0,1.0,2.0,,,,,,,,,,,,,,
21,PT10M19.00S,2025-12-04T01:12:10.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,5.590000152587891,50.0,1610612741,2,2,2025-12-04T01:16:44Z,210000,False,0.0,0.0,1,left,N. Vučević putback Layup (2 PTS),[202696],1610612741.0,CHI,putback,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,2.0,,,,,,,,,,
22,PT10M11.00S,2025-12-04T01:12:20.6Z,1,REGULAR,turnover,out-of-bounds,[],1642856,,,1610612751,2,2,2025-12-04T01:12:26Z,220000,False,,,0,,E. Dëmin bad pass out-of-bounds TURNOVER (1 TO),[1642856],1610612751.0,BKN,bad pass,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Center,,,,,,,1.0,,,,1201.0,,,,,,,,,
23,PT10M04.00S,2025-12-04T01:12:35.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641824,29.38567674113009,75.73529411764706,1610612741,2,2,2025-12-04T01:12:38Z,230000,False,-129.0,224.0,1,left,MISS M. Buzelis 25' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,25.81,Missed,,,,,,,,,,,,,,,,,,
24,PT10M02.00S,2025-12-04T01:12:37.4Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,2,2,2025-12-04T01:12:38Z,240000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M55.00S,2025-12-04T01:12:44.5Z,1,REGULAR,3pt,Jump Shot,[],1641730,69.20170827858082,23.03921568627451,1610612751,2,2,2025-12-04T01:12:49Z,250000,False,-135.0,237.0,1,right,MISS N. Clowney 27' pullup 3PT,[1641730],1610612751.0,BKN,pullup,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,27.27,Missed,,,,,,,,,,,,,,,,,,
26,PT09M52.00S,2025-12-04T01:12:47.5Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,2,2,2025-12-04T01:12:49Z,260000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M37.00S,2025-12-04T01:13:02.0Z,1,REGULAR,2pt,Jump Shot,[],1630245,8.360709592641262,65.93137254901961,1610612741,2,2,2025-12-04T01:14:06Z,270000,False,-80.0,26.0,1,left,MISS A. Dosunmu 8' driving floating Shot - blocked,"[1630245, 1629008]",1610612741.0,CHI,driving floating,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Left,8.39,Missed,,,,,,,,,,Porter Jr.,1629008.0,,,,,,,
28,PT09M37.00S,2025-12-04T01:13:02.0Z,1,REGULAR,block,,[],1629008,,,1610612741,2,2,2025-12-04T01:13:04Z,280000,False,,,0,,M. Porter Jr. BLOCK (1 BLK),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
29,PT09M35.00S,2025-12-04T01:13:04.0Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,2,2,2025-12-04T01:13:06Z,290000,False,,,0,,N. Clowney REBOUND (Off:0 Def:2),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,8-16 Left,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M32.00S,2025-12-04T01:13:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642856,92.06636005256242,46.81372549019608,1610612751,2,2,2025-12-04T01:13:12Z,300000,False,-16.0,22.0,1,right,MISS E. Dëmin running Layup,[1642856],1610612751.0,BKN,running,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,,,,,,,,,,,,,,
31,PT09M30.00S,2025-12-04T01:13:09.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,2,2025-12-04T01:13:12Z,310000,False,,,0,,N. Vučević REBOUND (Off:2 Def:2),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,30.0,4.0,2.0,2.0,,,,,,,,,,,,,,
32,PT09M23.00S,2025-12-04T01:13:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,6.521024967148489,50.73529411764706,1610612741,4,2,2025-12-04T01:13:24Z,320000,False,-4.0,9.0,1,left,M. Buzelis cutting Layup (2 PTS) (A. Dosunmu 1 AST),"[1641824, 1630245]",1610612741.0,CHI,cutting,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,,,,2.0,,,,A. Dosunmu,1630245.0,1.0,,,,
34,PT09M11.00S,2025-12-04T01:13:30.6Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612751,4,2,2025-12-04T01:13:38Z,340000,False,,,0,,N. Vučević shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[202696, 1629008]",1610612741.0,CHI,shooting,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2003.0,,,,,,1.0,0.0,Porter Jr.,1629008.0
38,PT09M11.00S,2025-12-04T01:14:00.6Z,1,REGULAR,freethrow,1 of 2,[],1629008,,,1610612751,4,3,2025-12-04T01:14:00Z,360000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (3 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
39,PT09M11.00S,2025-12-04T01:14:14.6Z,1,REGULAR,freethrow,2 of 2,[],1629008,,,1610612751,4,4,2025-12-04T01:14:14Z,370000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (4 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
40,PT09M00.00S,2025-12-04T01:14:31.5Z,1,REGULAR,foul,personal,['2freethrow'],1642856,,,1610612741,4,4,2025-12-04T01:14:46Z,380000,False,,,0,,E. Dëmin shooting personal FOUL (1 PF) (Giddey 2 FT),"[1642856, 1630581]",1610612751.0,BKN,shooting,,,Dëmin,E. Dëmin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1201.0,,,,,,1.0,0.0,Giddey,1630581.0
42,PT09M00.00S,2025-12-04T01:14:56.0Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612741,5,4,2025-12-04T01:14:56Z,400000,False,,,0,,J. Giddey Free Throw 1 of 2 (1 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
43,PT09M00.00S,2025-12-04T01:14:56.0Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612741,5,4,2025-12-04T01:15:12Z,410000,False,,,0,,MISS J. Giddey Free Throw 2 of 2,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
44,PT08M56.00S,2025-12-04T01:15:00.0Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,5,4,2025-12-04T01:15:12Z,420000,False,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,
45,PT08M54.00S,2025-12-04T01:15:18.5Z,1,REGULAR,foul,personal,['2freethrow'],1642856,,,1610612741,5,4,2025-12-04T01:15:24Z,430000,False,,,0,,E. Dëmin shooting personal FOUL (2 PF) (Giddey 2 FT),"[1642856, 1630581]",1610612751.0,BKN,shooting,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,101283.0,,,,,,2.0,0.0,Giddey,1630581.0
47,PT08M54.00S,2025-12-04T01:15:39.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630581,,,1610612741,6,4,2025-12-04T01:15:39Z,450000,False,,,0,,J. Giddey Free Throw 1 of 2 (2 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
48,PT08M54.00S,2025-12-04T01:15:52.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630581,,,1610612741,7,4,2025-12-04T01:15:52Z,460000,False,,,0,,J. Giddey Free Throw 2 of 2 (3 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
49,PT08M42.00S,2025-12-04T01:16:06.2Z,1,REGULAR,2pt,Jump Shot,[],1629008,76.2976346911958,31.862745098039213,1610612751,7,6,2025-12-04T01:16:10Z,470000,False,-91.0,170.0,1,right,M. Porter Jr. 19' pullup Jump Shot (6 PTS) (N. Claxton 1 AST),"[1629008, 1629651]",1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,19.29,Made,,,,,,,,6.0,,,,N. Claxton,1629651.0,1.0,,,,
50,PT08M29.00S,2025-12-04T01:16:18.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641824,7.440867279894875,52.69607843137255,1610612741,7,6,2025-12-04T01:16:21Z,480000,False,-13.0,17.0,1,left,MISS M. Buzelis driving floating Shot,[1641824],1610612741.0,CHI,driving floating,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,,,,,,,,,,,,,,
51,PT08M26.00S,2025-12-04T01:16:21.3Z,1,REGULAR,rebound,offensive,[],1641763,,,1610612741,7,6,2025-12-04T01:16:21Z,490000,False,,,0,,J. Phillips REBOUND (Off:1 Def:0),[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,Restricted Area,0-8 Center,,,50.0,1.0,0.0,1.0,,,,,,,,,,,,,,
52,PT08M26.00S,2025-12-04T01:16:21.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641763,5.590000152587891,50.0,1610612741,7,6,2025-12-04T01:16:27Z,500000,False,0.0,0.0,1,left,MISS J. Phillips tip Layup,[1641763],1610612741.0,CHI,tip,,,Phillips,J. Phillips,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
53,PT08M26.00S,2025-12-04T01:16:21.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,7,6,2025-12-04T01:16:27Z,510000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,52.0,2.0,1.0,1.0,,,,,,,,,,,,,,
54,PT08M23.00S,2025-12-04T01:16:24.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641730,89.30683311432325,97.05882352941177,1610612751,7,6,2025-12-04T01:21:37Z,520000,False,235.0,48.0,1,right,MISS N. Clowney 24' running 3PT,[1641730],1610612751.0,BKN,running,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,24.01,Missed,,,,,,,,,,,,,,,,,,
55,PT08M19.00S,2025-12-04T01:16:28.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,7,6,2025-12-04T01:22:30Z,530000,False,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,54.0,3.0,2.0,1.0,,,,,,,,,,,,,,
56,PT08M03.00S,2025-12-04T01:16:44.8Z,1,REGULAR,3pt,Jump Shot,[],1630245,15.588042049934298,95.58823529411765,1610612741,10,6,2025-12-04T01:16:49Z,540000,False,-228.0,94.0,1,left,A. Dosunmu 24' 3PT  (3 PTS) (J. Giddey 1 AST),"[1630245, 1630581]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Left,24.65,Made,,,,,,,,3.0,,,,J. Giddey,1630581.0,1.0,,,,
58,PT07M42.00S,2025-12-04T01:17:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,92.72339027595268,47.05882352941176,1610612751,10,8,2025-12-04T01:17:12Z,560000,False,-15.0,16.0,1,right,N. Claxton alley-oop Layup (2 PTS) (M. Porter Jr. 1 AST),"[1629651, 1629008]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.17,Made,,,,,,,,2.0,,,,M. Porter Jr.,1629008.0,1.0,,,,
61,PT07M40.00S,2025-12-04T01:17:14.1Z,1,REGULAR,foul,personal,['1freethrow'],1629651,,,1610612741,10,8,2025-12-04T01:17:28Z,580000,False,,,0,,N. Claxton away-from-play personal FOUL (1 PF) (Giddey 1 FT),"[1629651, 1630581]",1610612751.0,BKN,away-from-play,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,101283.0,,,,,,1.0,0.0,Giddey,1630581.0
63,PT07M40.00S,2025-12-04T01:17:39.8Z,1,REGULAR,freethrow,1 of 1,[],1630581,,,1610612741,11,8,2025-12-04T01:17:39Z,600000,False,,,0,,J. Giddey away-from-play Free Throw 1 of 1 (4 PTS),[1630581],1610612741.0,CHI,away-from-play,,,Giddey,J. Giddey,,,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
64,PT07M24.00S,2025-12-04T01:18:16.6Z,1,REGULAR,2pt,Hook,[],202696,14.14257555847569,33.57843137254902,1610612741,11,8,2025-12-04T01:18:22Z,610000,False,82.0,80.0,1,left,MISS N. Vučević 11' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Right,11.49,Missed,,,,,,,,,,,,,,,,,,
65,PT07M21.00S,2025-12-04T01:18:19.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,11,8,2025-12-04T01:18:22Z,620000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:2),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Right,,,64.0,3.0,2.0,1.0,,,,,,,,,,,,,,
66,PT07M17.00S,2025-12-04T01:18:28.1Z,1,REGULAR,violation,kicked ball,[],202696,,,1610612751,11,8,2025-12-04T01:18:32Z,630000,False,,,0,,N. Vučević kicked ball VIOLATION,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,2003.0,,,,,,,,,
67,PT07M17.00S,2025-12-04T01:18:31.1Z,1,REGULAR,substitution,out,[],1630581,,,1610612751,11,8,2025-12-04T01:18:40Z,640000,False,,,0,,SUB out: J. Giddey,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M17.00S,2025-12-04T01:18:31.1Z,1,REGULAR,substitution,in,[],1628975,,,1610612751,11,8,2025-12-04T01:18:40Z,650000,False,,,0,,SUB in: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M10.00S,2025-12-04T01:18:58.7Z,1,REGULAR,3pt,Jump Shot,[],1631213,93.9060446780552,95.09803921568627,1610612751,11,8,2025-12-04T01:19:02Z,660000,False,225.0,5.0,1,right,MISS T. Martin 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Right Corner 3,24+ Right,22.56,Missed,,,,,,,,,,,,,,,,,,
70,PT07M08.00S,2025-12-04T01:19:00.7Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612741,11,8,2025-12-04T01:19:02Z,670000,False,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,Right Corner 3,24+ Right,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,
71,PT07M01.00S,2025-12-04T01:19:08.1Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,11,8,2025-12-04T01:19:13Z,680000,False,,,0,,N. Vučević bad pass TURNOVER (2 TO),"[202696, 1631213]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,,,,,2.0,Martin,1631213.0,,,,,,,,,,,
72,PT07M01.00S,2025-12-04T01:19:08.1Z,1,REGULAR,steal,,[],1631213,,,1610612751,11,8,2025-12-04T01:19:11Z,690000,False,,,0,,T. Martin STEAL (1 STL),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
73,PT06M57.00S,2025-12-04T01:19:12.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631213,92.46057818659659,46.81372549019608,1610612751,11,10,2025-12-04T01:19:16Z,700000,False,-16.0,18.0,1,right,T. Martin running DUNK (2 PTS),[1631213],1610612751.0,BKN,running,,,Martin,T. Martin,,,,,Restricted Area,0-8 Center,2.43,Made,,,,,,,,2.0,,,,,,,,,,
74,PT06M45.00S,2025-12-04T01:19:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641824,12.697109067017081,47.794117647058826,1610612741,13,10,2025-12-04T01:19:27Z,710000,False,11.0,67.0,1,left,M. Buzelis 6' driving floating Jump Shot (4 PTS),[1641824],1610612741.0,CHI,driving floating,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,6.78,Made,,,,,,,,4.0,,,,,,,,,,
75,PT06M33.00S,2025-12-04T01:19:36.2Z,1,REGULAR,3pt,Jump Shot,[],1641730,91.40932982917214,96.32352941176471,1610612751,13,10,2025-12-04T01:19:39Z,720000,False,232.0,28.0,1,right,MISS N. Clowney 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,23.33,Missed,,,,,,,,,,,,,,,,,,
76,PT06M30.00S,2025-12-04T01:19:39.2Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,13,10,2025-12-04T01:19:39Z,730000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Right Corner 3,24+ Right,,,75.0,1.0,1.0,0.0,,,,,,,,,,,,,,
