actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M42.00S,2026-02-23T01:13:58.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,93.38042049934296,52.450980392156865,1610612752,0,4,2026-02-23T01:14:05Z,170000,False,12.0,10.0,1,right,J. Hart running Layup (2 PTS) (M. Bridges 1 AST),"[1628404, 1628969]",1610612752.0,NYK,running,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,1.57,Made,2.0,,,,,,,,,M. Bridges,1628969.0,1.0,,,,
19,PT10M27.00S,2026-02-23T01:14:12.0Z,1,REGULAR,3pt,Jump Shot,[],1630581,25.837713534822605,12.5,1610612741,0,4,2026-02-23T01:14:16Z,190000,False,188.0,190.0,1,left,MISS J. Giddey 26' 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,26.72,Missed,,,,,,,,,,,,,,,,
20,PT10M24.00S,2026-02-23T01:14:15.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,0,4,2026-02-23T01:14:16Z,200000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT10M16.00S,2026-02-23T01:14:23.2Z,1,REGULAR,3pt,Jump Shot,[],1628969,96.27135348226018,96.07843137254902,1610612752,0,4,2026-02-23T01:14:27Z,210000,False,230.0,-17.0,1,right,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,23.11,Missed,,,,,,,,,,,,,,,,
22,PT10M12.00S,2026-02-23T01:14:27.2Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,0,4,2026-02-23T01:14:27Z,220000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,
23,PT10M02.00S,2026-02-23T01:14:36.7Z,1,REGULAR,3pt,Jump Shot,[],1630188,4.812746386333772,95.83333333333334,1610612741,3,4,2026-02-23T01:14:41Z,230000,False,-229.0,-7.0,1,left,J. Smith 3PT  (3 PTS) (J. Giddey 1 AST),"[1630188, 1630581]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,,,22.93,Made,3.0,,,,,,,,,J. Giddey,1630581.0,1.0,,,,
25,PT09M39.00S,2026-02-23T01:15:00.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,91.14651773981603,3.431372549019608,1610612752,3,4,2026-02-23T01:15:04Z,250000,False,-233.0,31.0,1,right,MISS O. Anunoby step back 3PT,[1628384],1610612752.0,NYK,step back,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,23.48,Missed,,,,,,,,,,,,,,,,
26,PT09M36.00S,2026-02-23T01:15:03.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,3,4,2026-02-23T01:15:04Z,260000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,
27,PT09M27.00S,2026-02-23T01:15:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,7.046649145860711,48.77450980392157,1610612741,3,4,2026-02-23T01:18:16Z,270000,False,6.0,14.0,1,left,MISS J. Smith cutting Layup,[1630188],1610612741.0,CHI,cutting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,1.5,Missed,,,,,,,,,,,,,,,,
28,PT09M25.00S,2026-02-23T01:15:13.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,3,4,2026-02-23T01:15:15Z,280000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,
29,PT09M20.00S,2026-02-23T01:15:18.5Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612752,3,4,2026-02-23T01:15:21Z,290000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 1630188]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,,,,,,,,Smith,1630188.0,,
30,PT09M20.00S,2026-02-23T01:15:18.5Z,1,REGULAR,steal,,[],1630188,,,1610612741,3,4,2026-02-23T01:15:20Z,300000,False,,,0,,J. Smith STEAL (1 STL),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M13.00S,2026-02-23T01:15:25.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630188,26.757555847568987,15.686274509803921,1610612741,3,4,2026-02-23T01:15:30Z,310000,False,172.0,199.0,1,left,MISS J. Smith 26' 3PT,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,,,26.28,Missed,,,,,,,,,,,,,,,,
32,PT09M11.00S,2026-02-23T01:15:29.0Z,1,REGULAR,rebound,offensive,[],1627824,,,1610612741,3,4,2026-02-23T01:15:29Z,320000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,31.0,2.0,1.0,1.0,,,,,,,
33,PT09M01.00S,2026-02-23T01:15:38.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641824,27.151773981603156,76.47058823529412,1610612741,3,4,2026-02-23T01:15:43Z,330000,False,-132.0,203.0,1,left,MISS M. Buzelis 24' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,,,24.21,Missed,,,,,,,,,,,,,,,,
34,PT08M58.00S,2026-02-23T01:15:41.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,3,4,2026-02-23T01:15:43Z,340000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,
35,PT08M47.00S,2026-02-23T01:15:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,81.15965834428384,49.26470588235294,1610612752,3,6,2026-02-23T01:15:58Z,350000,False,-4.0,125.0,1,right,J. Hart 12' pullup Jump Shot (4 PTS) (J. Brunson 1 AST),"[1628404, 1628973]",1610612752.0,NYK,pullup,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,12.47,Made,4.0,,,,,,,,,J. Brunson,1628973.0,1.0,,,,
37,PT08M23.00S,2026-02-23T01:16:15.6Z,1,REGULAR,3pt,Jump Shot,[],1630171,26.49474375821288,16.176470588235293,1610612741,3,6,2026-02-23T01:16:19Z,370000,False,169.0,197.0,1,left,MISS I. Okoro 25' 3PT,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,25.93,Missed,,,,,,,,,,,,,,,,
38,PT08M21.00S,2026-02-23T01:16:17.6Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,3,6,2026-02-23T01:16:19Z,380000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,
39,PT08M16.00S,2026-02-23T01:16:24.2Z,1,REGULAR,3pt,Jump Shot,[],1628973,67.23061760840999,33.82352941176471,1610612752,3,6,2026-02-23T01:16:30Z,390000,False,-81.0,256.0,1,right,MISS J. Brunson 26' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,26.8,Missed,,,,,,,,,,,,,,,,
40,PT08M12.00S,2026-02-23T01:16:28.2Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,3,6,2026-02-23T01:16:30Z,400000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,
41,PT08M05.00S,2026-02-23T01:16:34.2Z,1,REGULAR,3pt,Jump Shot,[],1630188,32.53942181340342,43.38235294117647,1610612741,3,6,2026-02-23T01:16:40Z,410000,False,33.0,253.0,1,left,MISS J. Smith 25' 3PT,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,,,25.56,Missed,,,,,,,,,,,,,,,,
42,PT08M01.00S,2026-02-23T01:16:38.4Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612741,3,6,2026-02-23T01:16:38Z,420000,False,,,0,,I. Okoro REBOUND (Off:1 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Center,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,
43,PT07M55.00S,2026-02-23T01:16:43.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641824,26.888961892247043,17.401960784313726,1610612741,3,6,2026-02-23T01:16:51Z,430000,False,163.0,200.0,1,left,MISS M. Buzelis 25' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,25.82,Missed,,,,,,,,,,,,,,,,
44,PT07M52.00S,2026-02-23T01:16:46.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,3,6,2026-02-23T01:16:51Z,440000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,,
45,PT07M47.00S,2026-02-23T01:16:52.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,92.59198423127464,2.696078431372549,1610612752,3,9,2026-02-23T01:17:02Z,450000,False,-237.0,17.0,1,right,M. Bridges 3PT  (3 PTS) (J. Brunson 2 AST),"[1628969, 1628973]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,23.71,Made,3.0,,,,,,,,,J. Brunson,1628973.0,2.0,,,,
47,PT07M34.00S,2026-02-23T01:17:05.6Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,3,9,2026-02-23T01:17:08Z,470000,False,,,0,,J. Giddey bad pass TURNOVER (2 TO),"[1630581, 1626157]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Right,,2.0,,,,,,,,,,,,,,,Towns,1626157.0,,
48,PT07M34.00S,2026-02-23T01:17:05.6Z,1,REGULAR,steal,,[],1626157,,,1610612752,3,9,2026-02-23T01:17:44Z,480000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
49,PT07M25.00S,2026-02-23T01:17:14.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,96.00854139290408,96.81372549019608,1610612752,3,9,2026-02-23T01:17:18Z,490000,False,234.0,-15.0,1,right,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,23.46,Missed,,,,,,,,,,,,,,,,
50,PT07M23.00S,2026-02-23T01:17:16.1Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,3,9,2026-02-23T01:17:18Z,500000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:2),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,,,,,,,,,,49.0,3.0,2.0,1.0,,,,,,,
51,PT07M19.00S,2026-02-23T01:17:24.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,3,9,2026-02-23T01:17:24Z,510000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M13.00S,2026-02-23T01:20:38.7Z,1,REGULAR,3pt,Jump Shot,[],1627824,31.750985545335087,31.127450980392158,1610612741,6,9,2026-02-23T01:20:43Z,520000,False,94.0,246.0,1,left,G. Yabusele 26' 3PT  (3 PTS) (J. Giddey 2 AST),"[1627824, 1630581]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,26.35,Made,3.0,,,,,,,,,J. Giddey,1630581.0,2.0,,,,
54,PT06M56.00S,2026-02-23T01:20:59.2Z,1,REGULAR,foul,personal,[],1630188,,,1610612752,6,9,2026-02-23T01:21:11Z,540000,False,,,0,,J. Smith personal FOUL (1 PF),"[1630188, 1626157]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,2530.0,,,,,1.0,0.0,Towns,1626157.0,,,,,,,,,,,
56,PT06M56.00S,2026-02-23T01:21:09.4Z,1,REGULAR,substitution,out,[],1630188,,,1610612752,6,9,2026-02-23T01:21:14Z,560000,False,,,0,,SUB out: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M56.00S,2026-02-23T01:21:09.4Z,1,REGULAR,substitution,in,[],1630208,,,1610612752,6,9,2026-02-23T01:21:14Z,570000,False,,,0,,SUB in: N. Richards,[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M52.00S,2026-02-23T01:21:24.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,92.9862023653088,52.69607843137255,1610612752,6,9,2026-02-23T01:21:30Z,580000,False,13.0,13.0,1,right,MISS K. Towns driving DUNK - blocked,"[1626157, 1630208]",1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,1.9,Missed,,,,,,,,,,,,,,,Richards,1630208.0
65,PT06M52.00S,2026-02-23T01:21:24.8Z,1,REGULAR,block,,[],1630208,,,1610612752,6,9,2026-02-23T01:22:35Z,585000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT06M50.00S,2026-02-23T01:21:26.8Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,6,9,2026-02-23T01:21:30Z,590000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:3),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,,,,,58.0,4.0,3.0,1.0,,,,,,,
60,PT06M38.00S,2026-02-23T01:21:38.9Z,1,REGULAR,turnover,bad pass,[],1630208,,,1610612741,6,9,2026-02-23T01:21:42Z,600000,False,,,0,,N. Richards bad pass TURNOVER (1 TO),"[1630208, 1628384]",1610612741.0,CHI,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,Anunoby,1628384.0,,
61,PT06M38.00S,2026-02-23T01:21:38.9Z,1,REGULAR,steal,,[],1628384,,,1610612752,6,9,2026-02-23T01:21:40Z,610000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT06M21.00S,2026-02-23T01:21:57.7Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612752,6,9,2026-02-23T01:22:03Z,620000,False,,,0,,J. Brunson bad pass out-of-bounds TURNOVER (1 TO),[1628973],1610612752.0,NYK,bad pass,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,202027.0,1.0,,,,,,,,,,,,,,,,,,
63,PT06M21.00S,2026-02-23T01:22:00.1Z,1,REGULAR,substitution,out,[],1630581,,,1610612741,6,9,2026-02-23T01:22:09Z,630000,False,,,0,,SUB out: J. Giddey,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M21.00S,2026-02-23T01:22:00.1Z,1,REGULAR,substitution,in,[],1630200,,,1610612741,6,9,2026-02-23T01:22:09Z,640000,False,,,0,,SUB in: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M59.00S,2026-02-23T01:22:35.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641824,5.863994743758213,51.470588235294116,1610612741,6,9,2026-02-23T01:22:47Z,650000,False,-7.0,3.0,1,left,MISS M. Buzelis driving Layup - blocked,"[1641824, 1628969]",1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,0.78,Missed,,,,,,,,,,,,,,,Bridges,1628969.0
67,PT05M59.00S,2026-02-23T01:22:35.7Z,1,REGULAR,block,,[],1628969,,,1610612741,6,9,2026-02-23T01:22:45Z,660000,False,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT05M58.00S,2026-02-23T01:22:36.7Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612741,6,9,2026-02-23T01:22:47Z,670000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,66.0,1.0,0.0,1.0,,,,,,,
69,PT05M58.00S,2026-02-23T01:22:48.3Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612741,6,9,2026-02-23T01:22:55Z,680000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Richards 2 FT),"[1626157, 1630208]",1610612752.0,NYK,shooting,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,202027.0,,,,,1.0,0.0,Richards,1630208.0,,,,,,,,,,,
71,PT05M58.00S,2026-02-23T01:23:11.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1630208,,,1610612741,7,9,2026-02-23T01:23:11Z,700000,False,,,0,,N. Richards Free Throw 1 of 2 (1 PTS),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
72,PT05M58.00S,2026-02-23T01:23:13.6Z,1,REGULAR,substitution,out,[],1641824,,,1610612741,7,9,2026-02-23T01:23:16Z,710000,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M58.00S,2026-02-23T01:23:13.6Z,1,REGULAR,substitution,in,[],1630172,,,1610612741,7,9,2026-02-23T01:23:16Z,720000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M58.00S,2026-02-23T01:23:37.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1630208,,,1610612741,8,9,2026-02-23T01:23:37Z,730000,False,,,0,,N. Richards Free Throw 2 of 2 (2 PTS),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
75,PT05M49.00S,2026-02-23T01:23:48.4Z,1,REGULAR,3pt,Jump Shot,[],1626157,65.25952693823915,35.53921568627451,1610612752,8,12,2026-02-23T01:23:52Z,740000,False,-72.0,274.0,1,right,K. Towns 28' 3PT  (3 PTS) (J. Brunson 3 AST),"[1626157, 1628973]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,28.35,Made,3.0,,,,,,,,,J. Brunson,1628973.0,3.0,,,,
77,PT05M38.00S,2026-02-23T01:23:59.3Z,1,REGULAR,3pt,Jump Shot,[],1627824,29.38567674113009,23.52941176470588,1610612741,11,12,2026-02-23T01:24:03Z,760000,False,132.0,224.0,1,left,G. Yabusele 25' 3PT  (6 PTS) (T. Jones 1 AST),"[1627824, 1630200]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,25.99,Made,6.0,,,,,,,,,T. Jones,1630200.0,1.0,,,,
79,PT05M23.00S,2026-02-23T01:24:14.4Z,1,REGULAR,3pt,Jump Shot,[],1626157,65.78515111695138,31.61764705882353,1610612752,11,15,2026-02-23T01:24:18Z,780000,False,-92.0,269.0,1,right,K. Towns 28' 3PT  (6 PTS) (J. Hart 1 AST),"[1626157, 1628404]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,28.44,Made,6.0,,,,,,,,,J. Hart,1628404.0,1.0,,,,
81,PT05M10.00S,2026-02-23T01:24:27.3Z,1,REGULAR,3pt,Jump Shot,[],1630172,30.831143232588698,72.79411764705883,1610612741,14,15,2026-02-23T01:24:33Z,800000,False,-114.0,237.0,1,left,P. Williams 26' 3PT  (3 PTS) (I. Okoro 1 AST),"[1630172, 1630171]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,26.33,Made,3.0,,,,,,,,,I. Okoro,1630171.0,1.0,,,,
83,PT04M49.00S,2026-02-23T01:24:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,93.11760840998686,51.225490196078425,1610612752,14,17,2026-02-23T01:24:52Z,820000,False,6.0,12.0,1,right,K. Towns driving Layup (8 PTS) (J. Hart 2 AST),"[1626157, 1628404]",1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,1.36,Made,8.0,,,,,,,,,J. Hart,1628404.0,2.0,,,,
