actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
328,PT04M34.00S,2025-01-10T02:01:07.4Z,2,REGULAR,freethrow,1 of 1,[],1627832,,,1610612745,48,62,2025-01-10T02:01:07Z,3270000,False,,,0,,F. VanVleet away-from-play Free Throw 1 of 1 (10 PTS),[1627832],1610612745.0,HOU,away-from-play,,,VanVleet,F. VanVleet,,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,
329,PT04M29.00S,2025-01-10T02:01:25.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1641708,5.863994743758213,58.08823529411765,1610612745,48,62,2025-01-10T02:01:30Z,3280000,False,-40.0,3.0,1,left,MISS A. Thompson alley-oop DUNK,[1641708],1610612745.0,HOU,alley-oop,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,4.05,,,,,,,,,,,,
330,PT04M26.00S,2025-01-10T02:01:28.4Z,2,REGULAR,rebound,defensive,[],1630643,,,1610612763,48,62,2025-01-10T02:01:30Z,3290000,False,,,0,,J. Huff REBOUND (Off:0 Def:1),[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,329.0,1.0,1.0,0.0,,,,,
331,PT04M22.00S,2025-01-10T02:01:32.1Z,2,REGULAR,3pt,Jump Shot,[],1631222,72.48685939553219,77.69607843137256,1610612763,48,62,2025-01-10T02:26:07Z,3300000,False,138.0,206.0,1,right,MISS J. LaRavia 24' 3PT,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,24.83,,,,,,,,,,,,
332,PT04M19.00S,2025-01-10T02:01:35.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612745,48,62,2025-01-10T02:01:43Z,3310000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,331.0,,,,,,,,
334,PT04M03.00S,2025-01-10T02:01:57.2Z,2,REGULAR,3pt,Jump Shot,[],1628415,27.020367936925098,75.73529411764706,1610612745,48,62,2025-01-10T02:02:02Z,3330000,False,-129.0,201.0,1,left,MISS D. Brooks 3PT,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,23.91,,,,,,,,,,,,
335,PT04M00.00S,2025-01-10T02:02:00.2Z,2,REGULAR,rebound,offensive,[],1630578,,,1610612745,48,62,2025-01-10T02:02:02Z,3340000,False,,,0,,A. Sengun REBOUND (Off:2 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,334.0,3.0,1.0,2.0,,,,,
336,PT04M00.00S,2025-01-10T02:02:01.1Z,2,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612745,48,62,2025-01-10T02:02:11Z,3350000,False,,,0,,D. Bane shooting personal FOUL (3 PF) (Sengun 2 FT),"[1630217, 1630578]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,1627964.0,3.0,0.0,Sengun,1630578.0,,,,,,,,,,,,,,,
338,PT04M00.00S,2025-01-10T02:02:33.8Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630578,,,1610612745,48,62,2025-01-10T02:03:10Z,3370000,False,,,0,,MISS A. Sengun Free Throw 1 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
339,PT04M00.00S,2025-01-10T02:02:33.8Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,48,62,2025-01-10T02:03:10Z,3380000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,338.0,,,,,,,,
340,PT04M00.00S,2025-01-10T02:02:36.1Z,2,REGULAR,substitution,out,[],1630217,,,1610612745,48,62,2025-01-10T02:02:37Z,3390000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
341,PT04M00.00S,2025-01-10T02:02:36.1Z,2,REGULAR,substitution,in,[],1628991,,,1610612745,48,62,2025-01-10T02:02:37Z,3400000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
342,PT04M00.00S,2025-01-10T02:02:33.8Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630578,,,1610612745,48,62,2025-01-10T02:03:10Z,3410000,False,,,0,,MISS A. Sengun Free Throw 2 of 2,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
343,PT04M00.00S,2025-01-10T02:02:33.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612763,48,62,2025-01-10T02:03:10Z,3420000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,342.0,,,,,,,,
344,PT04M00.00S,2025-01-10T02:03:09.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627832,,,1610612763,48,62,2025-01-10T02:03:31Z,3430000,False,,,0,,F. VanVleet loose ball personal FOUL (2 PF) (Huff 2 FT),"[1627832, 1630643]",1610612745.0,HOU,loose ball,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,202058.0,2.0,0.0,Huff,1630643.0,,,,,,,,,,,,,,,
346,PT04M00.00S,2025-01-10T02:03:38.5Z,2,REGULAR,freethrow,1 of 2,[],1630643,,,1610612763,49,62,2025-01-10T02:03:38Z,3450000,False,,,0,,J. Huff Free Throw 1 of 2 (5 PTS),[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
347,PT04M00.00S,2025-01-10T02:03:52.6Z,2,REGULAR,freethrow,2 of 2,[],1630643,,,1610612763,50,62,2025-01-10T02:03:52Z,3460000,False,,,0,,J. Huff Free Throw 2 of 2 (6 PTS),[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
348,PT03M47.00S,2025-01-10T02:04:08.3Z,2,REGULAR,2pt,Jump Shot,[],1630578,22.552562417871222,49.01960784313725,1610612745,50,64,2025-01-10T02:04:14Z,3470000,False,5.0,159.0,1,left,A. Sengun 15' bank Jump Shot (20 PTS) (J. Green 3 AST),"[1630578, 1630224]",1610612745.0,HOU,bank,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Center,,,,,,Made,20.0,15.96,J. Green,1630224.0,3.0,,,,,,,,,
