actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
66,PT06M52.00S,2024-11-29T22:17:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629634,93.11760840998686,51.71568627450981,1610612763,17,11,2024-11-29T22:17:55Z,660000,False,9.0,12.0,1,right,B. Clarke alley-oop Layup (2 PTS) (J. Morant 2 AST),"[1629634, 1629630]",1610612763.0,MEM,alley-oop,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,J. Morant,1629630.0,2.0,,,,,,,,,,,,,,
68,PT06M39.00S,2024-11-29T22:18:09.7Z,1,REGULAR,turnover,backcourt,[],1627749,,,1610612740,17,11,2024-11-29T22:18:19Z,680000,False,,,0,,D. Murray backcourt TURNOVER (3 TO),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2534.0,3.0,,,,,,,,
69,PT06M39.00S,2024-11-29T22:18:15.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,17,11,2024-11-29T22:18:15Z,690000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M39.00S,2024-11-29T22:20:38.2Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,17,11,2024-11-29T22:20:59Z,700000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M39.00S,2024-11-29T22:20:38.2Z,1,REGULAR,substitution,out,[],1629634,,,1610612763,17,11,2024-11-29T22:20:59Z,710000,False,,,0,,SUB out: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M39.00S,2024-11-29T22:20:38.2Z,1,REGULAR,substitution,out,[],1630530,,,1610612763,17,11,2024-11-29T22:20:59Z,720000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M39.00S,2024-11-29T22:20:38.2Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,17,11,2024-11-29T22:20:59Z,730000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M39.00S,2024-11-29T22:20:38.2Z,1,REGULAR,substitution,in,[],1630643,,,1610612763,17,11,2024-11-29T22:20:59Z,740000,False,,,0,,SUB in: J. Huff,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M39.00S,2024-11-29T22:20:38.2Z,1,REGULAR,substitution,in,[],1630527,,,1610612763,17,11,2024-11-29T22:20:59Z,750000,False,,,0,,SUB in: B. Boston Jr.,[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M32.00S,2024-11-29T22:21:18.7Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,17,11,2024-11-29T22:21:23Z,760000,False,,,0,,J. Morant bad pass out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1627964.0,1.0,,,,,,,,
78,PT06M14.00S,2024-11-29T22:21:38.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203468,7.178055190538765,48.529411764705884,1610612740,17,13,2024-11-29T22:21:43Z,770000,False,7.0,15.0,1,left,C. McCollum driving floating Jump Shot (6 PTS) (D. Murray 2 AST),"[203468, 1627749]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.67,Made,6.0,D. Murray,1627749.0,2.0,,,,,,,,,,,,,,
80,PT06M00.00S,2024-11-29T22:21:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,93.9060446780552,52.20588235294118,1610612763,19,13,2024-11-29T22:21:58Z,790000,False,11.0,5.0,1,right,J. Morant driving floating bank Jump Shot (4 PTS) (J. Wells 1 AST),"[1629630, 1642377]",1610612763.0,MEM,driving floating bank,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.2,Made,4.0,J. Wells,1642377.0,1.0,,,,,,,,,,,,,,
82,PT05M43.00S,2024-11-29T22:22:09.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,29.911300919842315,72.05882352941177,1610612740,19,16,2024-11-29T22:22:15Z,810000,False,-110.0,229.0,1,left,D. Murray 25' 3PT pullup bank (8 PTS),[1627749],1610612740.0,NOP,pullup bank,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,25.39,Made,8.0,,,,,,,,,,,,,,,,,
