actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M59.00S,2025-03-31T23:37:26.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",204001,89.83245729303549,41.66666666666667,1610612738,3,0,2025-03-31T23:37:32Z,170000,False,-42.0,43.0,1,right,MISS K. Porziņģis 6' driving floating bank Shot,[204001],1610612738.0,BOS,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,6.0,Missed,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
18,PT10M56.00S,2025-03-31T23:37:29.5Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,3,0,2025-03-31T23:37:32Z,180000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,17.0,,,,,,1.0,1.0,0.0,,,,,,,,
19,PT10M51.00S,2025-03-31T23:37:35.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1641744,7.5722733245729295,42.40196078431372,1610612763,3,0,2025-03-31T23:37:55Z,190000,False,38.0,19.0,1,left,MISS Z. Edey bank Shot,[1641744],1610612763.0,MEM,bank,,,,,,Restricted Area,0-8 Center,4.24,Missed,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
20,PT10M48.00S,2025-03-31T23:37:38.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2025-03-31T23:37:55Z,200000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,,Tatum,J. Tatum,19.0,,,,,,1.0,1.0,0.0,,,,,,,,
21,PT10M39.00S,2025-03-31T23:37:47.5Z,1,REGULAR,3pt,Jump Shot,[],204001,65.25952693823915,42.8921568627451,1610612738,3,3,2025-03-31T23:37:57Z,210000,False,-36.0,274.0,1,right,K. Porziņģis 27' 3PT  (3 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,27.64,Made,3.0,Porziņģis,K. Porziņģis,,,,,,,,,,J. Tatum,1628369.0,1.0,,,,,
23,PT10M24.00S,2025-03-31T23:38:01.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,16.245072273324574,53.431372549019606,1610612763,5,3,2025-03-31T23:39:12Z,230000,False,-17.0,100.0,1,left,J. Jackson Jr. 10' driving floating Jump Shot (2 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.17,Made,2.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,D. Bane,1630217.0,1.0,,,,,
25,PT10M19.00S,2025-03-31T23:38:09.9Z,1,REGULAR,foul,personal,['2freethrow'],1641744,,,1610612738,5,3,2025-03-31T23:40:49Z,250000,False,,,0,,Z. Edey clear-path personal FOUL (2 PF) (Tillman 2 FT),"[1641744, 1630214]",1610612763.0,MEM,clear-path,,,,,,In The Paint (Non-RA),0-8 Center,,,,Edey,Z. Edey,,200834.0,2.0,0.0,Tillman,1630214.0,,,,,,,,,,,
27,PT10M19.00S,2025-03-31T23:40:57.8Z,1,REGULAR,substitution,out,[],1641744,,,1610612738,5,3,2025-03-31T23:41:05Z,270000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
28,PT10M19.00S,2025-03-31T23:40:57.8Z,1,REGULAR,substitution,in,[],1628963,,,1610612738,5,3,2025-03-31T23:41:05Z,280000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612763.0,MEM,,,,,,,,,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
29,PT10M19.00S,2025-03-31T23:41:06.4Z,1,REGULAR,freethrow,1 of 2,[],1630214,,,1610612738,5,4,2025-03-31T23:41:06Z,290000,False,,,0,,X. Tillman clear-path Free Throw 1 of 2 (1 PTS),[1630214],1610612738.0,BOS,clear-path,,,,,,,,,Made,1.0,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
30,PT10M19.00S,2025-03-31T23:41:18.7Z,1,REGULAR,freethrow,2 of 2,[],1630214,,,1610612738,5,5,2025-03-31T23:41:18Z,300000,False,,,0,,X. Tillman clear-path Free Throw 2 of 2 (2 PTS),[1630214],1610612738.0,BOS,clear-path,,,,,,,,,Made,2.0,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
31,PT10M11.00S,2025-03-31T23:41:37.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.62483574244416,40.44117647058824,1610612738,5,8,2025-03-31T23:41:42Z,310000,False,-48.0,252.0,1,right,J. Tatum 25' 3PT  (3 PTS) (J. Holiday 1 AST),"[1628369, 201950]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,25.63,Made,3.0,Tatum,J. Tatum,,,,,,,,,,J. Holiday,201950.0,1.0,,,,,
33,PT09M45.00S,2025-03-31T23:42:03.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,16.63929040735874,51.225490196078425,1610612763,5,8,2025-03-31T23:42:28Z,330000,False,-6.0,104.0,1,left,MISS J. Jackson Jr. 10' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,10.41,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
35,PT09M44.00S,2025-03-31T23:42:04.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,5,8,2025-03-31T23:42:28Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,33.0,,,,,,,,,,,,,,,,
36,PT09M44.00S,2025-03-31T23:42:09.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612763,5,8,2025-03-31T23:42:34Z,360000,False,,,0,,MEM shot clock Team TURNOVER,[],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1146.0,,,,,,,,,,,,,,,
38,PT09M34.00S,2025-03-31T23:42:23.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630214,93.24901445466492,93.87254901960785,1610612738,5,8,2025-03-31T23:42:36Z,370000,False,219.0,11.0,1,right,MISS X. Tillman 3PT,[1630214],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,21.97,Missed,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
39,PT09M29.00S,2025-03-31T23:42:27.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,5,8,2025-03-31T23:42:27Z,380000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Jackson Jr.,J. Jackson Jr.,38.0,,,,,,2.0,2.0,0.0,,,,,,,,
40,PT09M18.00S,2025-03-31T23:42:40.1Z,1,REGULAR,foul,personal,['2freethrow'],1630214,,,1610612763,5,8,2025-03-31T23:43:06Z,390000,False,,,0,,X. Tillman shooting personal FOUL (1 PF) (Bagley III 2 FT),"[1630214, 1628963]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Tillman,X. Tillman,,1146.0,1.0,0.0,Bagley III,1628963.0,,,,,,,,,,,
42,PT09M18.00S,2025-03-31T23:43:13.1Z,1,REGULAR,freethrow,1 of 2,[],1628963,,,1610612763,5,8,2025-03-31T23:43:33Z,410000,False,,,0,,MISS M. Bagley III Free Throw 1 of 2,[1628963],1610612763.0,MEM,,,,,,,,,,Missed,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
43,PT09M18.00S,2025-03-31T23:43:13.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,5,8,2025-03-31T23:43:33Z,420000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,
44,PT09M18.00S,2025-03-31T23:43:13.1Z,1,REGULAR,freethrow,2 of 2,[],1628963,,,1610612763,5,8,2025-03-31T23:43:33Z,430000,False,,,0,,MISS M. Bagley III Free Throw 2 of 2,[1628963],1610612763.0,MEM,,,,,,,,,,Missed,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
45,PT09M16.00S,2025-03-31T23:43:15.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,8,2025-03-31T23:43:33Z,440000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,,,,,,,,,Tatum,J. Tatum,44.0,,,,,,2.0,2.0,0.0,,,,,,,,
46,PT09M06.00S,2025-03-31T23:43:46.3Z,1,REGULAR,foul,technical,['1freethrow'],1628963,,,1610612738,5,8,2025-03-31T23:43:56Z,450000,False,,,0,,M. Bagley III defensive-3-second technical FOUL (1 Tech),[1628963],1610612763.0,MEM,defensive-3-second,,,,,,,,,,,Bagley III,M. Bagley III,,1146.0,0.0,1.0,,,,,,,,,,,,,
47,PT09M06.00S,2025-03-31T23:44:06.3Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,5,9,2025-03-31T23:44:06Z,460000,False,,,0,,J. Tatum technical Free Throw 1 of 1 (4 PTS),[1628369],1610612738.0,BOS,technical,,,,,,,,,Made,4.0,Tatum,J. Tatum,,,,,,,,,,,,,,,,,
48,PT09M04.00S,2025-03-31T23:44:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.56307490144546,49.26470588235294,1610612738,5,11,2025-03-31T23:44:29Z,470000,False,-4.0,-1.0,1,right,J. Tatum alley-oop Layup (6 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,alley-oop,,,,,,Restricted Area,0-8 Center,0.4,Made,6.0,Tatum,J. Tatum,,,,,,,,,,D. White,1628401.0,1.0,,,,,
50,PT08M52.00S,2025-03-31T23:44:37.5Z,1,REGULAR,2pt,Jump Shot,[],1628991,4.812746386333772,70.09803921568627,1610612763,5,11,2025-03-31T23:44:43Z,490000,False,-100.0,-7.0,1,left,MISS J. Jackson Jr. 10' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,,,,Mid-Range,8-16 Left,10.08,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
51,PT08M46.00S,2025-03-31T23:44:43.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,11,2025-03-31T23:44:43Z,500000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,,,,Mid-Range,8-16 Left,,,,Tatum,J. Tatum,50.0,,,,,,3.0,3.0,0.0,,,,,,,,
52,PT08M30.00S,2025-03-31T23:44:59.2Z,1,REGULAR,3pt,Jump Shot,[],201950,68.15045992115637,58.82352941176471,1610612738,5,11,2025-03-31T23:45:05Z,510000,False,44.0,247.0,1,right,MISS J. Holiday 25' step back 3PT,[201950],1610612738.0,BOS,step back,,,,,,Above the Break 3,24+ Center,25.08,Missed,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
53,PT08M26.00S,2025-03-31T23:45:03.2Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612738,5,11,2025-03-31T23:45:05Z,520000,False,,,0,,X. Tillman REBOUND (Off:1 Def:1),[1630214],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,,Tillman,X. Tillman,52.0,,,,,,2.0,1.0,1.0,,,,,,,,
54,PT08M25.00S,2025-03-31T23:45:03.6Z,1,REGULAR,turnover,bad pass,[],1630214,,,1610612738,5,11,2025-03-31T23:45:07Z,530000,False,,,0,,X. Tillman bad pass TURNOVER (1 TO),"[1630214, 1628963]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Tillman,X. Tillman,,,,,,,,,,,,,1.0,Bagley III,1628963.0,,
55,PT08M25.00S,2025-03-31T23:45:03.6Z,1,REGULAR,steal,,[],1628963,,,1610612763,5,11,2025-03-31T23:45:05Z,540000,False,,,0,,M. Bagley III STEAL (1 STL),[1628963],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,
56,PT08M20.00S,2025-03-31T23:45:08.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628991,19.267411300919843,8.57843137254902,1610612763,8,11,2025-03-31T23:45:13Z,550000,False,207.0,129.0,1,left,J. Jackson Jr. 24' 3PT running (5 PTS) (J. Morant 1 AST),"[1628991, 1629630]",1610612763.0,MEM,running,,,,,,Above the Break 3,24+ Right Center,24.38,Made,5.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,J. Morant,1629630.0,1.0,,,,,
58,PT08M03.00S,2025-03-31T23:45:25.7Z,1,REGULAR,3pt,Jump Shot,[],1630214,77.21747700394218,9.558823529411764,1610612738,8,11,2025-03-31T23:45:30Z,570000,False,-202.0,162.0,1,right,MISS X. Tillman 25' 3PT,[1630214],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,25.89,Missed,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
59,PT08M00.00S,2025-03-31T23:45:28.7Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612763,8,11,2025-03-31T23:45:30Z,580000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Bagley III,M. Bagley III,58.0,,,,,,1.0,1.0,0.0,,,,,,,,
60,PT07M54.00S,2025-03-31T23:45:35.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,7.046649145860711,3.1862745098039214,1610612763,8,11,2025-03-31T23:45:40Z,590000,False,234.0,14.0,1,left,MISS D. Bane 3PT,[1630217],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,23.45,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,
61,PT07M51.00S,2025-03-31T23:45:39.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,8,11,2025-03-31T23:45:39Z,600000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,,,60.0,,,,,,,,,,,,,,,,
63,PT07M51.00S,2025-03-31T23:45:44.5Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,8,11,2025-03-31T23:45:54Z,620000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
64,PT07M51.00S,2025-03-31T23:45:44.5Z,1,REGULAR,substitution,out,[],1630214,,,1610612763,8,11,2025-03-31T23:45:54Z,630000,False,,,0,,SUB out: X. Tillman,[1630214],1610612738.0,BOS,,,,,,,,,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,
65,PT07M51.00S,2025-03-31T23:45:44.5Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,8,11,2025-03-31T23:45:54Z,640000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
66,PT07M51.00S,2025-03-31T23:45:44.5Z,1,REGULAR,substitution,in,[],201143,,,1610612763,8,11,2025-03-31T23:45:54Z,650000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,
67,PT07M45.00S,2025-03-31T23:46:15.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642377,7.30946123521682,94.11764705882352,1610612763,11,11,2025-03-31T23:46:20Z,660000,False,-221.0,16.0,1,left,J. Wells 3PT step back (3 PTS),[1642377],1610612763.0,MEM,step back,,,,,,Left Corner 3,24+ Left,22.12,Made,3.0,Wells,J. Wells,,,,,,,,,,,,,,,,,
70,PT07M26.00S,2025-03-31T23:47:04.4Z,1,REGULAR,3pt,Jump Shot,[],201143,91.14651773981603,94.36274509803921,1610612738,11,14,2025-03-31T23:47:08Z,690000,False,222.0,31.0,1,right,A. Horford 3PT  (3 PTS) (J. Holiday 2 AST),"[201143, 201950]",1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,22.39,Made,3.0,Horford,A. Horford,,,,,,,,,,J. Holiday,201950.0,2.0,,,,,
72,PT07M14.00S,2025-03-31T23:47:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,10.068988173455978,39.21568627450981,1610612763,13,14,2025-03-31T23:47:20Z,710000,False,54.0,42.0,1,left,D. Bane 6' driving floating bank Jump Shot (5 PTS),[1630217],1610612763.0,MEM,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,6.84,Made,5.0,Bane,D. Bane,,,,,,,,,,,,,,,,,
73,PT07M04.00S,2025-03-31T23:47:26.0Z,1,REGULAR,2pt,Jump Shot,[],201143,69.33311432325887,54.65686274509803,1610612738,13,14,2025-03-31T23:47:30Z,720000,False,23.0,236.0,1,right,MISS A. Horford 23' Jump Shot,[201143],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Center,23.69,Missed,,Horford,A. Horford,,,,,,,,,,,,,,,,,
74,PT07M02.00S,2025-03-31T23:47:27.7Z,1,REGULAR,rebound,offensive,[],204001,,,1610612738,13,14,2025-03-31T23:47:27Z,730000,False,,,0,,K. Porziņģis REBOUND (Off:1 Def:0),[204001],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Center,,,,Porziņģis,K. Porziņģis,73.0,,,,,,1.0,0.0,1.0,,,,,,,,
75,PT07M01.00S,2025-03-31T23:47:29.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,68.28186596583443,18.137254901960784,1610612738,13,14,2025-03-31T23:47:41Z,740000,False,-159.0,246.0,1,right,MISS D. White 29' 3PT,[1628401],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,29.28,Missed,,White,D. White,,,,,,,,,,,,,,,,,
76,PT06M57.00S,2025-03-31T23:47:33.4Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,13,14,2025-03-31T23:47:41Z,750000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Morant,J. Morant,75.0,,,,,,1.0,1.0,0.0,,,,,,,,
77,PT06M53.00S,2025-03-31T23:47:37.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629630,9.937582128777924,36.76470588235294,1610612763,15,14,2025-03-31T23:47:45Z,760000,False,66.0,41.0,1,left,J. Morant 7' driving floating Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.78,Made,2.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
78,PT06M38.00S,2025-03-31T23:47:51.8Z,1,REGULAR,3pt,Jump Shot,[],201143,94.43166885676742,94.36274509803921,1610612738,15,17,2025-03-31T23:47:55Z,770000,False,222.0,0.0,1,right,A. Horford 3PT  (6 PTS) (J. Holiday 3 AST),"[201143, 201950]",1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,22.18,Made,6.0,Horford,A. Horford,,,,,,,,,,J. Holiday,201950.0,3.0,,,,,
80,PT06M22.00S,2025-03-31T23:48:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,13.87976346911958,46.568627450980394,1610612763,17,17,2025-03-31T23:48:11Z,790000,False,17.0,78.0,1,left,J. Morant 7' driving floating Jump Shot (4 PTS),[1629630],1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.99,Made,4.0,Morant,J. Morant,,,,,,,,,,,,,,,,,
81,PT06M12.00S,2025-03-31T23:48:17.7Z,1,REGULAR,3pt,Jump Shot,[],201143,87.20433639947439,94.6078431372549,1610612738,17,17,2025-03-31T23:48:24Z,800000,False,223.0,68.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,23.31,Missed,,Horford,A. Horford,,,,,,,,,,,,,,,,,
82,PT06M09.00S,2025-03-31T23:48:21.3Z,1,REGULAR,rebound,offensive,[],204001,,,1610612738,17,17,2025-03-31T23:48:21Z,810000,False,,,0,,K. Porziņģis REBOUND (Off:2 Def:0),[204001],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,,,,Porziņģis,K. Porziņģis,81.0,,,,,,2.0,0.0,2.0,,,,,,,,
83,PT06M09.00S,2025-03-31T23:48:24.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",204001,95.3515111695138,61.029411764705884,1610612738,17,17,2025-03-31T23:48:33Z,820000,False,55.0,-9.0,1,right,MISS K. Porziņģis turnaround Shot,[204001],1610612738.0,BOS,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,5.58,Missed,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,
84,PT06M09.00S,2025-03-31T23:48:24.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,17,17,2025-03-31T23:48:33Z,830000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,83.0,,,,,,,,,,,,,,,,
86,PT06M09.00S,2025-03-31T23:49:03.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,17,17,2025-03-31T23:49:03Z,850000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M09.00S,2025-03-31T23:51:32.7Z,1,REGULAR,substitution,out,[],1629630,,,1610612763,17,17,2025-03-31T23:51:48Z,860000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,
88,PT06M09.00S,2025-03-31T23:51:32.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612763,17,17,2025-03-31T23:51:48Z,870000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,
89,PT06M09.00S,2025-03-31T23:51:32.7Z,1,REGULAR,substitution,in,[],1630590,,,1610612763,17,17,2025-03-31T23:51:48Z,880000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
