actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
18,PT10M46.00S,2024-11-21T01:12:20.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629634,11.908672798948752,51.9607843137255,1610612763,2,2,2024-11-21T01:12:24Z,180000,False,-10.0,59.0,1,left,B. Clarke 6' floating Jump Shot (2 PTS) (S. Pippen Jr. 1 AST),"[1629634, 1630590]",1610612763.0,MEM,floating,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,,,,6.02,Made,,2.0,,,,,,S. Pippen Jr.,1630590.0,1.0,,,,,
20,PT10M30.00S,2024-11-21T01:12:35.4Z,1,REGULAR,3pt,Jump Shot,[],1628997,72.7496714848883,18.872549019607842,1610612755,2,2,2024-11-21T01:12:40Z,200000,False,-156.0,204.0,1,right,MISS C. Martin 25' 3PT,[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,25.63,Missed,,,,,,,,,,,,,,,
21,PT10M27.00S,2024-11-21T01:12:38.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,2,2024-11-21T01:12:40Z,210000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,20.0,,,,,,,,,,1.0,1.0,0.0,,
22,PT10M18.00S,2024-11-21T01:12:47.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,6.783837056504599,98.52941176470588,1610612763,2,2,2024-11-21T01:12:52Z,220000,False,-243.0,11.0,1,left,MISS D. Bane 24' step back 3PT,[1630217],1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,Left Corner 3,24+ Left,,,,24.29,Missed,,,,,,,,,,,,,,,
23,PT10M15.00S,2024-11-21T01:12:50.1Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,2,2,2024-11-21T01:12:52Z,230000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,,,,22.0,,,,,,,,,,1.0,1.0,0.0,,
24,PT09M52.00S,2024-11-21T01:13:14.2Z,1,REGULAR,2pt,Hook,[],203954,87.59855453350855,78.67647058823529,1610612755,2,2,2024-11-21T01:13:18Z,240000,False,143.0,64.0,1,right,MISS J. Embiid 15' Hook,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,,,,15.71,Missed,,,,,,,,,,,,,,,
25,PT09M50.00S,2024-11-21T01:13:16.2Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,2,2,2024-11-21T01:13:18Z,250000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,8-16 Right,,,,,,24.0,,,,,,,,,,1.0,1.0,0.0,,
26,PT09M46.00S,2024-11-21T01:13:20.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630590,7.440867279894875,45.588235294117645,1610612763,4,2,2024-11-21T02:13:32Z,260000,False,22.0,17.0,1,left,S. Pippen Jr. running finger roll Layup (2 PTS),[1630590],1610612763.0,MEM,running finger roll,,,Pippen Jr.,S. Pippen Jr.,,,,,Restricted Area,0-8 Center,,,,2.81,Made,,2.0,,,,,,,,,,,,,
27,PT09M30.00S,2024-11-21T01:13:36.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642272,92.32917214191852,49.50980392156863,1610612755,4,4,2024-11-21T01:13:41Z,270000,False,-2.0,20.0,1,right,J. McCain driving DUNK (2 PTS),[1642272],1610612755.0,PHI,driving,,,McCain,J. McCain,,,,,Restricted Area,0-8 Center,,,,1.98,Made,,2.0,,,,,,,,,,,,,
28,PT09M13.00S,2024-11-21T01:13:52.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630590,12.171484888304862,45.588235294117645,1610612763,4,4,2024-11-21T01:13:57Z,280000,False,22.0,62.0,1,left,MISS S. Pippen Jr. 6' driving floating Shot,[1630590],1610612763.0,MEM,driving floating,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,6.57,Missed,,,,,,,,,,,,,,,
29,PT09M11.00S,2024-11-21T01:13:54.0Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,4,4,2024-11-21T01:13:57Z,290000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,28.0,,,,,,,,,,1.0,1.0,0.0,,
30,PT09M04.00S,2024-11-21T01:14:01.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,63.81406044678055,74.75490196078431,1610612755,4,4,2024-11-21T01:14:07Z,300000,False,124.0,288.0,1,right,MISS T. Maxey 31' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,31.31,Missed,,,,,,,,,,,,,,,
31,PT09M02.00S,2024-11-21T01:14:04.4Z,1,REGULAR,rebound,offensive,[],202331,,,1610612755,4,4,2024-11-21T01:14:04Z,310000,False,,,0,,P. George REBOUND (Off:1 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,30.0,,,,,,,,,,2.0,1.0,1.0,,
32,PT08M51.00S,2024-11-21T01:14:14.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642272,86.67871222076215,96.07843137254902,1610612755,4,4,2024-11-21T01:14:19Z,320000,False,230.0,73.0,1,right,MISS J. McCain 24' 3PT,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Right Corner 3,24+ Right,,,,24.16,Missed,,,,,,,,,,,,,,,
33,PT08M48.00S,2024-11-21T01:14:17.8Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,4,4,2024-11-21T01:14:19Z,330000,False,,,0,,B. Clarke REBOUND (Off:0 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Right Corner 3,24+ Right,,,,,,32.0,,,,,,,,,,1.0,1.0,0.0,,
34,PT08M32.00S,2024-11-21T01:14:34.3Z,1,REGULAR,3pt,Jump Shot,[],1628991,8.886333771353483,3.431372549019608,1610612763,7,4,2024-11-21T01:14:38Z,340000,False,233.0,31.0,1,left,J. Jackson Jr. 3PT  (3 PTS) (J. Wells 1 AST),"[1628991, 1642377]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,,,,23.49,Made,,3.0,,,,,,J. Wells,1642377.0,1.0,,,,,
36,PT08M19.00S,2024-11-21T01:14:47.3Z,1,REGULAR,3pt,Jump Shot,[],203954,68.01905387647832,37.5,1610612755,7,4,2024-11-21T01:14:53Z,360000,False,-62.0,248.0,1,right,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,25.59,Missed,,,,,,,,,,,,,,,
37,PT08M16.00S,2024-11-21T01:14:50.3Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,7,4,2024-11-21T01:14:53Z,370000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:1),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Center,,,,,,36.0,,,,,,,,,,1.0,1.0,0.0,,
38,PT08M07.00S,2024-11-21T01:14:58.4Z,1,REGULAR,3pt,Jump Shot,[],1628991,28.597240473061763,18.627450980392158,1610612763,7,4,2024-11-21T01:15:02Z,380000,False,157.0,216.0,1,left,MISS J. Jackson Jr. 26' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,,,,26.72,Missed,,,,,,,,,,,,,,,
39,PT08M04.00S,2024-11-21T01:15:01.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,4,2024-11-21T01:15:02Z,390000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,,,,38.0,,,,,,,,,,1.0,1.0,0.0,,
40,PT08M01.00S,2024-11-21T01:15:07.6Z,1,REGULAR,foul,personal,['2freethrow'],1630590,,,1610612755,7,4,2024-11-21T01:15:20Z,400000,False,,,0,,S. Pippen Jr. shooting personal FOUL (1 PF) (Maxey 2 FT),"[1630590, 1630178]",1610612763.0,MEM,shooting,,,Pippen Jr.,S. Pippen Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,1628171.0,1.0,0.0,Maxey,1630178.0,,,,,,,,
42,PT08M01.00S,2024-11-21T01:15:32.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630178,,,1610612755,7,5,2024-11-21T01:15:32Z,420000,False,,,0,,T. Maxey Free Throw 1 of 2 (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,Made,,3.0,,,,,,,,,,,,,
43,PT08M01.00S,2024-11-21T01:15:32.9Z,1,REGULAR,substitution,out,[],1628991,,,1610612755,7,5,2024-11-21T01:15:42Z,430000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M01.00S,2024-11-21T01:15:32.9Z,1,REGULAR,substitution,out,[],1630217,,,1610612755,7,5,2024-11-21T01:15:42Z,440000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M01.00S,2024-11-21T01:15:32.9Z,1,REGULAR,substitution,in,[],1630583,,,1610612755,7,5,2024-11-21T01:15:42Z,450000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M01.00S,2024-11-21T01:15:32.9Z,1,REGULAR,substitution,in,[],1628379,,,1610612755,7,5,2024-11-21T01:15:42Z,460000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M01.00S,2024-11-21T01:15:58.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630178,,,1610612755,7,6,2024-11-21T01:15:58Z,470000,False,,,0,,T. Maxey Free Throw 2 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,Made,,4.0,,,,,,,,,,,,,
48,PT07M45.00S,2024-11-21T01:16:16.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630590,6.1268068331143235,40.931372549019606,1610612763,7,6,2024-11-21T01:16:21Z,480000,False,45.0,5.0,1,left,MISS S. Pippen Jr. driving floating Shot,[1630590],1610612763.0,MEM,driving floating,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,4.56,Missed,,,,,,,,,,,,,,,
49,PT07M45.00S,2024-11-21T01:16:16.0Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,7,6,2024-11-21T01:22:14Z,490000,False,,,0,,B. Clarke REBOUND (Off:1 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,,,,,,48.0,,,,,,,,,,2.0,1.0,1.0,,
50,PT07M41.00S,2024-11-21T01:16:20.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629634,7.046649145860711,44.6078431372549,1610612763,9,6,2024-11-21T01:16:24Z,500000,False,27.0,14.0,1,left,B. Clarke Layup (4 PTS),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,,,,3.03,Made,,4.0,,,,,,,,,,,,,
52,PT07M30.00S,2024-11-21T01:16:30.4Z,1,REGULAR,3pt,Jump Shot,[],1630178,92.59198423127464,3.9215686274509802,1610612755,9,6,2024-11-21T01:16:34Z,520000,False,-230.0,17.0,1,right,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,,23.1,Missed,,,,,,,,,,,,,,,
53,PT07M27.00S,2024-11-21T01:16:33.4Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,9,6,2024-11-21T01:16:34Z,530000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Left Corner 3,24+ Left,,,,,,52.0,,,,,,,,,,1.0,1.0,0.0,,
54,PT07M24.00S,2024-11-21T01:16:36.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628379,26.363337713534822,82.84313725490196,1610612763,9,6,2024-11-21T01:16:42Z,540000,False,-164.0,195.0,1,left,MISS L. Kennard 25' running 3PT,[1628379],1610612763.0,MEM,running,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,,,,25.52,Missed,,,,,,,,,,,,,,,
55,PT07M21.00S,2024-11-21T01:16:39.5Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612755,9,6,2024-11-21T01:16:42Z,550000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,54.0,,,,,,,,,,1.0,1.0,0.0,,
56,PT07M06.00S,2024-11-21T01:16:54.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,91.27792378449409,55.63725490196079,1610612755,9,8,2024-11-21T01:16:59Z,560000,False,28.0,29.0,1,right,J. Embiid turnaround bank Hook (2 PTS),[203954],1610612755.0,PHI,turnaround bank,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,4.08,Made,,2.0,,,,,,,,,,,,,
57,PT06M48.00S,2024-11-21T01:17:12.1Z,1,REGULAR,3pt,Jump Shot,[],1629634,17.821944809461236,4.411764705882353,1610612763,9,8,2024-11-21T01:17:16Z,570000,False,228.0,115.0,1,left,MISS B. Clarke 25' 3PT,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Above the Break 3,24+ Right Center,,,,25.53,Missed,,,,,,,,,,,,,,,
58,PT06M45.00S,2024-11-21T01:17:15.1Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,9,8,2024-11-21T01:17:16Z,580000,False,,,0,,P. George REBOUND (Off:1 Def:2),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,57.0,,,,,,,,,,3.0,2.0,1.0,,
59,PT06M42.00S,2024-11-21T01:17:19.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,85.62746386333771,95.34313725490196,1610612755,9,8,2024-11-21T01:17:24Z,590000,False,227.0,83.0,1,right,MISS T. Maxey 24' running 3PT,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,,,,24.13,Missed,,,,,,,,,,,,,,,
60,PT06M38.00S,2024-11-21T01:17:23.4Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,9,8,2024-11-21T01:17:24Z,600000,False,,,0,,J. Wells REBOUND (Off:0 Def:2),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Right Corner 3,24+ Right,,,,,,59.0,,,,,,,,,,2.0,2.0,0.0,,
61,PT06M35.00S,2024-11-21T01:17:25.3Z,1,REGULAR,turnover,bad pass,[],1642377,,,1610612763,9,8,2024-11-21T01:17:30Z,610000,False,,,0,,J. Wells bad pass TURNOVER (1 TO),"[1642377, 202331]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,1.0,George,202331.0,,,,,,,,,,,,,,,,,
62,PT06M35.00S,2024-11-21T01:17:25.3Z,1,REGULAR,steal,,[],202331,,,1610612755,9,8,2024-11-21T01:17:27Z,620000,False,,,0,,P. George STEAL (1 STL),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
63,PT06M32.00S,2024-11-21T01:17:30.3Z,1,REGULAR,foul,personal,['2freethrow'],1629634,,,1610612755,9,8,2024-11-21T01:20:30Z,630000,False,,,0,,B. Clarke shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629634, 203954]",1610612763.0,MEM,shooting,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,,,,,,,,202037.0,1.0,0.0,Embiid,203954.0,,,,,,,,
65,PT06M32.00S,2024-11-21T01:17:46.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,9,8,2024-11-21T01:17:46Z,650000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M32.00S,2024-11-21T01:19:37.6Z,1,REGULAR,substitution,out,[],1630590,,,1610612755,9,8,2024-11-21T01:20:28Z,660000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M32.00S,2024-11-21T01:19:37.6Z,1,REGULAR,substitution,out,[],1629634,,,1610612755,9,8,2024-11-21T01:20:28Z,670000,False,,,0,,SUB out: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M32.00S,2024-11-21T01:19:37.6Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,9,8,2024-11-21T01:20:28Z,680000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M32.00S,2024-11-21T01:19:37.6Z,1,REGULAR,substitution,out,[],1628997,,,1610612755,9,8,2024-11-21T01:20:28Z,690000,False,,,0,,SUB out: C. Martin,[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M32.00S,2024-11-21T01:19:37.6Z,1,REGULAR,substitution,in,[],1630217,,,1610612755,9,8,2024-11-21T01:20:28Z,700000,False,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M32.00S,2024-11-21T01:19:37.6Z,1,REGULAR,substitution,in,[],1628991,,,1610612755,9,8,2024-11-21T01:20:28Z,710000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M32.00S,2024-11-21T01:19:37.6Z,1,REGULAR,substitution,in,[],202704,,,1610612755,9,8,2024-11-21T01:20:28Z,720000,False,,,0,,SUB in: R. Jackson,[202704],1610612755.0,PHI,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M32.00S,2024-11-21T01:19:37.6Z,1,REGULAR,substitution,in,[],1626162,,,1610612755,9,8,2024-11-21T01:20:28Z,730000,False,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M32.00S,2024-11-21T01:20:48.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",203954,,,1610612755,9,9,2024-11-21T01:20:48Z,740000,False,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,,3.0,,,,,,,,,,,,,
75,PT06M32.00S,2024-11-21T01:21:05.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",203954,,,1610612755,9,10,2024-11-21T01:21:05Z,750000,False,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,,4.0,,,,,,,,,,,,,
76,PT06M24.00S,2024-11-21T01:21:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,7.440867279894875,45.09803921568628,1610612763,9,10,2024-11-21T01:21:20Z,760000,False,25.0,17.0,1,left,MISS D. Bane driving finger roll Layup,[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,3.01,Missed,,,,,,,,,,,,,,,
77,PT06M22.00S,2024-11-21T01:21:17.0Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,9,10,2024-11-21T01:21:17Z,770000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,76.0,,,,,,,,,,2.0,1.0,1.0,,
78,PT06M19.00S,2024-11-21T01:21:20.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642377,30.436925098554536,20.588235294117645,1610612763,12,10,2024-11-21T01:21:26Z,780000,False,147.0,234.0,1,left,J. Wells 27' 3PT  (3 PTS) (J. Jackson Jr. 1 AST),"[1642377, 1628991]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,,,,27.61,Made,,3.0,,,,,,J. Jackson Jr.,1628991.0,1.0,,,,,
80,PT06M02.00S,2024-11-21T01:21:38.4Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612755,12,10,2024-11-21T01:21:54Z,800000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Embiid 2 FT),"[1628991, 203954]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,1162.0,1.0,0.0,Embiid,203954.0,,,,,,,,
82,PT06M02.00S,2024-11-21T01:22:04.5Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,12,11,2024-11-21T01:22:04Z,820000,False,,,0,,J. Embiid Free Throw 1 of 2 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,,5.0,,,,,,,,,,,,,
