actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
40,PT09M55.00S,2024-10-31T00:17:59.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,84.31340341655716,95.34313725490196,1610612751,6,4,2024-10-31T00:18:06Z,400000,False,227.0,95.0,1,right,MISS C. Johnson 24' running 3PT,[1629661],1610612751.0,BKN,,Johnson,C. Johnson,running,Above the Break 3,24+ Right Center,24.58,Missed,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M51.00S,2024-10-31T00:18:03.7Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,6,4,2024-10-31T00:18:06Z,410000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,Bane,D. Bane,,Above the Break 3,24+ Right Center,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
42,PT09M48.00S,2024-10-31T00:18:08.4Z,1,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612763,6,4,2024-10-31T00:18:17Z,420000,False,,,0,,D. Bane lost ball out-of-bounds TURNOVER (1 TO),[1630217],1610612763.0,MEM,101283.0,Bane,D. Bane,lost ball,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,,,,,,,,,,,,
43,PT09M32.00S,2024-10-31T00:18:35.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641730,77.21747700394218,10.294117647058822,1610612751,6,4,2024-10-31T00:18:42Z,430000,False,-199.0,162.0,1,right,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,Clowney,N. Clowney,,Above the Break 3,24+ Left Center,25.6,Missed,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M27.00S,2024-10-31T00:18:40.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,6,4,2024-10-31T00:18:42Z,440000,False,,,0,,J. Morant REBOUND (Off:1 Def:1),[1629630],1610612763.0,MEM,,Morant,J. Morant,,Above the Break 3,24+ Left Center,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
45,PT09M20.00S,2024-10-31T00:18:47.4Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,6,4,2024-10-31T00:18:51Z,450000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1627732]",1610612763.0,MEM,,Morant,J. Morant,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1.0,Simmons,1627732.0,,,,,,,,,,,,
46,PT09M20.00S,2024-10-31T00:18:47.4Z,1,REGULAR,steal,,[],1627732,,,1610612751,6,4,2024-10-31T00:18:49Z,460000,False,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612751.0,BKN,,Simmons,B. Simmons,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT09M15.00S,2024-10-31T00:18:51.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630560,84.31340341655716,95.09803921568627,1610612751,6,4,2024-10-31T00:19:01Z,470000,False,225.0,95.0,1,right,MISS C. Thomas 24' running 3PT,[1630560],1610612751.0,BKN,,Thomas,C. Thomas,running,Above the Break 3,24+ Right Center,24.47,Missed,,,,,,,,,,,,,,,,,,,,,,,
48,PT09M11.00S,2024-10-31T00:18:55.7Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,6,4,2024-10-31T00:19:01Z,480000,False,,,0,,J. Morant REBOUND (Off:1 Def:2),[1629630],1610612763.0,MEM,,Morant,J. Morant,,Above the Break 3,24+ Right Center,,,47.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
49,PT09M06.00S,2024-10-31T00:19:01.8Z,1,REGULAR,3pt,Jump Shot,[],1630217,4.812746386333772,95.58823529411765,1610612763,9,4,2024-10-31T00:19:08Z,490000,False,-228.0,-7.0,1,left,D. Bane 3PT  (4 PTS) (M. Smart 1 AST),"[1630217, 203935]",1610612763.0,MEM,,Bane,D. Bane,,Left Corner 3,24+ Left,22.8,Made,,,,,4.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
51,PT08M54.00S,2024-10-31T00:19:13.5Z,1,REGULAR,3pt,Jump Shot,[],1629661,73.27529566360053,16.42156862745098,1610612751,9,7,2024-10-31T00:19:18Z,510000,False,-168.0,199.0,1,right,C. Johnson 26' 3PT  (3 PTS) (B. Simmons 1 AST),"[1629661, 1627732]",1610612751.0,BKN,,Johnson,C. Johnson,,Above the Break 3,24+ Left Center,26.01,Made,,,,,3.0,B. Simmons,1627732.0,1.0,,,,,,,,,,,,,,,
53,PT08M44.00S,2024-10-31T00:19:22.4Z,1,REGULAR,3pt,Jump Shot,[],1628991,26.231931668856767,16.911764705882355,1610612763,12,7,2024-10-31T00:19:27Z,530000,False,165.0,194.0,1,left,J. Jackson Jr. 25' 3PT  (5 PTS) (J. Morant 2 AST),"[1628991, 1629630]",1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,Above the Break 3,24+ Right Center,25.5,Made,,,,,5.0,J. Morant,1629630.0,2.0,,,,,,,,,,,,,,,
55,PT08M25.00S,2024-10-31T00:19:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629661,86.02168199737189,44.36274509803921,1610612751,12,7,2024-10-31T00:24:43Z,550000,False,-28.0,79.0,1,right,MISS C. Johnson 8' driving floating Shot,[1629661],1610612751.0,BKN,,Johnson,C. Johnson,driving floating,In The Paint (Non-RA),8-16 Center,8.38,Missed,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M23.00S,2024-10-31T00:19:43.5Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,12,7,2024-10-31T00:19:48Z,560000,False,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,Bane,D. Bane,,In The Paint (Non-RA),8-16 Center,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
57,PT08M16.00S,2024-10-31T00:19:50.9Z,1,REGULAR,3pt,Jump Shot,[],1630217,22.946780551905388,87.25490196078431,1610612763,12,7,2024-10-31T00:19:56Z,570000,False,-186.0,163.0,1,left,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,Bane,D. Bane,,Above the Break 3,24+ Left Center,24.77,Missed,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M12.00S,2024-10-31T00:19:54.9Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,12,7,2024-10-31T00:40:37Z,580000,False,,,0,,N. Clowney REBOUND (Off:0 Def:2),[1641730],1610612751.0,BKN,,Clowney,N. Clowney,,Above the Break 3,24+ Left Center,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
59,PT08M01.00S,2024-10-31T00:20:05.6Z,1,REGULAR,3pt,Jump Shot,[],203471,92.19776609724047,95.58823529411765,1610612751,12,10,2024-10-31T00:20:11Z,590000,False,228.0,21.0,1,right,D. Schröder 3PT  (3 PTS) (C. Johnson 2 AST),"[203471, 1629661]",1610612751.0,BKN,,Schröder,D. Schröder,,Right Corner 3,24+ Right,22.88,Made,,,,,3.0,C. Johnson,1629661.0,2.0,,,,,,,,,,,,,,,
61,PT07M47.00S,2024-10-31T00:20:20.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641744,5.601182654402102,47.30392156862745,1610612763,14,10,2024-10-31T00:20:25Z,610000,False,13.0,0.0,1,left,Z. Edey alley-oop DUNK (5 PTS) (J. Morant 3 AST),"[1641744, 1629630]",1610612763.0,MEM,,Edey,Z. Edey,alley-oop,Restricted Area,0-8 Center,1.35,Made,,,,,5.0,J. Morant,1629630.0,3.0,,,,,,,,,,,,,,,
63,PT07M36.00S,2024-10-31T00:20:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,93.9060446780552,53.431372549019606,1610612751,14,10,2024-10-31T00:20:38Z,630000,False,17.0,5.0,1,right,MISS C. Johnson driving reverse Layup,[1629661],1610612751.0,BKN,,Johnson,C. Johnson,driving reverse,Restricted Area,0-8 Center,1.79,Missed,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M32.00S,2024-10-31T00:20:35.1Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,14,10,2024-10-31T00:20:38Z,640000,False,,,0,,D. Bane REBOUND (Off:0 Def:3),[1630217],1610612763.0,MEM,,Bane,D. Bane,,Restricted Area,0-8 Center,,,63.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
65,PT07M29.00S,2024-10-31T00:20:39.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629630,11.251642575558476,96.32352941176471,1610612763,14,10,2024-10-31T00:33:40Z,650000,False,-232.0,53.0,1,left,MISS J. Morant running pullup 3PT,[1629630],1610612763.0,MEM,,Morant,J. Morant,running pullup,Left Corner 3,24+ Left,23.77,Missed,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M29.00S,2024-10-31T00:20:39.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,14,10,2024-10-31T00:20:48Z,660000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,Left Corner 3,24+ Left,,,65.0,,,,,,,,,,,,,,,,,,,,,,
67,PT07M29.00S,2024-10-31T00:20:45.4Z,1,REGULAR,foul,personal,[],1641730,,,1610612763,14,10,2024-10-31T00:20:58Z,670000,False,,,0,,N. Clowney loose ball personal FOUL (1 PF),"[1641730, 1628991]",1610612751.0,BKN,101283.0,Clowney,N. Clowney,loose ball,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,
69,PT07M29.00S,2024-10-31T00:20:56.9Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,14,10,2024-10-31T00:21:03Z,690000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M29.00S,2024-10-31T00:20:56.9Z,1,REGULAR,substitution,in,[],1630590,,,1610612763,14,10,2024-10-31T00:21:03Z,700000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M24.00S,2024-10-31T00:21:19.1Z,1,REGULAR,violation,kicked ball,[],1627732,,,1610612763,14,10,2024-10-31T00:22:36Z,710000,False,,,0,,B. Simmons kicked ball VIOLATION,[1627732],1610612751.0,BKN,1626302.0,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M24.00S,2024-10-31T00:21:37.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1627732,,,1610612763,14,10,2024-10-31T00:21:58Z,720000,False,,,0,,B. Simmons away-from-play personal FOUL (2 PF) (Pippen Jr. 1 FT),"[1627732, 1630590]",1610612751.0,BKN,1626302.0,Simmons,B. Simmons,away-from-play,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,2.0,0.0,Pippen Jr.,1630590.0,,,,,,,,
74,PT07M24.00S,2024-10-31T00:22:22.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630590,,,1610612763,15,10,2024-10-31T00:22:22Z,740000,False,,,0,,S. Pippen Jr. away-from-play Free Throw 1 of 1 (1 PTS),[1630590],1610612763.0,MEM,,Pippen Jr.,S. Pippen Jr.,away-from-play,,,,Made,,,,,1.0,,,,,,,,,,,,,,,,,,
75,PT07M15.00S,2024-10-31T00:22:49.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,10.068988173455978,36.029411764705884,1610612763,17,10,2024-10-31T00:22:57Z,750000,False,70.0,42.0,1,left,J. Jackson Jr. 8' driving Layup (7 PTS) (S. Pippen Jr. 1 AST),"[1628991, 1630590]",1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,driving,In The Paint (Non-RA),8-16 Right,8.16,Made,,,,,7.0,S. Pippen Jr.,1630590.0,1.0,,,,,,,,,,,,,,,
76,PT07M15.00S,2024-10-31T00:22:54.5Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629661,,,1610612763,17,10,2024-10-31T00:23:00Z,760000,False,,,0,,C. Johnson shooting personal FOUL (1 PF) (Jackson Jr. 1 FT),"[1629661, 1628991]",1610612751.0,BKN,101283.0,Johnson,C. Johnson,shooting,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,
79,PT07M15.00S,2024-10-31T00:23:20.8Z,1,REGULAR,freethrow,1 of 1,[],1628991,,,1610612763,18,10,2024-10-31T00:23:20Z,780000,False,,,0,,J. Jackson Jr. Free Throw 1 of 1 (8 PTS),[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,,,,Made,,,,,8.0,,,,,,,,,,,,,,,,,,
80,PT07M03.00S,2024-10-31T00:23:32.8Z,1,REGULAR,2pt,Jump Shot,[],1630560,77.34888304862024,52.69607843137255,1610612751,18,12,2024-10-31T00:23:38Z,790000,False,13.0,160.0,1,right,C. Thomas 16' Jump Shot (2 PTS),[1630560],1610612751.0,BKN,,Thomas,C. Thomas,,Mid-Range,16-24 Center,16.1,Made,,,,,2.0,,,,,,,,,,,,,,,,,,
81,PT06M47.00S,2024-10-31T00:23:48.9Z,1,REGULAR,turnover,bad pass,[],1630590,,,1610612763,18,12,2024-10-31T00:23:54Z,800000,False,,,0,,S. Pippen Jr. bad pass TURNOVER (1 TO),"[1630590, 1630560]",1610612763.0,MEM,,Pippen Jr.,S. Pippen Jr.,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Thomas,1630560.0,,,,,,,,,,,,
82,PT06M47.00S,2024-10-31T00:23:48.9Z,1,REGULAR,steal,,[],1630560,,,1610612751,18,12,2024-10-31T00:23:51Z,810000,False,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,Thomas,C. Thomas,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M40.00S,2024-10-31T00:23:56.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630560,73.27529566360053,57.84313725490197,1610612751,18,12,2024-10-31T00:24:02Z,820000,False,39.0,199.0,1,right,MISS C. Thomas 20' pullup Shot,[1630560],1610612751.0,BKN,,Thomas,C. Thomas,pullup,Mid-Range,16-24 Center,20.25,Missed,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M36.00S,2024-10-31T00:24:00.1Z,1,REGULAR,rebound,defensive,[],203935,,,1610612763,18,12,2024-10-31T00:24:02Z,830000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612763.0,MEM,,Smart,M. Smart,,Mid-Range,16-24 Center,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
