actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
39,PT09M13.00S,2024-12-20T01:15:12.6Z,1,REGULAR,3pt,Jump Shot,[],1630583,71.04139290407359,75.98039215686273,1610612763,11,2,2024-12-20T01:15:16Z,390000,False,130.0,220.0,1,right,MISS S. Aldama 25' pullup 3PT,[1630583],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Aldama,S. Aldama,,,25.52,Missed,,,,,,,,,,,,,,
40,PT09M11.00S,2024-12-20T01:15:16.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,11,2,2024-12-20T01:15:16Z,400000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,39.0,,,,,,
42,PT08M55.00S,2024-12-20T01:15:38.3Z,1,REGULAR,3pt,Jump Shot,[],203110,6.652431011826544,95.09803921568627,1610612744,11,2,2024-12-20T01:15:43Z,420000,False,-225.0,10.0,1,left,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,,,,Left Corner 3,24+ Left,,,,Green,D. Green,,,22.57,Missed,,,,,,,,,,,,,,
43,PT08M52.00S,2024-12-20T01:15:41.3Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,11,2,2024-12-20T01:15:43Z,430000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,,,,Left Corner 3,24+ Left,,,,Looney,K. Looney,,,,,,,,,,,,42.0,1.0,0.0,1.0,,,
44,PT08M52.00S,2024-12-20T01:15:42.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626172,6.258212877792378,50.245098039215684,1610612744,11,2,2024-12-20T01:15:47Z,440000,False,-1.0,6.0,1,left,MISS K. Looney putback Layup,[1626172],1610612744.0,GSW,putback,,,,,,Restricted Area,0-8 Center,,,,Looney,K. Looney,,,0.64,Missed,,,,,,,,,,,,,,
45,PT08M52.00S,2024-12-20T01:15:42.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,11,2,2024-12-20T01:15:47Z,450000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,44.0,,,,,,
47,PT08M45.00S,2024-12-20T01:16:07.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203952,14.011169513797633,36.27450980392157,1610612744,11,2,2024-12-20T01:16:11Z,470000,False,69.0,79.0,1,left,MISS A. Wiggins 10' turnaround Shot,[203952],1610612744.0,GSW,turnaround,,,,,,In The Paint (Non-RA),8-16 Right,,,,Wiggins,A. Wiggins,,,10.48,Missed,,,,,,,,,,,,,,
48,PT08M41.00S,2024-12-20T01:16:11.1Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,11,2,2024-12-20T01:16:11Z,480000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Wiggins,A. Wiggins,,,,,,,,,,,,47.0,1.0,0.0,1.0,,,
49,PT08M41.00S,2024-12-20T01:16:10.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203952,5.590000152587891,50.0,1610612744,11,2,2024-12-20T01:16:13Z,490000,False,0.0,0.0,1,left,MISS A. Wiggins tip Layup,[203952],1610612744.0,GSW,tip,,,,,,Restricted Area,0-8 Center,,,,Wiggins,A. Wiggins,,,0.0,Missed,,,,,,,,,,,,,,
50,PT08M41.00S,2024-12-20T01:16:10.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,11,2,2024-12-20T01:16:13Z,500000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Morant,J. Morant,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,
51,PT08M33.00S,2024-12-20T01:16:19.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630583,90.88370565045992,64.70588235294117,1610612763,13,2,2024-12-20T01:16:23Z,510000,False,74.0,33.0,1,right,S. Aldama 8' driving floating Jump Shot (2 PTS) (J. Morant 1 AST),"[1630583, 1629630]",1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Aldama,S. Aldama,,,8.07,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,
53,PT08M32.00S,2024-12-20T01:16:25.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,13,2,2024-12-20T01:16:25Z,530000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M19.00S,2024-12-20T01:19:27.7Z,1,REGULAR,3pt,Jump Shot,[],201939,28.991458607095925,74.50980392156863,1610612744,13,2,2024-12-20T01:19:33Z,540000,False,-123.0,220.0,1,left,MISS S. Curry 25' step back 3PT - blocked,"[201939, 1641744]",1610612744.0,GSW,step back,,,,,,Above the Break 3,24+ Left Center,,,,Curry,S. Curry,,,25.18,Missed,,,,,,,,,,,,Edey,1641744.0,
55,PT08M19.00S,2024-12-20T01:19:27.7Z,1,REGULAR,block,,[],1641744,,,1610612744,13,2,2024-12-20T01:19:31Z,550000,False,,,0,,Z. Edey BLOCK (1 BLK),[1641744],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,,
56,PT08M14.00S,2024-12-20T01:19:32.7Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,13,2,2024-12-20T01:19:33Z,560000,False,,,0,,S. Aldama REBOUND (Off:0 Def:2),[1630583],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Aldama,S. Aldama,,,,,,,,,,,,54.0,2.0,2.0,0.0,,,
57,PT08M06.00S,2024-12-20T01:19:40.2Z,1,REGULAR,turnover,lost ball,[],1641744,,,1610612763,13,2,2024-12-20T01:19:42Z,570000,False,,,0,,Z. Edey lost ball TURNOVER (1 TO),"[1641744, 201939]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Edey,Z. Edey,,,,,,,,,1.0,Curry,201939.0,,,,,,,
58,PT08M06.00S,2024-12-20T01:19:40.2Z,1,REGULAR,steal,,[],201939,,,1610612744,13,2,2024-12-20T01:19:41Z,580000,False,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,
59,PT07M57.00S,2024-12-20T01:19:49.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,16.770696452036795,4.166666666666666,1610612744,13,5,2024-12-20T01:19:53Z,590000,False,229.0,105.0,1,left,A. Wiggins 25' 3PT  (3 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,Wiggins,A. Wiggins,,,25.21,Made,3.0,S. Curry,201939.0,1.0,,,,,,,,,,
61,PT07M39.00S,2024-12-20T01:20:07.3Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,13,5,2024-12-20T01:20:10Z,610000,False,,,0,,D. Bane bad pass TURNOVER (2 TO),"[1630217, 1626172]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bane,D. Bane,,,,,,,,,2.0,Looney,1626172.0,,,,,,,
62,PT07M39.00S,2024-12-20T01:20:07.3Z,1,REGULAR,steal,,[],1626172,,,1610612744,13,5,2024-12-20T01:20:08Z,620000,False,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,
63,PT07M29.00S,2024-12-20T01:20:17.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203471,7.178055190538765,56.61764705882353,1610612744,13,5,2024-12-20T01:20:21Z,630000,False,-33.0,15.0,1,left,MISS D. Schröder driving floating bank Shot,[203471],1610612744.0,GSW,driving floating bank,,,,,,Restricted Area,0-8 Center,,,,Schröder,D. Schröder,,,3.63,Missed,,,,,,,,,,,,,,
64,PT07M25.00S,2024-12-20T01:20:21.6Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,13,5,2024-12-20T01:20:21Z,640000,False,,,0,,K. Looney REBOUND (Off:2 Def:0),[1626172],1610612744.0,GSW,,,,,,,Restricted Area,0-8 Center,,,,Looney,K. Looney,,,,,,,,,,,,63.0,2.0,0.0,2.0,,,
65,PT07M25.00S,2024-12-20T01:20:20.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1626172,5.590000152587891,50.0,1610612744,13,5,2024-12-20T01:20:22Z,650000,False,0.0,0.0,1,left,MISS K. Looney tip Layup,[1626172],1610612744.0,GSW,tip,,,,,,Restricted Area,0-8 Center,,,,Looney,K. Looney,,,0.0,Missed,,,,,,,,,,,,,,
66,PT07M25.00S,2024-12-20T01:20:20.8Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,13,5,2024-12-20T01:20:22Z,660000,False,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Bane,D. Bane,,,,,,,,,,,,65.0,2.0,2.0,0.0,,,
67,PT07M15.00S,2024-12-20T01:20:34.3Z,1,REGULAR,foul,offensive,[],1641744,,,1610612763,13,5,2024-12-20T01:20:41Z,670000,False,,,0,,Z. Edey offensive FOUL (1 PF),"[1641744, 203110]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,202026.0,1.0,0.0,Edey,Z. Edey,Green,203110.0,,,,,,,,,,,,,,,,
69,PT07M15.00S,2024-12-20T01:20:34.3Z,1,REGULAR,turnover,offensive foul,[],1641744,,,1610612763,13,5,2024-12-20T01:20:34Z,690000,False,,,0,,Z. Edey offensive foul TURNOVER (2 TO),[1641744],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Center,202026.0,,,Edey,Z. Edey,,,,,,,,,2.0,,,,,,,,,
70,PT07M15.00S,2024-12-20T01:20:43.6Z,1,REGULAR,substitution,out,[],1641744,,,1610612744,13,5,2024-12-20T01:21:02Z,700000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,,,,,,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,,
71,PT07M15.00S,2024-12-20T01:20:43.6Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,13,5,2024-12-20T01:21:02Z,710000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,,,,,,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,
72,PT07M15.00S,2024-12-20T01:20:43.6Z,1,REGULAR,substitution,out,[],201939,,,1610612744,13,5,2024-12-20T01:21:02Z,720000,False,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,,,,,,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,
73,PT07M15.00S,2024-12-20T01:20:43.6Z,1,REGULAR,substitution,in,[],1629634,,,1610612744,13,5,2024-12-20T01:21:02Z,730000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,,,,,,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,
74,PT07M15.00S,2024-12-20T01:20:43.6Z,1,REGULAR,substitution,in,[],1627741,,,1610612744,13,5,2024-12-20T01:21:02Z,740000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,,,,,,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,
75,PT07M15.00S,2024-12-20T01:20:43.6Z,1,REGULAR,substitution,in,[],1631218,,,1610612744,13,5,2024-12-20T01:21:02Z,750000,False,,,0,,SUB in: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,,,,,,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,
76,PT07M15.00S,2024-12-20T01:21:25.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612744,13,5,2024-12-20T01:21:28Z,760000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612744.0,GSW,,,,,,,,,202026.0,,,,,,,,,,,,,,,,,,,,,,
77,PT07M04.00S,2024-12-20T01:21:36.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203471,19.92444152431012,25.0,1610612744,13,5,2024-12-20T01:21:39Z,770000,False,125.0,135.0,1,left,MISS D. Schröder 18' pullup Shot,[203471],1610612744.0,GSW,pullup,,,,,,Mid-Range,16-24 Right Center,,,,Schröder,D. Schröder,,,18.38,Missed,,,,,,,,,,,,,,
78,PT07M01.00S,2024-12-20T01:21:39.5Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,13,5,2024-12-20T01:21:39Z,780000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,,,,Mid-Range,16-24 Right Center,,,,Wells,J. Wells,,,,,,,,,,,,77.0,1.0,1.0,0.0,,,
79,PT06M49.00S,2024-12-20T01:21:51.8Z,1,REGULAR,3pt,Jump Shot,[],1642377,76.16622864651774,13.23529411764706,1610612763,13,5,2024-12-20T01:21:56Z,790000,False,-184.0,172.0,1,right,MISS J. Wells 25' 3PT,[1642377],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Wells,J. Wells,,,25.14,Missed,,,,,,,,,,,,,,
80,PT06M44.00S,2024-12-20T01:21:56.8Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,13,5,2024-12-20T01:21:56Z,800000,False,,,0,,J. Morant REBOUND (Off:1 Def:1),[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Morant,J. Morant,,,,,,,,,,,,79.0,2.0,1.0,1.0,,,
81,PT06M43.00S,2024-12-20T01:21:57.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629630,78.26872536136662,91.17647058823529,1610612763,13,5,2024-12-20T01:22:03Z,810000,False,206.0,152.0,1,right,MISS J. Morant 25' 3PT,[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Morant,J. Morant,,,25.58,Missed,,,,,,,,,,,,,,
82,PT06M38.00S,2024-12-20T01:22:02.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,13,5,2024-12-20T01:22:03Z,820000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,Hield,B. Hield,,,,,,,,,,,,81.0,1.0,1.0,0.0,,,
83,PT06M36.00S,2024-12-20T01:22:04.2Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612744,13,5,2024-12-20T01:23:34Z,830000,False,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1629630]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,Hield,B. Hield,,,,,,,,,1.0,Morant,1629630.0,,,,,,,
84,PT06M36.00S,2024-12-20T01:22:04.2Z,1,REGULAR,steal,,[],1629630,,,1610612763,13,5,2024-12-20T01:22:05Z,840000,False,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,
85,PT06M36.00S,2024-12-20T01:22:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629630,93.11760840998686,51.470588235294116,1610612763,15,5,2024-12-20T01:22:09Z,850000,False,7.0,12.0,1,right,J. Morant driving finger roll Layup (2 PTS),[1629630],1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Morant,J. Morant,,,1.43,Made,2.0,,,,,,,,,,,,,
86,PT06M36.00S,2024-12-20T01:22:11.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,15,5,2024-12-20T01:22:11Z,860000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
