actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
22,PT09M27.00S,2025-03-13T00:13:26.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,8,10,2025-03-13T00:13:26Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,
24,PT09M27.00S,2025-03-13T00:13:39.1Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,9,10,2025-03-13T00:13:39Z,230000,False,,,0,,J. Morant Free Throw 2 of 2 (6 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
25,PT09M12.00S,2025-03-13T00:13:58.4Z,1,REGULAR,foul,offensive,[],1642268,,,1610612762,9,10,2025-03-13T00:14:09Z,240000,False,,,0,,I. Collier offensive FOUL (2 PF),"[1642268, 1629630]",1610612762.0,UTA,,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202053.0,,2.0,0.0,Morant,1629630.0,,,,
27,PT09M12.00S,2025-03-13T00:13:58.4Z,1,REGULAR,turnover,offensive foul,[],1642268,,,1610612762,9,10,2025-03-13T00:13:58Z,260000,False,,,0,,I. Collier offensive foul TURNOVER (1 TO),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202053.0,1.0,,,,,,,,
28,PT09M00.00S,2025-03-13T00:14:24.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629630,70.12155059132719,20.098039215686274,1610612763,9,10,2025-03-13T00:14:29Z,270000,False,-150.0,228.0,1,right,MISS J. Morant 27' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,27.3,Missed,,,,,,,,,,,,,,,,,,
29,PT08M56.00S,2025-03-13T00:14:28.7Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,9,10,2025-03-13T00:14:29Z,280000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT08M44.00S,2025-03-13T00:14:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,6.783837056504599,45.588235294117645,1610612762,9,12,2025-03-13T00:14:44Z,290000,False,22.0,11.0,1,left,W. Kessler alley-oop Layup (2 PTS) (C. Sexton 2 AST),"[1631117, 1629012]",1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.48,Made,2.0,,,,,C. Sexton,1629012.0,2.0,,,,,,,,,,
32,PT08M32.00S,2025-03-13T00:14:52.3Z,1,REGULAR,2pt,Jump Shot,[],1630217,83.13074901445466,30.14705882352941,1610612763,9,12,2025-03-13T00:14:56Z,310000,False,-99.0,106.0,1,right,MISS D. Bane 14' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,14.53,Missed,,,,,,,,,,,,,,,,,,
33,PT08M28.00S,2025-03-13T00:14:56.3Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,9,12,2025-03-13T00:14:56Z,320000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Left,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,
34,PT08M27.00S,2025-03-13T00:15:04.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",1631117,6.521024967148489,45.09803921568628,1610612762,9,14,2025-03-13T00:15:24Z,330000,False,25.0,9.0,1,left,W. Kessler running Layup (4 PTS) (C. Sexton 3 AST),"[1631117, 1629012]",1610612762.0,UTA,running,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.6,Made,4.0,,,,,C. Sexton,1629012.0,3.0,,,,,,,,,,
37,PT08M27.00S,2025-03-13T00:15:13.5Z,1,REGULAR,violation,defensive goaltending,[],1641713,,,1610612762,9,14,2025-03-13T00:20:02Z,360000,False,,,0,,G. Jackson defensive goaltending VIOLATION,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,1628171.0,,,,,,,,,
38,PT08M27.00S,2025-03-13T00:15:19.9Z,1,REGULAR,foul,personal,['1freethrow'],1641744,,,1610612762,9,14,2025-03-13T00:15:31Z,370000,False,,,0,,Z. Edey shooting personal FOUL (1 PF) (Kessler 1 FT),"[1641744, 1631117]",1610612763.0,MEM,shooting,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2530.0,,1.0,0.0,Kessler,1631117.0,,,,
40,PT08M27.00S,2025-03-13T00:15:32.0Z,1,REGULAR,freethrow,1 of 1,[],1631117,,,1610612762,9,14,2025-03-13T00:15:40Z,390000,False,,,0,,MISS W. Kessler Free Throw 1 of 1,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
41,PT08M19.00S,2025-03-13T00:15:40.0Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,9,14,2025-03-13T00:15:40Z,400000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,,,,,
42,PT08M19.00S,2025-03-13T00:15:34.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628374,5.590000152587891,50.0,1610612762,9,14,2025-03-13T00:16:08Z,410000,False,0.0,0.0,1,left,MISS L. Markkanen tip Layup,[1628374],1610612762.0,UTA,tip,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
43,PT08M16.00S,2025-03-13T00:15:37.6Z,1,REGULAR,rebound,defensive,[],1641713,,,1610612763,9,14,2025-03-13T00:16:08Z,420000,False,,,0,,G. Jackson REBOUND (Off:0 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,
44,PT08M16.00S,2025-03-13T00:15:38.7Z,1,REGULAR,3pt,Jump Shot,[],1641713,66.70499342969777,33.088235294117645,1610612763,9,14,2025-03-13T00:17:52Z,430000,False,-85.0,260.0,1,right,MISS G. Jackson 27' 3PT,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Center,27.39,Missed,,,,,,,,,,,,,,,,,,
45,PT08M14.00S,2025-03-13T00:15:40.7Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,9,14,2025-03-13T00:17:52Z,440000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,
60,PT08M12.00S,2025-03-13T00:15:41.4Z,1,REGULAR,turnover,out-of-bounds,[],1631117,,,1610612762,9,14,2025-03-13T00:17:37Z,445000,False,,,0,,W. Kessler bad pass out-of-bounds TURNOVER (1 TO),[1631117],1610612762.0,UTA,bad pass,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2530.0,1.0,,,,,,,,
47,PT08M12.00S,2025-03-13T00:15:55.1Z,1,REGULAR,substitution,out,[],1641744,,,1610612763,9,14,2025-03-13T00:17:24Z,460000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M12.00S,2025-03-13T00:15:55.1Z,1,REGULAR,substitution,in,[],1630643,,,1610612763,9,14,2025-03-13T00:17:24Z,470000,False,,,0,,SUB in: J. Huff,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M07.00S,2025-03-13T00:16:05.1Z,1,REGULAR,violation,kicked ball,[],1628381,,,1610612763,9,14,2025-03-13T00:17:24Z,480000,False,,,0,,J. Collins kicked ball VIOLATION,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,2530.0,,,,,,,,,
50,PT08M00.00S,2025-03-13T00:16:23.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630643,66.83639947437582,46.07843137254902,1610612763,9,14,2025-03-13T00:17:24Z,490000,False,-20.0,259.0,1,right,MISS J. Huff 25' 3PT,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Center,25.99,Missed,,,,,,,,,,,,,,,,,,
51,PT07M56.00S,2025-03-13T00:16:27.9Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,9,14,2025-03-13T00:16:29Z,500000,False,,,0,,W. Kessler REBOUND (Off:0 Def:3),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,,
52,PT07M50.00S,2025-03-13T00:16:33.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628381,6.389618922470433,52.69607843137255,1610612762,9,14,2025-03-13T00:20:11Z,510000,False,-13.0,8.0,1,left,MISS J. Collins running reverse Layup - blocked,"[1628381, 1630643]",1610612762.0,UTA,running reverse,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.55,Missed,,,,,,,,,,,,,,,Huff,1630643.0,,
53,PT07M50.00S,2025-03-13T00:16:33.3Z,1,REGULAR,block,,[],1630643,,,1610612762,9,14,2025-03-13T00:16:36Z,520000,False,,,0,,J. Huff BLOCK (1 BLK),[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT07M45.00S,2025-03-13T00:16:38.3Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,9,14,2025-03-13T00:16:40Z,530000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,
55,PT07M42.00S,2025-03-13T00:16:40.6Z,1,REGULAR,3pt,Jump Shot,[],1642377,79.31997371879106,92.15686274509804,1610612763,9,14,2025-03-13T00:16:46Z,540000,False,211.0,142.0,1,right,MISS J. Wells 25' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,25.41,Missed,,,,,,,,,,,,,,,,,,
56,PT07M38.00S,2025-03-13T00:16:44.6Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,9,14,2025-03-13T00:16:46Z,550000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Right Center,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,
57,PT07M36.00S,2025-03-13T00:16:47.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628381,7.046649145860711,50.98039215686274,1610612762,9,16,2025-03-13T00:20:39Z,560000,False,-5.0,14.0,1,left,J. Collins running Layup (6 PTS) (I. Collier 1 AST),"[1628381, 1642268]",1610612762.0,UTA,running,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.45,Made,6.0,,,,,I. Collier,1642268.0,1.0,,,,,,,,,,
59,PT07M36.00S,2025-03-13T00:16:53.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,9,16,2025-03-13T00:16:53Z,580000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M25.00S,2025-03-13T00:19:53.0Z,1,REGULAR,3pt,Jump Shot,[],1630217,68.01905387647832,65.68627450980392,1610612763,12,16,2025-03-13T00:19:57Z,590000,False,78.0,248.0,1,right,D. Bane 26' 3PT  (3 PTS) (J. Morant 2 AST),"[1630217, 1629630]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,26.02,Made,3.0,,,,,J. Morant,1629630.0,2.0,,,,,,,,,,
63,PT07M07.00S,2025-03-13T00:20:11.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628374,5.075558475689881,50.49019607843137,1610612762,12,18,2025-03-13T00:20:15Z,610000,False,-2.0,-5.0,1,left,L. Markkanen driving DUNK (5 PTS),[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,0.54,Made,5.0,,,,,,,,,,,,,,,,,
64,PT07M00.00S,2025-03-13T00:20:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,93.11760840998686,53.92156862745098,1610612763,12,18,2025-03-13T00:20:25Z,620000,False,20.0,12.0,1,right,MISS D. Bane driving Layup,[1630217],1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.31,Missed,,,,,,,,,,,,,,,,,,
65,PT06M58.00S,2025-03-13T00:20:20.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,12,18,2025-03-13T00:20:25Z,630000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,
66,PT06M44.00S,2025-03-13T00:20:34.3Z,1,REGULAR,2pt,Jump Shot,[],1629012,16.507884362680684,30.637254901960787,1610612762,12,18,2025-03-13T00:20:40Z,640000,False,97.0,103.0,1,left,MISS C. Sexton 14' turnaround fadeaway Shot,[1629012],1610612762.0,UTA,turnaround fadeaway,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Right,14.11,Missed,,,,,,,,,,,,,,,,,,
67,PT06M40.00S,2025-03-13T00:20:38.3Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,12,18,2025-03-13T00:20:40Z,650000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,
69,PT06M34.00S,2025-03-13T00:20:48.7Z,1,REGULAR,substitution,out,[],1641713,,,1610612763,12,18,2025-03-13T00:20:59Z,670000,False,,,0,,SUB out: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2025-03-13T00:20:48.7Z,1,REGULAR,substitution,out,[],1629012,,,1610612763,12,18,2025-03-13T00:20:59Z,680000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2025-03-13T00:20:48.7Z,1,REGULAR,substitution,out,[],1628374,,,1610612763,12,18,2025-03-13T00:20:59Z,690000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M34.00S,2025-03-13T00:20:48.7Z,1,REGULAR,substitution,in,[],1628379,,,1610612763,12,18,2025-03-13T00:20:59Z,700000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M34.00S,2025-03-13T00:20:48.7Z,1,REGULAR,substitution,in,[],203903,,,1610612763,12,18,2025-03-13T00:20:59Z,710000,False,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M34.00S,2025-03-13T00:20:48.7Z,1,REGULAR,substitution,in,[],1642262,,,1610612763,12,18,2025-03-13T00:20:59Z,720000,False,,,0,,SUB in: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M29.00S,2025-03-13T00:21:12.4Z,1,REGULAR,3pt,Jump Shot,[],1642377,71.43561103810775,20.833333333333336,1610612763,15,18,2025-03-13T00:21:17Z,730000,False,-146.0,216.0,1,right,J. Wells 26' 3PT  (3 PTS) (J. Huff 1 AST),"[1642377, 1630643]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,26.06,Made,3.0,,,,,J. Huff,1630643.0,1.0,,,,,,,,,,
77,PT06M28.00S,2025-03-13T00:21:19.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,15,18,2025-03-13T00:21:19Z,750000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M28.00S,2025-03-13T00:23:33.8Z,1,REGULAR,substitution,out,[],1630217,,,1610612762,15,18,2025-03-13T00:23:56Z,760000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M28.00S,2025-03-13T00:23:33.8Z,1,REGULAR,substitution,in,[],1630590,,,1610612762,15,18,2025-03-13T00:23:56Z,770000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M11.00S,2025-03-13T00:24:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642268,13.354139290407357,60.049019607843135,1610612762,15,18,2025-03-13T00:24:28Z,780000,False,-50.0,73.0,1,left,MISS I. Collier 8' driving floating Shot,[1642268],1610612762.0,UTA,driving floating,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Left,8.86,Missed,,,,,,,,,,,,,,,,,,
81,PT06M06.00S,2025-03-13T00:24:26.6Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612763,15,18,2025-03-13T00:25:55Z,790000,False,,,0,,J. Huff REBOUND (Off:0 Def:1),[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),8-16 Left,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,
82,PT05M59.00S,2025-03-13T00:24:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,92.72339027595268,44.6078431372549,1610612763,15,18,2025-03-13T00:24:37Z,800000,False,-27.0,16.0,1,right,MISS J. Morant driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,,,,,,,,,,,,,
83,PT05M57.00S,2025-03-13T00:24:35.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,15,18,2025-03-13T00:24:37Z,810000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,82.0,2.0,2.0,0.0,,,,,,,,,,,,,
84,PT05M50.00S,2025-03-13T00:24:43.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,11.645860709592641,36.76470588235294,1610612762,15,18,2025-03-13T00:24:48Z,820000,False,66.0,57.0,1,left,MISS J. Clarkson 8' pullup Shot,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Right,8.74,Missed,,,,,,,,,,,,,,,,,,
85,PT05M47.00S,2025-03-13T00:24:46.4Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612763,15,18,2025-03-13T00:24:48Z,830000,False,,,0,,J. Huff REBOUND (Off:0 Def:2),[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),8-16 Right,,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,,
