actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
19,PT10M23.00S,2025-03-16T00:13:29.0Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,7,2,2025-03-16T00:13:28Z,190000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Ware,K. Ware,,,,18.0,1.0,0.0,1.0,,,,,,,,,,
20,PT10M23.00S,2025-03-16T00:13:28.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1642276,94.40999984741211,50.0,1610612748,7,4,2025-03-16T00:13:28Z,200000,False,0.0,0.0,1,right,K. Ware tip DUNK (2 PTS),[1642276],1610612748.0,MIA,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,Ware,K. Ware,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2025-03-16T00:13:37.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,11.514454664914586,36.27450980392157,1610612763,9,4,2025-03-16T00:13:41Z,210000,False,69.0,56.0,1,left,J. Jackson Jr. 8' driving Hook (4 PTS),[1628991],1610612763.0,MEM,driving,,,,,,In The Paint (Non-RA),8-16 Right,8.84,Made,4.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
22,PT10M00.00S,2025-03-16T00:13:52.1Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,9,4,2025-03-16T00:13:54Z,220000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1630217]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,1.0,Bane,1630217.0,,
23,PT10M00.00S,2025-03-16T00:13:52.1Z,1,REGULAR,steal,,[],1630217,,,1610612763,9,4,2025-03-16T00:13:53Z,230000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,
25,PT09M51.00S,2025-03-16T00:14:18.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628991,27.414586070959263,19.852941176470587,1610612763,9,4,2025-03-16T00:14:25Z,250000,False,151.0,205.0,1,left,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
26,PT09M48.00S,2025-03-16T00:14:21.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,9,4,2025-03-16T00:14:25Z,260000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.0,,,,,,,,,,,,,
28,PT09M38.00S,2025-03-16T00:14:43.1Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,9,4,2025-03-16T00:14:47Z,280000,False,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (2 TO),[1628389],1610612748.0,MIA,bad pass,,,,,,Restricted Area,0-8 Center,,,,Adebayo,B. Adebayo,,,,,,,,201246.0,,,,,2.0,,,,
29,PT09M20.00S,2025-03-16T00:15:11.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630217,7.966491458607096,45.34313725490196,1610612763,9,4,2025-03-16T00:34:43Z,290000,False,23.0,22.0,1,left,MISS D. Bane driving bank Hook,[1630217],1610612763.0,MEM,driving bank,,,,,,Restricted Area,0-8 Center,3.23,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,
30,PT09M16.00S,2025-03-16T00:15:15.8Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,9,4,2025-03-16T00:15:15Z,300000,False,,,0,,Z. Edey REBOUND (Off:1 Def:0),[1641744],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Edey,Z. Edey,,,,29.0,1.0,0.0,1.0,,,,,,,,,,
31,PT09M16.00S,2025-03-16T00:15:15.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641744,5.590000152587891,50.0,1610612763,11,4,2025-03-16T00:15:15Z,310000,False,0.0,0.0,1,left,Z. Edey tip Layup (2 PTS),[1641744],1610612763.0,MEM,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,Edey,Z. Edey,,,,,,,,,,,,,,,,,
32,PT09M04.00S,2025-03-16T00:15:27.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,93.64323258869908,49.50980392156863,1610612748,11,6,2025-03-16T00:15:31Z,320000,False,-2.0,7.0,1,right,K. Ware alley-oop DUNK (4 PTS) (T. Herro 1 AST),"[1642276, 1629639]",1610612748.0,MIA,alley-oop,,,,,,Restricted Area,0-8 Center,0.77,Made,4.0,Ware,K. Ware,T. Herro,1629639.0,1.0,,,,,,,,,,,,,,
34,PT08M50.00S,2025-03-16T00:15:41.1Z,1,REGULAR,3pt,Jump Shot,[],1628991,32.14520367936925,42.64705882352941,1610612763,11,6,2025-03-16T00:15:47Z,340000,False,37.0,250.0,1,left,MISS J. Jackson Jr. 25' pullup 3PT,[1628991],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Center,25.24,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
35,PT08M49.00S,2025-03-16T00:15:42.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,11,6,2025-03-16T00:15:47Z,350000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,,,,,,,34.0,,,,,,,,,,,,,
36,PT08M49.00S,2025-03-16T00:15:47.9Z,1,REGULAR,foul,personal,[],1641744,,,1610612748,11,6,2025-03-16T00:15:52Z,360000,False,,,0,,Z. Edey loose ball personal FOUL (1 PF),"[1641744, 1642276]",1610612763.0,MEM,loose ball,,,,,,Restricted Area,0-8 Center,,,,Edey,Z. Edey,,,,,,,,2004.0,1.0,0.0,Ware,1642276.0,,,,,
38,PT08M36.00S,2025-03-16T00:16:13.9Z,1,REGULAR,3pt,Jump Shot,[],1628389,67.09921156373193,41.17647058823529,1610612748,11,6,2025-03-16T00:16:17Z,380000,False,-44.0,257.0,1,right,MISS B. Adebayo 26' 3PT,[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,26.06,Missed,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
39,PT08M32.00S,2025-03-16T00:16:17.9Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,11,6,2025-03-16T00:16:17Z,390000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Wells,J. Wells,,,,38.0,1.0,1.0,0.0,,,,,,,,,,
40,PT08M19.00S,2025-03-16T00:16:29.9Z,1,REGULAR,2pt,Jump Shot,[],1628379,17.95335085413929,31.61764705882353,1610612763,11,6,2025-03-16T00:16:33Z,400000,False,92.0,116.0,1,left,MISS L. Kennard 14' step back Shot,[1628379],1610612763.0,MEM,step back,,,,,,Mid-Range,8-16 Right,14.82,Missed,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
41,PT08M17.00S,2025-03-16T00:16:31.9Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,11,6,2025-03-16T00:16:33Z,410000,False,,,0,,K. Ware REBOUND (Off:1 Def:1),[1642276],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Right,,,,Ware,K. Ware,,,,40.0,2.0,1.0,1.0,,,,,,,,,,
42,PT08M07.00S,2025-03-16T00:16:41.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,93.64323258869908,49.26470588235294,1610612748,11,8,2025-03-16T00:16:44Z,420000,False,-4.0,7.0,1,right,K. Ware alley-oop DUNK (6 PTS) (T. Herro 2 AST),"[1642276, 1629639]",1610612748.0,MIA,alley-oop,,,,,,Restricted Area,0-8 Center,0.82,Made,6.0,Ware,K. Ware,T. Herro,1629639.0,2.0,,,,,,,,,,,,,,
44,PT07M59.00S,2025-03-16T00:16:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630217,5.601182654402102,49.754901960784316,1610612763,13,8,2025-03-16T00:16:58Z,440000,False,1.0,0.0,1,left,D. Bane driving finger roll Layup (7 PTS),[1630217],1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,0.12,Made,7.0,Bane,D. Bane,,,,,,,,,,,,,,,,,
45,PT07M59.00S,2025-03-16T00:16:54.7Z,1,REGULAR,violation,defensive goaltending,[],1642276,,,1610612763,13,8,2025-03-16T00:17:03Z,450000,False,,,0,,K. Ware defensive goaltending VIOLATION,[1642276],1610612748.0,MIA,,,,,,,,,,,,Ware,K. Ware,,,,,,,,1628159.0,,,,,,,,,
46,PT07M43.00S,2025-03-16T00:17:14.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,93.24901445466492,50.98039215686274,1610612748,13,10,2025-03-16T00:17:18Z,460000,False,5.0,11.0,1,right,B. Adebayo driving DUNK (2 PTS) (A. Wiggins 1 AST),"[1628389, 203952]",1610612748.0,MIA,driving,,,,,,Restricted Area,0-8 Center,1.2,Made,2.0,Adebayo,B. Adebayo,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,
48,PT07M23.00S,2025-03-16T00:17:33.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,15.588042049934298,39.46078431372549,1610612763,15,10,2025-03-16T00:17:37Z,480000,False,53.0,94.0,1,left,J. Jackson Jr. 10' turnaround Hook (6 PTS),[1628991],1610612763.0,MEM,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,10.78,Made,6.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
49,PT07M17.00S,2025-03-16T00:17:43.0Z,1,REGULAR,foul,offensive,[],1642276,,,1610612748,15,10,2025-03-16T00:17:49Z,490000,False,,,0,,K. Ware offensive FOUL (2 PF),"[1642276, 1628991]",1610612748.0,MIA,,,,,,,Above the Break 3,16-24 Left Center,,,,Ware,K. Ware,,,,,,,,1628159.0,2.0,0.0,Jackson Jr.,1628991.0,,,,,
51,PT07M17.00S,2025-03-16T00:17:43.0Z,1,REGULAR,turnover,offensive foul,[],1642276,,,1610612748,15,10,2025-03-16T00:17:43Z,510000,False,,,0,,K. Ware offensive foul TURNOVER (1 TO),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,16-24 Left Center,,,,Ware,K. Ware,,,,,,,,1628159.0,,,,,1.0,,,,
52,PT07M17.00S,2025-03-16T00:18:09.0Z,1,REGULAR,foul,technical,['1freethrow'],1628991,,,1610612763,15,10,2025-03-16T00:18:30Z,520000,False,,,0,,J. Jackson Jr. flopping technical FOUL (1 Tech),[1628991],1610612763.0,MEM,flopping,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,2004.0,0.0,1.0,,,,,,,
53,PT07M17.00S,2025-03-16T00:18:31.6Z,1,REGULAR,freethrow,1 of 1,[],1629639,,,1610612763,15,11,2025-03-16T00:18:31Z,530000,False,,,0,,T. Herro technical Free Throw 1 of 1 (3 PTS),[1629639],1610612748.0,MIA,technical,,,,,,,,,Made,3.0,Herro,T. Herro,,,,,,,,,,,,,,,,,
54,PT07M17.00S,2025-03-16T00:18:32.5Z,1,REGULAR,substitution,out,[],1642276,,,1610612763,15,11,2025-03-16T00:18:36Z,540000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,,,,,,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,
55,PT07M17.00S,2025-03-16T00:18:32.5Z,1,REGULAR,substitution,in,[],203937,,,1610612763,15,11,2025-03-16T00:18:36Z,550000,False,,,0,,SUB in: K. Anderson,[203937],1610612748.0,MIA,,,,,,,,,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,
56,PT07M02.00S,2025-03-16T00:19:01.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628991,7.178055190538765,46.07843137254902,1610612763,17,11,2025-03-16T00:19:08Z,560000,False,20.0,15.0,1,left,J. Jackson Jr. driving finger roll Layup (8 PTS),[1628991],1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,2.47,Made,8.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
57,PT07M02.00S,2025-03-16T00:19:08.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612748,17,11,2025-03-16T00:19:14Z,570000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,1628159.0,,,,,,,,,
58,PT06M47.00S,2025-03-16T00:19:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,88.78120893561103,49.01960784313725,1610612748,17,11,2025-03-16T00:19:38Z,580000,False,-5.0,53.0,1,right,MISS A. Wiggins finger roll Layup - blocked,"[203952, 1641744]",1610612748.0,MIA,finger roll,,,,,,In The Paint (Non-RA),0-8 Center,5.32,Missed,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,Edey,1641744.0
59,PT06M47.00S,2025-03-16T00:19:35.4Z,1,REGULAR,block,,[],1641744,,,1610612748,17,11,2025-03-16T00:19:37Z,590000,False,,,0,,Z. Edey BLOCK (1 BLK),[1641744],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,
60,PT06M44.00S,2025-03-16T00:19:38.4Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,17,11,2025-03-16T00:19:38Z,600000,False,,,0,,Z. Edey REBOUND (Off:1 Def:1),[1641744],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Edey,Z. Edey,,,,58.0,2.0,1.0,1.0,,,,,,,,,,
61,PT06M36.00S,2025-03-16T00:19:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,6.652431011826544,48.77450980392157,1610612763,19,11,2025-03-16T00:19:50Z,610000,False,6.0,10.0,1,left,J. Wells driving finger roll Layup (2 PTS) (D. Bane 1 AST),"[1642377, 1630217]",1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,Wells,J. Wells,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
63,PT06M36.00S,2025-03-16T00:19:49.9Z,1,REGULAR,foul,personal,['1freethrow'],203937,,,1610612763,19,11,2025-03-16T00:22:49Z,630000,False,,,0,,K. Anderson shooting personal FOUL (1 PF) (Wells 1 FT),"[203937, 1642377]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,,,,Anderson,K. Anderson,,,,,,,,1628159.0,1.0,0.0,Wells,1642377.0,,,,,
65,PT06M36.00S,2025-03-16T00:20:04.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,19,11,2025-03-16T00:23:07Z,650000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M36.00S,2025-03-16T00:22:07.9Z,1,REGULAR,substitution,out,[],1628379,,,1610612763,19,11,2025-03-16T00:23:07Z,660000,False,,,0,,SUB out: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
67,PT06M36.00S,2025-03-16T00:22:07.9Z,1,REGULAR,substitution,in,[],1630590,,,1610612763,19,11,2025-03-16T00:23:07Z,670000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,,,,,,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,
68,PT06M36.00S,2025-03-16T00:23:05.9Z,1,REGULAR,freethrow,1 of 1,[],1642377,,,1610612763,19,11,2025-03-16T00:23:05Z,680000,False,,,0,,MISS J. Wells Free Throw 1 of 1,[1642377],1610612763.0,MEM,,,,,,,,,,Missed,,Wells,J. Wells,,,,,,,,,,,,,,,,,
69,PT06M33.00S,2025-03-16T00:23:07.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,19,11,2025-03-16T00:23:07Z,690000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,,,,,,,,,Adebayo,B. Adebayo,,,,68.0,1.0,1.0,0.0,,,,,,,,,,
70,PT06M20.00S,2025-03-16T00:23:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,92.85479632063075,44.36274509803921,1610612748,19,13,2025-03-16T00:35:58Z,700000,False,-28.0,15.0,1,right,T. Herro driving finger roll Layup (5 PTS),[1629639],1610612748.0,MIA,driving finger roll,,,,,,Restricted Area,0-8 Center,3.18,Made,5.0,Herro,T. Herro,,,,,,,,,,,,,,,,,
71,PT06M03.00S,2025-03-16T00:23:36.6Z,1,REGULAR,2pt,Jump Shot,[],1628991,10.33180026281209,68.13725490196079,1610612763,19,13,2025-03-16T00:23:40Z,710000,False,-91.0,45.0,1,left,MISS J. Jackson Jr. 10' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,,,,Mid-Range,8-16 Left,10.11,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
73,PT06M00.00S,2025-03-16T00:23:39.6Z,1,REGULAR,rebound,defensive,[],203937,,,1610612748,19,13,2025-03-16T00:23:40Z,730000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Left,,,,Anderson,K. Anderson,,,,71.0,1.0,1.0,0.0,,,,,,,,,,
74,PT05M56.00S,2025-03-16T00:23:44.2Z,1,REGULAR,3pt,Jump Shot,[],1629639,93.38042049934296,4.166666666666666,1610612748,19,16,2025-03-16T00:23:48Z,740000,False,-229.0,10.0,1,right,T. Herro 3PT  (8 PTS) (D. Robinson 1 AST),"[1629639, 1629130]",1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,22.94,Made,8.0,Herro,T. Herro,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,,
76,PT05M44.00S,2025-03-16T00:23:56.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,13.748357424441524,52.450980392156865,1610612763,21,16,2025-03-16T00:23:58Z,760000,False,-12.0,77.0,1,left,J. Jackson Jr. 7' driving Hook (10 PTS) (D. Bane 2 AST),"[1628991, 1630217]",1610612763.0,MEM,driving,,,,,,In The Paint (Non-RA),0-8 Center,7.77,Made,10.0,Jackson Jr.,J. Jackson Jr.,D. Bane,1630217.0,2.0,,,,,,,,,,,,,,
78,PT05M28.00S,2025-03-16T00:24:12.1Z,1,REGULAR,2pt,Jump Shot,[],1628389,78.0059132720105,62.5,1610612748,21,16,2025-03-16T00:24:15Z,780000,False,62.0,154.0,1,right,MISS B. Adebayo 16' Jump Shot,[1628389],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Right Center,16.64,Missed,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
79,PT05M26.00S,2025-03-16T00:24:14.1Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,21,16,2025-03-16T00:24:15Z,790000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,,,,Mid-Range,16-24 Right Center,,,,Bane,D. Bane,,,,78.0,1.0,1.0,0.0,,,,,,,,,,
80,PT05M19.00S,2025-03-16T00:24:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,7.835085413929041,44.6078431372549,1610612763,21,16,2025-03-16T00:24:35Z,800000,False,27.0,21.0,1,left,MISS D. Bane driving floating Shot - blocked,"[1630217, 1628389]",1610612763.0,MEM,driving floating,,,,,,Restricted Area,0-8 Center,3.43,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,Adebayo,1628389.0
81,PT05M19.00S,2025-03-16T00:24:21.1Z,1,REGULAR,block,,[],1628389,,,1610612763,21,16,2025-03-16T00:24:23Z,810000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,
82,PT05M13.00S,2025-03-16T00:24:27.1Z,1,REGULAR,rebound,offensive,[],1641744,,,1610612763,21,16,2025-03-16T00:24:35Z,820000,False,,,0,,Z. Edey REBOUND (Off:2 Def:1),[1641744],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Edey,Z. Edey,,,,80.0,3.0,1.0,2.0,,,,,,,,,,
83,PT05M13.00S,2025-03-16T00:24:26.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641744,5.590000152587891,50.0,1610612763,23,16,2025-03-16T00:24:26Z,830000,False,0.0,0.0,1,left,Z. Edey putback Layup (4 PTS),[1641744],1610612763.0,MEM,putback,,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,Edey,Z. Edey,,,,,,,,,,,,,,,,,
84,PT05M02.00S,2025-03-16T00:24:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,80.6340341655716,61.76470588235294,1610612748,23,16,2025-03-16T00:24:41Z,840000,False,59.0,130.0,1,right,MISS T. Herro 14' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,,,,In The Paint (Non-RA),8-16 Center,14.22,Missed,,Herro,T. Herro,,,,,,,,,,,,,,,,,
