actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
30,PT09M57.00S,2025-03-06T02:46:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,81.2910643889619,50.73529411764706,1610612760,3,2,2025-03-06T02:46:30Z,290000,False,4.0,123.0,1,right,MISS I. Hartenstein 12' floating Shot,[1628392],1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,12.35,Missed,,,,,,,,,,,,,,,,,,
31,PT09M53.00S,2025-03-06T02:46:27.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,3,2,2025-03-06T02:46:30Z,300000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M44.00S,2025-03-06T02:46:36.5Z,1,REGULAR,3pt,Jump Shot,[],1629630,6.1268068331143235,3.9215686274509802,1610612763,3,2,2025-03-06T02:46:41Z,310000,False,230.0,5.0,1,left,MISS J. Morant 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Right Corner 3,24+ Right,23.05,Missed,,,,,,,,,,,,,,,,,,
33,PT09M41.00S,2025-03-06T02:46:39.5Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,3,2,2025-03-06T02:46:41Z,320000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Right Corner 3,24+ Right,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M25.00S,2025-03-06T02:46:58.5Z,1,REGULAR,foul,personal,[],1629630,,,1610612760,3,2,2025-03-06T02:47:20Z,330000,False,,,0,,J. Morant personal FOUL (1 PF),"[1629630, 1628983]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,2003.0,,,,1.0,0.0,Gilgeous-Alexander,1628983.0
36,PT09M14.00S,2025-03-06T02:47:48.2Z,1,REGULAR,2pt,Jump Shot,[],1628983,91.67214191852825,73.52941176470588,1610612760,3,4,2025-03-06T02:47:52Z,350000,False,118.0,26.0,1,right,S. Gilgeous-Alexander 12' pullup Jump Shot (2 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,12.04,Made,,,,,2.0,,,,,,,,,,,,,
37,PT08M47.00S,2025-03-06T02:48:14.7Z,1,REGULAR,2pt,Jump Shot,[],1629630,25.83155387647832,70.61121323529412,1610612763,3,4,2025-03-06T02:48:24Z,360000,False,-103.0,190.0,1,left,MISS J. Morant 21' floating Shot,[1629630],1610612763.0,MEM,floating,,,Morant,J. Morant,,,,,Mid-Range,16-24 Left Center,21.64,Missed,,,,,,,,,,,,,,,,,,
38,PT08M45.00S,2025-03-06T02:48:16.7Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,3,4,2025-03-06T02:48:24Z,370000,False,,,0,,C. Wallace REBOUND (Off:0 Def:2),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,16-24 Left Center,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M37.00S,2025-03-06T02:48:24.4Z,1,REGULAR,2pt,Jump Shot,[],1628983,79.05716162943496,43.13725490196079,1610612760,3,4,2025-03-06T02:48:30Z,380000,False,-34.0,144.0,1,right,MISS S. Gilgeous-Alexander 14' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Center,14.84,Missed,,,,,,,,,,,,,,,,,,
40,PT08M34.00S,2025-03-06T02:48:27.4Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,3,4,2025-03-06T02:53:11Z,390000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M32.00S,2025-03-06T02:48:33.1Z,1,REGULAR,foul,personal,['2freethrow'],1641717,,,1610612763,3,4,2025-03-06T02:48:43Z,400000,False,,,0,,C. Wallace shooting personal FOUL (1 PF) (Morant 2 FT),"[1641717, 1629630]",1610612760.0,OKC,shooting,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2882.0,,,,1.0,0.0,Morant,1629630.0
43,PT08M32.00S,2025-03-06T02:49:04.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629630,,,1610612763,4,4,2025-03-06T02:49:04Z,420000,False,,,0,,J. Morant Free Throw 1 of 2 (1 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
44,PT08M32.00S,2025-03-06T02:49:24.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629630,,,1610612763,5,4,2025-03-06T02:49:24Z,430000,False,,,0,,J. Morant Free Throw 2 of 2 (2 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
45,PT08M20.00S,2025-03-06T02:49:39.8Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,5,4,2025-03-06T02:49:42Z,440000,False,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1631246]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,1.0,Williams Jr.,1631246.0,,,,,,,,,,
46,PT08M20.00S,2025-03-06T02:49:39.8Z,1,REGULAR,steal,,[],1631246,,,1610612763,5,4,2025-03-06T02:49:41Z,450000,False,,,0,,V. Williams Jr. STEAL (1 STL),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
47,PT08M13.00S,2025-03-06T02:49:46.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641744,5.338370565045992,51.470588235294116,1610612763,7,4,2025-03-06T02:49:52Z,460000,False,-7.0,-2.0,1,left,Z. Edey running alley-oop DUNK (2 PTS) (J. Wells 1 AST),"[1641744, 1642377]",1610612763.0,MEM,running alley-oop,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,2.0,,,,,,,J. Wells,1642377.0,1.0,,,,
49,PT08M01.00S,2025-03-06T02:49:57.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,66.44218134034165,34.068627450980394,1610612760,7,4,2025-03-06T02:50:02Z,480000,False,-80.0,263.0,1,right,MISS L. Dort 27' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,27.47,Missed,,,,,,,,,,,,,,,,,,
50,PT07M58.00S,2025-03-06T02:50:00.8Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,7,4,2025-03-06T02:50:02Z,490000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:2),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Center,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,,,
51,PT07M54.00S,2025-03-06T02:50:05.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629630,28.07161629434954,16.176470588235293,1610612763,7,4,2025-03-06T02:50:12Z,500000,False,169.0,211.0,1,left,MISS J. Morant 27' running pullup 3PT,[1629630],1610612763.0,MEM,running pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,27.07,Missed,,,,,,,,,,,,,,,,,,
52,PT07M53.00S,2025-03-06T02:50:09.3Z,1,REGULAR,rebound,offensive,[],1642377,,,1610612763,7,4,2025-03-06T02:50:09Z,510000,False,,,0,,J. Wells REBOUND (Off:2 Def:0),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,,,51.0,2.0,0.0,2.0,,,,,,,,,,,,,,
53,PT07M53.00S,2025-03-06T02:50:09.8Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612763,7,4,2025-03-06T02:50:21Z,520000,False,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Wells 2 FT),"[1628983, 1642377]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627963.0,,,,1.0,0.0,Wells,1642377.0
55,PT07M53.00S,2025-03-06T02:50:32.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1642377,,,1610612763,7,4,2025-03-06T02:50:32Z,540000,False,,,0,,MISS J. Wells Free Throw 1 of 2,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT07M53.00S,2025-03-06T02:50:32.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,7,4,2025-03-06T02:50:32Z,550000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,
57,PT07M53.00S,2025-03-06T02:50:32.9Z,1,REGULAR,substitution,out,[],1629630,,,1610612763,7,4,2025-03-06T02:50:40Z,560000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M53.00S,2025-03-06T02:50:32.9Z,1,REGULAR,substitution,out,[],1641717,,,1610612763,7,4,2025-03-06T02:50:40Z,570000,False,,,0,,SUB out: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M53.00S,2025-03-06T02:50:32.9Z,1,REGULAR,substitution,in,[],1628379,,,1610612763,7,4,2025-03-06T02:50:40Z,580000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M53.00S,2025-03-06T02:50:32.9Z,1,REGULAR,substitution,in,[],1630598,,,1610612763,7,4,2025-03-06T02:50:40Z,590000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M53.00S,2025-03-06T02:50:52.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1642377,,,1610612763,8,4,2025-03-06T02:50:52Z,600000,False,,,0,,J. Wells Free Throw 2 of 2 (1 PTS),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
62,PT07M38.00S,2025-03-06T02:51:09.0Z,1,REGULAR,2pt,Jump Shot,[],1631114,77.34888304862024,61.51960784313726,1610612760,8,6,2025-03-06T02:51:15Z,610000,False,58.0,160.0,1,right,J. Williams 17' pullup Jump Shot (2 PTS) (I. Hartenstein 1 AST),"[1631114, 1628392]",1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right Center,17.04,Made,,,,,2.0,,,,,,,I. Hartenstein,1628392.0,1.0,,,,
64,PT07M27.00S,2025-03-06T02:51:19.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641744,7.5722733245729295,53.18627450980392,1610612763,8,6,2025-03-06T02:51:27Z,630000,False,-16.0,19.0,1,left,MISS Z. Edey cutting Layup,[1641744],1610612763.0,MEM,cutting,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
65,PT07M25.00S,2025-03-06T02:51:21.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,8,6,2025-03-06T02:51:27Z,640000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,64.0,,,,,,,,,,,,,,,,,
67,PT07M07.00S,2025-03-06T02:51:48.3Z,1,REGULAR,3pt,Jump Shot,[],1630598,66.96780551905388,45.09803921568628,1610612760,8,9,2025-03-06T02:51:52Z,660000,False,-25.0,258.0,1,right,A. Wiggins 25' 3PT pullup (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1630598, 1628983]",1610612760.0,OKC,pullup,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,25.92,Made,,,,,3.0,,,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,
68,PT07M06.00S,2025-03-06T02:51:52.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,8,9,2025-03-06T02:51:52Z,670000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M06.00S,2025-03-06T02:54:48.6Z,1,REGULAR,substitution,out,[],1631246,,,1610612763,8,9,2025-03-06T02:55:03Z,680000,False,,,0,,SUB out: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M06.00S,2025-03-06T02:54:48.6Z,1,REGULAR,substitution,out,[],1641744,,,1610612763,8,9,2025-03-06T02:55:03Z,690000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M06.00S,2025-03-06T02:54:48.6Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,8,9,2025-03-06T02:55:03Z,700000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M06.00S,2025-03-06T02:54:48.6Z,1,REGULAR,substitution,in,[],1629630,,,1610612763,8,9,2025-03-06T02:55:03Z,710000,False,,,0,,SUB in: J. Morant,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M06.00S,2025-03-06T02:54:48.6Z,1,REGULAR,substitution,in,[],1629634,,,1610612763,8,9,2025-03-06T02:55:03Z,720000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M06.00S,2025-03-06T02:54:48.6Z,1,REGULAR,substitution,in,[],1628963,,,1610612763,8,9,2025-03-06T02:55:03Z,730000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612763.0,MEM,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M57.00S,2025-03-06T02:55:32.8Z,1,REGULAR,3pt,Jump Shot,[],1629630,31.225361366622867,56.127450980392155,1610612763,8,9,2025-03-06T02:55:37Z,740000,False,-31.0,241.0,1,left,MISS J. Morant 24' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,24.29,Missed,,,,,,,,,,,,,,,,,,
76,PT06M53.00S,2025-03-06T02:55:36.8Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,8,9,2025-03-06T02:55:37Z,750000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:2),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Center,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,
77,PT06M47.00S,2025-03-06T02:55:42.9Z,1,REGULAR,3pt,Jump Shot,[],1628983,66.44218134034165,46.32352941176471,1610612760,8,12,2025-03-06T02:55:47Z,760000,False,-18.0,263.0,1,right,S. Gilgeous-Alexander 26' 3PT step back (5 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,26.35,Made,,,,,5.0,,,,,,,,,,,,,
78,PT06M32.00S,2025-03-06T02:55:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,12.565703022339028,46.32352941176471,1610612763,10,12,2025-03-06T02:56:01Z,770000,False,18.0,66.0,1,left,J. Morant 6' driving floating Jump Shot (4 PTS),[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,6.81,Made,,,,,4.0,,,,,,,,,,,,,
79,PT06M24.00S,2025-03-06T02:56:05.2Z,1,REGULAR,3pt,Jump Shot,[],1631114,76.95466491458606,88.23529411764706,1610612760,10,12,2025-03-06T02:56:10Z,780000,False,191.0,164.0,1,right,MISS J. Williams 25' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,25.2,Missed,,,,,,,,,,,,,,,,,,
