actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M29.00S,2022-10-24T00:42:23.9Z,1,REGULAR,3pt,Jump Shot,[],1628989,31.488173455978973,65.68627450980392,1610612758,7,0,2022-10-24T00:42:29Z,180000,-78.0,243.0,1,left,MISS K. Huerter 25' step back 3PT,[1628989],1610612758.0,SAC,step back,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,25.58,Missed,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2022-10-24T00:42:27.6Z,1,REGULAR,rebound,offensive,[],1629644,,,1610612758,7,0,2022-10-24T00:42:27Z,190000,,,0,,K. Okpala REBOUND (Off:1 Def:0),[1629644],1610612758.0,SAC,,,,Okpala,K. Okpala,,,,,Above the Break 3,24+ Center,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,
20,PT10M23.00S,2022-10-24T00:42:29.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628989,33.327858081471746,41.42156862745098,1610612758,7,0,2022-10-24T00:42:33Z,200000,43.0,261.0,1,left,MISS K. Huerter 26' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,26.43,Missed,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2022-10-24T00:42:31.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,7,0,2022-10-24T00:42:33Z,210000,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,
22,PT10M10.00S,2022-10-24T00:42:42.4Z,1,REGULAR,2pt,Jump Shot,[],202691,76.03482260183968,59.31372549019608,1610612744,7,0,2022-10-24T00:42:46Z,220000,47.0,173.0,1,right,MISS K. Thompson 17' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Center,17.9,Missed,,,,,,,,,,,,,,,,,,
23,PT10M07.00S,2022-10-24T00:42:45.4Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,7,0,2022-10-24T00:42:46Z,230000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Center,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,
24,PT09M58.00S,2022-10-24T00:42:54.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203952,70.51576872536137,76.22549019607843,1610612744,10,0,2022-10-24T00:42:58Z,240000,131.0,225.0,1,right,A. Wiggins 26' 3PT  (7 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,26.01,Made,7.0,,,,,K. Looney,1626172.0,1.0,,,,,,,,,,
26,PT09M47.00S,2022-10-24T00:43:05.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627734,10.726018396846255,46.568627450980394,1610612758,10,0,2022-10-24T00:43:32Z,260000,17.0,48.0,1,left,MISS D. Sabonis driving Layup,[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,5.13,Missed,,,,,,,,,,,,,,,,,,
27,PT09M45.00S,2022-10-24T00:43:07.4Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,10,0,2022-10-24T00:43:09Z,270000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT09M28.00S,2022-10-24T00:43:24.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626172,83.13074901445466,55.392156862745104,1610612744,10,0,2022-10-24T00:44:33Z,280000,27.0,106.0,1,right,MISS K. Looney 10' pullup Shot,[1626172],1610612744.0,GSW,pullup,,,Looney,K. Looney,,,,,In The Paint (Non-RA),8-16 Center,10.95,Missed,,,,,,,,,,,,,,,,,,
29,PT09M26.00S,2022-10-24T00:43:26.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,10,0,2022-10-24T00:43:29Z,290000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT09M21.00S,2022-10-24T00:43:32.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,9.543363994743759,56.127450980392155,1610612758,10,2,2022-10-24T00:43:40Z,300000,-31.0,37.0,1,left,D. Sabonis driving Layup (2 PTS),[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,4.82,Made,2.0,,,,,,,,,,,,,,,,,
31,PT09M06.00S,2022-10-24T00:43:46.6Z,1,REGULAR,3pt,Jump Shot,[],201939,77.21747700394218,9.558823529411764,1610612744,10,2,2022-10-24T00:43:52Z,310000,-202.0,162.0,1,right,MISS S. Curry 25' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,25.89,Missed,,,,,,,,,,,,,,,,,,
32,PT09M03.00S,2022-10-24T00:43:49.6Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612758,10,2,2022-10-24T00:43:52Z,320000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT08M56.00S,2022-10-24T00:43:56.7Z,1,REGULAR,3pt,Jump Shot,[],1628368,34.773324572930356,47.05882352941176,1610612758,10,2,2022-10-24T00:44:01Z,330000,15.0,274.0,1,left,MISS D. Fox 27' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,27.48,Missed,,,,,,,,,,,,,,,,,,
34,PT08M53.00S,2022-10-24T00:43:59.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,10,2,2022-10-24T00:44:01Z,340000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Center,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,
35,PT08M47.00S,2022-10-24T00:44:05.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202691,94.69448094612353,57.59803921568627,1610612744,12,2,2022-10-24T00:44:28Z,350000,38.0,-3.0,1,right,K. Thompson reverse Layup (5 PTS) (D. Green 3 AST),"[202691, 203110]",1610612744.0,GSW,reverse,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,3.81,Made,5.0,,,,,D. Green,203110.0,3.0,,,,,,,,,,
37,PT08M47.00S,2022-10-24T00:44:10.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,12,2,2022-10-24T00:44:10Z,370000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M47.00S,2022-10-24T00:46:08.1Z,1,REGULAR,substitution,out,[],1629644,,,1610612758,12,2,2022-10-24T00:46:54Z,380000,,,0,,SUB out: K. Okpala,[1629644],1610612758.0,SAC,,,,Okpala,K. Okpala,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M47.00S,2022-10-24T00:46:08.1Z,1,REGULAR,substitution,in,[],1631099,,,1610612758,12,2,2022-10-24T00:46:54Z,390000,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M40.00S,2022-10-24T00:47:16.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,11.251642575558476,49.50980392156863,1610612758,12,4,2022-10-24T00:47:42Z,400000,2.0,53.0,1,left,D. Fox driving Layup (2 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,5.34,Made,2.0,,,,,,,,,,,,,,,,,
41,PT08M28.00S,2022-10-24T00:47:28.0Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,12,4,2022-10-24T00:47:34Z,410000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1631099]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Murray,1631099.0,,
42,PT08M28.00S,2022-10-24T00:47:28.0Z,1,REGULAR,steal,,[],1631099,,,1610612758,12,4,2022-10-24T00:47:30Z,420000,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M21.00S,2022-10-24T00:47:36.3Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612758,12,4,2022-10-24T00:47:45Z,430000,,,0,,S. Curry shooting personal FOUL (1 PF) (Sabonis 2 FT),"[201939, 1627734]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1662.0,1.0,0.0,Sabonis,1627734.0,,,,,
45,PT08M21.00S,2022-10-24T00:48:03.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627734,,,1610612758,12,5,2022-10-24T00:48:03Z,450000,,,0,,D. Sabonis Free Throw 1 of 2 (3 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
46,PT08M21.00S,2022-10-24T00:48:23.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627734,,,1610612758,12,6,2022-10-24T00:48:23Z,460000,,,0,,D. Sabonis Free Throw 2 of 2 (4 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
47,PT07M58.00S,2022-10-24T00:48:49.0Z,1,REGULAR,3pt,Jump Shot,[],203952,74.85216819973719,11.76470588235294,1610612744,12,6,2022-10-24T00:48:53Z,470000,-191.0,184.0,1,right,MISS A. Wiggins 26' step back 3PT,[203952],1610612744.0,GSW,step back,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,26.53,Missed,,,,,,,,,,,,,,,,,,
48,PT07M56.00S,2022-10-24T00:48:51.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,12,6,2022-10-24T00:48:53Z,480000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,
49,PT07M47.00S,2022-10-24T00:49:00.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,10.463206307490145,51.470588235294116,1610612758,12,8,2022-10-24T00:49:08Z,490000,-7.0,46.0,1,left,D. Sabonis driving DUNK (6 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,4.65,Made,6.0,,,,,D. Fox,1628368.0,1.0,,,,,,,,,,
51,PT07M29.00S,2022-10-24T00:49:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,91.40932982917214,47.05882352941176,1610612744,12,8,2022-10-24T00:49:23Z,510000,-15.0,28.0,1,right,MISS S. Curry reverse Layup,[201939],1610612744.0,GSW,reverse,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
52,PT07M27.00S,2022-10-24T00:49:18.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,12,8,2022-10-24T00:49:23Z,520000,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,51.0,3.0,3.0,0.0,,,,,,,,,,,,,
53,PT07M20.00S,2022-10-24T00:49:26.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628368,18.610381077529567,49.754901960784316,1610612758,12,10,2022-10-24T00:49:33Z,530000,1.0,122.0,1,left,D. Fox 12' pullup Jump Shot (4 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,12.24,Made,4.0,,,,,,,,,,,,,,,,,
54,PT07M10.00S,2022-10-24T00:49:36.5Z,1,REGULAR,3pt,Jump Shot,[],201939,75.1149802890933,9.313725490196079,1610612744,15,10,2022-10-24T00:49:41Z,540000,-203.0,181.0,1,right,S. Curry 27' 3PT step back (3 PTS),[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,27.25,Made,3.0,,,,,,,,,,,,,,,,,
55,PT06M58.00S,2022-10-24T00:49:51.7Z,1,REGULAR,foul,personal,[],201939,,,1610612758,15,10,2022-10-24T00:50:11Z,550000,,,0,,S. Curry personal FOUL (2 PF),"[201939, 203084]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,8-16 Center,,,,,,,,,,,202056.0,2.0,0.0,Barnes,203084.0,,,,,
57,PT06M58.00S,2022-10-24T00:50:07.3Z,1,REGULAR,substitution,out,[],203084,,,1610612758,15,10,2022-10-24T00:50:16Z,570000,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M58.00S,2022-10-24T00:50:07.3Z,1,REGULAR,substitution,in,[],1628370,,,1610612758,15,10,2022-10-24T00:50:16Z,580000,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M52.00S,2022-10-24T00:50:40.5Z,1,REGULAR,3pt,Jump Shot,[],1631099,25.837713534822605,11.76470588235294,1610612758,15,13,2022-10-24T00:50:45Z,590000,191.0,190.0,1,left,K. Murray 26' 3PT  (3 PTS) (D. Fox 2 AST),"[1631099, 1628368]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,26.98,Made,3.0,,,,,D. Fox,1628368.0,2.0,,,,,,,,,,
61,PT06M38.00S,2022-10-24T00:50:53.8Z,1,REGULAR,3pt,Jump Shot,[],202691,84.31340341655716,3.6764705882352944,1610612744,15,13,2022-10-24T00:50:57Z,610000,-232.0,95.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
62,PT06M35.00S,2022-10-24T00:50:56.8Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,15,13,2022-10-24T00:50:57Z,620000,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,
63,PT06M29.00S,2022-10-24T00:51:03.5Z,1,REGULAR,2pt,Jump Shot,[],1631099,5.995400788436268,68.62745098039215,1610612758,15,15,2022-10-24T00:51:08Z,630000,-93.0,4.0,1,left,K. Murray 9' fadeaway Jump Shot (5 PTS),[1631099],1610612758.0,SAC,fadeaway,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,9.32,Made,5.0,,,,,,,,,,,,,,,,,
64,PT06M21.00S,2022-10-24T00:51:10.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,93.38042049934296,42.64705882352941,1610612744,17,15,2022-10-24T00:51:22Z,640000,-37.0,10.0,1,right,A. Wiggins running Layup (9 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,3.81,Made,9.0,,,,,S. Curry,201939.0,1.0,,,,,,,,,,
66,PT06M21.00S,2022-10-24T00:51:16.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,17,15,2022-10-24T00:51:16Z,660000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M21.00S,2022-10-24T00:53:06.2Z,1,REGULAR,substitution,out,[],202691,,,1610612758,17,15,2022-10-24T00:53:53Z,670000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M21.00S,2022-10-24T00:53:06.2Z,1,REGULAR,substitution,in,[],1629673,,,1610612758,17,15,2022-10-24T00:53:53Z,680000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M05.00S,2022-10-24T00:54:57.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,15.719448094612352,48.529411764705884,1610612758,17,17,2022-10-24T00:55:04Z,690000,7.0,95.0,1,left,D. Fox 9' floating Jump Shot (6 PTS) (D. Sabonis 1 AST),"[1628368, 1627734]",1610612758.0,SAC,floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,9.56,Made,6.0,,,,,D. Sabonis,1627734.0,1.0,,,,,,,,,,
71,PT05M47.00S,2022-10-24T00:55:15.5Z,1,REGULAR,2pt,Jump Shot,[],201939,77.34888304862024,39.21568627450981,1610612744,19,17,2022-10-24T00:56:37Z,710000,-54.0,160.0,1,right,S. Curry 16' pullup Jump Shot (5 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Mid-Range,16-24 Center,16.92,Made,5.0,,,,,,,,,,,,,,,,,
72,PT05M37.00S,2022-10-24T00:55:26.3Z,1,REGULAR,2pt,Jump Shot,[],1628989,23.340998685939553,30.88235294117647,1610612758,19,17,2022-10-24T00:55:32Z,720000,96.0,167.0,1,left,MISS K. Huerter 19' pullup Shot,[1628989],1610612758.0,SAC,pullup,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Right Center,19.23,Missed,,,,,,,,,,,,,,,,,,
73,PT05M33.00S,2022-10-24T00:55:30.6Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,19,17,2022-10-24T00:55:30Z,730000,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Right Center,,,,72.0,4.0,3.0,1.0,,,,,,,,,,,,,
74,PT05M33.00S,2022-10-24T00:55:30.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,5.590000152587891,50.0,1610612758,19,19,2022-10-24T00:55:30Z,740000,0.0,0.0,1,left,D. Sabonis putback Layup (8 PTS),[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,0.0,Made,8.0,,,,,,,,,,,,,,,,,
75,PT05M11.00S,2022-10-24T00:55:52.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,83.919185282523,51.9607843137255,1610612744,21,19,2022-10-24T00:55:57Z,750000,10.0,99.0,1,right,A. Wiggins 9' turnaround fadeaway Jump Shot (11 PTS),[203952],1610612744.0,GSW,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,9.92,Made,11.0,,,,,,,,,,,,,,,,,
77,PT05M05.00S,2022-10-24T00:56:01.2Z,1,REGULAR,foul,personal,[],203952,,,1610612758,21,19,2022-10-24T00:56:11Z,770000,,,0,,A. Wiggins personal FOUL (1 PF),"[203952, 1628368]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202056.0,1.0,0.0,Fox,1628368.0,,,,,
79,PT05M05.00S,2022-10-24T00:56:10.3Z,1,REGULAR,substitution,out,[],1626172,,,1610612758,21,19,2022-10-24T00:56:17Z,790000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M05.00S,2022-10-24T00:56:10.3Z,1,REGULAR,substitution,out,[],203110,,,1610612758,21,19,2022-10-24T00:56:17Z,800000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M05.00S,2022-10-24T00:56:10.3Z,1,REGULAR,substitution,out,[],1627734,,,1610612758,21,19,2022-10-24T00:56:17Z,810000,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M05.00S,2022-10-24T00:56:10.3Z,1,REGULAR,substitution,in,[],1630164,,,1610612758,21,19,2022-10-24T00:56:17Z,820000,,,0,,SUB in: J. Wiseman,[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M05.00S,2022-10-24T00:56:10.3Z,1,REGULAR,substitution,in,[],203210,,,1610612758,21,19,2022-10-24T00:56:17Z,830000,,,0,,SUB in: J. Green,[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M05.00S,2022-10-24T00:56:10.3Z,1,REGULAR,substitution,in,[],1626158,,,1610612758,21,19,2022-10-24T00:56:17Z,840000,,,0,,SUB in: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
