actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M37.00S,2023-03-29T02:04:11.8Z,1,REGULAR,3pt,Jump Shot,[],1628978,23.99802890932983,86.27450980392157,1610612744,5,2,2023-03-29T02:04:17Z,160000,False,-181.0,173.0,1,left,MISS D. DiVincenzo 25' 3PT,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,25.07,Missed,,,,,,,,,,,,,,,
19,PT10M34.00S,2023-03-29T02:04:14.8Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,5,2,2023-03-29T02:04:17Z,170000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
20,PT10M26.00S,2023-03-29T02:04:22.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,86.94152431011827,47.794117647058826,1610612740,5,4,2023-03-29T02:05:49Z,180000,False,-11.0,70.0,1,right,J. Valanciunas 7' floating Jump Shot (2 PTS) (T. Murphy III 1 AST),"[202685, 1630530]",1610612740.0,NOP,floating,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,7.11,Made,2.0,,,,,,,T. Murphy III,1630530.0,1.0,,,,,
22,PT10M15.00S,2023-03-29T02:04:33.5Z,1,REGULAR,2pt,Jump Shot,[],202691,25.706307490144546,57.59803921568627,1610612744,5,4,2023-03-29T02:04:38Z,200000,False,-38.0,189.0,1,left,MISS K. Thompson 19' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Center,,,,19.29,Missed,,,,,,,,,,,,,,,
23,PT10M12.00S,2023-03-29T02:04:36.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,4,2023-03-29T02:04:38Z,210000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT09M57.00S,2023-03-29T02:04:51.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,89.17542706964521,40.19607843137255,1610612740,5,6,2023-03-29T02:06:23Z,220000,False,-49.0,49.0,1,right,J. Valanciunas 6' turnaround fadeaway Jump Shot (4 PTS) (H. Jones 2 AST),"[202685, 1630529]",1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,6.95,Made,4.0,,,,,,,H. Jones,1630529.0,2.0,,,,,
26,PT09M49.00S,2023-03-29T02:04:58.6Z,1,REGULAR,2pt,Jump Shot,[],202691,6.1268068331143235,25.49019607843137,1610612744,5,6,2023-03-29T02:05:02Z,240000,False,123.0,5.0,1,left,MISS K. Thompson 12' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Right,,,,12.26,Missed,,,,,,,,,,,,,,,
27,PT09M48.00S,2023-03-29T02:04:59.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,6,2023-03-29T02:05:02Z,250000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Right,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,
28,PT09M41.00S,2023-03-29T02:05:10.8Z,1,REGULAR,foul,personal,[],1630228,,,1610612740,5,6,2023-03-29T02:05:18Z,260000,False,,,0,,J. Kuminga personal FOUL (1 PF),"[1630228, 1627742]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,2530.0,1.0,0.0,Ingram,1627742.0
30,PT09M34.00S,2023-03-29T02:05:39.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,93.51182654402102,60.5392156862745,1610612740,5,6,2023-03-29T02:05:47Z,280000,False,53.0,8.0,1,right,MISS H. Jones driving reverse Layup,[1630529],1610612740.0,NOP,driving reverse,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,5.34,Missed,,,,,,,,,,,,,,,
31,PT09M32.00S,2023-03-29T02:05:41.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,6,2023-03-29T02:05:47Z,290000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
34,PT09M11.00S,2023-03-29T02:06:01.5Z,1,REGULAR,3pt,Jump Shot,[],1628978,34.11629434954008,25.49019607843137,1610612744,8,6,2023-03-29T02:06:04Z,320000,False,123.0,268.0,1,left,D. DiVincenzo 29' 3PT pullup (5 PTS),[1628978],1610612744.0,GSW,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,29.49,Made,5.0,,,,,,,,,,,,,,
35,PT08M58.00S,2023-03-29T02:06:14.4Z,1,REGULAR,2pt,Jump Shot,[],203468,81.68528252299606,73.77450980392157,1610612740,8,8,2023-03-29T02:08:07Z,330000,False,119.0,120.0,1,right,C. McCollum 16' Jump Shot (2 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Right Center,,,,16.87,Made,2.0,,,,,,,J. Valanciunas,202685.0,1.0,,,,,
37,PT08M42.00S,2023-03-29T02:06:32.0Z,1,REGULAR,2pt,Jump Shot,[],202691,23.866622864651774,57.107843137254896,1610612744,8,8,2023-03-29T02:06:36Z,350000,False,-36.0,172.0,1,left,MISS K. Thompson 17' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Center,,,,17.54,Missed,,,,,,,,,,,,,,,
38,PT08M39.00S,2023-03-29T02:06:35.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,8,2023-03-29T02:06:36Z,360000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,,,,,,,37.0,3.0,3.0,0.0,,,,,,,,
39,PT08M31.00S,2023-03-29T02:06:43.0Z,1,REGULAR,3pt,Jump Shot,[],202685,65.91655716162943,52.20588235294118,1610612740,8,8,2023-03-29T02:06:48Z,370000,False,11.0,268.0,1,right,MISS J. Valanciunas 26' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,26.81,Missed,,,,,,,,,,,,,,,
40,PT08M28.00S,2023-03-29T02:06:46.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,8,8,2023-03-29T02:07:08Z,380000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,
41,PT08M20.00S,2023-03-29T02:06:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,8.754927726675426,43.38235294117647,1610612744,10,8,2023-03-29T02:06:59Z,390000,False,33.0,30.0,1,left,D. Green cutting Layup (2 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,4.45,Made,2.0,,,,,,,S. Curry,201939.0,1.0,,,,,
43,PT08M10.00S,2023-03-29T02:07:02.9Z,1,REGULAR,3pt,Jump Shot,[],1630530,65.65374507227332,31.372549019607842,1610612740,10,11,2023-03-29T02:07:06Z,410000,False,-93.0,270.0,1,right,T. Murphy III 28' 3PT  (3 PTS) (B. Ingram 1 AST),"[1630530, 1627742]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,,28.6,Made,3.0,,,,,,,B. Ingram,1627742.0,1.0,,,,,
45,PT07M54.00S,2023-03-29T02:07:22.8Z,1,REGULAR,foul,technical,['1freethrow'],1627742,,,1610612744,10,11,2023-03-29T02:07:29Z,430000,False,,,0,,B. Ingram defensive-3-second technical FOUL (1 Tech),[1627742],1610612740.0,NOP,defensive-3-second,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,201246.0,0.0,1.0,,
46,PT07M54.00S,2023-03-29T02:07:43.2Z,1,REGULAR,freethrow,1 of 1,[],201939,,,1610612744,11,11,2023-03-29T02:07:43Z,440000,False,,,0,,S. Curry technical Free Throw 1 of 1 (4 PTS),[201939],1610612744.0,GSW,technical,,,Curry,S. Curry,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
47,PT07M50.00S,2023-03-29T02:07:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,6.783837056504599,54.90196078431373,1610612744,13,11,2023-03-29T02:08:01Z,450000,False,-25.0,11.0,1,left,K. Thompson cutting Layup (2 PTS) (D. Green 2 AST),"[202691, 203110]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,2.7,Made,2.0,,,,,,,D. Green,203110.0,2.0,,,,,
49,PT07M31.00S,2023-03-29T02:08:16.9Z,1,REGULAR,3pt,Jump Shot,[],1630529,95.0886990801577,5.147058823529411,1610612740,13,14,2023-03-29T02:08:22Z,470000,False,-224.0,-6.0,1,right,H. Jones 3PT  (3 PTS) (C. McCollum 1 AST),"[1630529, 203468]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,,,,22.44,Made,3.0,,,,,,,C. McCollum,203468.0,1.0,,,,,
51,PT07M15.00S,2023-03-29T02:08:33.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630228,7.966491458607096,45.34313725490196,1610612744,15,14,2023-03-29T02:08:38Z,490000,False,23.0,22.0,1,left,J. Kuminga driving DUNK (2 PTS) (D. Green 3 AST),"[1630228, 203110]",1610612744.0,GSW,driving,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,,,,3.23,Made,2.0,,,,,,,D. Green,203110.0,3.0,,,,,
52,PT06M57.00S,2023-03-29T02:08:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,81.94809461235218,41.66666666666667,1610612740,15,14,2023-03-29T02:08:54Z,500000,False,-42.0,117.0,1,right,MISS C. McCollum 12' pullup Shot,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,12.44,Missed,,,,,,,,,,,,,,,
53,PT06M55.00S,2023-03-29T02:08:52.5Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612740,15,14,2023-03-29T02:10:11Z,510000,False,,,0,,B. Ingram REBOUND (Off:1 Def:0),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,52.0,1.0,0.0,1.0,,,,,,,,
54,PT06M52.00S,2023-03-29T02:08:55.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627742,83.39356110381078,46.81372549019608,1610612740,15,14,2023-03-29T02:09:04Z,520000,False,-16.0,104.0,1,right,MISS B. Ingram 10' driving floating Shot,[1627742],1610612740.0,NOP,driving floating,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,10.48,Missed,,,,,,,,,,,,,,,
55,PT06M50.00S,2023-03-29T02:08:57.6Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612740,15,14,2023-03-29T02:09:04Z,530000,False,,,0,,B. Ingram REBOUND (Off:2 Def:0),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,54.0,2.0,0.0,2.0,,,,,,,,
56,PT06M49.00S,2023-03-29T02:08:59.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627742,84.70762155059133,46.32352941176471,1610612740,15,14,2023-03-29T02:09:09Z,540000,False,-18.0,91.0,1,right,MISS B. Ingram 9' putback Layup,[1627742],1610612740.0,NOP,putback,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,9.3,Missed,,,,,,,,,,,,,,,
57,PT06M48.00S,2023-03-29T02:09:00.0Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612744,15,14,2023-03-29T02:09:09Z,550000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,
58,PT06M46.00S,2023-03-29T02:09:04.8Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612744,15,14,2023-03-29T02:09:21Z,560000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612744.0,GSW,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,,,,,,2530.0,,,,
59,PT06M46.00S,2023-03-29T02:09:10.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,15,14,2023-03-29T02:09:10Z,570000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M32.00S,2023-03-29T02:12:56.7Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,15,14,2023-03-29T02:12:59Z,580000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 203110]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,1.0,Green,203110.0,,,,,,,,,,,,,,,,,
62,PT06M32.00S,2023-03-29T02:12:56.7Z,1,REGULAR,steal,,[],203110,,,1610612744,15,14,2023-03-29T02:21:31Z,590000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
63,PT06M22.00S,2023-03-29T02:13:07.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202691,28.33442838370565,81.37254901960785,1610612744,15,14,2023-03-29T02:13:11Z,600000,False,-157.0,214.0,1,left,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,,26.52,Missed,,,,,,,,,,,,,,,
64,PT06M19.00S,2023-03-29T02:13:10.4Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,15,14,2023-03-29T02:13:11Z,610000,False,,,0,,B. Ingram REBOUND (Off:2 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,,,,63.0,3.0,1.0,2.0,,,,,,,,
65,PT06M17.00S,2023-03-29T02:13:14.9Z,1,REGULAR,foul,personal,[],1630228,,,1610612740,15,14,2023-03-29T02:13:24Z,620000,False,,,0,,J. Kuminga personal FOUL (2 PF),"[1630228, 1627742]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,201246.0,2.0,0.0,Ingram,1627742.0
67,PT06M17.00S,2023-03-29T02:13:28.3Z,1,REGULAR,substitution,out,[],1630228,,,1610612740,15,14,2023-03-29T02:13:34Z,640000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M17.00S,2023-03-29T02:13:28.3Z,1,REGULAR,substitution,in,[],1626172,,,1610612740,15,14,2023-03-29T02:13:34Z,650000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M10.00S,2023-03-29T02:13:57.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,83.78777923784494,49.26470588235294,1610612740,15,14,2023-03-29T02:15:04Z,660000,False,-4.0,100.0,1,right,MISS B. Ingram 10' fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,10.0,Missed,,,,,,,,,,,,,,,
70,PT06M05.00S,2023-03-29T02:14:02.0Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,15,14,2023-03-29T02:15:04Z,670000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,
71,PT05M59.00S,2023-03-29T02:14:06.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,65.78515111695138,56.86274509803921,1610612740,15,14,2023-03-29T02:14:10Z,680000,False,34.0,269.0,1,right,MISS C. McCollum 27' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,27.13,Missed,,,,,,,,,,,,,,,
72,PT05M57.00S,2023-03-29T02:14:08.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,15,14,2023-03-29T02:14:10Z,690000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,
73,PT05M53.00S,2023-03-29T02:14:13.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201939,10.85742444152431,46.32352941176471,1610612744,15,14,2023-03-29T02:15:33Z,700000,False,18.0,50.0,1,left,MISS S. Curry running finger roll Layup,[201939],1610612744.0,GSW,running finger roll,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,5.29,Missed,,,,,,,,,,,,,,,
74,PT05M50.00S,2023-03-29T02:14:16.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,15,14,2023-03-29T02:14:17Z,710000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,73.0,4.0,4.0,0.0,,,,,,,,
75,PT05M47.00S,2023-03-29T02:14:18.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,72.35545335085413,15.686274509803921,1610612740,15,17,2023-03-29T02:15:53Z,720000,False,-172.0,207.0,1,right,T. Murphy III 26' 3PT running (6 PTS) (C. McCollum 2 AST),"[1630530, 203468]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,,26.92,Made,6.0,,,,,,,C. McCollum,203468.0,2.0,,,,,
77,PT05M29.00S,2023-03-29T02:14:38.5Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,15,17,2023-03-29T02:14:50Z,740000,False,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,,,,2002.0,,,,
78,PT05M20.00S,2023-03-29T02:15:09.1Z,1,REGULAR,foul,offensive,[],1627742,,,1610612740,15,17,2023-03-29T02:15:14Z,750000,False,,,0,,B. Ingram offensive FOUL (1 PF),"[1627742, 1628978]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,2530.0,1.0,1.0,DiVincenzo,1628978.0
80,PT05M20.00S,2023-03-29T02:15:09.1Z,1,REGULAR,turnover,offensive foul,[],1627742,,,1610612740,15,17,2023-03-29T02:15:09Z,770000,False,,,0,,B. Ingram offensive foul TURNOVER (2 TO),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,2.0,,,,,,,,,,,,,,,2530.0,,,,
81,PT05M20.00S,2023-03-29T02:15:14.1Z,1,REGULAR,substitution,out,[],1628978,,,1610612744,15,17,2023-03-29T02:15:16Z,780000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M20.00S,2023-03-29T02:15:14.1Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,15,17,2023-03-29T02:15:16Z,790000,False,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M08.00S,2023-03-29T02:15:31.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202691,20.71287779237845,5.88235294117647,1610612744,18,17,2023-03-29T02:15:37Z,800000,False,221.0,142.0,1,left,K. Thompson 26' 3PT  (5 PTS) (D. Green 4 AST),"[202691, 203110]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,26.25,Made,5.0,,,,,,,D. Green,203110.0,4.0,,,,,
85,PT04M57.00S,2023-03-29T02:15:43.0Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612740,18,17,2023-03-29T02:15:45Z,820000,False,,,0,,B. Ingram lost ball TURNOVER (3 TO),"[1627742, 202691]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,3.0,Thompson,202691.0,,,,,,,,,,,,,,,,,
86,PT04M57.00S,2023-03-29T02:15:43.0Z,1,REGULAR,steal,,[],202691,,,1610612744,18,17,2023-03-29T02:15:44Z,830000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
