actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
47,PT07M31.00S,2023-01-28T03:19:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,9.149145860709593,56.86274509803921,1610612761,8,16,2023-01-28T03:19:39Z,470000,False,-34.0,34.0,1,left,MISS O. Anunoby driving Layup,[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,4.79,Missed,,,,,,,,,,,,,,,
48,PT07M29.00S,2023-01-28T03:19:37.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,8,16,2023-01-28T03:19:39Z,480000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,
49,PT07M25.00S,2023-01-28T03:19:42.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201939,90.48948751642575,55.88235294117647,1610612744,10,16,2023-01-28T03:19:48Z,490000,False,29.0,37.0,1,right,S. Curry running Layup (6 PTS) (D. Green 3 AST),"[201939, 203110]",1610612744.0,GSW,running,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,4.72,Made,6.0,,,,,,D. Green,203110.0,3.0,,,,,,
51,PT07M04.00S,2023-01-28T03:20:03.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,11.777266754270697,3.6764705882352944,1610612761,10,16,2023-01-28T03:20:07Z,510000,False,232.0,58.0,1,left,MISS P. Siakam 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,,,,23.88,Missed,,,,,,,,,,,,,,,
52,PT07M01.00S,2023-01-28T03:20:06.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,10,16,2023-01-28T03:20:07Z,520000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,
53,PT06M54.00S,2023-01-28T03:20:12.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,90.09526938239159,51.9607843137255,1610612744,12,16,2023-01-28T03:20:16Z,530000,False,10.0,41.0,1,right,K. Looney cutting DUNK (2 PTS) (S. Curry 1 AST),"[1626172, 201939]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,4.18,Made,2.0,,,,,,S. Curry,201939.0,1.0,,,,,,
56,PT06M38.00S,2023-01-28T03:20:45.1Z,1,REGULAR,3pt,Jump Shot,[],1627832,18.610381077529567,95.09803921568627,1610612761,12,19,2023-01-28T03:20:50Z,560000,False,-225.0,122.0,1,left,F. VanVleet 25' 3PT  (9 PTS) (O. Anunoby 1 AST),"[1627832, 1628384]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,25.66,Made,9.0,,,,,,O. Anunoby,1628384.0,1.0,,,,,,
58,PT06M29.00S,2023-01-28T03:20:54.4Z,1,REGULAR,3pt,Jump Shot,[],201939,69.33311432325887,15.196078431372548,1610612744,15,19,2023-01-28T03:21:46Z,580000,False,-174.0,236.0,1,right,S. Curry 29' 3PT  (9 PTS) (J. Poole 1 AST),"[201939, 1629673]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,29.3,Made,9.0,,,,,,J. Poole,1629673.0,1.0,,,,,,
60,PT06M14.00S,2023-01-28T03:21:09.7Z,1,REGULAR,2pt,Jump Shot,[],1627783,23.340998685939553,62.745098039215684,1610612761,15,19,2023-01-28T03:21:14Z,600000,False,-64.0,167.0,1,left,MISS P. Siakam 17' Jump Shot,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,,,,17.86,Missed,,,,,,,,,,,,,,,
61,PT06M12.00S,2023-01-28T03:21:11.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,15,19,2023-01-28T03:21:59Z,610000,False,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,16-24 Left Center,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,
62,PT06M05.00S,2023-01-28T03:21:18.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",202691,89.96386333771353,52.450980392156865,1610612744,17,19,2023-01-28T03:21:23Z,620000,False,12.0,42.0,1,right,K. Thompson running DUNK (6 PTS),[202691],1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,4.36,Made,6.0,,,,,,,,,,,,,,
63,PT05M52.00S,2023-01-28T03:21:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,8.623521681997373,41.911764705882355,1610612761,17,19,2023-01-28T03:21:34Z,630000,False,40.0,29.0,1,left,MISS S. Barnes cutting Layup,[1630567],1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,4.95,Missed,,,,,,,,,,,,,,,
64,PT05M50.00S,2023-01-28T03:21:33.2Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,17,19,2023-01-28T03:29:22Z,640000,False,,,0,,J. Poole REBOUND (Off:0 Def:2),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,
65,PT05M40.00S,2023-01-28T03:21:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,92.19776609724047,57.107843137254896,1610612744,17,19,2023-01-28T03:21:46Z,650000,False,36.0,21.0,1,right,MISS K. Looney cutting Layup,[1626172],1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,4.11,Missed,,,,,,,,,,,,,,,
66,PT05M38.00S,2023-01-28T03:21:45.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,17,19,2023-01-28T03:21:46Z,660000,False,,,0,,S. Barnes REBOUND (Off:0 Def:4),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,65.0,4.0,4.0,0.0,,,,,,,,,
67,PT05M35.00S,2023-01-28T03:21:48.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,15.456636005256241,3.431372549019608,1610612761,17,22,2023-01-28T03:24:10Z,670000,False,233.0,93.0,1,left,G. Trent Jr. 25' 3PT running (5 PTS) (P. Siakam 1 AST),"[1629018, 1627783]",1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right,,,,25.06,Made,5.0,,,,,,P. Siakam,1627783.0,1.0,,,,,,
69,PT05M17.00S,2023-01-28T03:22:06.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,91.93495400788436,44.36274509803921,1610612744,19,22,2023-01-28T03:22:12Z,690000,False,-28.0,23.0,1,right,K. Looney cutting DUNK (4 PTS) (S. Curry 2 AST),"[1626172, 201939]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,3.66,Made,4.0,,,,,,S. Curry,201939.0,2.0,,,,,,
71,PT05M05.00S,2023-01-28T03:22:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,9.280551905387648,39.950980392156865,1610612761,19,24,2023-01-28T03:22:24Z,710000,False,50.0,35.0,1,left,S. Barnes 6' cutting Layup (7 PTS) (F. VanVleet 1 AST),"[1630567, 1627832]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,6.1,Made,7.0,,,,,,F. VanVleet,1627832.0,1.0,,,,,,
73,PT05M05.00S,2023-01-28T03:22:22.3Z,1,REGULAR,foul,personal,['1freethrow'],1626172,,,1610612761,19,24,2023-01-28T03:22:29Z,730000,False,,,0,,K. Looney shooting personal FOUL (2 PF) (Barnes 1 FT),"[1626172, 1630567]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202041.0,,,,,,,,2.0,0.0,Barnes,1630567.0,,
75,PT05M05.00S,2023-01-28T03:22:30.4Z,1,REGULAR,substitution,out,[],1629673,,,1610612761,19,24,2023-01-28T03:22:58Z,750000,False,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M05.00S,2023-01-28T03:22:30.4Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,19,24,2023-01-28T03:22:58Z,760000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M05.00S,2023-01-28T03:22:30.4Z,1,REGULAR,substitution,in,[],1628978,,,1610612761,19,24,2023-01-28T03:22:58Z,770000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M05.00S,2023-01-28T03:22:30.4Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,19,24,2023-01-28T03:22:58Z,780000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M05.00S,2023-01-28T03:22:57.2Z,1,REGULAR,freethrow,1 of 1,[],1630567,,,1610612761,19,24,2023-01-28T03:22:59Z,790000,False,,,0,,MISS S. Barnes Free Throw 1 of 1,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
80,PT05M03.00S,2023-01-28T03:22:59.2Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,19,24,2023-01-28T03:22:59Z,800000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,
81,PT04M57.00S,2023-01-28T03:23:04.1Z,1,REGULAR,3pt,Jump Shot,[],1628978,80.1084099868594,95.83333333333334,1610612744,22,24,2023-01-28T03:23:09Z,810000,False,229.0,134.0,1,right,D. DiVincenzo 26' 3PT  (3 PTS) (S. Curry 3 AST),"[1628978, 201939]",1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,26.57,Made,3.0,,,,,,S. Curry,201939.0,3.0,,,,,,
83,PT04M36.00S,2023-01-28T03:23:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,16.63929040735874,34.55882352941176,1610612761,22,24,2023-01-28T03:23:31Z,830000,False,77.0,104.0,1,left,MISS P. Siakam 12' floating Shot,[1627783],1610612761.0,TOR,floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Right,,,,12.94,Missed,,,,,,,,,,,,,,,
84,PT04M35.00S,2023-01-28T03:23:26.2Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,22,24,2023-01-28T03:23:31Z,840000,False,,,0,,K. Looney REBOUND (Off:0 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,83.0,3.0,3.0,0.0,,,,,,,,,
85,PT04M30.00S,2023-01-28T03:23:32.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,75.77201051248358,12.009803921568627,1610612744,22,24,2023-01-28T03:23:38Z,850000,False,-190.0,175.0,1,right,MISS K. Thompson 25' running pullup 3PT,[202691],1610612744.0,GSW,running pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,,25.84,Missed,,,,,,,,,,,,,,,
86,PT04M28.00S,2023-01-28T03:23:34.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,22,24,2023-01-28T03:24:13Z,860000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,
