actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
19,PT10M59.00S,2022-10-19T02:42:25.3Z,1,REGULAR,freethrow,2 of 3,[],202691,,,1610612744,2,2,2022-10-19T02:43:03Z,180000,,,0,,K. Thompson Free Throw 2 of 3 (2 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
20,PT10M59.00S,2022-10-19T02:42:25.3Z,1,REGULAR,freethrow,3 of 3,[],202691,,,1610612744,2,2,2022-10-19T02:43:03Z,190000,,,0,,MISS K. Thompson Free Throw 3 of 3,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
21,PT10M57.00S,2022-10-19T02:42:27.3Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,2,2,2022-10-19T02:43:03Z,200000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,
23,PT10M39.00S,2022-10-19T02:43:33.0Z,1,REGULAR,2pt,Jump Shot,[],203076,90.3580814717477,19.11764705882353,1610612747,2,2,2022-10-19T02:43:40Z,220000,-154.0,38.0,1,right,MISS A. Davis 15' step back Shot,[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,,,15.9,Missed,,,,,,,,,,,,,
24,PT10M35.00S,2022-10-19T02:43:37.0Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,2,2,2022-10-19T02:43:40Z,230000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT10M27.00S,2022-10-19T02:43:44.5Z,1,REGULAR,2pt,Jump Shot,[],203110,29.962631406044675,52.447150735294116,1610612744,2,2,2022-10-19T02:53:18Z,240000,-12.0,229.0,1,left,MISS D. Green 22' Jump Shot,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Center,,,,,,22.94,Missed,,,,,,,,,,,,,
26,PT10M23.00S,2022-10-19T02:43:48.5Z,1,REGULAR,rebound,defensive,[],1629022,,,1610612747,2,2,2022-10-19T02:43:50Z,250000,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Center,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT10M17.00S,2022-10-19T02:43:54.1Z,1,REGULAR,turnover,lost ball,[],201566,,,1610612747,2,2,2022-10-19T02:44:00Z,260000,,,0,,R. Westbrook lost ball TURNOVER (1 TO),"[201566, 201939]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Curry,201939.0,,,,,
28,PT10M17.00S,2022-10-19T02:43:54.1Z,1,REGULAR,steal,,[],201939,,,1610612744,2,2,2022-10-19T02:56:53Z,270000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
29,PT10M07.00S,2022-10-19T02:44:04.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202691,9.937582128777924,72.79411764705883,1610612744,2,2,2022-10-19T02:44:09Z,280000,-114.0,41.0,1,left,MISS K. Thompson 12' fadeaway Shot,[202691],1610612744.0,GSW,fadeaway,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,,,,,,12.11,Missed,,,,,,,,,,,,,
30,PT10M05.00S,2022-10-19T02:44:06.9Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,2,2,2022-10-19T02:44:09Z,290000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Mid-Range,8-16 Left,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT09M49.00S,2022-10-19T02:44:23.0Z,1,REGULAR,3pt,Jump Shot,[],201976,70.17082785808148,75.75827205882352,1610612747,2,2,2022-10-19T02:44:34Z,300000,129.0,228.0,1,right,MISS P. Beverley 26' 3PT,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,,,,,,26.18,Missed,,,,,,,,,,,,,
32,PT09M46.00S,2022-10-19T02:44:26.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,2,2,2022-10-19T02:44:27Z,310000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,
33,PT09M34.00S,2022-10-19T02:44:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,17.427726675427067,54.65686274509803,1610612744,2,2,2022-10-19T02:44:42Z,320000,-23.0,111.0,1,left,MISS D. Green 11' floating Shot,[203110],1610612744.0,GSW,floating,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.37,Missed,,,,,,,,,,,,,
34,PT09M30.00S,2022-10-19T02:44:41.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,2,2022-10-19T02:44:42Z,330000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,
35,PT09M26.00S,2022-10-19T02:44:45.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,66.96780551905388,42.64705882352941,1610612747,2,2,2022-10-19T02:47:14Z,340000,-37.0,258.0,1,right,MISS L. James 26' pullup 3PT,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Above the Break 3,24+ Center,,,,,,26.06,Missed,,,,,,,,,,,,,
36,PT09M21.00S,2022-10-19T02:44:50.5Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,2,2,2022-10-19T02:44:53Z,350000,,,0,,S. Curry REBOUND (Off:0 Def:2),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,
37,PT09M18.00S,2022-10-19T02:44:55.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626172,6.783837056504599,45.09803921568628,1610612744,4,2,2022-10-19T02:47:52Z,360000,25.0,11.0,1,left,K. Looney running Layup (2 PTS) (K. Thompson 1 AST),"[1626172, 202691]",1610612744.0,GSW,running,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,2.7,Made,2.0,,,,,,,,K. Thompson,202691.0,1.0,,
39,PT09M18.00S,2022-10-19T02:45:00.8Z,1,REGULAR,foul,personal,['1freethrow'],201976,,,1610612744,4,2,2022-10-19T02:45:08Z,380000,,,0,,P. Beverley shooting personal FOUL (2 PF) (Looney 1 FT),"[201976, 1626172]",1610612747.0,LAL,shooting,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,1179.0,2.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,
41,PT09M18.00S,2022-10-19T02:45:22.8Z,1,REGULAR,substitution,out,[],201976,,,1610612744,4,2,2022-10-19T02:46:16Z,400000,,,0,,SUB out: P. Beverley,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M18.00S,2022-10-19T02:45:22.8Z,1,REGULAR,substitution,in,[],1630559,,,1610612744,4,2,2022-10-19T02:46:16Z,410000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M18.00S,2022-10-19T02:45:33.0Z,1,REGULAR,freethrow,1 of 1,[],1626172,,,1610612744,5,2,2022-10-19T02:45:33Z,420000,,,0,,K. Looney Free Throw 1 of 1 (3 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
44,PT08M58.00S,2022-10-19T02:45:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,92.06636005256242,50.73529411764706,1610612747,5,4,2022-10-19T02:46:01Z,430000,4.0,22.0,1,right,A. Davis alley-oop Layup (4 PTS) (L. Walker IV 1 AST),"[203076, 1629022]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,2.24,Made,4.0,,,,,,,,L. Walker IV,1629022.0,1.0,,
48,PT08M46.00S,2022-10-19T02:46:33.2Z,1,REGULAR,3pt,Jump Shot,[],202691,30.831143232588698,31.862745098039213,1610612744,5,4,2022-10-19T02:46:38Z,470000,91.0,237.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,25.4,Missed,,,,,,,,,,,,,
49,PT08M41.00S,2022-10-19T02:46:38.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,5,4,2022-10-19T02:46:38Z,480000,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,
50,PT08M38.00S,2022-10-19T02:46:40.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],2544,77.34888304862024,53.67647058823529,1610612747,5,4,2022-10-19T02:49:35Z,490000,18.0,160.0,1,right,MISS L. James 16' running pullup Shot,[2544],1610612747.0,LAL,running pullup,,,James,L. James,,,,,Mid-Range,16-24 Center,,,,,,16.15,Missed,,,,,,,,,,,,,
51,PT08M34.00S,2022-10-19T02:46:44.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,5,4,2022-10-19T02:46:51Z,500000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,16-24 Center,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,
52,PT08M29.00S,2022-10-19T02:46:52.3Z,1,REGULAR,foul,personal,['2freethrow'],2544,,,1610612744,5,4,2022-10-19T02:47:01Z,510000,,,0,,L. James shooting personal FOUL (1 PF) (Curry 2 FT),"[2544, 201939]",1610612747.0,LAL,shooting,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,1146.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,,,,
54,PT08M29.00S,2022-10-19T02:47:15.9Z,1,REGULAR,freethrow,1 of 2,[],201939,,,1610612744,6,4,2022-10-19T02:47:15Z,530000,,,0,,S. Curry Free Throw 1 of 2 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
55,PT08M29.00S,2022-10-19T02:47:33.1Z,1,REGULAR,freethrow,2 of 2,[],201939,,,1610612744,7,4,2022-10-19T02:47:33Z,540000,,,0,,S. Curry Free Throw 2 of 2 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
56,PT08M10.00S,2022-10-19T02:47:53.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,84.70762155059133,36.029411764705884,1610612747,7,4,2022-10-19T02:53:00Z,550000,-70.0,91.0,1,right,MISS L. James 11' step back Shot,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Left,,,,,,11.49,Missed,,,,,,,,,,,,,
57,PT08M05.00S,2022-10-19T02:47:58.6Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,7,4,2022-10-19T02:47:59Z,560000,,,0,,S. Curry REBOUND (Off:0 Def:3),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,56.0,3.0,3.0,0.0,,,,,,,,
58,PT07M56.00S,2022-10-19T02:48:06.2Z,1,REGULAR,2pt,Jump Shot,[],203952,16.90210249671485,71.07843137254902,1610612744,9,4,2022-10-19T02:48:15Z,570000,-105.0,106.0,1,left,A. Wiggins 14' pullup Jump Shot (2 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Left,,,,,,14.98,Made,2.0,,,,,,,,S. Curry,201939.0,1.0,,
60,PT07M40.00S,2022-10-19T02:48:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.59198423127464,45.83333333333333,1610612747,9,6,2022-10-19T02:48:28Z,590000,-21.0,17.0,1,right,R. Westbrook driving Layup (2 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,2.69,Made,2.0,,,,,,,,,,,,
61,PT07M27.00S,2022-10-19T02:48:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,6.652431011826544,37.99019607843137,1610612744,9,6,2022-10-19T02:48:42Z,600000,60.0,10.0,1,left,MISS S. Curry 6' driving Layup - blocked,"[201939, 1629022]",1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.08,Missed,,,,,,,,,,,,Walker IV,1629022.0
62,PT07M27.00S,2022-10-19T02:48:35.0Z,1,REGULAR,block,,[],1629022,,,1610612744,9,6,2022-10-19T02:48:37Z,610000,,,0,,L. Walker IV BLOCK (1 BLK),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT07M24.00S,2022-10-19T02:48:38.0Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,9,6,2022-10-19T02:48:42Z,620000,,,0,,S. Curry REBOUND (Off:1 Def:3),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,61.0,4.0,3.0,1.0,,,,,,,,
64,PT07M22.00S,2022-10-19T02:48:40.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201939,14.011169513797633,20.098039215686274,1610612744,11,6,2022-10-19T02:48:45Z,630000,150.0,79.0,1,left,S. Curry 16' fadeaway Jump Shot (4 PTS),[201939],1610612744.0,GSW,fadeaway,,,Curry,S. Curry,,,,,Mid-Range,16-24 Right,,,,,,16.92,Made,4.0,,,,,,,,,,,,
65,PT07M18.00S,2022-10-19T02:48:49.4Z,1,REGULAR,turnover,out-of-bounds,[],1629022,,,1610612747,11,6,2022-10-19T02:48:57Z,640000,,,0,,L. Walker IV step out-of-bounds TURNOVER (1 TO),[1629022],1610612747.0,LAL,step,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Left Center,202053.0,,,,,,,,,,,,1.0,,,,,,,
66,PT07M18.00S,2022-10-19T02:48:55.0Z,1,REGULAR,substitution,out,[],202691,,,1610612744,11,6,2022-10-19T02:48:59Z,650000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M18.00S,2022-10-19T02:48:55.0Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,11,6,2022-10-19T02:48:59Z,660000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M11.00S,2022-10-19T02:49:15.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,34.641918528252305,48.529411764705884,1610612744,11,6,2022-10-19T02:49:21Z,670000,7.0,273.0,1,left,MISS S. Curry 27' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,27.32,Missed,,,,,,,,,,,,,
69,PT07M06.00S,2022-10-19T02:49:20.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,11,6,2022-10-19T02:49:21Z,680000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,
70,PT06M59.00S,2022-10-19T02:49:27.4Z,1,REGULAR,3pt,Jump Shot,[],201566,68.80749014454665,63.970588235294116,1610612747,11,6,2022-10-19T02:49:32Z,690000,70.0,241.0,1,right,MISS R. Westbrook 25' 3PT,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,,,,,,25.06,Missed,,,,,,,,,,,,,
71,PT06M56.00S,2022-10-19T02:49:30.4Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,11,6,2022-10-19T02:49:32Z,700000,,,0,,S. Curry REBOUND (Off:1 Def:4),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,70.0,5.0,4.0,1.0,,,,,,,,
72,PT06M52.00S,2022-10-19T02:49:34.1Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,11,6,2022-10-19T02:49:37Z,710000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 201566]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Westbrook,201566.0,,,,,
73,PT06M52.00S,2022-10-19T02:49:34.1Z,1,REGULAR,steal,,[],201566,,,1610612747,11,6,2022-10-19T02:49:36Z,720000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
74,PT06M49.00S,2022-10-19T02:49:38.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630559,92.19776609724047,49.50980392156863,1610612747,11,8,2022-10-19T02:49:48Z,730000,-2.0,21.0,1,right,A. Reaves running Layup (2 PTS) (R. Westbrook 1 AST),"[1630559, 201566]",1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,2.09,Made,2.0,,,,,,,,R. Westbrook,201566.0,1.0,,
76,PT06M49.00S,2022-10-19T02:49:42.3Z,1,REGULAR,foul,personal,['1freethrow'],1629673,,,1610612747,11,8,2022-10-19T02:50:01Z,750000,,,0,,J. Poole shooting personal FOUL (1 PF) (Reaves 1 FT),"[1629673, 1630559]",1610612744.0,GSW,shooting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1179.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,,,,,,,
78,PT06M49.00S,2022-10-19T02:50:10.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,11,8,2022-10-19T02:51:10Z,770000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M49.00S,2022-10-19T02:52:45.6Z,1,REGULAR,substitution,out,[],201566,,,1610612747,11,8,2022-10-19T02:53:13Z,780000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M49.00S,2022-10-19T02:52:45.6Z,1,REGULAR,substitution,in,[],1629134,,,1610612747,11,8,2022-10-19T02:53:13Z,790000,,,0,,SUB in: K. Nunn,[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M49.00S,2022-10-19T02:53:26.0Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630559,,,1610612747,11,9,2022-10-19T02:53:26Z,800000,,,0,,A. Reaves Free Throw 1 of 1 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
82,PT06M27.00S,2022-10-19T02:53:49.3Z,1,REGULAR,3pt,Jump Shot,[],1629673,32.276609724047304,58.82352941176471,1610612744,14,9,2022-10-19T02:53:57Z,810000,-44.0,251.0,1,left,J. Poole 25' 3PT step back (3 PTS),[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,,,,25.47,Made,3.0,,,,,,,,,,,,
83,PT06M15.00S,2022-10-19T02:54:02.8Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612747,14,9,2022-10-19T02:54:10Z,820000,,,0,,D. Green shooting personal FOUL (1 PF) (Walker IV 2 FT),"[203110, 1629022]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,202053.0,1.0,0.0,Walker IV,1629022.0,,,,,,,,,,,,,,,
85,PT06M15.00S,2022-10-19T02:54:25.4Z,1,REGULAR,freethrow,1 of 2,[],1629022,,,1610612747,14,9,2022-10-19T02:54:25Z,840000,,,0,,MISS L. Walker IV Free Throw 1 of 2,[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
86,PT06M15.00S,2022-10-19T02:54:25.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,14,9,2022-10-19T02:54:25Z,850000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,
87,PT06M15.00S,2022-10-19T02:54:41.7Z,1,REGULAR,freethrow,2 of 2,[],1629022,,,1610612747,14,10,2022-10-19T02:54:41Z,860000,,,0,,L. Walker IV Free Throw 2 of 2 (1 PTS),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
88,PT06M02.00S,2022-10-19T02:54:55.4Z,1,REGULAR,2pt,Jump Shot,[],203952,22.815374507227332,27.941176470588236,1610612744,16,10,2022-10-19T02:55:04Z,870000,110.0,162.0,1,left,A. Wiggins 19' pullup Jump Shot (4 PTS),[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right Center,,,,,,19.6,Made,4.0,,,,,,,,,,,,
