actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M22.00S,2022-10-22T02:12:28.3Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,2,5,2022-10-22T02:27:04Z,170000,,,0,,N. Jokic bad pass TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,,,,,,
18,PT10M12.00S,2022-10-22T02:12:44.8Z,1,REGULAR,foul,personal,[],203999,,,1610612744,2,5,2022-10-22T02:13:17Z,180000,,,0,,N. Jokic personal FOUL (1 PF),"[203999, 201939]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1627961.0,,1.0,0.0,Curry,201939.0,,,,
20,PT10M05.00S,2022-10-22T02:13:07.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,69.46452036793693,68.38235294117648,1610612744,5,5,2022-10-22T02:13:19Z,200000,92.0,235.0,1,right,A. Wiggins 25' 3PT  (5 PTS) (K. Looney 2 AST),"[203952, 1626172]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,25.19,Made,5.0,K. Looney,1626172.0,2.0,,,,,,,,,,,,,,
22,PT09M50.00S,2022-10-22T02:13:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,7.835085413929041,55.63725490196079,1610612743,5,7,2022-10-22T02:13:27Z,220000,-28.0,21.0,1,left,K. Caldwell-Pope Layup (2 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,3.52,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
24,PT09M34.00S,2022-10-22T02:13:38.3Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612744,5,7,2022-10-22T02:13:43Z,240000,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 1629008]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,,,Porter Jr.,1629008.0,,
25,PT09M34.00S,2022-10-22T02:13:38.3Z,1,REGULAR,steal,,[],1629008,,,1610612743,5,7,2022-10-22T02:13:40Z,250000,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M30.00S,2022-10-22T02:13:42.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629008,33.065045992115635,59.55882352941176,1610612743,5,10,2022-10-22T02:13:48Z,260000,-48.0,258.0,1,left,M. Porter Jr. 26' 3PT  (6 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,26.27,Made,6.0,,,,,,,,,,,,,,,,,
27,PT09M20.00S,2022-10-22T02:13:55.2Z,1,REGULAR,violation,kicked ball,[],203484,,,1610612744,5,10,2022-10-22T02:14:20Z,270000,,,0,,K. Caldwell-Pope kicked ball VIOLATION,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,204058.0,,,,,,,,,
28,PT09M14.00S,2022-10-22T02:14:19.4Z,1,REGULAR,3pt,Jump Shot,[],201939,70.77858081471747,21.07843137254902,1610612744,8,10,2022-10-22T02:17:42Z,280000,-145.0,222.0,1,right,S. Curry 26' 3PT  (3 PTS) (K. Looney 3 AST),"[201939, 1626172]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,26.51,Made,3.0,K. Looney,1626172.0,3.0,,,,,,,,,,,,,,
30,PT09M14.00S,2022-10-22T02:14:23.9Z,1,REGULAR,foul,personal,['1freethrow'],1629008,,,1610612744,8,10,2022-10-22T02:14:36Z,300000,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Curry 1 FT),"[1629008, 201939]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,204058.0,,1.0,0.0,Curry,201939.0,,,,
32,PT09M14.00S,2022-10-22T02:15:02.0Z,1,REGULAR,freethrow,1 of 1,[],201939,,,1610612744,9,10,2022-10-22T02:15:02Z,320000,,,0,,S. Curry Free Throw 1 of 1 (4 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
33,PT09M04.00S,2022-10-22T02:15:17.1Z,1,REGULAR,foul,offensive,[],203932,,,1610612743,9,10,2022-10-22T02:15:31Z,330000,,,0,,A. Gordon offensive FOUL (1 PF),"[203932, 203110]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,204058.0,,1.0,0.0,Green,203110.0,,,,
35,PT09M04.00S,2022-10-22T02:15:17.1Z,1,REGULAR,turnover,offensive foul,[],203932,,,1610612743,9,10,2022-10-22T02:15:31Z,350000,,,0,,A. Gordon offensive foul TURNOVER (1 TO),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,204058.0,1.0,,,,,,,,
36,PT08M53.00S,2022-10-22T02:15:44.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203952,93.64323258869908,54.65686274509803,1610612744,11,10,2022-10-22T02:15:48Z,360000,23.0,7.0,1,right,A. Wiggins driving DUNK (7 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,2.44,Made,7.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
38,PT08M41.00S,2022-10-22T02:15:57.0Z,1,REGULAR,foul,personal,[],1626172,,,1610612743,11,10,2022-10-22T02:16:08Z,380000,,,0,,K. Looney personal FOUL (1 PF),"[1626172, 203999]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,204058.0,,1.0,0.0,Jokic,203999.0,,,,
40,PT08M33.00S,2022-10-22T02:16:19.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629008,16.113666228646515,45.83333333333333,1610612743,11,10,2022-10-22T02:16:27Z,400000,21.0,99.0,1,left,MISS M. Porter Jr. 10' Hook,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.12,Missed,,,,,,,,,,,,,,,,,,
41,PT08M30.00S,2022-10-22T02:16:22.9Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,11,10,2022-10-22T02:16:44Z,410000,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,40.0,3.0,2.0,1.0,,,,,,,,,,
42,PT08M28.00S,2022-10-22T02:16:24.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,5.590000152587891,50.0,1610612743,11,12,2022-10-22T02:16:24Z,420000,0.0,0.0,1,left,N. Jokic tip Layup (4 PTS),[203999],1610612743.0,DEN,tip,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
43,PT08M20.00S,2022-10-22T02:16:32.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,89.04402102496715,53.92156862745098,1610612744,13,12,2022-10-22T02:16:42Z,430000,20.0,50.0,1,right,K. Looney DUNK (2 PTS) (S. Curry 1 AST),"[1626172, 201939]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
45,PT07M54.00S,2022-10-22T02:16:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,7.046649145860711,57.107843137254896,1610612743,13,12,2022-10-22T03:16:41Z,450000,-36.0,14.0,1,left,MISS A. Gordon reverse Layup - blocked,"[203932, 203110]",1610612743.0,DEN,reverse,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.81,Missed,,,,,,,,,,,,,,,,,Green,203110.0
92,PT07M54.00S,2022-10-22T02:16:58.2Z,1,REGULAR,block,,[],203110,,,1610612743,13,12,2022-10-22T02:27:53Z,455000,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT07M52.00S,2022-10-22T02:17:00.2Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,13,12,2022-10-22T02:17:05Z,460000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,
47,PT07M43.00S,2022-10-22T02:17:09.7Z,1,REGULAR,2pt,Jump Shot,[],202691,90.3580814717477,17.647058823529413,1610612744,15,12,2022-10-22T02:17:16Z,470000,-162.0,38.0,1,right,K. Thompson 16' step back Jump Shot (2 PTS) (D. Green 2 AST),"[202691, 203110]",1610612744.0,GSW,step back,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left,16.62,Made,2.0,D. Green,203110.0,2.0,,,,,,,,,,,,,,
49,PT07M27.00S,2022-10-22T02:17:27.2Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612743,15,12,2022-10-22T02:17:37Z,490000,,,0,,D. Green shooting personal FOUL (1 PF) (Brown 2 FT),"[203110, 1628971]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2004.0,,1.0,0.0,Brown,1628971.0,,,,
51,PT07M27.00S,2022-10-22T02:17:59.2Z,1,REGULAR,freethrow,1 of 2,[],1628971,,,1610612743,15,13,2022-10-22T02:18:22Z,510000,,,0,,B. Brown Free Throw 1 of 2 (1 PTS),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
52,PT07M27.00S,2022-10-22T02:17:59.2Z,1,REGULAR,freethrow,2 of 2,[],1628971,,,1610612743,15,13,2022-10-22T02:18:22Z,520000,,,0,,MISS B. Brown Free Throw 2 of 2,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
53,PT07M26.00S,2022-10-22T02:18:00.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,15,13,2022-10-22T02:18:22Z,530000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,
54,PT07M22.00S,2022-10-22T02:18:19.3Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612744,15,13,2022-10-22T02:18:29Z,540000,,,0,,M. Porter Jr. shooting personal FOUL (2 PF) (Wiggins 2 FT),"[1629008, 203952]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2004.0,,2.0,0.0,Wiggins,203952.0,,,,
56,PT07M22.00S,2022-10-22T02:18:47.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203952,,,1610612744,15,13,2022-10-22T02:18:47Z,560000,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
57,PT07M22.00S,2022-10-22T02:18:47.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,15,13,2022-10-22T02:18:47Z,570000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,
58,PT07M22.00S,2022-10-22T02:18:51.2Z,1,REGULAR,substitution,out,[],1629008,,,1610612744,15,13,2022-10-22T02:18:59Z,580000,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M22.00S,2022-10-22T02:18:51.2Z,1,REGULAR,substitution,in,[],1631128,,,1610612744,15,13,2022-10-22T02:18:59Z,590000,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M22.00S,2022-10-22T02:19:16.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203952,,,1610612744,16,13,2022-10-22T02:19:16Z,600000,,,0,,A. Wiggins Free Throw 2 of 2 (8 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
61,PT07M04.00S,2022-10-22T02:19:35.6Z,1,REGULAR,3pt,Jump Shot,[],203484,19.530223390275953,91.66666666666666,1610612743,16,16,2022-10-22T02:19:40Z,610000,-208.0,131.0,1,left,K. Caldwell-Pope 24' 3PT  (5 PTS) (C. Braun 1 AST),"[203484, 1631128]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,24.61,Made,5.0,C. Braun,1631128.0,1.0,,,,,,,,,,,,,,
63,PT06M55.00S,2022-10-22T02:19:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,91.93495400788436,58.82352941176471,1610612744,18,16,2022-10-22T02:19:49Z,630000,44.0,23.0,1,right,S. Curry cutting Layup (6 PTS) (D. Green 3 AST),"[201939, 203110]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,4.99,Made,6.0,D. Green,203110.0,3.0,,,,,,,,,,,,,,
65,PT06M49.00S,2022-10-22T02:19:50.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203932,22.158344283837057,62.5,1610612743,18,18,2022-10-22T02:20:06Z,650000,-62.0,156.0,1,left,A. Gordon 16' Jump Shot (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,16.79,Made,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,
67,PT06M39.00S,2022-10-22T02:20:01.0Z,1,REGULAR,3pt,Jump Shot,[],201939,69.85873850197109,83.57843137254902,1610612744,18,18,2022-10-22T02:20:11Z,670000,168.0,231.0,1,right,MISS S. Curry 28' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,28.54,Missed,,,,,,,,,,,,,,,,,,
68,PT06M39.00S,2022-10-22T02:20:01.0Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,18,18,2022-10-22T02:20:11Z,680000,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,
69,PT06M28.00S,2022-10-22T02:20:11.7Z,1,REGULAR,2pt,Jump Shot,[],203484,25.57490144546649,32.59803921568628,1610612743,18,20,2022-10-22T02:20:17Z,690000,87.0,188.0,1,left,K. Caldwell-Pope 20' Jump Shot (7 PTS) (A. Gordon 1 AST),"[203484, 203932]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Right Center,20.71,Made,7.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,
70,PT06M19.00S,2022-10-22T02:20:23.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,18,20,2022-10-22T02:20:23Z,700000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M19.00S,2022-10-22T02:21:52.0Z,1,REGULAR,substitution,out,[],202691,,,1610612744,18,20,2022-10-22T02:23:55Z,710000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M19.00S,2022-10-22T02:21:52.0Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,18,20,2022-10-22T02:23:55Z,720000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M12.00S,2022-10-22T02:24:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,93.38042049934296,59.31372549019608,1610612744,20,20,2022-10-22T03:17:16Z,730000,47.0,10.0,1,right,K. Looney reverse Layup (4 PTS) (J. Poole 1 AST),"[1626172, 1629673]",1610612744.0,GSW,reverse,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,4.76,Made,4.0,J. Poole,1629673.0,1.0,,,,,,,,,,,,,,
76,PT05M59.00S,2022-10-22T02:24:21.5Z,1,REGULAR,3pt,Jump Shot,[],203999,27.283180026281208,80.63725490196079,1610612743,20,20,2022-10-22T02:24:29Z,750000,-153.0,204.0,1,left,MISS N. Jokic 25' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2022-10-22T02:24:25.5Z,1,REGULAR,rebound,offensive,[],1631128,,,1610612743,20,20,2022-10-22T02:24:29Z,760000,,,0,,C. Braun REBOUND (Off:1 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,,,,,,,76.0,2.0,1.0,1.0,,,,,,,,,,
78,PT05M44.00S,2022-10-22T02:24:35.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203999,12.434296977660972,48.77450980392157,1610612743,20,20,2022-10-22T02:24:42Z,770000,6.0,64.0,1,left,MISS N. Jokic 6' Hook,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,6.47,Missed,,,,,,,,,,,,,,,,,,
79,PT05M41.00S,2022-10-22T02:24:38.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,20,20,2022-10-22T04:51:13Z,780000,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,
80,PT05M26.00S,2022-10-22T02:24:53.6Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,20,20,2022-10-22T02:24:59Z,790000,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1631128]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,,,Braun,1631128.0,,
81,PT05M26.00S,2022-10-22T02:24:53.6Z,1,REGULAR,steal,,[],1631128,,,1610612743,20,20,2022-10-22T02:24:56Z,800000,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
82,PT05M25.00S,2022-10-22T02:24:58.2Z,1,REGULAR,foul,personal,[],203110,,,1610612743,20,20,2022-10-22T02:25:18Z,810000,,,0,,D. Green personal FOUL (2 PF),"[203110, 203932]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2004.0,,2.0,0.0,Gordon,203932.0,,,,
84,PT05M25.00S,2022-10-22T02:25:19.3Z,1,REGULAR,substitution,out,[],203110,,,1610612743,20,20,2022-10-22T02:25:22Z,830000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M25.00S,2022-10-22T02:25:19.3Z,1,REGULAR,substitution,in,[],203210,,,1610612743,20,20,2022-10-22T02:25:22Z,840000,,,0,,SUB in: J. Green,[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M16.00S,2022-10-22T02:25:34.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203484,23.603810775295663,44.85294117647059,1610612743,20,22,2022-10-22T02:25:45Z,850000,26.0,169.0,1,left,K. Caldwell-Pope 17' Jump Shot (9 PTS) (N. Jokic 3 AST),"[203484, 203999]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,17.13,Made,9.0,N. Jokic,203999.0,3.0,,,,,,,,,,,,,,
88,PT05M03.00S,2022-10-22T02:25:50.7Z,1,REGULAR,foul,personal,['3freethrow'],1628971,,,1610612744,20,22,2022-10-22T02:25:58Z,870000,,,0,,B. Brown shooting personal FOUL (1 PF) (Curry 3 FT),"[1628971, 201939]",1610612743.0,DEN,shooting,,,Brown,B. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2004.0,,1.0,0.0,Curry,201939.0,,,,
90,PT05M03.00S,2022-10-22T02:26:19.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,20,22,2022-10-22T02:26:19Z,890000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M03.00S,2022-10-22T02:30:06.1Z,1,REGULAR,freethrow,1 of 3,[],201939,,,1610612744,21,22,2022-10-22T02:30:06Z,910000,,,0,,S. Curry Free Throw 1 of 3 (7 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
94,PT05M03.00S,2022-10-22T02:30:19.3Z,1,REGULAR,freethrow,2 of 3,[],201939,,,1610612744,22,22,2022-10-22T02:30:19Z,920000,,,0,,S. Curry Free Throw 2 of 3 (8 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
