actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
55,PT07M17.00S,2023-03-04T03:20:54.3Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,6,13,2023-03-04T03:20:55Z,540000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,McCollum,C. McCollum,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,
56,PT07M07.00S,2023-03-04T03:21:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,92.9862023653088,43.38235294117647,1610612740,6,15,2023-03-04T03:21:11Z,550000,False,-33.0,13.0,1,right,H. Jones cutting Layup (4 PTS),[1630529],1610612740.0,NOP,cutting,,,,,,Restricted Area,0-8 Center,3.57,Made,4.0,Jones,H. Jones,,,,,,,,,,,,,,,,,,
58,PT06M48.00S,2023-03-04T03:21:23.5Z,1,REGULAR,3pt,Jump Shot,[],1629673,32.53942181340342,58.57843137254902,1610612744,6,15,2023-03-04T03:21:29Z,570000,False,-43.0,253.0,1,left,MISS J. Poole 25' 3PT,[1629673],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Center,25.7,Missed,,Poole,J. Poole,,,,,,,,,,,,,,,,,,
59,PT06M44.00S,2023-03-04T03:21:27.5Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,6,15,2023-03-04T03:21:29Z,580000,False,,,0,,W. Hernangomez REBOUND (Off:0 Def:3),[1626195],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,,,,Hernangomez,W. Hernangomez,,,,,,,,58.0,3.0,3.0,0.0,,,,,,,
60,PT06M38.00S,2023-03-04T03:21:33.8Z,1,REGULAR,2pt,Jump Shot,[],203468,92.19776609724047,74.26470588235294,1610612740,6,17,2023-03-04T03:21:37Z,590000,False,121.0,21.0,1,right,C. McCollum 12' Jump Shot (5 PTS) (T. Murphy III 2 AST),"[203468, 1630530]",1610612740.0,NOP,,,,,,,Mid-Range,8-16 Right,12.31,Made,5.0,McCollum,C. McCollum,T. Murphy III,1630530.0,2.0,,,,,,,,,,,,,,,
62,PT06M12.00S,2023-03-04T03:21:58.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,15.062417871222076,36.76470588235294,1610612744,8,17,2023-03-04T03:22:02Z,610000,False,66.0,89.0,1,left,K. Thompson 11' fadeaway Jump Shot (4 PTS) (J. Poole 2 AST),"[202691, 1629673]",1610612744.0,GSW,fadeaway,,,,,,In The Paint (Non-RA),8-16 Right,11.1,Made,4.0,Thompson,K. Thompson,J. Poole,1629673.0,2.0,,,,,,,,,,,,,,,
64,PT06M04.00S,2023-03-04T03:22:08.9Z,1,REGULAR,foul,offensive,[],1626195,,,1610612740,8,17,2023-03-04T03:22:18Z,630000,False,,,0,,W. Hernangomez off-the-ball offensive FOUL (1 PF),"[1626195, 1629673]",1610612740.0,NOP,off-the-ball,,,,,,Mid-Range,16-24 Right Center,,,,Hernangomez,W. Hernangomez,,,,2882.0,,,,,,,,1.0,0.0,Poole,1629673.0,,,
66,PT06M04.00S,2023-03-04T03:22:08.9Z,1,REGULAR,turnover,offensive foul,[],1626195,,,1610612740,8,17,2023-03-04T03:22:08Z,650000,False,,,0,,W. Hernangomez offensive foul TURNOVER (1 TO),[1626195],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Right Center,,,,Hernangomez,W. Hernangomez,,,,2882.0,1.0,,,,,,,,,,,,,
67,PT06M04.00S,2023-03-04T03:22:14.5Z,1,REGULAR,substitution,out,[],1629673,,,1610612744,8,17,2023-03-04T03:22:21Z,660000,False,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,,,,,,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,
68,PT06M04.00S,2023-03-04T03:22:14.5Z,1,REGULAR,substitution,out,[],1626195,,,1610612744,8,17,2023-03-04T03:22:21Z,670000,False,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,,,,,,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,
69,PT06M04.00S,2023-03-04T03:22:14.5Z,1,REGULAR,substitution,in,[],1629660,,,1610612744,8,17,2023-03-04T03:22:21Z,680000,False,,,0,,SUB in: T. Jerome,[1629660],1610612744.0,GSW,,,,,,,,,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,
70,PT06M04.00S,2023-03-04T03:22:14.5Z,1,REGULAR,substitution,in,[],1629637,,,1610612744,8,17,2023-03-04T03:22:21Z,690000,False,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,,,,,,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,
71,PT05M55.00S,2023-03-04T03:22:40.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202691,28.86005256241787,77.20588235294117,1610612744,8,17,2023-03-04T03:22:44Z,700000,False,-136.0,219.0,1,left,MISS K. Thompson 25' pullup 3PT,[202691],1610612744.0,GSW,pullup,,,,,,Above the Break 3,24+ Left Center,25.76,Missed,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,
72,PT05M53.00S,2023-03-04T03:22:42.3Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,8,17,2023-03-04T03:22:44Z,710000,False,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Left Center,,,,Ingram,B. Ingram,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,
73,PT05M48.00S,2023-03-04T03:22:48.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,94.56307490144546,94.11764705882352,1610612740,8,20,2023-03-04T03:22:53Z,720000,False,221.0,-1.0,1,right,T. Murphy III 3PT  (5 PTS) (C. McCollum 1 AST),"[1630530, 203468]",1610612740.0,NOP,,,,,,,Right Corner 3,24+ Right,22.06,Made,5.0,Murphy III,T. Murphy III,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,,
75,PT05M32.00S,2023-03-04T03:23:03.9Z,1,REGULAR,turnover,bad pass,[],1629660,,,1610612744,8,20,2023-03-04T03:23:06Z,740000,False,,,0,,T. Jerome bad pass TURNOVER (1 TO),"[1629660, 1629637]",1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jerome,T. Jerome,,,,,1.0,Hayes,1629637.0,,,,,,,,,,,
76,PT05M32.00S,2023-03-04T03:23:03.9Z,1,REGULAR,steal,,[],1629637,,,1610612740,8,20,2023-03-04T03:23:05Z,750000,False,,,0,,J. Hayes STEAL (1 STL),[1629637],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,
77,PT05M26.00S,2023-03-04T03:23:09.8Z,1,REGULAR,turnover,bad pass,[],1629637,,,1610612740,8,20,2023-03-04T03:23:13Z,760000,False,,,0,,J. Hayes bad pass TURNOVER (1 TO),"[1629637, 1630228]",1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Hayes,J. Hayes,,,,,1.0,Kuminga,1630228.0,,,,,,,,,,,
78,PT05M26.00S,2023-03-04T03:23:09.8Z,1,REGULAR,steal,,[],1630228,,,1610612744,8,20,2023-03-04T04:11:58Z,770000,False,,,0,,J. Kuminga STEAL (1 STL),[1630228],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
79,PT05M15.00S,2023-03-04T03:23:21.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630228,4.944152431011826,95.83333333333334,1610612744,8,20,2023-03-04T03:26:12Z,780000,False,-229.0,-6.0,1,left,MISS J. Kuminga pullup 3PT,[1630228],1610612744.0,GSW,pullup,,,,,,Left Corner 3,24+ Left,22.93,Missed,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
80,PT05M12.00S,2023-03-04T03:23:24.4Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,8,20,2023-03-04T03:23:26Z,790000,False,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,,,,Left Corner 3,24+ Left,,,,McCollum,C. McCollum,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,
81,PT05M07.00S,2023-03-04T03:23:29.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,92.06636005256242,56.61764705882353,1610612740,8,20,2023-03-04T03:23:35Z,800000,False,33.0,22.0,1,right,MISS B. Ingram running Layup,[1627742],1610612740.0,NOP,running,,,,,,Restricted Area,0-8 Center,3.98,Missed,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
82,PT05M04.00S,2023-03-04T03:23:32.2Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612744,8,20,2023-03-04T03:23:35Z,810000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612744.0,GSW,,,,,,,Restricted Area,0-8 Center,,,,DiVincenzo,D. DiVincenzo,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,
83,PT04M43.00S,2023-03-04T03:23:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,7.966491458607096,39.950980392156865,1610612744,8,20,2023-03-04T03:24:02Z,820000,False,50.0,22.0,1,left,MISS K. Looney driving Layup,[1626172],1610612744.0,GSW,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,,Looney,K. Looney,,,,,,,,,,,,,,,,,,
84,PT04M40.00S,2023-03-04T03:23:55.9Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,8,20,2023-03-04T03:24:02Z,830000,False,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Looney,K. Looney,,,,,,,,83.0,2.0,1.0,1.0,,,,,,,
85,PT04M40.00S,2023-03-04T03:23:55.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626172,5.590000152587891,50.0,1610612744,10,20,2023-03-04T03:23:55Z,840000,False,0.0,0.0,1,left,K. Looney tip Layup (4 PTS),[1626172],1610612744.0,GSW,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,Looney,K. Looney,,,,,,,,,,,,,,,,,,
86,PT04M25.00S,2023-03-04T03:24:10.0Z,1,REGULAR,3pt,Jump Shot,[],203468,63.81406044678055,40.44117647058824,1610612740,10,20,2023-03-04T03:24:14Z,850000,False,-48.0,288.0,1,right,MISS C. McCollum 29' 3PT,[203468],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Center,29.15,Missed,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
