actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
40,PT08M14.00S,2022-10-28T02:15:57.0Z,1,REGULAR,3pt,Jump Shot,[],202691,76.42904073587385,90.68627450980392,1610612744,12,11,2022-10-28T02:16:02Z,400000,203.0,169.0,1,right,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,26.45,Missed,,,,,,,,,,,,,,,,,,
41,PT08M12.00S,2022-10-28T02:15:59.0Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,12,11,2022-10-28T02:16:02Z,410000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT08M06.00S,2022-10-28T02:16:07.3Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,12,11,2022-10-28T02:16:13Z,420000,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (1 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,,,1201.0,,,,,,
44,PT07M46.00S,2022-10-28T02:16:49.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201939,92.59198423127464,58.57843137254902,1610612744,14,11,2022-10-28T02:16:54Z,440000,43.0,17.0,1,right,S. Curry driving Layup (4 PTS),[201939],1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,,,,,4.0,,,,,,,,,,,,,
45,PT07M35.00S,2022-10-28T02:17:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.521024967148489,55.63725490196079,1610612748,14,11,2022-10-28T02:17:25Z,450000,-28.0,9.0,1,left,MISS T. Herro driving Layup - blocked,"[1629639, 203952]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,2.95,Missed,,,,,,,,,,,,,,,,,Wiggins,203952.0
46,PT07M35.00S,2022-10-28T02:17:02.9Z,1,REGULAR,block,,[],203952,,,1610612748,14,11,2022-10-28T02:20:43Z,460000,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT07M33.00S,2022-10-28T02:17:04.9Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,14,11,2022-10-28T02:17:25Z,470000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M31.00S,2022-10-28T02:17:08.1Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612744,14,11,2022-10-28T02:17:14Z,480000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Wiggins 2 FT),"[200768, 203952]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,203593.0,1.0,0.0,Wiggins,203952.0,,
50,PT07M31.00S,2022-10-28T02:17:40.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203952,,,1610612744,15,11,2022-10-28T02:17:40Z,500000,,,0,,A. Wiggins Free Throw 1 of 2 (4 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
51,PT07M31.00S,2022-10-28T02:17:56.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203952,,,1610612744,16,11,2022-10-28T02:17:56Z,510000,,,0,,A. Wiggins Free Throw 2 of 2 (5 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
52,PT07M13.00S,2022-10-28T02:18:18.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,15.719448094612352,47.30392156862745,1610612748,16,13,2022-10-28T02:18:24Z,520000,13.0,95.0,1,left,B. Adebayo 9' floating Jump Shot (4 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,9.63,Made,,,,,4.0,K. Lowry,200768.0,1.0,,,,,,,,,,
54,PT06M55.00S,2022-10-28T02:18:34.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,91.01511169513797,56.127450980392155,1610612744,18,13,2022-10-28T02:18:41Z,540000,31.0,32.0,1,right,K. Looney DUNK (2 PTS) (D. Green 2 AST),"[1626172, 203110]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,4.43,Made,,,,,2.0,D. Green,203110.0,2.0,,,,,,,,,,
56,PT06M37.00S,2022-10-28T02:18:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,8.229303547963205,38.23529411764706,1610612748,18,13,2022-10-28T02:18:58Z,560000,59.0,25.0,1,left,MISS C. Martin 6' driving Layup,[1628997],1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,6.39,Missed,,,,,,,,,,,,,,,,,,
57,PT06M35.00S,2022-10-28T02:18:55.4Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,18,13,2022-10-28T02:20:02Z,570000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,56.0,1.0,0.0,1.0,,,,,,,,,,,,,,
58,PT06M33.00S,2022-10-28T02:18:56.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628997,5.590000152587891,50.0,1610612748,18,13,2022-10-28T02:18:56Z,580000,0.0,0.0,1,left,MISS C. Martin tip Layup,[1628997],1610612748.0,MIA,tip,,,Martin,C. Martin,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
59,PT06M33.00S,2022-10-28T02:18:57.3Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,18,13,2022-10-28T02:18:57Z,590000,,,0,,K. Looney REBOUND (Off:0 Def:4),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,8-16 Left,,,58.0,4.0,4.0,0.0,,,,,,,,,,,,,,
60,PT06M21.00S,2022-10-28T02:19:09.4Z,1,REGULAR,3pt,Jump Shot,[],203952,73.53810775295663,86.27450980392157,1610612744,18,13,2022-10-28T02:19:13Z,600000,181.0,196.0,1,right,MISS A. Wiggins 26' pullup 3PT,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,26.72,Missed,,,,,,,,,,,,,,,,,,
61,PT06M18.00S,2022-10-28T02:19:12.4Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,18,13,2022-10-28T02:19:13Z,610000,,,0,,K. Lowry REBOUND (Off:0 Def:2),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,
62,PT06M14.00S,2022-10-28T02:19:16.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202710,19.92444152431012,5.88235294117647,1610612748,18,16,2022-10-28T02:20:12Z,620000,221.0,135.0,1,left,J. Butler 25' 3PT running (7 PTS) (K. Lowry 2 AST),"[202710, 200768]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Above the Break 3,24+ Right Center,25.85,Made,,,,,7.0,K. Lowry,200768.0,2.0,,,,,,,,,,
64,PT06M03.00S,2022-10-28T02:19:27.4Z,1,REGULAR,3pt,Jump Shot,[],201939,64.47109067017082,28.921568627450984,1610612744,21,16,2022-10-28T02:19:42Z,640000,-105.0,281.0,1,right,S. Curry 30' 3PT step back (7 PTS) (A. Wiggins 1 AST),"[201939, 203952]",1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,30.06,Made,,,,,7.0,A. Wiggins,203952.0,1.0,,,,,,,,,,
67,PT05M45.00S,2022-10-28T02:19:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,8.360709592641262,55.14705882352941,1610612748,21,18,2022-10-28T02:19:50Z,670000,-26.0,26.0,1,left,K. Lowry driving Layup (2 PTS) (J. Butler 2 AST),"[200768, 202710]",1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,3.66,Made,,,,,2.0,J. Butler,202710.0,2.0,,,,,,,,,,
69,PT05M36.00S,2022-10-28T02:19:57.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,21,18,2022-10-28T02:19:57Z,690000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M36.00S,2022-10-28T02:22:23.5Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,21,18,2022-10-28T02:23:01Z,700000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M36.00S,2022-10-28T02:22:23.5Z,1,REGULAR,substitution,out,[],1628997,,,1610612744,21,18,2022-10-28T02:23:01Z,710000,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M36.00S,2022-10-28T02:22:23.5Z,1,REGULAR,substitution,out,[],1628389,,,1610612744,21,18,2022-10-28T02:23:01Z,720000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M36.00S,2022-10-28T02:22:23.5Z,1,REGULAR,substitution,in,[],1630164,,,1610612744,21,18,2022-10-28T02:23:01Z,730000,,,0,,SUB in: J. Wiseman,[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M36.00S,2022-10-28T02:22:23.5Z,1,REGULAR,substitution,in,[],1629622,,,1610612744,21,18,2022-10-28T02:23:01Z,740000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M36.00S,2022-10-28T02:22:23.5Z,1,REGULAR,substitution,in,[],1631107,,,1610612744,21,18,2022-10-28T02:23:01Z,750000,,,0,,SUB in: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M24.00S,2022-10-28T02:23:21.2Z,1,REGULAR,3pt,Jump Shot,[],203110,76.2976346911958,13.970588235294118,1610612744,21,18,2022-10-28T02:23:26Z,760000,-180.0,170.0,1,right,MISS D. Green 24' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,24.79,Missed,,,,,,,,,,,,,,,,,,
77,PT05M21.00S,2022-10-28T02:23:24.2Z,1,REGULAR,rebound,offensive,[],1630164,,,1610612744,21,18,2022-10-28T02:23:26Z,770000,,,0,,J. Wiseman REBOUND (Off:1 Def:0),[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Left Center,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,,
78,PT05M20.00S,2022-10-28T02:23:25.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,71.04139290407359,75.98039215686273,1610612744,21,18,2022-10-28T02:23:30Z,780000,130.0,220.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.52,Missed,,,,,,,,,,,,,,,,,,
79,PT05M16.00S,2022-10-28T02:23:29.4Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,21,18,2022-10-28T02:23:30Z,790000,,,0,,K. Lowry REBOUND (Off:0 Def:3),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,,
80,PT05M05.00S,2022-10-28T02:23:39.6Z,1,REGULAR,2pt,Jump Shot,[],1629639,22.026938239159,47.549019607843135,1610612748,21,20,2022-10-28T02:25:07Z,800000,12.0,155.0,1,left,T. Herro 15' driving floating Jump Shot (5 PTS) (N. Jovic 1 AST),"[1629639, 1631107]",1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,Mid-Range,8-16 Center,15.51,Made,,,,,5.0,N. Jovic,1631107.0,1.0,,,,,,,,,,
82,PT04M55.00S,2022-10-28T02:23:49.8Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,21,20,2022-10-28T02:23:53Z,820000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 200768]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Lowry,200768.0,,,,,,,
83,PT04M55.00S,2022-10-28T02:23:49.8Z,1,REGULAR,steal,,[],200768,,,1610612748,21,20,2022-10-28T02:23:51Z,830000,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
84,PT04M48.00S,2022-10-28T02:23:57.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200768,34.90473061760841,45.588235294117645,1610612748,21,20,2022-10-28T02:24:02Z,840000,22.0,276.0,1,left,MISS K. Lowry 27' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Center,27.65,Missed,,,,,,,,,,,,,,,,,,
85,PT04M44.00S,2022-10-28T02:24:01.2Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,21,20,2022-10-28T02:24:02Z,850000,,,0,,S. Curry REBOUND (Off:1 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,84.0,2.0,1.0,1.0,,,,,,,,,,,,,,
86,PT04M39.00S,2022-10-28T02:24:06.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203110,92.85479632063075,60.049019607843135,1610612744,23,20,2022-10-28T02:26:30Z,860000,50.0,15.0,1,right,D. Green running Layup (4 PTS) (S. Curry 2 AST),"[203110, 201939]",1610612744.0,GSW,running,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,5.23,Made,,,,,4.0,S. Curry,201939.0,2.0,,,,,,,,,,
88,PT04M15.00S,2022-10-28T02:24:33.0Z,1,REGULAR,foul,personal,[],202691,,,1610612748,23,20,2022-10-28T02:24:40Z,880000,,,0,,K. Thompson personal FOUL (1 PF),"[202691, 202710]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,203593.0,1.0,0.0,Butler,202710.0,,
