actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
607,PT07M40.00S,2022-11-15T05:02:06.8Z,4,REGULAR,turnover,inbound,[],1631157,,,1610612744,111,80,2022-11-15T05:02:42Z,5950000,False,,,0,,R. Rollins inbound TURNOVER (2 TO),[1631157],1610612744.0,GSW,,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2715.0,,,,,2.0,,,,,,,,
608,PT07M37.00S,2022-11-15T05:02:18.6Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],203476,67.7562417871222,63.48039215686274,1610612759,111,80,2022-11-15T05:02:37Z,5960000,False,67.0,251.0,1,right,MISS G. Dieng 25' 3PT,[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,Above the Break 3,24+ Center,25.95,Missed,,,,,,,,,,,,,,,,,,
609,PT07M32.00S,2022-11-15T05:02:23.5Z,4,REGULAR,rebound,defensive,[],1631157,,,1610612744,111,80,2022-11-15T05:02:23Z,5970000,False,,,0,,R. Rollins REBOUND (Off:0 Def:1),[1631157],1610612744.0,GSW,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,608.0,1.0,1.0,0.0,,,,
610,PT07M14.00S,2022-11-15T05:02:41.2Z,4,REGULAR,3pt,Jump Shot,[],1630228,29.77989487516426,21.813725490196077,1610612744,111,80,2022-11-15T05:02:46Z,5980000,False,141.0,227.0,1,left,MISS J. Kuminga 26' 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,26.75,Missed,,,,,,,,,,,,,,,,,,
611,PT07M10.00S,2022-11-15T05:02:45.2Z,4,REGULAR,rebound,defensive,[],1631160,,,1610612759,111,80,2022-11-15T05:02:46Z,5990000,False,,,0,,J. Hall REBOUND (Off:1 Def:1),[1631160],1610612759.0,SAS,,,,Hall,J. Hall,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,610.0,2.0,1.0,1.0,,,,
612,PT06M58.00S,2022-11-15T05:02:57.9Z,4,REGULAR,3pt,Jump Shot,[],1628966,77.66097240473061,10.317095588235293,1610612759,111,80,2022-11-15T05:03:04Z,6000000,False,-198.0,157.0,1,right,MISS K. Bates-Diop 25' 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
613,PT06M52.00S,2022-11-15T05:03:03.9Z,4,REGULAR,rebound,defensive,[],1630228,,,1610612744,111,80,2022-11-15T05:03:04Z,6010000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:2),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,612.0,2.0,2.0,0.0,,,,
614,PT06M43.00S,2022-11-15T05:03:12.3Z,4,REGULAR,3pt,Jump Shot,[],1630541,31.882391590013142,45.34313725490196,1610612744,111,80,2022-11-15T05:03:16Z,6020000,False,23.0,247.0,1,left,MISS M. Moody 24' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Center,24.83,Missed,,,,,,,,,,,,,,,,,,
615,PT06M40.00S,2022-11-15T05:03:15.3Z,4,REGULAR,rebound,defensive,[],203476,,,1610612759,111,80,2022-11-15T05:03:16Z,6030000,False,,,0,,G. Dieng REBOUND (Off:1 Def:1),[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,614.0,2.0,1.0,1.0,,,,
616,PT06M30.00S,2022-11-15T05:03:25.9Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629676,93.64323258869908,51.71568627450981,1610612759,111,82,2022-11-15T05:03:30Z,6040000,False,9.0,7.0,1,right,I. Roby driving Layup (8 PTS) (K. Bates-Diop 2 AST),"[1629676, 1628966]",1610612759.0,SAS,driving,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,1.13,Made,8.0,K. Bates-Diop,1628966.0,2.0,,,,,,,,,,,,,,
