actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT11M11.00S,2023-03-01T03:11:46.3Z,1,REGULAR,steal,,[],203110,,,1610612744,0,0,2023-03-01T03:16:00Z,160000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2023-03-01T03:12:02.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202691,92.32917214191852,59.55882352941176,1610612744,0,0,2023-03-01T03:12:06Z,170000,False,48.0,20.0,1,right,MISS K. Thompson driving Layup,[202691],1610612744.0,GSW,driving,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,5.17,Missed,,,,,,,,,,,,,,,,,,
18,PT10M52.00S,2023-03-01T03:12:04.3Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,0,0,2023-03-01T03:12:06Z,180000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M45.00S,2023-03-01T03:12:10.8Z,1,REGULAR,2pt,Jump Shot,[],203081,21.23850197109067,21.07843137254902,1610612757,0,2,2023-03-01T03:12:16Z,190000,False,145.0,147.0,1,left,D. Lillard 20' step back Jump Shot (2 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right Center,20.63,Made,,,,,,,,,,2.0,,,,,,,,
20,PT10M26.00S,2023-03-01T03:12:32.2Z,1,REGULAR,foul,offensive,[],202691,,,1610612744,0,2,2023-03-01T03:12:43Z,200000,False,,,0,,K. Thompson offensive FOUL (1 PF),"[202691, 203924]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1627962.0,1.0,0.0,Grant,203924.0,,,
22,PT10M26.00S,2023-03-01T03:12:32.2Z,1,REGULAR,turnover,offensive foul,[],202691,,,1610612744,0,2,2023-03-01T03:12:32Z,220000,False,,,0,,K. Thompson offensive foul TURNOVER (1 TO),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,,,,1627962.0,,,,,,,
23,PT10M13.00S,2023-03-01T03:12:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629680,9.937582128777924,4.901960784313726,1610612757,0,5,2023-03-01T03:13:01Z,230000,False,225.0,41.0,1,left,M. Thybulle 3PT  (3 PTS) (D. Eubanks 1 AST),"[1629680, 1629234]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,22.92,Made,,,,,,,,,,3.0,,,,,,D. Eubanks,1629234.0,1.0
25,PT09M54.00S,2023-03-01T03:13:17.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626172,91.27792378449409,50.73529411764706,1610612744,2,5,2023-03-01T03:13:22Z,250000,False,4.0,29.0,1,right,K. Looney Hook (2 PTS) (J. Poole 1 AST),"[1626172, 1629673]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,,,,,,2.0,,,,,,J. Poole,1629673.0,1.0
27,PT09M44.00S,2023-03-01T03:13:25.6Z,1,REGULAR,3pt,Jump Shot,[],1629680,6.521024967148489,4.166666666666666,1610612757,2,8,2023-03-01T03:13:30Z,270000,False,229.0,9.0,1,left,M. Thybulle 3PT  (6 PTS) (D. Lillard 1 AST),"[1629680, 203081]",1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,22.94,Made,,,,,,,,,,6.0,,,,,,D. Lillard,203081.0,1.0
29,PT09M28.00S,2023-03-01T03:13:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,92.59198423127464,54.41176470588235,1610612744,2,8,2023-03-01T03:13:47Z,290000,False,22.0,17.0,1,right,MISS K. Looney cutting Layup,[1626172],1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,2.79,Missed,,,,,,,,,,,,,,,,,,
30,PT09M27.00S,2023-03-01T03:13:43.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,2,8,2023-03-01T03:13:47Z,300000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,29.0,,,,,,,,,,,,,,,
32,PT09M13.00S,2023-03-01T03:14:08.0Z,1,REGULAR,3pt,Jump Shot,[],203924,23.866622864651774,87.74509803921569,1610612757,2,8,2023-03-01T03:14:14Z,320000,False,-189.0,172.0,1,left,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,25.52,Missed,,,,,,,,,,,,,,,,,,
33,PT09M10.00S,2023-03-01T03:14:11.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,8,2023-03-01T03:14:15Z,330000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,
34,PT08M56.00S,2023-03-01T03:14:24.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628978,85.75886990801577,46.81372549019608,1610612744,2,8,2023-03-01T03:14:30Z,340000,False,-16.0,81.0,1,right,MISS D. DiVincenzo 8' driving floating Shot,[1628978],1610612744.0,GSW,driving floating,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,8.29,Missed,,,,,,,,,,,,,,,,,,
35,PT08M54.00S,2023-03-01T03:14:26.9Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,2,8,2023-03-01T03:14:30Z,350000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),8-16 Center,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,,,
36,PT08M53.00S,2023-03-01T03:14:28.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1626172,89.30683311432325,48.529411764705884,1610612744,4,8,2023-03-01T03:14:33Z,360000,False,-7.0,48.0,1,right,K. Looney Hook (4 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,4.86,Made,,,,,,,,,,4.0,,,,,,,,
37,PT08M45.00S,2023-03-01T03:14:39.1Z,1,REGULAR,foul,personal,[],1629673,,,1610612757,4,8,2023-03-01T03:14:46Z,370000,False,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 203081]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1628159.0,1.0,0.0,Lillard,203081.0,,,
39,PT08M38.00S,2023-03-01T03:15:01.0Z,1,REGULAR,3pt,Jump Shot,[],1629629,12.302890932982917,95.58823529411765,1610612757,4,11,2023-03-01T03:15:05Z,390000,False,-228.0,63.0,1,left,C. Reddish 3PT  (3 PTS) (D. Eubanks 2 AST),"[1629629, 1629234]",1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Left Corner 3,24+ Left,23.65,Made,,,,,,,,,,3.0,,,,,,D. Eubanks,1629234.0,2.0
41,PT08M25.00S,2023-03-01T03:15:14.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,74.58935611038108,11.519607843137255,1610612744,7,11,2023-03-01T03:15:18Z,410000,False,-192.0,186.0,1,right,J. Poole 26' 3PT step back (3 PTS) (D. Green 1 AST),"[1629673, 203110]",1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,26.79,Made,,,,,,,,,,3.0,,,,,,D. Green,203110.0,1.0
43,PT08M17.00S,2023-03-01T03:15:24.1Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612757,7,11,2023-03-01T03:15:34Z,430000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (Grant 2 FT),"[1626172, 203924]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627962.0,1.0,0.0,Grant,203924.0,,,
45,PT08M17.00S,2023-03-01T03:15:46.7Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,7,12,2023-03-01T04:23:21Z,450000,False,,,0,,J. Grant Free Throw 1 of 2 (1 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
46,PT08M17.00S,2023-03-01T03:15:46.7Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,7,13,2023-03-01T04:23:21Z,460000,False,,,0,,J. Grant Free Throw 2 of 2 (2 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
47,PT08M06.00S,2023-03-01T03:16:23.7Z,1,REGULAR,3pt,Jump Shot,[],203110,67.49342969776609,53.92156862745098,1610612744,10,13,2023-03-01T03:16:28Z,470000,False,20.0,253.0,1,right,D. Green 25' 3PT  (3 PTS) (J. Poole 2 AST),"[203110, 1629673]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,25.39,Made,,,,,,,,,,3.0,,,,,,J. Poole,1629673.0,2.0
49,PT07M55.00S,2023-03-01T03:16:34.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,9.411957950065702,48.529411764705884,1610612757,10,15,2023-03-01T03:16:39Z,490000,False,7.0,36.0,1,left,D. Eubanks Hook (2 PTS) (D. Lillard 2 AST),"[1629234, 203081]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,3.68,Made,,,,,,,,,,2.0,,,,,,D. Lillard,203081.0,2.0
51,PT07M48.00S,2023-03-01T03:16:41.7Z,1,REGULAR,3pt,Jump Shot,[],202691,84.57621550591328,4.901960784313726,1610612744,10,15,2023-03-01T03:16:49Z,510000,False,-225.0,92.0,1,right,MISS K. Thompson 24' 3PT - blocked,"[202691, 1629680]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left,24.37,Missed,Thybulle,1629680.0,,,,,,,,,,,,,,,,
52,PT07M48.00S,2023-03-01T03:16:41.7Z,1,REGULAR,block,,[],1629680,,,1610612744,10,15,2023-03-01T03:16:45Z,520000,False,,,0,,M. Thybulle BLOCK (2 BLK),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Left,,,,,,,,,,,,,,,,,,,,
53,PT07M45.00S,2023-03-01T03:16:44.7Z,1,REGULAR,rebound,defensive,[],1629629,,,1610612757,10,15,2023-03-01T03:17:06Z,530000,False,,,0,,C. Reddish REBOUND (Off:0 Def:1),[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Left,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,
54,PT07M38.00S,2023-03-01T03:16:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,8.09789750328515,55.392156862745104,1610612757,10,15,2023-03-01T03:17:06Z,540000,False,-27.0,24.0,1,left,MISS D. Lillard driving Layup,[203081],1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,3.59,Missed,,,,,,,,,,,,,,,,,,
55,PT07M35.00S,2023-03-01T03:16:54.2Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612757,10,15,2023-03-01T03:33:45Z,550000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:0),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,,,54.0,1.0,0.0,1.0,,,,,,,,,,,,
56,PT07M34.00S,2023-03-01T03:16:55.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629629,22.421156373193167,88.48039215686273,1610612757,10,15,2023-03-01T03:17:08Z,560000,False,-192.0,158.0,1,left,MISS C. Reddish 24' 3PT,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Left Center,24.92,Missed,,,,,,,,,,,,,,,,,,
57,PT07M32.00S,2023-03-01T03:16:57.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,10,15,2023-03-01T03:17:08Z,570000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,56.0,,,,,,,,,,,,,,,
59,PT07M32.00S,2023-03-01T03:17:07.6Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,10,15,2023-03-01T03:17:10Z,590000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M32.00S,2023-03-01T03:17:07.6Z,1,REGULAR,substitution,in,[],1630228,,,1610612744,10,15,2023-03-01T03:17:10Z,600000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M19.00S,2023-03-01T03:17:40.0Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612744,10,15,2023-03-01T03:17:42Z,610000,False,,,0,,K. Thompson bad pass TURNOVER (2 TO),"[202691, 1629680]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,2.0,Thybulle,1629680.0,,,,,,,,,
62,PT07M19.00S,2023-03-01T03:17:40.0Z,1,REGULAR,steal,,[],1629680,,,1610612757,10,15,2023-03-01T03:17:41Z,620000,False,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT07M15.00S,2023-03-01T03:17:45.9Z,1,REGULAR,turnover,out-of-bounds,[],1629629,,,1610612757,10,15,2023-03-01T03:17:51Z,630000,False,,,0,,C. Reddish bad pass out-of-bounds TURNOVER (2 TO),[1629629],1610612757.0,POR,bad pass,,,Reddish,C. Reddish,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,2.0,,,,1628159.0,,,,,,,
64,PT07M03.00S,2023-03-01T03:18:05.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202691,66.96780551905388,46.07843137254902,1610612744,13,15,2023-03-01T03:18:10Z,640000,False,-20.0,258.0,1,right,K. Thompson 25' 3PT  (3 PTS) (D. DiVincenzo 1 AST),"[202691, 1628978]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,25.87,Made,,,,,,,,,,3.0,,,,,,D. DiVincenzo,1628978.0,1.0
66,PT06M59.00S,2023-03-01T03:18:15.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,13,15,2023-03-01T03:18:15Z,660000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M59.00S,2023-03-01T03:20:50.2Z,1,REGULAR,substitution,out,[],1629629,,,1610612757,13,15,2023-03-01T03:21:11Z,670000,False,,,0,,SUB out: C. Reddish,[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M59.00S,2023-03-01T03:20:50.2Z,1,REGULAR,substitution,out,[],203924,,,1610612757,13,15,2023-03-01T03:21:11Z,680000,False,,,0,,SUB out: J. Grant,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M59.00S,2023-03-01T03:20:50.2Z,1,REGULAR,substitution,out,[],1629234,,,1610612757,13,15,2023-03-01T03:21:11Z,690000,False,,,0,,SUB out: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M59.00S,2023-03-01T03:20:50.2Z,1,REGULAR,substitution,in,[],1629642,,,1610612757,13,15,2023-03-01T03:21:11Z,700000,False,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M59.00S,2023-03-01T03:20:50.2Z,1,REGULAR,substitution,in,[],1631101,,,1610612757,13,15,2023-03-01T03:21:11Z,710000,False,,,0,,SUB in: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M59.00S,2023-03-01T03:20:50.2Z,1,REGULAR,substitution,in,[],1630570,,,1610612757,13,15,2023-03-01T03:21:11Z,720000,False,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M42.00S,2023-03-01T03:21:35.1Z,1,REGULAR,3pt,Jump Shot,[],203081,12.040078843626807,95.58823529411765,1610612757,13,18,2023-03-01T03:21:39Z,730000,False,-228.0,61.0,1,left,D. Lillard 3PT step back (5 PTS),[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Left Corner 3,24+ Left,23.58,Made,,,,,,,,,,5.0,,,,,,,,
74,PT06M31.00S,2023-03-01T03:21:46.3Z,1,REGULAR,2pt,Jump Shot,[],1629673,75.77201051248358,66.91176470588235,1610612744,13,18,2023-03-01T03:21:50Z,740000,False,85.0,175.0,1,right,MISS J. Poole 19' step back Shot,[1629673],1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right Center,19.46,Missed,,,,,,,,,,,,,,,,,,
75,PT06M28.00S,2023-03-01T03:21:49.3Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,13,18,2023-03-01T03:21:50Z,750000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Mid-Range,16-24 Right Center,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,
76,PT06M24.00S,2023-03-01T03:21:53.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203081,36.87582128777924,59.068627450980394,1610612757,13,18,2023-03-01T03:23:21Z,760000,False,-45.0,294.0,1,left,MISS D. Lillard 29' running pullup 3PT,[203081],1610612757.0,POR,running pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,29.76,Missed,,,,,,,,,,,,,,,,,,
77,PT06M21.00S,2023-03-01T03:21:56.3Z,1,REGULAR,rebound,offensive,[],1631101,,,1610612757,13,18,2023-03-01T03:23:21Z,770000,False,,,0,,S. Sharpe REBOUND (Off:1 Def:0),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,
78,PT06M10.00S,2023-03-01T03:22:08.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203081,14.14257555847569,38.72549019607843,1610612757,13,18,2023-03-01T03:23:57Z,780000,False,56.0,80.0,1,left,MISS D. Lillard 9' driving floating bank Shot,[203081],1610612757.0,POR,driving floating bank,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Right,9.82,Missed,,,,,,,,,,,,,,,,,,
79,PT06M08.00S,2023-03-01T03:22:10.4Z,1,REGULAR,rebound,offensive,[],1630570,,,1610612757,13,18,2023-03-01T03:22:32Z,790000,False,,,0,,T. Watford REBOUND (Off:1 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),8-16 Right,,,,,78.0,2.0,1.0,1.0,,,,,,,,,,,,
80,PT06M06.00S,2023-03-01T03:22:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630570,5.590000152587891,50.0,1610612757,13,18,2023-03-01T03:22:11Z,800000,False,0.0,0.0,1,left,MISS T. Watford tip Layup,[1630570],1610612757.0,POR,tip,,,Watford,T. Watford,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
81,PT06M04.00S,2023-03-01T03:22:12.8Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,13,18,2023-03-01T03:22:12Z,810000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Mid-Range,8-16 Left,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,
82,PT05M51.00S,2023-03-01T03:22:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,93.24901445466492,54.166666666666664,1610612744,15,18,2023-03-01T03:22:31Z,820000,False,21.0,11.0,1,right,D. Green Layup (5 PTS) (K. Thompson 1 AST),"[203110, 202691]",1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,2.35,Made,,,,,,,,,,5.0,,,,,,K. Thompson,202691.0,1.0
84,PT05M35.00S,2023-03-01T03:22:42.5Z,1,REGULAR,3pt,Jump Shot,[],1629642,9.674770039421814,4.411764705882353,1610612757,15,21,2023-03-01T03:22:47Z,840000,False,228.0,38.0,1,left,N. Little 3PT  (3 PTS) (D. Lillard 3 AST),"[1629642, 203081]",1610612757.0,POR,,,,Little,N. Little,,,,,Right Corner 3,24+ Right,23.11,Made,,,,,,,,,,3.0,,,,,,D. Lillard,203081.0,3.0
86,PT05M33.00S,2023-03-01T03:22:47.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,15,21,2023-03-01T03:22:47Z,860000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M33.00S,2023-03-01T03:24:59.3Z,1,REGULAR,substitution,out,[],1629673,,,1610612744,15,21,2023-03-01T03:25:18Z,870000,False,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M33.00S,2023-03-01T03:24:59.3Z,1,REGULAR,substitution,in,[],1629660,,,1610612744,15,21,2023-03-01T03:25:18Z,880000,False,,,0,,SUB in: T. Jerome,[1629660],1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
