actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
24,PT09M56.00S,2023-02-05T01:43:33.0Z,1,REGULAR,3pt,Jump Shot,[],1630182,8.623521681997373,3.6764705882352944,1610612742,6,2,2023-02-05T01:43:37Z,240000,False,232.0,29.0,1,left,MISS J. Green 3PT,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.34,Missed,,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2023-02-05T01:43:36.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,2,2023-02-05T01:43:37Z,250000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M44.00S,2023-02-05T01:43:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,91.93495400788436,45.34313725490196,1610612744,8,2,2023-02-05T01:43:48Z,260000,False,-23.0,23.0,1,right,K. Looney cutting Layup (4 PTS) (S. Curry 2 AST),"[1626172, 201939]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,3.3,Made,,,,,4.0,,,S. Curry,201939.0,2.0,,,,,,,,
28,PT09M35.00S,2023-02-05T01:43:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630182,8.492115637319317,52.94117647058824,1610612742,8,2,2023-02-05T01:43:58Z,280000,False,-15.0,27.0,1,left,MISS J. Green driving Layup - blocked,"[1630182, 203110]",1610612742.0,DAL,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.1,Missed,,,,,,,,,,,Green,203110.0,,,,,,
29,PT09M35.00S,2023-02-05T01:43:54.0Z,1,REGULAR,block,,[],203110,,,1610612742,8,2,2023-02-05T01:43:56Z,290000,False,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M33.00S,2023-02-05T01:43:56.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,8,2,2023-02-05T01:44:12Z,300000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M25.00S,2023-02-05T01:44:03.2Z,1,REGULAR,3pt,Jump Shot,[],203110,74.32654402102497,84.31372549019608,1610612744,11,2,2023-02-05T01:44:08Z,310000,False,172.0,189.0,1,right,D. Green 25' 3PT  (3 PTS) (S. Curry 3 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,25.51,Made,,,,,3.0,,,S. Curry,201939.0,3.0,,,,,,,,
33,PT09M24.00S,2023-02-05T01:44:08.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,11,2,2023-02-05T01:44:08Z,330000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M24.00S,2023-02-05T01:45:17.3Z,1,REGULAR,substitution,out,[],1630182,,,1610612742,11,2,2023-02-05T01:47:07Z,340000,False,,,0,,SUB out: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M24.00S,2023-02-05T01:45:17.3Z,1,REGULAR,substitution,in,[],203493,,,1610612742,11,2,2023-02-05T01:47:07Z,350000,False,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M09.00S,2023-02-05T01:47:49.0Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612742,11,2,2023-02-05T01:47:55Z,360000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (Powell 2 FT),"[1626172, 203939]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,,,202035.0,,,,,,,1.0,0.0,Powell,203939.0,,
38,PT09M09.00S,2023-02-05T01:48:16.5Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,11,2,2023-02-05T01:48:16Z,380000,False,,,0,,MISS D. Powell Free Throw 1 of 2,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
39,PT09M09.00S,2023-02-05T01:48:16.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,11,2,2023-02-05T01:48:16Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,
40,PT09M09.00S,2023-02-05T01:48:32.6Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,11,3,2023-02-05T01:48:32Z,400000,False,,,0,,D. Powell Free Throw 2 of 2 (1 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
41,PT08M52.00S,2023-02-05T01:48:51.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203952,86.94152431011827,50.73529411764706,1610612744,13,3,2023-02-05T01:48:57Z,410000,False,4.0,70.0,1,right,A. Wiggins 7' turnaround Hook (2 PTS),[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,7.03,Made,,,,,2.0,,,,,,,,,,,,,
42,PT08M38.00S,2023-02-05T01:49:07.0Z,1,REGULAR,turnover,out-of-bounds,[],203501,,,1610612742,13,3,2023-02-05T01:49:13Z,420000,False,,,0,,T. Hardaway Jr. bad pass out-of-bounds TURNOVER (1 TO),[203501],1610612742.0,DAL,bad pass,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,1148.0,1.0,,,,,,,,,,,
43,PT08M21.00S,2023-02-05T01:49:31.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,72.88107752956637,81.37254901960785,1610612744,13,3,2023-02-05T01:49:36Z,430000,False,157.0,202.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,25.61,Missed,,,,,,,,,,,,,,,,,,
44,PT08M18.00S,2023-02-05T01:49:34.9Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,13,3,2023-02-05T01:49:39Z,440000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT08M09.00S,2023-02-05T01:49:43.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,8.623521681997373,42.40196078431372,1610612742,13,5,2023-02-05T01:51:36Z,450000,False,38.0,29.0,1,left,S. Dinwiddie driving floating bank Jump Shot (4 PTS),[203915],1610612742.0,DAL,driving floating bank,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,4.76,Made,,,,,4.0,,,,,,,,,,,,,
46,PT07M55.00S,2023-02-05T01:49:57.4Z,1,REGULAR,3pt,Jump Shot,[],202691,68.80749014454665,70.83333333333334,1610612744,16,5,2023-02-05T01:50:01Z,460000,False,104.0,241.0,1,right,K. Thompson 26' 3PT  (5 PTS) (S. Curry 4 AST),"[202691, 201939]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,26.23,Made,,,,,5.0,,,S. Curry,201939.0,4.0,,,,,,,,
48,PT07M37.00S,2023-02-05T01:50:15.8Z,1,REGULAR,2pt,Jump Shot,[],203501,4.812746386333772,78.67647058823529,1610612742,16,7,2023-02-05T01:50:20Z,480000,False,-143.0,-7.0,1,left,T. Hardaway Jr. 14' pullup Jump Shot (2 PTS) (R. Bullock 1 AST),"[203501, 203493]",1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,8-16 Left,14.36,Made,,,,,2.0,,,R. Bullock,203493.0,1.0,,,,,,,,
50,PT07M20.00S,2023-02-05T01:50:32.6Z,1,REGULAR,3pt,Jump Shot,[],202691,75.64060446780552,11.519607843137255,1610612744,16,7,2023-02-05T01:50:36Z,500000,False,-192.0,176.0,1,right,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,26.11,Missed,,,,,,,,,,,,,,,,,,
51,PT07M17.00S,2023-02-05T01:50:35.6Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,16,7,2023-02-05T01:50:36Z,510000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M09.00S,2023-02-05T01:50:43.7Z,1,REGULAR,turnover,bad pass,[],203501,,,1610612742,16,7,2023-02-05T01:50:47Z,520000,False,,,0,,T. Hardaway Jr. bad pass TURNOVER (2 TO),"[203501, 1626172]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,2.0,,,,,,,,,,Looney,1626172.0
53,PT07M09.00S,2023-02-05T01:50:43.7Z,1,REGULAR,steal,,[],1626172,,,1610612744,16,7,2023-02-05T01:50:45Z,530000,False,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
54,PT06M59.00S,2023-02-05T01:50:53.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626172,91.93495400788436,46.07843137254902,1610612744,18,7,2023-02-05T01:51:07Z,540000,False,-20.0,23.0,1,right,K. Looney Layup (6 PTS) (D. Green 2 AST),"[1626172, 203110]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,3.04,Made,,,,,6.0,,,D. Green,203110.0,2.0,,,,,,,,
56,PT06M45.00S,2023-02-05T01:51:07.0Z,1,REGULAR,3pt,Jump Shot,[],203915,19.793035479632064,92.40196078431373,1610612742,18,10,2023-02-05T01:51:12Z,560000,False,-212.0,134.0,1,left,S. Dinwiddie 25' 3PT step back (7 PTS),[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,25.06,Made,,,,,7.0,,,,,,,,,,,,,
57,PT06M34.00S,2023-02-05T01:51:19.0Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,18,10,2023-02-05T01:51:21Z,570000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 203939]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,,,,,,,,,,Powell,203939.0
58,PT06M34.00S,2023-02-05T01:51:19.0Z,1,REGULAR,steal,,[],203939,,,1610612742,18,10,2023-02-05T01:51:20Z,580000,False,,,0,,D. Powell STEAL (1 STL),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
59,PT06M19.00S,2023-02-05T01:51:35.6Z,1,REGULAR,foul,personal,[],1626172,,,1610612742,18,10,2023-02-05T01:51:47Z,590000,False,,,0,,K. Looney personal FOUL (2 PF),"[1626172, 203915]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1155.0,,,,,,,2.0,0.0,Dinwiddie,203915.0,,
61,PT06M19.00S,2023-02-05T01:51:44.0Z,1,REGULAR,substitution,out,[],1626172,,,1610612742,18,10,2023-02-05T01:51:58Z,610000,False,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M19.00S,2023-02-05T01:51:44.0Z,1,REGULAR,substitution,out,[],203952,,,1610612742,18,10,2023-02-05T01:51:58Z,620000,False,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M19.00S,2023-02-05T01:51:44.0Z,1,REGULAR,substitution,out,[],203501,,,1610612742,18,10,2023-02-05T01:51:58Z,630000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M19.00S,2023-02-05T01:51:44.0Z,1,REGULAR,substitution,in,[],1628978,,,1610612742,18,10,2023-02-05T01:51:58Z,640000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M19.00S,2023-02-05T01:51:44.0Z,1,REGULAR,substitution,in,[],1629673,,,1610612742,18,10,2023-02-05T01:51:58Z,650000,False,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M19.00S,2023-02-05T01:51:44.0Z,1,REGULAR,substitution,in,[],1630182,,,1610612742,18,10,2023-02-05T01:51:58Z,660000,False,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M10.00S,2023-02-05T01:52:19.1Z,1,REGULAR,foul,offensive,[],203915,,,1610612742,18,10,2023-02-05T01:52:25Z,670000,False,,,0,,S. Dinwiddie offensive FOUL (1 PF),"[203915, 1629673]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Left,,,,,,,,202035.0,,,,,,,1.0,0.0,Poole,1629673.0,,
69,PT06M10.00S,2023-02-05T01:52:19.1Z,1,REGULAR,turnover,offensive foul,[],203915,,,1610612742,18,10,2023-02-05T01:52:19Z,690000,False,,,0,,S. Dinwiddie offensive foul TURNOVER (2 TO),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,8-16 Left,,,,,,,,202035.0,2.0,,,,,,,,,,,
70,PT06M10.00S,2023-02-05T01:52:31.9Z,1,REGULAR,foul,technical,['1freethrow'],203915,,,1610612744,18,10,2023-02-05T01:52:40Z,700000,False,,,0,,S. Dinwiddie technical FOUL (1 Tech),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,202035.0,,,,,,,1.0,1.0,,,,
71,PT06M10.00S,2023-02-05T01:52:54.2Z,1,REGULAR,freethrow,1 of 1,[],201939,,,1610612744,19,10,2023-02-05T01:52:54Z,710000,False,,,0,,S. Curry technical Free Throw 1 of 1 (3 PTS),[201939],1610612744.0,GSW,technical,,,Curry,S. Curry,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
72,PT05M57.00S,2023-02-05T01:53:15.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201939,88.38699080157687,96.56862745098039,1610612744,22,10,2023-02-05T01:53:21Z,720000,False,233.0,57.0,1,right,S. Curry 3PT  (6 PTS) (D. Green 3 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Right Corner 3,24+ Right,23.96,Made,,,,,6.0,,,D. Green,203110.0,3.0,,,,,,,,
74,PT05M36.00S,2023-02-05T01:53:36.7Z,1,REGULAR,3pt,Jump Shot,[],1627827,15.588042049934298,4.166666666666666,1610612742,22,13,2023-02-05T01:53:41Z,740000,False,229.0,94.0,1,left,D. Finney-Smith 24' 3PT  (3 PTS) (J. Green 1 AST),"[1627827, 1630182]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right,24.77,Made,,,,,3.0,,,J. Green,1630182.0,1.0,,,,,,,,
76,PT05M19.00S,2023-02-05T01:53:54.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,87.33574244415243,45.588235294117645,1610612744,22,13,2023-02-05T01:53:58Z,760000,False,-22.0,67.0,1,right,MISS D. Green 7' floating Shot,[203110],1610612744.0,GSW,floating,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,7.01,Missed,,,,,,,,,,,,,,,,,,
77,PT05M16.00S,2023-02-05T01:53:57.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,22,13,2023-02-05T01:53:58Z,770000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:3),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,76.0,3.0,3.0,0.0,,,,,,,,,,,,,,
78,PT05M10.00S,2023-02-05T01:54:03.1Z,1,REGULAR,3pt,Jump Shot,[],1627827,29.25427069645204,19.362745098039216,1610612742,22,13,2023-02-05T01:54:08Z,780000,False,153.0,222.0,1,left,MISS D. Finney-Smith 27' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,27.01,Missed,,,,,,,,,,,,,,,,,,
79,PT05M06.00S,2023-02-05T01:54:07.4Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,22,13,2023-02-05T01:54:07Z,790000,False,,,0,,D. Powell REBOUND (Off:1 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Right Center,,,78.0,2.0,1.0,1.0,,,,,,,,,,,,,,
80,PT05M06.00S,2023-02-05T01:54:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203939,5.590000152587891,50.0,1610612742,22,15,2023-02-05T01:54:07Z,800000,False,0.0,0.0,1,left,D. Powell putback Layup (3 PTS),[203939],1610612742.0,DAL,putback,,,Powell,D. Powell,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,3.0,,,,,,,,,,,,,
81,PT04M57.00S,2023-02-05T01:54:18.1Z,1,REGULAR,foul,personal,[],1627827,,,1610612744,22,15,2023-02-05T01:54:23Z,810000,False,,,0,,D. Finney-Smith personal FOUL (1 PF),"[1627827, 201939]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1148.0,,,,,,,1.0,0.0,Curry,201939.0,,
83,PT04M57.00S,2023-02-05T01:54:23.2Z,1,REGULAR,substitution,out,[],203110,,,1610612744,22,15,2023-02-05T01:54:31Z,830000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M57.00S,2023-02-05T01:54:23.2Z,1,REGULAR,substitution,out,[],203939,,,1610612744,22,15,2023-02-05T01:54:31Z,840000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M57.00S,2023-02-05T01:54:23.2Z,1,REGULAR,substitution,in,[],203210,,,1610612744,22,15,2023-02-05T01:54:31Z,850000,False,,,0,,SUB in: J. Green,[203210],1610612744.0,GSW,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M57.00S,2023-02-05T01:54:23.2Z,1,REGULAR,substitution,in,[],1629033,,,1610612744,22,15,2023-02-05T01:54:31Z,860000,False,,,0,,SUB in: T. Pinson,[1629033],1610612742.0,DAL,,,,Pinson,T. Pinson,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M48.00S,2023-02-05T01:54:49.7Z,1,REGULAR,foul,offensive,[],1629673,,,1610612744,22,15,2023-02-05T01:54:56Z,870000,False,,,0,,J. Poole offensive FOUL (1 PF),"[1629673, 1629033]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Center,,,,,,,,1148.0,,,,,,,1.0,0.0,Pinson,1629033.0,,
