actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT11M02.00S,2022-12-03T03:13:26.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,68.54467805519053,27.696078431372552,1610612741,2,3,2022-12-03T03:13:32Z,170000,False,-112.0,243.0,1,right,Z. LaVine 26' 3PT pullup (3 PTS) (A. Caruso 1 AST),"[203897, 1627936]",1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,26.75,Made,3.0,,,,,,,,,,,A. Caruso,1627936.0,1.0,,,,
19,PT10M44.00S,2022-12-03T03:13:44.4Z,1,REGULAR,3pt,Jump Shot,[],203952,23.603810775295663,6.862745098039216,1610612744,2,3,2022-12-03T03:13:48Z,190000,False,216.0,169.0,1,left,MISS A. Wiggins 27' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,27.43,Missed,,,,,,,,,,,,,,,,,,
20,PT10M42.00S,2022-12-03T03:13:46.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,3,2022-12-03T03:13:48Z,200000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
21,PT10M29.00S,2022-12-03T03:14:00.1Z,1,REGULAR,2pt,Hook,[],202696,90.75229960578186,67.8921568627451,1610612741,2,3,2022-12-03T03:14:04Z,210000,False,89.0,34.0,1,right,MISS N. Vucevic 9' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Right,9.59,Missed,,,,,,,,,,,,,,,,,,
22,PT10M27.00S,2022-12-03T03:14:02.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,3,2022-12-03T03:14:04Z,220000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,
23,PT10M21.00S,2022-12-03T03:14:07.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202691,7.5722733245729295,44.6078431372549,1610612744,4,3,2022-12-03T03:14:20Z,230000,False,27.0,19.0,1,left,K. Thompson cutting Layup (2 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,3.28,Made,2.0,,,,,,,,,,,D. Green,203110.0,1.0,,,,
25,PT10M08.00S,2022-12-03T03:14:20.9Z,1,REGULAR,3pt,Jump Shot,[],202696,66.44218134034165,52.69607843137255,1610612741,4,6,2022-12-03T03:14:25Z,250000,False,13.0,263.0,1,right,N. Vucevic 26' 3PT  (3 PTS) (A. Caruso 2 AST),"[202696, 1627936]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,26.32,Made,3.0,,,,,,,,,,,A. Caruso,1627936.0,2.0,,,,
27,PT09M54.00S,2022-12-03T03:14:34.2Z,1,REGULAR,3pt,Jump Shot,[],203110,27.020367936925098,83.08823529411765,1610612744,7,6,2022-12-03T03:14:38Z,270000,False,-165.0,201.0,1,left,D. Green 26' 3PT  (3 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,26.07,Made,3.0,,,,,,,,,,,S. Curry,201939.0,1.0,,,,
29,PT09M39.00S,2022-12-03T03:14:49.8Z,1,REGULAR,turnover,bad pass,[],1627936,,,1610612741,7,6,2022-12-03T03:14:53Z,290000,False,,,0,,A. Caruso bad pass TURNOVER (1 TO),"[1627936, 1626172]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,Looney,1626172.0,,
30,PT09M39.00S,2022-12-03T03:14:49.8Z,1,REGULAR,steal,,[],1626172,,,1610612744,7,6,2022-12-03T03:14:51Z,300000,False,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M34.00S,2022-12-03T03:14:55.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202691,19.267411300919843,5.392156862745098,1610612744,7,6,2022-12-03T03:15:00Z,310000,False,223.0,129.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.74,Missed,,,,,,,,,,,,,,,,,,
32,PT09M31.00S,2022-12-03T03:14:58.7Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,7,6,2022-12-03T03:15:00Z,320000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,
33,PT09M24.00S,2022-12-03T03:15:07.1Z,1,REGULAR,foul,personal,[],201939,,,1610612741,7,6,2022-12-03T03:15:13Z,330000,False,,,0,,S. Curry personal FOUL (1 PF),"[201939, 1627936]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,202037.0,1.0,0.0,Caruso,1627936.0,,,,,,,,,,,,
35,PT09M19.00S,2022-12-03T03:15:32.2Z,1,REGULAR,2pt,Jump Shot,[],201942,74.72076215505913,58.57843137254902,1610612741,7,6,2022-12-03T03:15:37Z,350000,False,43.0,185.0,1,right,MISS D. DeRozan 19' step back Shot,[201942],1610612741.0,CHI,step back,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,19.0,Missed,,,,,,,,,,,,,,,,,,
36,PT09M17.00S,2022-12-03T03:15:34.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,7,6,2022-12-03T03:15:37Z,360000,False,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Center,,,,,,,,,35.0,3.0,3.0,0.0,,,,,,,,
37,PT09M09.00S,2022-12-03T03:15:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,7.046649145860711,57.59803921568627,1610612744,9,6,2022-12-03T03:15:45Z,370000,False,-38.0,14.0,1,left,K. Looney Layup (2 PTS) (A. Wiggins 1 AST),"[1626172, 203952]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,4.04,Made,2.0,,,,,,,,,,,A. Wiggins,203952.0,1.0,,,,
39,PT08M51.00S,2022-12-03T03:15:59.8Z,1,REGULAR,2pt,Jump Shot,[],202696,92.9862023653088,17.647058823529413,1610612741,9,8,2022-12-03T03:16:08Z,390000,False,-162.0,13.0,1,right,N. Vucevic 16' Jump Shot (5 PTS) (A. Caruso 3 AST),"[202696, 1627936]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Left,16.24,Made,5.0,,,,,,,,,,,A. Caruso,1627936.0,3.0,,,,
41,PT08M42.00S,2022-12-03T03:16:08.6Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,9,8,2022-12-03T03:16:14Z,410000,False,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 202696]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,Vucevic,202696.0,,
42,PT08M42.00S,2022-12-03T03:16:08.6Z,1,REGULAR,steal,,[],202696,,,1610612741,9,8,2022-12-03T03:16:11Z,420000,False,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M32.00S,2022-12-03T03:16:19.2Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612741,9,8,2022-12-03T03:16:33Z,430000,False,,,0,,A. Wiggins shooting personal FOUL (2 PF) (DeRozan 2 FT),"[203952, 201942]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,,,,2715.0,2.0,0.0,DeRozan,201942.0,,,,,,,,,,,,
46,PT08M32.00S,2022-12-03T03:16:51.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201942,,,1610612741,9,9,2022-12-03T03:17:11Z,450000,False,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
47,PT08M32.00S,2022-12-03T03:16:51.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201942,,,1610612741,9,9,2022-12-03T03:17:11Z,460000,False,,,0,,MISS D. DeRozan Free Throw 2 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT08M30.00S,2022-12-03T03:16:53.4Z,1,REGULAR,rebound,defensive,[],202691,,,1610612744,9,9,2022-12-03T03:17:11Z,470000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,
49,PT08M16.00S,2022-12-03T03:17:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,9.017739816031538,39.705882352941174,1610612744,9,9,2022-12-03T03:17:29Z,480000,False,51.0,32.0,1,left,MISS K. Thompson 6' driving Layup,[202691],1610612744.0,GSW,driving,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,,,,,,,,,,,,,,,,,,
50,PT08M13.00S,2022-12-03T03:17:27.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,9,9,2022-12-03T03:30:10Z,490000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,
51,PT07M58.00S,2022-12-03T03:17:42.4Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612741,9,9,2022-12-03T03:17:55Z,500000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (Vucevic 2 FT),"[1626172, 202696]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,In The Paint (Non-RA),8-16 Left,,,,1627541.0,1.0,0.0,Vucevic,202696.0,,,,,,,,,,,,
53,PT07M58.00S,2022-12-03T03:18:13.1Z,1,REGULAR,freethrow,1 of 2,[],202696,,,1610612741,9,9,2022-12-03T03:18:13Z,520000,False,,,0,,MISS N. Vucevic Free Throw 1 of 2,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT07M58.00S,2022-12-03T03:18:13.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,9,9,2022-12-03T03:18:13Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,
55,PT07M58.00S,2022-12-03T03:18:14.9Z,1,REGULAR,substitution,out,[],203952,,,1610612741,9,9,2022-12-03T03:18:17Z,540000,False,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M58.00S,2022-12-03T03:18:14.9Z,1,REGULAR,substitution,in,[],1629673,,,1610612741,9,9,2022-12-03T03:18:17Z,550000,False,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M58.00S,2022-12-03T03:18:33.5Z,1,REGULAR,freethrow,2 of 2,[],202696,,,1610612741,9,10,2022-12-03T03:18:33Z,560000,False,,,0,,N. Vucevic Free Throw 2 of 2 (6 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
60,PT07M50.00S,2022-12-03T03:18:41.9Z,1,REGULAR,3pt,Jump Shot,[],201939,34.510512483574246,45.588235294117645,1610612744,12,10,2022-12-03T03:18:47Z,570000,False,22.0,272.0,1,left,S. Curry 27' 3PT pullup (3 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,27.28,Made,3.0,,,,,,,,,,,,,,,,,
61,PT07M36.00S,2022-12-03T03:18:56.1Z,1,REGULAR,2pt,Jump Shot,[],201942,76.95466491458606,38.970588235294116,1610612741,12,10,2022-12-03T03:19:00Z,580000,False,-55.0,164.0,1,right,MISS D. DeRozan 17' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,17.31,Missed,,,,,,,,,,,,,,,,,,
62,PT07M34.00S,2022-12-03T03:18:58.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,12,10,2022-12-03T03:19:00Z,590000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Center,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,
63,PT07M31.00S,2022-12-03T03:19:01.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,24.917871222076215,11.27450980392157,1610612744,15,10,2022-12-03T03:19:29Z,600000,False,194.0,182.0,1,left,K. Thompson 26' 3PT running (5 PTS) (S. Curry 2 AST),"[202691, 201939]",1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,26.55,Made,5.0,,,,,,,,,,,S. Curry,201939.0,2.0,,,,
65,PT07M17.00S,2022-12-03T03:19:24.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629750,92.19776609724047,46.81372549019608,1610612741,15,12,2022-12-03T03:19:29Z,620000,False,-16.0,21.0,1,right,J. Green cutting DUNK (2 PTS) (A. Caruso 4 AST),"[1629750, 1627936]",1610612741.0,CHI,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.62,Made,2.0,,,,,,,,,,,A. Caruso,1627936.0,4.0,,,,
67,PT06M49.00S,2022-12-03T03:19:51.0Z,1,REGULAR,3pt,Jump Shot,[],202691,8.492115637319317,2.696078431372549,1610612744,15,12,2022-12-03T03:19:56Z,640000,False,237.0,27.0,1,left,MISS K. Thompson 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Right Corner 3,24+ Right,23.81,Missed,,,,,,,,,,,,,,,,,,
68,PT06M46.00S,2022-12-03T03:19:54.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,15,12,2022-12-03T03:19:56Z,650000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Right Corner 3,24+ Right,,,,,,,,,67.0,3.0,3.0,0.0,,,,,,,,
69,PT06M41.00S,2022-12-03T03:20:02.9Z,1,REGULAR,foul,offensive,[],202696,,,1610612741,15,12,2022-12-03T03:20:17Z,660000,False,,,0,,N. Vucevic offensive FOUL (1 PF),"[202696, 201939]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right Center,,,,1627541.0,1.0,0.0,Curry,201939.0,,,,,,,,,,,,
71,PT06M41.00S,2022-12-03T03:20:02.9Z,1,REGULAR,turnover,offensive foul,[],202696,,,1610612741,15,12,2022-12-03T03:20:02Z,680000,False,,,0,,N. Vucevic offensive foul TURNOVER (1 TO),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right Center,,,,1627541.0,,,,,,,,,1.0,,,,,,,
72,PT06M41.00S,2022-12-03T03:20:13.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,15,12,2022-12-03T03:20:13Z,690000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M41.00S,2022-12-03T03:22:46.0Z,1,REGULAR,substitution,out,[],1627936,,,1610612744,15,12,2022-12-03T03:23:21Z,700000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M41.00S,2022-12-03T03:22:46.0Z,1,REGULAR,substitution,in,[],1630245,,,1610612744,15,12,2022-12-03T03:23:21Z,710000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M29.00S,2022-12-03T03:23:50.0Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,15,12,2022-12-03T03:23:53Z,720000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 202696]",1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,,,,Vucevic,202696.0,,
76,PT06M29.00S,2022-12-03T03:23:50.0Z,1,REGULAR,steal,,[],202696,,,1610612741,15,12,2022-12-03T03:23:51Z,730000,False,,,0,,N. Vucevic STEAL (2 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
77,PT06M26.00S,2022-12-03T03:23:54.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201939,,,1610612741,15,12,2022-12-03T03:24:01Z,740000,False,,,0,,S. Curry shooting personal FOUL (2 PF) (Green 2 FT),"[201939, 1629750]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,2715.0,2.0,0.0,Green,1629750.0,,,,,,,,,,,,
79,PT06M26.00S,2022-12-03T03:24:44.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629750,,,1610612741,15,13,2022-12-03T03:24:44Z,760000,False,,,0,,J. Green Free Throw 1 of 2 (3 PTS),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
80,PT06M26.00S,2022-12-03T03:25:01.5Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629750,,,1610612741,15,14,2022-12-03T03:25:01Z,770000,False,,,0,,J. Green Free Throw 2 of 2 (4 PTS),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
81,PT06M12.00S,2022-12-03T03:25:16.8Z,1,REGULAR,2pt,Jump Shot,[],202691,25.18068331143233,64.2156862745098,1610612744,15,14,2022-12-03T03:25:20Z,780000,False,-71.0,184.0,1,left,MISS K. Thompson 19' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,19.74,Missed,,,,,,,,,,,,,,,,,,
82,PT06M09.00S,2022-12-03T03:25:19.8Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,15,14,2022-12-03T03:32:09Z,790000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,
85,PT06M02.00S,2022-12-03T03:25:26.0Z,1,REGULAR,3pt,Jump Shot,[],1630245,94.1688567674113,2.941176470588235,1610612741,15,17,2022-12-03T03:25:36Z,820000,False,-235.0,2.0,1,right,A. Dosunmu 3PT  (3 PTS) (D. DeRozan 1 AST),"[1630245, 201942]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Left Corner 3,24+ Left,23.53,Made,3.0,,,,,,,,,,,D. DeRozan,201942.0,1.0,,,,
87,PT05M44.00S,2022-12-03T03:25:44.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,7.966491458607096,43.38235294117647,1610612744,17,17,2022-12-03T03:25:47Z,840000,False,33.0,22.0,1,left,K. Looney DUNK (4 PTS) (K. Thompson 1 AST),"[1626172, 202691]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,4.0,Made,4.0,,,,,,,,,,,K. Thompson,202691.0,1.0,,,,
89,PT05M35.00S,2022-12-03T03:25:56.4Z,1,REGULAR,turnover,traveling,[],203897,,,1610612741,17,17,2022-12-03T03:26:03Z,860000,False,,,0,,Z. LaVine traveling TURNOVER (1 TO),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,,,,2715.0,,,,,,,,,1.0,,,,,,,
90,PT05M35.00S,2022-12-03T03:26:02.6Z,1,REGULAR,substitution,out,[],201939,,,1610612744,17,17,2022-12-03T03:26:17Z,870000,False,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M35.00S,2022-12-03T03:26:02.6Z,1,REGULAR,substitution,out,[],201942,,,1610612744,17,17,2022-12-03T03:26:17Z,880000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M35.00S,2022-12-03T03:26:02.6Z,1,REGULAR,substitution,out,[],1629750,,,1610612744,17,17,2022-12-03T03:26:17Z,890000,False,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M35.00S,2022-12-03T03:26:02.6Z,1,REGULAR,substitution,in,[],1628978,,,1610612744,17,17,2022-12-03T03:26:17Z,900000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M35.00S,2022-12-03T03:26:02.6Z,1,REGULAR,substitution,in,[],1630172,,,1610612744,17,17,2022-12-03T03:26:17Z,910000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
