actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
19,PT11M04.00S,2023-12-07T00:42:29.0Z,1,REGULAR,3pt,Jump Shot,[],203915,70.12155059132719,25.735294117647058,1610612751,3,0,2023-12-07T00:42:35Z,190000,False,-121.0,228.0,1,right,MISS S. Dinwiddie 25' 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.86,Missed,,,,,,,,,,
20,PT11M00.00S,2023-12-07T00:42:33.0Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,3,0,2023-12-07T00:42:35Z,200000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,19.0,,,,,1.0,1.0,0.0,,
21,PT10M54.00S,2023-12-07T00:42:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,5.469776609724048,49.01960784313725,1610612737,5,0,2023-12-07T00:42:44Z,210000,False,5.0,-1.0,1,left,D. Hunter driving Layup (5 PTS) (D. Murray 1 AST),"[1629631, 1627749]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,,,,0.5,Made,,5.0,D. Murray,1627749.0,1.0,,,,,
23,PT10M40.00S,2023-12-07T00:42:52.4Z,1,REGULAR,3pt,Jump Shot,[],1629661,92.06636005256242,96.56862745098039,1610612751,5,3,2023-12-07T00:42:57Z,230000,False,233.0,22.0,1,right,C. Johnson 3PT  (3 PTS) (M. Bridges 1 AST),"[1629661, 1628969]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,,,,,,,,,23.38,Made,,3.0,M. Bridges,1628969.0,1.0,,,,,
25,PT10M31.00S,2023-12-07T00:43:01.4Z,1,REGULAR,3pt,Jump Shot,[],1630180,8.623521681997373,96.81372549019608,1610612737,5,3,2023-12-07T00:43:07Z,250000,False,-234.0,29.0,1,left,MISS S. Bey 3PT,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,,,,,,,,,23.58,Missed,,,,,,,,,,
26,PT10M28.00S,2023-12-07T00:43:04.4Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,5,3,2023-12-07T00:43:07Z,260000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,25.0,,,,,1.0,1.0,0.0,,
27,PT10M24.00S,2023-12-07T00:43:08.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,73.9323258869908,16.666666666666664,1610612751,5,6,2023-12-07T00:43:50Z,270000,False,-167.0,193.0,1,right,M. Bridges 25' 3PT running (3 PTS) (S. Dinwiddie 1 AST),"[1628969, 203915]",1610612751.0,BKN,running,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.46,Made,,3.0,S. Dinwiddie,203915.0,1.0,,,,,
29,PT10M12.00S,2023-12-07T00:43:20.2Z,1,REGULAR,3pt,Jump Shot,[],1630180,27.414586070959263,78.67647058823529,1610612737,8,6,2023-12-07T00:43:26Z,290000,False,-143.0,205.0,1,left,S. Bey 25' 3PT  (3 PTS) (D. Murray 2 AST),"[1630180, 1627749]",1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.03,Made,,3.0,D. Murray,1627749.0,2.0,,,,,
31,PT09M55.00S,2023-12-07T00:43:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,81.94809461235218,42.64705882352941,1610612751,8,6,2023-12-07T00:43:42Z,310000,False,-37.0,117.0,1,right,MISS M. Bridges 12' fadeaway Shot,[1628969],1610612751.0,BKN,fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,12.28,Missed,,,,,,,,,,
32,PT09M53.00S,2023-12-07T00:43:39.0Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,8,6,2023-12-07T00:43:42Z,320000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,31.0,,,,,2.0,2.0,0.0,,
33,PT09M46.00S,2023-12-07T00:43:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,18.478975032851512,44.11764705882353,1610612737,8,6,2023-12-07T00:43:54Z,330000,False,29.0,121.0,1,left,MISS D. Hunter 12' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,12.47,Missed,,,,,,,,,,
34,PT09M41.00S,2023-12-07T00:43:52.3Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,8,6,2023-12-07T00:43:54Z,340000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,33.0,,,,,1.0,1.0,0.0,,
35,PT09M37.00S,2023-12-07T00:43:55.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,90.48948751642575,95.58823529411765,1610612751,8,9,2023-12-07T00:45:01Z,350000,False,228.0,37.0,1,right,C. Johnson 3PT running (6 PTS) (M. Bridges 2 AST),"[1629661, 1628969]",1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,,,,,,,,,23.09,Made,,6.0,M. Bridges,1628969.0,2.0,,,,,
37,PT09M24.00S,2023-12-07T00:44:07.7Z,1,REGULAR,2pt,Jump Shot,[],1627749,6.389618922470433,31.61764705882353,1610612737,10,9,2023-12-07T00:44:12Z,370000,False,92.0,8.0,1,left,D. Murray 9' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Right,,,,,,,,,9.22,Made,,2.0,,,,,,,,
38,PT09M08.00S,2023-12-07T00:44:27.1Z,1,REGULAR,turnover,backcourt,[],1630560,,,1610612751,10,9,2023-12-07T00:44:40Z,380000,False,,,0,,C. Thomas backcourt TURNOVER (1 TO),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,203591.0,,,,,1.0,,,,,,,,,,,,,,
39,PT09M01.00S,2023-12-07T00:44:50.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629027,10.200394218134035,42.64705882352941,1610612737,12,9,2023-12-07T00:44:56Z,390000,False,37.0,43.0,1,left,T. Young driving floating bank Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.69,Made,,2.0,,,,,,,,
40,PT08M48.00S,2023-12-07T00:45:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630560,92.46057818659659,53.431372549019606,1610612751,12,9,2023-12-07T00:45:10Z,400000,False,17.0,18.0,1,right,MISS C. Thomas driving Layup - blocked,"[1630560, 203991]",1610612751.0,BKN,driving,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,,,,,,2.52,Missed,,,,,,,,,Capela,203991.0
41,PT08M48.00S,2023-12-07T00:45:03.9Z,1,REGULAR,block,,[],203991,,,1610612751,12,9,2023-12-07T00:45:06Z,410000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M48.00S,2023-12-07T00:45:03.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,12,9,2023-12-07T00:45:10Z,420000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,40.0,,,,,,,,,
45,PT08M30.00S,2023-12-07T00:45:47.3Z,1,REGULAR,3pt,Jump Shot,[],1630180,28.597240473061763,77.20588235294117,1610612737,15,9,2023-12-07T00:45:52Z,450000,False,-136.0,216.0,1,left,S. Bey 25' 3PT  (6 PTS) (T. Young 2 AST),"[1630180, 1629027]",1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.55,Made,,6.0,T. Young,1629027.0,2.0,,,,,
47,PT08M19.00S,2023-12-07T00:46:00.2Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612751,15,9,2023-12-07T00:46:29Z,470000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Claxton 2 FT),"[203991, 1629651]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,203592.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,,
49,PT08M19.00S,2023-12-07T00:46:30.0Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,15,10,2023-12-07T00:46:54Z,490000,False,,,0,,N. Claxton Free Throw 1 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,Made,,1.0,,,,,,,,
50,PT08M19.00S,2023-12-07T00:46:30.0Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,15,10,2023-12-07T00:46:54Z,500000,False,,,0,,MISS N. Claxton Free Throw 2 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,Missed,,,,,,,,,,
51,PT08M17.00S,2023-12-07T00:46:32.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,10,2023-12-07T00:46:54Z,510000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,50.0,,,,,1.0,1.0,0.0,,
52,PT08M05.00S,2023-12-07T00:47:04.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,13.354139290407357,48.28431372549019,1610612737,15,10,2023-12-07T00:47:09Z,520000,False,9.0,73.0,1,left,MISS T. Young 7' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,7.35,Missed,,,,,,,,,,
53,PT08M03.00S,2023-12-07T00:47:06.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,15,10,2023-12-07T00:47:09Z,530000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,52.0,,,,,1.0,1.0,0.0,,
54,PT07M47.00S,2023-12-07T00:47:23.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,89.43823915900131,43.627450980392155,1610612751,15,10,2023-12-07T00:47:29Z,540000,False,-32.0,47.0,1,right,MISS N. Claxton turnaround Hook,[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.66,Missed,,,,,,,,,,
55,PT07M44.00S,2023-12-07T00:47:26.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,15,10,2023-12-07T00:47:29Z,550000,False,,,0,,D. Murray REBOUND (Off:0 Def:3),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,54.0,,,,,3.0,3.0,0.0,,
56,PT07M37.00S,2023-12-07T00:47:32.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,19.66162943495401,63.23529411764706,1610612737,15,10,2023-12-07T00:47:37Z,560000,False,-66.0,132.0,1,left,MISS D. Murray 14' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,14.79,Missed,,,,,,,,,,
57,PT07M35.00S,2023-12-07T00:47:34.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,15,10,2023-12-07T00:47:37Z,570000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,56.0,,,,,2.0,2.0,0.0,,
58,PT07M16.00S,2023-12-07T00:47:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,81.553876478318,40.19607843137255,1610612751,15,10,2023-12-07T00:47:58Z,580000,False,-49.0,121.0,1,right,MISS S. Dinwiddie 13' pullup Shot - blocked,"[203915, 1629027]",1610612751.0,BKN,pullup,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,13.05,Missed,,,,,,,,,Young,1629027.0
59,PT07M16.00S,2023-12-07T00:47:53.9Z,1,REGULAR,block,,[],1629027,,,1610612751,15,10,2023-12-07T00:47:56Z,590000,False,,,0,,T. Young BLOCK (1 BLK),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
60,PT07M14.00S,2023-12-07T00:47:55.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,15,10,2023-12-07T00:47:58Z,600000,False,,,0,,D. Murray REBOUND (Off:0 Def:4),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,58.0,,,,,4.0,4.0,0.0,,
61,PT07M12.00S,2023-12-07T00:47:58.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630180,5.995400788436268,50.98039215686274,1610612737,17,10,2023-12-07T00:48:04Z,610000,False,-5.0,4.0,1,left,S. Bey running Layup (8 PTS) (D. Murray 3 AST),"[1630180, 1627749]",1610612737.0,ATL,running,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,,,,0.63,Made,,8.0,D. Murray,1627749.0,3.0,,,,,
63,PT07M01.00S,2023-12-07T00:48:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,89.04402102496715,43.38235294117647,1610612751,17,10,2023-12-07T00:48:18Z,630000,False,-33.0,50.0,1,right,MISS S. Dinwiddie 6' bank Shot,[203915],1610612751.0,BKN,bank,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,6.04,Missed,,,,,,,,,,
64,PT06M56.00S,2023-12-07T00:48:14.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,17,10,2023-12-07T00:48:18Z,640000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,63.0,,,,,2.0,2.0,0.0,,
65,PT06M52.00S,2023-12-07T00:48:17.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,37.66425755584757,26.96078431372549,1610612737,17,10,2023-12-07T00:48:25Z,650000,False,115.0,302.0,1,left,MISS T. Young 32' running pullup 3PT,[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,,,,32.28,Missed,,,,,,,,,,
66,PT06M50.00S,2023-12-07T00:48:20.9Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612737,17,10,2023-12-07T00:48:20Z,660000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,65.0,,,,,1.0,0.0,1.0,,
67,PT06M48.00S,2023-12-07T00:48:21.9Z,1,REGULAR,turnover,bad pass,[],1630180,,,1610612737,17,10,2023-12-07T00:48:27Z,670000,False,,,0,,S. Bey bad pass TURNOVER (1 TO),"[1630180, 1629651]",1610612737.0,ATL,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1.0,Claxton,1629651.0,,,,,,,,,,,,
68,PT06M48.00S,2023-12-07T00:48:21.9Z,1,REGULAR,steal,,[],1629651,,,1610612751,17,10,2023-12-07T00:48:24Z,680000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
69,PT06M41.00S,2023-12-07T00:48:28.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629661,93.24901445466492,50.73529411764706,1610612751,17,12,2023-12-07T00:48:34Z,690000,False,4.0,11.0,1,right,C. Johnson running Layup (8 PTS),[1629661],1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,1.16,Made,,8.0,,,,,,,,
70,PT06M26.00S,2023-12-07T00:48:46.5Z,1,REGULAR,foul,personal,[],1629661,,,1610612737,17,12,2023-12-07T00:48:52Z,700000,False,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1629631]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,202901.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,,,,
197,PT06M26.00S,2023-12-07T00:50:00.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,17,12,2023-12-07T01:13:50Z,715000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M26.00S,2023-12-07T00:51:14.6Z,1,REGULAR,substitution,out,[],1630180,,,1610612737,17,12,2023-12-07T00:51:40Z,720000,False,,,0,,SUB out: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M26.00S,2023-12-07T00:51:14.6Z,1,REGULAR,substitution,out,[],203991,,,1610612737,17,12,2023-12-07T00:51:40Z,730000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M26.00S,2023-12-07T00:51:14.6Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,17,12,2023-12-07T00:51:40Z,740000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M26.00S,2023-12-07T00:51:14.6Z,1,REGULAR,substitution,out,[],1629651,,,1610612737,17,12,2023-12-07T00:51:40Z,750000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M26.00S,2023-12-07T00:51:14.6Z,1,REGULAR,substitution,in,[],203992,,,1610612737,17,12,2023-12-07T00:51:40Z,760000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M26.00S,2023-12-07T00:51:14.6Z,1,REGULAR,substitution,in,[],1629726,,,1610612737,17,12,2023-12-07T00:51:40Z,770000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M26.00S,2023-12-07T00:51:14.6Z,1,REGULAR,substitution,in,[],1630168,,,1610612737,17,12,2023-12-07T00:51:40Z,780000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M26.00S,2023-12-07T00:51:14.6Z,1,REGULAR,substitution,in,[],1630549,,,1610612737,17,12,2023-12-07T00:51:40Z,790000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M16.00S,2023-12-07T00:52:19.1Z,1,REGULAR,2pt,Jump Shot,[],203992,5.863994743758213,23.284313725490197,1610612737,19,12,2023-12-07T00:52:24Z,800000,False,134.0,3.0,1,left,B. Bogdanovic 13' Jump Shot (2 PTS) (D. Murray 4 AST),"[203992, 1627749]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,,,,,,,,,13.36,Made,,2.0,D. Murray,1627749.0,4.0,,,,,
82,PT06M03.00S,2023-12-07T00:52:31.9Z,1,REGULAR,3pt,Jump Shot,[],1629661,94.95729303547962,4.166666666666666,1610612751,19,15,2023-12-07T00:52:37Z,820000,False,-229.0,-5.0,1,right,C. Johnson 3PT  (11 PTS) (S. Dinwiddie 2 AST),"[1629661, 203915]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,,,,,,,,,22.93,Made,,11.0,S. Dinwiddie,203915.0,2.0,,,,,
83,PT05M50.00S,2023-12-07T00:52:45.0Z,1,REGULAR,3pt,Jump Shot,[],1627749,32.013797634691194,65.93137254901961,1610612737,22,15,2023-12-07T00:52:51Z,830000,False,-80.0,248.0,1,left,D. Murray 26' 3PT  (5 PTS) (O. Okongwu 1 AST),"[1627749, 1630168]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,26.09,Made,,5.0,O. Okongwu,1630168.0,1.0,,,,,
85,PT05M40.00S,2023-12-07T00:52:57.6Z,1,REGULAR,foul,offensive,[],1630549,,,1610612751,22,15,2023-12-07T00:53:05Z,850000,False,,,0,,D. Sharpe off-the-ball offensive FOUL (1 PF),"[1630549, 1629631]",1610612751.0,BKN,off-the-ball,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Center,203591.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,,,,
87,PT05M40.00S,2023-12-07T00:52:57.6Z,1,REGULAR,turnover,offensive foul,[],1630549,,,1610612751,22,15,2023-12-07T00:52:57Z,870000,False,,,0,,D. Sharpe offensive foul TURNOVER (1 TO),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Center,203591.0,,,,,1.0,,,,,,,,,,,,,,
