actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
15,PT10M37.00S,2024-01-14T00:42:08.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2024-01-14T00:42:13Z,150000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M29.00S,2024-01-14T00:42:15.6Z,1,REGULAR,3pt,Jump Shot,[],1630552,25.312089356110377,83.33333333333334,1610612737,3,0,2024-01-14T00:42:21Z,160000,False,-167.0,185.0,1,left,J. Johnson 24' 3PT  (3 PTS) (D. Murray 1 AST),"[1630552, 1627749]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,24.93,Made,,,,,,3.0,D. Murray,1627749.0,1.0,,,,,,,,,
18,PT10M19.00S,2024-01-14T00:42:27.9Z,1,REGULAR,turnover,out-of-bounds,[],1629655,,,1610612764,3,0,2024-01-14T00:42:35Z,180000,False,,,0,,D. Gafford bad pass out-of-bounds TURNOVER (1 TO),[1629655],1610612764.0,WAS,bad pass,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,,,,,1627529.0,,,,,1.0,,,,,,,,
19,PT10M05.00S,2024-01-14T00:42:51.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629027,6.652431011826544,47.794117647058826,1610612737,3,0,2024-01-14T00:42:56Z,190000,False,11.0,10.0,1,left,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
20,PT10M02.00S,2024-01-14T00:42:54.4Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,3,0,2024-01-14T00:42:56Z,200000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT09M59.00S,2024-01-14T00:42:57.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626145,73.80091984231275,82.84313725490196,1610612764,3,0,2024-01-14T00:43:05Z,210000,False,164.0,194.0,1,right,MISS T. Jones 25' running 3PT,[1626145],1610612764.0,WAS,running,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,25.4,Missed,,,,,,,,,,,,,,,,,,
22,PT09M56.00S,2024-01-14T00:43:00.4Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,3,0,2024-01-14T00:43:05Z,220000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT09M50.00S,2024-01-14T00:43:06.1Z,1,REGULAR,3pt,Jump Shot,[],1630552,28.86005256241787,26.225490196078432,1610612737,3,0,2024-01-14T00:43:12Z,230000,False,119.0,219.0,1,left,MISS J. Johnson 24' step back 3PT,[1630552],1610612737.0,ATL,step back,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,,
24,PT09M48.00S,2024-01-14T00:43:08.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,3,0,2024-01-14T00:43:12Z,240000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,23.0,,,,,,,,,,,,,,,,,
26,PT09M34.00S,2024-01-14T00:43:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628398,95.3515111695138,96.81372549019608,1610612764,3,3,2024-01-14T00:43:33Z,260000,False,234.0,-9.0,1,right,K. Kuzma 3PT  (3 PTS) (T. Jones 1 AST),"[1628398, 1626145]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,23.43,Made,,,,,,3.0,T. Jones,1626145.0,1.0,,,,,,,,,
28,PT09M18.00S,2024-01-14T00:43:43.0Z,1,REGULAR,3pt,Jump Shot,[],1627749,29.517082785808146,23.774509803921568,1610612737,3,3,2024-01-14T00:43:48Z,280000,False,131.0,225.0,1,left,MISS D. Murray 26' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,26.04,Missed,,,,,,,,,,,,,,,,,,
29,PT09M16.00S,2024-01-14T00:43:45.0Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,3,3,2024-01-14T00:43:48Z,290000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M13.00S,2024-01-14T00:43:48.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628398,93.64323258869908,50.49019607843137,1610612764,3,5,2024-01-14T00:43:56Z,300000,False,2.0,7.0,1,right,K. Kuzma running DUNK (5 PTS) (D. Avdija 1 AST),"[1628398, 1630166]",1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,5.0,D. Avdija,1630166.0,1.0,,,,,,,,,
32,PT08M53.00S,2024-01-14T00:44:08.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,28.07161629434954,83.08823529411765,1610612737,6,5,2024-01-14T00:44:14Z,320000,False,-165.0,211.0,1,left,T. Young 26' 3PT  (3 PTS) (J. Johnson 1 AST),"[1629027, 1630552]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,26.84,Made,,,,,,3.0,J. Johnson,1630552.0,1.0,,,,,,,,,
35,PT08M44.00S,2024-01-14T00:44:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626145,91.93495400788436,50.73529411764706,1610612764,6,5,2024-01-14T00:44:48Z,350000,False,4.0,23.0,1,right,MISS T. Jones driving Layup - blocked,"[1626145, 203991]",1610612764.0,WAS,driving,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,,,,,,Capela,203991.0,,,,,,
167,PT08M44.00S,2024-01-14T00:44:42.9Z,1,REGULAR,block,,[],203991,,,1610612764,6,5,2024-01-14T01:07:09Z,360000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M40.00S,2024-01-14T00:44:46.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,6,5,2024-01-14T00:44:56Z,370000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT08M36.00S,2024-01-14T00:44:50.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,9.543363994743759,96.07843137254902,1610612737,6,5,2024-01-14T00:44:56Z,380000,False,-230.0,37.0,1,left,MISS S. Bey running 3PT,[1630180],1610612737.0,ATL,running,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,23.34,Missed,,,,,,,,,,,,,,,,,,
39,PT08M34.00S,2024-01-14T00:44:52.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,6,5,2024-01-14T00:44:56Z,390000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Left Corner 3,24+ Left,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M22.00S,2024-01-14T00:45:05.1Z,1,REGULAR,3pt,Jump Shot,[],1626145,94.69448094612353,96.07843137254902,1610612764,6,5,2024-01-14T00:45:10Z,400000,False,230.0,-3.0,1,right,MISS T. Jones 3PT,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
41,PT08M19.00S,2024-01-14T00:45:08.1Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,6,5,2024-01-14T00:45:10Z,410000,False,,,0,,J. Johnson REBOUND (Off:0 Def:3),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,,,40.0,3.0,3.0,0.0,,,,,,,,,,,,,,
42,PT08M10.00S,2024-01-14T00:45:16.8Z,1,REGULAR,3pt,Jump Shot,[],1630552,26.62614980289093,81.86274509803921,1610612737,6,5,2024-01-14T00:45:24Z,420000,False,-159.0,198.0,1,left,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,25.4,Missed,,,,,,,,,,,,,,,,,,
43,PT08M06.00S,2024-01-14T00:45:20.8Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612737,6,5,2024-01-14T00:45:24Z,430000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,42.0,1.0,0.0,1.0,,,,,,,,,,,,,,
44,PT08M06.00S,2024-01-14T00:45:23.0Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612737,6,5,2024-01-14T00:45:47Z,440000,False,,,0,,D. Avdija shooting personal FOUL (1 PF) (Bey 2 FT),"[1630166, 1630180]",1610612764.0,WAS,shooting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,1627529.0,,,,,,,,1.0,0.0,Bey,1630180.0,,
46,PT08M06.00S,2024-01-14T00:45:48.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630180,,,1610612737,7,5,2024-01-14T00:45:48Z,460000,False,,,0,,S. Bey Free Throw 1 of 2 (1 PTS),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
47,PT08M06.00S,2024-01-14T00:46:03.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630180,,,1610612737,8,5,2024-01-14T00:46:03Z,470000,False,,,0,,S. Bey Free Throw 2 of 2 (2 PTS),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,Made,,,,,,2.0,,,,,,,,,,,,
48,PT07M56.00S,2024-01-14T00:46:15.8Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612764,8,5,2024-01-14T00:46:20Z,480000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1630180]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,,,,,Bey,1630180.0
49,PT07M56.00S,2024-01-14T00:46:15.8Z,1,REGULAR,steal,,[],1630180,,,1610612737,8,5,2024-01-14T00:46:18Z,490000,False,,,0,,S. Bey STEAL (1 STL),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M50.00S,2024-01-14T00:46:21.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629027,33.196452036793694,26.47058823529412,1610612737,8,5,2024-01-14T00:46:28Z,500000,False,118.0,260.0,1,left,MISS T. Young 28' running 3PT,[1629027],1610612737.0,ATL,running,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,28.49,Missed,,,,,,,,,,,,,,,,,,
51,PT07M47.00S,2024-01-14T00:46:24.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,8,5,2024-01-14T00:46:28Z,510000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M43.00S,2024-01-14T00:46:28.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630166,93.24901445466492,50.0,1610612764,8,7,2024-01-14T00:46:35Z,520000,False,0.0,11.0,1,right,D. Avdija running DUNK (2 PTS) (K. Kuzma 1 AST),"[1630166, 1628398]",1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.1,Made,,,,,,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,
54,PT07M17.00S,2024-01-14T00:46:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,8.229303547963205,43.627450980392155,1610612737,8,7,2024-01-14T00:47:02Z,540000,False,32.0,25.0,1,left,MISS S. Bey driving Layup,[1630180],1610612737.0,ATL,driving,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,4.05,Missed,,,,,,,,,,,,,,,,,,
55,PT07M13.00S,2024-01-14T00:46:58.0Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,8,7,2024-01-14T00:47:02Z,550000,False,,,0,,D. Avdija REBOUND (Off:0 Def:3),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,
56,PT07M12.00S,2024-01-14T00:47:00.0Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612764,8,7,2024-01-14T00:47:06Z,560000,False,,,0,,D. Avdija lost ball TURNOVER (1 TO),"[1630166, 1630180]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,,,,,,,Bey,1630180.0
57,PT07M12.00S,2024-01-14T00:47:00.0Z,1,REGULAR,steal,,[],1630180,,,1610612737,8,7,2024-01-14T00:47:02Z,570000,False,,,0,,S. Bey STEAL (2 STL),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
58,PT07M09.00S,2024-01-14T00:47:02.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203991,5.075558475689881,50.0,1610612737,10,7,2024-01-14T00:47:10Z,580000,False,0.0,-5.0,1,left,C. Capela alley-oop DUNK (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.48,Made,,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,
60,PT06M52.00S,2024-01-14T00:47:19.3Z,1,REGULAR,3pt,Jump Shot,[],1628398,71.43561103810775,79.16666666666666,1610612764,10,10,2024-01-14T00:47:23Z,600000,False,146.0,216.0,1,right,K. Kuzma 26' 3PT  (8 PTS) (T. Jones 2 AST),"[1628398, 1626145]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,26.06,Made,,,,,,8.0,T. Jones,1626145.0,2.0,,,,,,,,,
62,PT06M38.00S,2024-01-14T00:47:33.0Z,1,REGULAR,3pt,Jump Shot,[],1627749,29.911300919842315,27.205882352941174,1610612737,10,10,2024-01-14T00:47:40Z,620000,False,114.0,229.0,1,left,MISS D. Murray 25' step back 3PT,[1627749],1610612737.0,ATL,step back,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,25.55,Missed,,,,,,,,,,,,,,,,,,
63,PT06M38.00S,2024-01-14T00:47:33.0Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612737,10,10,2024-01-14T00:47:40Z,630000,False,,,0,,S. Bey REBOUND (Off:2 Def:0),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,,,62.0,2.0,0.0,2.0,,,,,,,,,,,,,,
64,PT06M34.00S,2024-01-14T00:47:37.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,5.590000152587891,50.0,1610612737,10,10,2024-01-14T00:47:37Z,640000,False,0.0,0.0,1,left,MISS S. Bey tip Layup,[1630180],1610612737.0,ATL,tip,,,Bey,S. Bey,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
65,PT06M33.00S,2024-01-14T00:47:37.8Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,10,10,2024-01-14T00:47:37Z,650000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT06M26.00S,2024-01-14T00:47:45.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,66.44218134034165,50.73529411764706,1610612764,10,10,2024-01-14T00:47:51Z,660000,False,4.0,263.0,1,right,MISS K. Kuzma 26' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,,
67,PT06M24.00S,2024-01-14T00:47:47.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,10,10,2024-01-14T00:47:51Z,670000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,66.0,,,,,,,,,,,,,,,,,
69,PT06M24.00S,2024-01-14T00:47:54.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,10,10,2024-01-14T00:47:54Z,690000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M24.00S,2024-01-14T00:50:21.1Z,1,REGULAR,substitution,out,[],1630552,,,1610612737,10,10,2024-01-14T00:50:47Z,700000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M24.00S,2024-01-14T00:50:21.1Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,10,10,2024-01-14T00:50:47Z,710000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M24.00S,2024-01-14T00:50:21.1Z,1,REGULAR,substitution,out,[],1630166,,,1610612737,10,10,2024-01-14T00:50:47Z,720000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M24.00S,2024-01-14T00:50:21.1Z,1,REGULAR,substitution,in,[],1630235,,,1610612737,10,10,2024-01-14T00:50:47Z,730000,False,,,0,,SUB in: T. Forrest,[1630235],1610612737.0,ATL,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M24.00S,2024-01-14T00:50:21.1Z,1,REGULAR,substitution,in,[],203992,,,1610612737,10,10,2024-01-14T00:50:47Z,740000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M24.00S,2024-01-14T00:50:21.1Z,1,REGULAR,substitution,in,[],1641731,,,1610612737,10,10,2024-01-14T00:50:47Z,750000,False,,,0,,SUB in: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M08.00S,2024-01-14T00:51:11.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630235,16.113666228646515,41.42156862745098,1610612737,12,10,2024-01-14T00:51:42Z,760000,False,43.0,99.0,1,left,T. Forrest 10' driving floating Jump Shot (2 PTS),[1630235],1610612737.0,ATL,driving floating,,,Forrest,T. Forrest,,,,,In The Paint (Non-RA),8-16 Center,10.79,Made,,,,,,2.0,,,,,,,,,,,,
77,PT05M52.00S,2024-01-14T00:51:27.1Z,1,REGULAR,3pt,Jump Shot,[],1629673,66.83639947437582,58.82352941176471,1610612764,12,13,2024-01-14T00:51:42Z,770000,False,44.0,259.0,1,right,J. Poole 26' 3PT pullup (3 PTS) (T. Jones 3 AST),"[1629673, 1626145]",1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,26.29,Made,,,,,,3.0,T. Jones,1626145.0,3.0,,,,,,,,,
79,PT05M37.00S,2024-01-14T00:51:43.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,31.882391590013142,59.31372549019608,1610612737,15,13,2024-01-14T00:51:47Z,790000,False,-47.0,247.0,1,left,D. Murray 25' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1627749, 203992]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.16,Made,,,,,,3.0,B. Bogdanovic,203992.0,1.0,,,,,,,,,
81,PT05M24.00S,2024-01-14T00:51:55.9Z,1,REGULAR,3pt,Jump Shot,[],1641731,78.66294349540078,8.823529411764707,1610612764,15,16,2024-01-14T00:52:00Z,810000,False,-206.0,148.0,1,right,B. Coulibaly 25' 3PT  (3 PTS) (J. Poole 1 AST),"[1641731, 1629673]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,25.36,Made,,,,,,3.0,J. Poole,1629673.0,1.0,,,,,,,,,
83,PT05M08.00S,2024-01-14T00:52:12.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,8.360709592641262,46.81372549019608,1610612737,15,16,2024-01-14T00:52:17Z,830000,False,16.0,26.0,1,left,MISS C. Capela Hook - blocked,"[203991, 1641731]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,,,,,,,Coulibaly,1641731.0,,,,,,
117,PT05M08.00S,2024-01-14T00:52:12.0Z,1,REGULAR,block,,[],1641731,,,1610612737,15,16,2024-01-14T00:56:45Z,835000,False,,,0,,B. Coulibaly BLOCK (1 BLK),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
